POS Awesome,POS Super
After returns,Po vrnitvah
Against,proti
Against Name,Proti imenu
Age Bracket,Starostna skupina
All,Vse
All Caught Up!,Vsi ujeti!
All invoices are synchronized,Vsi računi so sinhronizirani
All pending invoices are up to date,Vsi čakajoči računi so posodobljeni
All Profiles,Vsi profili
All Synchronized,Vse sinhronizirano
All visible invoices are fully settled.,Vsi vidni računi so v celoti poravnani.
All Warehouses,Vsa skladišča
Allowed UOM is {0},Dovoljena UOM je {0}
Always fetch items from server (ignore local cache),Vedno pridobi elemente s strežnika (ignoriraj lokalni predpomnilnik)
Amount,Znesek
Amount already received,Znesek je že prejet
Amount exceeds profile cash movement max amount.,Znesek presega največji znesek gibanja gotovine v profilu.
Amount must be greater than zero.,Znesek mora biti večji od nič.
Amount received from customer,"Znesek, prejet od stranke"
Appearance and user-level preferences for the current session.,Videz in nastavitve na ravni uporabnika za trenutno sejo.
Applied,Uporabljeno
Apply,Prijavite se
Apply Gift Card,Uporabi darilno kartico
Apply Offer,Uporabi ponudbo
Apply On,Prijavite se
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,"Na tem računu navedite le znesek, ki ga želite unovčiti. Preostalo stanje ostane na kartici."
Apply Redemption,Uporabi Redemption
Applying,Prijavljanje
Apps,Aplikacije
Are you sure you want to close? All entered data will be lost.,"Ste prepričani, da želite zapreti? Vsi vneseni podatki bodo izgubljeni."
Attributes (Size/Color),Atributi (velikost/barva)
Auto Allocate Payment Amount,Samodejna dodelitev zneska plačila
Auto Reconcile,Samodejna uskladitev
Auto reconciliation completed after payment submit.,Samodejna uskladitev je končana po predložitvi plačila.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Samodejna uskladitev je končana. Dodeljeno: {0}{1}. Preostalo neporavnano: {0}{2}.
Available Actions,Razpoložljiva dejanja
Available QTY,Na voljo QTY
Available:,Na voljo:
Average Basket,Povprečna košarica
Average Bill,Povprečni račun
Average Ticket,Povprečna vstopnica
Avg Bill,Povprečni račun
Avg Invoice,Povpr. račun
Avg Invoice Profit,Povprečni dobiček na računu
Avg Invoice Value,Povprečna vrednost računa
Avg Purchase Frequency,Povprečna pogostost nakupov
Awesome,super
Awesome Dashboard,Čudovita nadzorna plošča
Awesome Dashboard is disabled for the selected POS Profile.,Awesome Dashboard je onemogočen za izbrani profil POS.
Awesome Dashboard is unavailable for the selected scope.,Awesome nadzorna plošča ni na voljo za izbrani obseg.
Awesome Dashboard is visible only to POS supervisors.,Awesome Dashboard je vidna samo nadzornikom POS.
Back,Nazaj
Back Office Cash Account,Denarni račun zaledne pisarne
Back Office Cash Account (Optional Override),Zaledni gotovinski račun (izbirna preglasitev)
Back office cash account is required.,Potreben je gotovinski račun v zaledni pisarni.
Back to {0},Nazaj na {0}
Background processing did not finish in time.,Obdelava v ozadju se ni končala pravočasno.
Background processing failed for Invoice {0}: {1},Obdelava v ozadju ni uspela za račun {0}: {1}
Background Submission Failed,Predložitev ozadja ni uspela
Background sync interval (seconds),Interval sinhronizacije v ozadju (sekunde)
Balance,Ravnovesje
Balance will be updated when connection is restored,"Stanje bo posodobljeno, ko bo povezava ponovno vzpostavljena"
Balances still pending,Stanja še čakajo
Barcode,Črtna koda
Barcode / QR Ready,Pripravljena črtna koda/QR
Barcode Label Printing,Tiskanje etiket s črtno kodo
Base Paid:,Osnovno plačano:
Base Recv:,Osnovni sprejem:
Base:,Osnova:
Basic Information,Osnovne informacije
Batch,Serija
Batch Information,Informacije o seriji
Before any return workflow,Pred postopkom vračanja
Before returns,Pred vrnitvami
Best Day,Najboljši dan
Best Seller,Najboljši prodajalec
Book expense or deposit from active shift.,Knjižite stroške ali depozit iz aktivne izmene.
Branch / Location-wise Report,Poročilo o podružnicah/lokacijah
Brand-wise,Po blagovni znamki
Breakdown,Razčlenitev
Browse,Prebrskaj
Build Time:,Čas gradnje:
Built with Frappe,Izdelano s frappejem
Bundle,Sveženj
Buying Price,Nakupna cena
Cache cleared successfully,Predpomnilnik je uspešno počiščen
Cache Usage,Uporaba predpomnilnika
cache used,uporabljen predpomnilnik
Calculating...,Izračun ...
Camera Access Required,Potreben je dostop do kamere
Camera access was aborted. Please try again.,Dostop do kamere je bil prekinjen. prosim poskusite znova
Camera constraints not supported by your device. Trying fallback settings...,"Omejitve kamere, ki jih vaša naprava ne podpira. Poskus nadomestnih nastavitev ..."
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,Kamera je zasedena ali jo blokira druga aplikacija/zavihek. Zaprite druge aplikacije kamere in poskusite znova.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,Dovoljenje za kamero zavrnjeno. Dovolite dostop do kamere v nastavitvah brskalnika in osvežite stran.
Camera scanner is locked until the current error is acknowledged,"Optični bralnik kamere je zaklenjen, dokler ni potrjena trenutna napaka"
Camera started but the video stream did not load in time. Please try again.,"Kamera se je zagnala, vendar se video tok ni pravočasno naložil. prosim poskusite znova"
Cancel cash movement {0}?,Želite preklicati prenos gotovine {0}?
Cancel Payment,Prekliči plačilo
Cancel Sale,Prekliči prodajo
Cancel Sale ?,Preklic prodaje?
Cancelled,Preklicano
Cannot add an item with zero or negative quantity.,Ni mogoče dodati artikla z ničelno ali negativno količino.
Cannot clear cache while offline,Med brez povezave ni mogoče počistiti predpomnilnika
Cannot redeem customer credit more than invoice total,"Ne morete unovčiti kredita stranke, ki presega skupni znesek računa"
Cannot redeem gift cards more than invoice total,"Darilnih kartic ni mogoče unovčiti za več, kot znaša skupni znesek računa"
Cannot Save Offline Invoice:,Računa brez povezave ni mogoče shraniti:
Cannot Save Offline Payment:,Plačila brez povezave ni mogoče shraniti:
Card,kartica
Card / Online,Kartica / na spletu
Card health after the last live lookup,Zdravje kartice po zadnjem iskanju v živo
Cards,kartice
Cart,Voziček
Cash,Gotovina
Cash back to customers,Vračilo denarja strankam
Cash Collections,Izterjave gotovine
Cash Deposit is disabled for this POS Profile.,Polog gotovine je onemogočen za ta POS profil.
Cash Drawer Snapshot,Posnetek denarnega predala
Cash In Hand,Gotovina v blagajni
Cash Movement,Gibanje gotovine
Cash movement cancelled,Prenos gotovine preklican
Cash movement deduction applied,Uporabljen je odbitek za gibanje gotovine
Cash movement deleted,Gibanje gotovine izbrisano
Cash movement is disabled for this POS Profile.,Pretok gotovine je onemogočen za ta POS profil.
Cash Movement is disabled in current POS Profile.,Premik gotovine je v trenutnem profilu POS onemogočen.
Cash movement saved offline,Gibanje gotovine je shranjeno brez povezave
Cash movement submitted,Oddano gibanje gotovine
Cash Movements,Premiki gotovine
Cash payment cannot be less than invoice total when partial payment is not allowed,"Gotovinsko plačilo ne sme biti manjše od celotnega računa, če delno plačilo ni dovoljeno"
Cash returned after payment,Po plačilu vrnjena gotovina
Cashier,Blagajna
Cashier Access,Dostop do blagajne
Cashier identity and appearance preferences.,Identiteta in videz blagajnika.
Cashier PIN,PIN blagajne
Cashier PIN saved successfully.,PIN blagajne je uspešno shranjen.
Cashiers,Blagajne
Cashier-wise,Blagajniško
Categories,kategorije
Category,Kategorija
Category / Brand / Variant Report,Poročilo o kategoriji / znamki / različici
Category-wise,Po kategorijah
Category-wise Margin,Marža glede na kategorijo
Certificate,Certifikat
Certificate is missing or not trusted. QZ may show confirmation dialogs.,Certifikat manjka ali ni vreden zaupanja. QZ lahko prikaže potrditvena pogovorna okna.
Certificate is trusted. Silent QZ printing is active.,Certifikat je zaupanja vreden. Aktivno je tiho tiskanje QZ.
Change,spremeniti
Change allocation repaired,Sprememba dodelitve popravljena
Change Price,Spremeni ceno
Change Return,Spremeni Vrnitev
Change Returned,Sprememba vrnjena
Change terminal cashier,Zamenjaj terminalsko blagajnico
Charge Heads,Polnilne glave
Charges,Dajatve
Charges not found,Stroški niso bili najdeni
Check Balance,Preverite stanje
Check balance for any card. Supervisors can issue and top up cards here.,Preverite stanje za katero koli kartico. Tukaj lahko nadzorniki izdajajo in polnijo kartice.
Check balance only,Preverite samo stanje
Check for new commits,Preverite nove objave
Check for Updates,Preverite posodobitve
Check live balance before applying redemption,"Preverite stanje v živo, preden uporabite unovčenje"
Check live balance before redemption,Preverite stanje v živo pred unovčenjem
Checking...,Preverjanje ...
Cheque/Reference Date,Ček/referenčni datum
Cheque/Reference No,Ček/referenčna št
Choose the cashier currently operating this terminal.,"Izberite blagajnika, ki trenutno upravlja s tem terminalom."
City,Mesto
Clear,jasno
Clear All,Počisti vse
Clear all barcode items,Počisti vse elemente črtne kode
Clear all purchase order items,Počisti vse elemente naročila
Clear Search,Počisti iskanje
Clearing local cache...,Brisanje lokalnega predpomnilnika ...
Click to refresh,Kliknite za osvežitev
Client CPU Lag:,Zaostajanje procesorja odjemalca:
Client Memory Usage:,Uporaba pomnilnika odjemalca:
Client Metrics,Meritve strank
Close about dialog,Zapri pogovorno okno o tem
Close cashier switcher,Zapri menjalnik blagajn
Close closing shift dialog,Zapri pogovorno okno za zapiranje izmene
Close column selector,Zapri izbirnik stolpcev
Close Dialog,Zapri pogovorno okno
Close drafts dialog,Zapri pogovorno okno za osnutke
Close invoice details dialog,Zapri pogovorno okno s podrobnostmi računa
Close invoice management,Zaprite upravljanje računov
Close offline invoices dialog,Zapri pogovorno okno za račune brez povezave
Close packing list dialog,Zapri pogovorno okno pakirnega seznama
Close returns dialog,Zapri pogovorno okno za vračila
Close sales orders dialog,Zapri pogovorno okno prodajnih naročil
Close Scanner,Zapri Scanner
Close scanner dialog,Zapri pogovorno okno optičnega bralnika
Close Settings,Zapri nastavitve
Closing Amount,Končni znesek
Closing POS Shift,Zapiranje POS izmene
Closing Snapshot Available,Na voljo zaključni posnetek
Code,Koda
Code scanned successfully,Koda je uspešno skenirana
COGS,COGS
Collapse item details,Strni podrobnosti elementa
Collected,Zbrano
Cols,Cols
Columns,Stolpci
commits,se zaveže
Completed and active sales in this range,Zaključena in aktivna prodaja v tem asortimanu
Completed returns will appear here.,Dokončana vračila bodo prikazana tukaj.
Confirm,Potrdi
Confirm Close,Potrdite Zapri
Confirm Mobile Number,Potrdite mobilno številko
Confirm PIN,Potrdite PIN
Connect,Povežite se
Connect printer and manage certificate,Povežite tiskalnik in upravljajte potrdilo
Connecting to QZ Tray...,Povezovanje s pladnjem QZ ...
Connection problem while submitting invoice,Težava s povezavo med oddajo računa
Connections:,Povezave:
Connectivity and cached prerequisite status were rechecked.,Ponovno sta bila preverjena povezljivost in predpomnjeno stanje predpogoja.
Continue Editing,Nadaljujte z urejanjem
Could not fetch latest balance from server,Ni bilo mogoče pridobiti zadnjega stanja s strežnika
Count,štetje
Country,Država
Coupon,kupon
Coupons,Kuponi
Cover,Pokrov
CPU Cores:,CPE jedra:
Create,Ustvari
Create and load a new prepaid card,Ustvarite in naložite novo predplačniško kartico
Create and preload a new gift card,Ustvarite in vnaprej naložite novo darilno kartico
Create Bill,Ustvari Bill
Create Customer,Ustvari stranko
Create New Item,Ustvari nov element
Create or change your PIN,Ustvarite ali spremenite svoj PIN
Create PIN,Ustvari PIN
Create POS Opening Shift,Ustvari premik odpiranja POS
Create Purchase Order,Ustvarite naročilnico
Create Return,Ustvari Vrnitev
Create return from invoice,Ustvari vračilo iz računa
Create Supplier,Ustvari dobavitelja
Credit and Output,Zasluge in izhod
Credit Note,Dobropis
Credit Outstanding,Neodplačan kredit
Credit sales remaining to be collected,Preostale kreditne prodaje za zbiranje
Critical,Kritično
Currency,Valuta
Current,Trenutno
Current Event Loop Lag:,Zamik trenutne zanke dogodkov:
Current Month,Trenutni mesec
Current PIN,Trenutni PIN
Current Profile,Trenutni profil
Current redeemable value on the gift card,Trenutna unovčljiva vrednost na darilni kartici
Current User,Trenutni uporabnik
Custom,Po meri
Custom Due Days,Dnevi zapadlosti po meri
Custom items per page,Elementi po meri na stran
Customer,Stranka
Customer already selected,Stranka je že izbrana
Customer Balance,Stanje strank
Customer balance unavailable offline,Stanje stranke ni na voljo brez povezave
Customer created successfully.,Stranka je bila uspešno ustvarjena.
Customer creation failed.,Ustvarjanje stranke ni uspelo.
Customer Details,Podatki o stranki
Customer display channel is missing,Manjka kanal za prikaz strank
Customer display was blocked. Please allow pop-ups for this site.,Prikaz stranke je bil blokiran. Dovolite pojavna okna za to spletno mesto.
Customer group is required,Zahtevana je skupina strank
Customer is required to add payment,Stranka mora dodati plačilo
Customer Name is required,Zahtevano je ime stranke
Customer not selected,Stranka ni izbrana
Customer Report,Poročilo stranke
Customer saved offline,Stranka shranjena brez povezave
Customer Screen,Zaslon stranke
Customer territory is required,Zahtevano je ozemlje stranke
Customer updated successfully.,Stranka je bila uspešno posodobljena.
Customer-facing tools and printer setup.,"Orodja, namenjena strankam, in nastavitev tiskalnika."
Customers,Stranke
Customers not found,Stranke niso bile najdene
Daily cashier actions without scrolling.,Dnevna blagajniška dejanja brez drsenja.
Daily Sales,Dnevna prodaja
Daily Sales Summary,Dnevni povzetek prodaje
Data loaded in form. Review and submit.,Podatki naloženi v obrazec. Preglejte in oddajte.
Database Health,Zdravje baze podatkov
Database health affects overall system speed and reliability.,Zdravje baze podatkov vpliva na splošno hitrost in zanesljivost sistema.
Database Info,Informacije o bazi podatkov
Date,Datum
Day ?,dan?
days,dni
Day-wise (MTD),Dnevno (MTD)
Day-wise Movement,Dnevno gibanje
Dead Stock,Mrtva zaloga
Dead Stock Items,Predmeti mrtve zaloge
Decrease quantity,Zmanjšajte količino
Default,Privzeto
Default:,Privzeto:
Delete,Izbriši
Delete cancelled cash movement {0}?,Želite izbrisati preklican prenos gotovine {0}?
Delete Draft,Izbriši osnutek
Delete draft invoice,Izbriši osnutek računa
Delete draft invoice {0}?,Želite izbrisati osnutek računa {0}?
Delete Invoice,Izbriši račun
Delete offline invoice,Izbriši račun brez povezave
Delivered,Dostavljeno
Delivery Charges,Stroški dostave
Delivery Information,Informacije o dostavi
Delivery Note {0} created,Dobavnica {0} ustvarjena
Delivery note created,Dobavnica izdelana
Deployed Bundle:,Razporejen sveženj:
Deposit,Depozit
Description,Opis
Detailed Supplier Breakdown,Podrobna razčlenitev dobavitelja
Detecting formats:,Zaznavanje formatov:
Device Memory:,Pomnilnik naprave:
Difference,Razlika
Difference (In Company Currency),Razlika (v valuti podjetja)
Disable offline mode first to recheck live connectivity.,"Najprej onemogočite način brez povezave, da znova preverite povezljivost v živo."
Disconnect,Prekini povezavo
discount,popust
Discount %,% popusta
Discount / Void / Return Report,Popust/ničnost/poročilo o vračilu
Discount Amount,Znesek popusta
Discount limited by POS Profile,Popust je omejen s POS profilom
Discounted Invoices,Računi s popustom
Discounts,Popusti
Dismiss,Odpusti
Download Certificate,Prenesite potrdilo
Draft,Osnutek
Draft invoice deleted,Osnutek računa izbrisan
Draft source,Vir osnutka
Drafts,Osnutki
Due {0},Rok {0}
Due Date,Datum zapadlosti
Duplicate,Dvojnik
Edit customer,Uredi stranko
Edit discount amount,Uredi znesek popusta
Edit discount percentage,Uredi odstotek popusta
Edit Gift Application,Uredi aplikacijo za darilo
Edit item name,Uredi ime predmeta
Edit quantity,Uredi količino
Edit rate,Uredi stopnjo
Edit unit of measure,Uredi mersko enoto
Edited,Urejeno
Employee,Zaposleni
Enable background sync,Omogoči sinhronizacijo v ozadju
Enable Customer Display in POS Profile first.,Najprej omogočite prikaz stranke v profilu POS.
Enter a PIN.,Vnesite PIN.
Enter a valid grams value,Vnesite veljavno vrednost v gramih
Enter new price list rate,Vnesite novo ceno cenika
Enter Quantity,Vnesite količino
Enter the cashier PIN to continue.,Za nadaljevanje vnesite PIN blagajnika.
Enter the current PIN first.,Najprej vnesite trenutni PIN.
"Enter the current PIN, then choose a new one.",Vnesite trenutni PIN in nato izberite novega.
Enter valid grams for scale barcode,Vnesite veljavne grame za črtno kodo tehtnice
Entries,Vnosi
Error accessing camera:,Napaka pri dostopu do kamere:
Error calculating prices,Napaka pri izračunu cen
Error fetching customer balance,Napaka pri pridobivanju stanja stranke
Error in change calculations!,Napaka v izračunih sprememb!
Error Loading Data,Napaka pri nalaganju podatkov
Error loading invoice details,Napaka pri nalaganju podrobnosti računa
Error processing invoice,Napaka pri obdelavi računa
Error processing payment,Napaka pri obdelavi plačila
Error searching invoices,Napaka pri iskanju računov
Error submitting invoice:,Napaka pri oddaji računa:
Error submitting invoice: {0},Napaka pri pošiljanju računa: {0}
Error submitting invoice: No response from server,Napaka pri oddaji računa: Ni odgovora s strežnika
Error updating currency,Napaka pri posodabljanju valute
Error updating item details,Napaka pri posodabljanju podrobnosti artikla
Est. Purchase,Ocena Nakup
Est. Value,Ocena Vrednost
Event-loop lag measures how busy your browser is. Lower is better.,"Zakasnitev zanke dogodkov meri, kako zaseden je vaš brskalnik. Nižje je bolje."
Every,vsak
Exchange Rate,Menjalni tečaj
Expand item details,Razširite podrobnosti elementa
Expected Amount (In Company Currency),Pričakovani znesek (v valuti podjetja)
Expected Cash,Pričakovana gotovina
Expected cash on hand grouped by currency,"Pričakovana gotovina v blagajni, razvrščena po valutah"
Expected vs Actual,Pričakovano proti dejanskemu
Expense,Stroški
Expense Account (Optional Override),Račun stroškov (izbirna preglasitev)
Expense account is required.,Potreben je obračun stroškov.
Expenses and deposits posted during this shift,"Stroški in depoziti, knjiženi med to izmeno"
Expired,potekel
Failed to auto reconcile payments.,Samodejna uskladitev plačil ni uspela.
Failed to cancel cash movement,Prenosa gotovine ni bilo mogoče preklicati
Failed to clear cache,Čiščenje predpomnilnika ni uspelo
Failed to create item,Elementa ni bilo mogoče ustvariti
Failed to create supplier,Dobavitelja ni bilo mogoče ustvariti
Failed to delete cash movement,Premika gotovine ni bilo mogoče izbrisati
Failed to generate scale barcode. Using item barcode only.,Črtne kode tehtnice ni bilo mogoče ustvariti. Uporaba samo črtne kode artikla.
Failed to load cash movement context.,Konteksta gibanja gotovine ni bilo mogoče naložiti.
Failed to load dashboard data.,Podatkov nadzorne plošče ni bilo mogoče naložiti.
Failed to reload invoice from server,Ponovno nalaganje računa s strežnika ni uspelo
Failed to submit cash movement,Predložitev gibanja gotovine ni uspela
Failed to sync offline cash movements,Sinhronizacija gotovine brez povezave ni uspela
Fast cashier actions for active shifts.,Hitra blagajniška dejanja za aktivne izmene.
Fast Moving Items,Hitro premikajoči se predmeti
Fees,Pristojbine
Fetch the latest offline prerequisite updates,Pridobite najnovejše predpogojne posodobitve brez povezave
Find a sales order quickly and load it into the current sale.,Hitro poiščite prodajno naročilo in ga naložite v trenutno prodajo.
Fixing payment amounts for return invoice...,Določanje zneskov plačila za povratni račun ...
Flash Off,Bliskavica izklopljena
Flash On,Bliskavica vklopljena
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","Za artikle 'Paket izdelkov' bodo upoštevane skladišče, serijska številka in številka serije iz tabele 'Pakirni seznam'. Če sta skladišče in številka serije enaki za vse embalaže za kateri koli predmet 'svežnja izdelkov', lahko te vrednosti vnesete v glavno tabelo artiklov; vrednosti bodo kopirane v tabelo 'Pakirni seznam'."
Free,Brezplačno
Free Qty,Brezplačna količina
Frequency,Pogostost
from,od
From Date,Od datuma
Fulfillment Details,Podrobnosti o izpolnitvi
Full Name,Polno ime
Gain,Dobiček
Generate a fresh prepaid card and start it with an opening balance.,Ustvarite novo predplačniško kartico in jo začnite z začetnim stanjem.
Generate and install the certificate to allow fully silent printing without trust prompts.,"Ustvarite in namestite potrdilo, da omogočite popolnoma tiho tiskanje brez pozivov za zaupanje."
Generate Certificate,Ustvari potrdilo
Generated scale barcode: {0},Ustvarjena črtna koda tehtnice: {0}
Get Payments,Pridobite plačila
Gift Card,Darilna kartica
Gift card amount must be greater than zero.,Znesek darilne kartice mora biti večji od nič.
Gift Card Code,Koda darilne kartice
Gift card code is required for redemption,Za unovčenje je potrebna koda darilne kartice
Gift card code is required.,Zahtevana je koda darilne kartice.
Gift card issued successfully.,Darilna kartica je bila uspešno izdana.
Gift card loaded successfully.,Darilna kartica je bila uspešno naložena.
Gift Card Management,Upravljanje darilnih kartic
Gift card payment,Plačilo z darilno kartico
Gift card redemption requires an online connection,Za unovčenje darilne kartice je potrebna spletna povezava
Gift card topped up successfully.,Darilna kartica je bila uspešno napolnjena.
Gift Cards,Darilne kartice
Go to Frappe Desk,Pojdite na Frappe Desk
Grand Total,Skupni seštevek
Gross Margin,Bruto marža
Gross Profit,Bruto dobiček
Gross Sales,Bruto prodaja
Group not found,Skupine ni mogoče najti
"Grouped controls for terminal, UI, and session settings.","Združeni kontrolniki za nastavitve terminala, uporabniškega vmesnika in seje."
Grouped totals for each payment method and currency,Združene vsote za vsako plačilno sredstvo in valuto
Hide,Skrij se
Hide Gift Card,Skrij darilno kartico
Hide Non Essential Fields,Skrij nebistvena polja
Hide quantity decimals,Skrij decimalke količine
Hide search tools,Skrij iskalna orodja
Hide zero rated items,Skrij elemente z ničelno oceno
High,visoko
History,Zgodovina
Hourly (Today),Vsako uro (danes)
How this section works,Kako ta razdelek deluje
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","Če zastareli podatki ostanejo, odprite Settings > Offline & Sync in znova zaženite Rebuild Offline Data, ko ste povezani."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","Če opozorilo ne izgine, odprite Nastavitve > Brez povezave in sinhronizacija, nato zaženite Osveži podatke brez povezave ali Obnovi podatke brez povezave."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,Uvozite potrdilo v pladenj QZ in znova zaženite pladenj QZ na vsaki napravi POS.
In,notri
In stock: {0},Na zalogi: {0}
Include Batch / Serial,Vključi serijsko / serijsko
Include Price,Vključi ceno
Increase quantity,Povečajte količino
IndexedDB,IndexedDB
Initial Amount,Začetni znesek
Initialize your shift with opening balances,Inicializirajte izmeno z začetnimi bilancami
Initializing application...,Inicializacija aplikacije ...
"Inspect cache, sync, and prerequisite status","Preverite stanje predpomnilnika, sinhronizacije in predpogoja"
Installed Applications,Nameščene aplikacije
Insufficient stock:\n{0},Nezadostna zaloga:\n{0}
Invalid rate,Neveljavna cena
Inventory Status Report,Poročilo o stanju zalog
Invoice,Račun
Invoice {0} is Submitted,Račun {0} je oddan
Invoice {0} processed successfully,Račun {0} je bil uspešno obdelan
Invoice {0} submission failed,Oddaja računa {0} ni uspela
Invoice {0} was already submitted,Račun {0} je bil že oddan
Invoice Adjustments,Prilagoditve računa
Invoice Change,Sprememba računa
Invoice Details,Podrobnosti računa
Invoice is still in draft after background submission.,Račun je po predložitvi ozadja še vedno v osnutku.
Invoice Items,Postavke računa
Invoice Management,Upravljanje računov
Invoice Mgmt,Upravljanje računa
Invoice saved offline,Račun shranjen brez povezave
Invoice submission failed,Oddaja računa ni uspela
Invoice Submitted,Račun oddan
"Invoice value settled by loyalty points, not cash collection","Vrednost računa se poravna s točkami zvestobe, ne z gotovino"
Invoices,Računi
Invoices already past due date,Računi so že zapadli
Invoices saved as POS Invoices,"Računi, shranjeni kot POS računi"
Invoices still carrying balances,Računi še vedno vsebujejo stanja
Issue Mode,Način izdaje
Issue New Card,Izdaja novo kartico
Issue Workflow,Potek dela težave
"Issue, top up, and check","Izdaj, napolni in preveri"
Item,Postavka
Item / Product Sales Report,Poročilo o prodaji artikla/izdelka
Item {0} added to invoice,Artikel {0} dodan na račun
Item '{0}' has no barcode,Element '{0}' nima črtne kode
Item Code,Šifra artikla
Item created successfully,Element je bil uspešno ustvarjen
Item is out of stock,Artikla ni na zalogi
Item Name,Ime artikla
Item not found,Predmet ni bil najden
Item order updated,Vrstni red artikla posodobljen
Item Selector Settings,Nastavitve izbirnika elementov
Items,Predmeti
Items added in POS will appear here automatically.,"Predmeti, dodani v POS, se bodo tukaj samodejno prikazali."
Items added to invoice,Predmeti dodani na račun
Items per page,Predmetov na stran
Items Sold,Prodani predmeti
Items/Invoice,Artikli/račun
Item-wise Profitability,Donosnost po artiklih
Journal Entry,Vpis v dnevnik
json,json
Just now,Pravkar
Keep offline prerequisites healthy and recover stale data safely.,Ohranite predpogoje brez povezave in varno obnovite zastarele podatke.
Labels,Etikete
"Language, theme, terminal tools, and session controls.","Jezik, tema, terminalska orodja in kontrolniki sej."
Last,Zadnji
Last 14 Days (Paid vs Pending),Zadnjih 14 dni (plačano ali čakajoče)
Last 14 Days Activity,Zadnjih 14 dni dejavnosti
Last 14 Days Gross Profit,Zadnjih 14 dni bruto dobička
Last 14 Days Purchases,Nakupi zadnjih 14 dni
Last 14 Days Tax/Charges,Davki/stroški zadnjih 14 dni
Last sync:,Zadnja sinhronizacija:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},Zadnja sinhronizacija: {0} | ok: {1} | neuspešno: {2} | preskočeno: {3}
Latest entries for current shift,Zadnji vnosi za trenutno izmeno
Lead Time,Čas izvedbe
