POS Awesome,POS অসাধারণ
Back,ব্যাক
Back Office Cash Account,ব্যাক অফিস ক্যাশ অ্যাকাউন্ট
Back Office Cash Account (Optional Override),ব্যাক অফিস ক্যাশ অ্যাকাউন্ট (ঐচ্ছিক ওভাররাইড)
Back office cash account is required.,ব্যাক অফিস নগদ অ্যাকাউন্ট প্রয়োজন.
Back to {0},{0} এ ফিরে যান
Background processing did not finish in time.,ব্যাকগ্রাউন্ড প্রসেসিং সময়মতো শেষ হয়নি।
Background processing failed for Invoice {0}: {1},চালান {0} এর জন্য পটভূমি প্রক্রিয়াকরণ ব্যর্থ হয়েছে: {1}
Background Submission Failed,পটভূমি জমা দিতে ব্যর্থ হয়েছে
Background sync interval (seconds),ব্যাকগ্রাউন্ড সিঙ্ক ব্যবধান (সেকেন্ড)
Balance,ভারসাম্য
Balance will be updated when connection is restored,সংযোগ পুনরুদ্ধার করা হলে ব্যালেন্স আপডেট করা হবে
Balances still pending,ভারসাম্য এখনও বাকি আছে
Barcode,বারকোড
Barcode / QR Ready,বারকোড/কিউআর রেডি
Barcode Label Printing,বারকোড লেবেল প্রিন্টিং
Base Paid:,বেস পেইড:
Base Recv:,বেস Recv:
Base:,ভিত্তি:
Basic Information,মৌলিক তথ্য
Batch,ব্যাচ
Batch Information,ব্যাচ তথ্য
Before any return workflow,কোন রিটার্ন ওয়ার্কফ্লো আগে
Before returns,ফেরার আগে
Best Day,শ্রেষ্ঠ দিন
Best Seller,বেস্ট সেলার
Book expense or deposit from active shift.,সক্রিয় শিফট থেকে খরচ বা জমা বুক করুন।
Branch / Location-wise Report,শাখা / অবস্থান ভিত্তিক প্রতিবেদন
Brand-wise,ব্র্যান্ড অনুযায়ী
Breakdown,ভাঙ্গন
Browse,ব্রাউজ করুন
Build Time:,নির্মাণের সময়:
Built with Frappe,Frappe সঙ্গে নির্মিত
Bundle,বান্ডিল
Buying Price,ক্রয় মূল্য
Cache cleared successfully,ক্যাশে সফলভাবে সাফ করা হয়েছে৷
Cache Usage,ক্যাশে ব্যবহার
cache used,ক্যাশে ব্যবহৃত
Calculating...,গণনা করা হচ্ছে...
Camera Access Required,ক্যামেরা অ্যাক্সেস প্রয়োজন
Camera access was aborted. Please try again.,ক্যামেরা অ্যাক্সেস বাতিল করা হয়েছে। আবার চেষ্টা করুন.
Camera constraints not supported by your device. Trying fallback settings...,ক্যামেরার সীমাবদ্ধতা আপনার ডিভাইস দ্বারা সমর্থিত নয়। ফলব্যাক সেটিংস চেষ্টা করা হচ্ছে...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,ক্যামেরা ব্যস্ত বা অন্য অ্যাপ/ট্যাব দ্বারা অবরুদ্ধ। অন্যান্য ক্যামেরা অ্যাপ বন্ধ করে আবার চেষ্টা করুন।
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,ক্যামেরার অনুমতি অস্বীকার করা হয়েছে৷ আপনার ব্রাউজার সেটিংসে ক্যামেরা অ্যাক্সেসের অনুমতি দিন এবং পৃষ্ঠাটি রিফ্রেশ করুন।
Camera scanner is locked until the current error is acknowledged,বর্তমান ত্রুটি স্বীকার না হওয়া পর্যন্ত ক্যামেরা স্ক্যানার লক করা আছে
Camera started but the video stream did not load in time. Please try again.,ক্যামেরা শুরু হলেও ভিডিও স্ট্রিম সময়মতো লোড হয়নি। আবার চেষ্টা করুন.
Cancel cash movement {0}?,ক্যাশ মুভমেন্ট {0} বাতিল করবেন?
Cancel Payment,পেমেন্ট বাতিল করুন
Cancel Sale,বিক্রয় বাতিল করুন
Cancel Sale ?,বিক্রয় বাতিল করবেন?
Cancelled,বাতিল
Cannot add an item with zero or negative quantity.,শূন্য বা ঋণাত্মক পরিমাণ সহ একটি আইটেম যোগ করা যাবে না।
Cannot clear cache while offline,অফলাইনে থাকা অবস্থায় ক্যাশে সাফ করা যাবে না
Cannot redeem customer credit more than invoice total,চালান মোটের চেয়ে বেশি গ্রাহকের ক্রেডিট রিডিম করা যাবে না
Cannot redeem gift cards more than invoice total,ইনভয়েসের মোটের চেয়ে বেশি উপহার কার্ড রিডিম করা যাবে না
Cannot Save Offline Invoice:,অফলাইন চালান সংরক্ষণ করা যাবে না:
Cannot Save Offline Payment:,অফলাইন পেমেন্ট সংরক্ষণ করা যাবে না:
Card,কার্ড
Card / Online,কার্ড / অনলাইন
Card health after the last live lookup,শেষ লাইভ লুকআপের পরে কার্ডের স্বাস্থ্য
Cards,কার্ড
Cart,কার্ট
Cash,নগদ
Cash back to customers,গ্রাহকদের নগদ ফেরত
Cash Collections,নগদ সংগ্রহ
Cash Deposit is disabled for this POS Profile.,এই POS প্রোফাইলের জন্য ক্যাশ ডিপোজিট অক্ষম করা হয়েছে।
Cash Drawer Snapshot,ক্যাশ ড্রয়ার স্ন্যাপশট
Cash In Hand,হাতে নগদ
Cash Movement,নগদ আন্দোলন
Cash movement cancelled,নগদ চলাচল বাতিল করা হয়েছে
Cash movement deduction applied,নগদ মুভমেন্ট ডিডাকশন প্রযোজ্য
Cash movement deleted,নগদ আন্দোলন মুছে ফেলা হয়েছে
Cash movement is disabled for this POS Profile.,এই POS প্রোফাইলের জন্য নগদ চলাচল অক্ষম করা হয়েছে৷
Cash Movement is disabled in current POS Profile.,বর্তমান POS প্রোফাইলে নগদ চলাচল অক্ষম করা হয়েছে।
Cash movement saved offline,নগদ আন্দোলন অফলাইনে সংরক্ষিত
Cash movement submitted,নগদ আন্দোলন জমা
Cash Movements,নগদ আন্দোলন
Cash payment cannot be less than invoice total when partial payment is not allowed,আংশিক অর্থ প্রদানের অনুমতি না থাকলে নগদ অর্থপ্রদান চালানের মোটের চেয়ে কম হতে পারে না
Cash returned after payment,অর্থ প্রদানের পরে নগদ ফেরত
Cashier,ক্যাশিয়ার
Cashier Access,ক্যাশিয়ার অ্যাক্সেস
Cashier identity and appearance preferences.,ক্যাশিয়ার পরিচয় এবং চেহারা পছন্দ.
Cashier PIN,ক্যাশিয়ার পিন
Cashier PIN saved successfully.,ক্যাশিয়ার পিন সফলভাবে সংরক্ষণ করা হয়েছে৷
Cashiers,ক্যাশিয়ার
Cashier-wise,ক্যাশিয়ার-ওয়াইজ
Categories,ক্যাটাগরি
Category,শ্রেণী
Category / Brand / Variant Report,বিভাগ/ব্র্যান্ড/ভেরিয়েন্ট রিপোর্ট
Category-wise,শ্রেণী অনুসারে
Category-wise Margin,বিভাগ অনুযায়ী মার্জিন
Certificate,সার্টিফিকেট
Certificate is missing or not trusted. QZ may show confirmation dialogs.,শংসাপত্র অনুপস্থিত বা বিশ্বস্ত নয়। QZ নিশ্চিতকরণ ডায়ালগ দেখাতে পারে।
Certificate is trusted. Silent QZ printing is active.,সার্টিফিকেট বিশ্বস্ত। নীরব QZ মুদ্রণ সক্রিয় আছে.
Change,পরিবর্তন
Change allocation repaired,বরাদ্দ পরিবর্তন মেরামত
Change Price,মূল্য পরিবর্তন করুন
Change Return,রিটার্ন পরিবর্তন করুন
Change Returned,পরিবর্তন ফেরত
Change terminal cashier,টার্মিনাল ক্যাশিয়ার পরিবর্তন করুন
Charge Heads,চার্জ হেডস
Charges,চার্জ
Charges not found,চার্জ পাওয়া যায়নি
Check Balance,ব্যালেন্স চেক করুন
Check balance for any card. Supervisors can issue and top up cards here.,যেকোনো কার্ডের জন্য ব্যালেন্স চেক করুন। সুপারভাইজাররা এখানে কার্ড ইস্যু এবং টপ আপ করতে পারেন।
Check balance only,শুধুমাত্র ব্যালেন্স চেক করুন
Check for new commits,নতুন প্রতিশ্রুতি জন্য পরীক্ষা করুন
Check for Updates,আপডেটের জন্য চেক করুন
Check live balance before applying redemption,রিডেমশন আবেদন করার আগে লাইভ ব্যালেন্স চেক করুন
Check live balance before redemption,রিডেম্পশনের আগে লাইভ ব্যালেন্স চেক করুন
Checking...,পরীক্ষা করা হচ্ছে...
Cheque/Reference Date,চেক/রেফারেন্স তারিখ
Cheque/Reference No,চেক/রেফারেন্স নম্বর
Choose the cashier currently operating this terminal.,বর্তমানে এই টার্মিনাল পরিচালনাকারী ক্যাশিয়ার চয়ন করুন৷
City,শহর
Clear,পরিষ্কার
Clear All,সব সাফ করুন
Clear all barcode items,সমস্ত বারকোড আইটেম সাফ করুন
Clear all purchase order items,সমস্ত ক্রয় অর্ডার আইটেম সাফ করুন
Clear Search,সাফ অনুসন্ধান
Clearing local cache...,স্থানীয় ক্যাশে সাফ করা হচ্ছে...
Click to refresh,রিফ্রেশ করতে ক্লিক করুন
Client CPU Lag:,ক্লায়েন্ট CPU ল্যাগ:
Client Memory Usage:,ক্লায়েন্ট মেমরি ব্যবহার:
Client Metrics,ক্লায়েন্ট মেট্রিক্স
Close about dialog,ডায়ালগ সম্পর্কে বন্ধ
Close cashier switcher,ক্যাশিয়ার সুইচার বন্ধ করুন
Close closing shift dialog,ক্লোজিং শিফট ডায়ালগ বন্ধ করুন
Close column selector,কলাম নির্বাচক বন্ধ করুন
Close Dialog,ডায়ালগ বন্ধ করুন
Close drafts dialog,খসড়া ডায়ালগ বন্ধ করুন
Close invoice details dialog,চালানের বিবরণ ডায়ালগ বন্ধ করুন
Close invoice management,চালান ব্যবস্থাপনা বন্ধ করুন
Close offline invoices dialog,অফলাইন ইনভয়েস ডায়ালগ বন্ধ করুন
Close packing list dialog,প্যাকিং তালিকা ডায়ালগ বন্ধ করুন
Close returns dialog,রিটার্ন ডায়ালগ বন্ধ করুন
Close sales orders dialog,বিক্রয় আদেশ ডায়ালগ বন্ধ করুন
Close Scanner,স্ক্যানার বন্ধ করুন
Close scanner dialog,স্ক্যানার ডায়ালগ বন্ধ করুন
Close Settings,সেটিংস বন্ধ করুন
Closing Amount,সমাপনী পরিমাণ
Closing POS Shift,POS শিফট বন্ধ করা হচ্ছে
Closing Snapshot Available,ক্লোজিং স্ন্যাপশট উপলব্ধ
Code,কোড
Code scanned successfully,কোড সফলভাবে স্ক্যান করা হয়েছে
COGS,COGS
Collapse item details,আইটেমের বিবরণ সঙ্কুচিত করুন
Collected,সংগৃহীত
Cols,কলস
Columns,কলাম
commits,কমিট
Completed and active sales in this range,এই পরিসরে সম্পূর্ণ এবং সক্রিয় বিক্রয়
Completed returns will appear here.,সম্পূর্ণ রিটার্ন এখানে প্রদর্শিত হবে.
Confirm,নিশ্চিত করুন
Confirm Close,বন্ধ নিশ্চিত করুন
Confirm Mobile Number,মোবাইল নম্বর নিশ্চিত করুন
Confirm PIN,পিন নিশ্চিত করুন
Connect,সংযোগ করুন
Connect printer and manage certificate,প্রিন্টার সংযোগ করুন এবং শংসাপত্র পরিচালনা করুন
Connecting to QZ Tray...,QZ ট্রেতে সংযোগ করা হচ্ছে...
Connection problem while submitting invoice,চালান জমা দেওয়ার সময় সংযোগ সমস্যা
Connections:,সংযোগ:
Connectivity and cached prerequisite status were rechecked.,কানেক্টিভিটি এবং ক্যাশে করা পূর্বশর্ত স্থিতি পুনরায় পরীক্ষা করা হয়েছে।
Continue Editing,সম্পাদনা চালিয়ে যান
Could not fetch latest balance from server,সার্ভার থেকে সর্বশেষ ব্যালেন্স আনা যায়নি
Count,গণনা
Country,দেশ
Coupon,কুপন
Coupons,কুপন
Cover,আবরণ
CPU Cores:,CPU কোর:
Create,তৈরি করুন
Create and load a new prepaid card,একটি নতুন প্রিপেইড কার্ড তৈরি করুন এবং লোড করুন
Create and preload a new gift card,একটি নতুন উপহার কার্ড তৈরি করুন এবং প্রিলোড করুন
Create Bill,বিল তৈরি করুন
Create Customer,গ্রাহক তৈরি করুন
Create New Item,নতুন আইটেম তৈরি করুন
Create or change your PIN,আপনার পিন তৈরি করুন বা পরিবর্তন করুন
Create PIN,পিন তৈরি করুন
Create POS Opening Shift,POS ওপেনিং শিফট তৈরি করুন
Create Purchase Order,ক্রয় অর্ডার তৈরি করুন
Create Return,রিটার্ন তৈরি করুন
Create return from invoice,চালান থেকে রিটার্ন তৈরি করুন
Create Supplier,সরবরাহকারী তৈরি করুন
Credit and Output,ক্রেডিট এবং আউটপুট
Credit Note,ক্রেডিট নোট
Credit Outstanding,ক্রেডিট অসামান্য
Credit sales remaining to be collected,ক্রেডিট বিক্রয় সংগ্রহ করা বাকি
Critical,সমালোচনামূলক
Currency,মুদ্রা
Current,কারেন্ট
Current Event Loop Lag:,বর্তমান ইভেন্ট লুপ ল্যাগ:
Current Month,বর্তমান মাস
Current PIN,বর্তমান পিন
Current Profile,বর্তমান প্রোফাইল
Current redeemable value on the gift card,উপহার কার্ডে বর্তমান রিডিমযোগ্য মান
Current User,বর্তমান ব্যবহারকারী
Custom,কাস্টম
Custom Due Days,কাস্টম ডিউ দিন
Custom items per page,পৃষ্ঠা প্রতি কাস্টম আইটেম
Customer,গ্রাহক
Customer already selected,গ্রাহক ইতিমধ্যে নির্বাচিত
Customer Balance,গ্রাহক ব্যালেন্স
Customer balance unavailable offline,গ্রাহক ব্যালেন্স অফলাইনে অনুপলব্ধ
Customer created successfully.,গ্রাহক সফলভাবে তৈরি.
Customer creation failed.,গ্রাহক সৃষ্টি ব্যর্থ হয়েছে.
Customer Details,গ্রাহকের বিবরণ
Customer display channel is missing,গ্রাহক প্রদর্শন চ্যানেল অনুপস্থিত
Customer display was blocked. Please allow pop-ups for this site.,গ্রাহক প্রদর্শন ব্লক করা হয়েছে. এই সাইটের জন্য পপ আপ অনুমতি দিন.
Customer group is required,গ্রাহক গ্রুপ প্রয়োজন
Customer is required to add payment,গ্রাহককে অর্থপ্রদান যোগ করতে হবে
Customer Name is required,গ্রাহকের নাম প্রয়োজন
Customer not selected,গ্রাহক নির্বাচিত হয়নি
Customer Report,গ্রাহক রিপোর্ট
Customer saved offline,গ্রাহক অফলাইনে সংরক্ষিত
Customer Screen,গ্রাহক স্ক্রীন
Customer territory is required,গ্রাহক অঞ্চল প্রয়োজন
Customer updated successfully.,গ্রাহক সফলভাবে আপডেট করা হয়েছে।
Customer-facing tools and printer setup.,গ্রাহক-মুখী সরঞ্জাম এবং প্রিন্টার সেটআপ।
Customers,গ্রাহকদের
Customers not found,খদ্দের পাওয়া যায়নি
Daily cashier actions without scrolling.,স্ক্রলিং ছাড়াই দৈনিক ক্যাশিয়ার কর্ম।
Daily Sales,দৈনিক বিক্রয়
Daily Sales Summary,দৈনিক বিক্রয় সারাংশ
Data loaded in form. Review and submit.,ফর্মে ডেটা লোড করা হয়েছে। পর্যালোচনা এবং জমা দিন.
Database Health,ডাটাবেস স্বাস্থ্য
Database health affects overall system speed and reliability.,ডাটাবেস স্বাস্থ্য সামগ্রিক সিস্টেমের গতি এবং নির্ভরযোগ্যতা প্রভাবিত করে।
Database Info,ডাটাবেস তথ্য
Date,তারিখ
Day ?,দিন?
days,দিন
Day-wise (MTD),দিন অনুযায়ী (MTD)
Day-wise Movement,দিনভিত্তিক আন্দোলন
Dead Stock,ডেড স্টক
Dead Stock Items,মৃত স্টক আইটেম
Decrease quantity,পরিমাণ হ্রাস করুন
Default,ডিফল্ট
Default:,ডিফল্ট:
Delete,মুছে দিন
Delete cancelled cash movement {0}?,বাতিল করা নগদ মুভমেন্ট {0} মুছবেন?
Delete Draft,খসড়া মুছুন
Delete draft invoice,খসড়া চালান মুছুন
Delete draft invoice {0}?,খসড়া চালান {0} মুছবেন?
Delete Invoice,চালান মুছুন
Delete offline invoice,অফলাইন চালান মুছুন
Delivered,বিতরণ করা হয়েছে
Delivery Charges,ডেলিভারি চার্জ
Delivery Information,ডেলিভারি তথ্য
Delivery Note {0} created,ডেলিভারি নোট {0} তৈরি করা হয়েছে
Delivery note created,ডেলিভারি নোট তৈরি করা হয়েছে
Deployed Bundle:,স্থাপন করা বান্ডিল:
Deposit,জমা
Description,বর্ণনা
Detailed Supplier Breakdown,বিশদ সরবরাহকারী ব্রেকডাউন
Detecting formats:,বিন্যাস সনাক্তকরণ:
Device Memory:,ডিভাইস মেমরি:
Difference,পার্থক্য
Difference (In Company Currency),পার্থক্য (কোম্পানির মুদ্রায়)
Disable offline mode first to recheck live connectivity.,লাইভ সংযোগ পুনরায় পরীক্ষা করতে প্রথমে অফলাইন মোড অক্ষম করুন।
Disconnect,সংযোগ বিচ্ছিন্ন করুন
discount,ডিসকাউন্ট
Discount %,ছাড় %
Discount / Void / Return Report,ছাড়/অকার্যকর/রিটার্ন রিপোর্ট
Discount Amount,ছাড়ের পরিমাণ
Discount limited by POS Profile,ডিসকাউন্ট POS প্রোফাইল দ্বারা সীমিত
Discounted Invoices,ছাড়কৃত চালান
Discounts,ছাড়
Dismiss,খারিজ
Download Certificate,সার্টিফিকেট ডাউনলোড করুন
Draft,খসড়া
Draft invoice deleted,খসড়া চালান মুছে ফেলা হয়েছে
Draft source,খসড়া উৎস
Drafts,খসড়া
Due {0},বকেয়া {0}
Due Date,শেষ তারিখ
Duplicate,ডুপ্লিকেট
Edit customer,গ্রাহক সম্পাদনা করুন
Edit discount amount,ডিসকাউন্ট পরিমাণ সম্পাদনা করুন
Edit discount percentage,ডিসকাউন্ট শতাংশ সম্পাদনা করুন
Edit Gift Application,উপহারের আবেদন সম্পাদনা করুন
Edit item name,আইটেমের নাম সম্পাদনা করুন
Edit quantity,পরিমাণ সম্পাদনা করুন
Edit rate,হার সম্পাদনা করুন
Edit unit of measure,পরিমাপের একক সম্পাদনা করুন
Edited,সম্পাদিত
Employee,কর্মচারী
Enable background sync,ব্যাকগ্রাউন্ড সিঙ্ক সক্ষম করুন
Enable Customer Display in POS Profile first.,প্রথমে POS প্রোফাইলে গ্রাহক প্রদর্শন সক্ষম করুন।
Enter a PIN.,একটি পিন লিখুন।
Enter a valid grams value,একটি বৈধ গ্রাম মান লিখুন
Enter new price list rate,নতুন মূল্য তালিকা হার লিখুন
Enter Quantity,পরিমাণ লিখুন
Enter the cashier PIN to continue.,চালিয়ে যেতে ক্যাশিয়ার পিন লিখুন।
Enter the current PIN first.,প্রথমে বর্তমান পিন লিখুন।
"Enter the current PIN, then choose a new one.","বর্তমান পিন লিখুন, তারপর একটি নতুন চয়ন করুন৷"
Enter valid grams for scale barcode,স্কেল বারকোডের জন্য বৈধ গ্রাম লিখুন
Entries,এন্ট্রি
Error accessing camera:,ক্যামেরা অ্যাক্সেস করতে ত্রুটি:
Error calculating prices,মূল্য গণনা ত্রুটি
Error fetching customer balance,গ্রাহকের ভারসাম্য আনতে ত্রুটি৷
Error in change calculations!,পরিবর্তনের গণনায় ত্রুটি!
Error Loading Data,ডেটা লোড করার সময় ত্রুটি৷
Error loading invoice details,চালানের বিবরণ লোড করার সময় ত্রুটি৷
Error processing invoice,চালান প্রক্রিয়াকরণে ত্রুটি৷
Error processing payment,পেমেন্ট প্রক্রিয়াকরণে ত্রুটি
Error searching invoices,চালান অনুসন্ধানে ত্রুটি৷
Error submitting invoice:,চালান জমা দিতে ত্রুটি:
Error submitting invoice: {0},চালান জমা দেওয়ার সময় ত্রুটি: {0}
Error submitting invoice: No response from server,চালান জমা দেওয়ার সময় ত্রুটি: সার্ভার থেকে কোনো প্রতিক্রিয়া নেই৷
Error updating currency,মুদ্রা আপডেট করার সময় ত্রুটি
Error updating item details,আইটেমের বিশদ বিবরণ আপডেট করার সময় ত্রুটি৷
Est. Purchase,অনুমান। ক্রয়
Est. Value,অনুমান। মান
Event-loop lag measures how busy your browser is. Lower is better.,ইভেন্ট-লুপ ল্যাগ আপনার ব্রাউজার কতটা ব্যস্ত তা পরিমাপ করে। নিম্নতর ভাল।
Every,প্রতিটি
Exchange Rate,বিনিময় হার
Expand item details,আইটেমের বিবরণ প্রসারিত করুন
Expected Amount (In Company Currency),প্রত্যাশিত পরিমাণ (কোম্পানির মুদ্রায়)
Expected Cash,প্রত্যাশিত নগদ
Expected cash on hand grouped by currency,মুদ্রা দ্বারা গোষ্ঠীবদ্ধ হাতে প্রত্যাশিত নগদ
Expected vs Actual,প্রত্যাশিত বনাম বাস্তব
Expense,ব্যয়
Expense Account (Optional Override),খরচের হিসাব (ঐচ্ছিক ওভাররাইড)
Expense account is required.,খরচ অ্যাকাউন্ট প্রয়োজন.
Expenses and deposits posted during this shift,এই শিফটের সময় পোস্ট করা খরচ এবং আমানত
