POS Awesome,POS Minunat
Additional Discount,Reducere suplimentară
Additional Discount %,% discount suplimentar
Address Line 1,Linia de adresă 1
Address not found,Adresa nu a fost găsită
Adjust the quantity or enable negative stock to continue.,Ajustați cantitatea sau activați stocul negativ să continue.
Adjustment,Ajustare
After returns,După întoarceri
Against,Împotriva
Against Name,Împotriva numelui
Age Bracket,Categoria de vârstă
All,Toate
All Caught Up!,Toți prinși!
All invoices are synchronized,Toate facturile sunt sincronizate
All pending invoices are up to date,Toate facturile în așteptare sunt la zi
All Profiles,Toate profilurile
All Synchronized,Toate sincronizate
All visible invoices are fully settled.,Toate facturile vizibile sunt decontate integral.
All Warehouses,Toate Depozitele
Allowed UOM is {0},UOM permisă este {0}
Always fetch items from server (ignore local cache),Preluați întotdeauna elemente de pe server (ignorați memoria cache locală)
Amount,Suma
Amount already received,Suma primita deja
Amount exceeds profile cash movement max amount.,Suma depășește suma maximă a mișcării de numerar de profil.
Amount must be greater than zero.,Suma trebuie să fie mai mare decât zero.
Amount received from customer,Suma primita de la client
Appearance and user-level preferences for the current session.,Aspect și preferințe la nivel de utilizator pentru sesiunea curentă.
Applied,Aplicat
Apply,Aplicați
Apply Gift Card,Aplicați cardul cadou
Apply Offer,Aplica oferta
Apply On,Aplicați pe
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Aplicați doar suma pe care doriți să o răscumpărați pe această factură. Soldul rămas rămâne pe card.
Apply Redemption,Aplicați Răscumpărarea
Applying,Aplicarea
Apps,Aplicații
Are you sure you want to close? All entered data will be lost.,Ești sigur că vrei să închizi? Toate datele introduse se vor pierde.
Attributes (Size/Color),Atribute (dimensiune/culoare)
Auto Allocate Payment Amount,Alocați automat suma de plată
Auto Reconcile,Reconciliere automată
Auto reconciliation completed after payment submit.,Reconcilierea automată a fost finalizată după trimiterea plății.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Reconcilierea automată a fost finalizată. Alocat: {0}{1}. Restul restante: {0}{2}.
Available Actions,Acțiuni disponibile
Available QTY,CANTITATE disponibilă
Available:,Disponibil:
Average Basket,Coș mediu
Average Bill,Factura medie
Average Ticket,Biletul mediu
Avg Bill,Factura medie
Avg Invoice,Factură medie
Avg Invoice Profit,Profit mediu pe factură
Avg Invoice Value,Valoarea medie a facturii
Avg Purchase Frequency,Frecvența medie de achiziție
Awesome,Minunat
Awesome Dashboard,Tabloul de bord minunat
Awesome Dashboard is disabled for the selected POS Profile.,Awesome Dashboard este dezactivat pentru profilul POS selectat.
Awesome Dashboard is unavailable for the selected scope.,Awesome Dashboard nu este disponibil pentru domeniul selectat.
Awesome Dashboard is visible only to POS supervisors.,Awesome Dashboard este vizibil numai pentru supraveghetorii POS.
Back,Înapoi
Back Office Cash Account,Cont de numerar din Back Office
Back Office Cash Account (Optional Override),Cont de numerar Back Office (Anulare opțională)
Back office cash account is required.,Este necesar un cont de numerar de back office.
Back to {0},Înapoi la {0}
Background processing did not finish in time.,Procesarea în fundal nu s-a încheiat la timp.
Background processing failed for Invoice {0}: {1},Procesarea în fundal a eșuat pentru factura {0}: {1}
Background Submission Failed,Trimiterea în fundal a eșuat
Background sync interval (seconds),Interval de sincronizare în fundal (secunde)
Balance,Echilibru
Balance will be updated when connection is restored,Soldul va fi actualizat la restabilirea conexiunii
Balances still pending,Solduri încă în așteptare
Barcode,Cod de bare
Barcode / QR Ready,Cod de bare / QR Ready
Barcode Label Printing,Imprimarea etichetelor cu coduri de bare
Base Paid:,Plătit de bază:
Base Recv:,Recv de bază:
Base:,Baza:
Basic Information,Informații de bază
Batch,lot
Batch Information,Informații despre lot
Before any return workflow,Înainte de orice flux de lucru de retur
Before returns,Înainte de întoarceri
Best Day,Cea mai bună zi
Best Seller,Cel mai bine vândut
Book expense or deposit from active shift.,Rezervați cheltuiala sau depozitul din tura activă.
Branch / Location-wise Report,Raport în funcție de sucursală / locație
Brand-wise,În ceea ce privește marca
Breakdown,Defalcare
Browse,Răsfoiește
Build Time:,Timp de construcție:
Built with Frappe,Construit cu Frappe
Bundle,Pachet
Buying Price,Pretul de cumparare
Cache cleared successfully,Cache-ul a fost golit cu succes
Cache Usage,Utilizare cache
cache used,cache folosit
Calculating...,Se calculează...
Camera Access Required,Accesul la cameră este necesar
Camera access was aborted. Please try again.,Accesul la cameră a fost întrerupt. Vă rugăm să încercați din nou.
Camera constraints not supported by your device. Trying fallback settings...,Constrângerile camerei nu sunt acceptate de dispozitivul dvs. Se încearcă setările de rezervă...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,Camera este ocupată sau blocată de altă aplicație/filă. Închideți alte aplicații ale camerei și încercați din nou.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,Permisiunea camerei a fost refuzată. Vă rugăm să permiteți accesul camerei în setările browserului dvs. și să reîmprospătați pagina.
Camera scanner is locked until the current error is acknowledged,Scanerul camerei este blocat până când eroarea curentă este confirmată
Camera started but the video stream did not load in time. Please try again.,"Camera a pornit, dar fluxul video nu s-a încărcat la timp. Vă rugăm să încercați din nou."
Cancel cash movement {0}?,Anulați mișcarea de numerar {0}?
Cancel Payment,Anulați plata
Cancel Sale,Anulează vânzarea
Cancel Sale ?,Anulați vânzarea?
Cancelled,Anulat
Cannot add an item with zero or negative quantity.,Nu se poate adăuga un articol cu cantitate zero sau negativă.
Cannot clear cache while offline,Nu se poate șterge memoria cache când este offline
Cannot redeem customer credit more than invoice total,Nu se poate valorifica creditul clientului mai mult decât totalul facturii
Cannot redeem gift cards more than invoice total,Nu se pot valorifica cardurile cadou mai mult decât totalul facturii
Cannot Save Offline Invoice:,Nu se poate salva factura offline:
Cannot Save Offline Payment:,Nu se poate salva plata offline:
Card,Card
Card / Online,Card / Online
Card health after the last live lookup,Sănătatea cardului după ultima căutare live
Cards,Carduri
Cart,Cărucior
Cash,Numerar
Cash back to customers,Rambursarea banilor către clienți
Cash Collections,Încasări în numerar
Cash Deposit is disabled for this POS Profile.,Depozitul în numerar este dezactivat pentru acest profil POS.
Cash Drawer Snapshot,Instantaneu sertar de numerar
Cash In Hand,Numerar în mână
Cash Movement,Mișcarea numerarului
Cash movement cancelled,Mișcarea numerarului a fost anulată
Cash movement deduction applied,S-a aplicat deducerea mișcării numerarului
Cash movement deleted,Mișcarea numerarului a fost ștearsă
Cash movement is disabled for this POS Profile.,Mișcarea numerarului este dezactivată pentru acest profil POS.
Cash Movement is disabled in current POS Profile.,Mișcarea numerarului este dezactivată în profilul POS actual.
Cash movement saved offline,Mișcarea numerarului a fost salvată offline
Cash movement submitted,Mișcare de numerar transmisă
Cash Movements,Mișcări de numerar
Cash payment cannot be less than invoice total when partial payment is not allowed,Plata în numerar nu poate fi mai mică decât totalul facturii atunci când plata parțială nu este permisă
Cash returned after payment,Numerar returnat după plată
Cashier,casier
Cashier Access,Acces Casier
Cashier identity and appearance preferences.,Identitatea casierului și preferințele de aspect.
Cashier PIN,PIN casier
Cashier PIN saved successfully.,PIN-ul casierului a fost salvat cu succes.
Cashiers,Casierii
Cashier-wise,Din punct de vedere al casieriei
Categories,Categorii
Category,categorie
Category / Brand / Variant Report,Raport Categorie/Marcă/Variante
Category-wise,Din punct de vedere al categoriei
Category-wise Margin,Marja pe categorii
Certificate,Certificat
Certificate is missing or not trusted. QZ may show confirmation dialogs.,Certificatul lipsește sau nu este de încredere. QZ poate afișa dialoguri de confirmare.
Certificate is trusted. Silent QZ printing is active.,Certificatul este de încredere. Imprimarea QZ silențioasă este activă.
Change,Schimbare
Change allocation repaired,Modificarea alocării a fost reparată
Change Price,Schimbați prețul
Change Return,Schimbați Retur
Change Returned,Schimbarea a revenit
Change terminal cashier,Schimbați casieria terminalului
Charge Heads,Capete de încărcare
Charges,Taxe
Charges not found,Taxele nu au fost găsite
Check Balance,Verificați soldul
Check balance for any card. Supervisors can issue and top up cards here.,Verificați soldul oricărui card. Supraveghetorii pot emite și încărca carduri aici.
Check balance only,Verificați doar soldul
Check for new commits,Verificați noi comiteri
Check for Updates,Verificați actualizările
Check live balance before applying redemption,Verificați soldul real înainte de a aplica răscumpărarea
Check live balance before redemption,Verificați soldul în timp real înainte de răscumpărare
Checking...,Se verifică...
Cheque/Reference Date,Cec/Data de referință
Cheque/Reference No,Cec/Nr
Choose the cashier currently operating this terminal.,Alegeți casieria care operează în prezent acest terminal.
City,Orașul
Clear,Clar
Clear All,Ștergeți tot
Clear all barcode items,Ștergeți toate elementele codurilor de bare
Clear all purchase order items,Ștergeți toate articolele comenzii de achiziție
Clear Search,Ștergeți căutarea
Clearing local cache...,Se golește memoria cache locală...
Click to refresh,Faceți clic pentru a reîmprospăta
Client CPU Lag:,Întârziere CPU client:
Client Memory Usage:,Utilizarea memoriei clientului:
Client Metrics,Valorile clientului
Close about dialog,Închideți despre dialog
Close cashier switcher,Închideți comutatorul de casierie
Close closing shift dialog,Închideți dialogul de închidere a turei
Close column selector,Închideți selectorul de coloană
Close Dialog,Închide caseta de dialog
Close drafts dialog,Închideți dialogul pentru schițe
Close invoice details dialog,Închideți dialogul cu detaliile facturii
Close invoice management,Închideți gestionarea facturilor
Close offline invoices dialog,Închideți dialogul de facturi offline
Close packing list dialog,Închideți caseta de dialog pentru lista de ambalare
Close returns dialog,Închideți dialogul de întoarcere
Close sales orders dialog,Închideți dialogul de comenzi de vânzare
Close Scanner,Închideți scanerul
Close scanner dialog,Închideți dialogul scanerului
Close Settings,Închide Setări
Closing Amount,Suma de închidere
Closing POS Shift,Închiderea POS Shift
Closing Snapshot Available,Instantaneu de închidere disponibil
Code,Cod
Code scanned successfully,Codul a fost scanat cu succes
COGS,COGS
Collapse item details,Restrângeți detaliile articolului
Collected,Colectat
Cols,cols
Columns,Coloane
commits,comite
Completed and active sales in this range,Vânzări finalizate și active în această gamă
Completed returns will appear here.,Retururile finalizate vor apărea aici.
Confirm,Confirmați
Confirm Close,Confirmați Închidere
Confirm Mobile Number,Confirmați numărul de mobil
Confirm PIN,Confirmați codul PIN
Connect,Conectați-vă
Connect printer and manage certificate,Conectați imprimanta și gestionați certificatul
Connecting to QZ Tray...,Se conectează la QZ Tray...
Connection problem while submitting invoice,Problemă de conectare la trimiterea facturii
Connections:,Conexiuni:
Connectivity and cached prerequisite status were rechecked.,Conectivitatea și starea cerințelor prealabile stocate în cache au fost verificate din nou.
Continue Editing,Continuați editarea
Could not fetch latest balance from server,Nu s-a putut prelua cel mai recent sold de pe server
Count,numără
Country,Țara
Coupon,Cupon
Coupons,Cupoane
Cover,Acoperire
CPU Cores:,Nuclee CPU:
Create,Creați
Create and load a new prepaid card,Creați și încărcați un nou card preplătit
Create and preload a new gift card,Creați și preîncărcați un nou card cadou
Create Bill,Creați Bill
Create Customer,Creați client
Create New Item,Creați un articol nou
Create or change your PIN,Creați sau modificați codul PIN
Create PIN,Creați codul PIN
Create POS Opening Shift,Creați schimb de deschidere POS
Create Purchase Order,Creați comandă de achiziție
Create Return,Creați returnare
Create return from invoice,Creați retur din factură
Create Supplier,Creați furnizor
Credit and Output,Credit și ieșire
Credit Note,Nota de credit
Credit Outstanding,Credit restante
Credit sales remaining to be collected,Vânzările pe credit rămân de încasat
Critical,Critic
Currency,Moneda
Current,Curent
Current Event Loop Lag:,Întârzierea buclei evenimentului curent:
Current Month,Luna curentă
Current PIN,PIN curent
Current Profile,Profil curent
Current redeemable value on the gift card,Valoarea actuală rambursabilă a cardului cadou
Current User,Utilizator curent
Custom,Personalizat
Custom Due Days,Zile scadente personalizate
Custom items per page,Articole personalizate pe pagină
Customer,Client
Customer already selected,Client deja selectat
Customer Balance,Soldul clientului
Customer balance unavailable offline,Soldul clientului nu este disponibil offline
Customer created successfully.,Client creat cu succes.
Customer creation failed.,Crearea clienților a eșuat.
Customer Details,Detalii client
Customer display channel is missing,Canalul de afișare a clienților lipsește
Customer display was blocked. Please allow pop-ups for this site.,Afișarea clientului a fost blocată. Vă rugăm să permiteți ferestrele pop-up pentru acest site.
Customer group is required,Este necesar grupul de clienți
Customer is required to add payment,Clientului i se cere să adauge plata
Customer Name is required,Numele clientului este obligatoriu
Customer not selected,Clientul nu a fost selectat
Customer Report,Raportul clientului
Customer saved offline,Clientul a fost salvat offline
Customer Screen,Ecranul clientului
Customer territory is required,Este necesar teritoriul clientului
Customer updated successfully.,Clientul a fost actualizat cu succes.
Customer-facing tools and printer setup.,Instrumente orientate către client și configurarea imprimantei.
Customers,Clienții
Customers not found,Clienți nu au fost găsiți
Daily cashier actions without scrolling.,Acțiuni zilnice ale casieriei fără defilare.
Daily Sales,Vânzări zilnice
Daily Sales Summary,Rezumatul zilnic al vânzărilor
Data loaded in form. Review and submit.,Date încărcate în formular. Examinați și trimiteți.
Database Health,Sănătatea bazei de date
Database health affects overall system speed and reliability.,Sănătatea bazei de date afectează viteza generală și fiabilitatea sistemului.
Database Info,Informații baza de date
Date,Data
Day ?,Ziua?
days,zile
Day-wise (MTD),În funcție de zi (MTD)
Day-wise Movement,Mișcarea în funcție de zi
Dead Stock,Stoc mort
Dead Stock Items,Articole de stoc mort
Decrease quantity,Scade cantitatea
Default,Implicit
Default:,Implicit:
Delete,Ștergeți
Delete cancelled cash movement {0}?,Ștergeți mișcarea de numerar anulată {0}?
Delete Draft,Ștergeți schița
Delete draft invoice,Ștergeți proiectul de factură
Delete draft invoice {0}?,Ștergeți proiectul de factură {0}?
Delete Invoice,Șterge factura
Delete offline invoice,Ștergeți factura offline
Delivered,Livrat
Delivery Charges,Taxe de livrare
Delivery Information,Informații de livrare
Delivery Note {0} created,A fost creată nota de livrare {0}
Delivery note created,S-a creat bonul de livrare
Deployed Bundle:,Pachet implementat:
Deposit,Depozit
Description,Descriere
Detailed Supplier Breakdown,Defalcare detaliată a furnizorilor
Detecting formats:,Detectarea formatelor:
Device Memory:,Memoria dispozitivului:
Difference,Diferența
Difference (In Company Currency),Diferență (în moneda companiei)
Disable offline mode first to recheck live connectivity.,Dezactivați mai întâi modul offline pentru a verifica din nou conectivitatea live.
Disconnect,Deconectați-vă
discount,reducere
Discount %,Reducere %
Discount / Void / Return Report,Raport de reducere / nul / returnare
Discount Amount,Suma de reducere
Discount limited by POS Profile,Reducere limitată de profilul POS
Discounted Invoices,Facturi reduse
Discounts,Reduceri
Dismiss,Respingeți
Download Certificate,Descărcați certificatul
Draft,Ciornă
Draft invoice deleted,Ciornă de factură a fost ștearsă
Draft source,Sursa schiță
Drafts,Ciorne
Due {0},Data scadentă {0}
Due Date,Data scadentă
Duplicate,Duplicat
Edit customer,Editați clientul
Edit discount amount,Editați suma reducerii
Edit discount percentage,Editați procentul de reducere
Edit Gift Application,Editați aplicația cadou
Edit item name,Editați numele articolului
Edit quantity,Editați cantitatea
Edit rate,Editați rata
Edit unit of measure,Editați unitatea de măsură
Edited,Editat
Employee,Angajat
Enable background sync,Activați sincronizarea în fundal
Enable Customer Display in POS Profile first.,Activați mai întâi afișarea clientului în profilul POS.
Enter a PIN.,Introduceți un PIN.
Enter a valid grams value,Introduceți o valoare validă în grame
Enter new price list rate,Introduceți noul tarif de listă de prețuri
Enter Quantity,Introduceți Cantitatea
Enter the cashier PIN to continue.,Introduceți PIN-ul casierului pentru a continua.
Enter the current PIN first.,Introduceți mai întâi PIN-ul curent.
"Enter the current PIN, then choose a new one.","Introduceți codul PIN actual, apoi alegeți unul nou."
Enter valid grams for scale barcode,Introduceți grame valide pentru codul de bare
Entries,Intrări
Error accessing camera:,Eroare la accesarea camerei:
Error calculating prices,Eroare la calcularea prețurilor
Error fetching customer balance,Eroare la preluarea soldului clientului
Error in change calculations!,Eroare la calculele modificării!
Error Loading Data,Eroare la încărcarea datelor
Error loading invoice details,Eroare la încărcarea detaliilor facturii
Error processing invoice,Eroare la procesarea facturii
Error processing payment,Eroare la procesarea plății
Error searching invoices,Eroare la căutarea facturilor
Error submitting invoice:,Eroare la trimiterea facturii:
Error submitting invoice: {0},Eroare la trimiterea facturii: {0}
Error submitting invoice: No response from server,Eroare la trimiterea facturii: niciun răspuns de la server
Error updating currency,Eroare la actualizarea monedei
Error updating item details,Eroare la actualizarea detaliilor articolului
Est. Purchase,Est. Cumpără
Est. Value,Est. Valoare
Event-loop lag measures how busy your browser is. Lower is better.,Întârzierea buclei de evenimente măsoară cât de ocupat este browserul dvs. Mai jos este mai bine.
Every,Fiecare
Exchange Rate,Cursul de schimb
Expand item details,Extindeți detaliile articolului
Expected Amount (In Company Currency),Suma așteptată (în moneda companiei)
Expected Cash,Numerar așteptat
Expected cash on hand grouped by currency,"Numerar în mână așteptați, grupați în funcție de monedă"
Expected vs Actual,Așteptată vs Reală
Expense,Cheltuiala
Expense Account (Optional Override),Cont de cheltuieli (Anulare opțională)
Expense account is required.,Este necesar un cont de cheltuieli.
Expenses and deposits posted during this shift,Cheltuieli și depozite înregistrate în timpul acestei ture
Expired,A expirat
Failed to auto reconcile payments.,Nu s-au reconciliat automat plățile.
Failed to cancel cash movement,Nu s-a anulat mișcarea numerarului
Failed to clear cache,Nu s-a șters memoria cache
Failed to create item,Nu s-a putut crea elementul
Failed to create supplier,Nu s-a putut crea furnizorul
Failed to delete cash movement,Nu s-a șters mișcarea numerarului
Failed to generate scale barcode. Using item barcode only.,Nu s-a putut genera codul de bare la scară. Folosind numai codul de bare al articolului.
Failed to load cash movement context.,Nu s-a încărcat contextul de mișcare a numerarului.
Failed to load dashboard data.,Nu s-au încărcat datele din tabloul de bord.
Failed to reload invoice from server,Nu s-a reîncărcat factura de pe server
Failed to submit cash movement,Mișcarea de numerar nu a fost trimisă
Failed to sync offline cash movements,Nu s-au sincronizat mișcările de numerar offline
Fast cashier actions for active shifts.,Acțiuni rapide de casierie pentru ture active.
Fast Moving Items,Elemente cu mișcare rapidă
Fees,Taxe
Fetch the latest offline prerequisite updates,Preluați cele mai recente actualizări ale cerințelor preliminare offline
Find a sales order quickly and load it into the current sale.,Găsiți rapid o comandă de vânzare și încărcați-o în vânzarea curentă.
Fixing payment amounts for return invoice...,Se fixează sumele de plată pentru factura de retur...
Flash Off,Bliț oprit
Flash On,Flash pornit
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","Pentru articolele „Pachet de produse”, numărul de depozit, numărul de serie și numărul de lot vor fi luate în considerare din tabelul „Lista de ambalare”. Dacă Depozitul și numărul de lot sunt aceleași pentru toate articolele de ambalare pentru orice articol „Pachet de produse”, acele valori pot fi introduse în tabelul principal cu articole; valorile vor fi copiate în tabelul „Lista de ambalare”."
Free,Gratuit
Free Qty,Cantitate gratuită
Frequency,Frecvența
from,din
From Date,De la Data
Fulfillment Details,Detalii de îndeplinire
Full Name,Nume complet
Gain,Câștigă
Generate a fresh prepaid card and start it with an opening balance.,Generați un nou card preplătit și începeți-l cu un sold de deschidere.
Generate and install the certificate to allow fully silent printing without trust prompts.,Generați și instalați certificatul pentru a permite imprimarea complet silențioasă fără solicitări de încredere.
Generate Certificate,Generați certificat
Generated scale barcode: {0},Cod de bare pentru scară generat: {0}
Get Payments,Obțineți plăți
Gift Card,Card cadou
Gift card amount must be greater than zero.,Valoarea cardului cadou trebuie să fie mai mare decât zero.
Gift Card Code,Cod card cadou
Gift card code is required for redemption,Codul cardului cadou este necesar pentru valorificare
Gift card code is required.,Codul cardului cadou este necesar.
Gift card issued successfully.,Card cadou emis cu succes.
Gift card loaded successfully.,Cardul cadou a fost încărcat cu succes.
Gift Card Management,Gestionarea cardurilor cadou
Gift card payment,Plata prin card cadou
Gift card redemption requires an online connection,Valorificarea cardului cadou necesită o conexiune online
Gift card topped up successfully.,Cardul cadou a fost încărcat cu succes.
Gift Cards,Carduri cadou
Go to Frappe Desk,Du-te la Frappe Desk
Grand Total,Total mare
Gross Margin,Marja brută
Gross Profit,Profit Brut
Gross Sales,Vânzări Brute
Group not found,Grupul nu a fost găsit
"Grouped controls for terminal, UI, and session settings.","Controale grupate pentru setările de terminal, UI și sesiune."
Grouped totals for each payment method and currency,Totaluri grupate pentru fiecare metodă de plată și monedă
Hide,Ascunde
Hide Gift Card,Ascunde cardul cadou
Hide Non Essential Fields,Ascundeți câmpurile neesențiale
Hide quantity decimals,Ascundeți zecimale de cantitate
Hide search tools,Ascunde instrumentele de căutare
Hide zero rated items,Ascunde articolele evaluate zero
High,Înalt
History,istorie
Hourly (Today),Orar (Astăzi)
How this section works,Cum funcționează această secțiune
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","Dacă rămân date învechite, deschideți Setări > Offline și sincronizare și rulați din nou Rebuild Offline Data când sunteți online."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","Dacă avertismentul persistă, deschideți Setări > Offline și sincronizare, apoi rulați Actualizare date offline sau Reconstruiți date offline."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,Importați certificatul în QZ Tray și reporniți QZ Tray pe fiecare aparat POS.
In,În
In stock: {0},În stoc: {0}
Include Batch / Serial,Include lot/serial
Include Price,Includeți prețul
Increase quantity,Măriți cantitatea
IndexedDB,IndexedDB
Initial Amount,Suma inițială
Initialize your shift with opening balances,Inițializați-vă tura cu soldurile de deschidere
Initializing application...,Se inițializează aplicația...
"Inspect cache, sync, and prerequisite status","Inspectați memoria cache, sincronizarea și starea cerințelor preliminare"
Installed Applications,Aplicații instalate
Insufficient stock:\n{0},Stoc insuficient:\n{0}
Invalid rate,Tarif nevalid
Inventory Status Report,Raport privind starea inventarului
Invoice,Factură
Invoice {0} is Submitted,Factura {0} este trimisă
Invoice {0} processed successfully,Factura {0} a fost procesată cu succes
Invoice {0} submission failed,Trimiterea facturii {0} a eșuat
Invoice {0} was already submitted,Factura {0} a fost deja trimisă
Invoice Adjustments,Ajustări facturi
Invoice Change,Modificarea facturii
Invoice Details,Detalii factură
Invoice is still in draft after background submission.,Factura este încă în schiță după trimiterea în antecedente.
Invoice Items,Articole pe factură
Invoice Management,Managementul facturilor
Invoice Mgmt,Gestiunea facturii
Invoice saved offline,Factura salvată offline
Invoice submission failed,Trimiterea facturii nu a reușit
Invoice Submitted,Factură transmisă
"Invoice value settled by loyalty points, not cash collection","Valoarea facturii decontată prin puncte de fidelitate, nu încasări în numerar"
Invoices,Facturi
Invoices already past due date,Facturile deja depășite de scadență
Invoices saved as POS Invoices,Facturi salvate ca facturi POS
Invoices still carrying balances,Facturi care încă au solduri
Issue Mode,Modul Problemă
Issue New Card,Emite card nou
Issue Workflow,Emite fluxul de lucru
"Issue, top up, and check","Emiteți, completați și verificați"
Item,Articol
Item / Product Sales Report,Raport vânzări articol/produs
Item {0} added to invoice,Articolul {0} a fost adăugat la factură
Item '{0}' has no barcode,Articolul „{0}” nu are cod de bare
Item Code,Cod articol
Item created successfully,Element creat cu succes
Item is out of stock,Produsul este epuizat
Item Name,Nume articol
Item not found,Element nu a fost găsit
Item order updated,Comanda articolelor a fost actualizată
Item Selector Settings,Setări selector de articole
Items,Articole
Items added in POS will appear here automatically.,Articolele adăugate în POS vor apărea automat aici.
Items added to invoice,Articole adăugate pe factură
Items per page,Articole pe pagină
Items Sold,Articole vândute
Items/Invoice,Articole/Factură
Item-wise Profitability,Rentabilitatea în funcție de articole
Journal Entry,Intrare în jurnal
json,json
Just now,Chiar acum
Keep offline prerequisites healthy and recover stale data safely.,Păstrați condițiile prealabile offline sănătoase și recuperați datele învechite în siguranță.
Labels,Etichete
"Language, theme, terminal tools, and session controls.","Limbă, temă, instrumente terminale și controale de sesiune."
Last,Ultimul
Last 14 Days (Paid vs Pending),Ultimele 14 zile (plătit vs în așteptare)
Last 14 Days Activity,Activitatea din ultimele 14 zile
Last 14 Days Gross Profit,Profit brut din ultimele 14 zile
Last 14 Days Purchases,Achiziții din ultimele 14 zile
Last 14 Days Tax/Charges,Ultimele 14 zile Taxe/Taxe
Last sync:,Ultima sincronizare:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},Ultima sincronizare: {0} | ok: {1} | a eșuat: {2} | omis: {3}
Latest entries for current shift,Ultimele intrări pentru schimbul curent
Lead Time,Timp de livrare
Limited,Limitat
lines,linii
List,Lista
Live Snapshot,Instantaneu live
Load a POS profile and cashier first.,Încărcați mai întâi un profil POS și o casierie.
Load More Invoices,Încărcați mai multe facturi
Load previously saved invoices,Încărcați facturile salvate anterior
Load Sale,Vânzare de încărcare
Load Sales Invoice,Încărcați factura de vânzare
Loading app data...,Se încarcă datele aplicației...
Loading customer database...,Se încarcă baza de date cu clienți...
Loading customers...,Se încarcă clienții...
Loading database stats...,Se încarcă statisticile bazei de date...
Loading details...,Se încarcă detaliile...
Loading invoice history...,Se încarcă istoricul facturilor...
Loading items...,Se încarcă articole...
Loading product catalog...,Se încarcă catalogul de produse...
Loading return invoices...,Se încarcă facturile de retur...
Loading server CPU/memory usage...,Se încarcă utilizarea CPU/memoriei serverului...
Loading suppliers...,Se încarcă furnizorii...
Loading unpaid invoices...,Se încarcă facturile neplătite...
Loading view...,Se încarcă vizualizarea...
Loading...,Se încarcă...
