POS Awesome,POS නියමයි
Active sale,සක්රිය විකිණීම
add,එකතු කරන්න
Add items from the selector to start building this sale.,මෙම අලෙවිය ගොඩනැගීම ආරම්භ කිරීමට තේරීම්කාරකයෙන් අයිතම එක් කරන්න.
Add more value to an existing gift card,පවතින තෑගි කාඩ්පතකට වැඩි වටිනාකමක් එක් කරන්න
Add New Address,නව ලිපිනය එක් කරන්න
Add new customer,නව පාරිභෝගිකයෙකු එක් කරන්න
Add on New Line,නව රේඛාවට එකතු කරන්න
Add Payment,ගෙවීම් එකතු කරන්න
Add payment to invoice,ඉන්වොයිසියට ගෙවීම එක් කරන්න
Add/Edit Coupon Conditions,කූපන් කොන්දේසි එකතු කරන්න/සංස්කරණය කරන්න
Additional Discount,අමතර වට්ටම්
Additional Discount %,අමතර වට්ටම් %
Address Line 1,ලිපින පේළිය 1
Address not found,ලිපිනය හමු නොවීය
Adjust the quantity or enable negative stock to continue.,ප්‍රමාණය සීරුමාරු කරන්න හෝ සෘණ කොටස් දිගටම කරගෙන යාමට සබල කරන්න.
Adjustment,ගැලපීම
After returns,ආපසු පැමිණීමෙන් පසු
Against,එරෙහිව
Against Name,නමට එරෙහිව
Age Bracket,වයස් සීමාව
All,සියල්ල
All Caught Up!,සියල්ල අල්ලා!
All invoices are synchronized,සියලුම ඉන්වොයිසි සමමුහුර්ත කර ඇත
All pending invoices are up to date,සියලුම පොරොත්තු ඉන්වොයිසි යාවත්කාලීන වේ
All Profiles,සියලුම පැතිකඩ
All Synchronized,සියල්ල සමමුහුර්ත කර ඇත
All visible invoices are fully settled.,සියලුම දෘශ්‍ය ඉන්වොයිසි සම්පූර්ණයෙන්ම පියවා ඇත.
All Warehouses,සියලුම ගබඩා
Allowed UOM is {0},අවසර ලත් UOM යනු {0}
Always fetch items from server (ignore local cache),සෑම විටම සේවාදායකයෙන් අයිතම ලබා ගන්න (දේශීය හැඹිලිය නොසලකා හරින්න)
Amount,මුදල
Amount already received,දැනටමත් ලැබී ඇති මුදල
Amount exceeds profile cash movement max amount.,මුදල පැතිකඩ මුදල් සංචලන උපරිම මුදල ඉක්මවයි.
Amount must be greater than zero.,මුදල බිංදුවට වඩා වැඩි විය යුතුය.
Amount received from customer,පාරිභෝගිකයාගෙන් ලැබුණු මුදල
Appearance and user-level preferences for the current session.,වත්මන් සැසිය සඳහා පෙනුම සහ පරිශීලක මට්ටමේ මනාප.
Applied,අයදුම් කළා
Apply,අයදුම් කරන්න
Apply Gift Card,තෑගි කාඩ්පත අයදුම් කරන්න
Apply Offer,පිරිනැමීම අයදුම් කරන්න
Apply On,අයදුම් කරන්න
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,මෙම ඉන්වොයිසිය මත ඔබට මුදා ගැනීමට අවශ්‍ය මුදල පමණක් යොදන්න. ඉතිරි ශේෂය කාඩ්පත මත පවතී.
Apply Redemption,Redemption යොදන්න
Applying,අයදුම් කිරීම
Apps,යෙදුම්
Are you sure you want to close? All entered data will be lost.,ඔබට වසා දැමීමට අවශ්‍ය බව විශ්වාසද? ඇතුළත් කළ සියලුම දත්ත නැති වී යයි.
Attributes (Size/Color),ගුණාංග (ප්‍රමාණය/වර්ණය)
Auto Allocate Payment Amount,ගෙවීම් මුදල ස්වයංක්‍රීයව වෙන් කරන්න
Auto Reconcile,ස්වයංක්‍රීය සංහිඳියාව
Auto reconciliation completed after payment submit.,ගෙවීම් ඉදිරිපත් කිරීමෙන් පසු ස්වයං ප්‍රතිසන්ධානය සම්පූර්ණ විය.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,ස්වයං ප්‍රතිසන්ධානය සම්පූර්ණ විය. වෙන් කර ඇත: {0}{1}. ඉතිරිව ඇති කැපී පෙනෙන: {0}{2}.
Available Actions,පවතින ක්‍රියා
Available QTY,QTY තිබේ
Available:,තිබේ:
Average Basket,සාමාන්ය කූඩය
Average Bill,සාමාන්‍ය බිල්පත
Average Ticket,සාමාන්ය ටිකට්
Avg Bill,සාමාන්‍ය බිල්පත
Avg Invoice,සාමාන්‍ය ඉන්වොයිසිය
Avg Invoice Profit,සාමාන්‍ය ඉන්වොයිස් ලාභය
Avg Invoice Value,සාමාන්‍ය ඉන්වොයිස් අගය
Avg Purchase Frequency,සාමාන්‍ය මිලදී ගැනීමේ සංඛ්‍යාතය
Awesome,නියමයි
Awesome Dashboard,නියම උපකරණ පුවරුව
Awesome Dashboard is disabled for the selected POS Profile.,තෝරන ලද POS පැතිකඩ සඳහා Awesome Dashboard අබල කර ඇත.
Awesome Dashboard is unavailable for the selected scope.,තෝරාගත් විෂය පථය සඳහා නියම උපකරණ පුවරුව නොමැත.
Awesome Dashboard is visible only to POS supervisors.,Awesome Dashboard දෘශ්‍යමාන වන්නේ POS අධීක්ෂකවරුන්ට පමණි.
Back,ආපසු
Back Office Cash Account,පසු කාර්යාල මුදල් ගිණුම
Back Office Cash Account (Optional Override),පසු කාර්යාල මුදල් ගිණුම (විකල්ප අභිබවා යාම)
Back office cash account is required.,පසු කාර්යාල මුදල් ගිණුමක් අවශ්‍ය වේ.
Back to {0},ආපසු {0} වෙත
Background processing did not finish in time.,පසුබිම සැකසීම නියමිත වේලාවට අවසන් නොවීය.
Background processing failed for Invoice {0}: {1},ඉන්වොයිසිය සඳහා පසුබිම සැකසීම අසාර්ථක විය {0}: {1}
Background Submission Failed,පසුබිම් ඉදිරිපත් කිරීම අසාර්ථක විය
Background sync interval (seconds),පසුබිම් සමමුහුර්ත පරතරය (තත්පර)
Balance,ශේෂය
Balance will be updated when connection is restored,සම්බන්ධතාවය ප්‍රතිසාධනය කළ විට ශේෂය යාවත්කාලීන වේ
Balances still pending,ශේෂයන් තවමත් පොරොත්තුවෙන්
Barcode,තීරු කේතය
Barcode / QR Ready,තීරු කේතය / QR සූදානම්
Barcode Label Printing,තීරු කේත ලේබල් මුද්‍රණය
Base Paid:,මූලික ගෙවූ:
Base Recv:,මූලික Recv:
Base:,පදනම:
Basic Information,මූලික තොරතුරු
Batch,කණ්ඩායම
Batch Information,කණ්ඩායම් තොරතුරු
Before any return workflow,ඕනෑම ආපසු වැඩ ප්‍රවාහයකට පෙර
Before returns,ආපසු පැමිණීමට පෙර
Best Day,හොඳම දිනය
Best Seller,හොඳම විකුණුම්කරු
Book expense or deposit from active shift.,සක්‍රීය මාරුවෙන් පොත් වියදම් හෝ තැන්පතු.
Branch / Location-wise Report,ශාඛාව / ස්ථානය අනුව වාර්තාව
Brand-wise,වෙළඳ නාමය අනුව
Breakdown,බිඳවැටීම
Browse,බ්‍රවුස් කරන්න
Build Time:,ගොඩනැගීමේ කාලය:
Built with Frappe,Frappe සමඟ ගොඩනගා ඇත
Bundle,බණ්ඩලය
Buying Price,මිලදී ගැනීමේ මිල
Cache cleared successfully,හැඹිලිය සාර්ථකව හිස් කරන ලදී
Cache Usage,හැඹිලි භාවිතය
cache used,භාවිතා කළ හැඹිලිය
Calculating...,ගණනය කරමින්...
Camera Access Required,කැමරා ප්‍රවේශය අවශ්‍යයි
Camera access was aborted. Please try again.,කැමරා ප්‍රවේශය නවත්වන ලදී. කරුණාකර නැවත උත්සාහ කරන්න.
Camera constraints not supported by your device. Trying fallback settings...,කැමරා සීමා ඔබගේ උපාංගයෙන් සහාය නොදක්වයි. පසුබැසීමේ සැකසීම් උත්සාහ කරමින්...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,කැමරාව කාර්යබහුල හෝ වෙනත් යෙදුමක්/ටැබ් එකකින් අවහිර කර ඇත. වෙනත් කැමරා යෙදුම් වසා නැවත උත්සාහ කරන්න.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,කැමරා අවසරය ප්‍රතික්ෂේප විය. කරුණාකර ඔබගේ බ්‍රවුසර සැකසීම් තුළ කැමරා ප්‍රවේශයට ඉඩ දී පිටුව නැවුම් කරන්න.
Camera scanner is locked until the current error is acknowledged,වත්මන් දෝෂය පිළිගන්නා තෙක් කැමරා ස්කෑනරය අගුලු දමා ඇත
Camera started but the video stream did not load in time. Please try again.,කැමරාව ආරම්භ වූ නමුත් වීඩියෝ ප්‍රවාහය නියමිත වේලාවට පූරණය නොවීය. කරුණාකර නැවත උත්සාහ කරන්න.
Cancel cash movement {0}?,මුදල් චලනය අවලංගු කරන්න {0}?
Cancel Payment,ගෙවීම අවලංගු කරන්න
Cancel Sale,විකිණීම අවලංගු කරන්න
Cancel Sale ?,විකිණීම අවලංගු කරන්නද?
Cancelled,අවලංගු කළා
Cannot add an item with zero or negative quantity.,ශුන්‍ය හෝ සෘණ ප්‍රමාණය සහිත අයිතමයක් එක් කළ නොහැක.
Cannot clear cache while offline,නොබැඳිව සිටියදී හැඹිලිය හිස් කළ නොහැක
Cannot redeem customer credit more than invoice total,ඉන්වොයිසි එකතුවට වඩා පාරිභෝගික ණය ලබා ගත නොහැක
Cannot redeem gift cards more than invoice total,ඉන්වොයිසි එකතුවට වඩා තෑගි කාඩ්පත් මුදවා ගත නොහැක
Cannot Save Offline Invoice:,නොබැඳි ඉන්වොයිසිය සුරැකිය නොහැක:
Cannot Save Offline Payment:,නොබැඳි ගෙවීම් සුරැකිය නොහැක:
Card,කාඩ්පත
Card / Online,කාඩ්පත / මාර්ගගත
Card health after the last live lookup,අවසාන සජීවී සෙවීමෙන් පසු කාඩ්පත් සෞඛ්‍යය
Cards,කාඩ්පත්
Cart,කරත්තය
Cash,මුදල්
Cash back to customers,ගනුදෙනුකරුවන්ට මුදල් ආපසු
Cash Collections,මුදල් එකතු කිරීම්
Cash Deposit is disabled for this POS Profile.,මෙම POS පැතිකඩ සඳහා මුදල් තැන්පතු අක්‍රිය කර ඇත.
Cash Drawer Snapshot,මුදල් ලාච්චු ස්නැප්ෂොට්
Cash In Hand,අතේ මුදල්
Cash Movement,මුදල් චලනය
Cash movement cancelled,මුදල් හුවමාරුව අවලංගු කර ඇත
Cash movement deduction applied,මුදල් සංචලනය අඩු කිරීම යොදන ලදී
Cash movement deleted,මුදල් චලනය මකා දමන ලදී
Cash movement is disabled for this POS Profile.,මෙම POS පැතිකඩ සඳහා මුදල් චලනය අබල කර ඇත.
Cash Movement is disabled in current POS Profile.,වත්මන් POS පැතිකඩෙහි මුදල් චලනය අබල කර ඇත.
Cash movement saved offline,මුදල් චලනය නොබැඳිව සුරකින ලදී
Cash movement submitted,මුදල් චලනය ඉදිරිපත් කරන ලදී
Cash Movements,මුදල් චලනයන්
Cash payment cannot be less than invoice total when partial payment is not allowed,අර්ධ ගෙවීමට ඉඩ නොදෙන විට මුදල් ගෙවීම ඉන්වොයිසි එකතුවට වඩා අඩු විය නොහැක
Cash returned after payment,ගෙවීමෙන් පසු මුදල් ආපසු
Cashier,මුදල් අයකැමි
Cashier Access,මුදල් අයකැමි ප්රවේශය
Cashier identity and appearance preferences.,මුදල් අයකැමි අනන්‍යතාවය සහ පෙනුම මනාප.
Cashier PIN,මුදල් අයකැමි PIN
Cashier PIN saved successfully.,අයකැමි PIN අංකය සාර්ථකව සුරකින ලදී.
Cashiers,මුදල් අයකැමියන්
Cashier-wise,මුදල් අයකැමි අනුව
Categories,වර්ග
Category,ප්රවර්ගය
Category / Brand / Variant Report,ප්‍රවර්ගය / වෙළඳ නාමය / ප්‍රභේද වාර්තාව
Category-wise,වර්ග අනුව
Category-wise Margin,කාණ්ඩ අනුව ආන්තිකය
Certificate,සහතිකය
Certificate is missing or not trusted. QZ may show confirmation dialogs.,සහතිකය අතුරුදහන් හෝ විශ්වාස නැත. QZ තහවුරු කිරීමේ සංවාද පෙන්විය හැක.
Certificate is trusted. Silent QZ printing is active.,සහතිකය විශ්වාසයි. නිහඬ QZ මුද්‍රණය සක්‍රීයයි.
Change,වෙනස් කරන්න
Change allocation repaired,වෙනස් කිරීමේ වෙන් කිරීම අලුත්වැඩියා කර ඇත
Change Price,මිල වෙනස් කරන්න
Change Return,ආපසු හැරීම වෙනස් කරන්න
Change Returned,වෙනස් කිරීම ආපසු ලබා දෙන ලදී
Change terminal cashier,ටර්මිනල් කැෂියර් වෙනස් කරන්න
Charge Heads,ආරෝපණ ප්රධානීන්
Charges,අයකිරීම්
Charges not found,ගාස්තු හමු නොවීය
Check Balance,ශේෂය පරීක්ෂා කරන්න
Check balance for any card. Supervisors can issue and top up cards here.,ඕනෑම කාඩ්පතක් සඳහා ශේෂය පරීක්ෂා කරන්න. සුපරීක්ෂකවරුන්ට මෙහි කාඩ්පත් නිකුත් කිරීමට සහ පිරවීමට හැකිය.
Check balance only,ශේෂය පමණක් පරීක්ෂා කරන්න
Check for new commits,නව කැපවීම් සඳහා පරීක්ෂා කරන්න
Check for Updates,යාවත්කාලීන සඳහා පරීක්ෂා කරන්න
Check live balance before applying redemption,මිදීම අයදුම් කිරීමට පෙර සජීවී ශේෂය පරීක්ෂා කරන්න
Check live balance before redemption,මුදා හැරීමට පෙර සජීවී ශේෂය පරීක්ෂා කරන්න
Checking...,පරීක්ෂා කරමින්...
Cheque/Reference Date,චෙක්පත්/යොමු දිනය
Cheque/Reference No,චෙක්පත/යොමු අංකය
Choose the cashier currently operating this terminal.,දැනට මෙම පර්යන්තය ක්‍රියාත්මක වන අයකැමි තෝරන්න.
City,නගරය
Clear,පැහැදිලියි
Clear All,සියල්ල හිස් කරන්න
Clear all barcode items,සියලුම තීරු කේත අයිතම හිස් කරන්න
Clear all purchase order items,සියලුම මිලදී ගැනීමේ ඇණවුම් අයිතම ඉවත් කරන්න
Clear Search,සෙවීම හිස් කරන්න
Clearing local cache...,දේශීය හැඹිලිය හිස් කරමින්...
Click to refresh,නැවුම් කිරීමට ක්ලික් කරන්න
Client CPU Lag:,සේවාදායක CPU ප්‍රමාදය:
Client Memory Usage:,සේවාලාභී මතක භාවිතය:
Client Metrics,සේවාලාභී මිනුම්
Close about dialog,සංවාදය ගැන වසන්න
Close cashier switcher,මුදල් අයකැමි මාරු කරන්නා වසන්න
Close closing shift dialog,වසා දැමීමේ මාරු සංවාදය වසන්න
Close column selector,තීරු තේරීම්කාරකය වසන්න
Close Dialog,ඩයලොග් වසන්න
Close drafts dialog,කෙටුම්පත් සංවාදය වසන්න
Close invoice details dialog,ඉන්වොයිස් විස්තර සංවාදය වසන්න
Close invoice management,ඉන්වොයිස් කළමනාකරණය වසන්න
Close offline invoices dialog,නොබැඳි ඉන්වොයිසි සංවාදය වසන්න
Close packing list dialog,ඇසුරුම් ලැයිස්තු සංවාදය වසන්න
Close returns dialog,ආපසු ලබා දීමේ සංවාදය වසන්න
Close sales orders dialog,විකුණුම් ඇණවුම් සංවාදය වසන්න
Close Scanner,ස්කෑනරය වසන්න
Close scanner dialog,ස්කෑනර් සංවාදය වසන්න
Close Settings,සැකසීම් වසන්න
Closing Amount,අවසන් මුදල
Closing POS Shift,POS Shift වසා දමයි
Closing Snapshot Available,අවසන් ස්නැප්ෂොට් තිබේ
Code,කේතය
Code scanned successfully,කේතය සාර්ථකව පරිලෝකනය කරන ලදී
COGS,COGS
Collapse item details,අයිතම විස්තර හකුළන්න
Collected,එකතු කරන ලදී
Cols,කොල්ස්
Columns,තීරු
commits,කැප කරයි
Completed and active sales in this range,මෙම පරාසය තුළ සම්පූර්ණ කරන ලද සහ ක්රියාකාරී විකුණුම්
Completed returns will appear here.,සම්පූර්ණ කළ ප්‍රතිලාභ මෙහි දිස්වනු ඇත.
Confirm,තහවුරු කරන්න
Confirm Close,වසා දැමීම තහවුරු කරන්න
Confirm Mobile Number,ජංගම දුරකථන අංකය තහවුරු කරන්න
Confirm PIN,PIN තහවුරු කරන්න
Connect,සම්බන්ධ කරන්න
Connect printer and manage certificate,මුද්‍රණ යන්ත්‍රය සම්බන්ධ කර සහතිකය කළමනාකරණය කරන්න
Connecting to QZ Tray...,QZ තැටි වෙත සම්බන්ධ වෙමින්...
Connection problem while submitting invoice,ඉන්වොයිසිය ඉදිරිපත් කිරීමේදී සම්බන්ධතා ගැටලුවක්
Connections:,සම්බන්ධතා:
Connectivity and cached prerequisite status were rechecked.,සම්බන්ධතාවය සහ හැඹිලිගත පූර්ව අවශ්‍යතා තත්ත්වය නැවත පරීක්ෂා කරන ලදී.
Continue Editing,දිගටම සංස්කරණය කරන්න
Could not fetch latest balance from server,සේවාදායකයෙන් නවතම ශේෂය ලබා ගැනීමට නොහැකි විය
Count,ගණන් කරන්න
Country,රට
Coupon,කූපනය
Coupons,කූපන් පත්
Cover,ආවරණය කරන්න
CPU Cores:,CPU Cores:
Create,නිර්මාණය කරන්න
Create and load a new prepaid card,නව පෙරගෙවුම් කාඩ්පතක් සාදා පූරණය කරන්න
Create and preload a new gift card,නව තෑගි කාඩ්පතක් සාදා පූර්ව පූරණය කරන්න
Create Bill,බිල්පත සාදන්න
Create Customer,පාරිභෝගිකයා සාදන්න
Create New Item,නව අයිතමයක් සාදන්න
Create or change your PIN,ඔබගේ PIN අංකය සාදන්න හෝ වෙනස් කරන්න
Create PIN,PIN සාදන්න
Create POS Opening Shift,POS විවෘත කිරීමේ Shift සාදන්න
Create Purchase Order,මිලදී ගැනීමේ ඇණවුම සාදන්න
Create Return,Return සාදන්න
Create return from invoice,ඉන්වොයිසියෙන් ප්රතිලාභයක් සාදන්න
Create Supplier,සැපයුම්කරු සාදන්න
Credit and Output,ණය සහ ප්රතිදානය
Credit Note,ණය සටහන
Credit Outstanding,කැපී පෙනෙන ණය
Credit sales remaining to be collected,එකතු කිරීමට ඉතිරිව ඇති ණය විකුණුම්
Critical,විවේචනාත්මක
Currency,මුදල්
Current,වත්මන්
Current Event Loop Lag:,වත්මන් සිදුවීම් ලූප් ප්‍රමාදය:
Current Month,වත්මන් මාසය
Current PIN,වත්මන් PIN අංකය
Current Profile,වත්මන් පැතිකඩ
Current redeemable value on the gift card,තෑගි කාඩ්පතෙහි වත්මන් මුදවා ගත හැකි වටිනාකම
Current User,වත්මන් පරිශීලක
Custom,අභිරුචි
Custom Due Days,අභිරුචි නියමිත දින
Custom items per page,පිටුවකට අභිරුචි අයිතම
Customer,පාරිභෝගිකයා
Customer already selected,පාරිභෝගිකයා දැනටමත් තෝරාගෙන ඇත
Customer Balance,පාරිභෝගික ශේෂය
Customer balance unavailable offline,පාරිභෝගික ශේෂය නොබැඳිව නොමැත
Customer created successfully.,පාරිභෝගිකයා සාර්ථකව නිර්මාණය කරන ලදී.
Customer creation failed.,පාරිභෝගික නිර්මාණය අසාර්ථක විය.
Customer Details,පාරිභෝගික විස්තර
Customer display channel is missing,පාරිභෝගික සංදර්ශක නාලිකාව අස්ථානගත වී ඇත
Customer display was blocked. Please allow pop-ups for this site.,පාරිභෝගික සංදර්ශකය අවහිර කර ඇත. කරුණාකර මෙම අඩවිය සඳහා pop-ups ඉඩ දෙන්න.
Customer group is required,පාරිභෝගික කණ්ඩායමක් අවශ්‍යයි
Customer is required to add payment,ගෙවීම එක් කිරීමට පාරිභෝගිකයා අවශ්‍ය වේ
Customer Name is required,පාරිභෝගික නම අවශ්‍යයි
Customer not selected,පාරිභෝගිකයා තෝරාගෙන නැත
Customer Report,පාරිභෝගික වාර්තාව
Customer saved offline,පාරිභෝගිකයා නොබැඳිව සුරකින ලදී
Customer Screen,පාරිභෝගික තිරය
Customer territory is required,පාරිභෝගික භූමිය අවශ්‍යයි
Customer updated successfully.,පාරිභෝගිකයා සාර්ථකව යාවත්කාලීන කරන ලදී.
Customer-facing tools and printer setup.,පාරිභෝගිකයින් මුහුණ දෙන මෙවලම් සහ මුද්‍රණ යන්ත්‍ර සැකසීම.
Customers,පාරිභෝගිකයන්
Customers not found,ගනුදෙනුකරුවන් හමු නොවීය
Daily cashier actions without scrolling.,අනුචලනයකින් තොරව දෛනික මුදල් අයකැමි ක්‍රියා.
Daily Sales,දෛනික විකුණුම්
Daily Sales Summary,දෛනික විකුණුම් සාරාංශය
Data loaded in form. Review and submit.,පෝරමයේ දත්ත පටවා ඇත. සමාලෝචනය කර ඉදිරිපත් කරන්න.
Database Health,දත්ත සමුදා සෞඛ්යය
Database health affects overall system speed and reliability.,දත්ත සමුදා සෞඛ්‍යය සමස්ත පද්ධතියේ වේගය සහ විශ්වසනීයත්වයට බලපායි.
Database Info,දත්ත සමුදා තොරතුරු
Date,දිනය
Day ?,දවස?
days,දින
Day-wise (MTD),දින අනුව (MTD)
Day-wise Movement,දින අනුව චලනය
Dead Stock,මළ කොටස්
Dead Stock Items,මළ කොටස් අයිතම
Decrease quantity,ප්‍රමාණය අඩු කරන්න
Default,පෙරනිමිය
Default:,පෙරනිමිය:
Delete,මකන්න
Delete cancelled cash movement {0}?,අවලංගු කළ මුදල් චලනය මකන්න {0}?
Delete Draft,කෙටුම්පත මකන්න
Delete draft invoice,කෙටුම්පත් ඉන්වොයිසිය මකන්න
Delete draft invoice {0}?,කෙටුම්පත් ඉන්වොයිසිය {0} මකන්නද?
Delete Invoice,ඉන්වොයිසිය මකන්න
Delete offline invoice,නොබැඳි ඉන්වොයිසිය මකන්න
Delivered,භාර දුන්නා
Delivery Charges,බෙදාහැරීමේ ගාස්තු
Delivery Information,බෙදාහැරීමේ තොරතුරු
Delivery Note {0} created,බෙදා හැරීමේ සටහන {0} සාදන ලදී
Delivery note created,බෙදා හැරීමේ සටහනක් සාදන ලදී
Deployed Bundle:,යොදවා ඇති බණ්ඩලය:
Deposit,තැන්පත් කරන්න
Description,විස්තරය
Detailed Supplier Breakdown,සවිස්තරාත්මක සැපයුම්කරු බිඳවැටීම
Detecting formats:,ආකෘති හඳුනාගැනීම:
Device Memory:,උපාංග මතකය:
Difference,වෙනස
Difference (In Company Currency),වෙනස (සමාගමේ මුදලින්)
Disable offline mode first to recheck live connectivity.,සජීවී සම්බන්ධතාව නැවත පරීක්ෂා කිරීමට පළමුව නොබැඳි මාදිලිය අබල කරන්න.
Disconnect,විසන්ධි කරන්න
discount,වට්ටම්
Discount %,වට්ටම් %
Discount / Void / Return Report,වට්ටම් / අවලංගු / ආපසු වාර්තාව
Discount Amount,වට්ටම් මුදල
Discount limited by POS Profile,වට්ටම් POS පැතිකඩෙන් සීමා වේ
Discounted Invoices,වට්ටම් සහිත ඉන්වොයිසි
Discounts,වට්ටම්
Dismiss,අස් කරන්න
Download Certificate,සහතිකය බාගන්න
Draft,කෙටුම්පත
Draft invoice deleted,කෙටුම්පත් ඉන්වොයිසිය මකා ඇත
Draft source,කෙටුම්පත් මූලාශ්රය
Drafts,කෙටුම්පත්
Due {0},නියමිත {0}
Due Date,නියමිත දිනය
Duplicate,අනුපිටපත් කරන්න
Edit customer,පාරිභෝගිකයා සංස්කරණය කරන්න
Edit discount amount,වට්ටම් මුදල සංස්කරණය කරන්න
Edit discount percentage,වට්ටම් ප්‍රතිශතය සංස්කරණය කරන්න
Edit Gift Application,තෑගි අයදුම්පත සංස්කරණය කරන්න
Edit item name,අයිතමයේ නම සංස්කරණය කරන්න
Edit quantity,ප්‍රමාණය සංස්කරණය කරන්න
Edit rate,අනුපාතය සංස්කරණය කරන්න
Edit unit of measure,මිනුම් ඒකකය සංස්කරණය කරන්න
Edited,සංස්කරණය කළා
Employee,සේවකයා
Enable background sync,පසුබිම් සමමුහුර්තකරණය සබල කරන්න
Enable Customer Display in POS Profile first.,පළමුව POS පැතිකඩෙහි පාරිභෝගික සංදර්ශකය සබල කරන්න.
Enter a PIN.,PIN එකක් ඇතුල් කරන්න.
Enter a valid grams value,වලංගු ග්රෑම් අගයක් ඇතුළත් කරන්න
Enter new price list rate,නව මිල ලැයිස්තු අනුපාතය ඇතුළත් කරන්න
Enter Quantity,ප්‍රමාණය ඇතුලත් කරන්න
Enter the cashier PIN to continue.,ඉදිරියට යාමට මුදල් අයකැමි PIN ඇතුලත් කරන්න.
Enter the current PIN first.,මුලින්ම වත්මන් PIN එක ඇතුල් කරන්න.
"Enter the current PIN, then choose a new one.","වත්මන් PIN ඇතුලත් කරන්න, පසුව අලුත් එකක් තෝරන්න."
Enter valid grams for scale barcode,පරිමාණ තීරු කේතය සඳහා වලංගු ග්රෑම් ඇතුළත් කරන්න
Entries,ඇතුළත් කිරීම්
Error accessing camera:,කැමරාවට පිවිසීමේ දෝෂය:
Error calculating prices,මිල ගණන් ගණනය කිරීමේ දෝෂයකි
Error fetching customer balance,පාරිභෝගික ශේෂය ලබා ගැනීමේ දෝෂයකි
Error in change calculations!,වෙනස් ගණනය කිරීම් වල දෝෂයක්!
Error Loading Data,දත්ත පූරණය කිරීමේ දෝෂයකි
