POS Awesome,POS Harika
Add payment to invoice,Faturaya ödeme ekle
Add/Edit Coupon Conditions,Kupon Koşullarını Ekle/Düzenle
Additional Discount,Ek İndirim
Additional Discount %,Ek İndirim %'si
Address Line 1,Adres Satırı 1
Address not found,Adres bulunamadı
Adjust the quantity or enable negative stock to continue.,Miktarı ayarlayın veya negatif stoğun devam etmesini sağlayın.
Adjustment,Ayarlama
After returns,Dönüşlerden sonra
Against,Karşı
Against Name,İsme Karşı
Age Bracket,Yaş Aralığı
All,Hepsi
All Caught Up!,Hepsi Yakalandı!
All invoices are synchronized,Tüm faturalar senkronize edilir
All pending invoices are up to date,Bekleyen tüm faturalar güncel
All Profiles,Tüm Profiller
All Synchronized,Hepsi Senkronize Edildi
All visible invoices are fully settled.,Görünen tüm faturalar tamamen kapatılmıştır.
All Warehouses,Tüm Depolar
Allowed UOM is {0},İzin verilen UOM: {0}
Always fetch items from server (ignore local cache),Öğeleri her zaman sunucudan getir (yerel önbelleği yoksay)
Amount,Tutar
Amount already received,Zaten alınan tutar
Amount exceeds profile cash movement max amount.,"Tutar, profil nakit hareketi maksimum tutarını aşıyor."
Amount must be greater than zero.,Tutar sıfırdan büyük olmalıdır.
Amount received from customer,Müşteriden alınan tutar
Appearance and user-level preferences for the current session.,Geçerli oturum için görünüm ve kullanıcı düzeyindeki tercihler.
Applied,Uygulandı
Apply,Uygula
Apply Gift Card,Hediye Kartını Uygula
Apply Offer,Teklifi Uygula
Apply On,Uygula
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Bu faturada yalnızca kullanmak istediğiniz tutarı uygulayın. Kalan bakiye kartta kalır.
Apply Redemption,Teklifi Kullanmayı Uygula
Applying,Başvuruyor
Apps,Uygulamalar
Are you sure you want to close? All entered data will be lost.,Kapatmak istediğinizden emin misiniz? Girilen tüm veriler kaybolacaktır.
Attributes (Size/Color),Nitelikler (Boyut/Renk)
Auto Allocate Payment Amount,Ödeme Tutarını Otomatik Tahsis Et
Auto Reconcile,Otomatik Mutabakat
Auto reconciliation completed after payment submit.,Ödeme gönderildikten sonra otomatik mutabakat tamamlandı.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Otomatik mutabakat tamamlandı. Ayrılan: {0}{1}. Geriye kalan: {0}{2}.
Available Actions,Mevcut Eylemler
Available QTY,Mevcut Adet
Available:,Mevcut:
Average Basket,Ortalama Sepet
Average Bill,Ortalama Fatura
Average Ticket,Ortalama Bilet
Avg Bill,Ortalama Fatura
Avg Invoice,Ortalama Fatura
Avg Invoice Profit,Ort. Fatura Kârı
Avg Invoice Value,Ort. Fatura Değeri
Avg Purchase Frequency,Ortalama Satın Alma Sıklığı
Awesome,harika
Awesome Dashboard,Harika Kontrol Paneli
Awesome Dashboard is disabled for the selected POS Profile.,Seçilen POS Profili için Awesome Kontrol Paneli devre dışı bırakıldı.
Awesome Dashboard is unavailable for the selected scope.,Harika Kontrol Paneli seçilen kapsam için kullanılamıyor.
Awesome Dashboard is visible only to POS supervisors.,Müthiş Kontrol Paneli yalnızca POS denetçileri tarafından görülebilir.
Back,Geri
Back Office Cash Account,Arka Ofis Nakit Hesabı
Back Office Cash Account (Optional Override),Arka Ofis Nakit Hesabı (İsteğe Bağlı Geçersiz Kılma)
Back office cash account is required.,Arka ofis kasa hesabı gereklidir.
Back to {0},{0}'a geri dön
Background processing did not finish in time.,Arka planda işleme zamanında tamamlanmadı.
Background processing failed for Invoice {0}: {1},{0}: {1} Faturası için arka planda işleme başarısız oldu
Background Submission Failed,Arka Plan Gönderimi Başarısız
Background sync interval (seconds),Arka planda senkronizasyon aralığı (saniye)
Balance,Bakiye
Balance will be updated when connection is restored,Bağlantı yeniden kurulduğunda bakiye güncellenecek
Balances still pending,Bakiyeler hâlâ beklemede
Barcode,Barkod
Barcode / QR Ready,Barkod / QR Hazır
Barcode Label Printing,Barkod Etiket Baskısı
Base Paid:,Baz Ücretli:
Base Recv:,Temel Alıntı:
Base:,Temel:
Basic Information,Temel Bilgiler
Batch,Toplu
Batch Information,Parti Bilgileri
Before any return workflow,Herhangi bir iade iş akışından önce
Before returns,Geri dönmeden önce
Best Day,En İyi Gün
Best Seller,En Çok Satan
Book expense or deposit from active shift.,Aktif vardiyadan gider veya depozito rezervasyonu yapın.
Branch / Location-wise Report,Şube / Lokasyon Bazında Rapor
Brand-wise,Marka bazında
Breakdown,Arıza
Browse,Göz at
Build Time:,Yapım Süresi:
Built with Frappe,Frappe ile oluşturuldu
Bundle,Paket
Buying Price,Alış Fiyatı
Cache cleared successfully,Önbellek başarıyla temizlendi
Cache Usage,Önbellek Kullanımı
cache used,kullanılan önbellek
Calculating...,Hesaplanıyor...
Camera Access Required,Kamera Erişimi Gerekli
Camera access was aborted. Please try again.,Kamera erişimi iptal edildi. Lütfen tekrar deneyin.
Camera constraints not supported by your device. Trying fallback settings...,Cihazınız tarafından desteklenmeyen kamera kısıtlamaları. Yedek ayarlar deneniyor...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,Kamera meşgul veya başka bir uygulama/sekme tarafından engelleniyor. Diğer kamera uygulamalarını kapatıp tekrar deneyin.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,Kamera izni reddedildi. Lütfen tarayıcı ayarlarınızdan kamera erişimine izin verin ve sayfayı yenileyin.
Camera scanner is locked until the current error is acknowledged,Mevcut hata onaylanana kadar kamera tarayıcısı kilitlenir
Camera started but the video stream did not load in time. Please try again.,Kamera başladı ancak video akışı zamanında yüklenmedi. Lütfen tekrar deneyin.
Cancel cash movement {0}?,{0} nakit hareketi iptal edilsin mi?
Cancel Payment,Ödemeyi İptal Et
Cancel Sale,Satışı İptal Et
Cancel Sale ?,Satış İptal Edilsin mi?
Cancelled,İptal edildi
Cannot add an item with zero or negative quantity.,Sıfır veya negatif miktara sahip bir öğe eklenemez.
Cannot clear cache while offline,Çevrimdışıyken önbellek temizlenemiyor
Cannot redeem customer credit more than invoice total,Fatura toplamından daha fazla müşteri kredisi kullanılamaz
Cannot redeem gift cards more than invoice total,Fatura toplamından daha fazla hediye kartı kullanılamaz
Cannot Save Offline Invoice:,Çevrimdışı Fatura Kaydedilemiyor:
Cannot Save Offline Payment:,Çevrimdışı Ödeme Kaydedilemiyor:
Card,Kart
Card / Online,Kart / Çevrimiçi
Card health after the last live lookup,Son canlı aramadan sonra kart sağlığı
Cards,Kartlar
Cart,Sepet
Cash,Nakit
Cash back to customers,Müşterilere nakit iadesi
Cash Collections,Nakit Tahsilatlar
Cash Deposit is disabled for this POS Profile.,Bu POS Profili için Nakit Para Yatırma devre dışı bırakıldı.
Cash Drawer Snapshot,Para Çekmecesi Anlık Görüntüsü
Cash In Hand,Eldeki Nakit
Cash Movement,Nakit Hareketi
Cash movement cancelled,Nakit hareketi iptal edildi
Cash movement deduction applied,Nakit hareketi kesintisi uygulandı
Cash movement deleted,Nakit hareketi silindi
Cash movement is disabled for this POS Profile.,Bu POS Profili için nakit hareketi devre dışı bırakıldı.
Cash Movement is disabled in current POS Profile.,Mevcut POS Profilinde Nakit Hareketi devre dışı.
Cash movement saved offline,Nakit hareketi çevrimdışına kaydedildi
Cash movement submitted,Nakit hareketi gönderildi
Cash Movements,Nakit Hareketleri
Cash payment cannot be less than invoice total when partial payment is not allowed,Kısmi ödemeye izin verilmeyen durumlarda nakit ödeme fatura toplamından az olamaz
Cash returned after payment,Ödeme yapıldıktan sonra iade edilen nakit
Cashier,Kasiyer
Cashier Access,Kasiyer Erişimi
Cashier identity and appearance preferences.,Kasiyer kimliği ve görünüm tercihleri.
Cashier PIN,Kasiyer PIN'i
Cashier PIN saved successfully.,Kasiyer PIN'i başarıyla kaydedildi.
Cashiers,Kasiyerler
Cashier-wise,Kasiyer açısından
Categories,Kategoriler
Category,Kategori
Category / Brand / Variant Report,Kategori / Marka / Varyant Raporu
Category-wise,Kategori bazında
Category-wise Margin,Kategori Bazında Marj
Certificate,Sertifika
Certificate is missing or not trusted. QZ may show confirmation dialogs.,Sertifika eksik veya güvenilir değil. QZ onay diyaloglarını gösterebilir.
Certificate is trusted. Silent QZ printing is active.,Sertifika güvenilirdir. Sessiz QZ yazdırma etkin.
Change,Değiştir
Change allocation repaired,Değişiklik tahsisi onarıldı
Change Price,Fiyatı Değiştir
Change Return,İadeyi Değiştir
Change Returned,Değişiklik Geri Döndü
Change terminal cashier,Terminal kasiyerini değiştir
Charge Heads,Şarj Başlıkları
Charges,Masraflar
Charges not found,Ücretler bulunamadı
Check Balance,Bakiyeyi Kontrol Et
Check balance for any card. Supervisors can issue and top up cards here.,Herhangi bir kartın bakiyesini kontrol edin. Denetçiler burada kart düzenleyebilir ve yükleme yapabilir.
Check balance only,Yalnızca bakiyeyi kontrol et
Check for new commits,Yeni taahhütleri kontrol edin
Check for Updates,Güncellemeleri Kontrol Et
Check live balance before applying redemption,Kullanmadan önce canlı bakiyeyi kontrol edin
Check live balance before redemption,Kullanmadan önce canlı bakiyeyi kontrol edin
Checking...,Kontrol ediliyor...
Cheque/Reference Date,Çek/Referans Tarihi
Cheque/Reference No,Çek/Referans No
Choose the cashier currently operating this terminal.,Şu anda bu terminali işleten kasiyeri seçin.
City,Şehir
Clear,Temizle
Clear All,Tümünü Temizle
Clear all barcode items,Tüm barkod öğelerini temizle
Clear all purchase order items,Tüm satın alma siparişi öğelerini temizle
Clear Search,Aramayı Temizle
Clearing local cache...,Yerel önbellek temizleniyor...
Click to refresh,Yenilemek için tıklayın
Client CPU Lag:,İstemci CPU Gecikmesi:
Client Memory Usage:,İstemci Bellek Kullanımı:
Client Metrics,Müşteri Metrikleri
Close about dialog,Hakkında iletişim kutusunu kapat
Close cashier switcher,Kasiyer değiştiriciyi kapat
Close closing shift dialog,Vardiya iletişim kutusunu kapat
Close column selector,Sütun seçiciyi kapat
Close Dialog,İletişim Kutusunu Kapat
Close drafts dialog,Taslaklar iletişim kutusunu kapat
Close invoice details dialog,Fatura ayrıntıları iletişim kutusunu kapat
Close invoice management,Fatura yönetimini kapat
Close offline invoices dialog,Çevrimdışı faturalar iletişim kutusunu kapat
Close packing list dialog,Paketleme listesi iletişim kutusunu kapat
Close returns dialog,İade iletişim kutusunu kapat
Close sales orders dialog,Satış siparişleri iletişim kutusunu kapat
Close Scanner,Tarayıcıyı Kapat
Close scanner dialog,Tarayıcı iletişim kutusunu kapat
Close Settings,Ayarları Kapat
Closing Amount,Kapanış Tutarı
Closing POS Shift,POS Vardiyasını Kapatma
Closing Snapshot Available,Kapanış Anlık Görüntüsü Mevcut
Code,Kod
Code scanned successfully,Kod başarıyla tarandı
COGS,SMM'ler
Collapse item details,Öğe ayrıntılarını daralt
Collected,Toplanan
Cols,Sütunlar
Columns,Sütunlar
commits,taahhüt eder
Completed and active sales in this range,Bu aralıkta tamamlanmış ve aktif satışlar
Completed returns will appear here.,Tamamlanan iadeler burada görünecektir.
Confirm,Onayla
Confirm Close,Kapatmayı Onayla
Confirm Mobile Number,Cep Numarasını Doğrula
Confirm PIN,PIN'i onayla
Connect,Bağlan
Connect printer and manage certificate,Yazıcıyı bağlayın ve sertifikayı yönetin
Connecting to QZ Tray...,QZ Tepsisine bağlanılıyor...
Connection problem while submitting invoice,Fatura gönderirken bağlantı sorunu
Connections:,Bağlantılar:
Connectivity and cached prerequisite status were rechecked.,Bağlantı ve önbelleğe alınmış önkoşul durumu yeniden kontrol edildi.
Continue Editing,Düzenlemeye Devam Et
Could not fetch latest balance from server,Sunucudan en son bakiye alınamadı
Count,Sayım
Country,Ülke
Coupon,Kupon
Coupons,Kuponlar
Cover,Kapak
CPU Cores:,CPU Çekirdekleri:
Create,Oluştur
Create and load a new prepaid card,Yeni bir ön ödemeli kart oluşturun ve yükleyin
Create and preload a new gift card,Yeni bir hediye kartı oluşturun ve önceden yükleyin
Create Bill,Fatura Oluştur
Create Customer,Müşteri Oluştur
Create New Item,Yeni Öğe Oluştur
Create or change your PIN,PIN'inizi oluşturun veya değiştirin
Create PIN,PIN oluştur
Create POS Opening Shift,POS Açılış Vardiyası Oluştur
Create Purchase Order,Satınalma Siparişi Oluştur
Create Return,İade Oluştur
Create return from invoice,Faturadan iade oluştur
Create Supplier,Tedarikçi Oluştur
Credit and Output,Kredi ve Çıktı
Credit Note,Kredi Notu
Credit Outstanding,Kredi Ödenmemiş
Credit sales remaining to be collected,Tahsil edilecek kredili satışlar
Critical,Kritik
Currency,Para birimi
Current,Mevcut
Current Event Loop Lag:,Güncel Olay Döngüsü Gecikmesi:
Current Month,Geçerli Ay
Current PIN,Geçerli PIN
Current Profile,Mevcut Profil
Current redeemable value on the gift card,Hediye kartındaki mevcut kullanılabilir değer
Current User,Mevcut Kullanıcı
Custom,Özel
Custom Due Days,Özel Vade Günleri
Custom items per page,Sayfa başına özel öğeler
Customer,Müşteri
Customer already selected,Müşteri zaten seçilmiş
Customer Balance,Müşteri Bakiyesi
Customer balance unavailable offline,Müşteri bakiyesi çevrimdışı kullanılamıyor
Customer created successfully.,Müşteri başarıyla oluşturuldu.
Customer creation failed.,Müşteri oluşturma başarısız oldu.
Customer Details,Müşteri Detayları
Customer display channel is missing,Müşteri görüntüleme kanalı eksik
Customer display was blocked. Please allow pop-ups for this site.,Müşteri ekranı engellendi. Lütfen bu site için pop-up'lara izin verin.
Customer group is required,Müşteri grubu gerekli
Customer is required to add payment,Müşterinin ödeme eklemesi gerekiyor
Customer Name is required,Müşteri Adı gerekli
Customer not selected,Müşteri seçilmedi
Customer Report,Müşteri Raporu
Customer saved offline,Müşteri çevrimdışına kaydedildi
Customer Screen,Müşteri Ekranı
Customer territory is required,Müşteri bölgesi gerekli
Customer updated successfully.,Müşteri başarıyla güncellendi.
Customer-facing tools and printer setup.,Müşteriye yönelik araçlar ve yazıcı kurulumu.
Customers,Müşteriler
Customers not found,Müşteri bulunamadı
Daily cashier actions without scrolling.,Kaydırmadan günlük kasiyer işlemleri.
Daily Sales,Günlük Satışlar
Daily Sales Summary,Günlük Satış Özeti
Data loaded in form. Review and submit.,Veriler forma yüklendi. İnceleyin ve gönderin.
Database Health,Veritabanı Sağlığı
Database health affects overall system speed and reliability.,"Veritabanı sağlığı, genel sistem hızını ve güvenilirliğini etkiler."
Database Info,Veritabanı Bilgisi
Date,Tarih
Day ?,Gün mü?
days,günler
Day-wise (MTD),Gün bazında (MTD)
Day-wise Movement,Gün Bazında Hareket
Dead Stock,Ölü Stok
Dead Stock Items,Ölü Stok Öğeleri
Decrease quantity,Miktarı azalt
Default,Varsayılan
Default:,Varsayılan:
Delete,Sil
Delete cancelled cash movement {0}?,İptal edilen nakit hareketi {0} silinsin mi?
Delete Draft,Taslağı Sil
Delete draft invoice,Taslak faturayı sil
Delete draft invoice {0}?,{0} fatura taslağı silinsin mi?
Delete Invoice,Faturayı Sil
Delete offline invoice,Çevrimdışı faturayı sil
Delivered,teslim edildi
Delivery Charges,Teslimat Ücretleri
Delivery Information,Teslimat Bilgileri
Delivery Note {0} created,Teslimat Notu {0} oluşturuldu
Delivery note created,Teslimat notu oluşturuldu
Deployed Bundle:,Dağıtılan Paket:
Deposit,Mevduat
Description,Açıklama
Detailed Supplier Breakdown,Detaylı Tedarikçi Dağılımı
Detecting formats:,Formatların algılanması:
Device Memory:,Cihaz Belleği:
Difference,Fark
Difference (In Company Currency),Fark (Şirket Para Birimi Cinsinden)
Disable offline mode first to recheck live connectivity.,Canlı bağlantıyı yeniden kontrol etmek için önce çevrimdışı modu devre dışı bırakın.
Disconnect,Bağlantıyı kes
discount,indirim
Discount %,İndirim %'si
Discount / Void / Return Report,İndirim / İptal / İade Raporu
Discount Amount,İndirim Tutarı
Discount limited by POS Profile,İndirim POS Profiliyle sınırlıdır
Discounted Invoices,İndirimli Faturalar
Discounts,İndirimler
Dismiss,Reddet
Download Certificate,Sertifikayı İndir
Draft,Taslak
Draft invoice deleted,Taslak fatura silindi
Draft source,Taslak kaynağı
Drafts,Taslaklar
Due {0},Vadesi {0}
Due Date,Son Tarih
Duplicate,Çoğalt
Edit customer,Müşteriyi düzenle
Edit discount amount,İndirim tutarını düzenle
Edit discount percentage,İndirim yüzdesini düzenle
Edit Gift Application,Hediye Başvurusunu Düzenle
Edit item name,Öğe adını düzenle
Edit quantity,Miktarı düzenle
Edit rate,Ücreti düzenle
Edit unit of measure,Ölçü birimini düzenle
Edited,Düzenlendi
Employee,Çalışan
Enable background sync,Arka planda senkronizasyonu etkinleştir
Enable Customer Display in POS Profile first.,Önce POS Profilinde Müşteri Görüntülemeyi etkinleştirin.
Enter a PIN.,Bir PIN girin.
Enter a valid grams value,Geçerli bir gram değeri girin
Enter new price list rate,Yeni fiyat listesi ücretini girin
Enter Quantity,Miktarı Girin
Enter the cashier PIN to continue.,Devam etmek için kasiyer PIN'ini girin.
Enter the current PIN first.,Önce mevcut PIN'i girin.
"Enter the current PIN, then choose a new one.",Geçerli PIN'i girin ve yenisini seçin.
Enter valid grams for scale barcode,Terazi barkodu için geçerli gramı girin
Entries,Girişler
Error accessing camera:,Kameraya erişim hatası:
Error calculating prices,Fiyatlar hesaplanırken hata oluştu
Error fetching customer balance,Müşteri bakiyesi alınırken hata oluştu
Error in change calculations!,Değişiklik hesaplamalarında hata!
Error Loading Data,Veri Yükleme Hatası
Error loading invoice details,Fatura ayrıntıları yüklenirken hata oluştu
Error processing invoice,Fatura işlenirken hata oluştu
Error processing payment,Ödeme işlenirken hata oluştu
Error searching invoices,Fatura arama hatası
Error submitting invoice:,Fatura gönderilirken hata oluştu:
Error submitting invoice: {0},Fatura gönderilirken hata oluştu: {0}
Error submitting invoice: No response from server,Fatura gönderilirken hata oluştu: Sunucudan yanıt yok
Error updating currency,Para birimi güncellenirken hata oluştu
Error updating item details,Öğe ayrıntıları güncellenirken hata oluştu
Est. Purchase,Tahmini Satın alma
Est. Value,Tahmini Değer
Event-loop lag measures how busy your browser is. Lower is better.,"Olay döngüsü gecikmesi, tarayıcınızın ne kadar meşgul olduğunu ölçer. Daha düşük olması daha iyidir."
Every,Her
Exchange Rate,Döviz Kuru
Expand item details,Öğe ayrıntılarını genişlet
Expected Amount (In Company Currency),Beklenen Tutar (Şirket Para Birimi Cinsinden)
Expected Cash,Beklenen Nakit
Expected cash on hand grouped by currency,Para birimine göre gruplandırılmış eldeki beklenen nakit
Expected vs Actual,Beklenen ve Gerçekleşen
Expense,Gider
Expense Account (Optional Override),Gider Hesabı (İsteğe Bağlı Geçersiz Kılma)
Expense account is required.,Gider hesabı gereklidir.
Expenses and deposits posted during this shift,Bu vardiya sırasında kaydedilen giderler ve depozitolar
Expired,Süresi dolmuş
Failed to auto reconcile payments.,Ödemelerin otomatik mutabakatı başarısız oldu.
Failed to cancel cash movement,Nakit hareketi iptal edilemedi
Failed to clear cache,Önbellek temizlenemedi
Failed to create item,Öğe oluşturulamadı
Failed to create supplier,Tedarikçi oluşturulamadı
Failed to delete cash movement,Nakit hareketi silinemedi
Failed to generate scale barcode. Using item barcode only.,Terazi barkodu oluşturulamadı. Yalnızca öğe barkodu kullanılıyor.
Failed to load cash movement context.,Nakit hareketi bağlamı yüklenemedi.
Failed to load dashboard data.,Kontrol paneli verileri yüklenemedi.
Failed to reload invoice from server,Fatura sunucudan yeniden yüklenemedi
Failed to submit cash movement,Nakit hareketi gönderilemedi
Failed to sync offline cash movements,Çevrimdışı nakit hareketleri senkronize edilemedi
Fast cashier actions for active shifts.,Aktif vardiyalar için hızlı kasiyer işlemleri.
Fast Moving Items,Hızlı Hareket Eden Öğeler
Fees,Ücretler
Fetch the latest offline prerequisite updates,En son çevrimdışı önkoşul güncellemelerini getir
Find a sales order quickly and load it into the current sale.,Hızlı bir şekilde bir satış siparişi bulun ve mevcut satışa yükleyin.
Fixing payment amounts for return invoice...,İade faturasının ödeme tutarları düzeltiliyor...
Flash Off,Flaş Kapalı
Flash On,Flaş Açık
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","'Ürün Paketi' kalemleri için 'Paketleme Listesi' tablosundan Depo, Seri No ve Parti No dikkate alınacaktır. Herhangi bir 'Ürün Paketi' kalemi için tüm paketleme kalemleri için Depo ve Parti Numarası aynıysa, bu değerler ana Kalem tablosuna girilebilir; değerler 'Paketleme Listesi' tablosuna kopyalanacaktır."
Free,Ücretsiz
Free Qty,Serbest Adet
Frequency,Frekans
from,itibaren
From Date,Başlangıç Tarihi
Fulfillment Details,Yerine Getirme Ayrıntıları
Full Name,Tam Ad
Gain,Kazanç
Generate a fresh prepaid card and start it with an opening balance.,Yeni bir ön ödemeli kart oluşturun ve açılış bakiyesiyle başlatın.
Generate and install the certificate to allow fully silent printing without trust prompts.,Güven istemleri olmadan tamamen sessiz yazdırmaya izin vermek için sertifikayı oluşturun ve yükleyin.
Generate Certificate,Sertifika Oluştur
Generated scale barcode: {0},Oluşturulan ölçek barkodu: {0}
Get Payments,Ödemeleri Alın
Gift Card,Hediye Kartı
Gift card amount must be greater than zero.,Hediye kartı tutarı sıfırdan büyük olmalıdır.
Gift Card Code,Hediye Kartı Kodu
Gift card code is required for redemption,Ödeme için hediye kartı kodu gereklidir
Gift card code is required.,Hediye kartı kodu gerekli.
Gift card issued successfully.,Hediye kartı başarıyla düzenlendi.
Gift card loaded successfully.,Hediye kartı başarıyla yüklendi.
Gift Card Management,Hediye Kartı Yönetimi
Gift card payment,Hediye kartı ödemesi
Gift card redemption requires an online connection,Hediye kartı kullanımı çevrimiçi bağlantı gerektirir
Gift card topped up successfully.,Hediye kartına başarıyla yükleme yapıldı.
Gift Cards,Hediye Kartları
Go to Frappe Desk,Frappe Desk'e git
Grand Total,Genel Toplam
Gross Margin,Brüt Marj
Gross Profit,Brüt Kar
Gross Sales,Brüt Satışlar
Group not found,Grup bulunamadı
"Grouped controls for terminal, UI, and session settings.","Terminal, kullanıcı arayüzü ve oturum ayarları için gruplandırılmış kontroller."
Grouped totals for each payment method and currency,Her ödeme yöntemi ve para birimi için gruplandırılmış toplamlar
Hide,Gizle
Hide Gift Card,Hediye Kartını Gizle
Hide Non Essential Fields,Temel Olmayan Alanları Gizle
Hide quantity decimals,Miktar ondalıklarını gizle
Hide search tools,Arama araçlarını gizle
Hide zero rated items,Sıfır derecelendirilmiş öğeleri gizle
High,Yüksek
History,Tarih
Hourly (Today),Saatlik (Bugün)
How this section works,Bu bölüm nasıl çalışır?
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.",Eski veriler kalırsa Ayarlar > Çevrimdışı ve Senkronizasyon'u açın ve çevrimiçiyken Çevrimdışı Verileri Yeniden Oluştur'u yeniden çalıştırın.
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","Uyarı devam ederse Ayarlar > Çevrimdışı ve Senkronizasyon'u açın, ardından Çevrimdışı Verileri Yenile veya Çevrimdışı Verileri Yeniden Oluştur'u çalıştırın."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,Sertifikayı QZ Tepsisine aktarın ve her POS makinesinde QZ Tepsisini yeniden başlatın.
In,içinde
In stock: {0},Stokta var: {0}
Include Batch / Serial,Toplu / Seri Ekle
Include Price,Fiyatı Dahil Et
Increase quantity,Miktarı arttır
IndexedDB,İndekslenmişDB
Initial Amount,Başlangıç Tutarı
Initialize your shift with opening balances,Vardiyanızı açılış bakiyeleriyle başlatın
Initializing application...,Uygulama başlatılıyor...
"Inspect cache, sync, and prerequisite status","Önbelleği, senkronizasyonu ve önkoşul durumunu inceleyin"
Installed Applications,Yüklü Uygulamalar
Insufficient stock:\n{0},Yetersiz stok:\n{0}
Invalid rate,Geçersiz ücret
Inventory Status Report,Envanter Durum Raporu
Invoice,Fatura
Invoice {0} is Submitted,{0} Faturası Gönderildi
Invoice {0} processed successfully,{0} numaralı fatura başarıyla işlendi
Invoice {0} submission failed,Fatura {0} gönderimi başarısız oldu
Invoice {0} was already submitted,{0} numaralı fatura zaten gönderildi
Invoice Adjustments,Fatura Düzenlemeleri
Invoice Change,Fatura Değişikliği
Invoice Details,Fatura Detayları
Invoice is still in draft after background submission.,"Fatura, arka plan gönderiminden sonra hala taslak halindedir."
Invoice Items,Fatura Öğeleri
Invoice Management,Fatura Yönetimi
Invoice Mgmt,Fatura Yönetimi
Invoice saved offline,Fatura çevrimdışına kaydedildi
Invoice submission failed,Fatura gönderimi başarısız oldu
Invoice Submitted,Fatura Gönderildi
"Invoice value settled by loyalty points, not cash collection",Fatura değeri nakit tahsilatına göre değil sadakat puanlarına göre belirlenir
Invoices,Faturalar
Invoices already past due date,Son ödeme tarihi geçmiş faturalar
Invoices saved as POS Invoices,POS Faturaları olarak kaydedilen faturalar
Invoices still carrying balances,Faturalar hâlâ bakiye taşıyor
Issue Mode,Sorun Modu
Issue New Card,Yeni Kart Ver
Issue Workflow,Sorun İş Akışı
"Issue, top up, and check","Sorunu giderin, tamamlayın ve kontrol edin"
Item,Öğe
