POS Awesome,POS ഗംഭീരം
A POS supervisor is required for this action.,ഈ പ്രവർത്തനത്തിന് ഒരു POS സൂപ്പർവൈസർ ആവശ്യമാണ്.
Access,പ്രവേശനം
Account,അക്കൗണ്ട്
Account is overdrawn,അക്കൗണ്ട് ഓവർഡ്രോയിംഗ് ആണ്
Acknowledge the error to resume scanning,സ്കാനിംഗ് പുനരാരംഭിക്കുന്നതിനുള്ള പിശക് അംഗീകരിക്കുക
Acknowledge the error to resume scanning.,സ്കാനിംഗ് പുനരാരംഭിക്കുന്നതിനുള്ള പിശക് അംഗീകരിക്കുക.
Across,ഉടനീളം
Action,ആക്ഷൻ
Active sale,സജീവമായ വിൽപ്പന
add,ചേർക്കുക
Add items from the selector to start building this sale.,ഈ വിൽപ്പന ആരംഭിക്കാൻ സെലക്ടറിൽ നിന്ന് ഇനങ്ങൾ ചേർക്കുക.
Add more value to an existing gift card,നിലവിലുള്ള ഒരു സമ്മാന കാർഡിന് കൂടുതൽ മൂല്യം ചേർക്കുക
Add New Address,പുതിയ വിലാസം ചേർക്കുക
Add new customer,പുതിയ ഉപഭോക്താവിനെ ചേർക്കുക
Add on New Line,പുതിയ ലൈനിൽ ചേർക്കുക
Add Payment,പേയ്മെൻ്റ് ചേർക്കുക
Add payment to invoice,ഇൻവോയ്‌സിലേക്ക് പേയ്‌മെൻ്റ് ചേർക്കുക
Add/Edit Coupon Conditions,കൂപ്പൺ വ്യവസ്ഥകൾ ചേർക്കുക/എഡിറ്റ് ചെയ്യുക
Additional Discount,അധിക കിഴിവ്
Additional Discount %,അധിക കിഴിവ് %
Address Line 1,വിലാസം ലൈൻ 1
Address not found,വിലാസം കണ്ടെത്തിയില്ല
Adjust the quantity or enable negative stock to continue.,തുടരുന്നതിന് അളവ് ക്രമീകരിക്കുക അല്ലെങ്കിൽ നെഗറ്റീവ് സ്റ്റോക്ക് പ്രവർത്തനക്ഷമമാക്കുക.
Adjustment,അഡ്ജസ്റ്റ്മെൻ്റ്
After returns,തിരിച്ചുവരവിന് ശേഷം
Against,എതിരായി
Against Name,പേരിന് എതിരായി
Age Bracket,പ്രായപരിധി
All,എല്ലാം
All Caught Up!,എല്ലാം പിടിക്കപ്പെട്ടു!
All invoices are synchronized,എല്ലാ ഇൻവോയ്‌സുകളും സമന്വയിപ്പിച്ചിരിക്കുന്നു
All pending invoices are up to date,തീർച്ചപ്പെടുത്താത്ത എല്ലാ ഇൻവോയ്‌സുകളും കാലികമാണ്
All Profiles,എല്ലാ പ്രൊഫൈലുകളും
All Synchronized,എല്ലാം സമന്വയിപ്പിച്ചു
All visible invoices are fully settled.,ദൃശ്യമാകുന്ന എല്ലാ ഇൻവോയ്‌സുകളും പൂർണ്ണമായും തീർപ്പാക്കി.
All Warehouses,എല്ലാ വെയർഹൗസുകളും
Allowed UOM is {0},അനുവദനീയമായ UOM ആണ് {0}
Always fetch items from server (ignore local cache),എല്ലായ്‌പ്പോഴും സെർവറിൽ നിന്ന് ഇനങ്ങൾ ലഭ്യമാക്കുക (പ്രാദേശിക കാഷെ അവഗണിക്കുക)
Amount,തുക
Amount already received,ഇതിനകം ലഭിച്ച തുക
Amount exceeds profile cash movement max amount.,തുക പ്രൊഫൈൽ ക്യാഷ് മൂവ്മെൻ്റ് പരമാവധി തുക കവിഞ്ഞു.
Amount must be greater than zero.,തുക പൂജ്യത്തേക്കാൾ കൂടുതലായിരിക്കണം.
Amount received from customer,ഉപഭോക്താവിൽ നിന്ന് ലഭിച്ച തുക
Appearance and user-level preferences for the current session.,നിലവിലെ സെഷനിലെ രൂപഭാവവും ഉപയോക്തൃ-തല മുൻഗണനകളും.
Applied,പ്രയോഗിച്ചു
Apply,അപേക്ഷിക്കുക
Apply Gift Card,ഗിഫ്റ്റ് കാർഡ് പ്രയോഗിക്കുക
Apply Offer,ഓഫർ പ്രയോഗിക്കുക
Apply On,അപേക്ഷിക്കുക
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,ഈ ഇൻവോയ്സിൽ നിങ്ങൾ റിഡീം ചെയ്യാൻ ആഗ്രഹിക്കുന്ന തുക മാത്രം പ്രയോഗിക്കുക. ബാക്കി തുക കാർഡിൽ തന്നെ തുടരും.
Apply Redemption,റിഡംപ്ഷൻ പ്രയോഗിക്കുക
Applying,അപേക്ഷിക്കുന്നു
Apps,ആപ്പുകൾ
Are you sure you want to close? All entered data will be lost.,അടയ്ക്കണമെന്ന് തീർച്ചയാണോ? നൽകിയ എല്ലാ ഡാറ്റയും നഷ്ടപ്പെടും.
Attributes (Size/Color),ആട്രിബ്യൂട്ടുകൾ (വലിപ്പം/നിറം)
Auto Allocate Payment Amount,പേയ്‌മെൻ്റ് തുക സ്വയമേവ അനുവദിക്കുക
Auto Reconcile,യാന്ത്രിക അനുരഞ്ജനം
Auto reconciliation completed after payment submit.,പേയ്‌മെൻ്റ് സമർപ്പിച്ചതിന് ശേഷം യാന്ത്രിക അനുരഞ്ജനം പൂർത്തിയായി.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,യാന്ത്രിക അനുരഞ്ജനം പൂർത്തിയായി. അനുവദിച്ചത്: {0}{1}. ബാക്കിയുള്ളവ: {0}{2}.
Available Actions,ലഭ്യമായ പ്രവർത്തനങ്ങൾ
Available QTY,QTY ലഭ്യമാണ്
Available:,ലഭ്യമാണ്:
Average Basket,ശരാശരി കൊട്ട
Average Bill,ശരാശരി ബിൽ
Average Ticket,ശരാശരി ടിക്കറ്റ്
Avg Bill,ശരാശരി ബിൽ
Avg Invoice,ശരാശരി ഇൻവോയ്സ്
Avg Invoice Profit,ശരാശരി ഇൻവോയ്സ് ലാഭം
Avg Invoice Value,ശരാശരി ഇൻവോയ്സ് മൂല്യം
Avg Purchase Frequency,ശരാശരി വാങ്ങൽ ആവൃത്തി
Awesome,ഗംഭീരം
Awesome Dashboard,ആകർഷണീയമായ ഡാഷ്ബോർഡ്
Awesome Dashboard is disabled for the selected POS Profile.,തിരഞ്ഞെടുത്ത POS പ്രൊഫൈലിനായി ആകർഷണീയമായ ഡാഷ്‌ബോർഡ് പ്രവർത്തനരഹിതമാക്കി.
Awesome Dashboard is unavailable for the selected scope.,തിരഞ്ഞെടുത്ത സ്കോപ്പിന് ആകർഷണീയമായ ഡാഷ്ബോർഡ് ലഭ്യമല്ല.
Awesome Dashboard is visible only to POS supervisors.,ആകർഷണീയമായ ഡാഷ്‌ബോർഡ് POS സൂപ്പർവൈസർമാർക്ക് മാത്രമേ ദൃശ്യമാകൂ.
Back,തിരികെ
Back Office Cash Account,ബാക്ക് ഓഫീസ് ക്യാഷ് അക്കൗണ്ട്
Back Office Cash Account (Optional Override),ബാക്ക് ഓഫീസ് ക്യാഷ് അക്കൗണ്ട് (ഓപ്ഷണൽ ഓവർറൈഡ്)
Back office cash account is required.,ബാക്ക് ഓഫീസ് ക്യാഷ് അക്കൗണ്ട് ആവശ്യമാണ്.
Back to {0},{0} എന്നതിലേക്ക് മടങ്ങുക
Background processing did not finish in time.,പശ്ചാത്തല പ്രോസസ്സിംഗ് കൃത്യസമയത്ത് പൂർത്തിയായില്ല.
Background processing failed for Invoice {0}: {1},ഇൻവോയ്‌സിൻ്റെ പശ്ചാത്തല പ്രോസസ്സിംഗ് പരാജയപ്പെട്ടു {0}: {1}
Background Submission Failed,പശ്ചാത്തല സമർപ്പണം പരാജയപ്പെട്ടു
Background sync interval (seconds),പശ്ചാത്തല സമന്വയ ഇടവേള (സെക്കൻഡ്)
Balance,ബാലൻസ്
Balance will be updated when connection is restored,കണക്ഷൻ പുനഃസ്ഥാപിക്കുമ്പോൾ ബാലൻസ് അപ്ഡേറ്റ് ചെയ്യും
Balances still pending,ബാലൻസുകൾ ഇപ്പോഴും തീർപ്പാക്കിയിട്ടില്ല
Barcode,ബാർകോഡ്
Barcode / QR Ready,ബാർകോഡ് / QR തയ്യാറാണ്
Barcode Label Printing,ബാർകോഡ് ലേബൽ പ്രിൻ്റിംഗ്
Base Paid:,അടിസ്ഥാന പണമടച്ചത്:
Base Recv:,അടിസ്ഥാന Recv:
Base:,അടിസ്ഥാനം:
Basic Information,അടിസ്ഥാന വിവരങ്ങൾ
Batch,ബാച്ച്
Batch Information,ബാച്ച് വിവരങ്ങൾ
Before any return workflow,ഏതെങ്കിലും റിട്ടേൺ വർക്ക്ഫ്ലോയ്ക്ക് മുമ്പ്
Before returns,തിരിച്ചുവരുന്നതിന് മുമ്പ്
Best Day,മികച്ച ദിവസം
Best Seller,ബെസ്റ്റ് സെല്ലർ
Book expense or deposit from active shift.,സജീവമായ ഷിഫ്റ്റിൽ നിന്നുള്ള ബുക്ക് ചെലവ് അല്ലെങ്കിൽ നിക്ഷേപം.
Branch / Location-wise Report,ബ്രാഞ്ച് / ലൊക്കേഷൻ തിരിച്ചുള്ള റിപ്പോർട്ട്
Brand-wise,ബ്രാൻഡ് അടിസ്ഥാനത്തിൽ
Breakdown,തകർച്ച
Browse,ബ്രൗസ് ചെയ്യുക
Build Time:,നിർമ്മാണ സമയം:
Built with Frappe,ഫ്രാപ്പെ ഉപയോഗിച്ച് നിർമ്മിച്ചത്
Bundle,ബണ്ടിൽ
Buying Price,വാങ്ങൽ വില
Cache cleared successfully,കാഷെ വിജയകരമായി മായ്ച്ചു
Cache Usage,കാഷെ ഉപയോഗം
cache used,ഉപയോഗിച്ച കാഷെ
Calculating...,കണക്കാക്കുന്നു...
Camera Access Required,ക്യാമറ ആക്‌സസ് ആവശ്യമാണ്
Camera access was aborted. Please try again.,ക്യാമറ ആക്സസ് റദ്ദാക്കി. ദയവായി വീണ്ടും ശ്രമിക്കുക.
Camera constraints not supported by your device. Trying fallback settings...,ക്യാമറ നിയന്ത്രണങ്ങൾ നിങ്ങളുടെ ഉപകരണം പിന്തുണയ്ക്കുന്നില്ല. ഫാൾബാക്ക് ക്രമീകരണങ്ങൾ പരീക്ഷിക്കുന്നു...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,ക്യാമറ തിരക്കിലാണ് അല്ലെങ്കിൽ മറ്റൊരു ആപ്പ്/ടാബ് ബ്ലോക്ക് ചെയ്‌തിരിക്കുന്നു. മറ്റ് ക്യാമറ ആപ്പുകൾ അടച്ച് വീണ്ടും ശ്രമിക്കുക.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,ക്യാമറ അനുമതി നിഷേധിച്ചു. നിങ്ങളുടെ ബ്രൗസർ ക്രമീകരണങ്ങളിൽ ക്യാമറ ആക്‌സസ് അനുവദിക്കുകയും പേജ് പുതുക്കുകയും ചെയ്യുക.
Camera scanner is locked until the current error is acknowledged,നിലവിലെ പിശക് അംഗീകരിക്കുന്നത് വരെ ക്യാമറ സ്കാനർ ലോക്ക് ചെയ്തിരിക്കുന്നു
Camera started but the video stream did not load in time. Please try again.,ക്യാമറ ആരംഭിച്ചുവെങ്കിലും വീഡിയോ സ്ട്രീം കൃത്യസമയത്ത് ലോഡ് ചെയ്തില്ല. ദയവായി വീണ്ടും ശ്രമിക്കുക.
Cancel cash movement {0}?,പണമിടപാട് {0} റദ്ദാക്കണോ?
Cancel Payment,പേയ്‌മെൻ്റ് റദ്ദാക്കുക
Cancel Sale,വിൽപ്പന റദ്ദാക്കുക
Cancel Sale ?,വിൽപ്പന റദ്ദാക്കണോ?
Cancelled,റദ്ദാക്കി
Cannot add an item with zero or negative quantity.,പൂജ്യമോ നെഗറ്റീവ് അളവോ ഉള്ള ഒരു ഇനം ചേർക്കാൻ കഴിയില്ല.
Cannot clear cache while offline,ഓഫ്‌ലൈനായിരിക്കുമ്പോൾ കാഷെ മായ്‌ക്കാനാവില്ല
Cannot redeem customer credit more than invoice total,ഇൻവോയ്സ് മൊത്തത്തിൽ കൂടുതൽ ഉപഭോക്തൃ ക്രെഡിറ്റ് റിഡീം ചെയ്യാൻ കഴിയില്ല
Cannot redeem gift cards more than invoice total,ഇൻവോയ്‌സ് മൊത്തത്തിൽ കൂടുതൽ സമ്മാന കാർഡുകൾ റിഡീം ചെയ്യാൻ കഴിയില്ല
Cannot Save Offline Invoice:,ഓഫ്‌ലൈൻ ഇൻവോയ്സ് സംരക്ഷിക്കാൻ കഴിയില്ല:
Cannot Save Offline Payment:,ഓഫ്‌ലൈൻ പേയ്‌മെൻ്റ് സംരക്ഷിക്കാൻ കഴിയില്ല:
Card,കാർഡ്
Card / Online,കാർഡ് / ഓൺലൈൻ
Card health after the last live lookup,അവസാന തത്സമയ ലുക്കപ്പിന് ശേഷം കാർഡ് ആരോഗ്യം
Cards,കാർഡുകൾ
Cart,വണ്ടി
Cash,പണം
Cash back to customers,ഉപഭോക്താക്കൾക്ക് പണം തിരികെ നൽകൂ
Cash Collections,പണ ശേഖരണങ്ങൾ
Cash Deposit is disabled for this POS Profile.,ഈ POS പ്രൊഫൈലിനായി ക്യാഷ് ഡെപ്പോസിറ്റ് പ്രവർത്തനരഹിതമാക്കിയിരിക്കുന്നു.
Cash Drawer Snapshot,ക്യാഷ് ഡ്രോയർ സ്നാപ്പ്ഷോട്ട്
Cash In Hand,കയ്യിൽ കാശ്
Cash Movement,ക്യാഷ് മൂവ്മെൻ്റ്
Cash movement cancelled,പണമിടപാട് റദ്ദാക്കി
Cash movement deduction applied,ക്യാഷ് മൂവ്മെൻ്റ് കിഴിവ് ബാധകമാക്കി
Cash movement deleted,പണമൊഴുക്ക് ഇല്ലാതാക്കി
Cash movement is disabled for this POS Profile.,ഈ POS പ്രൊഫൈലിനായി പണം നീക്കുന്നത് പ്രവർത്തനരഹിതമാക്കിയിരിക്കുന്നു.
Cash Movement is disabled in current POS Profile.,നിലവിലെ പിഒഎസ് പ്രൊഫൈലിൽ പണമിടപാട് പ്രവർത്തനരഹിതമാണ്.
Cash movement saved offline,പണമൊഴുക്ക് ഓഫ്‌ലൈനിൽ സംരക്ഷിച്ചു
Cash movement submitted,പണമിടപാട് സമർപ്പിച്ചു
Cash Movements,പണ നീക്കങ്ങൾ
Cash payment cannot be less than invoice total when partial payment is not allowed,ഭാഗിക പേയ്‌മെൻ്റ് അനുവദനീയമല്ലാത്തപ്പോൾ ക്യാഷ് പേയ്‌മെൻ്റ് മൊത്തം ഇൻവോയ്‌സിനേക്കാൾ കുറവായിരിക്കരുത്
Cash returned after payment,പണമടച്ചതിന് ശേഷം പണം തിരികെ നൽകി
Cashier,കാഷ്യർ
Cashier Access,കാഷ്യർ ആക്സസ്
Cashier identity and appearance preferences.,കാഷ്യർ ഐഡൻ്റിറ്റിയും രൂപഭാവ മുൻഗണനകളും.
Cashier PIN,കാഷ്യർ പിൻ
Cashier PIN saved successfully.,കാഷ്യർ പിൻ വിജയകരമായി സംരക്ഷിച്ചു.
Cashiers,കാഷ്യർമാർ
Cashier-wise,കാഷ്യർ-വൈസ്
Categories,വിഭാഗങ്ങൾ
Category,വിഭാഗം
Category / Brand / Variant Report,വിഭാഗം / ബ്രാൻഡ് / വേരിയൻ്റ് റിപ്പോർട്ട്
Category-wise,കാറ്റഗറി തിരിച്ച്
Category-wise Margin,കാറ്റഗറി തിരിച്ചുള്ള മാർജിൻ
Certificate,സർട്ടിഫിക്കറ്റ്
Certificate is missing or not trusted. QZ may show confirmation dialogs.,സർട്ടിഫിക്കറ്റ് കാണുന്നില്ല അല്ലെങ്കിൽ വിശ്വസനീയമല്ല. QZ സ്ഥിരീകരണ ഡയലോഗുകൾ കാണിച്ചേക്കാം.
Certificate is trusted. Silent QZ printing is active.,സർട്ടിഫിക്കറ്റ് വിശ്വസനീയമാണ്. നിശബ്ദ QZ പ്രിൻ്റിംഗ് സജീവമാണ്.
Change,മാറ്റുക
Change allocation repaired,മാറ്റാനുള്ള വിഹിതം നന്നാക്കി
Change Price,വില മാറ്റുക
Change Return,റിട്ടേൺ മാറ്റുക
Change Returned,മാറ്റം തിരിച്ചുകിട്ടി
Change terminal cashier,ടെർമിനൽ കാഷ്യർ മാറ്റുക
Charge Heads,ചാർജ് ഹെഡ്സ്
Charges,ചാർജുകൾ
Charges not found,ചാർജുകൾ കണ്ടെത്തിയില്ല
Check Balance,ബാലൻസ് പരിശോധിക്കുക
Check balance for any card. Supervisors can issue and top up cards here.,ഏതെങ്കിലും കാർഡിനായി ബാലൻസ് പരിശോധിക്കുക. സൂപ്പർവൈസർമാർക്ക് ഇവിടെ കാർഡുകൾ നൽകാനും ടോപ്പ് അപ്പ് ചെയ്യാനും കഴിയും.
Check balance only,ബാലൻസ് മാത്രം പരിശോധിക്കുക
Check for new commits,പുതിയ കമ്മിറ്റുകൾക്കായി പരിശോധിക്കുക
Check for Updates,അപ്‌ഡേറ്റുകൾക്കായി പരിശോധിക്കുക
Check live balance before applying redemption,റിഡീംഷൻ പ്രയോഗിക്കുന്നതിന് മുമ്പ് തത്സമയ ബാലൻസ് പരിശോധിക്കുക
Check live balance before redemption,വീണ്ടെടുക്കുന്നതിന് മുമ്പ് തത്സമയ ബാലൻസ് പരിശോധിക്കുക
Checking...,പരിശോധിക്കുന്നു...
Cheque/Reference Date,ചെക്ക്/റഫറൻസ് തീയതി
Cheque/Reference No,ചെക്ക്/റഫറൻസ് നമ്പർ
Choose the cashier currently operating this terminal.,നിലവിൽ ഈ ടെർമിനൽ പ്രവർത്തിക്കുന്ന കാഷ്യറെ തിരഞ്ഞെടുക്കുക.
City,നഗരം
Clear,ക്ലിയർ
Clear All,എല്ലാം മായ്‌ക്കുക
Clear all barcode items,എല്ലാ ബാർകോഡ് ഇനങ്ങളും മായ്‌ക്കുക
Clear all purchase order items,എല്ലാ വാങ്ങൽ ഓർഡർ ഇനങ്ങളും മായ്‌ക്കുക
Clear Search,തിരയൽ മായ്‌ക്കുക
Clearing local cache...,പ്രാദേശിക കാഷെ മായ്‌ക്കുന്നു...
Click to refresh,പുതുക്കാൻ ക്ലിക്ക് ചെയ്യുക
Client CPU Lag:,ക്ലയൻ്റ് സിപിയു ലാഗ്:
Client Memory Usage:,ക്ലയൻ്റ് മെമ്മറി ഉപയോഗം:
Client Metrics,ക്ലയൻ്റ് മെട്രിക്സ്
Close about dialog,ഡയലോഗിനെക്കുറിച്ച് അടയ്ക്കുക
Close cashier switcher,കാഷ്യർ സ്വിച്ചർ അടയ്ക്കുക
Close closing shift dialog,ക്ലോസിംഗ് ഷിഫ്റ്റ് ഡയലോഗ് അടയ്ക്കുക
Close column selector,കോളം സെലക്ടർ അടയ്ക്കുക
Close Dialog,ഡയലോഗ് അടയ്ക്കുക
Close drafts dialog,ഡ്രാഫ്റ്റ് ഡയലോഗ് അടയ്ക്കുക
Close invoice details dialog,ഇൻവോയ്സ് വിശദാംശങ്ങളുടെ ഡയലോഗ് അടയ്ക്കുക
Close invoice management,ഇൻവോയ്സ് മാനേജ്മെൻ്റ് അടയ്ക്കുക
Close offline invoices dialog,ഓഫ്‌ലൈൻ ഇൻവോയ്‌സ് ഡയലോഗ് അടയ്‌ക്കുക
Close packing list dialog,പാക്കിംഗ് ലിസ്റ്റ് ഡയലോഗ് അടയ്ക്കുക
Close returns dialog,റിട്ടേൺസ് ഡയലോഗ് അടയ്ക്കുക
Close sales orders dialog,വിൽപ്പന ഓർഡറുകൾ ഡയലോഗ് അടയ്ക്കുക
Close Scanner,സ്കാനർ അടയ്ക്കുക
Close scanner dialog,സ്കാനർ ഡയലോഗ് അടയ്ക്കുക
Close Settings,ക്രമീകരണങ്ങൾ അടയ്ക്കുക
Closing Amount,ക്ലോസിംഗ് തുക
Closing POS Shift,POS ഷിഫ്റ്റ് അടയ്ക്കുന്നു
Closing Snapshot Available,ക്ലോസിംഗ് സ്നാപ്പ്ഷോട്ട് ലഭ്യമാണ്
Code,കോഡ്
Code scanned successfully,കോഡ് വിജയകരമായി സ്കാൻ ചെയ്തു
COGS,COGS
Collapse item details,ഇനത്തിൻ്റെ വിശദാംശങ്ങൾ ചുരുക്കുക
Collected,ശേഖരിച്ചു
Cols,കോളുകൾ
Columns,നിരകൾ
commits,ചെയ്യുന്നു
Completed and active sales in this range,ഈ ശ്രേണിയിൽ പൂർത്തിയായതും സജീവവുമായ വിൽപ്പന
Completed returns will appear here.,പൂർത്തിയാക്കിയ റിട്ടേണുകൾ ഇവിടെ ദൃശ്യമാകും.
Confirm,സ്ഥിരീകരിക്കുക
Confirm Close,അടയ്ക്കുക സ്ഥിരീകരിക്കുക
Confirm Mobile Number,മൊബൈൽ നമ്പർ സ്ഥിരീകരിക്കുക
Confirm PIN,പിൻ സ്ഥിരീകരിക്കുക
Connect,ബന്ധിപ്പിക്കുക
Connect printer and manage certificate,പ്രിൻ്റർ ബന്ധിപ്പിച്ച് സർട്ടിഫിക്കറ്റ് മാനേജ് ചെയ്യുക
Connecting to QZ Tray...,QZ ട്രേയിലേക്ക് ബന്ധിപ്പിക്കുന്നു...
Connection problem while submitting invoice,ഇൻവോയ്സ് സമർപ്പിക്കുമ്പോൾ കണക്ഷൻ പ്രശ്നം
Connections:,കണക്ഷനുകൾ:
Connectivity and cached prerequisite status were rechecked.,കണക്റ്റിവിറ്റിയും കാഷെ ചെയ്ത മുൻവ്യവസ്ഥ നിലയും വീണ്ടും പരിശോധിച്ചു.
Continue Editing,എഡിറ്റിംഗ് തുടരുക
Could not fetch latest balance from server,സെർവറിൽ നിന്ന് ഏറ്റവും പുതിയ ബാലൻസ് നേടാനായില്ല
Count,എണ്ണുക
Country,രാജ്യം
Coupon,കൂപ്പൺ
Coupons,കൂപ്പണുകൾ
Cover,മൂടുക
CPU Cores:,സിപിയു കോറുകൾ:
Create,സൃഷ്ടിക്കുക
Create and load a new prepaid card,ഒരു പുതിയ പ്രീപെയ്ഡ് കാർഡ് സൃഷ്‌ടിക്കുകയും ലോഡ് ചെയ്യുകയും ചെയ്യുക
Create and preload a new gift card,ഒരു പുതിയ സമ്മാന കാർഡ് സൃഷ്‌ടിച്ച് പ്രീലോഡ് ചെയ്യുക
Create Bill,ബിൽ സൃഷ്ടിക്കുക
Create Customer,ഉപഭോക്താവിനെ സൃഷ്ടിക്കുക
Create New Item,പുതിയ ഇനം സൃഷ്ടിക്കുക
Create or change your PIN,നിങ്ങളുടെ പിൻ സൃഷ്‌ടിക്കുക അല്ലെങ്കിൽ മാറ്റുക
Create PIN,പിൻ സൃഷ്‌ടിക്കുക
Create POS Opening Shift,POS ഓപ്പണിംഗ് ഷിഫ്റ്റ് സൃഷ്ടിക്കുക
Create Purchase Order,വാങ്ങൽ ഓർഡർ സൃഷ്ടിക്കുക
Create Return,റിട്ടേൺ സൃഷ്ടിക്കുക
Create return from invoice,ഇൻവോയ്സിൽ നിന്ന് റിട്ടേൺ സൃഷ്ടിക്കുക
Create Supplier,വിതരണക്കാരനെ സൃഷ്ടിക്കുക
Credit and Output,ക്രെഡിറ്റും ഔട്ട്പുട്ടും
Credit Note,ക്രെഡിറ്റ് നോട്ട്
Credit Outstanding,ക്രെഡിറ്റ് ഔട്ട്സ്റ്റാൻഡിംഗ്
Credit sales remaining to be collected,ക്രെഡിറ്റ് വിൽപ്പന ശേഖരിക്കാൻ ശേഷിക്കുന്നു
Critical,ക്രിട്ടിക്കൽ
Currency,കറൻസി
Current,നിലവിലുള്ളത്
Current Event Loop Lag:,നിലവിലെ ഇവൻ്റ് ലൂപ്പ് ലാഗ്:
Current Month,നിലവിലെ മാസം
Current PIN,നിലവിലെ പിൻ
Current Profile,നിലവിലെ പ്രൊഫൈൽ
Current redeemable value on the gift card,സമ്മാന കാർഡിലെ നിലവിലെ റിഡീം ചെയ്യാവുന്ന മൂല്യം
Current User,നിലവിലെ ഉപയോക്താവ്
Custom,കസ്റ്റം
Custom Due Days,കസ്റ്റം ഡ്യൂ ഡേകൾ
Custom items per page,ഓരോ പേജിനും ഇഷ്ടാനുസൃത ഇനങ്ങൾ
Customer,ഉപഭോക്താവ്
Customer already selected,ഉപഭോക്താവ് ഇതിനകം തിരഞ്ഞെടുത്തു
Customer Balance,കസ്റ്റമർ ബാലൻസ്
Customer balance unavailable offline,കസ്റ്റമർ ബാലൻസ് ഓഫ്‌ലൈനിൽ ലഭ്യമല്ല
