POS Awesome,POS E mrekullueshme
Avg Bill,Fatura mesatare
Avg Invoice,Fatura mesatare
Avg Invoice Profit,Fitimi mesatar i faturës
Avg Invoice Value,Vlera mesatare e faturës
Avg Purchase Frequency,Frekuenca mesatare e blerjeve
Awesome,I mrekullueshëm
Awesome Dashboard,Paneli i mrekullueshëm
Awesome Dashboard is disabled for the selected POS Profile.,Paneli i mrekullueshëm është i çaktivizuar për profilin e zgjedhur POS.
Awesome Dashboard is unavailable for the selected scope.,Paneli i mrekullueshëm nuk është i disponueshëm për qëllimin e zgjedhur.
Awesome Dashboard is visible only to POS supervisors.,Paneli i mrekullueshëm është i dukshëm vetëm për mbikëqyrësit e POS.
Back,Mbrapa
Back Office Cash Account,Llogaria e parave të dorës së pasme
Back Office Cash Account (Optional Override),Llogaria e parave të gatshme në zyrën e pasme (Zëvendësim opsional)
Back office cash account is required.,Kërkohet llogari në para në dorë.
Back to {0},Kthehu te {0}
Background processing did not finish in time.,Përpunimi i sfondit nuk përfundoi në kohë.
Background processing failed for Invoice {0}: {1},Përpunimi në sfond dështoi për faturën {0}: {1}
Background Submission Failed,Dorëzimi i sfondit dështoi
Background sync interval (seconds),Intervali i sinkronizimit në sfond (sekonda)
Balance,Bilanci
Balance will be updated when connection is restored,Bilanci do të përditësohet kur të rikthehet lidhja
Balances still pending,Bilancet ende në pritje
Barcode,Barkodi
Barcode / QR Ready,Gati me barkod / QR
Barcode Label Printing,Printimi i etiketës së barkodit
Base Paid:,Baza e paguar:
Base Recv:,Rekv. bazë:
Base:,Baza:
Basic Information,Informacioni bazë
Batch,Batch
Batch Information,Informacioni i grupit
Before any return workflow,Përpara çdo fluksi pune të kthimit
Before returns,Para kthimit
Best Day,Dita më e mirë
Best Seller,Best Seller
Book expense or deposit from active shift.,Shpenzimi i rezervimit ose depozitimi nga turni aktiv.
Branch / Location-wise Report,Raporti i degës / vendndodhjes
Brand-wise,Sipas markës
Breakdown,Zbërthimi
Browse,Shfletoni
Build Time:,Koha e ndërtimit:
Built with Frappe,Ndërtuar me Frappe
Bundle,Pako
Buying Price,Çmimi i blerjes
Cache cleared successfully,Cache u pastrua me sukses
Cache Usage,Përdorimi i cache
cache used,cache e përdorur
Calculating...,Po llogaritet...
Camera Access Required,Kërkohet qasja në kamerë
Camera access was aborted. Please try again.,Qasja në kamerë u ndërpre. Ju lutemi provoni përsëri.
Camera constraints not supported by your device. Trying fallback settings...,Kufizimet e kamerës nuk mbështeten nga pajisja juaj. Po provon cilësimet e kthimit...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,Kamera është e zënë ose e bllokuar nga një aplikacion/skedë tjetër. Mbyllni aplikacionet e tjera të kamerës dhe provoni përsëri.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,Leja e kamerës u refuzua. Lejo qasjen e kamerës në cilësimet e shfletuesit dhe rifresko faqen.
Camera scanner is locked until the current error is acknowledged,Skaneri i kamerës është i kyçur derisa të pranohet gabimi aktual
Camera started but the video stream did not load in time. Please try again.,Kamera filloi por transmetimi i videos nuk u ngarkua në kohë. Ju lutemi provoni përsëri.
Cancel cash movement {0}?,Të anulohet lëvizja e parave të gatshme {0}?
Cancel Payment,Anuloni pagesën
Cancel Sale,Anulo shitjen
Cancel Sale ?,Anuloni shitjen?
Cancelled,Anuluar
Cannot add an item with zero or negative quantity.,Nuk mund të shtohet një artikull me sasi zero ose negative.
Cannot clear cache while offline,Nuk mund të pastrohet memoria e memories kur është jashtë linje
Cannot redeem customer credit more than invoice total,Nuk mund të blihet krediti i klientit më shumë se totali i faturës
Cannot redeem gift cards more than invoice total,Kartat e dhuratave nuk mund të përdoren më shumë se totali i faturës
Cannot Save Offline Invoice:,Nuk mund të ruhet fatura jashtë linje:
Cannot Save Offline Payment:,Nuk mund të ruhet pagesa jashtë linje:
Card,Kartelë
Card / Online,Kartelë / Online
Card health after the last live lookup,Shëndeti i kartës pas kërkimit të fundit të drejtpërdrejtë
Cards,Kartat
Cart,Karrocë
Cash,Paratë e gatshme
Cash back to customers,Kthimi i parave tek klientët
Cash Collections,Koleksionet e parave të gatshme
Cash Deposit is disabled for this POS Profile.,Depozita e parave të gatshme është e çaktivizuar për këtë profil POS.
Cash Drawer Snapshot,Foto e sirtarit të parave të gatshme
Cash In Hand,Para në dorë
Cash Movement,Lëvizja e parave
Cash movement cancelled,Lëvizja e parave të gatshme u anulua
Cash movement deduction applied,Zbritja e lëvizjes së parave të gatshme
Cash movement deleted,Lëvizja e parave të gatshme u fshi
Cash movement is disabled for this POS Profile.,Lëvizja e parave është e çaktivizuar për këtë profil POS.
Cash Movement is disabled in current POS Profile.,Lëvizja e parave është e çaktivizuar në profilin aktual të POS-it.
Cash movement saved offline,Lëvizja e parave të gatshme u ruajt jashtë linje
Cash movement submitted,Lëvizja e parave të gatshme është dorëzuar
Cash Movements,Lëvizjet e parave të gatshme
Cash payment cannot be less than invoice total when partial payment is not allowed,Pagesa me para në dorë nuk mund të jetë më e vogël se totali i faturës kur pagesa e pjesshme nuk lejohet
Cash returned after payment,Paratë e gatshme kthehen pas pagesës
Cashier,Arkëtar
Cashier Access,Qasja në arkëtar
Cashier identity and appearance preferences.,Identiteti i arkëtarit dhe preferencat e paraqitjes.
Cashier PIN,PIN-i i arkës
Cashier PIN saved successfully.,PIN-i i arkëtarit u ruajt me sukses.
Cashiers,Arkëtarët
Cashier-wise,Arkëtar
Categories,Kategoritë
Category,Kategoria
Category / Brand / Variant Report,Raporti i kategorisë / markës / variantit
Category-wise,Sipas kategorisë
Category-wise Margin,Marzhi sipas kategorisë
Certificate,Certifikata
Certificate is missing or not trusted. QZ may show confirmation dialogs.,Certifikata mungon ose nuk besohet. QZ mund të shfaqë dialogët e konfirmimit.
Certificate is trusted. Silent QZ printing is active.,Certifikata është e besueshme. Printimi i heshtur QZ është aktiv.
Change,Ndryshimi
Change allocation repaired,Riparimi i ndarjes së ndryshimit
Change Price,Ndrysho Çmimi
Change Return,Ndrysho Kthimin
Change Returned,Ndryshimi u kthye
Change terminal cashier,Ndryshoni arkëtarin e terminalit
Charge Heads,Kokat e ngarkimit
Charges,Akuzat
Charges not found,Tarifat nuk u gjetën
Check Balance,Kontrolloni bilancin
Check balance for any card. Supervisors can issue and top up cards here.,Kontrolloni gjendjen për çdo kartë. Mbikëqyrësit mund të lëshojnë dhe plotësojnë kartat këtu.
Check balance only,Kontrolloni vetëm bilancin
Check for new commits,Kontrolloni për angazhime të reja
Check for Updates,Kontrolloni për përditësime
Check live balance before applying redemption,Kontrollo balancën e drejtpërdrejtë përpara se të aplikosh riblerjen
Check live balance before redemption,Kontrollo balancën e drejtpërdrejtë përpara se të shpengosh
Checking...,Po kontrollon...
Cheque/Reference Date,Çeku/Data e referencës
Cheque/Reference No,Çeku/Referenca nr
Choose the cashier currently operating this terminal.,Zgjidhni arkëtarin që operon aktualisht në këtë terminal.
City,Qyteti
Clear,E qartë
Clear All,Pastro të gjitha
Clear all barcode items,Pastro të gjithë artikujt e barkodit
Clear all purchase order items,Pastro të gjithë artikujt e porosisë së blerjes
Clear Search,Pastro kërkimin
Clearing local cache...,Po pastrohet memoria e memories lokale...
Click to refresh,Klikoni për të rifreskuar
Client CPU Lag:,Vonesa e CPU-së së klientit:
Client Memory Usage:,Përdorimi i memories së klientit:
Client Metrics,Metrika e klientit
Close about dialog,Mbyll dialogun rreth
Close cashier switcher,Mbylle ndërruesin e arkës
Close closing shift dialog,Mbyll dialogun e mbylljes së ndërrimit
Close column selector,Mbyll përzgjedhësin e kolonës
Close Dialog,Mbyll dialogun
Close drafts dialog,Mbyll dialogun e drafteve
Close invoice details dialog,Mbyll dialogun e detajeve të faturës
Close invoice management,Mbyll menaxhimin e faturës
Close offline invoices dialog,Mbyll dialogun e faturave jashtë linje
Close packing list dialog,Mbyll dialogun e listës së paketimit
Close returns dialog,Mbyll dialogun e kthimit
Close sales orders dialog,Mbyll dialogun e porosive të shitjeve
Close Scanner,Mbylle skanerin
Close scanner dialog,Mbyll dialogun e skanerit
Close Settings,Mbyllni Cilësimet
Closing Amount,Shuma e mbylljes
Closing POS Shift,Mbyllja e POS Shift
Closing Snapshot Available,Disponohet fotografia mbyllëse
Code,Kodi
Code scanned successfully,Kodi u skanua me sukses
COGS,COGS
Collapse item details,Palos detajet e artikullit
Collected,Të mbledhura
Cols,Kolonat
Columns,Kolonat
commits,kryen
Completed and active sales in this range,Shitjet e përfunduara dhe aktive në këtë gamë
Completed returns will appear here.,Kthimet e përfunduara do të shfaqen këtu.
Confirm,Konfirmo
Confirm Close,Konfirmo Mbylljen
Confirm Mobile Number,Konfirmo numrin e celularit
Confirm PIN,Konfirmo PIN-in
Connect,Lidheni
Connect printer and manage certificate,Lidhni printerin dhe menaxhoni certifikatën
Connecting to QZ Tray...,Po lidhet me sirtarin QZ...
Connection problem while submitting invoice,Problem me lidhjen gjatë dërgimit të faturës
Connections:,Lidhjet:
Connectivity and cached prerequisite status were rechecked.,Lidhja dhe statusi i parakushteve të ruajtura në memorie të fshehtë u rishikuan.
Continue Editing,Vazhdo modifikimin
Could not fetch latest balance from server,Nuk mund të merrej bilanci i fundit nga serveri
Count,Numëroni
Country,Vendi
Coupon,Kupon
Coupons,Kuponët
Cover,Mbulesë
CPU Cores:,Bërthamat e CPU:
Create,Krijo
Create and load a new prepaid card,Krijoni dhe ngarkoni një kartë të re me parapagesë
Create and preload a new gift card,Krijo dhe ngarko një kartë të re dhuratë
Create Bill,Krijo Bill
Create Customer,Krijo klient
Create New Item,Krijo artikull të ri
Create or change your PIN,Krijoni ose ndryshoni PIN-in tuaj
Create PIN,Krijo PIN
Create POS Opening Shift,Krijo Shift hapjeje POS
Create Purchase Order,Krijo Urdhër Blerje
Create Return,Krijo kthim
Create return from invoice,Krijo kthim nga fatura
Create Supplier,Krijo Furnizues
Credit and Output,Kredia dhe prodhimi
Credit Note,Shënim krediti
Credit Outstanding,Kredia e papaguar
Credit sales remaining to be collected,Shitjet me kredi të mbetura për t'u mbledhur
Critical,Kritike
Currency,Monedha
Current,Aktuale
Current Event Loop Lag:,Vonesa aktuale e ciklit të ngjarjes:
Current Month,Muaji aktual
Current PIN,PIN-i aktual
Current Profile,Profili aktual
Current redeemable value on the gift card,Vlera aktuale e shlyershme në kartën e dhuratës
Current User,Përdoruesi aktual
Custom,Me porosi
Custom Due Days,Ditët e duhura të personalizuara
Custom items per page,Artikuj të personalizuar për faqe
Customer,Klienti
Customer already selected,Klienti është zgjedhur tashmë
Customer Balance,Bilanci i klientit
Customer balance unavailable offline,Bilanci i klientit nuk ofrohet jashtë linje
Customer created successfully.,Klienti u krijua me sukses.
Customer creation failed.,Krijimi i klientit dështoi.
Customer Details,Detajet e Klientit
Customer display channel is missing,Kanali i shfaqjes së klientit mungon
Customer display was blocked. Please allow pop-ups for this site.,Shfaqja e klientit u bllokua. Ju lutemi lejoni dritaret kërcyese për këtë sajt.
Customer group is required,Kërkohet grupi i klientëve
Customer is required to add payment,Klientit i kërkohet të shtojë pagesën
Customer Name is required,Kërkohet emri i klientit
Customer not selected,Klienti nuk është zgjedhur
Customer Report,Raporti i Klientit
Customer saved offline,Klienti u ruajt jashtë linje
Customer Screen,Ekrani i klientit
Customer territory is required,Kërkohet territori i klientit
Customer updated successfully.,Klienti u përditësua me sukses.
Customer-facing tools and printer setup.,Mjetet që përballen me klientin dhe konfigurimi i printerit.
Customers,Konsumatorët
Customers not found,Klientët nuk u gjetën
Daily cashier actions without scrolling.,Veprimet e përditshme të arkës pa lëvizje.
Daily Sales,Shitjet Ditore
Daily Sales Summary,Përmbledhje e shitjeve ditore
Data loaded in form. Review and submit.,Të dhënat e ngarkuara në formë. Rishikoni dhe dorëzoni.
Database Health,Baza e të dhënave Shëndeti
Database health affects overall system speed and reliability.,Shëndeti i bazës së të dhënave ndikon në shpejtësinë dhe besueshmërinë e përgjithshme të sistemit.
Database Info,Informacion mbi bazën e të dhënave
Date,Data
Day ?,Dita ?
days,ditë
Day-wise (MTD),Gjatë ditës (MTD)
Day-wise Movement,Lëvizja e ditës
Dead Stock,Stoku i vdekur
Dead Stock Items,Artikuj të vdekur të aksioneve
Decrease quantity,Ul sasinë
Default,E paracaktuar
Default:,E parazgjedhur:
Delete,Fshije
Delete cancelled cash movement {0}?,Të fshihet lëvizja e anuluar e parave të gatshme {0}?
Delete Draft,Fshi draftin
Delete draft invoice,Fshi draft faturën
Delete draft invoice {0}?,Të fshihet projektfatura {0}?
Delete Invoice,Fshij faturën
Delete offline invoice,Fshi faturën jashtë linje
Delivered,Dorëzuar
Delivery Charges,Tarifat e dorëzimit
Delivery Information,Informacioni i dorëzimit
Delivery Note {0} created,U krijua shënimi i dorëzimit {0}
Delivery note created,Fletën e dorëzimit u krijua
Deployed Bundle:,Paketa e vendosur:
Deposit,Depozitë
Description,Përshkrimi
Detailed Supplier Breakdown,Përbërja e detajuar e furnizuesit
Detecting formats:,Zbulimi i formateve:
Device Memory:,Kujtesa e pajisjes:
Difference,Diferenca
Difference (In Company Currency),Diferenca (në monedhën e kompanisë)
Disable offline mode first to recheck live connectivity.,Çaktivizo fillimisht modalitetin jashtë linje për të kontrolluar sërish lidhjen e drejtpërdrejtë.
Disconnect,Shkëputeni
discount,zbritje
Discount %,Zbritje %
Discount / Void / Return Report,Raporti i zbritjes / i pavlefshëm / i kthimit
Discount Amount,Shuma e zbritjes
Discount limited by POS Profile,Zbritje e kufizuar nga Profili POS
Discounted Invoices,Fatura me zbritje
Discounts,Zbritje
Dismiss,Largoje
Download Certificate,Shkarko Certifikatën
Draft,Drafti
Draft invoice deleted,Projektfatura u fshi
Draft source,Draft burimi
Drafts,Draftet
Due {0},Afati {0}
Due Date,Data e Afatit
Duplicate,Dublikatë
Edit customer,Redakto klientin
Edit discount amount,Redakto shumën e zbritjes
Edit discount percentage,Redakto përqindjen e zbritjes
Edit Gift Application,Redakto aplikacionin e dhuratave
Edit item name,Redakto emrin e artikullit
Edit quantity,Redakto sasinë
Edit rate,Norma e modifikimit
Edit unit of measure,Redakto njësinë e masës
Edited,Redaktuar
Employee,Punonjës
Enable background sync,Aktivizo sinkronizimin e sfondit
Enable Customer Display in POS Profile first.,Aktivizo fillimisht shfaqjen e klientit në profilin POS.
Enter a PIN.,Futni një PIN.
Enter a valid grams value,Fut një vlerë të vlefshme gram
Enter new price list rate,Fut tarifën e re të listës së çmimeve
Enter Quantity,Shkruani Sasinë
Enter the cashier PIN to continue.,Futni PIN-in e arkëtarit për të vazhduar.
Enter the current PIN first.,Futni së pari kodin PIN aktual.
"Enter the current PIN, then choose a new one.",Futni kodin PIN aktual dhe më pas zgjidhni një të ri.
Enter valid grams for scale barcode,Fut gram të vlefshëm për barkodin e shkallës
Entries,Regjistrimet
Error accessing camera:,Gabim gjatë qasjes në kamerë:
Error calculating prices,Gabim në llogaritjen e çmimeve
Error fetching customer balance,Gabim gjatë marrjes së bilancit të klientit
Error in change calculations!,Gabim në llogaritjet e ndryshimit!
Error Loading Data,Gabim gjatë ngarkimit të të dhënave
Error loading invoice details,Gabim gjatë ngarkimit të detajeve të faturës
Error processing invoice,Gabim gjatë përpunimit të faturës
Error processing payment,Gabim gjatë përpunimit të pagesës
Error searching invoices,Gabim gjatë kërkimit të faturave
Error submitting invoice:,Gabim gjatë dërgimit të faturës:
Error submitting invoice: {0},Gabim gjatë dërgimit të faturës: {0}
Error submitting invoice: No response from server,Gabim gjatë dërgimit të faturës: Nuk ka përgjigje nga serveri
Error updating currency,Gabim gjatë përditësimit të monedhës
Error updating item details,Gabim gjatë përditësimit të detajeve të artikullit
Est. Purchase,Est. Blerje
Est. Value,Est. Vlera
Event-loop lag measures how busy your browser is. Lower is better.,Vonesa e ciklit të ngjarjeve mat se sa i zënë është shfletuesi juaj. Më e ulët është më mirë.
Every,Çdo
Exchange Rate,Kursi i këmbimit
Expand item details,Zgjero detajet e artikullit
Expected Amount (In Company Currency),Shuma e pritshme (në monedhën e kompanisë)
Expected Cash,Paratë e pritshme
Expected cash on hand grouped by currency,Paratë e pritshme në dorë të grupuara sipas monedhës
Expected vs Actual,E pritshme vs aktuale
Expense,Shpenzimet
Expense Account (Optional Override),Llogaria e shpenzimeve (Zëvendësimi opsional)
Expense account is required.,Kërkohet llogaria e shpenzimeve.
Expenses and deposits posted during this shift,Shpenzimet dhe depozitat e afishuara gjatë këtij ndërrimi
Expired,I skaduar
Failed to auto reconcile payments.,Barazimi automatik i pagesave dështoi.
Failed to cancel cash movement,Anulimi i lëvizjes së parave dështoi
Failed to clear cache,Pastrimi i memories së memories dështoi
Failed to create item,Krijimi i artikullit dështoi
Failed to create supplier,Krijimi i furnizuesit dështoi
Failed to delete cash movement,Fshirja e lëvizjes së parave dështoi
Failed to generate scale barcode. Using item barcode only.,Krijimi i barkodit të shkallës dështoi. Duke përdorur vetëm barkodin e artikullit.
Failed to load cash movement context.,Ngarkimi i kontekstit të lëvizjes së parave dështoi.
Failed to load dashboard data.,Ngarkimi i të dhënave të panelit të kontrollit dështoi.
Failed to reload invoice from server,Ringarkimi i faturës nga serveri dështoi
Failed to submit cash movement,Lëvizja e parave të gatshme dështoi
Failed to sync offline cash movements,Sinkronizimi i lëvizjeve të parave jashtë linje dështoi
Fast cashier actions for active shifts.,Veprime të shpejta arkëtare për turne aktive.
Fast Moving Items,Artikuj që lëvizin shpejt
Fees,Tarifat
Fetch the latest offline prerequisite updates,Merr përditësimet më të fundit të parakushteve jashtë linje
Find a sales order quickly and load it into the current sale.,Gjeni shpejt një porosi shitje dhe ngarkojeni në shitjen aktuale.
Fixing payment amounts for return invoice...,Po rregullon shumat e pagesave për faturën e kthimit...
Flash Off,Flash Off
Flash On,Blic Aktiv
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","Për artikujt e ""Paketës së produktit"", Magazina, Numri Serial dhe Numri i Serisë do të merren parasysh nga tabela ""Lista e Paketimit"". Nëse magazina dhe numri i grupit janë të njëjta për të gjithë artikujt e paketimit për çdo artikull 'Paketë e produktit', ato vlera mund të futen në tabelën kryesore të artikullit; vlerat do të kopjohen në tabelën ""Lista e paketimit""."
Free,Falas
Free Qty,Sasia falas
Frequency,Frekuenca
from,nga
From Date,Nga data
Fulfillment Details,Detajet e përmbushjes
Full Name,Emri i plotë
Gain,Fitimi
Generate a fresh prepaid card and start it with an opening balance.,Krijoni një kartë të re me parapagesë dhe filloni me një bilanc hapës.
Generate and install the certificate to allow fully silent printing without trust prompts.,Gjeneroni dhe instaloni certifikatën për të lejuar printim plotësisht të heshtur pa kërkesa besimi.
Generate Certificate,Krijo Certifikatë
Generated scale barcode: {0},Barkodi i krijuar në shkallë: {0}
Get Payments,Merrni pagesa
Gift Card,Kartë Dhuratë
Gift card amount must be greater than zero.,Shuma e kartës së dhuratës duhet të jetë më e madhe se zero.
Gift Card Code,Kodi i kartës së dhuratës
Gift card code is required for redemption,Kërkohet kodi i kartës së dhuratës për të shlyer
Gift card code is required.,Kërkohet kodi i kartës së dhuratës.
Gift card issued successfully.,Karta dhuratë u lëshua me sukses.
Gift card loaded successfully.,Karta dhuratë u ngarkua me sukses.
Gift Card Management,Menaxhimi i kartave të dhuratave
Gift card payment,Pagesa me kartë dhuratë
Gift card redemption requires an online connection,Shlyerja e kartës së dhuratës kërkon një lidhje në internet
Gift card topped up successfully.,Karta e dhuratës u mbush me sukses.
Gift Cards,Kartat e dhuratave
Go to Frappe Desk,Shkoni te Frappe Desk
Grand Total,Totali i Madh
Gross Margin,Marzhi bruto
Gross Profit,Fitimi bruto
Gross Sales,Shitjet bruto
Group not found,Grupi nuk u gjet
"Grouped controls for terminal, UI, and session settings.","Kontrollet e grupuara për cilësimet e terminalit, ndërfaqes së përdoruesit dhe sesionit."
Grouped totals for each payment method and currency,Totalet e grupuara për çdo mënyrë pagese dhe monedhë
Hide,Fshih
Hide Gift Card,Fshih kartën e dhuratave
Hide Non Essential Fields,Fshih fushat jo thelbësore
Hide quantity decimals,Fshih numrat dhjetorë të sasisë
Hide search tools,Fshih mjetet e kërkimit
Hide zero rated items,Fshih artikujt me vlerësim zero
High,Lartë
History,Historia
Hourly (Today),Për orë (sot)
How this section works,Si funksionon ky seksion
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","Nëse të dhënat mbeten të vjetra, hapni Cilësimet > Offline & Sync dhe ekzekutoni sërish Rindërtoni të dhënat jashtë linje kur jeni në linjë."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","Nëse paralajmërimi vazhdon, hapni Cilësimet > Offline & Sync, më pas ekzekutoni Rifresko të dhënat jashtë linje ose Rindërtoni të dhënat jashtë linje."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,Importoni certifikatën në sirtarin QZ dhe rinisni QZ Tray në çdo makinë POS.
In,Në
In stock: {0},Në magazinë: {0}
Include Batch / Serial,Përfshi Batch / Serial
Include Price,Përfshi çmimin
Increase quantity,Rritja e sasisë
IndexedDB,Indeksuar DB
Initial Amount,Shuma fillestare
Initialize your shift with opening balances,Filloni ndryshimin tuaj me bilancet e hapjes
Initializing application...,Po inicializon aplikacionin...
"Inspect cache, sync, and prerequisite status","Inspektoni cache, sinkronizimin dhe statusin parakusht"
Installed Applications,Aplikacionet e instaluara
Insufficient stock:\n{0},Stoku i pamjaftueshëm:\n{0}
Invalid rate,Norma e pavlefshme
Inventory Status Report,Raporti i gjendjes së inventarit
Invoice,Fatura
Invoice {0} is Submitted,Fatura {0} është dorëzuar
Invoice {0} processed successfully,Fatura {0} u përpunua me sukses
Invoice {0} submission failed,Dorëzimi i faturës {0} dështoi
Invoice {0} was already submitted,Fatura {0} është dorëzuar tashmë
Invoice Adjustments,Rregullimet e faturës
Invoice Change,Ndryshimi i faturës
Invoice Details,Detajet e faturës
Invoice is still in draft after background submission.,Fatura është ende në draft pas dorëzimit të sfondit.
Invoice Items,Artikujt e faturës
Invoice Management,Menaxhimi i faturës
Invoice Mgmt,Faturë Mgmt
Invoice saved offline,Fatura u ruajt jashtë linje
Invoice submission failed,Dorëzimi i faturës dështoi
Invoice Submitted,Fatura e dorëzuar
"Invoice value settled by loyalty points, not cash collection","Vlera e faturës e shlyer nga pikët e besnikërisë, jo nga arkëtimi i parave të gatshme"
Invoices,Faturat
