POS Awesome,POS అద్భుతం
Avg Invoice Profit,సగటు ఇన్‌వాయిస్ లాభం
Avg Invoice Value,సగటు ఇన్‌వాయిస్ విలువ
Avg Purchase Frequency,సగటు కొనుగోలు ఫ్రీక్వెన్సీ
Awesome,అద్భుతం
Awesome Dashboard,అద్భుతమైన డాష్‌బోర్డ్
Awesome Dashboard is disabled for the selected POS Profile.,ఎంచుకున్న POS ప్రొఫైల్ కోసం అద్భుతమైన డాష్‌బోర్డ్ నిలిపివేయబడింది.
Awesome Dashboard is unavailable for the selected scope.,ఎంచుకున్న స్కోప్ కోసం అద్భుత డ్యాష్‌బోర్డ్ అందుబాటులో లేదు.
Awesome Dashboard is visible only to POS supervisors.,అద్భుతమైన డాష్‌బోర్డ్ POS సూపర్‌వైజర్‌లకు మాత్రమే కనిపిస్తుంది.
Back,వెనుకకు
Back Office Cash Account,బ్యాక్ ఆఫీస్ నగదు ఖాతా
Back Office Cash Account (Optional Override),బ్యాక్ ఆఫీస్ నగదు ఖాతా (ఐచ్ఛిక ఓవర్‌రైడ్)
Back office cash account is required.,బ్యాక్ ఆఫీస్ నగదు ఖాతా అవసరం.
Back to {0},తిరిగి {0}కి
Background processing did not finish in time.,బ్యాక్‌గ్రౌండ్ ప్రాసెసింగ్ సకాలంలో పూర్తి కాలేదు.
Background processing failed for Invoice {0}: {1},ఇన్‌వాయిస్ {0}: {1} కోసం బ్యాక్‌గ్రౌండ్ ప్రాసెసింగ్ విఫలమైంది
Background Submission Failed,నేపథ్య సమర్పణ విఫలమైంది
Background sync interval (seconds),నేపథ్య సమకాలీకరణ విరామం (సెకన్లు)
Balance,బ్యాలెన్స్
Balance will be updated when connection is restored,కనెక్షన్ పునరుద్ధరించబడినప్పుడు బ్యాలెన్స్ నవీకరించబడుతుంది
Balances still pending,బ్యాలెన్స్‌లు ఇంకా పెండింగ్‌లో ఉన్నాయి
Barcode,బార్‌కోడ్
Barcode / QR Ready,బార్‌కోడ్ / QR సిద్ధంగా ఉంది
Barcode Label Printing,బార్‌కోడ్ లేబుల్ ప్రింటింగ్
Base Paid:,బేస్ పెయిడ్:
Base Recv:,బేస్ Recv:
Base:,ఆధారం:
Basic Information,ప్రాథమిక సమాచారం
Batch,బ్యాచ్
Batch Information,బ్యాచ్ సమాచారం
Before any return workflow,ఏదైనా రిటర్న్ వర్క్‌ఫ్లో ముందు
Before returns,తిరిగి వచ్చే ముందు
Best Day,ఉత్తమ రోజు
Best Seller,బెస్ట్ సెల్లర్
Book expense or deposit from active shift.,యాక్టివ్ షిఫ్ట్ నుండి బుక్ ఖర్చు లేదా డిపాజిట్.
Branch / Location-wise Report,బ్రాంచ్ / స్థాన వారీగా నివేదిక
Brand-wise,బ్రాండ్ వారీగా
Breakdown,విచ్ఛిన్నం
Browse,బ్రౌజ్ చేయండి
Build Time:,బిల్డ్ సమయం:
Built with Frappe,ఫ్రాప్పేతో నిర్మించబడింది
Bundle,కట్ట
Buying Price,కొనుగోలు ధర
Cache cleared successfully,కాష్ విజయవంతంగా క్లియర్ చేయబడింది
Cache Usage,కాష్ వినియోగం
cache used,కాష్ ఉపయోగించబడింది
Calculating...,లెక్కిస్తోంది...
Camera Access Required,కెమెరా యాక్సెస్ అవసరం
Camera access was aborted. Please try again.,కెమెరా యాక్సెస్ రద్దు చేయబడింది. దయచేసి మళ్లీ ప్రయత్నించండి.
Camera constraints not supported by your device. Trying fallback settings...,మీ పరికరం ద్వారా కెమెరా పరిమితులకు మద్దతు లేదు. ఫాల్‌బ్యాక్ సెట్టింగ్‌లను ప్రయత్నిస్తోంది...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,"కెమెరా బిజీగా ఉంది లేదా మరొక యాప్/ట్యాబ్ ద్వారా బ్లాక్ చేయబడింది. ఇతర కెమెరా యాప్‌లను మూసివేసి, మళ్లీ ప్రయత్నించండి."
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,కెమెరా అనుమతి నిరాకరించబడింది. దయచేసి మీ బ్రౌజర్ సెట్టింగ్‌లలో కెమెరా యాక్సెస్‌ని అనుమతించండి మరియు పేజీని రిఫ్రెష్ చేయండి.
Camera scanner is locked until the current error is acknowledged,ప్రస్తుత లోపం గుర్తించబడే వరకు కెమెరా స్కానర్ లాక్ చేయబడింది
Camera started but the video stream did not load in time. Please try again.,కెమెరా ప్రారంభించబడింది కానీ వీడియో స్ట్రీమ్ సకాలంలో లోడ్ కాలేదు. దయచేసి మళ్లీ ప్రయత్నించండి.
Cancel cash movement {0}?,నగదు తరలింపు {0}ని రద్దు చేయాలా?
Cancel Payment,చెల్లింపును రద్దు చేయండి
Cancel Sale,విక్రయాన్ని రద్దు చేయండి
Cancel Sale ?,విక్రయాన్ని రద్దు చేయాలా?
Cancelled,రద్దు చేయబడింది
Cannot add an item with zero or negative quantity.,సున్నా లేదా ప్రతికూల పరిమాణంతో అంశాన్ని జోడించలేరు.
Cannot clear cache while offline,ఆఫ్‌లైన్‌లో ఉన్నప్పుడు కాష్‌ని క్లియర్ చేయలేరు
Cannot redeem customer credit more than invoice total,ఇన్‌వాయిస్ మొత్తం కంటే ఎక్కువ కస్టమర్ క్రెడిట్‌ని రీడీమ్ చేయలేరు
Cannot redeem gift cards more than invoice total,మొత్తం ఇన్‌వాయిస్ కంటే ఎక్కువ బహుమతి కార్డ్‌లను రీడీమ్ చేయలేరు
Cannot Save Offline Invoice:,ఆఫ్‌లైన్ ఇన్‌వాయిస్‌ను సేవ్ చేయడం సాధ్యం కాదు:
Cannot Save Offline Payment:,ఆఫ్‌లైన్ చెల్లింపును సేవ్ చేయడం సాధ్యం కాదు:
Card,కార్డ్
Card / Online,కార్డ్ / ఆన్‌లైన్
Card health after the last live lookup,చివరి ప్రత్యక్ష శోధన తర్వాత కార్డ్ ఆరోగ్యం
Cards,కార్డులు
Cart,బండి
Cash,నగదు
Cash back to customers,కస్టమర్లకు క్యాష్ బ్యాక్
Cash Collections,నగదు సేకరణలు
Cash Deposit is disabled for this POS Profile.,ఈ POS ప్రొఫైల్ కోసం నగదు డిపాజిట్ నిలిపివేయబడింది.
Cash Drawer Snapshot,నగదు డ్రాయర్ స్నాప్‌షాట్
Cash In Hand,చేతిలో నగదు
Cash Movement,నగదు ఉద్యమం
Cash movement cancelled,నగదు తరలింపు రద్దు చేయబడింది
Cash movement deduction applied,నగదు తరలింపు మినహాయింపు వర్తించబడింది
Cash movement deleted,నగదు తరలింపు తొలగించబడింది
Cash movement is disabled for this POS Profile.,ఈ POS ప్రొఫైల్ కోసం నగదు తరలింపు నిలిపివేయబడింది.
Cash Movement is disabled in current POS Profile.,ప్రస్తుత POS ప్రొఫైల్‌లో నగదు తరలింపు నిలిపివేయబడింది.
Cash movement saved offline,నగదు తరలింపు ఆఫ్‌లైన్‌లో సేవ్ చేయబడింది
Cash movement submitted,నగదు తరలింపు సమర్పించబడింది
Cash Movements,నగదు కదలికలు
Cash payment cannot be less than invoice total when partial payment is not allowed,పాక్షిక చెల్లింపు అనుమతించబడనప్పుడు నగదు చెల్లింపు మొత్తం ఇన్‌వాయిస్ కంటే తక్కువగా ఉండకూడదు
Cash returned after payment,చెల్లింపు తర్వాత నగదు తిరిగి వచ్చింది
Cashier,క్యాషియర్
Cashier Access,క్యాషియర్ యాక్సెస్
Cashier identity and appearance preferences.,క్యాషియర్ గుర్తింపు మరియు ప్రదర్శన ప్రాధాన్యతలు.
Cashier PIN,క్యాషియర్ పిన్
Cashier PIN saved successfully.,క్యాషియర్ పిన్ విజయవంతంగా సేవ్ చేయబడింది.
Cashiers,క్యాషియర్లు
Cashier-wise,క్యాషియర్ వారీగా
Categories,వర్గాలు
Category,వర్గం
Category / Brand / Variant Report,వర్గం / బ్రాండ్ / వేరియంట్ నివేదిక
Category-wise,కేటగిరీ వారీగా
Category-wise Margin,కేటగిరీ వారీగా మార్జిన్
Certificate,సర్టిఫికేట్
Certificate is missing or not trusted. QZ may show confirmation dialogs.,సర్టిఫికేట్ లేదు లేదా విశ్వసించబడలేదు. QZ నిర్ధారణ డైలాగ్‌లను చూపవచ్చు.
Certificate is trusted. Silent QZ printing is active.,సర్టిఫికేట్ నమ్మదగినది. సైలెంట్ QZ ప్రింటింగ్ సక్రియంగా ఉంది.
Change,మార్చండి
Change allocation repaired,మార్పు కేటాయింపు మరమ్మత్తు చేయబడింది
Change Price,ధర మార్చండి
Change Return,రిటర్న్ మార్చండి
Change Returned,మార్పు తిరిగి వచ్చింది
Change terminal cashier,టెర్మినల్ క్యాషియర్‌ని మార్చండి
Charge Heads,ఛార్జ్ హెడ్స్
Charges,ఛార్జీలు
Charges not found,ఛార్జీలు కనుగొనబడలేదు
Check Balance,బ్యాలెన్స్ తనిఖీ చేయండి
Check balance for any card. Supervisors can issue and top up cards here.,ఏదైనా కార్డ్ కోసం బ్యాలెన్స్ తనిఖీ చేయండి. సూపర్‌వైజర్‌లు ఇక్కడ కార్డ్‌లను జారీ చేయవచ్చు మరియు టాప్ అప్ చేయవచ్చు.
Check balance only,బ్యాలెన్స్ మాత్రమే తనిఖీ చేయండి
Check for new commits,కొత్త కమిట్‌ల కోసం తనిఖీ చేయండి
Check for Updates,నవీకరణల కోసం తనిఖీ చేయండి
Check live balance before applying redemption,విముక్తిని వర్తింపజేయడానికి ముందు ప్రత్యక్ష బ్యాలెన్స్‌ని తనిఖీ చేయండి
Check live balance before redemption,రిడీమ్ చేయడానికి ముందు లైవ్ బ్యాలెన్స్‌ని చెక్ చేయండి
Checking...,తనిఖీ చేస్తోంది...
Cheque/Reference Date,చెక్/రిఫరెన్స్ తేదీ
Cheque/Reference No,చెక్/రిఫరెన్స్ నం
Choose the cashier currently operating this terminal.,ప్రస్తుతం ఈ టెర్మినల్‌ను నిర్వహిస్తున్న క్యాషియర్‌ని ఎంచుకోండి.
City,నగరం
Clear,క్లియర్
Clear All,అన్నీ క్లియర్ చేయండి
Clear all barcode items,అన్ని బార్‌కోడ్ అంశాలను క్లియర్ చేయండి
Clear all purchase order items,అన్ని కొనుగోలు ఆర్డర్ అంశాలను క్లియర్ చేయండి
Clear Search,శోధనను క్లియర్ చేయండి
Clearing local cache...,స్థానిక కాష్‌ని క్లియర్ చేస్తోంది...
Click to refresh,రిఫ్రెష్ చేయడానికి క్లిక్ చేయండి
Client CPU Lag:,క్లయింట్ CPU లాగ్:
Client Memory Usage:,క్లయింట్ మెమరీ వినియోగం:
Client Metrics,క్లయింట్ కొలమానాలు
Close about dialog,డైలాగ్ గురించి మూసివేయండి
Close cashier switcher,క్యాషియర్ స్విచ్చర్‌ను మూసివేయండి
Close closing shift dialog,మూసివేసే షిఫ్ట్ డైలాగ్‌ను మూసివేయండి
Close column selector,నిలువు వరుస ఎంపిక సాధనాన్ని మూసివేయండి
Close Dialog,డైలాగ్‌ని మూసివేయండి
Close drafts dialog,డ్రాఫ్ట్ డైలాగ్‌ను మూసివేయండి
Close invoice details dialog,ఇన్వాయిస్ వివరాల డైలాగ్‌ని మూసివేయండి
Close invoice management,ఇన్వాయిస్ నిర్వహణను మూసివేయండి
Close offline invoices dialog,ఆఫ్‌లైన్ ఇన్‌వాయిస్‌ల డైలాగ్‌ని మూసివేయండి
Close packing list dialog,ప్యాకింగ్ జాబితా డైలాగ్‌ను మూసివేయండి
Close returns dialog,రిటర్న్స్ డైలాగ్‌ని మూసివేయండి
Close sales orders dialog,సేల్స్ ఆర్డర్‌ల డైలాగ్‌ని మూసివేయండి
Close Scanner,స్కానర్‌ని మూసివేయండి
Close scanner dialog,స్కానర్ డైలాగ్‌ని మూసివేయండి
Close Settings,సెట్టింగ్‌లను మూసివేయండి
Closing Amount,ముగింపు మొత్తం
Closing POS Shift,POS షిఫ్ట్‌ని మూసివేస్తోంది
Closing Snapshot Available,క్లోజింగ్ స్నాప్‌షాట్ అందుబాటులో ఉంది
Code,కోడ్
Code scanned successfully,కోడ్ విజయవంతంగా స్కాన్ చేయబడింది
COGS,COGS
Collapse item details,అంశం వివరాలను కుదించు
Collected,సేకరించారు
Cols,కల్ల్స్
Columns,నిలువు వరుసలు
commits,కట్టుబడి ఉంటుంది
Completed and active sales in this range,ఈ శ్రేణిలో పూర్తి మరియు క్రియాశీల అమ్మకాలు
Completed returns will appear here.,పూర్తయిన రిటర్న్‌లు ఇక్కడ కనిపిస్తాయి.
Confirm,నిర్ధారించండి
Confirm Close,మూసివేయి నిర్ధారించండి
Confirm Mobile Number,మొబైల్ నంబర్‌ని నిర్ధారించండి
Confirm PIN,PINని నిర్ధారించండి
Connect,కనెక్ట్ చేయండి
Connect printer and manage certificate,ప్రింటర్‌ను కనెక్ట్ చేయండి మరియు సర్టిఫికేట్‌ను నిర్వహించండి
Connecting to QZ Tray...,QZ ట్రేకి కనెక్ట్ చేస్తోంది...
Connection problem while submitting invoice,ఇన్‌వాయిస్‌ను సమర్పించేటప్పుడు కనెక్షన్ సమస్య
Connections:,కనెక్షన్లు:
Connectivity and cached prerequisite status were rechecked.,కనెక్టివిటీ మరియు కాష్ చేయబడిన ముందస్తు స్థితి తిరిగి తనిఖీ చేయబడింది.
Continue Editing,సవరణ కొనసాగించు
Could not fetch latest balance from server,సర్వర్ నుండి తాజా బ్యాలెన్స్ పొందడం సాధ్యపడలేదు
Count,లెక్కించు
Country,దేశం
Coupon,కూపన్
Coupons,కూపన్లు
Cover,కవర్
CPU Cores:,CPU కోర్లు:
Create,సృష్టించు
Create and load a new prepaid card,కొత్త ప్రీపెయిడ్ కార్డ్‌ని సృష్టించండి మరియు లోడ్ చేయండి
Create and preload a new gift card,కొత్త బహుమతి కార్డ్‌ని సృష్టించండి మరియు ప్రీలోడ్ చేయండి
Create Bill,బిల్లును సృష్టించండి
Create Customer,కస్టమర్‌ని సృష్టించండి
Create New Item,కొత్త అంశాన్ని సృష్టించండి
Create or change your PIN,మీ PINని సృష్టించండి లేదా మార్చండి
Create PIN,PINని సృష్టించండి
Create POS Opening Shift,POS ఓపెనింగ్ షిఫ్ట్‌ని సృష్టించండి
Create Purchase Order,కొనుగోలు ఆర్డర్‌ని సృష్టించండి
Create Return,రిటర్న్ సృష్టించండి
Create return from invoice,ఇన్వాయిస్ నుండి వాపసును సృష్టించండి
Create Supplier,సరఫరాదారుని సృష్టించండి
Credit and Output,క్రెడిట్ మరియు అవుట్‌పుట్
Credit Note,క్రెడిట్ నోట్
Credit Outstanding,అత్యుత్తమ క్రెడిట్
Credit sales remaining to be collected,క్రెడిట్ అమ్మకాలు సేకరించడానికి మిగిలి ఉన్నాయి
Critical,క్లిష్టమైన
Currency,కరెన్సీ
Current,ప్రస్తుత
Current Event Loop Lag:,ప్రస్తుత ఈవెంట్ లూప్ లాగ్:
Current Month,ప్రస్తుత నెల
Current PIN,ప్రస్తుత పిన్
Current Profile,ప్రస్తుత ప్రొఫైల్
Current redeemable value on the gift card,బహుమతి కార్డ్‌లో ప్రస్తుత రీడీమ్ చేయదగిన విలువ
Current User,ప్రస్తుత వినియోగదారు
Custom,కస్టమ్
Custom Due Days,కస్టమ్ గడువు రోజులు
Custom items per page,పేజీకి అనుకూల అంశాలు
Customer,కస్టమర్
Customer already selected,కస్టమర్ ఇప్పటికే ఎంపికయ్యారు
Customer Balance,కస్టమర్ బ్యాలెన్స్
Customer balance unavailable offline,కస్టమర్ బ్యాలెన్స్ ఆఫ్‌లైన్‌లో అందుబాటులో లేదు
Customer created successfully.,కస్టమర్ విజయవంతంగా సృష్టించబడ్డారు.
Customer creation failed.,కస్టమర్ సృష్టి విఫలమైంది.
Customer Details,కస్టమర్ వివరాలు
Customer display channel is missing,కస్టమర్ డిస్‌ప్లే ఛానెల్ లేదు
Customer display was blocked. Please allow pop-ups for this site.,కస్టమర్ డిస్‌ప్లే బ్లాక్ చేయబడింది. దయచేసి ఈ సైట్ కోసం పాప్-అప్‌లను అనుమతించండి.
Customer group is required,కస్టమర్ గ్రూప్ అవసరం
Customer is required to add payment,కస్టమర్ చెల్లింపును జోడించాల్సిన అవసరం ఉంది
Customer Name is required,కస్టమర్ పేరు అవసరం
Customer not selected,కస్టమర్ ఎంపిక కాలేదు
Customer Report,కస్టమర్ రిపోర్ట్
Customer saved offline,కస్టమర్ ఆఫ్‌లైన్‌లో సేవ్ చేయబడింది
Customer Screen,కస్టమర్ స్క్రీన్
Customer territory is required,కస్టమర్ ప్రాంతం అవసరం
Customer updated successfully.,కస్టమర్ విజయవంతంగా నవీకరించబడ్డారు.
Customer-facing tools and printer setup.,కస్టమర్-ఫేసింగ్ టూల్స్ మరియు ప్రింటర్ సెటప్.
Customers,వినియోగదారులు
Customers not found,వినియోగదారులు కనుగొనబడలేదు
Daily cashier actions without scrolling.,స్క్రోలింగ్ లేకుండా రోజువారీ క్యాషియర్ చర్యలు.
Daily Sales,రోజువారీ అమ్మకాలు
Daily Sales Summary,రోజువారీ విక్రయాల సారాంశం
Data loaded in form. Review and submit.,రూపంలో డేటా లోడ్ చేయబడింది. సమీక్షించి సమర్పించండి.
Database Health,డేటాబేస్ ఆరోగ్యం
Database health affects overall system speed and reliability.,డేటాబేస్ ఆరోగ్యం మొత్తం సిస్టమ్ వేగం మరియు విశ్వసనీయతను ప్రభావితం చేస్తుంది.
Database Info,డేటాబేస్ సమాచారం
Date,తేదీ
Day ?,రోజు ?
days,రోజులు
Day-wise (MTD),రోజు వారీగా (MTD)
Day-wise Movement,రోజు వారీ ఉద్యమం
Dead Stock,డెడ్ స్టాక్
Dead Stock Items,డెడ్ స్టాక్ వస్తువులు
Decrease quantity,పరిమాణాన్ని తగ్గించండి
Default,డిఫాల్ట్
Default:,డిఫాల్ట్:
Delete,తొలగించు
Delete cancelled cash movement {0}?,రద్దు చేయబడిన నగదు తరలింపు {0}ని తొలగించాలా?
Delete Draft,చిత్తుప్రతిని తొలగించండి
Delete draft invoice,డ్రాఫ్ట్ ఇన్‌వాయిస్‌ని తొలగించండి
Delete draft invoice {0}?,డ్రాఫ్ట్ ఇన్‌వాయిస్ {0}ని తొలగించాలా?
Delete Invoice,ఇన్‌వాయిస్‌ని తొలగించండి
Delete offline invoice,ఆఫ్‌లైన్ ఇన్‌వాయిస్‌ను తొలగించండి
Delivered,పంపిణీ చేయబడింది
Delivery Charges,డెలివరీ ఛార్జీలు
Delivery Information,డెలివరీ సమాచారం
Delivery Note {0} created,డెలివరీ గమనిక {0} సృష్టించబడింది
Delivery note created,డెలివరీ నోట్ సృష్టించబడింది
Deployed Bundle:,అమలు చేయబడిన బండిల్:
Deposit,డిపాజిట్ చేయండి
Description,వివరణ
Detailed Supplier Breakdown,వివరణాత్మక సరఫరాదారు విచ్ఛిన్నం
Detecting formats:,ఆకృతులను గుర్తించడం:
Device Memory:,పరికర మెమరీ:
Difference,తేడా
Difference (In Company Currency),వ్యత్యాసం (కంపెనీ కరెన్సీలో)
Disable offline mode first to recheck live connectivity.,లైవ్ కనెక్టివిటీని మళ్లీ తనిఖీ చేయడానికి ముందుగా ఆఫ్‌లైన్ మోడ్‌ను నిలిపివేయండి.
Disconnect,డిస్‌కనెక్ట్ చేయండి
discount,తగ్గింపు
Discount %,తగ్గింపు %
Discount / Void / Return Report,తగ్గింపు / శూన్యం / రిటర్న్ రిపోర్ట్
Discount Amount,తగ్గింపు మొత్తం
Discount limited by POS Profile,POS ప్రొఫైల్ ద్వారా తగ్గింపు పరిమితం చేయబడింది
Discounted Invoices,డిస్కౌంట్ ఇన్‌వాయిస్‌లు
Discounts,డిస్కౌంట్లు
Dismiss,తొలగించు
Download Certificate,సర్టిఫికేట్ డౌన్‌లోడ్ చేయండి
Draft,డ్రాఫ్ట్
Draft invoice deleted,డ్రాఫ్ట్ ఇన్‌వాయిస్ తొలగించబడింది
Draft source,డ్రాఫ్ట్ మూలం
Drafts,చిత్తుప్రతులు
Due {0},గడువు {0}
Due Date,గడువు తేదీ
Duplicate,నకిలీ
Edit customer,కస్టమర్‌ని సవరించండి
Edit discount amount,తగ్గింపు మొత్తాన్ని సవరించండి
Edit discount percentage,తగ్గింపు శాతాన్ని సవరించండి
