POS Awesome,Ajoyib POS
Add items from the selector to start building this sale.,Ushbu savdoni yaratishni boshlash uchun selektordan narsalarni qo'shing.
Add more value to an existing gift card,Mavjud sovg'a kartasiga ko'proq qiymat qo'shing
Add New Address,Yangi manzil qo'shish
Add new customer,Yangi mijoz qo'shing
Add on New Line,Yangi qatorga qo'shing
Add Payment,To'lovni qo'shish
Add payment to invoice,Hisob-fakturaga to'lov qo'shing
Add/Edit Coupon Conditions,Kupon shartlarini qo'shish/tahrirlash
Additional Discount,Qo'shimcha chegirma
Additional Discount %,Qo'shimcha chegirma %
Address Line 1,Manzil qatori 1
Address not found,Manzil topilmadi
Adjust the quantity or enable negative stock to continue.,Davom etish uchun miqdorni sozlang yoki salbiy zaxirani yoqing.
Adjustment,Sozlash
After returns,Qaytgandan keyin
Against,Qarshi
Against Name,Nomga qarshi
Age Bracket,Yosh chegarasi
All,Hammasi
All Caught Up!,Hammasi ushlandi!
All invoices are synchronized,Barcha hisob-fakturalar sinxronlashtiriladi
All pending invoices are up to date,Barcha kutilayotgan hisob-fakturalar yangilangan
All Profiles,Barcha profillar
All Synchronized,Hammasi sinxronlangan
All visible invoices are fully settled.,Barcha ko'rinadigan hisob-fakturalar to'liq hisob-kitob qilingan.
All Warehouses,Barcha omborxonalar
Allowed UOM is {0},Ruxsat etilgan UOM: {0}
Always fetch items from server (ignore local cache),Har doim serverdan elementlarni oling (mahalliy keshga e'tibor bermang)
Amount,Miqdori
Amount already received,Qabul qilingan miqdor
Amount exceeds profile cash movement max amount.,Miqdori naqd pul harakatining maksimal miqdoridan oshib ketdi.
Amount must be greater than zero.,Miqdor noldan katta bo'lishi kerak.
Amount received from customer,Mijozdan olingan miqdor
Appearance and user-level preferences for the current session.,Joriy seans uchun tashqi ko'rinish va foydalanuvchi darajasidagi imtiyozlar.
Applied,Qo'llaniladi
Apply,Murojaat qiling
Apply Gift Card,Sovg'a kartasini qo'llash
Apply Offer,Taklifni qo'llash
Apply On,Qo'llash yoqilgan
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Bu invoysda faqat oʻzingiz ishlatmoqchi boʻlgan miqdorni qoʻllang. Qolgan qoldiq kartada qoladi.
Apply Redemption,Toʻlovni qoʻllash
Applying,Murojaat qilinmoqda
Apps,Ilovalar
Are you sure you want to close? All entered data will be lost.,Haqiqatan ham yopmoqchimisiz? Barcha kiritilgan ma'lumotlar yo'qoladi.
Attributes (Size/Color),Atributlar (hajmi/rangi)
Auto Allocate Payment Amount,To'lov miqdorini avtomatik taqsimlash
Auto Reconcile,Avtomatik muvofiqlashtirish
Auto reconciliation completed after payment submit.,Toʻlov yuborilgandan keyin avtomatik solishtirish tugallandi.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Avtomatik muvofiqlashtirish tugallandi. Ajratilgan: {0}{1}. Qolganlari: {0}{2}.
Available Actions,Mavjud harakatlar
Available QTY,Mavjud QTY
Available:,Mavjud:
Average Basket,O'rtacha savat
Average Bill,O'rtacha hisob
Average Ticket,O'rtacha chipta
Avg Bill,Oʻrtacha hisob
Avg Invoice,Oʻrtacha hisob-faktura
Avg Invoice Profit,O'rtacha hisob-faktura foydasi
Avg Invoice Value,Hisob-fakturaning oʻrtacha qiymati
Avg Purchase Frequency,Oʻrtacha xarid chastotasi
Awesome,Ajoyib
Awesome Dashboard,Ajoyib boshqaruv paneli
Awesome Dashboard is disabled for the selected POS Profile.,Tanlangan POS profili uchun Awesome Dashboard o‘chirib qo‘yilgan.
Awesome Dashboard is unavailable for the selected scope.,Tanlangan doirada Awesome Dashboard mavjud emas.
Awesome Dashboard is visible only to POS supervisors.,Ajoyib boshqaruv paneli faqat POS nazoratchilariga ko'rinadi.
Back,Orqaga
Back Office Cash Account,Back Office Cash Account
Back Office Cash Account (Optional Override),Back Office Cash Account (ixtiyoriy bekor qilish)
Back office cash account is required.,Back-ofis kassa hisobi talab qilinadi.
Back to {0},{0} ga qaytish
Background processing did not finish in time.,Fonni qayta ishlash o'z vaqtida tugamagan.
Background processing failed for Invoice {0}: {1},Invoys {0} uchun fonda ishlov berilmadi: {1}
Background Submission Failed,Fonni yuborish amalga oshmadi
Background sync interval (seconds),Fon sinxronlash oralig'i (sekundlar)
Balance,Balans
Balance will be updated when connection is restored,Ulanish tiklanganda balans yangilanadi
Balances still pending,Balanslar hali kutilmoqda
Barcode,Shtrix-kod
Barcode / QR Ready,Shtrixli kod / QR tayyor
Barcode Label Printing,Shtrixli yorliqlarni chop etish
Base Paid:,Asosiy to'lov:
Base Recv:,Asosiy qabul qilish:
Base:,Baza:
Basic Information,Asosiy ma'lumotlar
Batch,To'plam
Batch Information,To'plam ma'lumotlari
Before any return workflow,Har qanday qaytish ish jarayonidan oldin
Before returns,Qaytishdan oldin
Best Day,Eng yaxshi kun
Best Seller,Eng yaxshi sotuvchi
Book expense or deposit from active shift.,Faol smenadan kitob xarajatlari yoki depozit.
Branch / Location-wise Report,Filial / Joylashuv bo'yicha hisobot
Brand-wise,Brend nuqtai nazaridan
Breakdown,Buzilish
Browse,Ko‘rib chiqish
Build Time:,Qurilish vaqti:
Built with Frappe,Frappe bilan qurilgan
Bundle,To'plam
Buying Price,Sotib olish narxi
Cache cleared successfully,Kesh muvaffaqiyatli tozalandi
Cache Usage,Keshdan foydalanish
cache used,kesh ishlatiladi
Calculating...,Hisoblash...
Camera Access Required,Kameraga kirish talab qilinadi
Camera access was aborted. Please try again.,"Kameraga kirish to‘xtatildi. Iltimos, qayta urinib koʻring."
Camera constraints not supported by your device. Trying fallback settings...,Kamera cheklovlari qurilmangiz tomonidan qo'llab-quvvatlanmaydi. Qayta tiklash sozlamalari sinab ko‘rilmoqda...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,Kamera band yoki boshqa ilova/tab tomonidan bloklangan. Boshqa kamera ilovalarini yoping va qaytadan urining.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,Kamera ruxsati rad etildi. Brauzer sozlamalarida kameraga kirishga ruxsat bering va sahifani yangilang.
Camera scanner is locked until the current error is acknowledged,Kamera skaneri joriy xato tasdiqlanmaguncha qulflanadi
Camera started but the video stream did not load in time. Please try again.,"Kamera ishga tushdi, lekin video oqimi o‘z vaqtida yuklanmadi. Iltimos, qayta urinib koʻring."
Cancel cash movement {0}?,Naqd pul harakati {0} bekor qilinsinmi?
Cancel Payment,To'lovni bekor qilish
Cancel Sale,Sotishni bekor qilish
Cancel Sale ?,Sotish bekor qilinsinmi?
Cancelled,Bekor qilingan
Cannot add an item with zero or negative quantity.,Nol yoki manfiy miqdorga ega element qoʻshib boʻlmaydi.
Cannot clear cache while offline,Oflayn rejimda keshni tozalab bo‘lmaydi
Cannot redeem customer credit more than invoice total,Mijoz kreditini hisob-faktura summasidan ko‘proq qaytarib bo‘lmaydi
Cannot redeem gift cards more than invoice total,Jami hisob-fakturadan ortiq sovg‘a kartalarini qaytarib bo‘lmaydi
Cannot Save Offline Invoice:,Oflayn hisob-fakturani saqlab bo‘lmaydi:
Cannot Save Offline Payment:,Oflayn toʻlovni saqlab boʻlmaydi:
Card,Karta
Card / Online,Karta / Onlayn
Card health after the last live lookup,Oxirgi jonli qidiruvdan keyin karta salomatligi
Cards,Kartalar
Cart,Arava
Cash,Naqd pul
Cash back to customers,Mijozlarga naqd pulni qaytarish
Cash Collections,Naqd pul yig'imlari
Cash Deposit is disabled for this POS Profile.,Ushbu POS profili uchun naqd depozit o‘chirib qo‘yilgan.
Cash Drawer Snapshot,Naqd pul tortmasi surati
Cash In Hand,Naqd pul
Cash Movement,Naqd pul harakati
Cash movement cancelled,Naqd pul harakati bekor qilindi
Cash movement deduction applied,Naqd pul harakati chegirmasi qo'llaniladi
Cash movement deleted,Naqd pul harakati o'chirildi
Cash movement is disabled for this POS Profile.,Ushbu POS profili uchun naqd pul harakati o‘chirib qo‘yilgan.
Cash Movement is disabled in current POS Profile.,Joriy POS profilida naqd pul harakati o‘chirilgan.
Cash movement saved offline,Naqd pul harakati oflayn rejimda saqlangan
Cash movement submitted,Naqd pul harakati topshirildi
Cash Movements,Naqd pul harakati
Cash payment cannot be less than invoice total when partial payment is not allowed,"Qisman to'lovga ruxsat berilmagan taqdirda, naqd to'lov hisob-faktura jamidan kam bo'lishi mumkin emas"
Cash returned after payment,To'lovdan keyin naqd pul qaytariladi
Cashier,Kassir
Cashier Access,Kassirga kirish
Cashier identity and appearance preferences.,Kassir identifikatori va tashqi ko'rinish afzalliklari.
Cashier PIN,Kassir PIN-kodi
Cashier PIN saved successfully.,Kassir PIN-kodi muvaffaqiyatli saqlandi.
Cashiers,Kassirlar
Cashier-wise,Kassir nuqtai nazaridan
Categories,Kategoriyalar
Category,Turkum
Category / Brand / Variant Report,Turkum / Brend / Variant hisoboti
Category-wise,Kategoriya bo'yicha
Category-wise Margin,Kategoriya bo'yicha chegara
Certificate,Sertifikat
Certificate is missing or not trusted. QZ may show confirmation dialogs.,Sertifikat yoʻq yoki ishonchli emas. QZ tasdiqlash dialoglarini ko'rsatishi mumkin.
Certificate is trusted. Silent QZ printing is active.,Sertifikat ishonchli. Ovozsiz QZ bosib chiqarish faol.
Change,O'zgartirish
Change allocation repaired,O'zgartirish taqsimoti tuzatildi
Change Price,Narxni o'zgartirish
Change Return,Qaytishni o'zgartirish
Change Returned,O'zgartirish qaytarildi
Change terminal cashier,Terminal kassirini almashtiring
Charge Heads,Zaryadlash boshlari
Charges,To'lovlar
Charges not found,Toʻlovlar topilmadi
Check Balance,Balansni tekshiring
Check balance for any card. Supervisors can issue and top up cards here.,Har qanday karta uchun balansni tekshiring. Nazoratchilar bu yerda kartalarni chiqarishi va to‘ldirishi mumkin.
Check balance only,Faqat balansni tekshiring
Check for new commits,Yangi majburiyatlarni tekshiring
Check for Updates,Yangilanishlarni tekshiring
Check live balance before applying redemption,Qabul qilishdan oldin jonli balansni tekshiring
Check live balance before redemption,Qabul qilishdan oldin jonli balansni tekshiring
Checking...,Tekshirilmoqda...
Cheque/Reference Date,Chek/Ma'lumotnoma sanasi
Cheque/Reference No,Chek/Ma'lumotnoma raqami
Choose the cashier currently operating this terminal.,Hozirda ushbu terminalda ishlaydigan kassirni tanlang.
City,Shahar
Clear,Toza
Clear All,Hammasini tozalash
Clear all barcode items,Barcha shtrix-kod elementlarini tozalang
Clear all purchase order items,Buyurtmaning barcha elementlarini tozalang
Clear Search,Qidiruvni tozalash
Clearing local cache...,Mahalliy kesh tozalanmoqda...
Click to refresh,Yangilash uchun bosing
Client CPU Lag:,Mijoz protsessorining kechikishi:
Client Memory Usage:,Mijoz xotirasidan foydalanish:
Client Metrics,Mijoz ko'rsatkichlari
Close about dialog,Haqida muloqot oynasini yoping
Close cashier switcher,Kassir almashtirgichni yoping
Close closing shift dialog,Shiftni yopish dialogini yoping
Close column selector,Ustun selektorini yoping
Close Dialog,Muloqot oynasini yopish
Close drafts dialog,Qoralamalar dialogini yoping
Close invoice details dialog,Hisob-faktura tafsilotlari dialog oynasini yoping
Close invoice management,Hisob-faktura boshqaruvini yoping
Close offline invoices dialog,Oflayn hisob-fakturalar muloqot oynasini yoping
Close packing list dialog,Qadoqlash ro'yxati dialogini yoping
Close returns dialog,Qaytishlar dialogini yoping
Close sales orders dialog,Savdo buyurtmalari dialogini yoping
Close Scanner,Skanerni yoping
Close scanner dialog,Skaner dialogini yoping
Close Settings,Sozlamalarni yoping
Closing Amount,Yakunlovchi miqdor
Closing POS Shift,POS Shiftni yopish
Closing Snapshot Available,Yakunlovchi surat mavjud
Code,Kod
Code scanned successfully,Kod muvaffaqiyatli skanerlandi
COGS,COGS
Collapse item details,Element tafsilotlarini yig‘ish
Collected,Yig'ilgan
Cols,Cols
Columns,Ustunlar
commits,majburiyat oladi
Completed and active sales in this range,Ushbu diapazonda tugallangan va faol sotuvlar
Completed returns will appear here.,Tugallangan deklaratsiyalar shu yerda ko'rinadi.
Confirm,Tasdiqlang
Confirm Close,Yopishni tasdiqlang
Confirm Mobile Number,Mobil raqamni tasdiqlang
Confirm PIN,PIN-kodni tasdiqlang
Connect,Ulanish
Connect printer and manage certificate,Printerni ulang va sertifikatni boshqaring
Connecting to QZ Tray...,QZ trayga ulanmoqda...
Connection problem while submitting invoice,Hisob-fakturani yuborishda ulanish muammosi
Connections:,Ulanishlar:
Connectivity and cached prerequisite status were rechecked.,Ulanish va keshlangan shart holati qayta tekshirildi.
Continue Editing,Tahrirlashni davom ettiring
Could not fetch latest balance from server,Serverdan oxirgi balansni olib bo‘lmadi
Count,Hisoblash
Country,Mamlakat
Coupon,Kupon
Coupons,Kuponlar
Cover,Qopqoq
CPU Cores:,CPU yadrolari:
Create,Yaratish
Create and load a new prepaid card,Yangi oldindan toʻlov kartasini yarating va yuklang
Create and preload a new gift card,Yangi sovg'a kartasini yarating va oldindan yuklang
Create Bill,Bill yaratish
Create Customer,Xaridor yaratish
Create New Item,Yangi element yaratish
Create or change your PIN,PIN kodingizni yarating yoki o'zgartiring
Create PIN,PIN kod yarating
Create POS Opening Shift,POS ochish shiftini yarating
Create Purchase Order,Buyurtmani yaratish
Create Return,Qaytish yaratish
Create return from invoice,Hisob-fakturadan deklaratsiya yaratish
Create Supplier,Yetkazib beruvchi yaratish
Credit and Output,Kredit va chiqish
Credit Note,Kredit eslatmasi
Credit Outstanding,To'lanmagan kredit
Credit sales remaining to be collected,To'planishi kerak bo'lgan kredit sotuvi qolgan
Critical,Tanqidiy
Currency,Valyuta
Current,Hozirgi
Current Event Loop Lag:,Joriy hodisa davrining kechikishi:
Current Month,Joriy oy
Current PIN,Joriy PIN-kod
Current Profile,Joriy profil
Current redeemable value on the gift card,Sovg'a kartasidagi joriy qaytarib olinadigan qiymat
Current User,Joriy foydalanuvchi
Custom,Maxsus
Custom Due Days,Maxsus to'lov kunlari
Custom items per page,Har bir sahifa uchun moslashtirilgan elementlar
Customer,Mijoz
Customer already selected,Mijoz allaqachon tanlangan
Customer Balance,Mijoz balansi
Customer balance unavailable offline,Mijoz balansi oflayn rejimda mavjud emas
Customer created successfully.,Mijoz muvaffaqiyatli yaratildi.
Customer creation failed.,Mijoz yaratish amalga oshmadi.
Customer Details,Xaridor tafsilotlari
Customer display channel is missing,Mijozlarni ko'rsatish kanali yo'q
Customer display was blocked. Please allow pop-ups for this site.,"Mijoz ekrani bloklandi. Iltimos, ushbu sayt uchun qalqib chiquvchi oynalarga ruxsat bering."
Customer group is required,Mijozlar guruhi talab qilinadi
Customer is required to add payment,Mijoz to'lovni qo'shishi kerak
Customer Name is required,Mijoz nomi talab qilinadi
Customer not selected,Mijoz tanlanmagan
Customer Report,Mijoz hisoboti
Customer saved offline,Mijoz oflayn rejimda saqlandi
Customer Screen,Mijoz ekrani
Customer territory is required,Mijoz hududi talab qilinadi
Customer updated successfully.,Mijoz muvaffaqiyatli yangilandi.
Customer-facing tools and printer setup.,Mijozlarga mo'ljallangan asboblar va printerni sozlash.
Customers,Mijozlar
Customers not found,Mijozlar topilmadi
Daily cashier actions without scrolling.,Kundalik kassir harakatlari aylanmasdan.
Daily Sales,Kundalik savdo
Daily Sales Summary,Kundalik savdo xulosasi
Data loaded in form. Review and submit.,Ma'lumotlar shaklda yuklangan. Ko'rib chiqing va yuboring.
Database Health,Ma'lumotlar bazasi salomatligi
Database health affects overall system speed and reliability.,Ma'lumotlar bazasining holati umumiy tizim tezligi va ishonchliligiga ta'sir qiladi.
Database Info,Ma'lumotlar bazasi haqida ma'lumot
Date,Sana
Day ?,Kun?
days,kunlar
Day-wise (MTD),Kun bo'yi (MTD)
Day-wise Movement,Kun bo'yi harakat
Dead Stock,O'lik zaxira
Dead Stock Items,O'lik zaxira buyumlari
Decrease quantity,Miqdorni kamaytiring
Default,Standart
Default:,Standart:
Delete,Oʻchirish
Delete cancelled cash movement {0}?,Bekor qilingan naqd pul harakati {0} oʻchirilsinmi?
Delete Draft,Qoralamani oʻchirish
Delete draft invoice,Hisob-faktura loyihasini o'chirish
Delete draft invoice {0}?,{0} hisob-faktura loyihasi oʻchirilsinmi?
Delete Invoice,Hisob-fakturani o'chirish
Delete offline invoice,Oflayn hisob-fakturani o'chirish
Delivered,Yetkazib berildi
Delivery Charges,Yetkazib berish to'lovlari
Delivery Information,Yetkazib berish haqida ma'lumot
Delivery Note {0} created,Yetkazib berish eslatmasi {0} yaratildi
Delivery note created,Yetkazib berish eslatmasi yaratildi
Deployed Bundle:,O'rnatilgan to'plam:
Deposit,Depozit
Description,Tavsif
Detailed Supplier Breakdown,Yetkazib beruvchining batafsil taqsimoti
Detecting formats:,Formatlarni aniqlash:
Device Memory:,Qurilma xotirasi:
Difference,Farq
Difference (In Company Currency),Farqi (kompaniya valyutasida)
Disable offline mode first to recheck live connectivity.,Jonli ulanishni qayta tekshirish uchun avval oflayn rejimni o'chiring.
Disconnect,Ulanishni uzing
discount,chegirma
Discount %,Chegirma %
Discount / Void / Return Report,Chegirma / bekor / Qaytish hisoboti
Discount Amount,Chegirma miqdori
Discount limited by POS Profile,Chegirma POS profili bilan cheklangan
Discounted Invoices,Chegirmali hisob-fakturalar
Discounts,Chegirmalar
Dismiss,Rad etish
Download Certificate,Sertifikat yuklab olish
Draft,Qoralama
Draft invoice deleted,Hisob-faktura loyihasi oʻchirildi
Draft source,Qoralama manba
Drafts,Qoralamalar
Due {0},Muddati: {0
Due Date,Tugash sanasi
Duplicate,Dublikat
Edit customer,Xaridorni tahrirlash
Edit discount amount,Chegirma miqdorini tahrirlash
Edit discount percentage,Chegirma foizini tahrirlash
Edit Gift Application,Sovg'a ilovasini tahrirlash
Edit item name,Element nomini tahrirlash
Edit quantity,Miqdorni tahrirlash
Edit rate,Tahrirlash darajasi
Edit unit of measure,O'lchov birligini tahrirlash
Edited,Tahrirlangan
Employee,Xodim
Enable background sync,Fon sinxronlashni yoqish
Enable Customer Display in POS Profile first.,Avval POS profilida mijoz ko‘rinishini yoqing.
Enter a PIN.,PIN kodni kiriting.
Enter a valid grams value,Yaroqli gramm qiymatini kiriting
Enter new price list rate,Yangi narxlar ro'yxatini kiriting
Enter Quantity,Miqdorni kiriting
Enter the cashier PIN to continue.,Davom etish uchun kassir PIN kodini kiriting.
Enter the current PIN first.,Avval joriy PIN-kodni kiriting.
"Enter the current PIN, then choose a new one.","Joriy PIN-kodni kiriting, so'ngra yangisini tanlang."
Enter valid grams for scale barcode,Shtrix-kod uchun yaroqli grammlarni kiriting
Entries,Yozuvlar
Error accessing camera:,Kameraga kirishda xatolik yuz berdi:
Error calculating prices,Narxlarni hisoblashda xato
Error fetching customer balance,Mijoz balansini olishda xatolik yuz berdi
Error in change calculations!,O'zgarishlarni hisoblashda xatolik yuz berdi!
Error Loading Data,Maʼlumotlarni yuklashda xatolik yuz berdi
Error loading invoice details,Hisob-faktura tafsilotlarini yuklashda xatolik yuz berdi
Error processing invoice,Hisob-fakturani qayta ishlashda xatolik yuz berdi
Error processing payment,Toʻlovni qayta ishlashda xatolik yuz berdi
Error searching invoices,Hisob-fakturalarni qidirishda xatolik yuz berdi
Error submitting invoice:,Hisob-fakturani yuborishda xatolik yuz berdi:
Error submitting invoice: {0},Hisob-fakturani yuborishda xatolik yuz berdi: {0}
Error submitting invoice: No response from server,Hisob-fakturani yuborishda xato: serverdan javob yo‘q
Error updating currency,Valyutani yangilashda xatolik yuz berdi
Error updating item details,Element tafsilotlarini yangilashda xatolik yuz berdi
Est. Purchase,Tahminiy. Sotib olish
Est. Value,Tahminiy. Qiymat
Event-loop lag measures how busy your browser is. Lower is better.,Voqea-loop lag brauzeringiz qanchalik bandligini o'lchaydi. Pastroq - yaxshiroq.
Every,Har
Exchange Rate,Valyuta kursi
Expand item details,Element tafsilotlarini kengaytirish
Expected Amount (In Company Currency),Kutilayotgan miqdor (kompaniya valyutasida)
Expected Cash,Kutilayotgan naqd pul
Expected cash on hand grouped by currency,Kassadagi kutilayotgan naqd pul birligi boʻyicha guruhlangan
Expected vs Actual,Kutilayotgan va haqiqiy
Expense,Xarajat
Expense Account (Optional Override),Xarajatlar hisobi (ixtiyoriy bekor qilish)
Expense account is required.,Xarajatlar hisobi talab qilinadi.
Expenses and deposits posted during this shift,Ushbu smenada e'lon qilingan xarajatlar va depozitlar
Expired,Muddati tugagan
Failed to auto reconcile payments.,Toʻlovlarni avtomatik tarzda solishtirib boʻlmadi.
Failed to cancel cash movement,Naqd pul harakati bekor qilinmadi
Failed to clear cache,Keshni tozalab bo‘lmadi
Failed to create item,Element yaratib bo‘lmadi
Failed to create supplier,Yetkazib beruvchi yaratilmadi
Failed to delete cash movement,Naqd pul harakatini o‘chirib bo‘lmadi
Failed to generate scale barcode. Using item barcode only.,Shtrix kodini yaratib bo‘lmadi. Faqat shtrix-koddan foydalanish.
Failed to load cash movement context.,Naqd pul harakati konteksti yuklanmadi.
Failed to load dashboard data.,Boshqaruv paneli maʼlumotlarini yuklab boʻlmadi.
Failed to reload invoice from server,Hisob-fakturani serverdan qayta yuklab bo‘lmadi
Failed to submit cash movement,Naqd pul harakati topshirilmadi
Failed to sync offline cash movements,Oflayn pul o‘tkazmalarini sinxronlash amalga oshmadi
Fast cashier actions for active shifts.,Faol siljishlar uchun tezkor kassir harakatlari.
Fast Moving Items,Tez harakatlanuvchi elementlar
Fees,To'lovlar
Fetch the latest offline prerequisite updates,Eng so'nggi oflayn yangilanishlarni oling
Find a sales order quickly and load it into the current sale.,Tezda savdo buyurtmasini toping va uni joriy sotuvga yuklang.
Fixing payment amounts for return invoice...,Qaytarilgan faktura uchun toʻlov summalari aniqlanmoqda...
Flash Off,Fleshli o'chirilgan
Flash On,Fleshli yoniq
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","""Mahsulot to'plami"" uchun ombor, seriya raqami va partiya raqami ""Qadoqlash ro'yxati"" jadvalidan ko'rib chiqiladi. Agar “Mahsulot to‘plami”ning barcha qadoqlash elementlari uchun ombor va partiya raqami bir xil bo‘lsa, bu qiymatlarni asosiy element jadvaliga kiritish mumkin; qiymatlar ""Paketlar ro'yxati"" jadvaliga ko'chiriladi."
Free,Bepul
Free Qty,Bepul miqdor
Frequency,Chastotasi
from,dan
From Date,Sanadan boshlab
Fulfillment Details,Bajarish tafsilotlari
Full Name,To'liq ism
Gain,Daromad
Generate a fresh prepaid card and start it with an opening balance.,Yangi oldindan to'langan kartani yarating va uni boshlang'ich balans bilan boshlang.
Generate and install the certificate to allow fully silent printing without trust prompts.,Ishonch soʻrovlarisiz toʻliq ovozsiz chop etishga ruxsat berish uchun sertifikatni yarating va oʻrnating.
Generate Certificate,Sertifikat yaratish
Generated scale barcode: {0},Yaratilgan shkala shtrix kodi: {0}
Get Payments,Toʻlovlarni olish
Gift Card,Sovg'a kartasi
Gift card amount must be greater than zero.,Sovg'a kartasi miqdori noldan katta bo'lishi kerak.
Gift Card Code,Sovg'a kartasi kodi
Gift card code is required for redemption,Qabul qilish uchun sovg‘a kartasi kodi talab qilinadi
Gift card code is required.,Sovg'a kartasi kodi talab qilinadi.
Gift card issued successfully.,Sovgʻa kartasi chiqarildi.
Gift card loaded successfully.,Sovg‘a kartasi yuklandi.
Gift Card Management,Sovg'a kartalarini boshqarish
Gift card payment,Sovg'a kartasi to'lovi
Gift card redemption requires an online connection,Sovg'a kartasini sotib olish uchun onlayn ulanish kerak
Gift card topped up successfully.,Sovg'a kartasi muvaffaqiyatli to'ldirildi.
Gift Cards,Sovg'a kartalari
Go to Frappe Desk,Frappe stoliga o'ting
Grand Total,Umumiy jami
Gross Margin,Yalpi marja
Gross Profit,Yalpi foyda
Gross Sales,Yalpi savdo
Group not found,Guruh topilmadi
"Grouped controls for terminal, UI, and session settings.","Terminal, UI va seans sozlamalari uchun guruhlangan boshqaruv elementlari."
Grouped totals for each payment method and currency,Har bir toʻlov usuli va valyuta uchun guruhlangan jami
Hide,Yashirish
Hide Gift Card,Sovg'a kartasini yashirish
Hide Non Essential Fields,Muhim bo'lmagan maydonlarni yashirish
Hide quantity decimals,O'nli sonlarni yashirish
Hide search tools,Qidiruv vositalarini yashirish
Hide zero rated items,Nol baholangan narsalarni yashirish
High,Yuqori
History,Tarix
Hourly (Today),Soatlik (Bugun)
How this section works,Ushbu bo'lim qanday ishlaydi
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","Agar eskirgan maʼlumotlar qolsa, Sozlamalar > Oflayn va sinxronlash-ni oching va onlayn boʻlganingizda “Oflayn maʼlumotlarni qayta qurish”ni ishga tushiring."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","Agar ogohlantirish davom etsa, Sozlamalar > Oflayn va sinxronlash-ni oching, so‘ng Oflayn ma’lumotlarni yangilash yoki Oflayn ma’lumotlarni qayta qurish-ni ishga tushiring."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,Sertifikatni QZ trayga import qiling va har bir POS mashinasida QZ trayni qayta ishga tushiring.
In,In
In stock: {0},Stokda: {0}
Include Batch / Serial,To'plamli / Seriyani qo'shing
