POS Awesome,POS په زړه پوری
Awesome Dashboard is disabled for the selected POS Profile.,د غوره شوي POS پروفایل لپاره په زړه پوري ډشبورډ غیر فعال دی.
Awesome Dashboard is unavailable for the selected scope.,په زړه پورې ډشبورډ د ټاکل شوي ساحې لپاره شتون نلري.
Awesome Dashboard is visible only to POS supervisors.,په زړه پوری ډشبورډ یوازې د POS څارونکو لپاره لیدل کیږي.
Back,شاته
Back Office Cash Account,د بیک دفتر نغدي حساب
Back Office Cash Account (Optional Override),د شاته دفتر نغدي حساب (اختیاري اوورایډ)
Back office cash account is required.,د بیک دفتر نغدي حساب ته اړتیا ده.
Back to {0},بېرته {0} ته
Background processing did not finish in time.,د شالید پروسس په وخت پای ته نه و رسیدلی.
Background processing failed for Invoice {0}: {1},د انوائس {0} لپاره د پس منظر پروسس ناکام شو: {1}
Background Submission Failed,د پس منظر سپارل ناکام شو
Background sync interval (seconds),د شالید همغږي وقفه (ثانوي)
Balance,بیلانس
Balance will be updated when connection is restored,بیلانس به تازه شي کله چې پیوستون بحال شي
Balances still pending,بیلانسونه لاهم پاتې دي
Barcode,بارکوډ
Barcode / QR Ready,بارکوډ / QR چمتو دی
Barcode Label Printing,د بارکوډ لیبل چاپ کول
Base Paid:,اساسی تادیه:
Base Recv:,اساسی بیاکتنه:
Base:,اساس:
Basic Information,بنسټیز معلومات
Batch,بسته
Batch Information,د بست معلومات
Before any return workflow,د هر ډول راستنیدو کاري فلو دمخه
Before returns,د بیرته راستنیدو دمخه
Best Day,غوره ورځ
Best Seller,غوره پلورونکی
Book expense or deposit from active shift.,د فعال شفټ څخه د کتاب لګښت یا زیرمه.
Branch / Location-wise Report,د څانګو/مقام له مخې راپور
Brand-wise,د برانډ په لحاظ
Breakdown,ماتول
Browse,لټون وکړئ
Build Time:,د جوړولو وخت:
Built with Frappe,د Frappe سره جوړ شوی
Bundle,بنډل
Buying Price,د پیرودلو قیمت
Cache cleared successfully,زیرمه په بریالیتوب سره پاکه شوه
Cache Usage,د کیچ کارول
cache used,زیرمه کارول شوې
Calculating...,محاسبه کول...
Camera Access Required,کیمرې ته لاسرسی اړین دی
Camera access was aborted. Please try again.,د کیمرې لاسرسی لغوه شو. مهرباني وکړئ بیا هڅه وکړئ.
Camera constraints not supported by your device. Trying fallback settings...,د کیمرې محدودیتونه ستاسو د آلې لخوا نه ملاتړ کیږي. د فال بیک ترتیباتو هڅه کول...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,کیمره د بل اپلیکیشن / ټب لخوا بوخت یا بنده ده. نور کیمرې ایپسونه بند کړئ او بیا هڅه وکړئ.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,د کیمرې اجازه رد شوه. مهرباني وکړئ د خپل براوزر په ترتیباتو کې د کیمرې لاسرسي ته اجازه ورکړئ او پاڼه ریفریش کړئ.
Camera scanner is locked until the current error is acknowledged,د کیمرې سکینر تر هغه وخته پورې تړل شوی چې اوسنۍ تېروتنه ونه منل شي
Camera started but the video stream did not load in time. Please try again.,کیمره پیل شوه مګر د ویډیو جریان په وخت کې پورته نه شو. مهرباني وکړئ بیا هڅه وکړئ.
Cancel cash movement {0}?,د نغدو پیسو حرکت لغوه کړئ {0}؟
Cancel Payment,تادیه لغوه کړئ
Cancel Sale,خرڅلاو لغوه کړئ
Cancel Sale ?,خرڅلاو لغوه کړئ؟
Cancelled,لغوه شو
Cannot add an item with zero or negative quantity.,نشي کولی یو شی د صفر یا منفي مقدار سره اضافه کړي.
Cannot clear cache while offline,د آفلاین په وخت کې زیرمه نشي پاکولی
Cannot redeem customer credit more than invoice total,نشي کولی د پیرودونکي کریډیټ د رسید مجموعې څخه ډیر ترلاسه کړي
Cannot redeem gift cards more than invoice total,د انوائس له مجموعې څخه ډیر د ډالۍ کارتونه نشي خلاصولی
Cannot Save Offline Invoice:,آفلاین انوائس نشي خوندي کولی:
Cannot Save Offline Payment:,آف لائن تادیه نشي خوندي کولی:
Card,کارت
Card / Online,کارت / آنلاین
Card health after the last live lookup,د وروستي ژوندی لید څخه وروسته د کارت روغتیا
Cards,کارتونه
Cart,کارټ
Cash,نغدې
Cash back to customers,پیرودونکو ته پیسې بیرته
Cash Collections,د نغدو راټولول
Cash Deposit is disabled for this POS Profile.,د دې POS پروفایل لپاره نغدي پیسې غیر فعال دي.
Cash Drawer Snapshot,د نغدو پیسو اخیستونکي عکس
Cash In Hand,په لاس کې نغدې پیسې
Cash Movement,د نغدو حرکت
Cash movement cancelled,د نغدو پیسو حرکت لغوه شو
Cash movement deduction applied,د نغدو حرکت کسر تطبیق شوی
Cash movement deleted,د نغدو پیسو حرکت حذف شوی
Cash movement is disabled for this POS Profile.,د دې POS پروفایل لپاره د نغدو پیسو حرکت غیر فعال دی.
Cash Movement is disabled in current POS Profile.,د پیسو حرکت په اوسني POS پروفایل کې غیر فعال دی.
Cash movement saved offline,د نغدو حرکت آفلاین خوندي شو
Cash movement submitted,نغدي حرکت سپارل شوی
Cash Movements,د نغدو حرکت
Cash payment cannot be less than invoice total when partial payment is not allowed,د نغدو پیسو تادیه نشي کولی د رسید مجموعې څخه کم وي کله چې د جزوي تادیې اجازه نه وي
Cash returned after payment,پیسې د تادیې وروسته بیرته راستانه شوې
Cashier,کیشیر
Cashier Access,کیشیر لاسرسی
Cashier identity and appearance preferences.,د کیشیر پیژندنه او ظاهري غوره توبونه.
Cashier PIN,کیشیر PIN
Cashier PIN saved successfully.,کیشیر PIN په بریالیتوب سره خوندي شو.
Cashiers,نغدي
Cashier-wise,د نغدو پیسو خاوند
Categories,کټګورۍ
Category,کټګوري
Category / Brand / Variant Report,کټګورۍ / برانډ / ویرینټ راپور
Category-wise,په کټګورۍ کې
Category-wise Margin,د کټګورۍ له مخې مارجن
Certificate,سند
Certificate is missing or not trusted. QZ may show confirmation dialogs.,سند ورک دی یا باور نلري. QZ کیدای شي د تایید ډیالوګ وښيي.
Certificate is trusted. Silent QZ printing is active.,سند د اعتبار وړ دی. خاموش QZ چاپ فعال دی.
Change,بدلون
Change allocation repaired,د تخصیص ترمیم ترمیم شو
Change Price,قیمت بدل کړئ
Change Return,بیرته راستنیدنه
Change Returned,بدلون بیرته راستانه شوی
Change terminal cashier,د ترمینل کیشیر بدل کړئ
Charge Heads,د چارج سرونه
Charges,تورونه
Charges not found,تورونه ونه موندل شول
Check Balance,بیلانس چیک کړئ
Check balance for any card. Supervisors can issue and top up cards here.,د هر کارت لپاره بیلانس چیک کړئ. څارونکي کولی شي دلته کارتونه صادر او پورته کړي.
Check balance only,یوازې توازن چیک کړئ
Check for new commits,د نویو ژمنو لپاره وګورئ
Check for Updates,د تازه معلوماتو لپاره وګورئ
Check live balance before applying redemption,د خلاصون غوښتنه کولو دمخه ژوندی توازن چیک کړئ
Check live balance before redemption,د خلاصون دمخه ژوندی توازن چیک کړئ
Checking...,چک کول...
Cheque/Reference Date,د چک / حوالې نیټه
Cheque/Reference No,چک/مآخذ نمبر
Choose the cashier currently operating this terminal.,کیشیر غوره کړئ چې اوس مهال دا ټرمینل چلوي.
City,ښار
Clear,روښانه
Clear All,ټول پاک کړئ
Clear all barcode items,ټول بارکوډ توکي پاک کړئ
Clear all purchase order items,د پیرود امر ټول توکي پاک کړئ
Clear Search,پاک لټون
Clearing local cache...,د محلي زیرمو پاکول...
Click to refresh,د تازه کولو لپاره کلیک وکړئ
Client CPU Lag:,د پیرودونکي CPU لیګ:
Client Memory Usage:,د پیرودونکي حافظې کارول:
Client Metrics,د پیرودونکي میټریکونه
Close about dialog,د ډیالوګ په اړه تړل
Close cashier switcher,د کیشیر سویچر بند کړئ
Close closing shift dialog,د بندولو شفټ ډیالوګ بند کړئ
Close column selector,د کالم انتخاب کوونکی بند کړئ
Close Dialog,ډیالوګ بند کړئ
Close drafts dialog,د مسودې ډیالوګ بند کړئ
Close invoice details dialog,د رسید توضیحاتو ډیالوګ بند کړئ
Close invoice management,د رسید مدیریت بند کړئ
Close offline invoices dialog,د آفلاین رسیدونو ډیالوګ بند کړئ
Close packing list dialog,د بسته بندي لیست ډیالوګ بند کړئ
Close returns dialog,د راستنیدو ډیالوګ بند کړئ
Close sales orders dialog,د پلور امرونو ډیالوګ بند کړئ
Close Scanner,سکینر بند کړئ
Close scanner dialog,د سکینر ډیالوګ بند کړئ
Close Settings,ترتیبات بند کړئ
Closing Amount,د تړلو مقدار
Closing POS Shift,د POS شفټ بندول
Closing Snapshot Available,د بندولو سنیپ شاټ شتون لري
Code,کوډ
Code scanned successfully,کوډ په بریالیتوب سره سکین شو
COGS,COGS
Collapse item details,د توکي توضیحات مات کړئ
Collected,راټول شوي
Cols,کولس
Columns,کالمونه
commits,ژمنې کوي
Completed and active sales in this range,په دې سلسله کې بشپړ او فعال پلور
Completed returns will appear here.,بشپړ شوي بیرته ستنیدل به دلته ښکاره شي.
Confirm,تایید کړه
Confirm Close,تړل تایید کړئ
Confirm Mobile Number,د موبایل شمیره تایید کړئ
Confirm PIN,PIN تایید کړئ
Connect,نښلول
Connect printer and manage certificate,پرنټر وصل کړئ او سند اداره کړئ
Connecting to QZ Tray...,د QZ ټری سره نښلول ...
Connection problem while submitting invoice,د رسید سپارلو پرمهال د پیوستون ستونزه
Connections:,اړیکې:
Connectivity and cached prerequisite status were rechecked.,ارتباط او د زیرمه شوي شرط حالت بیا وڅیړل شو.
Continue Editing,ترمیم ته دوام ورکړئ
Could not fetch latest balance from server,د سرور څخه وروستی بیلانس نشي ترلاسه کولی
Count,شمېرل
Country,هیواد
Coupon,کوپن
Coupons,کوپن
Cover,پوښ
CPU Cores:,د CPU کورونه:
Create,جوړ کړئ
Create and load a new prepaid card,یو نوی پری پیډ کارت جوړ او پورته کړئ
Create and preload a new gift card,یو نوی ډالۍ کارت جوړ او پری لوډ کړئ
Create Bill,بل جوړ کړئ
Create Customer,پیرودونکي جوړ کړئ
Create New Item,نوی توکي جوړ کړئ
Create or change your PIN,خپل PIN جوړ یا بدل کړئ
Create PIN,PIN جوړ کړئ
Create POS Opening Shift,د POS افتتاحی شفټ رامینځته کړئ
Create Purchase Order,د پیرود امر جوړ کړئ
Create Return,بیرته راستنیدنه جوړه کړئ
Create return from invoice,د رسید څخه راستنیدنه رامینځته کړئ
Create Supplier,عرضه کوونکي جوړ کړئ
Credit and Output,کریډیټ او محصول
Credit Note,د کریډیټ یادښت
Credit Outstanding,کریډیټ بقایا
Credit sales remaining to be collected,د کریډیټ پلور پاتې دی چې راټول شي
Critical,انتقادي
Currency,اسعارو
Current,اوسنۍ
Current Event Loop Lag:,د اوسني پیښې لوپ لیګ:
Current Month,روانه میاشت
Current PIN,اوسنی PIN
Current Profile,اوسنی پروفایل
Current redeemable value on the gift card,د ډالۍ کارت کې اوسنی د بیرته راګرځیدونکي ارزښت
Current User,اوسنی کارن
Custom,دودیز
Custom Due Days,د ګمرک ټاکل شوې ورځې
Custom items per page,په هره پاڼه کې دودیز توکي
Customer,پیرودونکي
Customer already selected,پیرودونکي لا دمخه غوره شوي
Customer Balance,د پیرودونکي بیلانس
Customer balance unavailable offline,د پیرودونکي بیلانس په آفلاین کې شتون نلري
Customer created successfully.,پیرودونکي په بریالیتوب سره جوړ شوي.
Customer creation failed.,د پیرودونکي جوړول ناکام شول.
Customer Details,د پیرودونکي توضیحات
Customer display channel is missing,د پیرودونکي نندارې چینل ورک دی
Customer display was blocked. Please allow pop-ups for this site.,د پیرودونکي ښودنه بنده شوې وه. مهرباني وکړئ د دې سایټ لپاره پاپ اپ ته اجازه ورکړئ.
Customer group is required,د پیرودونکي ګروپ ته اړتیا ده
Customer is required to add payment,پیرودونکي اړ دي چې تادیه اضافه کړي
Customer Name is required,د پیرودونکي نوم اړین دی
Customer not selected,پیرودونکی نه دی ټاکل شوی
Customer Report,د پیرودونکي راپور
Customer saved offline,پیرودونکي آفلاین خوندي شوي
Customer Screen,د پیرودونکي سکرین
Customer territory is required,د پیرودونکي ساحه اړینه ده
Customer updated successfully.,پیرودونکي په بریالیتوب سره تازه شول.
Customer-facing tools and printer setup.,د پیرودونکي سره مخ وسیلې او د پرنټر تنظیم کول.
Customers,پیرودونکي
Customers not found,پیرودونکي ونه موندل شول
Daily cashier actions without scrolling.,د کیشیر ورځني کړنې پرته له سکرول کولو.
Daily Sales,ورځنی خرڅلاو
Daily Sales Summary,د ورځني خرڅلاو لنډیز
Data loaded in form. Review and submit.,معلومات په فورمه کې ډک شوي. بیاکتنه او سپارل.
Database Health,د ډیټابیس روغتیا
Database health affects overall system speed and reliability.,د ډیټابیس روغتیا د ټول سیسټم سرعت او اعتبار اغیزه کوي.
Database Info,د ډیټابیس معلومات
Date,نیټه
Day ?,ورځ؟
days,ورځې
Day-wise (MTD),د ورځې له مخې (MTD)
Day-wise Movement,ورځنی حرکت
Dead Stock,مړ سټاک
Dead Stock Items,مړه سټاک توکي
Decrease quantity,مقدار کم کړئ
Default,ډیفالټ
Default:,ډیفالټ:
Delete,ړنګول
Delete cancelled cash movement {0}?,لغوه شوي نغدي حرکت {0} ړنګ کړئ؟
Delete Draft,مسوده ړنګه کړئ
Delete draft invoice,د مسودې رسید حذف کړئ
Delete draft invoice {0}?,د مسودې رسید {0} حذف کړئ؟
Delete Invoice,انوائس ړنګ کړئ
Delete offline invoice,آف لائن انوائس ړنګ کړئ
Delivered,سپارل شوی
Delivery Charges,د سپارلو لګښتونه
Delivery Information,د سپارلو معلومات
Delivery Note {0} created,د تحویلي یادښت {0} جوړ شو
Delivery note created,د سپارلو یادښت جوړ شو
Deployed Bundle:,ګمارل شوی بنډل:
Deposit,جمع
Description,تفصیل
Detailed Supplier Breakdown,تفصيلي عرضه کوونکي ماتول
Detecting formats:,د شکلونو کشف کول:
Device Memory:,وسیله یادښت:
Difference,توپیر
Difference (In Company Currency),توپیر (د شرکت اسعارو کې)
Disable offline mode first to recheck live connectivity.,د ژوندی ارتباط بیاکتنې لپاره لومړی آفلاین حالت غیر فعال کړئ.
Disconnect,منحل کول
discount,تخفیف
Discount %,تخفیف٪
Discount / Void / Return Report,تخفیف / باطل / بیرته راستنیدنه
Discount Amount,د تخفیف اندازه
Discount limited by POS Profile,تخفیف د POS پروفایل لخوا محدود دی
Discounted Invoices,رعایت شوي رسیدونه
Discounts,تخفیف
Dismiss,ګوښه کول
Download Certificate,سند ډاونلوډ کړئ
Draft,مسوده
Draft invoice deleted,د رسید مسوده ړنګه شوه
Draft source,د مسودې سرچینه
Drafts,مسودې
Due {0},ټاکل شوې {0}
Due Date,د نیټې نیټه
Duplicate,نقل
Edit customer,پیرودونکي ترمیم کړئ
Edit discount amount,د تخفیف اندازه ترمیم کړئ
Edit discount percentage,د تخفیف سلنه ایډیټ کړئ
Edit Gift Application,د ډالۍ غوښتنلیک ایډیټ کړئ
Edit item name,د توکي نوم سم کړئ
Edit quantity,مقدار ترمیم کړئ
Edit rate,د ترمیم نرخ
Edit unit of measure,د اندازه کولو واحد ترمیم کړئ
Edited,ترمیم شوی
Employee,کارمند
Enable background sync,د شالید ترکیب فعال کړئ
Enable Customer Display in POS Profile first.,لومړی د POS پروفایل کې د پیرودونکي ښودل فعال کړئ.
Enter a PIN.,یو PIN داخل کړئ.
Enter a valid grams value,د اعتبار وړ ګرام ارزښت دننه کړئ
Enter new price list rate,د نوي نرخ لیست نرخ دننه کړئ
Enter Quantity,مقدار داخل کړئ
Enter the cashier PIN to continue.,د دوام لپاره د کیشیر PIN دننه کړئ.
Enter the current PIN first.,لومړی اوسنی PIN دننه کړئ.
"Enter the current PIN, then choose a new one.",اوسنی PIN دننه کړئ، بیا یو نوی غوره کړئ.
Enter valid grams for scale barcode,د پیمانه بارکوډ لپاره معتبر ګرام داخل کړئ
Entries,ننوتل
Error accessing camera:,کمرې ته د لاسرسي تېروتنه:
Error calculating prices,د نرخونو په محاسبه کې تېروتنه
Error fetching customer balance,د پیرودونکي بیلانس په راوړلو کې تېروتنه
Error in change calculations!,د بدلون په محاسبه کې تېروتنه!
Error Loading Data,د معلوماتو په بارولو کې تېروتنه
Error loading invoice details,د رسید توضیحاتو بارولو کې تېروتنه
Error processing invoice,د رسید پروسس کولو کې تېروتنه
Error processing payment,د تادیاتو پروسس کولو کې تېروتنه
Error searching invoices,د رسیدونو په لټون کې تېروتنه
Error submitting invoice:,د رسید په سپارلو کې تېروتنه:
Error submitting invoice: {0},د رسید په سپارلو کې تېروتنه: {0}
Error submitting invoice: No response from server,د رسید په سپارلو کې تېروتنه: د سرور څخه هیڅ ځواب نشته
Error updating currency,د اسعارو په تازه کولو کې تېروتنه
Error updating item details,د توکي د جزیاتو په تازه کولو کې تېروتنه
Est. Purchase,Est. پیرود
Est. Value,Est. ارزښت
Event-loop lag measures how busy your browser is. Lower is better.,د پیښې لوپ لیګ اندازه کوي چې ستاسو براوزر څومره بوخت دی. ښکته غوره ده.
Every,هر
Exchange Rate,د تبادلې نرخ
Expand item details,د توکي توضیحات پراخ کړئ
Expected Amount (In Company Currency),متوقع مقدار (د شرکت اسعارو کې)
Expected Cash,د پیسو تمه
Expected cash on hand grouped by currency,په لاس کې د پیسو تمه شوي پیسې د اسعارو له مخې ګروپ شوي
Expected vs Actual,متوقع په مقابل کې واقعیا
Expense,لګښت
Expense Account (Optional Override),د لګښت حساب (اختیاري اوورایډ)
Expense account is required.,د لګښت حساب ته اړتیا ده.
Expenses and deposits posted during this shift,د دې بدلون په جریان کې لګول شوي لګښتونه او زیرمې
Expired,تېر شو
Failed to auto reconcile payments.,د تادیاتو په اوتومات ډول پخلا کولو کې پاتې راغلی.
Failed to cancel cash movement,د نغدو حرکت په لغوه کولو کې پاتې راغلی
Failed to clear cache,د زیرمې پاکولو کې پاتې راغلی
Failed to create item,د توکي په جوړولو کې پاتې راغلل
Failed to create supplier,د عرضه کوونکي په جوړولو کې پاتې راغلی
Failed to delete cash movement,د نغدو حرکت په حذف کولو کې پاتې راغلی
Failed to generate scale barcode. Using item barcode only.,د پیمانه بارکوډ په جوړولو کې پاتې راغلی. یوازې د توکي بارکوډ کارول.
Failed to load cash movement context.,د نغدو حرکت شرایطو په بارولو کې پاتې راغلی.
Failed to load dashboard data.,د ډشبورډ ډیټا پورته کولو کې پاتې راغلی.
Failed to reload invoice from server,د سرور څخه د رسید بیا پورته کولو کې پاتې راغلی
Failed to submit cash movement,د نغدو حرکت په سپارلو کې پاتې راغلی
Failed to sync offline cash movements,د آف لائن نغدو حرکتونو په ترکیب کې پاتې راغلی
Fast cashier actions for active shifts.,د فعال بدلونونو لپاره ګړندي کیشیر عملونه.
Fast Moving Items,د چټک حرکت توکي
Fees,فیسونه
Fetch the latest offline prerequisite updates,وروستي آفلاین اړین تازه معلومات ترلاسه کړئ
Find a sales order quickly and load it into the current sale.,د پلور امر په چټکۍ سره ومومئ او اوسني پلور ته یې پورته کړئ.
Fixing payment amounts for return invoice...,د بیرته راستنیدو رسید لپاره د تادیاتو مقدار ټاکل ...
Flash Off,فلش بند
Flash On,فلش آن
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.",د 'محصول بنډل' توکو لپاره، ګودام، سریال نمبر او د بست نمبر به د 'پیکنګ لیست' جدول څخه په پام کې ونیول شي. که چیرې ګودام او بسته نمبر د هر ډول 'محصول بنډل' توکي لپاره د ټولو بسته کولو توکو لپاره یو شان وي، دا ارزښتونه د اصلي توکي جدول کې دننه کیدی شي؛ ارزښتونه به د 'پیکنګ لیست' جدول ته کاپي شي.
Free,وړيا
Free Qty,وړیا اندازه
Frequency,فریکونسی
from,څخه
From Date,له نیټې څخه
Fulfillment Details,د بشپړولو توضیحات
Full Name,بشپړ نوم
Gain,ګټي
Generate a fresh prepaid card and start it with an opening balance.,یو نوی پری پیډ کارت جوړ کړئ او د پرانیستې بیلانس سره یې پیل کړئ.
Generate and install the certificate to allow fully silent printing without trust prompts.,سند تولید او نصب کړئ ترڅو د باور غوښتنې پرته په بشپړ ډول خاموش چاپ ته اجازه ورکړئ.
Generate Certificate,سند تولید کړئ
Generated scale barcode: {0},تولید شوی پیمانه بارکوډ: {0}
Get Payments,تادیات ترلاسه کړئ
Gift Card,د ډالۍ کارت
Gift card amount must be greater than zero.,د ډالۍ کارت اندازه باید له صفر څخه زیاته وي.
Gift Card Code,د ډالۍ کارت کوډ
Gift card code is required for redemption,د ډالۍ کارت کوډ د خلاصون لپاره اړین دی
Gift card code is required.,د ډالۍ کارت کوډ ته اړتیا ده.
Gift card issued successfully.,د ډالۍ کارت په بریالیتوب سره صادر شو.
Gift card loaded successfully.,د ډالۍ کارت په بریالیتوب سره پورته شو.
Gift Card Management,د ډالۍ کارت مدیریت
Gift card payment,د ډالۍ کارت تادیه
Gift card redemption requires an online connection,د ډالۍ کارت خلاصول آنلاین پیوستون ته اړتیا لري
Gift card topped up successfully.,د ډالۍ کارت په بریالیتوب سره پورته شو.
Gift Cards,د ډالۍ کارتونه
Go to Frappe Desk,د Frappe میز ته لاړ شئ
Grand Total,لوی مجموعه
Gross Margin,ناخالص حاشیه
Gross Profit,ناخالصه ګټه
Gross Sales,ناخالص پلور
Group not found,ډله ونه موندل شوه
"Grouped controls for terminal, UI, and session settings.",د ټرمینل، UI، او سیشن ترتیباتو لپاره ډله ایز کنټرولونه.
Grouped totals for each payment method and currency,د هرې تادیې میتود او اسعارو لپاره ډله ایز مجموعه
Hide,پټول
Hide Gift Card,د ډالۍ کارت پټ کړئ
Hide Non Essential Fields,غیر ضروري ساحې پټ کړئ
