POS Awesome,PDV incrível
Cash payment cannot be less than invoice total when partial payment is not allowed,O pagamento em dinheiro não pode ser inferior ao total da fatura quando o pagamento parcial não for permitido
Cash returned after payment,Dinheiro devolvido após pagamento
Cashier,Caixa
Cashier Access,Acesso ao caixa
Cashier identity and appearance preferences.,Identidade do caixa e preferências de aparência.
Cashier PIN,PIN do caixa
Cashier PIN saved successfully.,PIN do caixa salvo com sucesso.
Cashiers,Caixas
Cashier-wise,Em termos de caixa
Categories,Categorias
Category,Categoria
Category / Brand / Variant Report,Relatório de categoria/marca/variante
Category-wise,Em termos de categoria
Category-wise Margin,Margem por categoria
Certificate,Certificado
Certificate is missing or not trusted. QZ may show confirmation dialogs.,O certificado está ausente ou não é confiável. QZ pode mostrar caixas de diálogo de confirmação.
Certificate is trusted. Silent QZ printing is active.,O certificado é confiável. A impressão QZ silenciosa está ativa.
Change,Mudança
Change allocation repaired,Alterar alocação reparada
Change Price,Alterar preço
Change Return,Alterar retorno
Change Returned,Alteração devolvida
Change terminal cashier,Alterar caixa do terminal
Charge Heads,Cabeças de carga
Charges,Encargos
Charges not found,Cobranças não encontradas
Check Balance,Verifique o saldo
Check balance for any card. Supervisors can issue and top up cards here.,Verifique o saldo de qualquer cartão. Os supervisores podem emitir e recarregar cartões aqui.
Check balance only,Consultar saldo apenas
Check for new commits,Verifique se há novos commits
Check for Updates,Verifique se há atualizações
Check live balance before applying redemption,Verifique o saldo ao vivo antes de aplicar o resgate
Check live balance before redemption,Verifique o saldo ao vivo antes do resgate
Checking...,Verificando...
Cheque/Reference Date,Data do Cheque/Referência
Cheque/Reference No,Cheque/Nº de referência
Choose the cashier currently operating this terminal.,Escolha o caixa que atualmente opera este terminal.
City,Cidade
Clear,Limpar
Clear All,Limpar tudo
Clear all barcode items,Limpar todos os itens do código de barras
Clear all purchase order items,Limpar todos os itens do pedido de compra
Clear Search,Limpar pesquisa
Clearing local cache...,Limpando cache local...
Click to refresh,Clique para atualizar
Client CPU Lag:,Atraso da CPU do cliente:
Client Memory Usage:,Uso de memória do cliente:
Client Metrics,Métricas do cliente
Close about dialog,Fechar sobre a caixa de diálogo
Close cashier switcher,Fechar comutador de caixa
Close closing shift dialog,Fechar caixa de diálogo de fechamento do turno
Close column selector,Fechar seletor de coluna
Close Dialog,Fechar caixa de diálogo
Close drafts dialog,Caixa de diálogo Fechar rascunhos
Close invoice details dialog,Fechar caixa de diálogo de detalhes da fatura
Close invoice management,Fechar gerenciamento de faturas
Close offline invoices dialog,Caixa de diálogo Fechar faturas off-line
Close packing list dialog,Fechar caixa de diálogo da lista de embalagem
Close returns dialog,Fechar caixa de diálogo de devoluções
Close sales orders dialog,Caixa de diálogo Fechar pedidos de vendas
Close Scanner,Fechar scanner
Close scanner dialog,Fechar caixa de diálogo do scanner
Close Settings,Fechar configurações
Closing Amount,Valor de fechamento
Closing POS Shift,Fechando turno de PDV
Closing Snapshot Available,Instantâneo de fechamento disponível
Code,Código
Code scanned successfully,Código verificado com sucesso
COGS,CPV
Collapse item details,Recolher detalhes do item
Collected,Coletado
Cols,Colunas
Columns,Colunas
commits,compromete
Completed and active sales in this range,Vendas concluídas e ativas nesta faixa
Completed returns will appear here.,As devoluções concluídas aparecerão aqui.
Confirm,Confirmar
Confirm Close,Confirmar fechamento
Confirm Mobile Number,Confirme o número do celular
Confirm PIN,Confirmar PIN
Connect,Conectar
Connect printer and manage certificate,Conecte a impressora e gerencie o certificado
Connecting to QZ Tray...,Conectando à bandeja QZ...
Connection problem while submitting invoice,Problema de conexão ao enviar fatura
Connections:,Conexões:
Connectivity and cached prerequisite status were rechecked.,A conectividade e o status dos pré-requisitos armazenados em cache foram verificados novamente.
Continue Editing,Continuar editando
Could not fetch latest balance from server,Não foi possível obter o saldo mais recente do servidor
Count,Contar
Country,País
Coupon,Cupom
Coupons,Cupons
Cover,Capa
CPU Cores:,Núcleos de CPU:
Create,Criar
Create and load a new prepaid card,Crie e carregue um novo cartão pré-pago
Create and preload a new gift card,Crie e pré-carregue um novo vale-presente
Create Bill,Criar fatura
Create Customer,Criar cliente
Create New Item,Criar novo item
Create or change your PIN,Crie ou altere seu PIN
Create PIN,Criar PIN
Create POS Opening Shift,Criar turno de abertura de PDV
Create Purchase Order,Criar pedido de compra
Create Return,Criar devolução
Create return from invoice,Criar devolução da fatura
Create Supplier,Criar fornecedor
Credit and Output,Crédito e Saída
Credit Note,Nota de crédito
Credit Outstanding,Crédito pendente
Credit sales remaining to be collected,Vendas a crédito restantes a serem cobradas
Critical,Crítico
Currency,Moeda
Current,Atual
Current Event Loop Lag:,Atraso do loop do evento atual:
Current Month,Mês Atual
Current PIN,PIN atual
Current Profile,Perfil atual
Current redeemable value on the gift card,Valor resgatável atual no vale-presente
Current User,Usuário atual
Custom,Personalizado
Custom Due Days,Prazos de vencimento personalizados
Custom items per page,Itens personalizados por página
Customer,Cliente
Customer already selected,Cliente já selecionado
Customer Balance,Saldo do cliente
Customer balance unavailable offline,Saldo do cliente indisponível off-line
Customer created successfully.,Cliente criado com sucesso.
Customer creation failed.,Falha na criação do cliente.
Customer Details,Detalhes do cliente
Customer display channel is missing,O canal de exibição do cliente está ausente
Customer display was blocked. Please allow pop-ups for this site.,A exibição do cliente foi bloqueada. Por favor permita pop-ups para este site.
Customer group is required,O grupo de clientes é obrigatório
Customer is required to add payment,O cliente é obrigado a adicionar o pagamento
Customer Name is required,O nome do cliente é obrigatório
Customer not selected,Cliente não selecionado
Customer Report,Relatório do cliente
Customer saved offline,Cliente salvo off-line
Customer Screen,Tela do cliente
Customer territory is required,O território do cliente é obrigatório
Customer updated successfully.,Cliente atualizado com sucesso.
Customer-facing tools and printer setup.,Ferramentas voltadas para o cliente e configuração da impressora.
Customers,Clientes
Customers not found,Clientes não encontrados
Daily cashier actions without scrolling.,Ações diárias do caixa sem rolagem.
Daily Sales,Vendas Diárias
Daily Sales Summary,Resumo diário de vendas
Data loaded in form. Review and submit.,Dados carregados no formulário. Revise e envie.
Database Health,Integridade do banco de dados
Database health affects overall system speed and reliability.,A integridade do banco de dados afeta a velocidade e a confiabilidade geral do sistema.
Database Info,Informações do banco de dados
Date,Data
Day ?,Dia?
days,dias
Day-wise (MTD),Dia a dia (MTD)
Day-wise Movement,Movimento Diurno
Dead Stock,Estoque Morto
Dead Stock Items,Itens de estoque morto
Decrease quantity,Diminuir quantidade
Default,Padrão
Default:,Padrão:
Delete,Excluir
Delete cancelled cash movement {0}?,Excluir movimentação de dinheiro cancelada {0}?
Delete Draft,Excluir rascunho
Delete draft invoice,Excluir rascunho de fatura
Delete draft invoice {0}?,Excluir rascunho de fatura {0}?
Delete Invoice,Excluir fatura
Delete offline invoice,Excluir fatura off-line
Delivered,Entregue
Delivery Charges,Taxas de entrega
Delivery Information,Informações de entrega
Delivery Note {0} created,Nota de entrega {0} criada
Delivery note created,Nota de entrega criada
Deployed Bundle:,Pacote implantado:
Deposit,Depósito
Description,Descrição
Detailed Supplier Breakdown,Detalhamento detalhado do fornecedor
Detecting formats:,Detectando formatos:
Device Memory:,Memória do dispositivo:
Difference,Diferença
Difference (In Company Currency),Diferença (na moeda da empresa)
Disable offline mode first to recheck live connectivity.,Desative o modo offline primeiro para verificar novamente a conectividade ao vivo.
Disconnect,Desconectar
discount,desconto
Discount %,% de desconto
Discount / Void / Return Report,Relatório de desconto/anulação/devolução
Discount Amount,Valor do desconto
Discount limited by POS Profile,Desconto limitado pelo perfil POS
Discounted Invoices,Faturas com desconto
Discounts,Descontos
Dismiss,Dispensar
Download Certificate,Baixar certificado
Draft,Rascunho
Draft invoice deleted,Rascunho de fatura excluído
Draft source,Fonte do rascunho
Drafts,Rascunhos
Due {0},Vencimento {0}
Due Date,Data de vencimento
Duplicate,Duplicar
Edit customer,Editar cliente
Edit discount amount,Editar valor do desconto
Edit discount percentage,Editar porcentagem de desconto
Edit Gift Application,Editar pedido de presente
Edit item name,Editar nome do item
Edit quantity,Editar quantidade
Edit rate,Taxa de edição
Edit unit of measure,Editar unidade de medida
Edited,Editado
Employee,Funcionário
Enable background sync,Ativar sincronização em segundo plano
Enable Customer Display in POS Profile first.,Ative primeiro a exibição do cliente no perfil POS.
Enter a PIN.,Insira um PIN.
Enter a valid grams value,Insira um valor válido em gramas
Enter new price list rate,Insira a nova taxa da lista de preços
Enter Quantity,Insira a quantidade
Enter the cashier PIN to continue.,Digite o PIN do caixa para continuar.
Enter the current PIN first.,Insira primeiro o PIN atual.
"Enter the current PIN, then choose a new one.",Insira o PIN atual e escolha um novo.
Enter valid grams for scale barcode,Insira gramas válidos para o código de barras da balança
Entries,Entradas
Error accessing camera:,Erro ao acessar a câmera:
Error calculating prices,Erro ao calcular preços
Error fetching customer balance,Erro ao buscar saldo do cliente
Error in change calculations!,Erro nos cálculos de alteração!
Error Loading Data,Erro ao carregar dados
Error loading invoice details,Erro ao carregar detalhes da fatura
Error processing invoice,Erro ao processar fatura
Error processing payment,Erro ao processar o pagamento
Error searching invoices,Erro ao pesquisar faturas
Error submitting invoice:,Erro ao enviar fatura:
Error submitting invoice: {0},Erro ao enviar fatura: {0}
Error submitting invoice: No response from server,Erro ao enviar fatura: Nenhuma resposta do servidor
Error updating currency,Erro ao atualizar a moeda
Error updating item details,Erro ao atualizar detalhes do item
Est. Purchase,Est. Comprar
Est. Value,Est. Valor
Event-loop lag measures how busy your browser is. Lower is better.,O atraso do loop de eventos mede o quão ocupado seu navegador está. Menor é melhor.
Every,Cada
Exchange Rate,Taxa de câmbio
Expand item details,Expandir detalhes do item
Expected Amount (In Company Currency),Valor esperado (na moeda da empresa)
Expected Cash,Dinheiro Esperado
Expected cash on hand grouped by currency,Dinheiro disponível esperado agrupado por moeda
Expected vs Actual,Esperado versus Real
Expense,Despesa
Expense Account (Optional Override),Conta de despesas (substituição opcional)
Expense account is required.,A conta de despesas é obrigatória.
Expenses and deposits posted during this shift,Despesas e depósitos lançados durante este turno
Expired,Expirado
Failed to auto reconcile payments.,Falha ao reconciliar pagamentos automaticamente.
Failed to cancel cash movement,Falha ao cancelar a movimentação de dinheiro
Failed to clear cache,Falha ao limpar o cache
Failed to create item,Falha ao criar item
Failed to create supplier,Falha ao criar fornecedor
Failed to delete cash movement,Falha ao excluir movimentação de dinheiro
Failed to generate scale barcode. Using item barcode only.,Falha ao gerar o código de barras da balança. Usando apenas código de barras do item.
Failed to load cash movement context.,Falha ao carregar o contexto de movimentação de dinheiro.
Failed to load dashboard data.,Falha ao carregar dados do painel.
Failed to reload invoice from server,Falha ao recarregar a fatura do servidor
Failed to submit cash movement,Falha ao enviar movimentação de dinheiro
Failed to sync offline cash movements,Falha ao sincronizar movimentos de dinheiro off-line
Fast cashier actions for active shifts.,Ações rápidas de caixa para turnos ativos.
Fast Moving Items,Itens em movimento rápido
Fees,Taxas
Fetch the latest offline prerequisite updates,Obtenha as atualizações de pré-requisitos off-line mais recentes
Find a sales order quickly and load it into the current sale.,Encontre um pedido de venda rapidamente e carregue-o na venda atual.
Fixing payment amounts for return invoice...,Corrigindo valores de pagamento para fatura de devolução...
Flash Off,Flash desligado
Flash On,Flash ligado
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","Para itens do 'Pacote de Produtos', o Armazém, o Nº de Série e o Nº do Lote serão considerados na tabela 'Lista de Embalagem'. Se o Armazém e o Número do Lote forem iguais para todos os itens de embalagem de qualquer item do 'Pacote de Produtos', esses valores poderão ser inseridos na tabela de Itens principal; os valores serão copiados para a tabela 'Packing List'."
Free,Grátis
Free Qty,Quantidade grátis
Frequency,Frequência
from,de
From Date,Da data
Fulfillment Details,Detalhes de cumprimento
Full Name,Nome Completo
Gain,Ganho
Generate a fresh prepaid card and start it with an opening balance.,Gere um novo cartão pré-pago e inicie-o com um saldo inicial.
Generate and install the certificate to allow fully silent printing without trust prompts.,"Gere e instale o certificado para permitir impressão totalmente silenciosa, sem solicitações de confiança."
Generate Certificate,Gerar certificado
Generated scale barcode: {0},Código de barras da balança gerado: {0}
Get Payments,Obter pagamentos
Gift Card,Vale-presente
Gift card amount must be greater than zero.,O valor do vale-presente deve ser maior que zero.
Gift Card Code,Código do vale-presente
Gift card code is required for redemption,O código do vale-presente é necessário para o resgate
Gift card code is required.,O código do vale-presente é obrigatório.
Gift card issued successfully.,Cartão-presente emitido com sucesso.
Gift card loaded successfully.,Cartão-presente carregado com sucesso.
Gift Card Management,Gerenciamento de vale-presente
Gift card payment,Pagamento com vale-presente
Gift card redemption requires an online connection,O resgate do vale-presente requer uma conexão on-line
Gift card topped up successfully.,Vale-presente carregado com sucesso.
Gift Cards,Cartões-presente
Go to Frappe Desk,Vá para o Frappe Desk
Grand Total,Total geral
Gross Margin,Margem Bruta
Gross Profit,Lucro Bruto
Gross Sales,Vendas brutas
Group not found,Grupo não encontrado
"Grouped controls for terminal, UI, and session settings.","Controles agrupados para configurações de terminal, UI e sessão."
Grouped totals for each payment method and currency,Totais agrupados para cada forma de pagamento e moeda
Hide,Esconder
Hide Gift Card,Ocultar vale-presente
Hide Non Essential Fields,Ocultar campos não essenciais
Hide quantity decimals,Ocultar decimais de quantidade
Hide search tools,Ocultar ferramentas de pesquisa
Hide zero rated items,Ocultar itens com classificação zero
High,Alto
History,História
Hourly (Today),Por hora (hoje)
How this section works,Como esta seção funciona
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","Se os dados desatualizados permanecerem, abra Configurações > Off-line e sincronização e execute Reconstruir dados off-line novamente enquanto estiver on-line."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","Se o aviso persistir, abra Configurações > Off-line e sincronização e execute Atualizar dados off-line ou Reconstruir dados off-line."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,Importe o certificado para o QZ Tray e reinicie o QZ Tray em cada máquina POS.
In,Em
In stock: {0},Em estoque: {0}
Include Batch / Serial,Incluir lote/série
Include Price,Incluir preço
Increase quantity,Aumentar quantidade
IndexedDB,Banco de dados indexado
Initial Amount,Valor Inicial
Initialize your shift with opening balances,Inicialize seu turno com saldos iniciais
Initializing application...,Inicializando aplicativo...
"Inspect cache, sync, and prerequisite status","Inspecione o status do cache, da sincronização e dos pré-requisitos"
Installed Applications,Aplicativos instalados
Insufficient stock:\n{0},Estoque insuficiente:\n{0}
Invalid rate,Taxa inválida
Inventory Status Report,Relatório de status de estoque
Invoice,Fatura
Invoice {0} is Submitted,A fatura {0} foi enviada
Invoice {0} processed successfully,Fatura {0} processada com sucesso
Invoice {0} submission failed,Falha no envio da fatura {0}
Invoice {0} was already submitted,A fatura {0} já foi enviada
Invoice Adjustments,Ajustes de fatura
Invoice Change,Alteração de fatura
Invoice Details,Detalhes da fatura
Invoice is still in draft after background submission.,A fatura ainda está em rascunho após o envio em segundo plano.
Invoice Items,Itens de fatura
Invoice Management,Gestão de faturas
Invoice Mgmt,Gerenciamento de faturas
Invoice saved offline,Fatura salva off-line
Invoice submission failed,Falha no envio da fatura
Invoice Submitted,Fatura enviada
"Invoice value settled by loyalty points, not cash collection","Valor da fatura liquidado por pontos de fidelidade, não por cobrança de dinheiro"
Invoices,Faturas
Invoices already past due date,Faturas já vencidas
Invoices saved as POS Invoices,Faturas salvas como faturas de PDV
Invoices still carrying balances,Faturas ainda com saldos
Issue Mode,Modo de problema
Issue New Card,Emitir novo cartão
Issue Workflow,Fluxo de trabalho de problemas
"Issue, top up, and check","Emitir, recarregar e verificar"
Item,Artigo
Item / Product Sales Report,Relatório de vendas de itens/produtos
Item {0} added to invoice,Item {0} adicionado à fatura
Item '{0}' has no barcode,O item '{0}' não possui código de barras
Item Code,Código do item
Item created successfully,Item criado com sucesso
Item is out of stock,O item está fora de estoque
Item Name,Nome do item
Item not found,Item não encontrado
Item order updated,Ordem dos itens atualizada
Item Selector Settings,Configurações do seletor de itens
Items,Itens
Items added in POS will appear here automatically.,Os itens adicionados no PDV aparecerão aqui automaticamente.
Items added to invoice,Itens adicionados à fatura
Items per page,Itens por página
Items Sold,Itens vendidos
Items/Invoice,Itens/fatura
Item-wise Profitability,Lucratividade por item
Journal Entry,Lançamento de diário
json,json
Just now,Agora mesmo
Keep offline prerequisites healthy and recover stale data safely.,Mantenha os pré-requisitos offline saudáveis e recupere dados obsoletos com segurança.
Labels,Etiquetas
"Language, theme, terminal tools, and session controls.","Idioma, tema, ferramentas de terminal e controles de sessão."
Last,Último
Last 14 Days (Paid vs Pending),Últimos 14 dias (pago x pendente)
Last 14 Days Activity,Atividade dos últimos 14 dias
Last 14 Days Gross Profit,Lucro bruto dos últimos 14 dias
Last 14 Days Purchases,Compras dos últimos 14 dias
Last 14 Days Tax/Charges,Impostos/taxas dos últimos 14 dias
Last sync:,Última sincronização:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},Última sincronização: {0} | ok: {1} | falhou: {2} | ignorado: {3}
Latest entries for current shift,Últimas entradas para o turno atual
Lead Time,Prazo de entrega
Limited,Limitado
lines,linhas
List,Lista
Live Snapshot,Instantâneo ao vivo
Load a POS profile and cashier first.,Carregue primeiro um perfil de PDV e um caixa.
Load More Invoices,Carregar mais faturas
Load previously saved invoices,Carregar faturas salvas anteriormente
Load Sale,Venda de carga
Load Sales Invoice,Carregar fatura de venda
Loading app data...,Carregando dados do aplicativo...
Loading customer database...,Carregando banco de dados do cliente...
Loading customers...,Carregando clientes...
Loading database stats...,Carregando estatísticas do banco de dados...
Loading details...,Carregando detalhes...
Loading invoice history...,Carregando histórico de faturas...
Loading items...,Carregando itens...
Loading product catalog...,Carregando catálogo de produtos...
Loading return invoices...,Carregando faturas de devolução...
Loading server CPU/memory usage...,Carregando uso de CPU/memória do servidor...
Loading suppliers...,Carregando fornecedores...
Loading unpaid invoices...,Carregando faturas não pagas...
Loading view...,Carregando visualização...
Loading...,Carregando...
Local storage is unavailable. Switching to online-only mode.,O armazenamento local não está disponível. Mudando para o modo somente online.
localStorage,armazenamento local
Location Performance,Desempenho de localização
Locations,Locais
Lock Screen,Tela de bloqueio
Lookup Workflow,Fluxo de trabalho de pesquisa
Loss,Perda
Low,Baixo
Low Stock,Estoque baixo
Low Stock Alerts,Alertas de estoque baixo
Low Stock Items,Itens com estoque baixo
Low Stock Threshold,Limite de estoque baixo
Low Stock Total,Total de estoque baixo
Lowest Margin,Margem mais baixa
Low-frequency maintenance and system details.,Manutenção de baixa frequência e detalhes do sistema.
Loyalty Redeemed,Lealdade resgatada
Loyalty Redemption,Resgate de Lealdade
Make New Payment,Faça novo pagamento
Manage all,Gerenciar tudo
Manage and synchronize your offline transactions,Gerencie e sincronize suas transações offline
Manage Cashier PIN,Gerenciar PIN do caixa
