POS Awesome,很棒的POS
Check balance for any card. Supervisors can issue and top up cards here.,检查任何卡的余额。主管可以在这里发卡和充值。
Check balance only,仅检查余额
Check for new commits,检查新的提交
Check for Updates,检查更新
Check live balance before applying redemption,申请兑换前检查实时余额
Check live balance before redemption,兑换前检查实时余额
Checking...,正在检查...
Cheque/Reference Date,支票/参考日期
Cheque/Reference No,支票/参考号
Choose the cashier currently operating this terminal.,选择当前操作该终端的收银员。
City,城市
Clear,清除
Clear All,全部清除
Clear all barcode items,清除所有条码项目
Clear all purchase order items,清除所有采购订单项目
Clear Search,清除搜索
Clearing local cache...,正在清除本地缓存...
Click to refresh,点击刷新
Client CPU Lag:,客户端 CPU 延迟：
Client Memory Usage:,客户端内存使用情况：
Client Metrics,客户指标
Close about dialog,关闭关于对话框
Close cashier switcher,关闭收银台开关
Close closing shift dialog,关闭关闭班次对话框
Close column selector,关闭列选择器
Close Dialog,关闭对话框
Close drafts dialog,关闭草稿对话框
Close invoice details dialog,关闭发票详细信息对话框
Close invoice management,关闭发票管理
Close offline invoices dialog,关闭离线发票对话框
Close packing list dialog,关闭装箱单对话框
Close returns dialog,关闭退货对话框
Close sales orders dialog,关闭销售订单对话框
Close Scanner,关闭扫描仪
Close scanner dialog,关闭扫描仪对话框
Close Settings,关闭设置
Closing Amount,平仓金额
Closing POS Shift,关闭 POS 班次
Closing Snapshot Available,关闭快照可用
Code,代码
Code scanned successfully,扫码成功
COGS,销货成本
Collapse item details,折叠项目详细信息
Collected,已收集
Cols,科尔斯
Columns,专栏
commits,提交
Completed and active sales in this range,该范围内已完成且活跃的销售
Completed returns will appear here.,已完成的退货将显示在此处。
Confirm,确认
Confirm Close,确认关闭
Confirm Mobile Number,确认手机号码
Confirm PIN,确认密码
Connect,连接
Connect printer and manage certificate,连接打印机并管理证书
Connecting to QZ Tray...,正在连接到 QZ 托盘...
Connection problem while submitting invoice,提交发票时出现连接问题
Connections:,连接：
Connectivity and cached prerequisite status were rechecked.,重新检查连接和缓存的先决条件状态。
Continue Editing,继续编辑
Could not fetch latest balance from server,无法从服务器获取最新余额
Count,计数
Country,国家
Coupon,优惠券
Coupons,优惠券
Cover,封面
CPU Cores:,CPU核心：
Create,创建
Create and load a new prepaid card,创建并加载新的预付卡
Create and preload a new gift card,创建并预加载新的礼品卡
Create Bill,创建账单
Create Customer,创建客户
Create New Item,创建新项目
Create or change your PIN,创建或更改您的 PIN
Create PIN,创建 PIN 码
Create POS Opening Shift,创建 POS 开放班次
Create Purchase Order,创建采购订单
Create Return,创建回报
Create return from invoice,从发票创建退货
Create Supplier,创建供应商
Credit and Output,信用与产出
Credit Note,贷方票据
Credit Outstanding,信用状况良好
Credit sales remaining to be collected,尚待收取的赊销
Critical,关键
Currency,货币
Current,当前
Current Event Loop Lag:,当前事件循环滞后：
Current Month,当月
Current PIN,当前密码
Current Profile,当前简介
Current redeemable value on the gift card,礼品卡当前的可兑换价值
Current User,当前用户
Custom,定制
Custom Due Days,自定义到期日
Custom items per page,每页自定义项目
Customer,客户
Customer already selected,客户已选择
Customer Balance,客户余额
Customer balance unavailable offline,客户余额离线不可用
Customer created successfully.,客户创建成功。
Customer creation failed.,客户创建失败。
Customer Details,客户详情
Customer display channel is missing,客户显示通道缺失
Customer display was blocked. Please allow pop-ups for this site.,客户显示屏被屏蔽。请允许该网站弹出窗口。
Customer group is required,客户群为必填项
Customer is required to add payment,客户需添加付款
Customer Name is required,客户姓名为必填项
Customer not selected,未选择客户
Customer Report,客户报告
Customer saved offline,客户离线保存
Customer Screen,客户屏幕
Customer territory is required,需要客户区域
Customer updated successfully.,客户更新成功。
Customer-facing tools and printer setup.,面向客户的工具和打印机设置。
Customers,客户
Customers not found,未找到客户
Daily cashier actions without scrolling.,日常收银操作，无需滚动。
Daily Sales,每日销售额
Daily Sales Summary,每日销售总结
Data loaded in form. Review and submit.,数据以表单形式加载。审核并提交。
Database Health,数据库健康状况
Database health affects overall system speed and reliability.,数据库的健康状况会影响整个系统的速度和可靠性。
Database Info,数据库信息
Date,日期
Day ?,日？
days,天
Day-wise (MTD),按日计算 (MTD)
Day-wise Movement,每日运动
Dead Stock,滞销库存
Dead Stock Items,滞销商品
Decrease quantity,减少数量
Default,默认
Default:,默认值：
Delete,删除
Delete cancelled cash movement {0}?,删除已取消的现金流动 {0}？
Delete Draft,删除草稿
Delete draft invoice,删除草稿发票
Delete draft invoice {0}?,删除草稿发票 {0}？
Delete Invoice,删除发票
Delete offline invoice,删除离线发票
Delivered,已交付
Delivery Charges,运费
Delivery Information,配送信息
Delivery Note {0} created,交货单 {0} 已创建
Delivery note created,交货单已创建
Deployed Bundle:,部署的捆绑包：
Deposit,押金
Description,描述
Detailed Supplier Breakdown,详细的供应商分类
Detecting formats:,检测格式：
Device Memory:,设备内存：
Difference,差异
Difference (In Company Currency),差异（以公司货币计）
Disable offline mode first to recheck live connectivity.,首先禁用离线模式以重新检查实时连接。
Disconnect,断开连接
discount,折扣
Discount %,折扣%
Discount / Void / Return Report,折扣/作废/退货报告
Discount Amount,折扣金额
Discount limited by POS Profile,折扣受 POS 配置文件限制
Discounted Invoices,折扣发票
Discounts,折扣
Dismiss,解雇
Download Certificate,下载证书
Draft,吃水
Draft invoice deleted,草稿发票已删除
Draft source,草稿来源
Drafts,草稿
Due {0},截止日期：{0}
Due Date,截止日期
Duplicate,重复
Edit customer,编辑客户
Edit discount amount,编辑折扣金额
Edit discount percentage,编辑折扣百分比
Edit Gift Application,编辑礼物申请
Edit item name,编辑项目名称
Edit quantity,编辑数量
Edit rate,编辑率
Edit unit of measure,编辑计量单位
Edited,已编辑
Employee,员工
Enable background sync,启用后台同步
Enable Customer Display in POS Profile first.,首先在 POS 配置文件中启用客户显示。
Enter a PIN.,输入 PIN 码。
Enter a valid grams value,输入有效的克值
Enter new price list rate,输入新价目表费率
Enter Quantity,输入数量
Enter the cashier PIN to continue.,输入收银员 PIN 码以继续。
Enter the current PIN first.,首先输入当前的 PIN。
"Enter the current PIN, then choose a new one.",输入当前的 PIN 码，然后选择一个新的 PIN 码。
Enter valid grams for scale barcode,输入秤条形码的有效克数
Entries,参赛作品
Error accessing camera:,访问相机时出错：
Error calculating prices,计算价格时出错
Error fetching customer balance,获取客户余额时出错
Error in change calculations!,变化计算错误！
Error Loading Data,加载数据时出错
Error loading invoice details,加载发票详细信息时出错
Error processing invoice,处理发票时出错
Error processing payment,处理付款时出错
Error searching invoices,搜索发票时出错
Error submitting invoice:,提交发票时出错：
Error submitting invoice: {0},提交发票时出错：{0}
Error submitting invoice: No response from server,提交发票时出错：服务器没有响应
Error updating currency,更新货币时出错
Error updating item details,更新商品详细信息时出错
Est. Purchase,预计。购买
Est. Value,预计。价值
Event-loop lag measures how busy your browser is. Lower is better.,事件循环延迟衡量浏览器的繁忙程度。越低越好。
Every,每个
Exchange Rate,汇率
Expand item details,展开项目详细信息
Expected Amount (In Company Currency),预期金额（以公司货币计）
Expected Cash,预期现金
Expected cash on hand grouped by currency,按货币分组的预期手头现金
Expected vs Actual,预期与实际
Expense,费用
Expense Account (Optional Override),费用账户（可选覆盖）
Expense account is required.,需要费用账户。
Expenses and deposits posted during this shift,本班次期间过帐的费用和押金
Expired,已过期
Failed to auto reconcile payments.,无法自动核对付款。
Failed to cancel cash movement,取消现金流动失败
Failed to clear cache,清除缓存失败
Failed to create item,创建项目失败
Failed to create supplier,创建供应商失败
Failed to delete cash movement,删除现金流动失败
Failed to generate scale barcode. Using item barcode only.,生成秤条形码失败。仅使用商品条形码。
Failed to load cash movement context.,无法加载现金移动上下文。
Failed to load dashboard data.,无法加载仪表板数据。
Failed to reload invoice from server,无法从服务器重新加载发票
Failed to submit cash movement,无法提交现金变动
Failed to sync offline cash movements,无法同步离线现金变动
Fast cashier actions for active shifts.,快速收银行动，实现主动轮班。
Fast Moving Items,快速移动的物品
Fees,费用
Fetch the latest offline prerequisite updates,获取最新的离线先决条件更新
Find a sales order quickly and load it into the current sale.,快速查找销售订单并将其加载到当前销售中。
Fixing payment amounts for return invoice...,修复退货发票的付款金额...
Flash Off,闪光灯关闭
Flash On,闪光灯开启
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.",对于“产品捆绑”项目，将从“装箱单”表中考虑仓库、序列号和批次号。如果任何“产品捆绑”项目的所有包装项目的仓库和批次号都相同，则可以在主项目表中输入这些值；值将被复制到“装箱单”表中。
Free,免费
Free Qty,免费数量
Frequency,频率
from,来自
From Date,开始日期
Fulfillment Details,履行详情
Full Name,全名
Gain,增益
Generate a fresh prepaid card and start it with an opening balance.,生成一张新的预付卡并以期初余额开始。
Generate and install the certificate to allow fully silent printing without trust prompts.,生成并安装证书以允许完全静默打印，无需信任提示。
Generate Certificate,生成证书
Generated scale barcode: {0},生成的秤条形码：{0}
Get Payments,获取付款
Gift Card,礼品卡
Gift card amount must be greater than zero.,礼品卡金额必须大于零。
Gift Card Code,礼品卡代码
Gift card code is required for redemption,兑换时需要礼品卡代码
Gift card code is required.,需要礼品卡代码。
Gift card issued successfully.,礼品卡发放成功。
Gift card loaded successfully.,礼品卡加载成功。
Gift Card Management,礼品卡管理
Gift card payment,礼品卡支付
Gift card redemption requires an online connection,礼品卡兑换需要在线连接
Gift card topped up successfully.,礼品卡充值成功。
Gift Cards,礼品卡
Go to Frappe Desk,前往冰沙柜台
Grand Total,总计
Gross Margin,毛利率
Gross Profit,毛利
Gross Sales,销售总额
Group not found,找不到组
"Grouped controls for terminal, UI, and session settings.",用于终端、UI 和会话设置的分组控件。
Grouped totals for each payment method and currency,每种付款方式和货币的分组总计
Hide,隐藏
Hide Gift Card,隐藏礼品卡
Hide Non Essential Fields,隐藏非必需字段
Hide quantity decimals,隐藏数量小数点
Hide search tools,隐藏搜索工具
Hide zero rated items,隐藏零评级项目
High,高
History,历史
Hourly (Today),每小时（今天）
How this section works,本部分如何运作
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.",如果仍然存在过时数据，请打开“设置”>“离线和同步”，然后在在线时再次运行“重建离线数据”。
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.",如果警告仍然存在，请打开“设置”>“离线和同步”，然后运行“刷新离线数据”或“重建离线数据”。
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,将证书导入到QZ Tray中，并在每台POS机上重新启动QZ Tray。
In,在
In stock: {0},库存：{0}
Include Batch / Serial,包括批量/串行
Include Price,包含价格
Increase quantity,增加数量
IndexedDB,索引数据库
Initial Amount,初始金额
Initialize your shift with opening balances,使用期初余额初始化您的班次
Initializing application...,正在初始化应用程序...
"Inspect cache, sync, and prerequisite status",检查缓存、同步和先决条件状态
Installed Applications,已安装的应用程序
Insufficient stock:\n{0},库存不足：\n{0}
Invalid rate,无效率
Inventory Status Report,库存状态报告
Invoice,发票
Invoice {0} is Submitted,发票 {0} 已提交
Invoice {0} processed successfully,发票 {0} 已成功处理
Invoice {0} submission failed,发票 {0} 提交失败
Invoice {0} was already submitted,发票 {0} 已提交
Invoice Adjustments,发票调整
Invoice Change,发票变更
Invoice Details,发票详情
Invoice is still in draft after background submission.,后台提交后发票仍处于草稿状态。
Invoice Items,发票项目
Invoice Management,发票管理
Invoice Mgmt,发票管理
Invoice saved offline,发票离线保存
Invoice submission failed,发票提交失败
Invoice Submitted,发票已提交
"Invoice value settled by loyalty points, not cash collection",发票价值通过忠诚度积分结算，而不是现金收取
Invoices,发票
Invoices already past due date,发票已逾期
Invoices saved as POS Invoices,发票另存为 POS 发票
Invoices still carrying balances,发票仍有余额
Issue Mode,发行模式
Issue New Card,发行新卡
Issue Workflow,问题工作流程
"Issue, top up, and check",发行、充值、检查
Item,项目
Item / Product Sales Report,项目/产品销售报告
Item {0} added to invoice,项目 {0} 已添加到发票中
Item '{0}' has no barcode,商品“{0}”没有条形码
Item Code,商品代码
Item created successfully,项目创建成功
Item is out of stock,商品缺货
Item Name,商品名称
Item not found,未找到项目
Item order updated,商品订单已更新
Item Selector Settings,项目选择器设置
Items,项目
Items added in POS will appear here automatically.,POS 中添加的商品将自动显示在此处。
Items added to invoice,添加到发票的项目
Items per page,每页项目数
Items Sold,售出物品
Items/Invoice,物品/发票
Item-wise Profitability,逐项盈利能力
Journal Entry,日记条目
json,json
Just now,刚才
Keep offline prerequisites healthy and recover stale data safely.,保持离线先决条件的健康并安全地恢复过时的数据。
Labels,标签
"Language, theme, terminal tools, and session controls.",语言、主题、终端工具和会话控件。
Last,最后
Last 14 Days (Paid vs Pending),过去 14 天（已付费与待处理）
Last 14 Days Activity,过去 14 天的活动
Last 14 Days Gross Profit,最近 14 天毛利润
Last 14 Days Purchases,过去 14 天的购买记录
Last 14 Days Tax/Charges,过去 14 天税费/费用
Last sync:,上次同步：
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},上次同步：{0} |好的：{1} |失败：{2} |跳过：{3}
Latest entries for current shift,当前班次的最新条目
Lead Time,交货时间
Limited,有限公司
lines,线
List,列表
Live Snapshot,实时快照
Load a POS profile and cashier first.,首先加载 POS 配置文件和收银员。
Load More Invoices,加载更多发票
Load previously saved invoices,加载以前保存的发票
Load Sale,加载销售
Load Sales Invoice,加载销售发票
Loading app data...,正在加载应用程序数据...
Loading customer database...,正在加载客户数据库...
Loading customers...,正在加载客户...
Loading database stats...,正在加载数据库统计信息...
Loading details...,正在加载详细信息...
Loading invoice history...,正在加载发票历史记录...
Loading items...,正在加载项目...
Loading product catalog...,正在加载产品目录...
Loading return invoices...,正在加载退货发票...
Loading server CPU/memory usage...,正在加载服务器 CPU/内存使用情况...
Loading suppliers...,正在加载供应商...
Loading unpaid invoices...,正在加载未付发票...
Loading view...,正在加载视图...
Loading...,正在加载...
Local storage is unavailable. Switching to online-only mode.,本地存储不可用。切换到仅在线模式。
localStorage,本地存储
Location Performance,位置表现
Locations,地点
Lock Screen,锁屏
Lookup Workflow,查找工作流程
Loss,损失
Low,低
Low Stock,库存不足
Low Stock Alerts,库存不足警报
Low Stock Items,库存不足的商品
Low Stock Threshold,库存门槛低
Low Stock Total,库存总量低
Lowest Margin,最低保证金
Low-frequency maintenance and system details.,低频维护和系统细节。
Loyalty Redeemed,忠诚度得到回报
Loyalty Redemption,忠诚度兑换
Make New Payment,进行新付款
Manage all,管理全部
Manage and synchronize your offline transactions,管理和同步您的离线交易
Manage Cashier PIN,管理收银员 PIN
"Manage offline tools, terminal controls, and maintenance from one workspace.",从一个工作区管理离线工具、终端控制和维护。
manual,手册
"Manual codes, barcode scans, and QR scans work in the same field",手动编码、条形码扫描和 QR 扫描在同一领域工作
Manual offline mode is enabled,手动离线模式已启用
Margin,保证金
Maximum available quantity is {0}. Quantity adjusted to match stock.,最大可用数量为{0}。调整数量以匹配库存。
Maximum discount amount for this offer item is {0}.,此优惠商品的最大折扣金额为 {0}。
Maximum discount percentage for this offer item is {0}%.,此优惠商品的最大折扣百分比为 {0}%。
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,最大报价数量为 {0}。数量调整至允许限度。
Medium,中等
Method-wise Collections,方法明智的集合
Minimum allowed rate for this offer item is {0}.,此优惠项目允许的最低价格为 {0}。
Minimum Qty,最小数量
Mobile No,手机号码
Mode,模式
Mode of Payment,付款方式
Month,月份
Month ?,月？
Monthly Profit,每月利润
Monthly Sales,每月销售额
Monthly Sales Summary,每月销售总结
Month-wise,按月计算
Most Active Cashiers,最活跃的收银员
Movement Type,运动类型
Movements,动作
Multi Currency,多币种
N/A,不适用
Name,名称
Negative Stock,负库存
Negative Stock Items,负库存商品
Negative values not allowed,不允许使用负值
Net,网络
Net Qty,净数量
Net Sales,净销售额
Net Value,净值
Never,从来没有
New changes are ready to load,新的更改已准备好加载
New Item,新商品
New Offer Available,新优惠推出
New PIN,新密码
New rate,新率
Next unit of measure,下一个测量单位
No attribute data found.,未找到属性数据。
No Barcode,无条形码
No barcode found for UOM '{0}',未找到 UOM“{0}”的条形码
No branch/location data found.,未找到分行/位置数据。
No brand data found.,未找到品牌数据。
No cached gift card balance is available offline.,离线时无法使用缓存的礼品卡余额。
No camera found on this device. Please ensure your device has a working camera.,在此设备上找不到相机。请确保您的设备有可用的摄像头。
No capability warnings recorded yet.,尚未记录任何能力警告。
No cash expected for this shift.,这一转变预计不会有现金。
No cash mode configured,未配置现金模式
No cash movement type is allowed for this POS Profile.,此 POS 配置文件不允许现金移动类型。
No cashier PIN is set yet. Create one now.,尚未设置收银员密码。立即创建一个。
No cashier profiles are available for this POS profile yet.,此 POS 配置文件尚无可用的收银员配置文件。
No cashier-wise discount/void/return activity.,没有收银员折扣/作废/退货活动。
No category data found.,未找到类别数据。
No category profitability data found.,未找到类别盈利能力数据。
No change returned recorded for this shift.,此班次没有返回任何更改记录。
No change-allocation invoices match the current filters.,没有与当前过滤器匹配的变更分配发票。
No charge head breakdown found.,未发现充电头故障。
No Company Selected,未选择公司
No customer sales data found.,未找到客户销售数据。
No day-wise discount/void/return trend.,没有每日折扣/作废/退货趋势。
No day-wise payment data found.,未找到每日付款数据。
No day-wise profitability trend found.,未发现每日盈利趋势。
No day-wise purchase data found.,未找到每日购买数据。
No day-wise sales trend found.,未发现每日销售趋势。
No day-wise tax/charges trend found.,未发现每日税收/费用趋势。
No dead stock items.,没有滞销商品。
No due date,无截止日期
No exact repair match found for this invoice,找不到与此发票完全匹配的维修
No hourly sales trend found for today.,没有发现今天每小时的销售趋势。
No invoice activity found.,未发现发票活动。
No invoices found,没有找到发票
No invoices found. Try different search criteria.,没有找到发票。尝试不同的搜索条件。
No invoices recorded for this shift.,此班次没有记录任何发票。
No item profitability data found.,未找到商品盈利能力数据。
No item sales data found for this period.,没有找到该期间的商品销售数据。
No items found,没有找到物品
No items in cart,购物车中没有商品
No items with barcodes to print,没有带条形码的物品可供打印
No location-wise top item data found.,未找到按位置排序的顶级项目数据。
No low stock alerts right now.,目前没有库存不足警报。
No low stock items.,没有库存不足的商品。
No matching items in cart,购物车中没有匹配的商品
No month-wise sales trend found.,未发现按月计算的销售趋势。
No negative stock items.,无负库存商品。
No notifications yet,还没有通知
No offline cash movement synced.,没有同步离线现金流动。
No offline invoices pending synchronization,没有待同步的离线发票
No offline sync issues recorded yet.,尚未记录离线同步问题。
No out-of-stock items.,没有缺货的商品。
No outstanding credit invoices for this shift.,此班次没有未清信用发票。
No payment collection data found.,未找到收款数据。
No payment rows available on this invoice.,此发票上没有可用的付款行。
No payments registered for this shift.,没有登记此班次的付款。
No pending balances in this period.,此期间无待结余额。
No pending offline invoices,没有待处理的离线发票
No Print Formats Found,未找到打印格式
No profiles found for selected scope. Falling back to current profile failed.,未找到所选范围的配置文件。回退到当前配置文件失败。
No recent customer activity found.,未找到最近的客户活动。
No recent stock entries found.,没有找到最近的股票条目。
No records found,没有找到记录
No reorder suggestions right now.,目前没有重新订购建议。
No repeat customers in this period.,期间没有回头客。
No response from server,服务器没有响应
No return invoices found,未找到退货发票
No return item trend found.,未发现退货趋势。
No returnable items found for this invoice,未找到此发票的可退货商品
No returns were processed in this shift.,本班次未处理任何退货。
No risk activity found.,未发现风险活动。
No sales activity found for this period.,在此期间未发现任何销售活动。
No slow moving items.,没有缓慢移动的物品。
No staff sales activity found.,未发现员工销售活动。
No stock movement for this period.,此期间没有库存变动。
No submitted cash movements in this shift.,本班次没有提交现金变动。
No supplier purchases found in this month.,本月未发现供应商采购。
