POS Awesome,POS ግሩም
All visible invoices are fully settled.,ሁሉም የሚታዩ ደረሰኞች ሙሉ በሙሉ ተረጋግጠዋል።
All Warehouses,ሁሉም መጋዘኖች
Allowed UOM is {0},የተፈቀደው UOM {0} ነው
Always fetch items from server (ignore local cache),ሁልጊዜ ንጥሎችን ከአገልጋይ ያውጡ (አካባቢያዊ መሸጎጫውን ችላ ይበሉ)
Amount,መጠን
Amount already received,አስቀድሞ የተቀበለው መጠን
Amount exceeds profile cash movement max amount.,መጠን የመገለጫ የገንዘብ እንቅስቃሴ ከፍተኛ መጠን ይበልጣል።
Amount must be greater than zero.,መጠኑ ከዜሮ በላይ መሆን አለበት።
Amount received from customer,ከደንበኛው የተቀበለው መጠን
Appearance and user-level preferences for the current session.,ለአሁኑ ክፍለ ጊዜ የእይታ እና የተጠቃሚ ደረጃ ምርጫዎች።
Applied,ተተግብሯል
Apply,ያመልክቱ
Apply Gift Card,የስጦታ ካርድ ተግብር
Apply Offer,ቅናሽ ያመልክቱ
Apply On,በርቷል ያመልክቱ
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,በዚህ ደረሰኝ ላይ ማስመለስ የሚፈልጉትን መጠን ብቻ ያመልክቱ። ቀሪው ቀሪ ሂሳብ በካርዱ ላይ ይቆያል.
Apply Redemption,ቤዛን ተግብር
Applying,በማመልከት ላይ
Apps,መተግበሪያዎች
Are you sure you want to close? All entered data will be lost.,እርግጠኛ ነህ መዝጋት ትፈልጋለህ? ሁሉም የገባው ውሂብ ይጠፋል።
Attributes (Size/Color),ባህሪያት (መጠን/ቀለም)
Auto Allocate Payment Amount,የክፍያ መጠን በራስ-ሰር ይመድቡ
Auto Reconcile,ራስ-ሰር ማስታረቅ
Auto reconciliation completed after payment submit.,ክፍያ ከገባ በኋላ በራስ-ሰር ማስታረቅ ተጠናቀቀ።
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,ራስ-ሰር ማስታረቅ ተጠናቀቀ። የተመደበው፡ {0}{1} የሚቀረው፡ {0}{2}።
Available Actions,የሚገኙ ድርጊቶች
Available QTY,QTY ይገኛል።
Available:,ይገኛል፡
Average Basket,አማካይ ቅርጫት
Average Bill,አማካይ ሂሳብ
Average Ticket,አማካኝ ቲኬት
Avg Bill,አማካኝ ቢል
Avg Invoice,አማካኝ ደረሰኝ
Avg Invoice Profit,አማካኝ የክፍያ መጠየቂያ ትርፍ
Avg Invoice Value,አማካይ የክፍያ መጠየቂያ ዋጋ
Avg Purchase Frequency,አማካይ የግዢ ድግግሞሽ
Awesome,ግሩም
Awesome Dashboard,ግሩም ዳሽቦርድ
Awesome Dashboard is disabled for the selected POS Profile.,ለተመረጠው የPOS መገለጫ ግሩም ዳሽቦርድ ተሰናክሏል።
Awesome Dashboard is unavailable for the selected scope.,ግሩም ዳሽቦርድ ለተመረጠው ወሰን የለም።
Awesome Dashboard is visible only to POS supervisors.,ግሩም ዳሽቦርድ የሚታየው ለPOS ተቆጣጣሪዎች ብቻ ነው።
Back,ተመለስ
Back Office Cash Account,የኋላ የቢሮ ጥሬ ገንዘብ ሂሳብ
Back Office Cash Account (Optional Override),የኋላ ኦፊስ የገንዘብ ሂሳብ (አማራጭ መሻር)
Back office cash account is required.,የኋላ ቢሮ የገንዘብ ሂሳብ ያስፈልጋል።
Back to {0},ወደ {0} ተመለስ
Background processing did not finish in time.,የበስተጀርባ ማቀነባበር በጊዜ አልተጠናቀቀም.
Background processing failed for Invoice {0}: {1},ለክፍያ መጠየቂያ {0}፡ {1} የበስተጀርባ ሂደት አልተሳካም
Background Submission Failed,ዳራ ማስገባት አልተሳካም።
Background sync interval (seconds),የበስተጀርባ ማመሳሰል ክፍተት (ሰከንዶች)
Balance,ሚዛን
Balance will be updated when connection is restored,ግንኙነቱ ወደነበረበት ሲመለስ ቀሪ ሒሳብ ይዘምናል።
Balances still pending,ቀሪ ሂሳቦች አሁንም በመጠባበቅ ላይ ናቸው።
Barcode,የአሞሌ ኮድ
Barcode / QR Ready,ባርኮድ/QR ዝግጁ
Barcode Label Printing,የአሞሌ መለያ ማተም
Base Paid:,የሚከፈልበት መሰረት፡
Base Recv:,የመሠረት ማጣቀሻ፡
Base:,መሰረት፡
Basic Information,መሰረታዊ መረጃ
Batch,ባች
Batch Information,ባች መረጃ
Before any return workflow,ከማንኛውም የመመለሻ የስራ ሂደት በፊት
Before returns,ከመመለሱ በፊት
Best Day,ምርጥ ቀን
Best Seller,ምርጥ ሻጭ
Book expense or deposit from active shift.,ከገቢር ፈረቃ የመዝገብ ወጪ ወይም ተቀማጭ ገንዘብ።
Branch / Location-wise Report,ቅርንጫፍ / አካባቢ-ጥበብ ሪፖርት
Brand-wise,ብራንድ-ጥበብ
Breakdown,መከፋፈል
Browse,አስስ
Build Time:,የግንባታ ጊዜ፡-
Built with Frappe,በ Frappe የተሰራ
Bundle,ጥቅል
Buying Price,የግዢ ዋጋ
Cache cleared successfully,መሸጎጫ በተሳካ ሁኔታ ጸድቷል።
Cache Usage,የመሸጎጫ አጠቃቀም
cache used,ጥቅም ላይ የዋለው መሸጎጫ
Calculating...,በማስላት ላይ...
Camera Access Required,የካሜራ መዳረሻ ያስፈልጋል
Camera access was aborted. Please try again.,የካሜራ መዳረሻ ተቋርጧል። እባክዎ እንደገና ይሞክሩ።
Camera constraints not supported by your device. Trying fallback settings...,የካሜራ ገደቦች በመሣሪያዎ አይደገፉም። የተመለስ ቅንብሮችን በመሞከር ላይ...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,ካሜራ ስራ በዝቶበታል ወይም በሌላ መተግበሪያ/ትር ታግዷል። ሌሎች የካሜራ መተግበሪያዎችን ዝጋ እና እንደገና ሞክር።
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,የካሜራ ፍቃድ ተከልክሏል። እባክህ የካሜራ መዳረሻ በአሳሽህ ቅንብሮች ውስጥ ፍቀድ እና ገጹን አድስ።
Camera scanner is locked until the current error is acknowledged,የአሁኑ ስህተት እውቅና እስኪያገኝ ድረስ የካሜራ ስካነር ተቆልፏል
Camera started but the video stream did not load in time. Please try again.,ካሜራ ተጀምሯል ግን የቪዲዮ ዥረቱ በጊዜ አልተጫነም። እባክዎ እንደገና ይሞክሩ።
Cancel cash movement {0}?,የገንዘብ እንቅስቃሴ ይሰረዝ {0}?
Cancel Payment,ክፍያ ሰርዝ
Cancel Sale,ሽያጩን ሰርዝ
Cancel Sale ?,ሽያጭ ይሰረዝ?
Cancelled,ተሰርዟል።
Cannot add an item with zero or negative quantity.,ዜሮ ወይም አሉታዊ መጠን ያለው ንጥል ነገር ማከል አይቻልም።
Cannot clear cache while offline,ከመስመር ውጭ ሆኖ መሸጎጫውን ማጽዳት አይቻልም
Cannot redeem customer credit more than invoice total,ከጠቅላላ ደረሰኝ በላይ የደንበኛ ክሬዲት ማስመለስ አይቻልም
Cannot redeem gift cards more than invoice total,የስጦታ ካርዶችን ከክፍያ መጠየቂያ ጠቅላላ በላይ ማስመለስ አይቻልም
Cannot Save Offline Invoice:,ከመስመር ውጭ ደረሰኝ ማስቀመጥ አይቻልም፡-
Cannot Save Offline Payment:,ከመስመር ውጭ ክፍያ መቆጠብ አይቻልም፡-
Card,ካርድ
Card / Online,ካርድ / መስመር ላይ
Card health after the last live lookup,ከመጨረሻው የቀጥታ ፍለጋ በኋላ የካርድ ጤና
Cards,ካርዶች
Cart,ጋሪ
Cash,ጥሬ ገንዘብ
Cash back to customers,ገንዘብ ለደንበኞች ይመለሱ
Cash Collections,የገንዘብ ስብስቦች
Cash Deposit is disabled for this POS Profile.,ለዚህ የPOS መገለጫ የጥሬ ገንዘብ ማስቀመጫ ተሰናክሏል።
Cash Drawer Snapshot,የጥሬ ገንዘብ መሳቢያ ቅጽበተ ፎቶ
Cash In Hand,ጥሬ ገንዘብ በእጅ
Cash Movement,የገንዘብ እንቅስቃሴ
Cash movement cancelled,የገንዘብ እንቅስቃሴ ተሰርዟል።
Cash movement deduction applied,የገንዘብ እንቅስቃሴ ቅነሳ ተተግብሯል።
Cash movement deleted,የገንዘብ እንቅስቃሴ ተሰርዟል።
Cash movement is disabled for this POS Profile.,ለዚህ የPOS መገለጫ የገንዘብ እንቅስቃሴ ተሰናክሏል።
Cash Movement is disabled in current POS Profile.,የገንዘብ እንቅስቃሴ በአሁኑ የPOS መገለጫ ላይ ተሰናክሏል።
Cash movement saved offline,የገንዘብ እንቅስቃሴ ከመስመር ውጭ ተቀምጧል
Cash movement submitted,የገንዘብ እንቅስቃሴ ገብቷል።
Cash Movements,የገንዘብ እንቅስቃሴዎች
Cash payment cannot be less than invoice total when partial payment is not allowed,በከፊል ክፍያ በማይፈቀድበት ጊዜ የጥሬ ገንዘብ ክፍያ ከጠቅላላ ደረሰኝ ያነሰ ሊሆን አይችልም።
Cash returned after payment,ገንዘብ ከተከፈለ በኋላ ተመልሷል
Cashier,ገንዘብ ተቀባይ
Cashier Access,ገንዘብ ተቀባይ መዳረሻ
Cashier identity and appearance preferences.,ገንዘብ ተቀባይ ማንነት እና መልክ ምርጫዎች።
Cashier PIN,ገንዘብ ተቀባይ ፒን
Cashier PIN saved successfully.,ገንዘብ ተቀባይ ፒን በተሳካ ሁኔታ ተቀምጧል።
Cashiers,ገንዘብ ተቀባዮች
Cashier-wise,ገንዘብ ተቀባይ-ጥበበኛ
Categories,ምድቦች
Category,ምድብ
Category / Brand / Variant Report,ምድብ / የምርት ስም / ተለዋጭ ሪፖርት
Category-wise,ምድብ-ጥበብ
Category-wise Margin,ምድብ-ጥበብ ህዳግ
Certificate,የምስክር ወረቀት
Certificate is missing or not trusted. QZ may show confirmation dialogs.,የምስክር ወረቀት ጠፍቷል ወይም አይታመንም። QZ የማረጋገጫ መገናኛዎችን ሊያሳይ ይችላል።
Certificate is trusted. Silent QZ printing is active.,የምስክር ወረቀት የታመነ ነው። ጸጥ ያለ QZ ማተም ገቢር ነው።
Change,ለውጥ
Change allocation repaired,ምደባ ተስተካክሏል።
Change Price,ዋጋ ቀይር
Change Return,መመለሻን ቀይር
Change Returned,ለውጥ ተመልሷል
Change terminal cashier,ተርሚናል ገንዘብ ተቀባይ ለውጥ
Charge Heads,ኃላፊዎች ክፍያ
Charges,ክፍያዎች
Charges not found,ክፍያዎች አልተገኙም።
Check Balance,ቀሪ ሂሳብን ያረጋግጡ
Check balance for any card. Supervisors can issue and top up cards here.,ለማንኛውም ካርድ ቀሪ ሂሳብን ያረጋግጡ። ተቆጣጣሪዎች እዚህ ካርዶችን ማውጣት እና መሙላት ይችላሉ.
Check balance only,ቀሪ ሂሳብን ብቻ ያረጋግጡ
Check for new commits,አዲስ ቁርጠኝነትን ያረጋግጡ
Check for Updates,ዝማኔዎችን ይመልከቱ
Check live balance before applying redemption,ማስመለስን ከመተግበሩ በፊት የቀጥታ ቀሪ ሒሳብን ያረጋግጡ
Check live balance before redemption,ከመቤዠት በፊት የቀጥታ ቀሪ ሒሳብን ያረጋግጡ
Checking...,በማጣራት ላይ...
Cheque/Reference Date,ቼክ/የማጣቀሻ ቀን
Cheque/Reference No,ቼክ/ማጣቀሻ ቁጥር
Choose the cashier currently operating this terminal.,በአሁኑ ጊዜ ይህንን ተርሚናል የሚሠራውን ገንዘብ ተቀባይ ይምረጡ።
City,ከተማ
Clear,ግልጽ
Clear All,ሁሉንም አጽዳ
Clear all barcode items,ሁሉንም የአሞሌ ኮድ ንጥሎችን ያጽዱ
Clear all purchase order items,ሁሉንም የግዢ ማዘዣ ዕቃዎች ያጽዱ
Clear Search,ፍለጋን አጽዳ
Clearing local cache...,የአካባቢ መሸጎጫ በማጽዳት ላይ...
Click to refresh,ለማደስ ጠቅ ያድርጉ
Client CPU Lag:,የደንበኛ ሲፒዩ መዘግየት፡
Client Memory Usage:,የደንበኛ ማህደረ ትውስታ አጠቃቀም፡-
Client Metrics,የደንበኛ መለኪያዎች
Close about dialog,ስለ ንግግር ዝጋ
Close cashier switcher,ገንዘብ ተቀባይ መቀየሪያን ዝጋ
Close closing shift dialog,የመዝጊያ ፈረቃ ንግግርን ዝጋ
Close column selector,የአምድ መራጭን ዝጋ
Close Dialog,መገናኛን ዝጋ
Close drafts dialog,የረቂቆች መገናኛን ዝጋ
Close invoice details dialog,የክፍያ መጠየቂያ ዝርዝሮች መገናኛን ዝጋ
Close invoice management,የክፍያ መጠየቂያ አስተዳደርን ዝጋ
Close offline invoices dialog,ከመስመር ውጭ የክፍያ መጠየቂያዎች መገናኛን ዝጋ
Close packing list dialog,የማሸጊያ ዝርዝር መገናኛን ዝጋ
Close returns dialog,የመመለሻ ንግግርን ዝጋ
Close sales orders dialog,የሽያጭ ትዕዛዞች መገናኛን ዝጋ
Close Scanner,ስካነርን ዝጋ
Close scanner dialog,የስካነር መገናኛን ዝጋ
Close Settings,ቅንብሮችን ዝጋ
Closing Amount,የመዝጊያ መጠን
Closing POS Shift,የ POS Shift መዝጋት
Closing Snapshot Available,የመዝጊያ ቅጽበታዊ ገጽ እይታ ይገኛል።
Code,ኮድ
Code scanned successfully,ኮድ በተሳካ ሁኔታ ተቃኝቷል።
COGS,COGS
Collapse item details,የንጥል ዝርዝሮችን ሰብስብ
Collected,ተሰብስቧል
Cols,ቆላስይስ
Columns,አምዶች
commits,ያደርጋል
Completed and active sales in this range,በዚህ ክልል ውስጥ የተጠናቀቁ እና ንቁ ሽያጮች
Completed returns will appear here.,የተጠናቀቁ ተመላሾች እዚህ ይታያሉ።
Confirm,አረጋግጥ
Confirm Close,መዝጋትን ያረጋግጡ
Confirm Mobile Number,የተንቀሳቃሽ ስልክ ቁጥር ያረጋግጡ
Confirm PIN,ፒን ያረጋግጡ
Connect,ተገናኝ
Connect printer and manage certificate,አታሚ ያገናኙ እና የምስክር ወረቀት ያቀናብሩ
Connecting to QZ Tray...,ከQZ Tray ጋር በመገናኘት ላይ...
Connection problem while submitting invoice,ደረሰኝ በሚያስገቡበት ጊዜ የግንኙነት ችግር
Connections:,ግንኙነቶች፡
Connectivity and cached prerequisite status were rechecked.,ግንኙነት እና የተሸጎጠ ቅድመ ሁኔታ ሁኔታ እንደገና ተረጋግጧል።
Continue Editing,ማረምዎን ይቀጥሉ
Could not fetch latest balance from server,የቅርብ ጊዜ ቀሪ ሂሳብ ከአገልጋይ ማምጣት አልተቻለም
Count,መቁጠር
Country,ሀገር
Coupon,ኩፖን
Coupons,ኩፖኖች
Cover,ሽፋን
CPU Cores:,ሲፒዩ ኮርሶች፡-
Create,ፍጠር
Create and load a new prepaid card,አዲስ የቅድመ ክፍያ ካርድ ይፍጠሩ እና ይጫኑ
Create and preload a new gift card,አዲስ የስጦታ ካርድ ይፍጠሩ እና አስቀድመው ይጫኑ
Create Bill,ቢል ፍጠር
Create Customer,ደንበኛ ይፍጠሩ
Create New Item,አዲስ ንጥል ይፍጠሩ
Create or change your PIN,የእርስዎን ፒን ይፍጠሩ ወይም ይቀይሩ
Create PIN,ፒን ይፍጠሩ
Create POS Opening Shift,የPOS መክፈቻ Shift ይፍጠሩ
Create Purchase Order,የግዢ ትዕዛዝ ይፍጠሩ
Create Return,ተመላሽ ፍጠር
Create return from invoice,ከክፍያ መጠየቂያ ተመላሽ ይፍጠሩ
Create Supplier,አቅራቢ ይፍጠሩ
Credit and Output,ብድር እና ውጤት
Credit Note,የብድር ማስታወሻ
Credit Outstanding,ክሬዲት የላቀ
Credit sales remaining to be collected,የክሬዲት ሽያጮች ለመሰብሰብ ይቀራሉ
Critical,ወሳኝ
Currency,ምንዛሪ
Current,የአሁኑ
Current Event Loop Lag:,የአሁኑ ክስተት መዘግየት፡-
Current Month,የአሁኑ ወር
Current PIN,የአሁኑ ፒን
Current Profile,የአሁኑ መገለጫ
Current redeemable value on the gift card,በስጦታ ካርዱ ላይ አሁን ሊመለስ የሚችል ዋጋ
Current User,የአሁኑ ተጠቃሚ
Custom,ብጁ
Custom Due Days,ብጁ የፍጻሜ ቀናት
Custom items per page,ብጁ እቃዎች በገጽ
Customer,ደንበኛ
Customer already selected,ደንበኛ አስቀድሞ ተመርጧል
Customer Balance,የደንበኛ ሚዛን
Customer balance unavailable offline,የደንበኛ ሒሳብ ከመስመር ውጭ አይገኝም
Customer created successfully.,ደንበኛ በተሳካ ሁኔታ ተፈጥሯል።
Customer creation failed.,ደንበኛ መፍጠር አልተሳካም።
Customer Details,የደንበኛ ዝርዝሮች
Customer display channel is missing,የደንበኛ ማሳያ ቻናል ጠፍቷል
Customer display was blocked. Please allow pop-ups for this site.,የደንበኛ ማሳያ ታግዷል። እባክዎ ለዚህ ጣቢያ ብቅ-ባዮችን ይፍቀዱ።
Customer group is required,የደንበኛ ቡድን ያስፈልጋል
Customer is required to add payment,ደንበኛው ክፍያ ለመጨመር ይጠየቃል።
Customer Name is required,የደንበኛ ስም ያስፈልጋል
Customer not selected,ደንበኛ አልተመረጠም።
Customer Report,የደንበኛ ሪፖርት
Customer saved offline,ደንበኛ ከመስመር ውጭ ተቀምጧል
Customer Screen,የደንበኛ ማያ ገጽ
Customer territory is required,የደንበኛ ክልል ያስፈልጋል
Customer updated successfully.,ደንበኛ በተሳካ ሁኔታ ዘምኗል።
Customer-facing tools and printer setup.,ደንበኛን የሚመለከቱ መሳሪያዎች እና የአታሚ ማዋቀር።
Customers,ደንበኞች
Customers not found,ደንበኞች አልተገኙም።
Daily cashier actions without scrolling.,ያለማሸብለል ዕለታዊ ገንዘብ ተቀባይ እርምጃዎች።
Daily Sales,ዕለታዊ ሽያጭ
Daily Sales Summary,ዕለታዊ የሽያጭ ማጠቃለያ
Data loaded in form. Review and submit.,በቅጹ ላይ የተጫነ ውሂብ. ይገምግሙ እና ያስገቡ።
Database Health,የውሂብ ጎታ ጤና
Database health affects overall system speed and reliability.,የውሂብ ጎታ ጤና አጠቃላይ የስርዓት ፍጥነት እና አስተማማኝነት ላይ ተጽዕኖ ያሳድራል።
Database Info,የውሂብ ጎታ መረጃ
Date,ቀን
Day ?,ቀን?
days,ቀናት
Day-wise (MTD),ቀን-ጥበብ (MTD)
Day-wise Movement,የቀን-ጥበብ እንቅስቃሴ
Dead Stock,የሞተ ክምችት
Dead Stock Items,የሞቱ እቃዎች
Decrease quantity,መጠን ቀንስ
Default,ነባሪ
Default:,ነባሪ፡
Delete,ሰርዝ
Delete cancelled cash movement {0}?,የተሰረዘ የገንዘብ እንቅስቃሴ {0} ይሰረዝ?
Delete Draft,ረቂቅ ሰርዝ
Delete draft invoice,ረቂቅ ደረሰኝ ሰርዝ
Delete draft invoice {0}?,ረቂቅ ደረሰኝ ይሰረዝ {0}?
Delete Invoice,ደረሰኝ ሰርዝ
Delete offline invoice,ከመስመር ውጭ ደረሰኝ ሰርዝ
Delivered,ደረሰ
Delivery Charges,የመላኪያ ክፍያዎች
Delivery Information,የመላኪያ መረጃ
Delivery Note {0} created,የማድረሻ ማስታወሻ {0} ተፈጥሯል።
Delivery note created,የማስረከቢያ ማስታወሻ ተፈጥሯል።
Deployed Bundle:,የተዘረጋ ቅርቅብ፡
Deposit,ተቀማጭ ገንዘብ
Description,መግለጫ
Detailed Supplier Breakdown,ዝርዝር የአቅራቢዎች ዝርዝር መግለጫ
Detecting formats:,ቅርጸቶችን በማግኘት ላይ፡
Device Memory:,የመሣሪያ ማህደረ ትውስታ፡
Difference,ልዩነት
Difference (In Company Currency),ልዩነት (በኩባንያው ምንዛሪ)
Disable offline mode first to recheck live connectivity.,የቀጥታ ግንኙነትን ለመፈተሽ መጀመሪያ ከመስመር ውጭ ሁነታን ያሰናክሉ።
Disconnect,ግንኙነት አቋርጥ
discount,ቅናሽ
Discount %,ቅናሽ %
Discount / Void / Return Report,ቅናሽ / ባዶነት / የመመለሻ ሪፖርት
Discount Amount,የቅናሽ መጠን
Discount limited by POS Profile,ቅናሽ በPOS መገለጫ የተገደበ
Discounted Invoices,ቅናሽ ደረሰኞች
Discounts,ቅናሾች
Dismiss,አሰናብት
Download Certificate,የምስክር ወረቀት አውርድ
Draft,ረቂቅ
Draft invoice deleted,ረቂቅ ደረሰኝ ተሰርዟል።
Draft source,ረቂቅ ምንጭ
Drafts,ረቂቆች
Due {0},የሚያበቃው {0}
Due Date,የማለቂያ ቀን
Duplicate,ማባዛት።
Edit customer,ደንበኛን ያርትዑ
Edit discount amount,የቅናሽ መጠንን ያርትዑ
Edit discount percentage,የቅናሽ መቶኛን ያርትዑ
Edit Gift Application,የስጦታ መተግበሪያን ያርትዑ
Edit item name,የንጥል ስም ያርትዑ
Edit quantity,ብዛትን ያርትዑ
Edit rate,መጠንን ያርትዑ
Edit unit of measure,የመለኪያ ክፍልን ያርትዑ
Edited,ተስተካክሏል።
Employee,ሰራተኛ
Enable background sync,የበስተጀርባ ማመሳሰልን አንቃ
Enable Customer Display in POS Profile first.,መጀመሪያ የደንበኛ ማሳያ በPOS መገለጫ ውስጥ አንቃ።
Enter a PIN.,ፒን አስገባ።
Enter a valid grams value,የሚሰራ ግራም እሴት ያስገቡ
Enter new price list rate,አዲስ የዋጋ ዝርዝር ተመን ያስገቡ
Enter Quantity,ብዛት ያስገቡ
Enter the cashier PIN to continue.,ለመቀጠል ገንዘብ ተቀባይ ፒን ያስገቡ።
Enter the current PIN first.,መጀመሪያ የአሁኑን ፒን ያስገቡ።
"Enter the current PIN, then choose a new one.",የአሁኑን ፒን ያስገቡ እና ከዚያ አዲስ ይምረጡ።
Enter valid grams for scale barcode,ለሚዛን ባርኮድ የሚሰራ ግራም ያስገቡ
Entries,ግቤቶች
Error accessing camera:,ካሜራ መድረስ ላይ ስህተት፡-
Error calculating prices,ዋጋዎችን በማስላት ላይ ስህተት
Error fetching customer balance,የደንበኛ ቀሪ ሒሳብ ማምጣት ላይ ስህተት
Error in change calculations!,በለውጥ ስሌት ላይ ስህተት!
Error Loading Data,ውሂብን መጫን ላይ ስህተት
Error loading invoice details,የክፍያ መጠየቂያ ዝርዝሮችን መጫን ላይ ስህተት
Error processing invoice,የክፍያ መጠየቂያ ሂደት ላይ ስህተት
Error processing payment,ክፍያን በማስኬድ ላይ ስህተት
Error searching invoices,ደረሰኞችን መፈለግ ላይ ስህተት
Error submitting invoice:,ደረሰኝ ማስገባት ላይ ስህተት፡-
Error submitting invoice: {0},ደረሰኝ ማስገባት ላይ ስህተት፡ {0}
Error submitting invoice: No response from server,ደረሰኝ ማስገባት ላይ ስህተት፡ ከአገልጋይ ምንም ምላሽ የለም።
Error updating currency,ምንዛሬን ማዘመን ላይ ስህተት
Error updating item details,የንጥል ዝርዝሮችን ማዘመን ላይ ስህተት
Est. Purchase,እ.ኤ.አ. ግዢ
Est. Value,እ.ኤ.አ. ዋጋ
Event-loop lag measures how busy your browser is. Lower is better.,የክስተት-ሉፕ መዘግየት አሳሽዎ ምን ያህል ስራ እንደበዛበት ይለካል። ዝቅ ማለት ይሻላል።
Every,እያንዳንዱ
Exchange Rate,የምንዛሬ ተመን
Expand item details,የንጥል ዝርዝሮችን ዘርጋ
Expected Amount (In Company Currency),የሚጠበቀው መጠን (በኩባንያው ምንዛሪ)
Expected Cash,የሚጠበቀው ጥሬ ገንዘብ
