POS Awesome,POS Úžasné
A POS supervisor is required for this action.,Na tento úkon je potrebný supervízor POS.
Access,Prístup
Account,účtu
Account is overdrawn,Účet je prečerpaný
Acknowledge the error to resume scanning,"Ak chcete pokračovať v skenovaní, potvrďte chybu"
Acknowledge the error to resume scanning.,"Ak chcete pokračovať v skenovaní, potvrďte chybu."
Across,Naprieč
Action,Akcia
Active sale,Aktívny predaj
add,pridať
Add items from the selector to start building this sale.,"Ak chcete začať vytvárať tento výpredaj, pridajte položky zo selektora."
Add more value to an existing gift card,Pridajte väčšiu hodnotu existujúcej darčekovej karte
Add New Address,Pridať novú adresu
Add new customer,Pridať nového zákazníka
Add on New Line,Pridať na novom riadku
Add Payment,Pridať platbu
Add payment to invoice,Pridajte platbu k faktúre
Add/Edit Coupon Conditions,Pridať/upraviť podmienky kupónu
Additional Discount,Dodatočná zľava
Additional Discount %,Dodatočná zľava %
Address Line 1,1. riadok adresy
Address not found,Adresa sa nenašla
Adjust the quantity or enable negative stock to continue.,"Ak chcete pokračovať, upravte množstvo alebo povoľte záporné zásoby."
Adjustment,Úprava
After returns,Po návratoch
Against,Proti
Against Name,Proti Menu
Age Bracket,Veková zátvorka
All,Všetky
All Caught Up!,Všetko zachytené!
All invoices are synchronized,Všetky faktúry sú synchronizované
All pending invoices are up to date,Všetky čakajúce faktúry sú aktuálne
All Profiles,Všetky profily
All Synchronized,Všetko synchronizované
All visible invoices are fully settled.,Všetky viditeľné faktúry sú plne uhradené.
All Warehouses,Všetky sklady
Allowed UOM is {0},Povolená MJ je {0}
Always fetch items from server (ignore local cache),Vždy načítať položky zo servera (ignorovať lokálnu vyrovnávaciu pamäť)
Amount,Suma
Amount already received,Suma už prijatá
Amount exceeds profile cash movement max amount.,Suma presahuje maximálnu sumu pohybu hotovosti profilu.
Amount must be greater than zero.,Suma musí byť väčšia ako nula.
Amount received from customer,Suma prijatá od zákazníka
Appearance and user-level preferences for the current session.,Vzhľad a preferencie na úrovni používateľa pre aktuálnu reláciu.
Applied,Aplikované
Apply,Použiť
Apply Gift Card,Použiť darčekovú kartu
Apply Offer,Použiť ponuku
Apply On,Použiť na
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,"Na túto faktúru uveďte iba sumu, ktorú chcete uplatniť. Zvyšný zostatok zostáva na karte."
Apply Redemption,Použiť vyplatenie
Applying,Uplatňuje sa
Apps,Aplikácie
Are you sure you want to close? All entered data will be lost.,Naozaj chcete zatvoriť? Všetky zadané údaje sa stratia.
Attributes (Size/Color),Vlastnosti (veľkosť/farba)
Auto Allocate Payment Amount,Automaticky prideliť sumu platby
Auto Reconcile,Automatické zosúladenie
Auto reconciliation completed after payment submit.,Automatické vyrovnanie dokončené po odoslaní platby.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Automatické vyrovnanie bolo dokončené. Pridelené: {0}{1}. Zostávajúce nevybavené: {0}{2}.
Available Actions,Dostupné akcie
Available QTY,Dostupné množstvo
Available:,K dispozícii:
Average Basket,Priemerný košík
Average Bill,Priemerný účet
Average Ticket,Priemerný lístok
Avg Bill,Priemerný účet
Avg Invoice,Priem. faktúra
Avg Invoice Profit,Priemerný zisk z faktúry
Avg Invoice Value,Priemerná hodnota faktúry
Avg Purchase Frequency,Priem. frekvencia nákupu
Awesome,úžasné
Awesome Dashboard,Úžasný informačný panel
Awesome Dashboard is disabled for the selected POS Profile.,Awesome Dashboard je zakázaný pre vybraný profil POS.
Awesome Dashboard is unavailable for the selected scope.,Awesome Dashboard nie je k dispozícii pre vybratý rozsah.
Awesome Dashboard is visible only to POS supervisors.,Awesome Dashboard je viditeľný iba pre vedúcich POS.
Back,Späť
Back Office Cash Account,Hotovostný účet Back Office
Back Office Cash Account (Optional Override),Hotovostný účet Back Office (voliteľné prepísanie)
Back office cash account is required.,Vyžaduje sa hotovostný účet v back office.
Back to {0},Späť na {0}
Background processing did not finish in time.,Spracovanie na pozadí sa neskončilo včas.
Background processing failed for Invoice {0}: {1},Spracovanie na pozadí pre faktúru č. {0} zlyhalo: {1}
Background Submission Failed,Odoslanie pozadia zlyhalo
Background sync interval (seconds),Interval synchronizácie na pozadí (sekundy)
Balance,Zostatok
Balance will be updated when connection is restored,Zostatok sa aktualizuje po obnovení pripojenia
Balances still pending,Zostatky stále čakajúce
Barcode,Čiarový kód
Barcode / QR Ready,Čiarový kód / QR pripravený
Barcode Label Printing,Tlač štítkov s čiarovým kódom
Base Paid:,Základné platené:
Base Recv:,Base Recv:
Base:,základňa:
Basic Information,Základné informácie
Batch,Dávka
Batch Information,Informácie o šarži
Before any return workflow,Pred akýmkoľvek návratovým pracovným postupom
Before returns,Pred návratmi
Best Day,Najlepší deň
Best Seller,Najpredávanejší
Book expense or deposit from active shift.,Zaúčtovať výdavok alebo zálohu z aktívnej zmeny.
Branch / Location-wise Report,Správa o pobočke/mieste
Brand-wise,Značkovo
Breakdown,Členenie
Browse,Prehľadávať
Build Time:,Čas zostavenia:
Built with Frappe,Postavené pomocou Frappe
Bundle,Bundle
Buying Price,Nákupná cena
Cache cleared successfully,Vyrovnávacia pamäť bola úspešne vymazaná
Cache Usage,Využitie vyrovnávacej pamäte
cache used,použitá vyrovnávacia pamäť
Calculating...,Prebieha výpočet...
Camera Access Required,Vyžaduje sa prístup k fotoaparátu
Camera access was aborted. Please try again.,Prístup k fotoaparátu bol prerušený. Skúste to znova.
Camera constraints not supported by your device. Trying fallback settings...,Obmedzenia fotoaparátu nie sú podporované vaším zariadením. Skúšajú sa záložné nastavenia...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,Kamera je zaneprázdnená alebo zablokovaná inou aplikáciou/kartou. Zatvorte ostatné aplikácie fotoaparátu a skúste to znova.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,Povolenie fotoaparátu bolo zamietnuté. Povoľte prístup k fotoaparátu v nastaveniach prehliadača a obnovte stránku.
Camera scanner is locked until the current error is acknowledged,"Skener fotoaparátu je uzamknutý, kým sa nepotvrdí aktuálna chyba"
Camera started but the video stream did not load in time. Please try again.,"Kamera sa spustila, ale stream videa sa nenačítal včas. Skúste to znova."
Cancel cash movement {0}?,Zrušiť pohyb hotovosti {0}?
Cancel Payment,Zrušiť platbu
Cancel Sale,Zrušiť predaj
Cancel Sale ?,Zrušiť predaj?
Cancelled,Zrušené
Cannot add an item with zero or negative quantity.,Nie je možné pridať položku s nulovým alebo záporným množstvom.
Cannot clear cache while offline,V režime offline nie je možné vymazať vyrovnávaciu pamäť
Cannot redeem customer credit more than invoice total,"Zákaznícky kredit nie je možné uplatniť viac, ako je celková suma faktúry"
Cannot redeem gift cards more than invoice total,"Nie je možné uplatniť viac darčekových kariet, ako je celková suma faktúry"
Cannot Save Offline Invoice:,Nemožno uložiť offline faktúru:
Cannot Save Offline Payment:,Nemožno uložiť platbu offline:
Card,kard
Card / Online,Karta / Online
Card health after the last live lookup,Stav karty po poslednom živom vyhľadávaní
Cards,karty
Cart,Košík
Cash,Hotovosť
Cash back to customers,Hotovosť späť zákazníkom
Cash Collections,Peňažné zbierky
Cash Deposit is disabled for this POS Profile.,Vklad v hotovosti je pre tento profil POS zakázaný.
Cash Drawer Snapshot,Snímka pokladničnej zásuvky
Cash In Hand,Hotovosť na ruku
Cash Movement,Pohyb hotovosti
Cash movement cancelled,Pohyb hotovosti bol zrušený
Cash movement deduction applied,Uplatnený odpočet z pohybu hotovosti
Cash movement deleted,Peňažný pohyb vymazaný
Cash movement is disabled for this POS Profile.,Pre tento profil POS je pohyb hotovosti zakázaný.
Cash Movement is disabled in current POS Profile.,Pohyb hotovosti je v aktuálnom profile POS zakázaný.
Cash movement saved offline,Peňažný pohyb uložený offline
Cash movement submitted,Hotovostný pohyb odovzdaný
Cash Movements,Peňažné pohyby
Cash payment cannot be less than invoice total when partial payment is not allowed,"Ak nie je povolená čiastočná platba, platba v hotovosti nemôže byť nižšia ako celková suma faktúry"
Cash returned after payment,Hotovosť vrátená po zaplatení
Cashier,Pokladník
Cashier Access,Prístup k pokladni
Cashier identity and appearance preferences.,Identita pokladníka a preferencie vzhľadu.
Cashier PIN,PIN pokladníka
Cashier PIN saved successfully.,PIN pokladníka bol úspešne uložený.
Cashiers,Pokladníci
Cashier-wise,Pokladnične
Categories,kategórie
Category,Kategória
Category / Brand / Variant Report,Prehľad kategórie / značky / variantu
Category-wise,Podľa kategórií
Category-wise Margin,Marža podľa kategórií
Certificate,Certifikát
Certificate is missing or not trusted. QZ may show confirmation dialogs.,Certifikát chýba alebo nie je dôveryhodný. QZ môže zobraziť dialógové okno s potvrdením.
Certificate is trusted. Silent QZ printing is active.,Certifikát je dôveryhodný. Tichá tlač QZ je aktívna.
Change,Zmeniť
Change allocation repaired,Pridelenie zmeny opravené
Change Price,Zmeniť cenu
Change Return,Zmeniť návrat
Change Returned,Zmena vrátená
Change terminal cashier,Zmeňte pokladníka na termináli
Charge Heads,Nabíjacie hlavy
Charges,Poplatky
Charges not found,Poplatky sa nenašli
Check Balance,Skontrolujte zostatok
Check balance for any card. Supervisors can issue and top up cards here.,Skontrolujte zostatok na ľubovoľnej karte. Dozorcovia tu môžu vydávať a dobíjať karty.
Check balance only,Skontrolujte iba zostatok
Check for new commits,Skontrolujte nové odovzdania
Check for Updates,Skontrolujte aktualizácie
Check live balance before applying redemption,Pred uplatnením vyplatenia skontrolujte aktuálny zostatok
Check live balance before redemption,Pred uplatnením skontrolujte aktuálny zostatok
Checking...,Prebieha kontrola...
Cheque/Reference Date,Šek/Referenčný dátum
Cheque/Reference No,Šek/Referenčné číslo
Choose the cashier currently operating this terminal.,"Vyberte pokladníka, ktorý práve obsluhuje tento terminál."
City,Mesto
Clear,Jasné
Clear All,Vymazať všetko
Clear all barcode items,Vymažte všetky položky čiarového kódu
Clear all purchase order items,Vymažte všetky položky nákupnej objednávky
Clear Search,Vymazať vyhľadávanie
Clearing local cache...,Vymazáva sa lokálna vyrovnávacia pamäť...
Click to refresh,Kliknutím obnovíte
Client CPU Lag:,Oneskorenie CPU klienta:
Client Memory Usage:,Využitie pamäte klienta:
Client Metrics,Klientské metriky
Close about dialog,Zavrieť dialógové okno s informáciami
Close cashier switcher,Zatvorte pokladničný prepínač
Close closing shift dialog,Zatvorte dialógové okno zatvárania posunu
Close column selector,Zavrieť výber stĺpcov
Close Dialog,Zavrieť dialógové okno
Close drafts dialog,Zavrieť dialógové okno konceptov
Close invoice details dialog,Zatvorte dialógové okno podrobností faktúry
Close invoice management,Zatvorte správu faktúr
Close offline invoices dialog,Zatvorte dialógové okno offline faktúr
Close packing list dialog,Zatvorte dialógové okno zoznamu balíkov
Close returns dialog,Zavrieť dialógové okno vrátenia
Close sales orders dialog,Zatvorte dialógové okno predajných objednávok
Close Scanner,Zatvorte skener
Close scanner dialog,Zatvorte dialógové okno skenera
Close Settings,Zatvorte Nastavenia
Closing Amount,Záverečná suma
Closing POS Shift,Zatváranie POS Shift
Closing Snapshot Available,K dispozícii je záverečná snímka
Code,kód
Code scanned successfully,Kód bol úspešne naskenovaný
COGS,COGS
Collapse item details,Zbaliť podrobnosti položky
Collected,Zozbierané
Cols,plk
Columns,Stĺpce
commits,zaväzuje
Completed and active sales in this range,Dokončený a aktívny predaj v tomto sortimente
Completed returns will appear here.,Tu sa zobrazia dokončené návratky.
Confirm,Potvrďte
Confirm Close,Potvrďte Zavrieť
Confirm Mobile Number,Potvrďte mobilné číslo
Confirm PIN,Potvrďte PIN
Connect,Pripojte sa
Connect printer and manage certificate,Pripojte tlačiareň a spravujte certifikát
Connecting to QZ Tray...,Pripája sa k zásobníku QZ...
Connection problem while submitting invoice,Problém s pripojením pri odosielaní faktúry
Connections:,Spojenia:
Connectivity and cached prerequisite status were rechecked.,Pripojiteľnosť a stav predpokladov vo vyrovnávacej pamäti boli znova skontrolované.
Continue Editing,Pokračujte v úpravách
Could not fetch latest balance from server,Nepodarilo sa načítať najnovší zostatok zo servera
Count,počítať
Country,Krajina
Coupon,kupón
Coupons,kupóny
Cover,Kryt
CPU Cores:,Jadrá CPU:
Create,Vytvorte
Create and load a new prepaid card,Vytvorte a nahrajte novú predplatenú kartu
Create and preload a new gift card,Vytvorte a vopred nahrajte novú darčekovú kartu
Create Bill,Vytvor účet
Create Customer,Vytvoriť zákazníka
Create New Item,Vytvoriť novú položku
Create or change your PIN,Vytvorte alebo zmeňte svoj PIN
Create PIN,Vytvorte PIN
Create POS Opening Shift,Vytvorenie otváracej zmeny POS
Create Purchase Order,Vytvoriť objednávku
Create Return,Vytvorte návrat
Create return from invoice,Vytvorte návratku z faktúry
Create Supplier,Vytvoriť dodávateľa
Credit and Output,Kredit a výstup
Credit Note,Dobropis
Credit Outstanding,Nesplatený úver
Credit sales remaining to be collected,Zostáva vyzdvihnúť predaj kreditov
Critical,Kritické
Currency,mena
Current,Aktuálne
Current Event Loop Lag:,Oneskorenie aktuálnej udalosti:
Current Month,Aktuálny mesiac
Current PIN,Aktuálny PIN
Current Profile,Aktuálny profil
Current redeemable value on the gift card,Aktuálna hodnota na darčekovej karte
Current User,Aktuálny používateľ
Custom,Vlastné
Custom Due Days,Vlastné dni splatnosti
Custom items per page,Vlastné položky na stránku
Customer,Zákazník
Customer already selected,Zákazník si už vybral
Customer Balance,Zostatok zákazníkov
Customer balance unavailable offline,Zostatok zákazníka nie je k dispozícii offline
Customer created successfully.,Zákazník bol úspešne vytvorený.
Customer creation failed.,Vytvorenie zákazníka zlyhalo.
Customer Details,Podrobnosti o zákazníkovi
Customer display channel is missing,Chýba kanál zobrazenia zákazníka
Customer display was blocked. Please allow pop-ups for this site.,Zákaznícky displej bol zablokovaný. Povoľte kontextové okná pre túto stránku.
Customer group is required,Vyžaduje sa skupina zákazníkov
Customer is required to add payment,Zákazník je povinný pridať platbu
Customer Name is required,Meno zákazníka je povinné
Customer not selected,Zákazník nebol vybratý
Customer Report,Zákaznícka správa
Customer saved offline,Zákazník bol uložený offline
Customer Screen,Zákaznícka obrazovka
Customer territory is required,Vyžaduje sa územie zákazníka
Customer updated successfully.,Zákazník bol úspešne aktualizovaný.
Customer-facing tools and printer setup.,Nástroje pre zákazníka a nastavenie tlačiarne.
Customers,zákazníkov
Customers not found,Zákazníci sa nenašli
Daily cashier actions without scrolling.,Denné pokladničné akcie bez rolovania.
Daily Sales,Denný predaj
Daily Sales Summary,Denný súhrn predaja
Data loaded in form. Review and submit.,Údaje načítané vo forme. Skontrolujte a odošlite.
Database Health,Zdravie databázy
Database health affects overall system speed and reliability.,Stav databázy ovplyvňuje celkovú rýchlosť a spoľahlivosť systému.
Database Info,Informácie o databáze
Date,Dátum
Day ?,deň?
days,dní
Day-wise (MTD),Denne (MTD)
Day-wise Movement,Denný pohyb
Dead Stock,Dead Stock
Dead Stock Items,Mŕtve skladové položky
Decrease quantity,Znížte množstvo
Default,Predvolené
Default:,Predvolená hodnota:
Delete,Odstrániť
Delete cancelled cash movement {0}?,Odstrániť zrušený peňažný pohyb {0}?
Delete Draft,Odstrániť koncept
Delete draft invoice,Odstrániť návrh faktúry
Delete draft invoice {0}?,Chcete odstrániť návrh faktúry {0}?
Delete Invoice,Vymazať faktúru
Delete offline invoice,Odstrániť offline faktúru
Delivered,Doručené
Delivery Charges,Poplatky za doručenie
Delivery Information,Informácie o doručení
Delivery Note {0} created,Bol vytvorený dodací list {0}
Delivery note created,Dodací list vytvorený
Deployed Bundle:,Nasadený balík:
Deposit,Záloha
Description,Popis
Detailed Supplier Breakdown,Podrobný rozpis dodávateľov
Detecting formats:,Detekcia formátov:
Device Memory:,Pamäť zariadenia:
Difference,Rozdiel
Difference (In Company Currency),Rozdiel (v mene spoločnosti)
Disable offline mode first to recheck live connectivity.,"Ak chcete znova skontrolovať živé pripojenie, najskôr vypnite režim offline."
Disconnect,Odpojiť
discount,zľava
Discount %,zľava %
Discount / Void / Return Report,Správa o zľave / neplatnosť / vrátenie
Discount Amount,Výška zľavy
Discount limited by POS Profile,Zľava obmedzená profilom POS
Discounted Invoices,Zľavnené faktúry
Discounts,zľavy
Dismiss,Odmietnuť
Download Certificate,Stiahnite si certifikát
Draft,Návrh
Draft invoice deleted,Koncept faktúry bol odstránený
Draft source,Zdroj konceptu
Drafts,Koncepty
Due {0},Termín: {0}
Due Date,Dátum splatnosti
Duplicate,Duplicitné
Edit customer,Upraviť zákazníka
Edit discount amount,Upravte výšku zľavy
Edit discount percentage,Upraviť percento zľavy
Edit Gift Application,Upraviť žiadosť o darček
Edit item name,Upravte názov položky
Edit quantity,Upraviť množstvo
Edit rate,Upraviť sadzbu
Edit unit of measure,Upraviť mernú jednotku
Edited,Upravené
Employee,zamestnanec
Enable background sync,Povoliť synchronizáciu na pozadí
Enable Customer Display in POS Profile first.,Najprv povoľte zobrazenie zákazníka v profile POS.
Enter a PIN.,Zadajte kód PIN.
Enter a valid grams value,Zadajte platnú hodnotu v gramoch
Enter new price list rate,Zadajte novú cenníkovú sadzbu
Enter Quantity,Zadajte Množstvo
Enter the cashier PIN to continue.,"Ak chcete pokračovať, zadajte PIN pokladníka."
Enter the current PIN first.,Najprv zadajte aktuálny PIN.
"Enter the current PIN, then choose a new one.",Zadajte aktuálny PIN a potom vyberte nový.
Enter valid grams for scale barcode,Pre čiarový kód váhy zadajte platné gramy
Entries,Príspevky
Error accessing camera:,Chyba pri prístupe k fotoaparátu:
Error calculating prices,Chyba pri výpočte cien
Error fetching customer balance,Chyba pri načítavaní zostatku zákazníka
Error in change calculations!,Chyba vo výpočtoch zmeny!
Error Loading Data,Chyba pri načítavaní údajov
Error loading invoice details,Chyba pri načítavaní podrobností faktúry
Error processing invoice,Chyba pri spracovaní faktúry
Error processing payment,Chyba pri spracovaní platby
Error searching invoices,Chyba pri vyhľadávaní faktúr
Error submitting invoice:,Chyba pri odosielaní faktúry:
Error submitting invoice: {0},Chyba pri odosielaní faktúry: {0}
Error submitting invoice: No response from server,Chyba pri odosielaní faktúry: Žiadna odpoveď zo servera
Error updating currency,Chyba pri aktualizácii meny
Error updating item details,Chyba pri aktualizácii podrobností položky
Est. Purchase,Odhad. Nákup
Est. Value,Odhad. Hodnota
Event-loop lag measures how busy your browser is. Lower is better.,"Oneskorenie slučky udalostí meria, ako je váš prehliadač zaneprázdnený. Nižšie je lepšie."
Every,Každý
Exchange Rate,Výmenný kurz
Expand item details,Rozbaliť podrobnosti položky
Expected Amount (In Company Currency),Očakávaná suma (v mene spoločnosti)
Expected Cash,Očakávaná hotovosť
Expected cash on hand grouped by currency,Očakávaná hotovosť v pokladni zoskupená podľa meny
Expected vs Actual,Očakávané vs. skutočné
Expense,Výdavok
Expense Account (Optional Override),Výdavkový účet (voliteľné prepísanie)
Expense account is required.,Vyžaduje sa výdavkový účet.
Expenses and deposits posted during this shift,Výdavky a vklady zaúčtované počas tejto zmeny
Expired,Platnosť vypršala
Failed to auto reconcile payments.,Nepodarilo sa automaticky vyrovnať platby.
Failed to cancel cash movement,Nepodarilo sa zrušiť pohyb hotovosti
Failed to clear cache,Vymazanie vyrovnávacej pamäte zlyhalo
Failed to create item,Položku sa nepodarilo vytvoriť
Failed to create supplier,Nepodarilo sa vytvoriť dodávateľa
Failed to delete cash movement,Nepodarilo sa odstrániť pohyb hotovosti
Failed to generate scale barcode. Using item barcode only.,Nepodarilo sa vygenerovať čiarový kód váhy. Iba pomocou čiarového kódu položky.
Failed to load cash movement context.,Nepodarilo sa načítať kontext pohybu hotovosti.
Failed to load dashboard data.,Nepodarilo sa načítať údaje informačného panela.
Failed to reload invoice from server,Zlyhalo opätovné načítanie faktúry zo servera
Failed to submit cash movement,Nepodarilo sa odoslať hotovostný pohyb
Failed to sync offline cash movements,Synchronizácia offline peňažných pohybov zlyhala
Fast cashier actions for active shifts.,Rýchle akcie pokladníka pre aktívne zmeny.
Fast Moving Items,Rýchlo sa pohybujúce položky
Fees,Poplatky
Fetch the latest offline prerequisite updates,Získajte najnovšie aktualizácie nevyhnutných podmienok offline
Find a sales order quickly and load it into the current sale.,Rýchlo vyhľadajte objednávku odberateľa a načítajte ju do aktuálneho predaja.
Fixing payment amounts for return invoice...,Opravujú sa sumy platieb pre vrátenú faktúru...
Flash Off,Blesk vypnutý
Flash On,Blesk zapnutý
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","Pri položkách 'Produktový balík', Sklad, sériové číslo a číslo šarže sa budú brať do úvahy z tabuľky 'Baliaci zoznam'. Ak sú číslo skladu a číslo šarže rovnaké pre všetky položky balenia pre ktorúkoľvek položku z balíka produktov, tieto hodnoty možno zadať do hlavnej tabuľky položiek; hodnoty sa skopírujú do tabuľky 'Packing List'."
Free,Zadarmo
Free Qty,Voľné množstvo
Frequency,Frekvencia
from,od
From Date,Od dátumu
Fulfillment Details,Podrobnosti o plnení
Full Name,Celé meno
Gain,Získať
Generate a fresh prepaid card and start it with an opening balance.,Vygenerujte novú predplatenú kartu a spustite ju s počiatočným zostatkom.
Generate and install the certificate to allow fully silent printing without trust prompts.,"Vygenerujte a nainštalujte certifikát, aby ste umožnili úplne tichú tlač bez výziev na dôveru."
Generate Certificate,Vygenerovať certifikát
Generated scale barcode: {0},Vygenerovaný čiarový kód váhy: {0}
Get Payments,Získajte platby
Gift Card,Darčeková karta
Gift card amount must be greater than zero.,Suma darčekovej karty musí byť väčšia ako nula.
Gift Card Code,Kód darčekovej karty
Gift card code is required for redemption,Na uplatnenie je potrebný kód darčekovej karty
Gift card code is required.,Vyžaduje sa kód darčekovej karty.
Gift card issued successfully.,Darčeková karta bola úspešne vydaná.
Gift card loaded successfully.,Darčeková karta bola úspešne načítaná.
Gift Card Management,Správa darčekových kariet
Gift card payment,Platba darčekovou kartou
Gift card redemption requires an online connection,Na uplatnenie darčekovej karty je potrebné online pripojenie
Gift card topped up successfully.,Darčeková karta bola úspešne nabitá.
Gift Cards,Darčekové poukážky
Go to Frappe Desk,Prejdite na Frappe Desk
Grand Total,Celkový súčet
Gross Margin,Hrubá marža
Gross Profit,Hrubý zisk
Gross Sales,Hrubý predaj
Group not found,Skupina sa nenašla
"Grouped controls for terminal, UI, and session settings.","Zoskupené ovládacie prvky pre nastavenia terminálu, používateľského rozhrania a relácie."
Grouped totals for each payment method and currency,Zoskupené súčty pre každý spôsob platby a menu
Hide,Skryť
Hide Gift Card,Skryť darčekovú kartu
Hide Non Essential Fields,Skryť nepodstatné polia
Hide quantity decimals,Skryť počet desatinných miest
Hide search tools,Skryť vyhľadávacie nástroje
Hide zero rated items,Skryť položky s nulovým hodnotením
High,Vysoká
History,História
Hourly (Today),Každú hodinu (dnes)
How this section works,Ako táto sekcia funguje
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","Ak zostanú zastarané údaje, otvorte Nastavenia > Offline a synchronizácia a znova spustite Obnovenie údajov offline, kým ste online."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","Ak varovanie pretrváva, otvorte Nastavenia > Offline a synchronizácia a potom spustite Obnovenie údajov offline alebo Obnovenie údajov offline."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,Importujte certifikát do zásobníka QZ a reštartujte zásobník QZ na každom POS stroji.
In,In
In stock: {0},Na sklade: {0}
Include Batch / Serial,Zahrnúť dávku / sériové číslo
Include Price,Zahrnúť cenu
Increase quantity,Zvýšte množstvo
IndexedDB,IndexovanáDB
Initial Amount,Počiatočná suma
Initialize your shift with opening balances,Inicializujte svoju zmenu počiatočnými zostatkami
Initializing application...,Inicializuje sa aplikácia...
"Inspect cache, sync, and prerequisite status","Skontrolujte vyrovnávaciu pamäť, synchronizáciu a stav predpokladov"
Installed Applications,Nainštalované aplikácie
Insufficient stock:\n{0},Nedostatočné zásoby:\n{0}
Invalid rate,Neplatná sadzba
Inventory Status Report,Správa o stave zásob
Invoice,Faktúra
Invoice {0} is Submitted,Faktúra {0} je odoslaná
Invoice {0} processed successfully,Faktúra {0} bola úspešne spracovaná
Invoice {0} submission failed,Odoslanie faktúry {0} zlyhalo
Invoice {0} was already submitted,Faktúra {0} už bola odoslaná
Invoice Adjustments,Úpravy faktúr
Invoice Change,Zmena faktúry
Invoice Details,Podrobnosti o faktúre
Invoice is still in draft after background submission.,Po odoslaní na pozadí je faktúra stále v koncepte.
Invoice Items,Fakturačné položky
Invoice Management,Správa faktúr
Invoice Mgmt,Faktúra Mgmt
Invoice saved offline,Faktúra bola uložená offline
Invoice submission failed,Odoslanie faktúry zlyhalo
Invoice Submitted,Faktúra odoslaná
"Invoice value settled by loyalty points, not cash collection","Hodnota faktúry sa uhrádza vernostnými bodmi, nie inkasom hotovosti"
Invoices,faktúry
Invoices already past due date,Faktúry sú už po splatnosti
Invoices saved as POS Invoices,Faktúry uložené ako POS faktúry
Invoices still carrying balances,Faktúry stále obsahujú zostatky
Issue Mode,Režim vydania
Issue New Card,Vydanie novej karty
Issue Workflow,Vydanie pracovného postupu
"Issue, top up, and check","Vydajte, doplňte a skontrolujte"
Item,Položka
Item / Product Sales Report,Správa o predaji položky / produktu
Item {0} added to invoice,Položka {0} bola pridaná do faktúry
Item '{0}' has no barcode,Položka '{0}' nemá čiarový kód
Item Code,Kód položky
Item created successfully,Položka bola úspešne vytvorená
Item is out of stock,Tovar je vypredaný
Item Name,Názov položky
Item not found,Položka sa nenašla
Item order updated,Objednávka položiek bola aktualizovaná
Item Selector Settings,Nastavenia výberu položiek
Items,Položky
Items added in POS will appear here automatically.,Položky pridané do POS sa tu objavia automaticky.
Items added to invoice,Položky pridané na faktúru
Items per page,Položky na stránku
Items Sold,Predané položky
Items/Invoice,Položky/Faktúra
