POS Awesome,พีเอส สุดเจ๋ง
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} มีเพียง {1} ในสต็อก คุณร้องขอ {2} ปรับปริมาณหรือเติมสต็อก
{0} offline invoice{1} pending,{0} ใบแจ้งหนี้ออฟไลน์{1} รอดำเนินการ
{0} offline invoice{1} saved as draft,{0} ใบแจ้งหนี้ออฟไลน์{1} บันทึกเป็นฉบับร่างแล้ว
{0} offline invoice{1} synced,ซิงค์ {0} ใบแจ้งหนี้ออฟไลน์{1} แล้ว
{0}: {1} {2},{0}: {1} {2}
{0}d ago,{0}ที่ผ่านมา
{0}h ago,{0}ชม.แล้ว
{0}m ago,{0}ม.ที่แล้ว
A POS supervisor is required for this action.,จำเป็นต้องมีผู้ดูแล POS สำหรับการดำเนินการนี้
Access,การเข้าถึง
Account,บัญชี
Account is overdrawn,บัญชีถูกถอนออกมากเกินไป
Acknowledge the error to resume scanning,รับทราบข้อผิดพลาดเพื่อทำการสแกนต่อ
Acknowledge the error to resume scanning.,รับทราบข้อผิดพลาดเพื่อทำการสแกนต่อ
Across,ข้าม
Action,การดำเนินการ
Active sale,การขายที่ใช้งานอยู่
add,เพิ่ม
Add items from the selector to start building this sale.,เพิ่มรายการจากตัวเลือกเพื่อเริ่มสร้างการลดราคานี้
Add more value to an existing gift card,เพิ่มมูลค่าให้กับบัตรของขวัญที่มีอยู่
Add New Address,เพิ่มที่อยู่ใหม่
Add new customer,เพิ่มลูกค้าใหม่
Add on New Line,เพิ่มในบรรทัดใหม่
Add Payment,เพิ่มการชำระเงิน
Add payment to invoice,เพิ่มการชำระเงินลงในใบแจ้งหนี้
Add/Edit Coupon Conditions,เพิ่ม/แก้ไขเงื่อนไขคูปอง
Additional Discount,ส่วนลดเพิ่มเติม
Additional Discount %,ส่วนลดเพิ่มเติม %
Address Line 1,ที่อยู่บรรทัดที่ 1
Address not found,ไม่พบที่อยู่
Adjust the quantity or enable negative stock to continue.,ปรับปริมาณหรือเปิดใช้งานสต็อคติดลบเพื่อดำเนินการต่อ
Adjustment,การปรับ
After returns,หลังจากกลับมา
Against,ต่อต้าน
Against Name,ต่อต้านชื่อ
Age Bracket,วงเล็บอายุ
All,ทั้งหมด
All Caught Up!,ตามทันแล้ว!
All invoices are synchronized,ใบแจ้งหนี้ทั้งหมดจะถูกซิงโครไนซ์
All pending invoices are up to date,ใบแจ้งหนี้ที่รอดำเนินการทั้งหมดเป็นข้อมูลล่าสุด
All Profiles,โปรไฟล์ทั้งหมด
All Synchronized,ซิงโครไนซ์ทั้งหมด
All visible invoices are fully settled.,ใบแจ้งหนี้ที่มองเห็นทั้งหมดได้รับการชำระครบถ้วนแล้ว
All Warehouses,โกดังทั้งหมด
Allowed UOM is {0},หน่วยที่อนุญาตคือ {0}
Always fetch items from server (ignore local cache),ดึงรายการจากเซิร์ฟเวอร์เสมอ (ละเว้นแคชในเครื่อง)
Amount,จำนวน
Amount already received,จำนวนเงินที่ได้รับแล้ว
Amount exceeds profile cash movement max amount.,จำนวนเงินเกินจำนวนเงินสูงสุดในการเคลื่อนย้ายเงินสดของโปรไฟล์
Amount must be greater than zero.,จำนวนเงินต้องมากกว่าศูนย์
Amount received from customer,จำนวนเงินที่ได้รับจากลูกค้า
Appearance and user-level preferences for the current session.,ลักษณะที่ปรากฏและการตั้งค่าระดับผู้ใช้สำหรับเซสชันปัจจุบัน
Applied,ประยุกต์แล้ว
Apply,สมัคร
Apply Gift Card,สมัครบัตรของขวัญ
Apply Offer,สมัครข้อเสนอ
Apply On,สมัครบน
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,ใช้เฉพาะจำนวนเงินที่คุณต้องการแลกในใบแจ้งหนี้นี้ ยอดคงเหลือจะยังคงอยู่ในบัตร
Apply Redemption,ใช้การไถ่ถอน
Applying,กำลังสมัคร
Apps,แอพ
Are you sure you want to close? All entered data will be lost.,คุณแน่ใจหรือไม่ว่าต้องการปิด? ข้อมูลที่ป้อนทั้งหมดจะหายไป
Attributes (Size/Color),คุณสมบัติ (ขนาด/สี)
Auto Allocate Payment Amount,จัดสรรจำนวนเงินที่ชำระอัตโนมัติ
Auto Reconcile,ปรับยอดอัตโนมัติ
Auto reconciliation completed after payment submit.,การกระทบยอดอัตโนมัติเสร็จสมบูรณ์หลังจากส่งการชำระเงิน
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,การกระทบยอดอัตโนมัติเสร็จสมบูรณ์ จัดสรรแล้ว: {0}{1} คงค้างอยู่: {0}{2}
Available Actions,การดำเนินการที่มีอยู่
Available QTY,จำนวนที่มีจำหน่าย
Available:,มีจำหน่าย:
Average Basket,ตะกร้าเฉลี่ย
Average Bill,บิลเฉลี่ย
Average Ticket,ตั๋วเฉลี่ย
Avg Bill,บิลเฉลี่ย
Avg Invoice,ใบแจ้งหนี้เฉลี่ย
Avg Invoice Profit,กำไรตามใบแจ้งหนี้เฉลี่ย
Avg Invoice Value,มูลค่าใบแจ้งหนี้เฉลี่ย
Avg Purchase Frequency,ความถี่ในการซื้อเฉลี่ย
Awesome,เจ๋งเลย
Awesome Dashboard,แดชบอร์ดที่ยอดเยี่ยม
Awesome Dashboard is disabled for the selected POS Profile.,Awesome Dashboard ถูกปิดใช้งานสำหรับโปรไฟล์ POS ที่เลือก
Awesome Dashboard is unavailable for the selected scope.,Awesome Dashboard ไม่พร้อมใช้งานสำหรับขอบเขตที่เลือก
Awesome Dashboard is visible only to POS supervisors.,แดชบอร์ดที่ยอดเยี่ยมจะปรากฏเฉพาะกับหัวหน้างาน POS เท่านั้น
Back,กลับ
Back Office Cash Account,บัญชีเงินสดหลังสำนักงาน
Back Office Cash Account (Optional Override),บัญชีเงินสด Back Office (แทนที่หรือไม่ก็ได้)
Back office cash account is required.,ต้องมีบัญชีเงินสดของ Back Office
Back to {0},กลับไปที่ {0}
Background processing did not finish in time.,การประมวลผลเบื้องหลังไม่เสร็จทันเวลา
Background processing failed for Invoice {0}: {1},การประมวลผลเบื้องหลังล้มเหลวสำหรับใบแจ้งหนี้ {0}: {1}
Background Submission Failed,การส่งพื้นหลังล้มเหลว
Background sync interval (seconds),ช่วงเวลาการซิงค์พื้นหลัง (วินาที)
Balance,ยอดคงเหลือ
Balance will be updated when connection is restored,ยอดคงเหลือจะได้รับการอัปเดตเมื่อการเชื่อมต่อกลับคืนมา
Balances still pending,ยอดคงเหลือยังค้างอยู่
Barcode,บาร์โค้ด
Barcode / QR Ready,บาร์โค้ด / QR พร้อม
Barcode Label Printing,การพิมพ์ฉลากบาร์โค้ด
Base Paid:,ฐานที่จ่าย:
Base Recv:,รายรับพื้นฐาน:
Base:,ฐาน:
Basic Information,ข้อมูลพื้นฐาน
Batch,แบทช์
Batch Information,ข้อมูลแบทช์
Before any return workflow,ก่อนขั้นตอนการส่งคืนใดๆ
Before returns,ก่อนกลับ
Best Day,วันที่ดีที่สุด
Best Seller,ขายดีที่สุด
Book expense or deposit from active shift.,บันทึกค่าใช้จ่ายหรือเงินฝากจากกะที่ใช้งานอยู่
Branch / Location-wise Report,รายงานสาขา / สถานที่ตั้ง
Brand-wise,ฉลาดเรื่องแบรนด์
Breakdown,พังทลาย
Browse,เรียกดู
Build Time:,เวลาสร้าง:
Built with Frappe,สร้างด้วยแฟรปเป้
Bundle,มัด
Buying Price,ราคาซื้อ
Cache cleared successfully,ล้างแคชเรียบร้อยแล้ว
Cache Usage,การใช้แคช
cache used,แคชที่ใช้
Calculating...,กำลังคำนวณ...
Camera Access Required,จำเป็นต้องเข้าถึงกล้อง
Camera access was aborted. Please try again.,การเข้าถึงกล้องถูกยกเลิก โปรดลองอีกครั้ง
Camera constraints not supported by your device. Trying fallback settings...,อุปกรณ์ของคุณไม่รองรับข้อจำกัดของกล้อง กำลังลองใช้การตั้งค่าทางเลือก...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,กล้องไม่ว่างหรือถูกบล็อกโดยแอป/แท็บอื่น ปิดแอปกล้องอื่นๆ แล้วลองอีกครั้ง
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,การอนุญาตกล้องถูกปฏิเสธ โปรดอนุญาตให้เข้าถึงกล้องในการตั้งค่าเบราว์เซอร์ของคุณและรีเฟรชหน้า
Camera scanner is locked until the current error is acknowledged,เครื่องสแกนกล้องถูกล็อคจนกว่าจะยอมรับข้อผิดพลาดปัจจุบัน
Camera started but the video stream did not load in time. Please try again.,กล้องเริ่มทำงานแต่สตรีมวิดีโอไม่โหลดทันเวลา โปรดลองอีกครั้ง
Cancel cash movement {0}?,ยกเลิกการเคลื่อนย้ายเงินสด {0}?
Cancel Payment,ยกเลิกการชำระเงิน
Cancel Sale,ยกเลิกการขาย
Cancel Sale ?,ยกเลิกการขาย ?
Cancelled,ยกเลิกแล้ว
Cannot add an item with zero or negative quantity.,ไม่สามารถเพิ่มสินค้าที่มีปริมาณเป็นศูนย์หรือติดลบได้
Cannot clear cache while offline,ไม่สามารถล้างแคชขณะออฟไลน์
Cannot redeem customer credit more than invoice total,ไม่สามารถแลกเครดิตของลูกค้าเกินกว่ายอดรวมในใบแจ้งหนี้ได้
Cannot redeem gift cards more than invoice total,ไม่สามารถแลกบัตรของขวัญเกินกว่ายอดรวมในใบแจ้งหนี้
Cannot Save Offline Invoice:,ไม่สามารถบันทึกใบแจ้งหนี้ออฟไลน์ได้:
Cannot Save Offline Payment:,ไม่สามารถบันทึกการชำระเงินออฟไลน์ได้:
Card,การ์ด
Card / Online,บัตร/ออนไลน์
Card health after the last live lookup,ความสมบูรณ์ของการ์ดหลังจากการค้นหาสดครั้งล่าสุด
Cards,การ์ด
Cart,รถเข็น
Cash,เงินสด
Cash back to customers,คืนเงินให้กับลูกค้า
Cash Collections,การเก็บเงิน
Cash Deposit is disabled for this POS Profile.,การฝากเงินสดถูกปิดใช้งานสำหรับโปรไฟล์ POS นี้
Cash Drawer Snapshot,ภาพรวมลิ้นชักเก็บเงิน
Cash In Hand,เงินสดในมือ
Cash Movement,การเคลื่อนย้ายเงินสด
Cash movement cancelled,การเคลื่อนย้ายเงินสดถูกยกเลิก
Cash movement deduction applied,ใช้การหักเงินเคลื่อนไหว
Cash movement deleted,ลบการเคลื่อนไหวของเงินสดแล้ว
Cash movement is disabled for this POS Profile.,การเคลื่อนย้ายเงินสดถูกปิดใช้งานสำหรับโปรไฟล์ POS นี้
Cash Movement is disabled in current POS Profile.,การเคลื่อนย้ายเงินสดถูกปิดใช้งานในโปรไฟล์ POS ปัจจุบัน
Cash movement saved offline,บันทึกการเคลื่อนไหวของเงินสดแบบออฟไลน์
Cash movement submitted,ส่งการเคลื่อนย้ายเงินสดแล้ว
Cash Movements,การเคลื่อนไหวของเงินสด
Cash payment cannot be less than invoice total when partial payment is not allowed,การชำระด้วยเงินสดต้องไม่น้อยกว่ายอดรวมในใบแจ้งหนี้ เมื่อไม่อนุญาตให้ชำระเงินบางส่วน
Cash returned after payment,เงินสดคืนหลังการชำระเงิน
Cashier,แคชเชียร์
Cashier Access,การเข้าถึงแคชเชียร์
Cashier identity and appearance preferences.,เอกลักษณ์ของแคชเชียร์และการตั้งค่ารูปลักษณ์ภายนอก
Cashier PIN,PIN แคชเชียร์
Cashier PIN saved successfully.,บันทึก PIN แคชเชียร์เรียบร้อยแล้ว
Cashiers,พนักงานเก็บเงิน
Cashier-wise,แคชเชียร์ฉลาด
Categories,หมวดหมู่
Category,หมวดหมู่
Category / Brand / Variant Report,หมวดหมู่ / แบรนด์ / รายงานตัวเลือกสินค้า
Category-wise,หมวดหมู่ที่ชาญฉลาด
Category-wise Margin,อัตรากำไรตามหมวดหมู่
Certificate,ใบรับรอง
Certificate is missing or not trusted. QZ may show confirmation dialogs.,ใบรับรองหายไปหรือไม่น่าเชื่อถือ QZ อาจแสดงกล่องโต้ตอบการยืนยัน
Certificate is trusted. Silent QZ printing is active.,ใบรับรองได้รับความไว้วางใจ การพิมพ์ Silent QZ ทำงานอยู่
Change,เปลี่ยน
Change allocation repaired,ซ่อมแซมการจัดสรรการเปลี่ยนแปลงแล้ว
Change Price,เปลี่ยนแปลงราคา
Change Return,เปลี่ยนคืน
Change Returned,เปลี่ยนคืนแล้ว
Change terminal cashier,เปลี่ยนเครื่องแคชเชียร์
Charge Heads,หัวชาร์จ
Charges,ค่าธรรมเนียม
Charges not found,ไม่พบการเรียกเก็บเงิน
Check Balance,ตรวจสอบยอดคงเหลือ
Check balance for any card. Supervisors can issue and top up cards here.,ตรวจสอบยอดเงินคงเหลือของบัตรใด ๆ หัวหน้างานสามารถออกและเติมเงินบัตรได้ที่นี่
Check balance only,ตรวจสอบยอดเงินคงเหลือเท่านั้น
Check for new commits,ตรวจสอบการคอมมิตใหม่
Check for Updates,ตรวจสอบการอัปเดต
Check live balance before applying redemption,ตรวจสอบยอดคงเหลือสดก่อนที่จะใช้การแลก
Check live balance before redemption,ตรวจสอบยอดคงเหลือสดก่อนแลก
Checking...,กำลังตรวจสอบ...
Cheque/Reference Date,เช็ค/วันที่อ้างอิง
Cheque/Reference No,เช็ค/หมายเลขอ้างอิง
Choose the cashier currently operating this terminal.,เลือกแคชเชียร์ที่ใช้งานเครื่องเทอร์มินัลนี้อยู่
City,เมือง
Clear,ชัดเจน
Clear All,ล้างทั้งหมด
Clear all barcode items,ล้างรายการบาร์โค้ดทั้งหมด
Clear all purchase order items,ล้างรายการใบสั่งซื้อทั้งหมด
Clear Search,ล้างการค้นหา
Clearing local cache...,กำลังล้างแคชในเครื่อง...
Click to refresh,คลิกเพื่อรีเฟรช
Client CPU Lag:,CPU ล่าช้าของไคลเอ็นต์:
Client Memory Usage:,การใช้หน่วยความจำไคลเอ็นต์:
Client Metrics,ตัวชี้วัดลูกค้า
Close about dialog,ปิดเกี่ยวกับกล่องโต้ตอบ
Close cashier switcher,ปิดสวิตช์แคชเชียร์
Close closing shift dialog,ปิดกล่องโต้ตอบกะปิด
Close column selector,ปิดตัวเลือกคอลัมน์
Close Dialog,ปิดกล่องโต้ตอบ
Close drafts dialog,ปิดกล่องโต้ตอบฉบับร่าง
Close invoice details dialog,ปิดกล่องโต้ตอบรายละเอียดใบแจ้งหนี้
Close invoice management,ปิดการจัดการใบแจ้งหนี้
Close offline invoices dialog,ปิดกล่องโต้ตอบใบแจ้งหนี้แบบออฟไลน์
Close packing list dialog,ปิดกล่องโต้ตอบรายการบรรจุภัณฑ์
Close returns dialog,ปิดกล่องโต้ตอบการคืนสินค้า
Close sales orders dialog,ปิดกล่องโต้ตอบใบสั่งขาย
Close Scanner,ปิดเครื่องสแกน
Close scanner dialog,ปิดกล่องโต้ตอบเครื่องสแกน
Close Settings,ปิดการตั้งค่า
Closing Amount,จำนวนเงินปิด
Closing POS Shift,ปิดกะ POS
Closing Snapshot Available,มีภาพรวมการปิดบัญชี
Code,รหัส
Code scanned successfully,สแกนรหัสเรียบร้อยแล้ว
COGS,ฟันเฟือง
Collapse item details,ยุบรายละเอียดรายการ
Collected,รวบรวม
Cols,พ.อ
Columns,คอลัมน์
commits,กระทำ
Completed and active sales in this range,ยอดขายที่เสร็จสมบูรณ์และใช้งานอยู่ในช่วงนี้
Completed returns will appear here.,ผลตอบแทนที่เสร็จสมบูรณ์จะปรากฏที่นี่
Confirm,ยืนยัน
Confirm Close,ยืนยันการปิด
Confirm Mobile Number,ยืนยันหมายเลขโทรศัพท์มือถือ
Confirm PIN,ยืนยันรหัส PIN
Connect,เชื่อมต่อ
Connect printer and manage certificate,เชื่อมต่อเครื่องพิมพ์และจัดการใบรับรอง
Connecting to QZ Tray...,กำลังเชื่อมต่อกับถาด QZ...
Connection problem while submitting invoice,ปัญหาการเชื่อมต่อขณะส่งใบแจ้งหนี้
Connections:,การเชื่อมต่อ:
Connectivity and cached prerequisite status were rechecked.,มีการตรวจสอบการเชื่อมต่อและสถานะข้อกำหนดเบื้องต้นที่แคชไว้อีกครั้ง
Continue Editing,แก้ไขต่อ
Could not fetch latest balance from server,ไม่สามารถดึงยอดคงเหลือล่าสุดจากเซิร์ฟเวอร์
Count,นับ
Country,ประเทศ
Coupon,คูปอง
Coupons,คูปอง
Cover,ปก
CPU Cores:,แกนซีพียู:
Create,สร้าง
Create and load a new prepaid card,สร้างและโหลดบัตรเติมเงินใหม่
Create and preload a new gift card,สร้างและโหลดบัตรของขวัญใหม่ล่วงหน้า
Create Bill,สร้างบิล
Create Customer,สร้างลูกค้า
Create New Item,สร้างรายการใหม่
Create or change your PIN,สร้างหรือเปลี่ยน PIN ของคุณ
Create PIN,สร้างรหัส PIN
Create POS Opening Shift,สร้างกะการเปิด POS
Create Purchase Order,สร้างใบสั่งซื้อ
Create Return,สร้างผลตอบแทน
Create return from invoice,สร้างผลตอบแทนจากใบแจ้งหนี้
Create Supplier,สร้างซัพพลายเออร์
Credit and Output,เครดิตและผลผลิต
Credit Note,ใบลดหนี้
Credit Outstanding,เครดิตดีเด่น
Credit sales remaining to be collected,ยอดขายเครดิตที่เหลือจะต้องรวบรวม
Critical,สำคัญ
Currency,สกุลเงิน
Current,ปัจจุบัน
Current Event Loop Lag:,ความล่าช้าของเหตุการณ์ปัจจุบัน:
Current Month,เดือนปัจจุบัน
Current PIN,รหัสประจำตัวปัจจุบัน
Current Profile,โปรไฟล์ปัจจุบัน
Current redeemable value on the gift card,มูลค่าแลกปัจจุบันบนบัตรของขวัญ
Current User,ผู้ใช้ปัจจุบัน
Custom,กำหนดเอง
Custom Due Days,วันครบกำหนดที่กำหนดเอง
Custom items per page,รายการที่กำหนดเองต่อหน้า
Customer,ลูกค้า
Customer already selected,ลูกค้าเลือกไว้แล้ว
Customer Balance,ยอดคงเหลือของลูกค้า
Customer balance unavailable offline,ยอดคงเหลือของลูกค้าไม่พร้อมใช้งานแบบออฟไลน์
Customer created successfully.,สร้างลูกค้าเรียบร้อยแล้ว
Customer creation failed.,การสร้างลูกค้าล้มเหลว
Customer Details,รายละเอียดลูกค้า
Customer display channel is missing,ช่องทางการแสดงลูกค้าหายไป
Customer display was blocked. Please allow pop-ups for this site.,จอแสดงผลของลูกค้าถูกบล็อก โปรดอนุญาตป๊อปอัปสำหรับไซต์นี้
Customer group is required,ต้องระบุกลุ่มลูกค้า
Customer is required to add payment,ลูกค้าจะต้องเพิ่มการชำระเงิน
Customer Name is required,ต้องระบุชื่อลูกค้า
Customer not selected,ไม่ได้เลือกลูกค้า
Customer Report,รายงานลูกค้า
Customer saved offline,ลูกค้าบันทึกแบบออฟไลน์
Customer Screen,หน้าจอลูกค้า
Customer territory is required,ต้องระบุอาณาเขตของลูกค้า
Customer updated successfully.,อัปเดตลูกค้าเรียบร้อยแล้ว
Customer-facing tools and printer setup.,เครื่องมือพบปะกับลูกค้าและการตั้งค่าเครื่องพิมพ์
Customers,ลูกค้า
Customers not found,ไม่พบลูกค้า
Daily cashier actions without scrolling.,การดำเนินการแคชเชียร์รายวันโดยไม่ต้องเลื่อน
Daily Sales,ยอดขายรายวัน
Daily Sales Summary,สรุปยอดขายรายวัน
Data loaded in form. Review and submit.,โหลดข้อมูลในแบบฟอร์ม ตรวจสอบและส่ง
Database Health,สุขภาพฐานข้อมูล
Database health affects overall system speed and reliability.,ความสมบูรณ์ของฐานข้อมูลส่งผลต่อความเร็วและความน่าเชื่อถือของระบบโดยรวม
Database Info,ข้อมูลฐานข้อมูล
Date,วันที่
Day ?,วัน ?
days,วัน
Day-wise (MTD),รายวัน (MTD)
Day-wise Movement,การเคลื่อนไหวในแต่ละวัน
Dead Stock,หุ้นที่ตายแล้ว
Dead Stock Items,รายการสินค้าหมดสต็อก
Decrease quantity,ลดปริมาณ
Default,ค่าเริ่มต้น
Default:,ค่าเริ่มต้น:
Delete,ลบ
Delete cancelled cash movement {0}?,ลบการเคลื่อนย้ายเงินสดที่ถูกยกเลิก {0}?
Delete Draft,ลบฉบับร่าง
Delete draft invoice,ลบใบแจ้งหนี้ฉบับร่าง
Delete draft invoice {0}?,ลบใบแจ้งหนี้ฉบับร่าง {0} หรือไม่
Delete Invoice,ลบใบแจ้งหนี้
Delete offline invoice,ลบใบแจ้งหนี้แบบออฟไลน์
Delivered,จัดส่งแล้ว
Delivery Charges,ค่าจัดส่ง
Delivery Information,ข้อมูลการจัดส่ง
Delivery Note {0} created,สร้างบันทึกการจัดส่ง {0} แล้ว
Delivery note created,สร้างบันทึกการจัดส่งแล้ว
Deployed Bundle:,บันเดิลที่ปรับใช้:
Deposit,เงินฝาก
Description,คำอธิบาย
Detailed Supplier Breakdown,รายละเอียดซัพพลายเออร์โดยละเอียด
Detecting formats:,การตรวจจับรูปแบบ:
Device Memory:,หน่วยความจำอุปกรณ์:
Difference,ความแตกต่าง
Difference (In Company Currency),ส่วนต่าง (ในสกุลเงินของบริษัท)
Disable offline mode first to recheck live connectivity.,ปิดการใช้งานโหมดออฟไลน์ก่อนเพื่อตรวจสอบการเชื่อมต่อสดอีกครั้ง
Disconnect,ตัดการเชื่อมต่อ
discount,ส่วนลด
Discount %,ส่วนลด %
Discount / Void / Return Report,รายงานส่วนลด / เป็นโมฆะ / คืนสินค้า
Discount Amount,จำนวนส่วนลด
Discount limited by POS Profile,ส่วนลดถูกจำกัดโดยโปรไฟล์ POS
Discounted Invoices,ใบแจ้งหนี้ที่ลดราคา
Discounts,ส่วนลด
Dismiss,ยกเลิก
Download Certificate,ดาวน์โหลดใบรับรอง
Draft,ร่าง
Draft invoice deleted,ลบใบแจ้งหนี้ฉบับร่างแล้ว
Draft source,แหล่งที่มาร่าง
Drafts,ร่างจดหมาย
Due {0},ครบกำหนด {0}
Due Date,วันครบกำหนด
Duplicate,ทำซ้ำ
Edit customer,แก้ไขลูกค้า
Edit discount amount,แก้ไขจำนวนส่วนลด
Edit discount percentage,แก้ไขเปอร์เซ็นต์ส่วนลด
Edit Gift Application,แก้ไขใบสมัครของขวัญ
Edit item name,แก้ไขชื่อรายการ
Edit quantity,แก้ไขปริมาณ
Edit rate,แก้ไขอัตรา
Edit unit of measure,แก้ไขหน่วยวัด
Edited,แก้ไขแล้ว
Employee,ลูกจ้าง
Enable background sync,เปิดใช้งานการซิงค์พื้นหลัง
Enable Customer Display in POS Profile first.,เปิดใช้งานการแสดงข้อมูลลูกค้าในโปรไฟล์ POS ก่อน
Enter a PIN.,ป้อน PIN
Enter a valid grams value,ป้อนค่ากรัมที่ถูกต้อง
Enter new price list rate,ป้อนอัตรารายการราคาใหม่
Enter Quantity,ป้อนจำนวน
Enter the cashier PIN to continue.,ป้อน PIN แคชเชียร์เพื่อดำเนินการต่อ
Enter the current PIN first.,ป้อน PIN ปัจจุบันก่อน
"Enter the current PIN, then choose a new one.",ป้อน PIN ปัจจุบัน จากนั้นเลือกรหัสใหม่
Enter valid grams for scale barcode,ป้อนกรัมที่ถูกต้องสำหรับบาร์โค้ดขนาด
Entries,รายการ
Error accessing camera:,เกิดข้อผิดพลาดในการเข้าถึงกล้อง:
Error calculating prices,เกิดข้อผิดพลาดในการคำนวณราคา
Error fetching customer balance,เกิดข้อผิดพลาดในการเรียกยอดคงเหลือของลูกค้า
Error in change calculations!,เกิดข้อผิดพลาดในการคำนวณการเปลี่ยนแปลง!
Error Loading Data,เกิดข้อผิดพลาดในการโหลดข้อมูล
Error loading invoice details,เกิดข้อผิดพลาดในการโหลดรายละเอียดใบแจ้งหนี้
Error processing invoice,เกิดข้อผิดพลาดในการประมวลผลใบแจ้งหนี้
Error processing payment,เกิดข้อผิดพลาดในการประมวลผลการชำระเงิน
Error searching invoices,เกิดข้อผิดพลาดในการค้นหาใบแจ้งหนี้
Error submitting invoice:,เกิดข้อผิดพลาดในการส่งใบแจ้งหนี้:
Error submitting invoice: {0},เกิดข้อผิดพลาดในการส่งใบแจ้งหนี้: {0}
Error submitting invoice: No response from server,เกิดข้อผิดพลาดในการส่งใบแจ้งหนี้: ไม่มีการตอบกลับจากเซิร์ฟเวอร์
Error updating currency,เกิดข้อผิดพลาดในการอัปเดตสกุลเงิน
Error updating item details,เกิดข้อผิดพลาดในการอัปเดตรายละเอียดรายการ
Est. Purchase,ประมาณ ซื้อ
Est. Value,ประมาณ ความคุ้มค่า
Event-loop lag measures how busy your browser is. Lower is better.,Event-loop lag วัดว่าเบราว์เซอร์ของคุณยุ่งแค่ไหน ต่ำกว่าจะดีกว่า
Every,ทุกๆ
Exchange Rate,อัตราแลกเปลี่ยน
Expand item details,ขยายรายละเอียดรายการ
Expected Amount (In Company Currency),จำนวนเงินที่คาดหวัง (ในสกุลเงินของบริษัท)
Expected Cash,เงินสดที่คาดหวัง
Expected cash on hand grouped by currency,เงินสดคงเหลือที่คาดหวังจัดกลุ่มตามสกุลเงิน
Expected vs Actual,คาดหวังเทียบกับจริง
Expense,ค่าใช้จ่าย
Expense Account (Optional Override),บัญชีค่าใช้จ่าย (แทนที่ตัวเลือก)
Expense account is required.,จำเป็นต้องมีบัญชีค่าใช้จ่าย
Expenses and deposits posted during this shift,ค่าใช้จ่ายและเงินฝากที่โพสต์ระหว่างการเปลี่ยนแปลงนี้
Expired,หมดอายุแล้ว
Failed to auto reconcile payments.,ไม่สามารถกระทบยอดการชำระเงินอัตโนมัติ
Failed to cancel cash movement,ไม่สามารถยกเลิกการเคลื่อนย้ายเงินสด
Failed to clear cache,ไม่สามารถล้างแคชได้
Failed to create item,ไม่สามารถสร้างรายการได้
Failed to create supplier,ไม่สามารถสร้างซัพพลายเออร์
Failed to delete cash movement,ไม่สามารถลบการเคลื่อนไหวของเงินสด
Failed to generate scale barcode. Using item barcode only.,ไม่สามารถสร้างบาร์โค้ดขนาดได้ ใช้บาร์โค้ดรายการเท่านั้น
Failed to load cash movement context.,ไม่สามารถโหลดบริบทการเคลื่อนย้ายเงินสด
Failed to load dashboard data.,โหลดข้อมูลแดชบอร์ดไม่สำเร็จ
