POS Awesome,POS Прекрасно
Check live balance before redemption,Проверете го балансот во живо пред откупот
Checking...,Се проверува...
Cheque/Reference Date,Чек/Референтен датум
Cheque/Reference No,Чек/Референца бр
Choose the cashier currently operating this terminal.,Изберете ја касиерот кој моментално работи со овој терминал.
City,Градот
Clear,Јасно
Clear All,Исчисти ги сите
Clear all barcode items,Исчистете ги сите ставки од баркод
Clear all purchase order items,Исчистете ги сите ставки на нарачката за купување
Clear Search,Исчистете го пребарувањето
Clearing local cache...,Се брише локалниот кеш...
Click to refresh,Кликнете за освежување
Client CPU Lag:,Заостанување на процесорот на клиентот:
Client Memory Usage:,Користење на меморија на клиентот:
Client Metrics,Метрика на клиентот
Close about dialog,Затвори за дијалог
Close cashier switcher,Затворете го менувачот на каса
Close closing shift dialog,Затворете го затворањето на дијалогот shift
Close column selector,Затворете го избирачот на колони
Close Dialog,Затвори го дијалогот
Close drafts dialog,Затворете го дијалогот за нацрти
Close invoice details dialog,Затворете го дијалогот за детали за фактурата
Close invoice management,Затворете го управувањето со фактурата
Close offline invoices dialog,Затворете го дијалогот за офлајн фактури
Close packing list dialog,Затворете го дијалогот за листа на пакување
Close returns dialog,Затвори го дијалогот за враќање
Close sales orders dialog,Затворете го дијалогот за нарачки за продажба
Close Scanner,Затворете го скенерот
Close scanner dialog,Затворете го дијалогот за скенер
Close Settings,Затворете ги поставките
Closing Amount,Износ за затворање
Closing POS Shift,Затворање на POS Shift
Closing Snapshot Available,Достапна е снимката за затворање
Code,Код
Code scanned successfully,Кодот е успешно скениран
COGS,Запси
Collapse item details,Собери ги деталите за ставката
Collected,Собрани
Cols,Кол
Columns,Колони
commits,обврзува
Completed and active sales in this range,Завршена и активна продажба во овој опсег
Completed returns will appear here.,Завршените враќања ќе се појават овде.
Confirm,Потврди
Confirm Close,Потврдете Затвори
Confirm Mobile Number,Потврдете го мобилниот број
Confirm PIN,Потврдете PIN
Connect,Поврзете се
Connect printer and manage certificate,Поврзете го печатачот и управувајте со сертификатот
Connecting to QZ Tray...,Се поврзува со фиоката QZ...
Connection problem while submitting invoice,Проблем со поврзување при испраќање фактура
Connections:,Врски:
Connectivity and cached prerequisite status were rechecked.,Поврзаноста и статусот на предуслов за кеширање беа повторно проверени.
Continue Editing,Продолжи со уредување
Could not fetch latest balance from server,Не може да се земе најновото салдо од серверот
Count,брои
Country,Земја
Coupon,Купон
Coupons,Купони
Cover,Покријте
CPU Cores:,Јадра на процесорот:
Create,Креирај
Create and load a new prepaid card,Креирајте и вчитајте нова припејд картичка
Create and preload a new gift card,Создадете и вчитајте нова картичка за подарок
Create Bill,Креирај сметка
Create Customer,Креирај клиент
Create New Item,Креирај нова ставка
Create or change your PIN,Креирајте или променете го вашиот PIN
Create PIN,Креирајте PIN
Create POS Opening Shift,Креирај Shift за отворање на ПОС
Create Purchase Order,Креирајте налог за купување
Create Return,Креирај враќање
Create return from invoice,Креирајте поврат од фактура
Create Supplier,Креирај добавувач
Credit and Output,Кредит и излез
Credit Note,Кредитна белешка
Credit Outstanding,Недостаток на кредит
Credit sales remaining to be collected,Останува да се наплати кредитна продажба
Critical,Критички
Currency,Валута
Current,Актуелно
Current Event Loop Lag:,Заостанување на тековната јамка на настанот:
Current Month,Тековен месец
Current PIN,Тековен ПИН
Current Profile,Тековен профил
Current redeemable value on the gift card,Тековна откуплива вредност на картичката за подарок
Current User,Тековен корисник
Custom,Прилагодено
Custom Due Days,Прилагодени денови на доспевање
Custom items per page,Прилагодени ставки по страница
Customer,Клиент
Customer already selected,Клиентот е веќе избран
Customer Balance,Билансот на клиентите
Customer balance unavailable offline,Салдото на клиентите е недостапно офлајн
Customer created successfully.,Клиентот е успешно создаден.
Customer creation failed.,Создавањето клиент не успеа.
Customer Details,Детали за клиентите
Customer display channel is missing,Недостасува канал за прикажување на клиентите
Customer display was blocked. Please allow pop-ups for this site.,Приказот на клиентот беше блокиран. Дозволете скокачки прозорци за оваа страница.
Customer group is required,Потребна е група на клиенти
Customer is required to add payment,Од клиентот се бара да додаде плаќање
Customer Name is required,Името на клиентот е потребно
Customer not selected,Клиентот не е избран
Customer Report,Извештај за клиентите
Customer saved offline,Клиентот е зачуван офлајн
Customer Screen,Екран на клиенти
Customer territory is required,Потребна е територијата на клиентот
Customer updated successfully.,Клиентот е успешно ажуриран.
Customer-facing tools and printer setup.,Алатки свртени кон клиентите и поставување печатач.
Customers,Клиенти
Customers not found,Клиентите не се пронајдени
Daily cashier actions without scrolling.,Дневни акции на касиерот без лизгање.
Daily Sales,Дневна продажба
Daily Sales Summary,Резиме на дневни продажби
Data loaded in form. Review and submit.,Податоците се вчитани во форма. Прегледајте и поднесете.
Database Health,Здравје на бази на податоци
Database health affects overall system speed and reliability.,Здравјето на базата на податоци влијае на вкупната брзина и сигурност на системот.
Database Info,Информации за базата на податоци
Date,Датум
Day ?,Ден?
days,денови
Day-wise (MTD),Дневно (MTD)
Day-wise Movement,Движење преку ден
Dead Stock,Мртви акции
Dead Stock Items,Мртви артикли
Decrease quantity,Намалете ја количината
Default,Стандардно
Default:,Стандардно:
Delete,Избриши
Delete cancelled cash movement {0}?,Да се ​​избрише откажаното движење на готовина {0}?
Delete Draft,Избриши нацрт
Delete draft invoice,Избришете нацрт-фактура
Delete draft invoice {0}?,Да се избрише нацрт-фактурата {0}?
Delete Invoice,Избриши фактура
Delete offline invoice,Избришете офлајн фактура
Delivered,Доставено
Delivery Charges,Надоместоци за испорака
Delivery Information,Информации за испорака
Delivery Note {0} created,Белешка за испорака {0} е создадена
Delivery note created,Создадена е белешка за испорака
Deployed Bundle:,Распореден пакет:
Deposit,Депозит
Description,Опис
Detailed Supplier Breakdown,Детален преглед на добавувачот
Detecting formats:,Откривање формати:
Device Memory:,Меморија на уредот:
Difference,Разлика
Difference (In Company Currency),Разлика (во валутата на компанијата)
Disable offline mode first to recheck live connectivity.,Прво оневозможете го офлајн режимот за повторно да ја проверите врската во живо.
Disconnect,Исклучете се
discount,попуст
Discount %,попуст %
Discount / Void / Return Report,Извештај за попуст / неважечки / враќање
Discount Amount,Износ на попуст
Discount limited by POS Profile,Попустот е ограничен со POS-профилот
Discounted Invoices,Фактури со попуст
Discounts,Попусти
Dismiss,Отфрли
Download Certificate,Преземете сертификат
Draft,Нацрт
Draft invoice deleted,Нацрт-фактурата е избришана
Draft source,Нацрт извор
Drafts,Нацртови
Due {0},Доспешно {0}
Due Date,Термин на доспевање
Duplicate,Дупликат
Edit customer,Уреди клиент
Edit discount amount,Изменете ја сумата за попуст
Edit discount percentage,Уредете го процентот на попуст
Edit Gift Application,Уредете ја апликацијата за подарок
Edit item name,Уреди име на ставка
Edit quantity,Уредете ја количината
Edit rate,Стапка на уредување
Edit unit of measure,Уреди единица мерка
Edited,Изменето
Employee,Вработен
Enable background sync,Овозможи синхронизација во заднина
Enable Customer Display in POS Profile first.,Прво овозможете прикажување на клиентите во профилот на ПОС.
Enter a PIN.,Внесете PIN.
Enter a valid grams value,Внесете важечка вредност на грамови
Enter new price list rate,Внесете нова стапка на ценовник
Enter Quantity,Внесете Количина
Enter the cashier PIN to continue.,Внесете го ПИН-кодот на благајната за да продолжите.
Enter the current PIN first.,Прво внесете го тековниот PIN.
"Enter the current PIN, then choose a new one.","Внесете го тековниот PIN, а потоа изберете нов."
Enter valid grams for scale barcode,Внесете важечки грамови за бар-код за скала
Entries,Записи
Error accessing camera:,Грешка при пристап до камерата:
Error calculating prices,Грешка при пресметувањето на цените
Error fetching customer balance,Грешка при преземањето на салдото на клиентот
Error in change calculations!,Грешка во пресметките за промена!
Error Loading Data,Грешка при вчитување податоци
Error loading invoice details,Грешка при вчитување детали за фактурата
Error processing invoice,Грешка при обработката на фактурата
Error processing payment,Грешка при обработката на плаќањето
Error searching invoices,Грешка при пребарување на фактури
Error submitting invoice:,Грешка при поднесување фактура:
Error submitting invoice: {0},Грешка при поднесување фактура: {0}
Error submitting invoice: No response from server,Грешка при поднесување фактура: Нема одговор од серверот
Error updating currency,Грешка при ажурирањето на валутата
Error updating item details,Грешка при ажурирањето на деталите за ставката
Est. Purchase,Ест. Купување
Est. Value,Ест. Вредност
Event-loop lag measures how busy your browser is. Lower is better.,Доцнењето на циклусот на настани мери колку е зафатен вашиот прелистувач. Пониско е подобро.
Every,Секој
Exchange Rate,Девизен курс
Expand item details,Проширете ги деталите за ставката
Expected Amount (In Company Currency),Очекувана сума (во валута на компанијата)
Expected Cash,Очекувани готовина
Expected cash on hand grouped by currency,Очекувани готовина на рака групирани по валута
Expected vs Actual,Очекувано наспроти Реално
Expense,Трошоци
Expense Account (Optional Override),Сметка на трошоци (изборно отфрлање)
Expense account is required.,Потребна е сметка за трошоци.
Expenses and deposits posted during this shift,Трошоци и депозити објавени за време на оваа смена
Expired,Истечен
Failed to auto reconcile payments.,Не успеа автоматското усогласување на плаќањата.
Failed to cancel cash movement,Не успеа да се откаже движењето на готовина
Failed to clear cache,Не успеа да се исчисти кешот
Failed to create item,Не успеа да се создаде ставка
Failed to create supplier,Не успеа да се создаде добавувач
Failed to delete cash movement,Не успеа да се избрише движењето на готовина
Failed to generate scale barcode. Using item barcode only.,Не успеа да се генерира баркод за скала. Користење само баркод на ставка.
Failed to load cash movement context.,Не успеа да се вчита контекстот за движење на готовина.
Failed to load dashboard data.,Не успеа да се вчитаат податоците на контролната табла.
Failed to reload invoice from server,Не успеа повторно да се вчита фактурата од серверот
Failed to submit cash movement,Не успеа да се поднесе движење на готовина
Failed to sync offline cash movements,Не успеа да се синхронизираат офлајн движењата на готовина
Fast cashier actions for active shifts.,Брзи благајнички акции за активни смени.
Fast Moving Items,Предмети кои брзо се движат
Fees,Надоместоци
Fetch the latest offline prerequisite updates,Преземете ги најновите ажурирања за предуслов офлајн
Find a sales order quickly and load it into the current sale.,Брзо пронајдете нарачка за продажба и вчитајте ја во тековната продажба.
Fixing payment amounts for return invoice...,Се поправаат износите за плаќање за повратна фактура...
Flash Off,Исклучен блиц
Flash On,Вклучено блиц
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","За артиклите „Пакет на производи“, складиштето, серискиот број и бројот на серијата ќе се земат предвид од табелата „Список за пакување“. Ако складиштето и бројот на серијата се исти за сите артикли за пакување за која било ставка „Пакет на производи“, тие вредности може да се внесат во главната табела со ставки; вредностите ќе бидат копирани во табелата „Список за пакување“."
Free,Бесплатно
Free Qty,Бесплатна количина
Frequency,Фреквенција
from,од
From Date,Од Датум
Fulfillment Details,Детали за исполнување
Full Name,Целосно име
Gain,Добивка
Generate a fresh prepaid card and start it with an opening balance.,Создадете нова припејд картичка и започнете ја со воведно салдо.
Generate and install the certificate to allow fully silent printing without trust prompts.,Генерирајте и инсталирајте го сертификатот за да овозможите целосно тивко печатење без потсетници за доверба.
Generate Certificate,Генерирајте сертификат
Generated scale barcode: {0},Генериран баркод: {0}
Get Payments,Добијте плаќања
Gift Card,Подарок картичка
Gift card amount must be greater than zero.,Износот на картичката за подарок мора да биде поголем од нула.
Gift Card Code,Код на картичка за подарок
Gift card code is required for redemption,За откуп е потребен код за картичка за подарок
Gift card code is required.,Потребен е код за картичка за подарок.
Gift card issued successfully.,Картичката за подарок е успешно издадена.
Gift card loaded successfully.,Картичката за подарок е успешно вчитана.
Gift Card Management,Управување со картички за подароци
Gift card payment,Плаќање со картичка за подарок
Gift card redemption requires an online connection,За откуп на картичка за подарок е потребна онлајн врска
Gift card topped up successfully.,Картичката за подарок е успешно надополнета.
Gift Cards,Картички за подароци
Go to Frappe Desk,Одете на бирото Frappe
Grand Total,Гранд Вкупно
Gross Margin,Бруто маржа
Gross Profit,Бруто добивка
Gross Sales,Бруто продажба
Group not found,Групата не е пронајдена
"Grouped controls for terminal, UI, and session settings.","Групирани контроли за поставки за терминал, интерфејс и сесија."
Grouped totals for each payment method and currency,Групирани збирки за секој начин на плаќање и валута
Hide,Скриј
Hide Gift Card,Скриј картичка за подарок
Hide Non Essential Fields,Сокриј ги несуштинските полиња
Hide quantity decimals,Сокриј децимали за количина
Hide search tools,Сокриј ги алатките за пребарување
Hide zero rated items,Сокриј нулта оценети ставки
High,Високо
History,Историја
Hourly (Today),На час (денес)
How this section works,Како функционира овој дел
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","Ако останат застарени податоци, отворете Поставки > Офлајн и синхронизирај и повторно активирајте Обнова офлајн податоци додека сте онлајн."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","Ако предупредувањето опстојува, отворете Поставки > Офлајн и синхронизирање, потоа извршете Освежи офлајн податоци или обновете офлајн податоци."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,Увезете го сертификатот во QZ Tray и рестартирајте го QZ Tray на секоја POS машина.
In,Во
In stock: {0},На залиха: {0}
Include Batch / Serial,Вклучете серија / сериски
Include Price,Вклучете ја цената
Increase quantity,Зголемете ја количината
IndexedDB,IndexedDB
Initial Amount,Почетна сума
Initialize your shift with opening balances,Иницијализирајте ја вашата смена со почетни салда
Initializing application...,Се иницијализира апликацијата...
"Inspect cache, sync, and prerequisite status","Проверете го кешот, синхронизацијата и статусот на предуслов"
Installed Applications,Инсталирани апликации
Insufficient stock:\n{0},Недоволни залихи:\n{0}
Invalid rate,Неважечка стапка
Inventory Status Report,Извештај за состојбата на залихите
Invoice,Фактура
Invoice {0} is Submitted,Фактурата {0} е поднесена
Invoice {0} processed successfully,Фактурата {0} е успешно обработена
Invoice {0} submission failed,Поднесувањето на фактурата {0} не успеа
Invoice {0} was already submitted,Фактурата {0} е веќе поднесена
Invoice Adjustments,Приспособувања на фактурата
Invoice Change,Промена на фактура
Invoice Details,Детали за фактура
Invoice is still in draft after background submission.,Фактурата е сè уште во нацрт по доставувањето во позадина.
Invoice Items,Ставки на фактура
Invoice Management,Управување со фактура
Invoice Mgmt,Фактура Mgmt
Invoice saved offline,Фактурата е зачувана офлајн
Invoice submission failed,Поднесувањето на фактурата не успеа
Invoice Submitted,Фактурата е поднесена
"Invoice value settled by loyalty points, not cash collection","Вредноста на фактурата се подмирува со поени за лојалност, а не со наплата на готовина"
Invoices,Фактури
Invoices already past due date,Фактурите се веќе со изминат рок
Invoices saved as POS Invoices,Фактурите се зачувани како ПОС-фактури
Invoices still carrying balances,Фактурите сè уште носат салда
Issue Mode,Режим на проблем
Issue New Card,Издадете нова картичка
Issue Workflow,Издадете работен тек
"Issue, top up, and check","Издадете, дополнете и проверете"
Item,Ставка
Item / Product Sales Report,Извештај за продажба на ставка / производ
Item {0} added to invoice,Ставката {0} е додадена на фактурата
Item '{0}' has no barcode,Ставката „{0}“ нема бар-код
Item Code,Код на ставка
Item created successfully,Ставката е успешно создадена
Item is out of stock,Ставката е без залиха
Item Name,Име на ставка
Item not found,Ставката не е пронајдена
Item order updated,Нарачката на ставката е ажурирана
Item Selector Settings,Поставки за избирач на ставки
Items,Предмети
Items added in POS will appear here automatically.,Ставките додадени во POS ќе се појават овде автоматски.
Items added to invoice,Предметите се додадени на фактурата
Items per page,Ставки по страница
Items Sold,Продадени артикли
Items/Invoice,Ставки/Фактура
Item-wise Profitability,Профитабилност во однос на ставката
Journal Entry,Влез во весник
json,јсон
Just now,Само сега
Keep offline prerequisites healthy and recover stale data safely.,Одржувајте ги здрави офлајн предусловите и безбедно обновете ги застарените податоци.
Labels,Етикети
"Language, theme, terminal tools, and session controls.","Јазик, тема, терминални алатки и контроли на сесии."
Last,Последно
Last 14 Days (Paid vs Pending),Последните 14 дена (платени наспроти чекање)
Last 14 Days Activity,Активност од последните 14 дена
Last 14 Days Gross Profit,Бруто добивка во последните 14 дена
Last 14 Days Purchases,Набавки во последните 14 дена
Last 14 Days Tax/Charges,Последни 14 дена Данок/такси
Last sync:,Последна синхронизација:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},Последна синхронизација: {0} | во ред: {1} | не успеа: {2} | прескокнат: {3}
Latest entries for current shift,Најнови записи за тековната смена
Lead Time,Водечко време
Limited,Ограничени
lines,линии
List,Список
Live Snapshot,Снимка во живо
Load a POS profile and cashier first.,Прво вчитајте POS-профил и благајна.
Load More Invoices,Вчитај повеќе фактури
Load previously saved invoices,Вчитајте ги претходно зачуваните фактури
Load Sale,Вчитај продажба
Load Sales Invoice,Вчитај фактура за продажба
Loading app data...,Се вчитуваат податоци од апликацијата...
Loading customer database...,Се вчитува базата на податоци за клиенти...
Loading customers...,Се вчитуваат клиенти...
Loading database stats...,Се вчитува статистиката на базата на податоци...
Loading details...,Се вчитуваат детали...
Loading invoice history...,Се вчитува историјата на фактури...
Loading items...,Се вчитуваат ставки...
Loading product catalog...,Се вчитува каталогот на производи...
Loading return invoices...,Се вчитуваат повратни фактури...
Loading server CPU/memory usage...,Се вчитува серверот за користење на процесорот/меморијата...
Loading suppliers...,Се вчитуваат добавувачи...
Loading unpaid invoices...,Се вчитуваат неплатени фактури...
Loading view...,Се вчитува приказот...
Loading...,Се вчитува...
Local storage is unavailable. Switching to online-only mode.,Локалното складирање е недостапно. Префрлување на режим само на интернет.
localStorage,локално складирање
Location Performance,Изведба на локација
Locations,Локации
