POS Awesome,ПОС Авесоме
Category / Brand / Variant Report,Извештај о категорији / бренду / варијанти
Category-wise,По категоријама
Category-wise Margin,Маржа по категоријама
Certificate,Цертификат
Certificate is missing or not trusted. QZ may show confirmation dialogs.,Сертификат недостаје или му се не верује. КЗ може приказати дијалоге за потврду.
Certificate is trusted. Silent QZ printing is active.,Сертификат је поуздан. Тихо КЗ штампање је активно.
Change,Промена
Change allocation repaired,Алокација промена је поправљена
Change Price,Цханге Прице
Change Return,Цханге Ретурн
Change Returned,Промена враћена
Change terminal cashier,Промени благајника терминала
Charge Heads,Цхарге Хеадс
Charges,Наплате
Charges not found,Наплате нису пронађене
Check Balance,Проверите стање
Check balance for any card. Supervisors can issue and top up cards here.,Проверите стање за било коју картицу. Супервизори могу да издају и допуне картице овде.
Check balance only,Проверите само стање
Check for new commits,Проверите да ли постоје нова урезивања
Check for Updates,Проверите ажурирања
Check live balance before applying redemption,Проверите стање уживо пре него што примените откуп
Check live balance before redemption,Проверите стање уживо пре исплате
Checking...,Проверавам...
Cheque/Reference Date,Чек/Референтни датум
Cheque/Reference No,Чек/Референтни бр
Choose the cashier currently operating this terminal.,Изаберите благајника који тренутно ради на овом терминалу.
City,Цити
Clear,Јасно
Clear All,Обриши све
Clear all barcode items,Обришите све ставке са бар кодом
Clear all purchase order items,Обришите све ставке наруџбенице
Clear Search,Обриши претрагу
Clearing local cache...,Брисање локалног кеша...
Click to refresh,Кликните да освежите
Client CPU Lag:,Кашњење ЦПУ клијента:
Client Memory Usage:,Коришћење клијентске меморије:
Client Metrics,Цлиент Метрицс
Close about dialog,Затвори дијалог
Close cashier switcher,Затворите мењач благајне
Close closing shift dialog,Затвори дијалог за затварање смене
Close column selector,Затвори селектор колона
Close Dialog,Затвори дијалог
Close drafts dialog,Затворите дијалог нацрта
Close invoice details dialog,Затворите дијалог са детаљима фактуре
Close invoice management,Затворите управљање фактурама
Close offline invoices dialog,Затворите дијалог ванмрежних фактура
Close packing list dialog,Затвори дијалог листе паковања
Close returns dialog,Затвори дијалог враћања
Close sales orders dialog,Затворите дијалог продајних налога
Close Scanner,Затворите скенер
Close scanner dialog,Затворите дијалог скенера
Close Settings,Затворите подешавања
Closing Amount,Завршни износ
Closing POS Shift,Затварање ПОС Схифт
Closing Snapshot Available,Доступан је завршни снимак
Code,Код
Code scanned successfully,Код је успешно скениран
COGS,ЦОГС
Collapse item details,Скупи детаље ставке
Collected,Прикупљено
Cols,Цолс
Columns,Колумне
commits,обавезује
Completed and active sales in this range,Завршена и активна продаја у овом асортиману
Completed returns will appear here.,Завршени поврати ће се појавити овде.
Confirm,Потврди
Confirm Close,Потврдите затварање
Confirm Mobile Number,Потврдите број мобилног телефона
Confirm PIN,Потврдите ПИН
Connect,Повежите се
Connect printer and manage certificate,Повежите штампач и управљајте сертификатом
Connecting to QZ Tray...,Повезивање на КЗ Траи...
Connection problem while submitting invoice,Проблем са везом приликом слања фактуре
Connections:,Везе:
Connectivity and cached prerequisite status were rechecked.,Повезивање и статус кешираних предуслова су поново проверени.
Continue Editing,Наставите са уређивањем
Could not fetch latest balance from server,Није могуће преузети најновије стање са сервера
Count,Цоунт
Country,Држава
Coupon,Цоупон
Coupons,Купони
Cover,Цовер
CPU Cores:,ЦПУ језгра:
Create,Креирај
Create and load a new prepaid card,Креирајте и учитајте нову припејд картицу
Create and preload a new gift card,Направите и унапред учитајте нову поклон картицу
Create Bill,Направите рачун
Create Customer,Креирајте купца
Create New Item,Креирајте нову ставку
Create or change your PIN,Креирајте или промените свој ПИН
Create PIN,Креирајте ПИН
Create POS Opening Shift,Направите смену отварања ПОС-а
Create Purchase Order,Креирајте налог за куповину
Create Return,Цреате Ретурн
Create return from invoice,Креирајте повраћај са фактуре
Create Supplier,Креирајте добављача
Credit and Output,Кредит и излаз
Credit Note,Цредит Ноте
Credit Outstanding,Цредит Оутстандинг
Credit sales remaining to be collected,Преостала продаја кредита за прикупљање
Critical,Критички
Currency,Валута
Current,Цуррент
Current Event Loop Lag:,Тренутни кашњење петље догађаја:
Current Month,Цуррент Монтх
Current PIN,Тренутни ПИН
Current Profile,Тренутни профил
Current redeemable value on the gift card,Тренутна откупна вредност на поклон картици
Current User,Тренутни корисник
Custom,Цустом
Custom Due Days,Цустом Дуе Даис
Custom items per page,Прилагођене ставке по страници
Customer,Цустомер
Customer already selected,Клијент је већ изабран
Customer Balance,Стање купаца
Customer balance unavailable offline,Стање клијената није доступно ван мреже
Customer created successfully.,Клијент је успешно креиран.
Customer creation failed.,Креирање клијента није успело.
Customer Details,Цустомер Детаилс
Customer display channel is missing,Недостаје канал за приказ корисника
Customer display was blocked. Please allow pop-ups for this site.,Приказ корисника је блокиран. Дозволите искачуће прозоре за овај сајт.
Customer group is required,Група клијената је обавезна
Customer is required to add payment,Купац је обавезан да дода уплату
Customer Name is required,Име клијента је обавезно
Customer not selected,Купац није изабран
Customer Report,Извештај о клијентима
Customer saved offline,Клијент је сачуван ван мреже
Customer Screen,Кориснички екран
Customer territory is required,Територија корисника је обавезна
Customer updated successfully.,Клијент је успешно ажуриран.
Customer-facing tools and printer setup.,Алати за корисника и подешавање штампача.
Customers,Купци
Customers not found,Купци нису пронађени
Daily cashier actions without scrolling.,Дневне акције благајника без скроловања.
Daily Sales,Даили Салес
Daily Sales Summary,Дневни преглед продаје
Data loaded in form. Review and submit.,Подаци учитани у форму. Прегледајте и пошаљите.
Database Health,Здравље базе података
Database health affects overall system speed and reliability.,Здравље базе података утиче на укупну брзину и поузданост система.
Database Info,Подаци о бази података
Date,Датум
Day ?,Дан?
days,дана
Day-wise (MTD),дневно (МТД)
Day-wise Movement,Дневни покрет
Dead Stock,Деад Стоцк
Dead Stock Items,Деад Стоцк Итемс
Decrease quantity,Смањите количину
Default,Подразумевано
Default:,Подразумевано:
Delete,Избриши
Delete cancelled cash movement {0}?,Избрисати отказано кретање готовине {0}?
Delete Draft,Избриши нацрт
Delete draft invoice,Избришите нацрт фактуре
Delete draft invoice {0}?,Желите ли да избришете радну верзију фактуре {0}?
Delete Invoice,Избриши фактуру
Delete offline invoice,Избришите офлајн фактуру
Delivered,Испоручено
Delivery Charges,Трошкови испоруке
Delivery Information,Информације о испоруци
Delivery Note {0} created,Направљена је отпремница {0}
Delivery note created,Доставница је направљена
Deployed Bundle:,Примењени пакет:
Deposit,Депозит
Description,Опис
Detailed Supplier Breakdown,Детаљан преглед добављача
Detecting formats:,Откривање формата:
Device Memory:,Меморија уређаја:
Difference,Разлика
Difference (In Company Currency),Разлика (у валути компаније)
Disable offline mode first to recheck live connectivity.,Прво онемогућите режим ван мреже да бисте поново проверили везу уживо.
Disconnect,Прекини везу
discount,попуст
Discount %,% попуста
Discount / Void / Return Report,Извештај о попусту / поништењу / поврату
Discount Amount,Износ попуста
Discount limited by POS Profile,Попуст ограничен ПОС профилом
Discounted Invoices,Фактуре са попустом
Discounts,Попусти
Dismiss,Одбаци
Download Certificate,Преузмите сертификат
Draft,Нацрт
Draft invoice deleted,Нацрт фактуре је избрисан
Draft source,Извор нацрта
Drafts,Нацрти
Due {0},Рок за {0}
Due Date,Крајњи рок
Duplicate,Дупликат
Edit customer,Уредите клијента
Edit discount amount,Измените износ попуста
Edit discount percentage,Измените проценат попуста
Edit Gift Application,Уредите апликацију за поклон
Edit item name,Измените назив ставке
Edit quantity,Уредите количину
Edit rate,Едит рате
Edit unit of measure,Уредите јединицу мере
Edited,Едитед
Employee,Запослени
Enable background sync,Омогућите позадинску синхронизацију
Enable Customer Display in POS Profile first.,Прво омогућите приказ корисника у ПОС профилу.
Enter a PIN.,Унесите ПИН.
Enter a valid grams value,Унесите важећу вредност у грамима
Enter new price list rate,Унесите нови ценовник
Enter Quantity,Унесите количину
Enter the cashier PIN to continue.,Унесите ПИН благајне да бисте наставили.
Enter the current PIN first.,Прво унесите тренутни ПИН.
"Enter the current PIN, then choose a new one.","Унесите тренутни ПИН, а затим изаберите нови."
Enter valid grams for scale barcode,Унесите важеће граме за бар код ваге
Entries,Ентриес
Error accessing camera:,Грешка при приступу камери:
Error calculating prices,Грешка при израчунавању цена
Error fetching customer balance,Грешка при преузимању стања клијента
Error in change calculations!,Грешка у прорачунима промене!
Error Loading Data,Грешка при учитавању података
Error loading invoice details,Грешка при учитавању детаља фактуре
Error processing invoice,Грешка при обради фактуре
Error processing payment,Грешка при обради уплате
Error searching invoices,Грешка при претраживању фактура
Error submitting invoice:,Грешка при слању фактуре:
Error submitting invoice: {0},Грешка при слању фактуре: {0}
Error submitting invoice: No response from server,Грешка при слању фактуре: Нема одговора са сервера
Error updating currency,Грешка при ажурирању валуте
Error updating item details,Грешка при ажурирању детаља ставке
Est. Purchase,Проц. Куповина
Est. Value,Проц. Валуе
Event-loop lag measures how busy your browser is. Lower is better.,Кашњење у петљи догађаја мери колико је ваш претраживач заузет. Ниже је боље.
Every,Сваки
Exchange Rate,девизни курс
Expand item details,Проширите детаље ставке
Expected Amount (In Company Currency),Очекивани износ (у валути компаније)
Expected Cash,Очекивана готовина
Expected cash on hand grouped by currency,Очекивана готовина у благајни групирана по валути
Expected vs Actual,Очекивано наспрам стварног
Expense,Трошкови
Expense Account (Optional Override),Рачун трошкова (опционо замена)
Expense account is required.,Потребан је рачун трошкова.
Expenses and deposits posted during this shift,Трошкови и депозити књижени током ове смене
Expired,Истекао
Failed to auto reconcile payments.,Аутоматско усаглашавање плаћања није успело.
Failed to cancel cash movement,Отказивање кретања готовине није успело
Failed to clear cache,Брисање кеша није успело
Failed to create item,Прављење ставке није успело
Failed to create supplier,Креирање добављача није успело
Failed to delete cash movement,Брисање кретања готовине није успело
Failed to generate scale barcode. Using item barcode only.,Није успело генерисање скале бар кода. Коришћење само бар кода артикла.
Failed to load cash movement context.,Учитавање контекста кретања готовине није успело.
Failed to load dashboard data.,Учитавање података контролне табле није успело.
Failed to reload invoice from server,Поново учитавање фактуре са сервера није успело
Failed to submit cash movement,Слање кретања готовине није успело
Failed to sync offline cash movements,Синхронизација кретања готовине ван мреже није успела
Fast cashier actions for active shifts.,Брзе акције благајника за активне смене.
Fast Moving Items,Брзе покретне ставке
Fees,Накнаде
Fetch the latest offline prerequisite updates,Преузмите најновија ажурирања предуслова ван мреже
Find a sales order quickly and load it into the current sale.,Брзо пронађите продајни налог и учитајте га у тренутну продају.
Fixing payment amounts for return invoice...,Фиксирање износа плаћања за повратну фактуру...
Flash Off,Блиц искључен
Flash On,Фласх Он
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","За ставке 'Производни пакет', складиште, серијски број и број серије ће се узети у обзир из табеле 'Листа паковања'. Ако су складиште и број серије исти за све ставке паковања за било коју ставку 'Производни пакет', те вредности се могу унети у главну табелу ставки; вредности ће бити копиране у табелу 'Листа паковања'."
Free,Бесплатно
Free Qty,Фрее Кти
Frequency,Фреквенција
from,из
From Date,Од датума
Fulfillment Details,Детаљи испуњења
Full Name,Пуно име
Gain,Добитак
Generate a fresh prepaid card and start it with an opening balance.,Генеришите нову припејд картицу и започните је са почетним стањем.
Generate and install the certificate to allow fully silent printing without trust prompts.,Генеришите и инсталирајте сертификат да бисте омогућили потпуно тихо штампање без упита о поверењу.
Generate Certificate,Генеришите сертификат
Generated scale barcode: {0},Генерисани бар код скале: {0}
Get Payments,Гет Паиментс
Gift Card,Гифт Цард
Gift card amount must be greater than zero.,Износ поклон картице мора бити већи од нуле.
Gift Card Code,Код поклон картице
Gift card code is required for redemption,За откуп је потребан код поклон картице
Gift card code is required.,Потребан је код поклон картице.
Gift card issued successfully.,Поклон картица је успешно издата.
Gift card loaded successfully.,Поклон картица је успешно учитана.
Gift Card Management,Управљање поклон картицама
Gift card payment,Плаћање поклон картицом
Gift card redemption requires an online connection,За откуп поклон картице потребна је онлајн веза
Gift card topped up successfully.,Поклон картица је успешно допуњена.
Gift Cards,Поклон картице
Go to Frappe Desk,Идите на Фраппе Деск
Grand Total,Укупни тотал
Gross Margin,Бруто маржа
Gross Profit,бруто профит
Gross Sales,Бруто продаја
Group not found,Група није пронађена
"Grouped controls for terminal, UI, and session settings.","Груписане контроле за подешавања терминала, корисничког интерфејса и сесије."
Grouped totals for each payment method and currency,Груписани износи за сваки начин плаћања и валуту
Hide,Сакриј се
Hide Gift Card,Сакриј поклон картицу
Hide Non Essential Fields,Сакриј небитна поља
Hide quantity decimals,Сакриј децимале за количину
Hide search tools,Сакриј алате за претрагу
Hide zero rated items,Сакриј ставке са нултом оценом
High,Високо
History,Историја
Hourly (Today),на сат (данас)
How this section works,Како функционише овај одељак
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","Ако застарели подаци остану, отворите Подешавања > Офлајн и синхронизација и поново покрените Ребуилд офлајн податке док сте на мрежи."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","Ако се упозорење и даље појављује, отворите Подешавања > Офлајн и синхронизација, а затим покрените Освежи ванмрежне податке или Поново изгради ванмрежне податке."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,Увезите сертификат у КЗ Траи и поново покрените КЗ Траи на свакој ПОС машини.
In,У
In stock: {0},На залихама: {0}
Include Batch / Serial,Укључује серију / серијски
Include Price,Укључује цену
Increase quantity,Повећајте количину
IndexedDB,ИндекедДБ
Initial Amount,Почетни износ
Initialize your shift with opening balances,Иницијализирајте своју смену са почетним билансима
Initializing application...,Иницијализација апликације...
"Inspect cache, sync, and prerequisite status","Прегледајте кеш, синхронизацију и статус предуслова"
Installed Applications,Инсталиране апликације
Insufficient stock:\n{0},Недовољно залиха:\н{0}
Invalid rate,Неважећа стопа
Inventory Status Report,Извештај о стању залиха
Invoice,фактура
Invoice {0} is Submitted,Фактура {0} је послата
Invoice {0} processed successfully,Фактура {0} је успешно обрађена
Invoice {0} submission failed,Слање фактуре {0} није успело
Invoice {0} was already submitted,Фактура {0} је већ послата
Invoice Adjustments,Корекције фактура
Invoice Change,Промена фактуре
Invoice Details,Детаљи фактуре
Invoice is still in draft after background submission.,Фактура је још увек у нацрту након подношења у позадини.
Invoice Items,Ставке фактуре
Invoice Management,Управљање фактурама
Invoice Mgmt,Инвоице Мгмт
Invoice saved offline,Фактура је сачувана ван мреже
Invoice submission failed,Слање фактуре није успело
Invoice Submitted,Фактура је послата
"Invoice value settled by loyalty points, not cash collection","Вредност фактуре се измирује бодовима лојалности, а не наплатом готовине"
Invoices,фактуре
Invoices already past due date,Фактуре већ касне са роком доспећа
Invoices saved as POS Invoices,Фактуре сачуване као ПОС фактуре
Invoices still carrying balances,Фактуре још увек садрже стање
Issue Mode,Режим проблема
Issue New Card,Издајте нову картицу
Issue Workflow,Иссуе Воркфлов
"Issue, top up, and check","Издајте, допуните и проверите"
Item,Ставка
Item / Product Sales Report,Извештај о продаји артикла/производа
Item {0} added to invoice,Ставка {0} је додата на фактуру
Item '{0}' has no barcode,Ставка „{0}“ нема бар код
Item Code,Шифра артикла
Item created successfully,Ставка је успешно направљена
Item is out of stock,Артикал није на залихама
Item Name,Назив ставке
Item not found,Ставка није пронађена
Item order updated,Редослед ставки је ажуриран
Item Selector Settings,Подешавања селектора ставки
Items,Предмети
Items added in POS will appear here automatically.,Ставке додате у ПОС ће се аутоматски појавити овде.
Items added to invoice,Ставке додате на фактуру
Items per page,Ставке по страници
Items Sold,Продани предмети
Items/Invoice,Ставке/фактура
Item-wise Profitability,Профитабилност у погледу ставке
Journal Entry,Дневник
json,јсон
Just now,Управо сада
Keep offline prerequisites healthy and recover stale data safely.,Одржавајте предуслове ван мреже здравим и безбедно опоравите застареле податке.
Labels,Етикете
"Language, theme, terminal tools, and session controls.","Језик, тема, терминалски алати и контроле сесије."
Last,Ласт
Last 14 Days (Paid vs Pending),Последњих 14 дана (плаћено у односу на чекање)
Last 14 Days Activity,Активност у последњих 14 дана
Last 14 Days Gross Profit,Бруто профит последњих 14 дана
Last 14 Days Purchases,Куповине у последњих 14 дана
Last 14 Days Tax/Charges,Порези/накнаде за последњих 14 дана
Last sync:,Последња синхронизација:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},Последња синхронизација: {0} | ок: {1} | неуспешно: {2} | прескочено: {3}
Latest entries for current shift,Најновији уноси за тренутну смену
Lead Time,Леад Тиме
Limited,Ограничено
lines,линије
List,Лист
Live Snapshot,Снимак уживо
Load a POS profile and cashier first.,Прво учитајте ПОС профил и благајника.
Load More Invoices,Учитај још фактура
Load previously saved invoices,Учитајте претходно сачуване фактуре
Load Sale,Лоад Сале
Load Sales Invoice,Учитајте фактуру за продају
Loading app data...,Учитавање података апликације...
Loading customer database...,Учитавање базе података клијената...
Loading customers...,Учитавање клијената...
Loading database stats...,Учитавање статистике базе података...
Loading details...,Учитавање детаља...
Loading invoice history...,Учитавање историје фактура...
Loading items...,Учитавање ставки...
Loading product catalog...,Учитавање каталога производа...
Loading return invoices...,Учитавање повратних фактура...
Loading server CPU/memory usage...,Учитавање употребе ЦПУ-а/меморије сервера...
Loading suppliers...,Учитавање добављача...
Loading unpaid invoices...,Учитавање неплаћених фактура...
Loading view...,Учитавање приказа...
Loading...,Учитавање...
Local storage is unavailable. Switching to online-only mode.,Локално складиште није доступно. Прелазак на режим само на мрежи.
localStorage,лоцалСтораге
Location Performance,Перформансе локације
Locations,Локације
Lock Screen,Закључавање екрана
Lookup Workflow,Лоокуп Воркфлов
Loss,Губитак
Low,Ниско
Low Stock,Лов Стоцк
Low Stock Alerts,Упозорења о ниским залихама
Low Stock Items,Лов Стоцк Итемс
Low Stock Threshold,Лов Стоцк Тхресхолд
Low Stock Total,Лов Стоцк Тотал
Lowest Margin,Најнижа маржа
Low-frequency maintenance and system details.,Нискофреквентно одржавање и детаљи система.
Loyalty Redeemed,Лоиалти Редеемед
Loyalty Redemption,Лоиалти Редемптион
Make New Payment,Извршите ново плаћање
Manage all,Управљајте свиме
Manage and synchronize your offline transactions,Управљајте и синхронизујте своје офлајн трансакције
Manage Cashier PIN,Управљајте ПИН-ом за благајну
"Manage offline tools, terminal controls, and maintenance from one workspace.","Управљајте офлајн алатима, терминалским контролама и одржавањем из једног радног простора."
manual,приручник
"Manual codes, barcode scans, and QR scans work in the same field","Ручни кодови, скенирање бар кодова и КР скенирање раде у истом пољу"
Manual offline mode is enabled,Ручни режим ван мреже је омогућен
Margin,Маргина
