Applied,Primijenjeno
Apply,Prijavite se
Apply Gift Card,Primijenite poklon karticu
Apply Offer,Primijeni ponudu
Apply On,Apply On
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Primijenite samo iznos koji želite unovčiti na ovoj fakturi. Preostali iznos ostaje na kartici.
Apply Redemption,Primijeni otkup
Applying,Primjena
Apps,Apps
Are you sure you want to close? All entered data will be lost.,Jeste li sigurni da želite zatvoriti? Svi uneseni podaci će biti izgubljeni.
Attributes (Size/Color),Atributi (veličina/boja)
Auto Allocate Payment Amount,Automatska dodjela iznosa plaćanja
Auto Reconcile,Auto Reconcile
Auto reconciliation completed after payment submit.,Automatsko usaglašavanje je završeno nakon uplate.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Automatsko pomirenje je završeno. Dodijeljeno: {0}{1}. Preostalo neriješeno: {0}{2}.
Available Actions,Dostupne radnje
Available QTY,Dostupan KOL
Available:,Dostupan:
Average Basket,Prosječna košarica
Average Bill,Average Bill
Average Ticket,Average Ticket
Avg Bill,Avg Bill
Avg Invoice,Avg Invoice
Avg Invoice Profit,Prosj. profit na fakturi
Avg Invoice Value,Prosječna vrijednost fakture
Avg Purchase Frequency,Prosječna učestalost kupovine
Awesome,Sjajno
Awesome Dashboard,Awesome Dashboard
Awesome Dashboard is disabled for the selected POS Profile.,Awesome Dashboard je onemogućen za odabrani POS profil.
Awesome Dashboard is unavailable for the selected scope.,Awesome Dashboard nije dostupan za odabrani opseg.
Awesome Dashboard is visible only to POS supervisors.,Sjajna kontrolna tabla vidljiva je samo supervizorima POS-a.
Back,Nazad
Back Office Cash Account,Back Office gotovinski račun
Back Office Cash Account (Optional Override),gotovinski račun za back Office (opciono zamjena)
Back office cash account is required.,Potreban je gotovinski račun za back office.
Back to {0},Natrag na {0}
Background processing did not finish in time.,Pozadinska obrada nije završena na vrijeme.
Background processing failed for Invoice {0}: {1},Pozadinska obrada nije uspjela za fakturu {0}: {1}
Background Submission Failed,Slanje u pozadini nije uspjelo
Background sync interval (seconds),Interval sinhronizacije u pozadini (sekunde)
Balance,Balans
Balance will be updated when connection is restored,Stanje će biti ažurirano kada se veza uspostavi
Balances still pending,Stanja još uvijek na čekanju
Barcode,Barkod
Barcode / QR Ready,Barkod / QR Ready
Barcode Label Printing,Štampanje barkod etiketa
Base Paid:,Plaćeno osnovno:
Base Recv:,Base Recv:
Base:,baza:
Basic Information,Osnovne informacije
Batch,Batch
Batch Information,Informacije o seriji
Before any return workflow,Prije bilo kakvog povratnog toka posla
Before returns,Prije povratka
Best Day,Najbolji dan
Best Seller,Best Seller
Book expense or deposit from active shift.,Rezervirajte trošak ili depozit iz aktivne smjene.
Branch / Location-wise Report,Izvještaj o podružnici / lokaciji
Brand-wise,Brandwise
Breakdown,Breakdown
Browse,Pregledaj
Build Time:,Vrijeme izrade:
Built with Frappe,Izgrađen sa Frappeom
Bundle,Bundle
Buying Price,Kupovna cijena
Cache cleared successfully,Cache je uspješno obrisan
Cache Usage,Cache Usage
cache used,cache is used
Calculating...,Izračunavanje...
Camera Access Required,Potreban je pristup kameri
Camera access was aborted. Please try again.,Pristup kameri je prekinut. Molimo pokušajte ponovo.
Camera constraints not supported by your device. Trying fallback settings...,Vaš uređaj ne podržava ograničenja kamere. Pokušavam rezervne postavke...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,Kamera je zauzeta ili blokirana od strane druge aplikacije/kartice. Zatvorite druge aplikacije kamere i pokušajte ponovo.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,Dozvola za kameru je odbijena. Dozvolite pristup kameri u postavkama vašeg pretraživača i osvježite stranicu.
Camera scanner is locked until the current error is acknowledged,Skener kamere je zaključan dok se trenutna greška ne potvrdi
Camera started but the video stream did not load in time. Please try again.,"Kamera je pokrenuta, ali video stream se nije učitao na vrijeme. Molimo pokušajte ponovo."
Cancel cash movement {0}?,Otkazati kretanje gotovine {0}?
Cancel Payment,Otkaži plaćanje
Cancel Sale,Cancel Sale
Cancel Sale ?,Otkazati prodaju?
Cancelled,Otkazano
Cannot add an item with zero or negative quantity.,Nije moguće dodati stavku s nultom ili negativnom količinom.
Cannot clear cache while offline,Nije moguće obrisati keš memoriju dok ste van mreže
Cannot redeem customer credit more than invoice total,Ne može se iskoristiti kredit klijenta koji je veći od ukupnog iznosa fakture
Cannot redeem gift cards more than invoice total,Ne možete iskoristiti poklon kartice više od ukupnog iznosa fakture
Cannot Save Offline Invoice:,Nije moguće sačuvati vanmrežnu fakturu:
Cannot Save Offline Payment:,Nije moguće sačuvati vanmrežno plaćanje:
Card,Card
Card / Online,Kartica / Online
Card health after the last live lookup,Zdravlje kartice nakon posljednjeg pregleda uživo
Cards,Karte
Cart,Cart
Cash,Cash
Cash back to customers,Povrat novca kupcima
Cash Collections,Cash Collections
Cash Deposit is disabled for this POS Profile.,Gotovinski depozit je onemogućen za ovaj POS profil.
Cash Drawer Snapshot,Snimak kase
Cash In Hand,Gotovina u ruci
Cash Movement,Pokret gotovine
Cash movement cancelled,Kretanje gotovine je otkazano
Cash movement deduction applied,Primijenjen je odbitak kretanja gotovine
Cash movement deleted,Kretanje gotovine je izbrisano
Cash movement is disabled for this POS Profile.,Kretanje gotovine je onemogućeno za ovaj POS profil.
Cash Movement is disabled in current POS Profile.,Kretanje gotovine je onemogućeno u trenutnom POS profilu.
Cash movement saved offline,Kretanje gotovine sačuvano van mreže
Cash movement submitted,Dostavljeno kretanje gotovine
Cash Movements,Gotovinski pokreti
Cash payment cannot be less than invoice total when partial payment is not allowed,Gotovinsko plaćanje ne može biti manje od ukupnog iznosa računa kada nije dozvoljeno djelomično plaćanje
Cash returned after payment,Gotovina vraćena nakon uplate
Cashier,Blagajnik
Cashier Access,Pristup blagajni
Cashier identity and appearance preferences.,Identitet blagajnika i preferencije izgleda.
Cashier PIN,PIN blagajne
Cashier PIN saved successfully.,PIN blagajne je uspješno sačuvan.
Cashiers,Blagajnici
Cashier-wise,Blagajnički
Categories,Kategorije
Category,Kategorija
Category / Brand / Variant Report,Izvještaj o kategoriji / Marki / varijanti
Category-wise,Po kategorijama
Category-wise Margin,Marža po kategorijama
Certificate,Certifikat
Certificate is missing or not trusted. QZ may show confirmation dialogs.,Certifikat nedostaje ili mu se ne vjeruje. QZ može prikazati dijaloge za potvrdu.
Certificate is trusted. Silent QZ printing is active.,Certifikat je pouzdan. Tiho QZ štampanje je aktivno.
Change,Promjena
Change allocation repaired,Promjena alokacije popravljena
Change Price,Promjena cijene
Change Return,Promjena Povrat
Change Returned,Promjena vraćena
Change terminal cashier,Promijenite blagajnika terminala
Charge Heads,Charge Heads
Charges,Naplate
Charges not found,Naplate nisu pronađene
Check Balance,Provjerite stanje
Check balance for any card. Supervisors can issue and top up cards here.,Provjerite stanje bilo koje kartice. Ovdje nadzornici mogu izdati i dopuniti kartice.
Check balance only,Provjerite samo stanje
Check for new commits,Provjerite ima li novih urezivanja
Check for Updates,Provjerite ima li ažuriranja
Check live balance before applying redemption,Provjerite stanje uživo prije primjene otkupa
Check live balance before redemption,Provjerite stanje uživo prije isplate
Checking...,Provjeravam...
Cheque/Reference Date,Ček/Referentni datum
Cheque/Reference No,Ček/Referentni br
Choose the cashier currently operating this terminal.,Odaberite blagajnika koji trenutno radi na ovom terminalu.
City,Grad
Clear,Jasno
Clear All,Obriši sve
Clear all barcode items,Obrišite sve stavke sa bar kodom
Clear all purchase order items,Obrišite sve stavke narudžbenice
Clear Search,Obriši pretragu
Clearing local cache...,Brisanje lokalne keš memorije...
Click to refresh,Kliknite da osvježite
Client CPU Lag:,CPU zaostajanje klijenta:
Client Memory Usage:,Upotreba klijentske memorije:
Client Metrics,Client Metrics
Close about dialog,Zatvori o dijalogu
Close cashier switcher,Zatvorite menjač blagajne
Close closing shift dialog,Zatvori dijalog za zatvaranje pomaka
Close column selector,Zatvori selektor stupaca
Close Dialog,Zatvorite dijalog
Close drafts dialog,Zatvorite dijalog nacrta
Close invoice details dialog,Zatvorite dijalog detalja fakture
Close invoice management,Zatvorite upravljanje fakturama
Close offline invoices dialog,Zatvorite dijalog vanmrežnih faktura
Close packing list dialog,Zatvori dijalog liste pakovanja
Close returns dialog,Zatvori dijalog vraćanja
Close sales orders dialog,Zatvorite dijalog prodajnih naloga
Close Scanner,Zatvorite skener
Close scanner dialog,Zatvorite dijalog skenera
Close Settings,Zatvorite Postavke
Closing Amount,Završni iznos
Closing POS Shift,Zatvaranje POS Shift
Closing Snapshot Available,Dostupan je snimak zatvaranja
Code,Kod
Code scanned successfully,Kôd je uspješno skeniran
COGS,COGS
Collapse item details,Sažmi detalje stavke
Collected,Prikupljeno
Cols,Cols
Columns,Kolone
commits,obavezuje
Completed and active sales in this range,Završena i aktivna prodaja u ovom asortimanu
Completed returns will appear here.,Završeni povrati će se pojaviti ovdje.
Confirm,Potvrdi
Confirm Close,Potvrdite Zatvori
Confirm Mobile Number,Potvrdite broj mobilnog telefona
Confirm PIN,Potvrdite PIN
Connect,Povežite se
Connect printer and manage certificate,Povežite štampač i upravljajte certifikatom
Connecting to QZ Tray...,Povezivanje na QZ Tray...
Connection problem while submitting invoice,Problem sa vezom prilikom slanja fakture
Connections:,Veze:
Connectivity and cached prerequisite status were rechecked.,Povezivanje i status keširanih preduvjeta su ponovo provjereni.
Continue Editing,Nastavite sa uređivanjem
Could not fetch latest balance from server,Nije moguće dohvatiti najnovije stanje sa servera
Count,Count
Country,Država
Coupon,Kupon
Coupons,Kuponi
Cover,Cover
CPU Cores:,CPU jezgra:
Create,Kreiraj
Create and load a new prepaid card,Kreirajte i učitajte novu prepaid karticu
Create and preload a new gift card,Kreirajte i unaprijed učitajte novu poklon karticu
Create Bill,Kreirajte račun
Create Customer,Kreirajte kupca
Create New Item,Kreirajte novu stavku
Create or change your PIN,Kreirajte ili promijenite svoj PIN
Create PIN,Kreirajte PIN
Create POS Opening Shift,Kreirajte smjenu otvaranja POS-a
Create Purchase Order,Kreirajte narudžbenicu
Create Return,Kreiraj povratak
Create return from invoice,Kreirajte povrat sa fakture
Create Supplier,Kreirajte dobavljača
Credit and Output,Kredit i izlaz
Credit Note,Credit Note
Credit Outstanding,Credit Outstanding
Credit sales remaining to be collected,Preostala prodaja kredita za naplatu
Critical,Kritično
Currency,Valuta
Current,Current
Current Event Loop Lag:,Trenutni kašnjenje petlje događaja:
Current Month,Trenutni mjesec
Current PIN,Trenutni PIN
Current Profile,Trenutni profil
Current redeemable value on the gift card,Trenutna isplativa vrijednost na poklon kartici
Current User,Trenutni korisnik
Custom,Custom
Custom Due Days,Custom Due Days
Custom items per page,Prilagođene stavke po stranici
Customer,Kupac
Customer already selected,Kupac je već odabran
Customer Balance,Stanje kupaca
Customer balance unavailable offline,Stanje korisnika nije dostupno van mreže
Customer created successfully.,Klijent je uspješno kreiran.
Customer creation failed.,Kreiranje korisnika nije uspjelo.
Customer Details,Customer Details
Customer display channel is missing,Nedostaje kanal prikaza korisnika
Customer display was blocked. Please allow pop-ups for this site.,Prikaz korisnika je blokiran. Dozvolite iskačuće prozore za ovu stranicu.
Customer group is required,Grupa kupaca je obavezna
Customer is required to add payment,Kupac je dužan dodati uplatu
Customer Name is required,Ime klijenta je obavezno
Customer not selected,Kupac nije odabran
Customer Report,Customer Report
Customer saved offline,Klijent je sačuvan van mreže
Customer Screen,Korisnički ekran
Customer territory is required,Teritorija korisnika je obavezna
Customer updated successfully.,Korisnik je uspješno ažuriran.
Customer-facing tools and printer setup.,Alati za klijente i podešavanje štampača.
Customers,Kupci
Customers not found,Kupci nisu pronađeni
Daily cashier actions without scrolling.,Dnevne akcije blagajnika bez skrolovanja.
Daily Sales,Daily Sales
Daily Sales Summary,Dnevni sažetak prodaje
Data loaded in form. Review and submit.,Podaci učitani u formu. Pregledajte i pošaljite.
Database Health,Zdravlje baze podataka
Database health affects overall system speed and reliability.,Zdravlje baze podataka utiče na ukupnu brzinu i pouzdanost sistema.
Database Info,Podaci o bazi podataka
Date,Datum
Day ?,Dan?
days,dana
Day-wise (MTD),dnevno (MTD)
Day-wise Movement,Dnevni pokret
Dead Stock,Mrtva zaliha
Dead Stock Items,Mrtve zalihe
Decrease quantity,Smanjite količinu
Default,Default
Default:,Zadano:
Delete,Izbriši
Delete cancelled cash movement {0}?,Izbrisati otkazano kretanje gotovine {0}?
Delete Draft,Izbriši nacrt
Delete draft invoice,Izbrisati nacrt fakture
Delete draft invoice {0}?,Izbrisati nacrt fakture {0}?
Delete Invoice,Izbriši fakturu
Delete offline invoice,Izbrišite vanmrežnu fakturu
Delivered,Isporučeno
Delivery Charges,Troškovi dostave
Delivery Information,Informacije o dostavi
Delivery Note {0} created,Napomena o isporuci {0} kreirana
Delivery note created,Dostavnica kreirana
Deployed Bundle:,Raspoređeni paket:
Deposit,Depozit
Description,Opis
Detailed Supplier Breakdown,Detaljan pregled dobavljača
Detecting formats:,Otkrivanje formata:
Device Memory:,Memorija uređaja:
Difference,Razlika
Difference (In Company Currency),Razlika (u valuti kompanije)
Disable offline mode first to recheck live connectivity.,Prvo onemogućite način rada van mreže da ponovo provjerite vezu uživo.
Disconnect,Prekini vezu
discount,popust
Discount %,Popust %
Discount / Void / Return Report,Popust / Poništenje / Izvještaj o povratu
Discount Amount,Iznos popusta
Discount limited by POS Profile,Popust ograničen POS profilom
Discounted Invoices,Fakture s popustom
Discounts,Popusti
Dismiss,Odbaci
Download Certificate,Preuzmite certifikat
Draft,Nacrt
Draft invoice deleted,Nacrt fakture je izbrisan
Draft source,Izvor nacrta
Drafts,Nacrti
Due {0},Rok {0}
Due Date,Krajnji rok
Duplicate,Duplikat
Edit customer,Uredi kupca
Edit discount amount,Uredite iznos popusta
Edit discount percentage,Uredite postotak popusta
Edit Gift Application,Uredite aplikaciju za poklone
Edit item name,Uredite naziv stavke
Edit quantity,Uredite količinu
Edit rate,Uredi stopu
Edit unit of measure,Uredite mjernu jedinicu
Edited,Edited
Employee,Zaposleni
Enable background sync,Omogućite pozadinsku sinhronizaciju
Enable Customer Display in POS Profile first.,Prvo omogućite prikaz korisnika u POS profilu.
Enter a PIN.,Unesite PIN.
Enter a valid grams value,Unesite važeću vrijednost u gramima
Enter new price list rate,Unesite novi cjenovnik cijene
Enter Quantity,Unesite količinu
Enter the cashier PIN to continue.,Unesite PIN blagajne da nastavite.
Enter the current PIN first.,Prvo unesite trenutni PIN.
"Enter the current PIN, then choose a new one.","Unesite trenutni PIN, a zatim odaberite novi."
Enter valid grams for scale barcode,Unesite važeće grame za bar kod vage
Entries,Unosi
Error accessing camera:,Greška pri pristupu kameri:
Error calculating prices,Greška pri izračunavanju cijena
Error fetching customer balance,Greška pri preuzimanju stanja korisnika
Error in change calculations!,Greška u izračunima promjene!
Error Loading Data,Greška pri učitavanju podataka
Error loading invoice details,Greška pri učitavanju detalja fakture
Error processing invoice,Greška u obradi fakture
Error processing payment,Greška u obradi plaćanja
Error searching invoices,Greška u pretraživanju faktura
Error submitting invoice:,Greška pri slanju fakture:
Error submitting invoice: {0},Greška pri slanju fakture: {0}
Error submitting invoice: No response from server,Greška pri slanju fakture: Nema odgovora sa servera
Error updating currency,Greška pri ažuriranju valute
Error updating item details,Greška pri ažuriranju detalja stavke
Est. Purchase,Proc. Kupovina
Est. Value,Proc. Vrijednost
Event-loop lag measures how busy your browser is. Lower is better.,Kašnjenje u petlji događaja mjeri koliko je vaš pretraživač zauzet. Niže je bolje.
Every,Svaki
Exchange Rate,devizni kurs
Expand item details,Proširite detalje stavke
Expected Amount (In Company Currency),Očekivani iznos (u valuti kompanije)
Expected Cash,Očekivana gotovina
Expected cash on hand grouped by currency,Očekivana gotovina u blagajni grupirana po valuti
Expected vs Actual,Očekivano naspram stvarnog
Expense,Troškovi
Expense Account (Optional Override),Račun troškova (opcionalno nadjačavanje)
Expense account is required.,Potreban je račun troškova.
Expenses and deposits posted during this shift,Troškovi i depoziti knjiženi tokom ove smjene
Expired,Istekao
Failed to auto reconcile payments.,Automatsko usklađivanje plaćanja nije uspjelo.
Failed to cancel cash movement,Otkazivanje kretanja gotovine nije uspjelo
Failed to clear cache,Brisanje keša nije uspjelo
Failed to create item,Kreiranje stavke nije uspjelo
Failed to create supplier,Kreiranje dobavljača nije uspjelo
Failed to delete cash movement,Brisanje kretanja gotovine nije uspjelo
Failed to generate scale barcode. Using item barcode only.,Nije uspjelo generiranje skale barkoda. Korištenje samo bar koda artikla.
Failed to load cash movement context.,Učitavanje konteksta kretanja gotovine nije uspjelo.
Failed to load dashboard data.,Učitavanje podataka kontrolne table nije uspjelo.
Failed to reload invoice from server,Ponovno učitavanje fakture sa servera nije uspjelo
Failed to submit cash movement,Nije uspjelo slanje kretanja gotovine
Failed to sync offline cash movements,Sinhronizacija kretanja gotovine van mreže nije uspjela
Fast cashier actions for active shifts.,Brze akcije blagajnika za aktivne smjene.
Fast Moving Items,Fast Moving Items
Fees,Naknade
Fetch the latest offline prerequisite updates,Preuzmite najnovija vanmrežna ažuriranja preduvjeta
Find a sales order quickly and load it into the current sale.,Brzo pronađite prodajni nalog i učitajte ga u trenutnu prodaju.
Fixing payment amounts for return invoice...,Fiksiranje iznosa plaćanja za povratnu fakturu...
Flash Off,Blic isključen
Flash On,Flash On
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","Za stavke 'Proizvodni paket', skladište, serijski broj i broj serije će se uzeti u obzir iz tabele 'Lista pakovanja'. Ako su skladište i broj serije isti za sve artikle pakovanja za bilo koju stavku 'Proizvodni paket', te vrijednosti se mogu unijeti u glavnu tabelu stavki; vrijednosti će biti kopirane u tablicu 'Packing List'."
Free,Besplatno
Free Qty,Free Qty
Frequency,Frekvencija
from,od
From Date,Od datuma
Fulfillment Details,Detalji ispunjenja
Full Name,Puno ime
Gain,Dobitak
Generate a fresh prepaid card and start it with an opening balance.,Generirajte novu prepaid karticu i započnite je sa početnim stanjem.
Generate and install the certificate to allow fully silent printing without trust prompts.,Generirajte i instalirajte certifikat kako biste omogućili potpuno tiho štampanje bez upita o povjerenju.
Generate Certificate,Generiraj certifikat
Generated scale barcode: {0},Generirani bar kod skale: {0}
Get Payments,Get Payments
Gift Card,Poklon kartica
Gift card amount must be greater than zero.,Iznos poklon kartice mora biti veći od nule.
Gift Card Code,Kod poklon kartice
Gift card code is required for redemption,Za otkup je potreban kod poklon kartice
Gift card code is required.,Potreban je kod poklon kartice.
Gift card issued successfully.,Poklon kartica uspješno izdata.
Gift card loaded successfully.,Poklon kartica je uspješno učitana.
Gift Card Management,Upravljanje poklon karticama
Gift card payment,Plaćanje poklon karticom
Gift card redemption requires an online connection,Za otkup poklon kartice potrebna je internetska veza
Gift card topped up successfully.,Poklon kartica je uspješno dopunjena.
Gift Cards,Poklon kartice
Go to Frappe Desk,Idite na Frappe Desk
Grand Total,Ukupno ukupno
Gross Margin,Bruto marža
Gross Profit,bruto dobit
Gross Sales,Bruto prodaja
Group not found,Grupa nije pronađena
"Grouped controls for terminal, UI, and session settings.","Grupirane kontrole za postavke terminala, korisničkog sučelja i sesije."
Grouped totals for each payment method and currency,Grupirani iznosi za svaki način plaćanja i valutu
Hide,Sakrij se
Hide Gift Card,Sakrij poklon karticu
Hide Non Essential Fields,Sakrij nebitna polja
Hide quantity decimals,Sakrij decimale za količinu
Hide search tools,Sakrij alate za pretraživanje
Hide zero rated items,Sakrij stavke s nultom ocjenom
High,Visoko
History,Istorija
Hourly (Today),Po satu (danas)
How this section works,Kako ovaj odjeljak funkcionira
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","Ako zastarjeli podaci ostanu, otvorite Postavke > Offline & Sync i pokrenite Rebuild Offline Data ponovo dok ste na mreži."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","Ako se upozorenje i dalje pojavljuje, otvorite Postavke > Offline & Sync, a zatim pokrenite Osvježi vanmrežne podatke ili Ponovo izgradi vanmrežne podatke."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,Uvezite certifikat u QZ Tray i ponovo pokrenite QZ Tray na svakom POS uređaju.
In,U
In stock: {0},Na zalihama: {0}
Include Batch / Serial,Uključuje Batch / Serial
Include Price,Uključuje cijenu
Increase quantity,Povećajte količinu
IndexedDB,IndexedDB
Initial Amount,Početni iznos
Initialize your shift with opening balances,Inicijalizirajte svoju smjenu početnim bilansima
Initializing application...,Inicijalizacija aplikacije...
"Inspect cache, sync, and prerequisite status","Pregledajte keš memoriju, sinhronizaciju i status preduvjeta"
Installed Applications,Instalirane aplikacije
Insufficient stock:\n{0},Nedovoljna zaliha:\n{0}
Invalid rate,Nevažeća stopa
Inventory Status Report,Izvještaj o stanju inventara
Invoice,Račun
Invoice {0} is Submitted,Faktura {0} je poslana
Invoice {0} processed successfully,Faktura {0} je uspješno obrađena
Invoice {0} submission failed,Slanje fakture {0} nije uspjelo
Invoice {0} was already submitted,Faktura {0} je već poslana
Invoice Adjustments,Korekcije faktura
Invoice Change,Promjena fakture
Invoice Details,Detalji računa
Invoice is still in draft after background submission.,Faktura je još uvijek u nacrtu nakon predaje u pozadini.
Invoice Items,Stavke fakture
Invoice Management,Upravljanje fakturama
Invoice Mgmt,Invoice Mgmt
Invoice saved offline,Faktura je sačuvana van mreže
Invoice submission failed,Slanje fakture nije uspjelo
Invoice Submitted,Faktura dostavljena
"Invoice value settled by loyalty points, not cash collection","Vrijednost fakture se obračunava bodovima lojalnosti, a ne naplatom gotovine"
Invoices,Računi
Invoices already past due date,Fakture već kasne sa rokom dospijeća
Invoices saved as POS Invoices,Fakture sačuvane kao POS fakture
Invoices still carrying balances,Fakture još uvijek sadrže stanje
Issue Mode,Issue Mode
Issue New Card,Izdajte novu karticu
Issue Workflow,Problem Tok rada
"Issue, top up, and check","Izdajte, dopunite i provjerite"
Item,Stavka
Item / Product Sales Report,Izvještaj o prodaji artikla/proizvoda
Item {0} added to invoice,Stavka {0} dodana na fakturu
Item '{0}' has no barcode,Stavka '{0}' nema bar kod
Item Code,Šifra artikla
Item created successfully,Stavka je uspješno kreirana
Item is out of stock,Artikl nije na zalihama
Item Name,Naziv stavke
Item not found,Stavka nije pronađena
Item order updated,Redoslijed artikala je ažuriran
Item Selector Settings,Postavke birača stavki
Items,Predmeti
Items added in POS will appear here automatically.,Stavke dodate u POS će se automatski pojaviti ovdje.
Items added to invoice,Stavke dodane na fakturu
Items per page,Stavke po stranici
Items Sold,Prodani artikli
Items/Invoice,Stavke/faktura
Item-wise Profitability,Profitabilnost po artiklima
Journal Entry,Dnevnik
json,json
Just now,Upravo sada
Keep offline prerequisites healthy and recover stale data safely.,Održavajte vanmrežne preduslove zdrave i bezbedno oporavite zastarele podatke.
Labels,Etikete
"Language, theme, terminal tools, and session controls.","Jezik, tema, terminalski alati i kontrole sesije."
Last,Last
Last 14 Days (Paid vs Pending),Zadnjih 14 dana (Plaćeno u odnosu na čekanje)
Last 14 Days Activity,Aktivnost u posljednjih 14 dana
Last 14 Days Gross Profit,Bruto profit posljednjih 14 dana
Last 14 Days Purchases,Kupovina u posljednjih 14 dana
Last 14 Days Tax/Charges,Porezi/naknade za zadnjih 14 dana
Last sync:,Zadnja sinhronizacija:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},Zadnja sinhronizacija: {0} | ok: {1} | nije uspjelo: {2} | preskočeno: {3}
Latest entries for current shift,Najnoviji unosi za trenutnu smjenu
Lead Time,Lead Time
Limited,Ograničeno
lines,linije
List,Lista
Live Snapshot,Snimak uživo
Load a POS profile and cashier first.,Prvo učitajte POS profil i blagajnika.
Load More Invoices,Učitaj više faktura
Load previously saved invoices,Učitajte prethodno sačuvane fakture
Load Sale,Load Sale
Load Sales Invoice,Učitaj fakturu prodaje
Loading app data...,Učitavanje podataka aplikacije...
