POS Awesome,POS अप्रतिम
Cache cleared successfully,कॅशे यशस्वीरित्या साफ केले
Cache Usage,कॅशे वापर
cache used,कॅशे वापरले
Calculating...,गणना करत आहे...
Camera Access Required,कॅमेरा प्रवेश आवश्यक
Camera access was aborted. Please try again.,कॅमेरा प्रवेश रद्द करण्यात आला. कृपया पुन्हा प्रयत्न करा.
Camera constraints not supported by your device. Trying fallback settings...,तुमच्या डिव्हाइसद्वारे कॅमेरा मर्यादा समर्थित नाहीत. फॉलबॅक सेटिंग्ज वापरून पाहत आहे...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,कॅमेरा व्यस्त आहे किंवा दुसऱ्या ॲप/टॅबद्वारे अवरोधित आहे. इतर कॅमेरा ॲप्स बंद करा आणि पुन्हा प्रयत्न करा.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,कॅमेरा परवानगी नाकारली. कृपया तुमच्या ब्राउझर सेटिंग्जमध्ये कॅमेरा प्रवेशास अनुमती द्या आणि पृष्ठ रीफ्रेश करा.
Camera scanner is locked until the current error is acknowledged,वर्तमान त्रुटी मान्य होईपर्यंत कॅमेरा स्कॅनर लॉक केला जातो
Camera started but the video stream did not load in time. Please try again.,कॅमेरा सुरू झाला पण व्हिडिओ प्रवाह वेळेत लोड झाला नाही. कृपया पुन्हा प्रयत्न करा.
Cancel cash movement {0}?,रोख चलन रद्द करायचे {0}?
Cancel Payment,पेमेंट रद्द करा
Cancel Sale,विक्री रद्द करा
Cancel Sale ?,विक्री रद्द करायची?
Cancelled,रद्द केले
Cannot add an item with zero or negative quantity.,शून्य किंवा ऋण प्रमाणासह आयटम जोडू शकत नाही.
Cannot clear cache while offline,ऑफलाइन असताना कॅशे साफ करू शकत नाही
Cannot redeem customer credit more than invoice total,इनव्हॉइस एकूण पेक्षा जास्त ग्राहक क्रेडिट रिडीम करू शकत नाही
Cannot redeem gift cards more than invoice total,इनव्हॉइस एकूणपेक्षा जास्त भेट कार्ड रिडीम करू शकत नाही
Cannot Save Offline Invoice:,ऑफलाइन बीजक जतन करू शकत नाही:
Cannot Save Offline Payment:,ऑफलाइन पेमेंट जतन करू शकत नाही:
Card,कार्ड
Card / Online,कार्ड / ऑनलाइन
Card health after the last live lookup,शेवटच्या लाइव्ह लुकअप नंतर कार्ड आरोग्य
Cards,कार्ड्स
Cart,कार्ट
Cash,रोख
Cash back to customers,ग्राहकांना परत रोख
Cash Collections,रोख संग्रह
Cash Deposit is disabled for this POS Profile.,या POS प्रोफाइलसाठी रोख ठेव अक्षम केली आहे.
Cash Drawer Snapshot,कॅश ड्रॉवर स्नॅपशॉट
Cash In Hand,हातात रोख
Cash Movement,रोख हालचाल
Cash movement cancelled,रोख चलन रद्द
Cash movement deduction applied,रोख हालचाल वजावट लागू
Cash movement deleted,रोख हालचाल हटवली
Cash movement is disabled for this POS Profile.,या POS प्रोफाइलसाठी रोख हालचाल अक्षम केली आहे.
Cash Movement is disabled in current POS Profile.,सध्याच्या POS प्रोफाइलमध्ये रोख हालचाल अक्षम केली आहे.
Cash movement saved offline,रोख हालचाल ऑफलाइन जतन केली
Cash movement submitted,रोख आंदोलन सादर केले
Cash Movements,रोख हालचाली
Cash payment cannot be less than invoice total when partial payment is not allowed,जेव्हा आंशिक पेमेंटला परवानगी नसते तेव्हा रोख पेमेंट इनव्हॉइस एकूणपेक्षा कमी असू शकत नाही
Cash returned after payment,पैसे भरल्यानंतर रोख परत केली
Cashier,रोखपाल
Cashier Access,रोखपाल प्रवेश
Cashier identity and appearance preferences.,रोखपाल ओळख आणि देखावा प्राधान्ये.
Cashier PIN,रोखपाल पिन
Cashier PIN saved successfully.,रोखपाल पिन यशस्वीरित्या जतन केला.
Cashiers,रोखपाल
Cashier-wise,कॅशियर-निहाय
Categories,श्रेण्या
Category,श्रेणी
Category / Brand / Variant Report,श्रेणी / ब्रँड / प्रकार अहवाल
Category-wise,वर्गवारीनुसार
Category-wise Margin,वर्गवारीनुसार समास
Certificate,प्रमाणपत्र
Certificate is missing or not trusted. QZ may show confirmation dialogs.,प्रमाणपत्र गहाळ आहे किंवा विश्वसनीय नाही. QZ पुष्टीकरण संवाद दर्शवू शकतो.
Certificate is trusted. Silent QZ printing is active.,प्रमाणपत्र विश्वसनीय आहे. मूक QZ मुद्रण सक्रिय आहे.
Change,बदला
Change allocation repaired,बदल वाटप दुरुस्ती
Change Price,किंमत बदला
Change Return,परतावा बदला
Change Returned,बदल परत आला
Change terminal cashier,टर्मिनल कॅशियर बदला
Charge Heads,चार्ज हेड्स
Charges,चार्जेस
Charges not found,शुल्क आढळले नाही
Check Balance,शिल्लक तपासा
Check balance for any card. Supervisors can issue and top up cards here.,कोणत्याही कार्डसाठी शिल्लक तपासा. पर्यवेक्षक येथे कार्ड जारी करू शकतात आणि टॉप अप करू शकतात.
Check balance only,फक्त शिल्लक तपासा
Check for new commits,नवीन कमिट तपासा
Check for Updates,अद्यतनांसाठी तपासा
Check live balance before applying redemption,विमोचन लागू करण्यापूर्वी थेट शिल्लक तपासा
Check live balance before redemption,पूर्तता करण्यापूर्वी थेट शिल्लक तपासा
Checking...,तपासत आहे...
Cheque/Reference Date,चेक/संदर्भ तारीख
Cheque/Reference No,चेक/संदर्भ क्र
Choose the cashier currently operating this terminal.,हे टर्मिनल सध्या कार्यरत असलेला रोखपाल निवडा.
City,शहर
Clear,साफ
Clear All,सर्व साफ करा
Clear all barcode items,सर्व बारकोड आयटम साफ करा
Clear all purchase order items,सर्व खरेदी ऑर्डर आयटम साफ करा
Clear Search,शोध साफ करा
Clearing local cache...,स्थानिक कॅशे साफ करत आहे...
Click to refresh,रिफ्रेश करण्यासाठी क्लिक करा
Client CPU Lag:,क्लायंट CPU अंतर:
Client Memory Usage:,क्लायंट मेमरी वापर:
Client Metrics,क्लायंट मेट्रिक्स
Close about dialog,संवादाबद्दल बंद करा
Close cashier switcher,कॅशियर स्विचर बंद करा
Close closing shift dialog,क्लोजिंग शिफ्ट डायलॉग बंद करा
Close column selector,स्तंभ निवडक बंद करा
Close Dialog,संवाद बंद करा
Close drafts dialog,मसुदे संवाद बंद करा
Close invoice details dialog,बीजक तपशील संवाद बंद करा
Close invoice management,चलन व्यवस्थापन बंद करा
Close offline invoices dialog,ऑफलाइन चलन संवाद बंद करा
Close packing list dialog,पॅकिंग सूची संवाद बंद करा
Close returns dialog,रिटर्न डायलॉग बंद करा
Close sales orders dialog,विक्री ऑर्डर संवाद बंद करा
Close Scanner,स्कॅनर बंद करा
Close scanner dialog,स्कॅनर संवाद बंद करा
Close Settings,सेटिंग्ज बंद करा
Closing Amount,बंद होणारी रक्कम
Closing POS Shift,POS शिफ्ट बंद करत आहे
Closing Snapshot Available,क्लोजिंग स्नॅपशॉट उपलब्ध
Code,कोड
Code scanned successfully,कोड यशस्वीरित्या स्कॅन केला
COGS,COGS
Collapse item details,आयटम तपशील संक्षिप्त करा
Collected,गोळा केले
Cols,कॉल्स
Columns,स्तंभ
commits,वचनबद्ध करते
Completed and active sales in this range,या श्रेणीमध्ये पूर्ण आणि सक्रिय विक्री
Completed returns will appear here.,पूर्ण झालेले परतावे येथे दिसतील.
Confirm,पुष्टी करा
Confirm Close,बंद पुष्टी करा
Confirm Mobile Number,मोबाईल नंबरची पुष्टी करा
Confirm PIN,पिनची पुष्टी करा
Connect,कनेक्ट करा
Connect printer and manage certificate,प्रिंटर कनेक्ट करा आणि प्रमाणपत्र व्यवस्थापित करा
Connecting to QZ Tray...,QZ ट्रेशी कनेक्ट करत आहे...
Connection problem while submitting invoice,बीजक सबमिट करताना कनेक्शन समस्या
Connections:,कनेक्शन:
Connectivity and cached prerequisite status were rechecked.,कनेक्टिव्हिटी आणि कॅशे केलेली पूर्वस्थिती पुन्हा तपासण्यात आली.
Continue Editing,संपादन सुरू ठेवा
Could not fetch latest balance from server,सर्व्हरवरून नवीनतम शिल्लक मिळवू शकलो नाही
Count,मोजा
Country,देश
Coupon,कूपन
Coupons,कूपन
Cover,कव्हर
CPU Cores:,CPU कोर:
Create,तयार करा
Create and load a new prepaid card,नवीन प्रीपेड कार्ड तयार करा आणि लोड करा
Create and preload a new gift card,नवीन भेट कार्ड तयार करा आणि प्रीलोड करा
Create Bill,बिल तयार करा
Create Customer,ग्राहक तयार करा
Create New Item,नवीन आयटम तयार करा
Create or change your PIN,तुमचा पिन तयार करा किंवा बदला
Create PIN,पिन तयार करा
Create POS Opening Shift,POS ओपनिंग शिफ्ट तयार करा
Create Purchase Order,खरेदी ऑर्डर तयार करा
Create Return,रिटर्न तयार करा
Create return from invoice,इनव्हॉइसमधून रिटर्न तयार करा
Create Supplier,पुरवठादार तयार करा
Credit and Output,क्रेडिट आणि आउटपुट
Credit Note,क्रेडिट नोट
Credit Outstanding,क्रेडिट थकबाकी
Credit sales remaining to be collected,क्रेडिट विक्री गोळा करणे बाकी आहे
Critical,गंभीर
Currency,चलन
Current,चालू
Current Event Loop Lag:,वर्तमान इव्हेंट लूप लॅग:
Current Month,चालू महिना
Current PIN,वर्तमान पिन
Current Profile,वर्तमान प्रोफाइल
Current redeemable value on the gift card,भेट कार्डवरील वर्तमान रिडीम करण्यायोग्य मूल्य
Current User,वर्तमान वापरकर्ता
Custom,सानुकूल
Custom Due Days,कस्टम देय दिवस
Custom items per page,प्रति पृष्ठ सानुकूल आयटम
Customer,ग्राहक
Customer already selected,ग्राहक आधीच निवडलेला आहे
Customer Balance,ग्राहक शिल्लक
Customer balance unavailable offline,ग्राहक शिल्लक ऑफलाइन उपलब्ध नाही
Customer created successfully.,ग्राहक यशस्वीरित्या तयार केला.
Customer creation failed.,ग्राहक निर्मिती अयशस्वी.
Customer Details,ग्राहक तपशील
Customer display channel is missing,ग्राहक प्रदर्शन चॅनेल गहाळ आहे
Customer display was blocked. Please allow pop-ups for this site.,ग्राहक प्रदर्शन अवरोधित केले होते. कृपया या साइटसाठी पॉप-अपला अनुमती द्या.
Customer group is required,ग्राहक गट आवश्यक आहे
Customer is required to add payment,ग्राहकाने पेमेंट जोडणे आवश्यक आहे
Customer Name is required,ग्राहकाचे नाव आवश्यक आहे
Customer not selected,ग्राहक निवडलेला नाही
Customer Report,ग्राहक अहवाल
Customer saved offline,ग्राहक ऑफलाइन जतन केला
Customer Screen,ग्राहक स्क्रीन
Customer territory is required,ग्राहक क्षेत्र आवश्यक आहे
Customer updated successfully.,ग्राहक यशस्वीरित्या अपडेट झाला.
Customer-facing tools and printer setup.,ग्राहकाभिमुख साधने आणि प्रिंटर सेटअप.
Customers,ग्राहक
Customers not found,ग्राहक सापडले नाहीत
Daily cashier actions without scrolling.,स्क्रोल न करता दैनिक कॅशियर क्रिया.
Daily Sales,दैनिक विक्री
Daily Sales Summary,दैनिक विक्री सारांश
Data loaded in form. Review and submit.,फॉर्ममध्ये डेटा लोड केला. पुनरावलोकन करा आणि सबमिट करा.
Database Health,डेटाबेस आरोग्य
Database health affects overall system speed and reliability.,डेटाबेस हेल्थ एकूण प्रणाली गती आणि विश्वसनीयता प्रभावित करते.
Database Info,डेटाबेस माहिती
Date,तारीख
Day ?,दिवस?
days,दिवस
Day-wise (MTD),दिवसानुसार (MTD)
Day-wise Movement,दिवसनिहाय आंदोलन
Dead Stock,मृत स्टॉक
Dead Stock Items,मृत स्टॉक आयटम
Decrease quantity,प्रमाण कमी करा
Default,डीफॉल्ट
Default:,डीफॉल्ट:
Delete,हटवा
Delete cancelled cash movement {0}?,रद्द केलेली रोख हालचाल हटवायची {0}?
Delete Draft,मसुदा हटवा
Delete draft invoice,मसुदा बीजक हटवा
Delete draft invoice {0}?,मसुदा बीजक {0} हटवायचे?
Delete Invoice,बीजक हटवा
Delete offline invoice,ऑफलाइन बीजक हटवा
Delivered,वितरित केले
Delivery Charges,वितरण शुल्क
Delivery Information,वितरण माहिती
Delivery Note {0} created,डिलिव्हरी टीप {0} तयार केली
Delivery note created,डिलिव्हरी नोट तयार केली
Deployed Bundle:,उपयोजित बंडल:
Deposit,ठेव
Description,वर्णन
Detailed Supplier Breakdown,तपशीलवार पुरवठादार ब्रेकडाउन
Detecting formats:,स्वरूप शोधत आहे:
Device Memory:,डिव्हाइस मेमरी:
Difference,फरक
Difference (In Company Currency),फरक (कंपनीच्या चलनात)
Disable offline mode first to recheck live connectivity.,थेट कनेक्टिव्हिटी पुन्हा तपासण्यासाठी प्रथम ऑफलाइन मोड अक्षम करा.
Disconnect,डिस्कनेक्ट करा
discount,सवलत
Discount %,सूट %
Discount / Void / Return Report,सवलत / शून्य / परतावा अहवाल
Discount Amount,सवलत रक्कम
Discount limited by POS Profile,सवलत POS प्रोफाइलद्वारे मर्यादित
Discounted Invoices,सवलतीच्या पावत्या
Discounts,सवलत
Dismiss,डिसमिस करा
Download Certificate,प्रमाणपत्र डाउनलोड करा
Draft,मसुदा
Draft invoice deleted,मसुदा बीजक हटवले
Draft source,मसुदा स्रोत
Drafts,मसुदे
Due {0},देय {0}
Due Date,देय तारीख
Duplicate,डुप्लिकेट
Edit customer,ग्राहक संपादित करा
Edit discount amount,सवलत रक्कम संपादित करा
Edit discount percentage,सूट टक्केवारी संपादित करा
Edit Gift Application,गिफ्ट ॲप्लिकेशन संपादित करा
Edit item name,आयटमचे नाव संपादित करा
Edit quantity,प्रमाण संपादित करा
Edit rate,दर संपादित करा
Edit unit of measure,मोजण्याचे एकक संपादित करा
Edited,संपादित
Employee,कर्मचारी
Enable background sync,पार्श्वभूमी समक्रमण सक्षम करा
Enable Customer Display in POS Profile first.,प्रथम POS प्रोफाइलमध्ये ग्राहक प्रदर्शन सक्षम करा.
Enter a PIN.,पिन एंटर करा.
Enter a valid grams value,वैध ग्रॅम मूल्य प्रविष्ट करा
Enter new price list rate,नवीन किंमत सूची दर प्रविष्ट करा
Enter Quantity,प्रमाण प्रविष्ट करा
Enter the cashier PIN to continue.,सुरू ठेवण्यासाठी रोखपाल पिन प्रविष्ट करा.
Enter the current PIN first.,प्रथम वर्तमान पिन प्रविष्ट करा.
"Enter the current PIN, then choose a new one.","वर्तमान पिन प्रविष्ट करा, नंतर एक नवीन निवडा."
Enter valid grams for scale barcode,स्केल बारकोडसाठी वैध ग्राम प्रविष्ट करा
Entries,नोंदी
Error accessing camera:,कॅमेरा ऍक्सेस करताना त्रुटी:
Error calculating prices,किमतींची गणना करताना त्रुटी
Error fetching customer balance,ग्राहक शिल्लक मिळवताना त्रुटी
Error in change calculations!,बदलाच्या गणनेत त्रुटी!
Error Loading Data,डेटा लोड करताना त्रुटी
Error loading invoice details,बीजक तपशील लोड करताना त्रुटी
Error processing invoice,बीजक प्रक्रिया करताना त्रुटी
Error processing payment,पेमेंट प्रक्रिया करताना त्रुटी
Error searching invoices,इन्व्हॉइस शोधण्यात त्रुटी
Error submitting invoice:,बीजक सबमिट करताना त्रुटी:
Error submitting invoice: {0},बीजक सबमिट करताना त्रुटी: {0}
Error submitting invoice: No response from server,बीजक सबमिट करताना त्रुटी: सर्व्हरकडून प्रतिसाद नाही
Error updating currency,चलन अद्यतनित करताना त्रुटी
Error updating item details,आयटम तपशील अद्यतनित करताना त्रुटी
Est. Purchase,अंदाज खरेदी
Est. Value,अंदाज मूल्य
Event-loop lag measures how busy your browser is. Lower is better.,तुमचा ब्राउझर किती व्यस्त आहे हे इव्हेंट-लूप लॅग मोजते. खालचे चांगले आहे.
Every,प्रत्येक
Exchange Rate,विनिमय दर
Expand item details,आयटम तपशील विस्तृत करा
Expected Amount (In Company Currency),अपेक्षित रक्कम (कंपनीच्या चलनात)
Expected Cash,अपेक्षित रोख
Expected cash on hand grouped by currency,चलनानुसार गटबद्ध हातावर अपेक्षित रोख
Expected vs Actual,अपेक्षित वि वास्तविक
Expense,खर्च
Expense Account (Optional Override),खर्च खाते (पर्यायी ओव्हरराइड)
Expense account is required.,खर्चाचे खाते आवश्यक आहे.
Expenses and deposits posted during this shift,या शिफ्ट दरम्यान पोस्ट केलेले खर्च आणि ठेवी
Expired,कालबाह्य
Failed to auto reconcile payments.,पेमेंट आपोआप जुळवण्यात अयशस्वी.
Failed to cancel cash movement,रोख चलन रद्द करण्यात अयशस्वी
Failed to clear cache,कॅशे साफ करण्यात अयशस्वी
Failed to create item,आयटम तयार करण्यात अयशस्वी
Failed to create supplier,पुरवठादार तयार करण्यात अयशस्वी
Failed to delete cash movement,रोख हालचाल हटविण्यात अयशस्वी
Failed to generate scale barcode. Using item barcode only.,स्केल बारकोड व्युत्पन्न करण्यात अयशस्वी. फक्त आयटम बारकोड वापरणे.
Failed to load cash movement context.,रोख हालचाली संदर्भ लोड करण्यात अयशस्वी.
Failed to load dashboard data.,डॅशबोर्ड डेटा लोड करण्यात अयशस्वी.
Failed to reload invoice from server,सर्व्हरवरून बीजक रीलोड करण्यात अयशस्वी
Failed to submit cash movement,रोख हालचाल सबमिट करण्यात अयशस्वी
Failed to sync offline cash movements,ऑफलाइन रोख हालचाली समक्रमित करण्यात अयशस्वी
Fast cashier actions for active shifts.,सक्रिय शिफ्टसाठी जलद कॅशियर क्रिया.
Fast Moving Items,जलद हलवणारे आयटम
Fees,फी
Fetch the latest offline prerequisite updates,नवीनतम ऑफलाइन पूर्वापेक्षित अद्यतने मिळवा
Find a sales order quickly and load it into the current sale.,विक्री ऑर्डर त्वरीत शोधा आणि सध्याच्या विक्रीमध्ये लोड करा.
Fixing payment amounts for return invoice...,रिटर्न इनव्हॉइससाठी देय रक्कम निश्चित करत आहे...
Flash Off,फ्लॅश बंद
Flash On,फ्लॅश चालू
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","'उत्पादन बंडल' आयटमसाठी, 'पॅकिंग लिस्ट' टेबलमधून गोदाम, अनुक्रमांक आणि बॅच क्रमांक विचारात घेतला जाईल. कोणत्याही 'उत्पादन बंडल' आयटमसाठी सर्व पॅकिंग आयटमसाठी वेअरहाऊस आणि बॅच क्रमांक समान असल्यास, ती मूल्ये मुख्य आयटम टेबलमध्ये प्रविष्ट केली जाऊ शकतात; मूल्ये 'पॅकिंग लिस्ट' टेबलवर कॉपी केली जातील."
Free,मोफत
Free Qty,मोफत प्रमाण
Frequency,वारंवारता
from,पासून
From Date,तारखेपासून
Fulfillment Details,पूर्तता तपशील
Full Name,पूर्ण नाव
Gain,मिळवणे
Generate a fresh prepaid card and start it with an opening balance.,एक नवीन प्रीपेड कार्ड व्युत्पन्न करा आणि ते ओपनिंग बॅलन्सने सुरू करा.
Generate and install the certificate to allow fully silent printing without trust prompts.,ट्रस्ट प्रॉम्प्टशिवाय पूर्णपणे मूक छपाईला अनुमती देण्यासाठी प्रमाणपत्र व्युत्पन्न करा आणि स्थापित करा.
Generate Certificate,प्रमाणपत्र तयार करा
Generated scale barcode: {0},व्युत्पन्न स्केल बारकोड: {0}
Get Payments,पेमेंट मिळवा
Gift Card,गिफ्ट कार्ड
Gift card amount must be greater than zero.,गिफ्ट कार्डची रक्कम शून्यापेक्षा जास्त असणे आवश्यक आहे.
Gift Card Code,गिफ्ट कार्ड कोड
Gift card code is required for redemption,विमोचनासाठी गिफ्ट कार्ड कोड आवश्यक आहे
Gift card code is required.,गिफ्ट कार्ड कोड आवश्यक आहे.
