POS Awesome,POS ya Kushangaza
Certificate is trusted. Silent QZ printing is active.,Cheti kinaaminika. Uchapishaji wa QZ wa Kimya unatumika.
Change,Badilika
Change allocation repaired,Mgao wa mabadiliko umerekebishwa
Change Price,Badilisha Bei
Change Return,Badilisha Kurudi
Change Returned,Mabadiliko Imerejeshwa
Change terminal cashier,Badilisha keshia ya mwisho
Charge Heads,Vichwa vya malipo
Charges,Malipo
Charges not found,Gharama hazijapatikana
Check Balance,Angalia Mizani
Check balance for any card. Supervisors can issue and top up cards here.,Angalia salio la kadi yoyote. Wasimamizi wanaweza kutoa na kujaza kadi hapa.
Check balance only,Angalia salio pekee
Check for new commits,Angalia ahadi mpya
Check for Updates,Angalia Usasisho
Check live balance before applying redemption,Angalia salio la moja kwa moja kabla ya kutumia ukombozi
Check live balance before redemption,Angalia salio la moja kwa moja kabla ya kukombolewa
Checking...,Inaangalia...
Cheque/Reference Date,Tarehe ya Cheki/Marejeleo
Cheque/Reference No,Cheki/Rejea No
Choose the cashier currently operating this terminal.,Chagua mtunza fedha anayetumia kituo hiki kwa sasa.
City,Jiji
Clear,Wazi
Clear All,Futa Zote
Clear all barcode items,Futa vipengee vyote vya msimbopau
Clear all purchase order items,Futa bidhaa zote za agizo la ununuzi
Clear Search,Futa Utafutaji
Clearing local cache...,Inafuta akiba ya ndani...
Click to refresh,Bofya ili kuonyesha upya
Client CPU Lag:,Kuchelewa kwa CPU ya Mteja:
Client Memory Usage:,Matumizi ya Kumbukumbu ya Mteja:
Client Metrics,Vipimo vya Mteja
Close about dialog,Funga kuhusu mazungumzo
Close cashier switcher,Funga kibadilisha fedha
Close closing shift dialog,Funga kidirisha cha kufunga zamu
Close column selector,Funga kiteuzi cha safu wima
Close Dialog,Funga Kidirisha
Close drafts dialog,Funga kidirisha cha rasimu
Close invoice details dialog,Funga kidirisha cha maelezo ya ankara
Close invoice management,Funga usimamizi wa ankara
Close offline invoices dialog,Funga kidirisha cha ankara za nje ya mtandao
Close packing list dialog,Funga kidirisha cha orodha ya upakiaji
Close returns dialog,Funga mazungumzo ya kurejesha
Close sales orders dialog,Funga mazungumzo ya maagizo ya mauzo
Close Scanner,Funga Kichanganuzi
Close scanner dialog,Funga kidirisha cha skana
Close Settings,Funga Mipangilio
Closing Amount,Kiasi cha Kufunga
Closing POS Shift,Inafunga Shift ya POS
Closing Snapshot Available,Picha ya Kufunga Inapatikana
Code,Kanuni
Code scanned successfully,Msimbo umechanganuliwa
COGS,COGS
Collapse item details,Kunja maelezo ya kipengee
Collected,Imekusanywa
Cols,Cols
Columns,Safu
commits,anajituma
Completed and active sales in this range,Uuzaji uliokamilika na amilifu katika safu hii
Completed returns will appear here.,Marejesho yaliyokamilishwa yataonekana hapa.
Confirm,Thibitisha
Confirm Close,Thibitisha Funga
Confirm Mobile Number,Thibitisha Nambari ya Simu
Confirm PIN,Thibitisha PIN
Connect,Unganisha
Connect printer and manage certificate,Unganisha kichapishi na udhibiti cheti
Connecting to QZ Tray...,Inaunganisha kwenye Tray ya QZ...
Connection problem while submitting invoice,Tatizo la muunganisho wakati wa kuwasilisha ankara
Connections:,Viunganisho:
Connectivity and cached prerequisite status were rechecked.,Muunganisho na hali ya sharti iliyoakibishwa iliangaliwa upya.
Continue Editing,Endelea Kuhariri
Could not fetch latest balance from server,Haikuweza kuleta salio la hivi punde kutoka kwa seva
Count,Hesabu
Country,Nchi
Coupon,Kuponi
Coupons,Kuponi
Cover,Jalada
CPU Cores:,Viini vya CPU:
Create,Unda
Create and load a new prepaid card,Unda na upakie kadi mpya ya kulipia kabla
Create and preload a new gift card,Unda na upakie mapema kadi mpya ya zawadi
Create Bill,Unda Bill
Create Customer,Unda Mteja
Create New Item,Unda Kipengee Kipya
Create or change your PIN,Unda au ubadilishe PIN yako
Create PIN,Unda PIN
Create POS Opening Shift,Unda Shift ya Ufunguzi ya POS
Create Purchase Order,Unda Agizo la Ununuzi
Create Return,Unda Kurudi
Create return from invoice,Unda mapato kutoka kwa ankara
Create Supplier,Unda Mtoaji
Credit and Output,Mikopo na Pato
Credit Note,Ujumbe wa Mkopo
Credit Outstanding,Mikopo Inayolipwa
Credit sales remaining to be collected,Uuzaji wa mkopo uliosalia kukusanywa
Critical,Muhimu
Currency,Sarafu
Current,Ya sasa
Current Event Loop Lag:,Kuchelewa kwa Mzunguko wa Tukio la Sasa:
Current Month,Mwezi wa Sasa
Current PIN,PIN ya sasa
Current Profile,Wasifu wa Sasa
Current redeemable value on the gift card,Thamani ya sasa inayoweza kukombolewa kwenye kadi ya zawadi
Current User,Mtumiaji wa Sasa
Custom,Desturi
Custom Due Days,Siku Maalum
Custom items per page,Vipengee maalum kwa kila ukurasa
Customer,Mteja
Customer already selected,Mteja tayari amechaguliwa
Customer Balance,Salio la Wateja
Customer balance unavailable offline,Salio la mteja halipatikani nje ya mtandao
Customer created successfully.,Mteja amefanikiwa kuunda.
Customer creation failed.,Imeshindwa kuunda mteja.
Customer Details,Maelezo ya Wateja
Customer display channel is missing,Kituo cha kuonyesha mteja hakipo
Customer display was blocked. Please allow pop-ups for this site.,Onyesho la mteja lilizuiwa. Tafadhali ruhusu madirisha ibukizi kwa tovuti hii.
Customer group is required,Kikundi cha wateja kinahitajika
Customer is required to add payment,Mteja anahitajika ili kuongeza malipo
Customer Name is required,Jina la Mteja linahitajika
Customer not selected,Mteja hajachaguliwa
Customer Report,Ripoti ya Wateja
Customer saved offline,Mteja amehifadhiwa nje ya mtandao
Customer Screen,Skrini ya Wateja
Customer territory is required,Eneo la mteja linahitajika
Customer updated successfully.,Mteja amesasishwa.
Customer-facing tools and printer setup.,Zana zinazowakabili mteja na usanidi wa kichapishi.
Customers,Wateja
Customers not found,Wateja hawakupatikana
Daily cashier actions without scrolling.,Vitendo vya keshia kila siku bila kusogeza.
Daily Sales,Mauzo ya kila siku
Daily Sales Summary,Muhtasari wa Mauzo ya Kila Siku
Data loaded in form. Review and submit.,Data iliyopakiwa katika fomu. Kagua na uwasilishe.
Database Health,Afya ya Hifadhidata
Database health affects overall system speed and reliability.,Afya ya hifadhidata huathiri kasi ya jumla ya mfumo na kutegemewa.
Database Info,Maelezo ya Hifadhidata
Date,Tarehe
Day ?,Siku?
days,siku
Day-wise (MTD),Siku kwa siku (MTD)
Day-wise Movement,Harakati za Mchana
Dead Stock,Mali iliyokufa
Dead Stock Items,Vitu vya Hisa Vilivyokufa
Decrease quantity,Punguza wingi
Default,Chaguomsingi
Default:,Chaguomsingi:
Delete,Futa
Delete cancelled cash movement {0}?,Ungependa kufuta uhamishaji wa pesa ulioghairiwa {0}?
Delete Draft,Futa Rasimu
Delete draft invoice,Futa rasimu ya ankara
Delete draft invoice {0}?,"Je, ungependa kufuta rasimu ya ankara {0}?"
Delete Invoice,Futa ankara
Delete offline invoice,Futa ankara ya nje ya mtandao
Delivered,Imewasilishwa
Delivery Charges,Malipo ya Uwasilishaji
Delivery Information,Taarifa ya Uwasilishaji
Delivery Note {0} created,Dokezo la Uwasilishaji {0} limeundwa
Delivery note created,Dokezo la uwasilishaji limeundwa
Deployed Bundle:,Bundle Iliyotumika:
Deposit,Amana
Description,Maelezo
Detailed Supplier Breakdown,Uchanganuzi wa Kina wa Wasambazaji
Detecting formats:,Kugundua miundo:
Device Memory:,Kumbukumbu ya Kifaa:
Difference,Tofauti
Difference (In Company Currency),Tofauti (Katika Sarafu ya Kampuni)
Disable offline mode first to recheck live connectivity.,Zima hali ya nje ya mtandao kwanza ili kuangalia tena muunganisho wa moja kwa moja.
Disconnect,Tenganisha
discount,punguzo
Discount %,Punguzo %
Discount / Void / Return Report,Ripoti ya Punguzo / Batili / Rejesha
Discount Amount,Kiasi cha Punguzo
Discount limited by POS Profile,Punguzo limepunguzwa na Wasifu wa POS
Discounted Invoices,Ankara zilizopunguzwa
Discounts,Punguzo
Dismiss,Ondoa
Download Certificate,Pakua Cheti
Draft,Rasimu
Draft invoice deleted,Rasimu ya ankara imefutwa
Draft source,Chanzo cha rasimu
Drafts,Rasimu
Due {0},Inadaiwa {0}
Due Date,Tarehe ya Mwisho
Duplicate,Nakala
Edit customer,Badilisha mteja
Edit discount amount,Badilisha kiasi cha punguzo
Edit discount percentage,Badilisha asilimia ya punguzo
Edit Gift Application,Hariri Programu ya Zawadi
Edit item name,Badilisha jina la kipengee
Edit quantity,Hariri wingi
Edit rate,Badilisha kiwango
Edit unit of measure,Badilisha kitengo cha kipimo
Edited,Imehaririwa
Employee,Mfanyakazi
Enable background sync,Washa usawazishaji wa usuli
Enable Customer Display in POS Profile first.,Washa Onyesho la Wateja katika Wasifu wa POS kwanza.
Enter a PIN.,Weka PIN.
Enter a valid grams value,Weka thamani halali ya gramu
Enter new price list rate,Weka bei mpya ya orodha ya bei
Enter Quantity,Ingiza Kiasi
Enter the cashier PIN to continue.,Weka PIN ya keshia ili uendelee.
Enter the current PIN first.,Weka PIN ya sasa kwanza.
"Enter the current PIN, then choose a new one.","Weka PIN ya sasa, kisha uchague mpya."
Enter valid grams for scale barcode,Weka gramu halali za msimbopau wa kipimo
Entries,Maingizo
Error accessing camera:,Hitilafu katika kufikia kamera:
Error calculating prices,Hitilafu katika kuhesabu bei
Error fetching customer balance,Hitilafu katika kuleta salio la mteja
Error in change calculations!,Hitilafu katika mahesabu ya mabadiliko!
Error Loading Data,Hitilafu katika Kupakia Data
Error loading invoice details,Hitilafu katika kupakia maelezo ya ankara
Error processing invoice,Hitilafu katika kuchakata ankara
Error processing payment,Hitilafu katika kuchakata malipo
Error searching invoices,Hitilafu katika kutafuta ankara
Error submitting invoice:,Hitilafu katika kuwasilisha ankara:
Error submitting invoice: {0},Hitilafu katika kuwasilisha ankara: {0}
Error submitting invoice: No response from server,Hitilafu katika kuwasilisha ankara: Hakuna jibu kutoka kwa seva
Error updating currency,Hitilafu katika kusasisha sarafu
Error updating item details,Hitilafu katika kusasisha maelezo ya kipengee
Est. Purchase,Est. Nunua
Est. Value,Est. Thamani
Event-loop lag measures how busy your browser is. Lower is better.,Kuchelewa kwa matukio hupima jinsi kivinjari chako kilivyo na shughuli nyingi. Chini ni bora zaidi.
Every,Kila
Exchange Rate,Kiwango cha ubadilishaji
Expand item details,Panua maelezo ya kipengee
Expected Amount (In Company Currency),Kiasi Kinachotarajiwa (Katika Sarafu ya Kampuni)
Expected Cash,Pesa Zinazotarajiwa
Expected cash on hand grouped by currency,Pesa zinazotarajiwa zikiwa zimepangwa kulingana na sarafu
Expected vs Actual,Inatarajiwa dhidi ya Halisi
Expense,Gharama
Expense Account (Optional Override),Akaunti ya Gharama (Hiari ya Kubatilisha)
Expense account is required.,Akaunti ya gharama inahitajika.
Expenses and deposits posted during this shift,Gharama na amana zilizochapishwa wakati wa zamu hii
Expired,Muda wake umeisha
Failed to auto reconcile payments.,Imeshindwa kusawazisha malipo kiotomatiki.
Failed to cancel cash movement,Imeshindwa kughairi uhamishaji wa pesa taslimu
Failed to clear cache,Imeshindwa kufuta akiba
Failed to create item,Imeshindwa kuunda kipengee
Failed to create supplier,Imeshindwa kuunda mtoa huduma
Failed to delete cash movement,Imeshindwa kufuta harakati za pesa
Failed to generate scale barcode. Using item barcode only.,Imeshindwa kuzalisha msimbopau wa kiwango. Kwa kutumia msimbopau wa kipengee pekee.
Failed to load cash movement context.,Imeshindwa kupakia muktadha wa harakati za pesa.
Failed to load dashboard data.,Imeshindwa kupakia data ya dashibodi.
Failed to reload invoice from server,Imeshindwa kupakia upya ankara kutoka kwa seva
Failed to submit cash movement,Imeshindwa kuwasilisha harakati za pesa
Failed to sync offline cash movements,Imeshindwa kusawazisha uhamishaji wa pesa nje ya mtandao
Fast cashier actions for active shifts.,Vitendo vya keshia haraka kwa zamu zinazoendelea.
Fast Moving Items,Vitu vya Kusonga Haraka
Fees,Ada
Fetch the latest offline prerequisite updates,Pata masasisho ya hivi punde ya sharti la nje ya mtandao
Find a sales order quickly and load it into the current sale.,Pata agizo la mauzo haraka na upakie kwenye ofa ya sasa.
Fixing payment amounts for return invoice...,Inarekebisha kiasi cha malipo kwa ankara ya kurejesha...
Flash Off,Mweko Umezimwa
Flash On,Mweko Umewashwa
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","Kwa bidhaa za 'Bidhaa Bundle', Ghala, Nambari ya Kundi na Nambari ya Kundi zitazingatiwa kutoka kwa jedwali la 'Orodha ya Vifungashio'. Ikiwa Ghala na Bashi Hapana ni sawa kwa vipengee vyote vya upakiaji kwa bidhaa yoyote ya 'Kifungu cha Bidhaa', thamani hizo zinaweza kuingizwa katika jedwali kuu la Bidhaa; thamani zitanakiliwa kwenye jedwali la 'Orodha ya Ufungashaji'."
Free,Bure
Free Qty,Ukubwa wa Bure
Frequency,Mzunguko
from,kutoka
From Date,Kuanzia Tarehe
Fulfillment Details,Maelezo ya Utimilifu
Full Name,Jina Kamili
Gain,Faida
Generate a fresh prepaid card and start it with an opening balance.,Tengeneza kadi mpya ya kulipia kabla na uanze na salio la ufunguzi.
Generate and install the certificate to allow fully silent printing without trust prompts.,Tengeneza na usakinishe cheti ili kuruhusu uchapishaji wa kimya bila maongozi ya uaminifu.
Generate Certificate,Tengeneza Cheti
Generated scale barcode: {0},Msimbopau wa kiwango kilichozalishwa: {0}
Get Payments,Pata Malipo
Gift Card,Kadi ya Zawadi
Gift card amount must be greater than zero.,Kiasi cha kadi ya zawadi lazima kiwe kikubwa kuliko sifuri.
Gift Card Code,Msimbo wa Kadi ya Zawadi
Gift card code is required for redemption,Msimbo wa kadi ya zawadi unahitajika kwa kukomboa
Gift card code is required.,Msimbo wa kadi ya zawadi unahitajika.
Gift card issued successfully.,Kadi ya zawadi imetolewa.
Gift card loaded successfully.,Kadi ya zawadi imepakiwa.
Gift Card Management,Usimamizi wa Kadi ya Zawadi
Gift card payment,Malipo ya kadi ya zawadi
Gift card redemption requires an online connection,Ukombozi wa kadi ya zawadi unahitaji muunganisho wa mtandaoni
Gift card topped up successfully.,Kadi ya zawadi imeongezwa kwa mafanikio.
Gift Cards,Kadi za Zawadi
Go to Frappe Desk,Nenda kwenye Dawati la Frappe
Grand Total,Jumla Kubwa
Gross Margin,Pambizo la Jumla
Gross Profit,Faida ya Jumla
Gross Sales,Mauzo ya Jumla
Group not found,Kikundi hakijapatikana
"Grouped controls for terminal, UI, and session settings.","Vidhibiti vilivyowekwa katika vikundi vya terminal, UI, na mipangilio ya kipindi."
Grouped totals for each payment method and currency,Jumla zilizowekwa katika vikundi kwa kila njia ya malipo na sarafu
Hide,Ficha
Hide Gift Card,Ficha Kadi ya Zawadi
Hide Non Essential Fields,Ficha Sehemu Zisizo Muhimu
Hide quantity decimals,Ficha desimali za wingi
Hide search tools,Ficha zana za utafutaji
Hide zero rated items,Ficha vipengee vilivyokadiriwa sifuri
High,Juu
History,Historia
Hourly (Today),Kila saa (Leo)
How this section works,Jinsi sehemu hii inavyofanya kazi
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","Ikiwa data ya zamani itasalia, fungua Mipangilio > Nje ya Mtandao na Usawazishe na uendeshe Unda Upya Data ya Nje ya Mtandao tena ukiwa mtandaoni."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","Onyo likiendelea, fungua Mipangilio > Nje ya Mtandao na Usawazishe, kisha uendeshe Onyesha upya Data ya Nje ya Mtandao au Unda Upya Data ya Nje ya Mtandao."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,Ingiza cheti kwenye Tray ya QZ na uwashe tena Tray ya QZ kwenye kila mashine ya POS.
In,Katika
In stock: {0},Inapatikana: {0}
Include Batch / Serial,Ni pamoja na Kundi / Serial
Include Price,Ni pamoja na Bei
Increase quantity,Ongeza wingi
IndexedDB,IndexedDB
Initial Amount,Kiasi cha Awali
Initialize your shift with opening balances,Anzisha zamu yako kwa kufungua salio
Initializing application...,Inaanzisha programu...
"Inspect cache, sync, and prerequisite status","Kagua akiba, usawazishaji, na hali ya sharti"
Installed Applications,Programu zilizosakinishwa
Insufficient stock:\n{0},Hisa haitoshi:\n{0}
