POS Awesome,POS страхотно
Clear all barcode items,Изчистете всички елементи с баркод
Clear all purchase order items,Изчистете всички елементи от поръчката за покупка
Clear Search,Изчистване на търсенето
Clearing local cache...,Изчистване на локалния кеш...
Click to refresh,"Кликнете, за да опресните"
Client CPU Lag:,Забавяне на процесора на клиента:
Client Memory Usage:,Използване на паметта на клиента:
Client Metrics,Клиентски показатели
Close about dialog,Затваряне на диалоговия прозорец относно
Close cashier switcher,Затворете превключвателя на касата
Close closing shift dialog,Затваряне на диалоговия прозорец за затваряне на смени
Close column selector,Затворете селектора на колони
Close Dialog,Затваряне на диалоговия прозорец
Close drafts dialog,Затваряне на диалоговия прозорец с чернови
Close invoice details dialog,Затваряне на диалоговия прозорец с подробности за фактурата
Close invoice management,Затворете управлението на фактурите
Close offline invoices dialog,Затваряне на диалоговия прозорец за офлайн фактури
Close packing list dialog,Затваряне на диалоговия прозорец на опаковъчния списък
Close returns dialog,Затворете диалоговия прозорец за връщане
Close sales orders dialog,Затворете диалоговия прозорец за поръчки за продажба
Close Scanner,Затваряне на скенера
Close scanner dialog,Затваряне на диалоговия прозорец на скенера
Close Settings,Затворете настройките
Closing Amount,Крайна сума
Closing POS Shift,Затваряне на POS Shift
Closing Snapshot Available,Налична е моментна снимка при затваряне
Code,Код
Code scanned successfully,Кодът е сканиран успешно
COGS,COGS
Collapse item details,Свиване на подробностите за елемента
Collected,Събрани
Cols,Cols
Columns,Колони
commits,ангажира
Completed and active sales in this range,Завършени и активни продажби в този асортимент
Completed returns will appear here.,Завършените връщания ще се показват тук.
Confirm,Потвърдете
Confirm Close,Потвърдете затваряне
Confirm Mobile Number,Потвърдете мобилен номер
Confirm PIN,Потвърдете PIN
Connect,Свържете се
Connect printer and manage certificate,Свържете принтера и управлявайте сертификата
Connecting to QZ Tray...,Свързване към QZ Tray...
Connection problem while submitting invoice,Проблем с връзката при изпращане на фактура
Connections:,Връзки:
Connectivity and cached prerequisite status were rechecked.,Свързването и състоянието на кешираните предпоставки бяха проверени отново.
Continue Editing,Продължете с редактирането
Could not fetch latest balance from server,Не може да се извлече последното салдо от сървъра
Count,Брой
Country,държава
Coupon,Купон
Coupons,Купони
Cover,Капак
CPU Cores:,CPU ядра:
Create,Създавайте
Create and load a new prepaid card,Създайте и заредете нова предплатена карта
Create and preload a new gift card,Създайте и заредете предварително нова карта за подарък
Create Bill,Създайте Бил
Create Customer,Създаване на клиент
Create New Item,Създаване на нов елемент
Create or change your PIN,Създайте или променете вашия ПИН
Create PIN,Създайте ПИН
Create POS Opening Shift,Създайте смяна на отваряне на POS
Create Purchase Order,Създаване на поръчка за покупка
Create Return,Създаване на връщане
Create return from invoice,Създайте връщане от фактура
Create Supplier,Създаване на доставчик
Credit and Output,Кредит и изход
Credit Note,Кредитна бележка
Credit Outstanding,Неизплатен кредит
Credit sales remaining to be collected,Продажбите на кредит остават за събиране
Critical,Критичен
Currency,Валута
Current,Текущ
Current Event Loop Lag:,Текущо забавяне на цикъла на събитията:
Current Month,Текущ месец
Current PIN,Актуален ПИН
Current Profile,Текущ профил
Current redeemable value on the gift card,Текуща стойност за осребряване на картата за подарък
Current User,Текущ потребител
Custom,По поръчка
Custom Due Days,Персонализирани дни на падеж
Custom items per page,Персонализирани елементи на страница
Customer,Клиент
Customer already selected,Клиентът вече е избран
Customer Balance,Клиентски баланс
Customer balance unavailable offline,Клиентският баланс не е наличен офлайн
Customer created successfully.,Клиентът е създаден успешно.
Customer creation failed.,Създаването на клиент е неуспешно.
Customer Details,Данни за клиента
Customer display channel is missing,Липсва клиентски канал за показване
Customer display was blocked. Please allow pop-ups for this site.,"Дисплеят на клиента беше блокиран. Моля, разрешете изскачащи прозорци за този сайт."
Customer group is required,Необходима е клиентска група
Customer is required to add payment,От клиента се изисква да добави плащане
Customer Name is required,Необходимо е име на клиента
Customer not selected,Клиентът не е избран
Customer Report,Доклад на клиента
Customer saved offline,Клиентът е запазен офлайн
Customer Screen,Екран на клиента
Customer territory is required,Необходима е клиентска територия
Customer updated successfully.,Клиентът е актуализиран успешно.
Customer-facing tools and printer setup.,Инструменти за обслужване на клиента и настройка на принтера.
Customers,Клиенти
Customers not found,Клиенти не са намерени
Daily cashier actions without scrolling.,Ежедневни касиерски действия без превъртане.
Daily Sales,Ежедневни продажби
Daily Sales Summary,Резюме на ежедневните продажби
Data loaded in form. Review and submit.,"Данни, заредени във формуляр. Прегледайте и изпратете."
Database Health,Здраве на базата данни
Database health affects overall system speed and reliability.,Здравето на базата данни влияе върху цялостната скорост и надеждност на системата.
Database Info,Информация за база данни
Date,Дата
Day ?,Ден?
days,дни
Day-wise (MTD),Дневно (MTD)
Day-wise Movement,Движение през деня
Dead Stock,Мъртъв запас
Dead Stock Items,Неизползвани артикули
Decrease quantity,Намаляване на количеството
Default,По подразбиране
Default:,По подразбиране:
Delete,Изтриване
Delete cancelled cash movement {0}?,Да се ​​изтрие ли отменено движение на пари {0}?
Delete Draft,Изтриване на черновата
Delete draft invoice,Изтриване на чернова на фактура
Delete draft invoice {0}?,Изтриване на чернова на фактура {0}?
Delete Invoice,Изтриване на фактура
Delete offline invoice,Изтриване на офлайн фактура
Delivered,Доставено
Delivery Charges,Такси за доставка
Delivery Information,Информация за доставка
Delivery Note {0} created,Бележката за доставка {0} е създадена
Delivery note created,Създадена е бележката за доставка
Deployed Bundle:,Разположен пакет:
Deposit,Депозит
Description,Описание
Detailed Supplier Breakdown,Подробна разбивка на доставчика
Detecting formats:,Откриване на формати:
Device Memory:,Памет на устройството:
Difference,Разлика
Difference (In Company Currency),Разлика (във фирмена валута)
Disable offline mode first to recheck live connectivity.,"Първо деактивирайте офлайн режима, за да проверите отново връзката на живо."
Disconnect,Прекъснете връзката
discount,отстъпка
Discount %,% отстъпка
Discount / Void / Return Report,Отстъпка/Анулиран/Доклад за връщане
Discount Amount,Сума на отстъпката
Discount limited by POS Profile,Отстъпката е ограничена от ПОС профил
Discounted Invoices,Фактури с отстъпка
Discounts,Отстъпки
Dismiss,Отхвърляне
Download Certificate,Изтегляне на сертификат
Draft,Чернова
Draft invoice deleted,Проектофактурата е изтрита
Draft source,Източник на чернова
Drafts,Чернови
Due {0},Краен срок: {0}
Due Date,Краен срок
Duplicate,Дубликат
Edit customer,Редактиране на клиента
Edit discount amount,Редактиране на размера на отстъпката
Edit discount percentage,Редактиране на процента на отстъпката
Edit Gift Application,Редактиране на заявление за подарък
Edit item name,Редактиране на името на елемента
Edit quantity,Редактиране на количеството
Edit rate,Редактиране на процент
Edit unit of measure,Редактиране на мерната единица
Edited,Редактирано
Employee,Служител
Enable background sync,Активирайте фоновото синхронизиране
Enable Customer Display in POS Profile first.,Първо активирайте показването на клиента в POS профил.
Enter a PIN.,Въведете ПИН.
Enter a valid grams value,Въведете валидна стойност в грамове
Enter new price list rate,Въведете нова ценова листа
Enter Quantity,Въведете количество
Enter the cashier PIN to continue.,"Въведете ПИН кода на касата, за да продължите."
Enter the current PIN first.,Първо въведете текущия ПИН.
"Enter the current PIN, then choose a new one.","Въведете текущия ПИН, след което изберете нов."
Enter valid grams for scale barcode,Въведете валидни грамове за баркод на везната
Entries,Вписвания
Error accessing camera:,Грешка при достъпа до камерата:
Error calculating prices,Грешка при изчисляване на цените
Error fetching customer balance,Грешка при извличане на клиентския баланс
Error in change calculations!,Грешка в изчисленията на промените!
Error Loading Data,Грешка при зареждане на данни
Error loading invoice details,Грешка при зареждането на данните за фактурата
Error processing invoice,Грешка при обработката на фактурата
Error processing payment,Грешка при обработката на плащането
Error searching invoices,Грешка при търсене на фактури
Error submitting invoice:,Грешка при изпращане на фактура:
Error submitting invoice: {0},Грешка при изпращане на фактура: {0}
Error submitting invoice: No response from server,Грешка при изпращане на фактура: Няма отговор от сървъра
Error updating currency,Грешка при актуализиране на валутата
Error updating item details,Грешка при актуализирането на подробностите за артикула
Est. Purchase,Прогн. Покупка
Est. Value,Прогн. Стойност
Event-loop lag measures how busy your browser is. Lower is better.,Забавянето на цикъла на събития измерва колко натоварен е вашият браузър. По-ниско е по-добре.
Every,Всеки
Exchange Rate,Обменен курс
Expand item details,Разгънете подробностите за елемента
Expected Amount (In Company Currency),Очаквана сума (във фирмена валута)
Expected Cash,Очаквани пари в брой
Expected cash on hand grouped by currency,"Очаквани пари в брой, групирани по валута"
Expected vs Actual,Очаквано срещу действително
Expense,Разход
Expense Account (Optional Override),Разходна сметка (замяна по избор)
Expense account is required.,Необходима е разходна сметка.
Expenses and deposits posted during this shift,"Разходи и депозити, осчетоводени по време на тази смяна"
Expired,Изтекъл
Failed to auto reconcile payments.,Неуспешно автоматично съгласуване на плащанията.
Failed to cancel cash movement,Неуспешно анулиране на движението на пари в брой
Failed to clear cache,Неуспешно изчистване на кеша
Failed to create item,Неуспешно създаване на елемент
Failed to create supplier,Неуспешно създаване на доставчик
Failed to delete cash movement,Неуспешно изтриване на движение на пари в брой
Failed to generate scale barcode. Using item barcode only.,Неуспешно генериране на баркод на везната. Използва се само баркод на артикул.
Failed to load cash movement context.,Неуспешно зареждане на контекста на движение на пари в брой.
Failed to load dashboard data.,Неуспешно зареждане на данните от таблото.
Failed to reload invoice from server,Неуспешно презареждане на фактура от сървъра
Failed to submit cash movement,Неуспешно изпращане на движение на пари в брой
Failed to sync offline cash movements,Неуспешно синхронизиране на офлайн парични движения
Fast cashier actions for active shifts.,Бързи касиерски действия за активни смени.
Fast Moving Items,Бързо движещи се предмети
Fees,Такси
Fetch the latest offline prerequisite updates,Изтеглете най-новите предпоставки за офлайн актуализации
Find a sales order quickly and load it into the current sale.,Намерете бързо поръчка за продажба и я заредете в текущата продажба.
Fixing payment amounts for return invoice...,Фиксиране на суми за плащане за фактура за връщане...
Flash Off,Светкавица изключена
Flash On,Светкавицата е включена
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","За артикули „Пакет продукти“, склад, сериен номер и партиден номер ще бъдат взети под внимание от таблицата „Опаковъчен списък“. Ако складът и номерът на партида са едни и същи за всички опаковъчни артикули за всеки артикул от „Пакет продукти“, тези стойности могат да бъдат въведени в главната таблица с артикули; стойностите ще бъдат копирани в таблицата „Опаковъчен списък“."
Free,безплатно
Free Qty,Безплатно кол
Frequency,Честота
from,от
From Date,От дата
Fulfillment Details,Подробности за изпълнение
Full Name,Пълно име
Gain,печалба
Generate a fresh prepaid card and start it with an opening balance.,Генерирайте нова предплатена карта и я стартирайте с начален баланс.
Generate and install the certificate to allow fully silent printing without trust prompts.,"Генерирайте и инсталирайте сертификата, за да позволите напълно безшумен печат без подкани за доверие."
Generate Certificate,Генериране на сертификат
Generated scale barcode: {0},Генериран баркод на везната: {0}
Get Payments,Получавайте плащания
Gift Card,Подаръчна карта
Gift card amount must be greater than zero.,Сумата на подаръчната карта трябва да е по-голяма от нула.
Gift Card Code,Код на подаръчна карта
Gift card code is required for redemption,Кодът на картата за подарък е необходим за осребряване
Gift card code is required.,Изисква се код на подаръчна карта.
Gift card issued successfully.,Картата за подарък е издадена успешно.
Gift card loaded successfully.,Картата за подарък е заредена успешно.
Gift Card Management,Управление на подаръчни карти
Gift card payment,Плащане с подаръчна карта
Gift card redemption requires an online connection,Осребряването на карта за подарък изисква онлайн връзка
Gift card topped up successfully.,Картата за подарък е заредена успешно.
Gift Cards,Подаръчни карти
Go to Frappe Desk,Отидете до бюрото Frappe
Grand Total,Обща сума
Gross Margin,Брутен марж
Gross Profit,Брутна печалба
Gross Sales,Брутни продажби
Group not found,Групата не е намерена
"Grouped controls for terminal, UI, and session settings.","Групирани контроли за терминал, потребителски интерфейс и настройки на сесията."
Grouped totals for each payment method and currency,Групирани суми за всеки начин на плащане и валута
Hide,Скрий се
Hide Gift Card,Скриване на подаръчна карта
Hide Non Essential Fields,Скриване на несъществените полета
Hide quantity decimals,Скриване на десетичните знаци за количеството
Hide search tools,Скриване на инструментите за търсене
Hide zero rated items,Скриване на артикули с нулева оценка
High,високо
History,История
Hourly (Today),На час (днес)
How this section works,Как работи този раздел
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","Ако остарели данни останат, отворете Настройки > Офлайн и синхронизиране и стартирайте Rebuild Offline Data отново, докато сте онлайн."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","Ако предупреждението продължава, отворете Настройки > Офлайн и синхронизиране, след което стартирайте Обновяване на офлайн данни или Възстановяване на офлайн данни."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,Импортирайте сертификата в QZ Tray и рестартирайте QZ Tray на всяка POS машина.
In,в
In stock: {0},На склад: {0}
Include Batch / Serial,Включете партида / сериен номер
Include Price,Включете цена
Increase quantity,Увеличете количеството
IndexedDB,Индексирана база данни
Initial Amount,Първоначална сума
Initialize your shift with opening balances,Инициализирайте смяната си с начални салда
Initializing application...,Приложението се инициализира...
"Inspect cache, sync, and prerequisite status","Проверете състоянието на кеша, синхронизирането и предпоставките"
Installed Applications,Инсталирани приложения
Insufficient stock:\n{0},Недостатъчни наличности:\n{0}
Invalid rate,Невалидна ставка
Inventory Status Report,Доклад за състоянието на инвентара
Invoice,Фактура
Invoice {0} is Submitted,Фактура {0} е изпратена
Invoice {0} processed successfully,Фактура {0} е обработена успешно
Invoice {0} submission failed,Неуспешно изпращане на фактура {0}
Invoice {0} was already submitted,Фактура {0} вече беше изпратена
Invoice Adjustments,Корекции на фактури
Invoice Change,Промяна на фактура
Invoice Details,Данни за фактурата
Invoice is still in draft after background submission.,Фактурата все още е чернова след изпращане на фона.
Invoice Items,Фактурни артикули
Invoice Management,Управление на фактури
Invoice Mgmt,Управление на фактури
Invoice saved offline,Фактурата е запазена офлайн
Invoice submission failed,Неуспешно изпращане на фактура
Invoice Submitted,Фактурата е изпратена
"Invoice value settled by loyalty points, not cash collection","Стойността на фактурата се урежда чрез точки за лоялност, а не събиране на пари в брой"
Invoices,Фактури
Invoices already past due date,Фактурите вече са с просрочен срок
Invoices saved as POS Invoices,"Фактури, запазени като POS фактури"
Invoices still carrying balances,Фактурите все още носят салда
Issue Mode,Режим на издаване
Issue New Card,Издаване на нова карта
Issue Workflow,Издаване на работен процес
"Issue, top up, and check","Издайте, заредете и проверете"
Item,Артикул
Item / Product Sales Report,Отчет за продажби на артикул / продукт
Item {0} added to invoice,Артикул {0} е добавен към фактурата
Item '{0}' has no barcode,Артикул „{0}“ няма баркод
Item Code,Код на артикул
Item created successfully,Елементът е създаден успешно
Item is out of stock,Артикулът е изчерпан
Item Name,Име на елемент
Item not found,Артикулът не е намерен
Item order updated,Редът на артикулите е актуализиран
Item Selector Settings,Настройки за избор на елемент
Items,Предмети
Items added in POS will appear here automatically.,"Артикулите, добавени в POS, ще се появят тук автоматично."
Items added to invoice,"Артикули, добавени към фактурата"
Items per page,Елементи на страница
Items Sold,Продадени артикули
Items/Invoice,Артикули/фактура
Item-wise Profitability,Рентабилност по артикули
Journal Entry,Вписване в дневник
json,json
Just now,Току-що
Keep offline prerequisites healthy and recover stale data safely.,Поддържайте офлайн предпоставките здрави и възстановявайте остарели данни безопасно.
Labels,Етикети
"Language, theme, terminal tools, and session controls.","Език, тема, терминални инструменти и контроли за сесии."
Last,Последно
Last 14 Days (Paid vs Pending),Последните 14 дни (платени срещу чакащи)
Last 14 Days Activity,Активност за последните 14 дни
Last 14 Days Gross Profit,Брутна печалба за последните 14 дни
Last 14 Days Purchases,Покупки от последните 14 дни
Last 14 Days Tax/Charges,Данъци/такси за последните 14 дни
Last sync:,Последна синхронизация:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},Последна синхронизация: {0} | добре: {1} | неуспешно: {2} | пропуснати: {3}
Latest entries for current shift,Последни записи за текущата смяна
Lead Time,Време за изпълнение
Limited,Ограничен
lines,линии
List,списък
Live Snapshot,Моментна снимка на живо
Load a POS profile and cashier first.,Първо заредете POS профил и касиер.
Load More Invoices,Зареждане на още фактури
Load previously saved invoices,Заредете предварително запазени фактури
Load Sale,Заредете разпродажба
Load Sales Invoice,Заредете фактура за продажба
Loading app data...,Данните за приложението се зареждат...
Loading customer database...,Зарежда се клиентска база данни...
Loading customers...,Клиентите се зареждат...
Loading database stats...,Статистическите данни за базата данни се зареждат...
Loading details...,Подробностите се зареждат...
Loading invoice history...,Историята на фактурите се зарежда...
Loading items...,Зареждане на елементи...
Loading product catalog...,Продуктовият каталог се зарежда...
Loading return invoices...,Фактурите за връщане се зареждат...
Loading server CPU/memory usage...,Използването на процесора/паметта на сървъра се зарежда...
Loading suppliers...,Доставчиците се зареждат...
Loading unpaid invoices...,Неплатените фактури се зареждат...
Loading view...,Изгледът се зарежда...
Loading...,Зареждане...
Local storage is unavailable. Switching to online-only mode.,Локалното хранилище не е налично. Превключване към режим само онлайн.
localStorage,localStorage
Location Performance,Ефективност на местоположението
Locations,Местоположения
Lock Screen,Заключен екран
Lookup Workflow,Работен процес за търсене
Loss,Загуба
Low,ниско
Low Stock,Нисък запас
Low Stock Alerts,Сигнали за ниски запаси
Low Stock Items,Артикули с ниска наличност
