POS Awesome,POS Impresionante
Background processing did not finish in time.,El procesamiento en segundo plano no finalizó a tiempo.
Background processing failed for Invoice {0}: {1},Error en el procesamiento en segundo plano para la factura {0}: {1}
Background Submission Failed,Error en el envío de antecedentes
Background sync interval (seconds),Intervalo de sincronización en segundo plano (segundos)
Balance,Saldo
Balance will be updated when connection is restored,El saldo se actualizará cuando se restablezca la conexión.
Balances still pending,Saldos aún pendientes
Barcode,código de barras
Barcode / QR Ready,Listo para código de barras/QR
Barcode Label Printing,Impresión de etiquetas de códigos de barras
Base Paid:,Base Pagada:
Base Recv:,Recepción base:
Base:,Base:
Basic Information,Información básica
Batch,Lote
Batch Information,Información del lote
Before any return workflow,Antes de cualquier flujo de trabajo de devolución
Before returns,Antes de las devoluciones
Best Day,mejor dia
Best Seller,Mejor vendido
Book expense or deposit from active shift.,Reserva de gastos o depósito del turno activo.
Branch / Location-wise Report,Informe de sucursal/ubicación
Brand-wise,En cuanto a la marca
Breakdown,Desglose
Browse,Navegar
Build Time:,Tiempo de construcción:
Built with Frappe,Construido con Frappé
Bundle,Paquete
Buying Price,Precio de compra
Cache cleared successfully,Caché borrado exitosamente
Cache Usage,Uso de caché
cache used,caché utilizado
Calculating...,Calculando...
Camera Access Required,Se requiere acceso a la cámara
Camera access was aborted. Please try again.,Se canceló el acceso a la cámara. Por favor inténtalo de nuevo.
Camera constraints not supported by your device. Trying fallback settings...,Restricciones de cámara no admitidas por su dispositivo. Probando configuraciones alternativas...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,La cámara está ocupada o bloqueada por otra aplicación/pestaña. Cierra otras aplicaciones de la cámara y vuelve a intentarlo.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,Permiso de cámara denegado. Permita el acceso a la cámara en la configuración de su navegador y actualice la página.
Camera scanner is locked until the current error is acknowledged,El escáner de la cámara se bloquea hasta que se reconoce el error actual
Camera started but the video stream did not load in time. Please try again.,La cámara se inició pero la transmisión de video no se cargó a tiempo. Por favor inténtalo de nuevo.
Cancel cash movement {0}?,¿Cancelar el movimiento de efectivo {0}?
Cancel Payment,Cancelar pago
Cancel Sale,Cancelar venta
Cancel Sale ?,¿Cancelar venta?
Cancelled,Cancelado
Cannot add an item with zero or negative quantity.,No se puede agregar un artículo con cantidad cero o negativa.
Cannot clear cache while offline,No se puede borrar el caché sin conexión
Cannot redeem customer credit more than invoice total,No se puede canjear el crédito del cliente por más del total de la factura
Cannot redeem gift cards more than invoice total,No se pueden canjear tarjetas de regalo por más del total de la factura
Cannot Save Offline Invoice:,No se puede guardar la factura sin conexión:
Cannot Save Offline Payment:,No se puede guardar el pago sin conexión:
Card,tarjeta
Card / Online,Tarjeta / En línea
Card health after the last live lookup,Estado de la tarjeta después de la última búsqueda en vivo
Cards,Tarjetas
Cart,Carrito
Cash,efectivo
Cash back to customers,Devolución de efectivo a los clientes
Cash Collections,Cobros en efectivo
Cash Deposit is disabled for this POS Profile.,El depósito en efectivo está deshabilitado para este perfil de POS.
Cash Drawer Snapshot,Instantánea del cajón de efectivo
Cash In Hand,Efectivo en mano
Cash Movement,Movimiento de efectivo
Cash movement cancelled,Movimiento de efectivo cancelado
Cash movement deduction applied,Se aplica la deducción por movimiento de efectivo
Cash movement deleted,Movimiento de efectivo eliminado
Cash movement is disabled for this POS Profile.,El movimiento de efectivo está deshabilitado para este perfil de POS.
Cash Movement is disabled in current POS Profile.,El movimiento de efectivo está deshabilitado en el perfil de POS actual.
Cash movement saved offline,Movimiento de efectivo guardado sin conexión
Cash movement submitted,Movimiento de efectivo enviado
Cash Movements,Movimientos de efectivo
Cash payment cannot be less than invoice total when partial payment is not allowed,El pago en efectivo no puede ser menor que el total de la factura cuando no se permite el pago parcial
Cash returned after payment,Efectivo devuelto después del pago
Cashier,cajero
Cashier Access,Acceso al cajero
Cashier identity and appearance preferences.,Preferencias de identidad y apariencia del cajero.
Cashier PIN,PIN de cajero
Cashier PIN saved successfully.,PIN de cajero guardado exitosamente.
Cashiers,Cajeros
Cashier-wise,En cuanto a cajero
Categories,Categorías
Category,categoría
Category / Brand / Variant Report,Informe de categoría/marca/variante
Category-wise,En cuanto a categorías
Category-wise Margin,Margen por categoría
Certificate,Certificado
Certificate is missing or not trusted. QZ may show confirmation dialogs.,Falta el certificado o no es de confianza. QZ puede mostrar cuadros de diálogo de confirmación.
Certificate is trusted. Silent QZ printing is active.,El certificado es confiable. La impresión QZ silenciosa está activa.
Change,Cambiar
Change allocation repaired,Asignación de cambios reparada
Change Price,Cambiar precio
Change Return,Cambiar Volver
Change Returned,Cambio devuelto
Change terminal cashier,Cambiar cajero terminal
Charge Heads,Cabezales de carga
Charges,Cargos
Charges not found,Cargos no encontrados
Check Balance,Consultar saldo
Check balance for any card. Supervisors can issue and top up cards here.,Consultar saldo de cualquier tarjeta. Los supervisores pueden emitir y recargar tarjetas aquí.
Check balance only,Consultar saldo únicamente
Check for new commits,Comprobar si hay nuevas confirmaciones
Check for Updates,Buscar actualizaciones
Check live balance before applying redemption,Verifique el saldo activo antes de aplicar el canje
Check live balance before redemption,Verifique el saldo activo antes del canje
Checking...,Comprobando...
Cheque/Reference Date,Cheque/Fecha de Referencia
Cheque/Reference No,Cheque/Nº de referencia
Choose the cashier currently operating this terminal.,Elija el cajero que actualmente opera esta terminal.
City,ciudad
Clear,Borrar
Clear All,Borrar todo
Clear all barcode items,Borrar todos los elementos del código de barras
Clear all purchase order items,Borrar todos los artículos de la orden de compra
Clear Search,Borrar búsqueda
Clearing local cache...,Borrando caché local...
Click to refresh,Haga clic para actualizar
Client CPU Lag:,Retraso de CPU del cliente:
Client Memory Usage:,Uso de la memoria del cliente:
Client Metrics,Métricas del cliente
Close about dialog,Cerrar sobre el diálogo
Close cashier switcher,Cerrar conmutador de cajero
Close closing shift dialog,Cerrar el cuadro de diálogo de cierre de turno
Close column selector,Cerrar selector de columnas
Close Dialog,Cerrar diálogo
Close drafts dialog,Cerrar el cuadro de diálogo de borradores
Close invoice details dialog,Cerrar el cuadro de diálogo de detalles de la factura
Close invoice management,Cerrar gestión de facturas
Close offline invoices dialog,Cerrar el cuadro de diálogo de facturas sin conexión
Close packing list dialog,Cerrar el cuadro de diálogo de la lista de embalaje
Close returns dialog,Cerrar el diálogo de devoluciones
Close sales orders dialog,Cerrar el cuadro de diálogo de pedidos de ventas
Close Scanner,Cerrar escáner
Close scanner dialog,Cerrar el cuadro de diálogo del escáner
Close Settings,Cerrar configuración
Closing Amount,Monto de cierre
Closing POS Shift,Cierre de turno TPV
Closing Snapshot Available,Instantánea de cierre disponible
Code,Código
Code scanned successfully,Código escaneado exitosamente
COGS,Dientes
Collapse item details,Contraer detalles del elemento
Collected,Recogido
Cols,columnas
Columns,columnas
commits,se compromete
Completed and active sales in this range,Ventas completadas y activas en este rango.
Completed returns will appear here.,Las declaraciones completadas aparecerán aquí.
Confirm,Confirmar
Confirm Close,Confirmar Cerrar
Confirm Mobile Number,Confirmar número de móvil
Confirm PIN,Confirmar PIN
Connect,Conectar
Connect printer and manage certificate,Conecte la impresora y administre el certificado
Connecting to QZ Tray...,Conectando a la bandeja QZ...
Connection problem while submitting invoice,Problema de conexión al enviar la factura
Connections:,Conexiones:
Connectivity and cached prerequisite status were rechecked.,Se volvió a verificar la conectividad y el estado de los requisitos previos almacenados en caché.
Continue Editing,Continuar editando
Could not fetch latest balance from server,No se pudo recuperar el último saldo del servidor
Count,contar
Country,País
Coupon,Cupón
Coupons,Cupones
Cover,Portada
CPU Cores:,Núcleos de CPU:
Create,crear
Create and load a new prepaid card,Crear y cargar una nueva tarjeta prepago
Create and preload a new gift card,Crea y precarga una nueva tarjeta de regalo
Create Bill,Crear factura
Create Customer,Crear cliente
Create New Item,Crear nuevo artículo
Create or change your PIN,Crea o cambia tu PIN
Create PIN,Crear PIN
Create POS Opening Shift,Crear Turno de Apertura TPV
Create Purchase Order,Crear orden de compra
Create Return,Crear devolución
Create return from invoice,Crear devolución desde factura
Create Supplier,Crear proveedor
Credit and Output,Crédito y producción
Credit Note,Nota de crédito
Credit Outstanding,Crédito pendiente
Credit sales remaining to be collected,Ventas a crédito pendientes de cobrar
Critical,Crítico
Currency,Moneda
Current,Actual
Current Event Loop Lag:,Retraso del bucle del evento actual:
Current Month,Mes actual
Current PIN,PIN actual
Current Profile,Perfil actual
Current redeemable value on the gift card,Valor canjeable actual en la tarjeta de regalo
Current User,Usuario actual
Custom,personalizado
Custom Due Days,Días de vencimiento personalizados
Custom items per page,Artículos personalizados por página
Customer,Cliente
Customer already selected,Cliente ya seleccionado
Customer Balance,Saldo del cliente
Customer balance unavailable offline,Saldo del cliente no disponible sin conexión
Customer created successfully.,Cliente creado exitosamente.
Customer creation failed.,Error al crear el cliente.
Customer Details,Detalles del cliente
Customer display channel is missing,Falta el canal de visualización del cliente
Customer display was blocked. Please allow pop-ups for this site.,La visualización del cliente fue bloqueada. Permita ventanas emergentes para este sitio.
Customer group is required,Se requiere grupo de clientes
Customer is required to add payment,El cliente debe agregar el pago
Customer Name is required,El nombre del cliente es obligatorio
Customer not selected,Cliente no seleccionado
Customer Report,Informe del cliente
Customer saved offline,Cliente guardado sin conexión
Customer Screen,Pantalla de cliente
Customer territory is required,Se requiere territorio del cliente
Customer updated successfully.,Cliente actualizado exitosamente.
Customer-facing tools and printer setup.,Herramientas de atención al cliente y configuración de impresoras.
Customers,Clientes
Customers not found,Clientes no encontrados
Daily cashier actions without scrolling.,Acciones diarias del cajero sin necesidad de desplazarse.
Daily Sales,Ventas Diarias
Daily Sales Summary,Resumen de ventas diarias
Data loaded in form. Review and submit.,Datos cargados en formulario. Revisar y enviar.
Database Health,Estado de la base de datos
Database health affects overall system speed and reliability.,El estado de la base de datos afecta la velocidad y confiabilidad general del sistema.
Database Info,Información de la base de datos
Date,Fecha
Day ?,¿Día?
days,dias
Day-wise (MTD),Diurno (MTD)
Day-wise Movement,Movimiento diurno
Dead Stock,Stock muerto
Dead Stock Items,Artículos muertos
Decrease quantity,Disminuir cantidad
Default,Predeterminado
Default:,Predeterminado:
Delete,Eliminar
Delete cancelled cash movement {0}?,¿Eliminar el movimiento de efectivo cancelado {0}?
Delete Draft,Eliminar borrador
Delete draft invoice,Eliminar borrador de factura
Delete draft invoice {0}?,¿Eliminar el borrador de factura {0}?
Delete Invoice,Eliminar factura
Delete offline invoice,Eliminar factura sin conexión
Delivered,Entregado
Delivery Charges,Gastos de envío
Delivery Information,Información de entrega
Delivery Note {0} created,Albarán de entrega {0} creado
Delivery note created,Albarán de entrega creado
Deployed Bundle:,Paquete implementado:
Deposit,Depósito
Description,Descripción
Detailed Supplier Breakdown,Desglose detallado de proveedores
Detecting formats:,Detección de formatos:
Device Memory:,Memoria del dispositivo:
Difference,diferencia
Difference (In Company Currency),Diferencia (en moneda de la empresa)
Disable offline mode first to recheck live connectivity.,Primero deshabilite el modo fuera de línea para volver a verificar la conectividad en vivo.
Disconnect,Desconectar
discount,descuento
Discount %,% de descuento
Discount / Void / Return Report,Informe de descuento/anulación/devolución
Discount Amount,Cantidad de descuento
Discount limited by POS Profile,Descuento limitado por perfil POS
Discounted Invoices,Facturas con descuento
Discounts,Descuentos
Dismiss,Descartar
Download Certificate,Descargar Certificado
Draft,Borrador
Draft invoice deleted,Borrador de factura eliminado
Draft source,Borrador de fuente
Drafts,Borradores
Due {0},Vencimiento {0}
Due Date,Fecha de vencimiento
Duplicate,Duplicar
Edit customer,Editar cliente
Edit discount amount,Editar monto de descuento
Edit discount percentage,Editar porcentaje de descuento
Edit Gift Application,Editar solicitud de regalo
Edit item name,Editar nombre del elemento
Edit quantity,Editar cantidad
Edit rate,Editar tarifa
Edit unit of measure,Editar unidad de medida
Edited,Editado
Employee,Empleado
Enable background sync,Habilitar sincronización en segundo plano
Enable Customer Display in POS Profile first.,Primero habilite la visualización del cliente en el perfil de POS.
Enter a PIN.,Ingrese un PIN.
Enter a valid grams value,Introduzca un valor de gramos válido
Enter new price list rate,Introducir nueva tarifa de lista de precios
Enter Quantity,Ingrese la cantidad
Enter the cashier PIN to continue.,Ingrese el PIN del cajero para continuar.
Enter the current PIN first.,Ingrese primero el PIN actual.
"Enter the current PIN, then choose a new one.",Ingrese el PIN actual y luego elija uno nuevo.
Enter valid grams for scale barcode,Ingrese gramos válidos para el código de barras de la báscula
Entries,Entradas
Error accessing camera:,Error al acceder a la cámara:
Error calculating prices,Error al calcular los precios
Error fetching customer balance,Error al recuperar el saldo del cliente
Error in change calculations!,¡Error en los cálculos de cambio!
Error Loading Data,Error al cargar datos
Error loading invoice details,Error al cargar los detalles de la factura
Error processing invoice,Error al procesar la factura
Error processing payment,Error al procesar el pago
Error searching invoices,Error al buscar facturas
Error submitting invoice:,Error al enviar la factura:
Error submitting invoice: {0},Error al enviar la factura: {0}
Error submitting invoice: No response from server,Error al enviar la factura: no hay respuesta del servidor
Error updating currency,Error al actualizar la moneda
Error updating item details,Error al actualizar los detalles del artículo
Est. Purchase,Est. Compra
Est. Value,Est. Valor
Event-loop lag measures how busy your browser is. Lower is better.,El retraso del bucle de eventos mide qué tan ocupado está su navegador. Más bajo es mejor.
Every,cada
Exchange Rate,Tipo de cambio
Expand item details,Ampliar detalles del artículo
Expected Amount (In Company Currency),Monto esperado (en la moneda de la empresa)
Expected Cash,Efectivo esperado
Expected cash on hand grouped by currency,Efectivo disponible esperado agrupado por moneda
Expected vs Actual,Esperado versus real
Expense,Gasto
Expense Account (Optional Override),Cuenta de gastos (anulación opcional)
Expense account is required.,Se requiere cuenta de gastos.
Expenses and deposits posted during this shift,Gastos y depósitos contabilizados durante este turno
Expired,Caducado
Failed to auto reconcile payments.,No se pudieron conciliar automáticamente los pagos.
Failed to cancel cash movement,No se pudo cancelar el movimiento de efectivo
Failed to clear cache,No se pudo borrar el caché
Failed to create item,No se pudo crear el elemento
Failed to create supplier,No se pudo crear el proveedor
Failed to delete cash movement,No se pudo eliminar el movimiento de efectivo
Failed to generate scale barcode. Using item barcode only.,No se pudo generar el código de barras de la báscula. Utilizando únicamente el código de barras del artículo.
Failed to load cash movement context.,No se pudo cargar el contexto del movimiento de efectivo.
Failed to load dashboard data.,No se pudieron cargar los datos del panel.
Failed to reload invoice from server,No se pudo recargar la factura desde el servidor
Failed to submit cash movement,No se pudo enviar el movimiento de efectivo
Failed to sync offline cash movements,No se pudieron sincronizar los movimientos de efectivo fuera de línea
Fast cashier actions for active shifts.,Acciones rápidas de caja para turnos activos.
Fast Moving Items,Artículos de movimiento rápido
Fees,Tarifas
Fetch the latest offline prerequisite updates,Obtenga las últimas actualizaciones de requisitos previos sin conexión
Find a sales order quickly and load it into the current sale.,Encuentre un pedido de ventas rápidamente y cárguelo en la venta actual.
Fixing payment amounts for return invoice...,Fijación de importes de pago para factura de devolución...
Flash Off,Flash apagado
Flash On,Flash encendido
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","Para los artículos del 'Paquete de productos', el almacén, el número de serie y el número de lote se considerarán de la tabla 'Lista de empaque'. Si el almacén y el número de lote son los mismos para todos los artículos de embalaje de cualquier artículo del 'paquete de productos', esos valores se pueden ingresar en la tabla principal de artículos; Los valores se copiarán en la tabla 'Lista de embalaje'."
Free,Gratis
Free Qty,Cantidad gratuita
Frequency,Frecuencia
from,de
From Date,Desde la fecha
Fulfillment Details,Detalles de cumplimiento
Full Name,Nombre completo
Gain,Ganar
Generate a fresh prepaid card and start it with an opening balance.,Genere una nueva tarjeta prepago y comience con un saldo inicial.
Generate and install the certificate to allow fully silent printing without trust prompts.,Genere e instale el certificado para permitir una impresión totalmente silenciosa sin mensajes de confianza.
Generate Certificate,Generar certificado
Generated scale barcode: {0},Código de barras de báscula generado: {0}
Get Payments,Obtener pagos
Gift Card,Tarjeta de regalo
Gift card amount must be greater than zero.,El monto de la tarjeta de regalo debe ser mayor que cero.
Gift Card Code,Código de tarjeta de regalo
Gift card code is required for redemption,Se requiere el código de la tarjeta de regalo para el canje
Gift card code is required.,Se requiere el código de la tarjeta de regalo.
Gift card issued successfully.,Tarjeta regalo emitida correctamente.
Gift card loaded successfully.,Tarjeta de regalo cargada exitosamente.
Gift Card Management,Gestión de tarjetas de regalo
Gift card payment,Pago con tarjeta de regalo
Gift card redemption requires an online connection,El canje de la tarjeta de regalo requiere una conexión en línea
Gift card topped up successfully.,Tarjeta regalo recargada con éxito.
Gift Cards,Tarjetas de regalo
Go to Frappe Desk,Ir al escritorio Frappé
Grand Total,Total general
Gross Margin,Margen bruto
Gross Profit,Beneficio bruto
Gross Sales,Ventas brutas
Group not found,Grupo no encontrado
"Grouped controls for terminal, UI, and session settings.","Controles agrupados para configuración de terminal, UI y sesión."
Grouped totals for each payment method and currency,Totales agrupados para cada método de pago y moneda
Hide,Ocultar
Hide Gift Card,Ocultar tarjeta de regalo
Hide Non Essential Fields,Ocultar campos no esenciales
Hide quantity decimals,Ocultar decimales de cantidad
Hide search tools,Ocultar herramientas de búsqueda
Hide zero rated items,Ocultar artículos con calificación cero
High,Alto
History,Historia
Hourly (Today),Cada hora (hoy)
How this section works,Cómo funciona esta sección
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","Si persisten datos obsoletos, abra Configuración > Sin conexión y sincronización y ejecute Reconstruir datos sin conexión nuevamente mientras está en línea."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","Si la advertencia persiste, abra Configuración > Sin conexión y sincronización, luego ejecute Actualizar datos sin conexión o Reconstruir datos sin conexión."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,Importe el certificado a QZ Tray y reinicie QZ Tray en cada máquina POS.
In,en
In stock: {0},En stock: {0}
Include Batch / Serial,Incluir lote/serie
Include Price,Incluir precio
Increase quantity,aumentar cantidad
IndexedDB,DB indexado
Initial Amount,Monto inicial
Initialize your shift with opening balances,Inicializa tu turno con saldos de apertura
Initializing application...,Inicializando aplicación...
"Inspect cache, sync, and prerequisite status","Inspeccionar el estado de la caché, la sincronización y los requisitos previos"
Installed Applications,Aplicaciones instaladas
Insufficient stock:\n{0},Stock insuficiente:\n{0}
Invalid rate,Tarifa no válida
Inventory Status Report,Informe de estado del inventario
Invoice,factura
Invoice {0} is Submitted,Se envía la factura {0}
Invoice {0} processed successfully,Factura {0} procesada correctamente
Invoice {0} submission failed,Error al enviar la factura {0}
Invoice {0} was already submitted,La factura {0} ya fue enviada
Invoice Adjustments,Ajustes de factura
Invoice Change,Cambio de factura
Invoice Details,Detalles de la factura
Invoice is still in draft after background submission.,La factura aún está en borrador después del envío de antecedentes.
Invoice Items,Artículos de factura
Invoice Management,Gestión de facturas
Invoice Mgmt,Gestión de facturas
Invoice saved offline,Factura guardada sin conexión
Invoice submission failed,Error al enviar la factura
Invoice Submitted,Factura enviada
"Invoice value settled by loyalty points, not cash collection","Valor de la factura liquidado mediante puntos de fidelidad, no mediante cobro en efectivo"
Invoices,Facturas
Invoices already past due date,Facturas ya vencidas
Invoices saved as POS Invoices,Facturas guardadas como facturas POS
Invoices still carrying balances,Facturas que aún tienen saldos
Issue Mode,Modo de emisión
Issue New Card,Emitir nueva tarjeta
Issue Workflow,Flujo de trabajo de problemas
"Issue, top up, and check","Emitir, recargar y comprobar"
Item,Artículo
Item / Product Sales Report,Informe de ventas de artículos/productos
Item {0} added to invoice,Artículo {0} agregado a la factura
Item '{0}' has no barcode,El artículo '{0}' no tiene código de barras
Item Code,Código de artículo
Item created successfully,Artículo creado exitosamente
Item is out of stock,El artículo está agotado
Item Name,Nombre del artículo
Item not found,Artículo no encontrado
Item order updated,Orden de artículos actualizada
Item Selector Settings,Configuración del selector de elementos
Items,Artículos
Items added in POS will appear here automatically.,Los artículos agregados en POS aparecerán aquí automáticamente.
Items added to invoice,Artículos agregados a la factura
Items per page,Artículos por página
Items Sold,Artículos vendidos
Items/Invoice,Artículos/Factura
Item-wise Profitability,Rentabilidad por artículos
Journal Entry,Entrada de diario
json,json
Just now,Justo ahora
Keep offline prerequisites healthy and recover stale data safely.,Mantenga los requisitos previos sin conexión en buen estado y recupere datos obsoletos de forma segura.
Labels,Etiquetas
"Language, theme, terminal tools, and session controls.","Idioma, tema, herramientas de terminal y controles de sesión."
Last,último
Last 14 Days (Paid vs Pending),Últimos 14 días (pagados versus pendientes)
Last 14 Days Activity,Actividad de los últimos 14 días
Last 14 Days Gross Profit,Ganancia bruta de los últimos 14 días
Last 14 Days Purchases,Compras de los últimos 14 días
Last 14 Days Tax/Charges,Impuestos/cargos de los últimos 14 días
Last sync:,Última sincronización:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},Última sincronización: {0} | bien: {1} | fallido: {2} | omitido: {3}
Latest entries for current shift,Últimas entradas para el turno actual
Lead Time,Plazo de entrega
Limited,Limitado
lines,lineas
List,Lista
Live Snapshot,Instantánea en vivo
Load a POS profile and cashier first.,Cargue primero un perfil de POS y un cajero.
Load More Invoices,Cargar más facturas
Load previously saved invoices,Cargar facturas previamente guardadas
Load Sale,Cargar Venta
Load Sales Invoice,Cargar factura de venta
Loading app data...,Cargando datos de la aplicación...
Loading customer database...,Cargando base de datos de clientes...
Loading customers...,Cargando clientes...
Loading database stats...,Cargando estadísticas de la base de datos...
Loading details...,Cargando detalles...
Loading invoice history...,Cargando historial de facturas...
Loading items...,Cargando artículos...
Loading product catalog...,Cargando catálogo de productos...
Loading return invoices...,Cargando facturas de devolución...
Loading server CPU/memory usage...,Cargando uso de CPU/memoria del servidor...
Loading suppliers...,Cargando proveedores...
Loading unpaid invoices...,Cargando facturas impagas...
Loading view...,Cargando vista...
Loading...,Cargando...
Local storage is unavailable. Switching to online-only mode.,El almacenamiento local no está disponible. Cambiar al modo solo en línea.
localStorage,almacenamiento local
Location Performance,Rendimiento de la ubicación
Locations,Ubicaciones
Lock Screen,Pantalla de bloqueo
Lookup Workflow,Flujo de trabajo de búsqueda
Loss,Pérdida
Low,Bajo
Low Stock,Existencias bajas
Low Stock Alerts,Alertas de existencias bajas
Low Stock Items,Artículos con pocas existencias
Low Stock Threshold,Umbral de existencias bajo
Low Stock Total,Total de stock bajo
Lowest Margin,Margen más bajo
