POS Awesome,POS 최고
Build Time:,빌드 시간:
Built with Frappe,프라페로 만든
Bundle,번들
Buying Price,구매 가격
Cache cleared successfully,캐시가 성공적으로 지워졌습니다.
Cache Usage,캐시 사용량
cache used,사용된 캐시
Calculating...,계산 중...
Camera Access Required,카메라 액세스 필요
Camera access was aborted. Please try again.,카메라 액세스가 중단되었습니다. 다시 시도해 주세요.
Camera constraints not supported by your device. Trying fallback settings...,귀하의 장치에서는 카메라 제약 조건이 지원되지 않습니다. 대체 설정을 시도하는 중...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,카메라가 사용 중이거나 다른 앱/탭에 의해 차단되었습니다. 다른 카메라 앱을 종료하고 다시 시도해 보세요.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,카메라 권한이 거부되었습니다. 브라우저 설정에서 카메라 액세스를 허용하고 페이지를 새로고침하세요.
Camera scanner is locked until the current error is acknowledged,현재 오류가 확인될 때까지 카메라 스캐너가 잠겨 있습니다.
Camera started but the video stream did not load in time. Please try again.,카메라가 시작되었지만 비디오 스트림이 제 시간에 로드되지 않았습니다. 다시 시도해 주세요.
Cancel cash movement {0}?,현금 이동 {0}을(를) 취소하시겠습니까?
Cancel Payment,결제 취소
Cancel Sale,판매 취소
Cancel Sale ?,판매를 취소하시겠습니까?
Cancelled,취소됨
Cannot add an item with zero or negative quantity.,수량이 0이거나 음수인 항목을 추가할 수 없습니다.
Cannot clear cache while offline,오프라인 상태에서는 캐시를 지울 수 없습니다.
Cannot redeem customer credit more than invoice total,송장 총액보다 많은 고객 크레딧을 사용할 수 없습니다.
Cannot redeem gift cards more than invoice total,청구서 총액을 초과하여 기프트 카드를 사용할 수 없습니다.
Cannot Save Offline Invoice:,오프라인 송장을 저장할 수 없습니다:
Cannot Save Offline Payment:,오프라인 결제를 저장할 수 없습니다:
Card,카드
Card / Online,카드 / 온라인
Card health after the last live lookup,마지막 실시간 조회 후 카드 상태
Cards,카드
Cart,장바구니
Cash,현금
Cash back to customers,고객에게 캐시백
Cash Collections,현금 수집
Cash Deposit is disabled for this POS Profile.,이 POS 프로필에는 현금 예금이 비활성화되어 있습니다.
Cash Drawer Snapshot,현금 서랍 스냅샷
Cash In Hand,현금 보유
Cash Movement,현금 이동
Cash movement cancelled,현금 이동이 취소되었습니다.
Cash movement deduction applied,현금 이동 공제가 적용됨
Cash movement deleted,현금 이동이 삭제되었습니다.
Cash movement is disabled for this POS Profile.,이 POS 프로필에 대한 현금 이동이 비활성화되었습니다.
Cash Movement is disabled in current POS Profile.,현재 POS 프로필에서는 현금 이동이 비활성화되어 있습니다.
Cash movement saved offline,오프라인으로 저장된 현금 이동
Cash movement submitted,현금 이동 제출됨
Cash Movements,현금 이동
Cash payment cannot be less than invoice total when partial payment is not allowed,부분결제 불가 시 현금결제 금액은 송장총액보다 작을 수 없습니다.
Cash returned after payment,결제 후 현금반환
Cashier,계산원
Cashier Access,계산원 접근
Cashier identity and appearance preferences.,계산원 신원 및 외모 선호도.
Cashier PIN,계산원 PIN
Cashier PIN saved successfully.,계산원 PIN이 성공적으로 저장되었습니다.
Cashiers,계산원
Cashier-wise,계산원 현명한
Categories,카테고리
Category,카테고리
Category / Brand / Variant Report,카테고리 / 브랜드 / 변형 보고서
Category-wise,카테고리별
Category-wise Margin,카테고리별 마진
Certificate,인증서
Certificate is missing or not trusted. QZ may show confirmation dialogs.,인증서가 없거나 신뢰할 수 없습니다. QZ는 확인 대화상자를 표시할 수 있습니다.
Certificate is trusted. Silent QZ printing is active.,인증서가 신뢰됩니다. 무음 QZ 인쇄가 활성화되었습니다.
Change,변경
Change allocation repaired,변경 할당이 복구되었습니다.
Change Price,가격 변경
Change Return,반품 변경
Change Returned,변경사항이 반환됨
Change terminal cashier,터미널 계산원 변경
Charge Heads,차지 헤드
Charges,요금
Charges not found,청구 내역을 찾을 수 없음
Check Balance,잔액 확인
Check balance for any card. Supervisors can issue and top up cards here.,모든 카드의 잔액을 확인하세요. 감독자는 여기에서 카드를 발행하고 충전할 수 있습니다.
Check balance only,잔액만 확인하세요
Check for new commits,새로운 커밋 확인
Check for Updates,업데이트 확인
Check live balance before applying redemption,상환을 적용하기 전에 실시간 잔액을 확인하세요
Check live balance before redemption,상환 전 실시간 잔액 확인
Checking...,확인 중...
Cheque/Reference Date,수표/참조 날짜
Cheque/Reference No,수표/참조 번호
Choose the cashier currently operating this terminal.,현재 이 단말기를 운영하고 있는 계산원을 선택하세요.
City,도시
Clear,지우기
Clear All,모두 지우기
Clear all barcode items,모든 바코드 항목 지우기
Clear all purchase order items,모든 구매 주문 항목 지우기
Clear Search,검색 지우기
Clearing local cache...,로컬 캐시를 지우는 중...
Click to refresh,새로고침하려면 클릭하세요.
Client CPU Lag:,클라이언트 CPU 지연:
Client Memory Usage:,클라이언트 메모리 사용량:
Client Metrics,클라이언트 지표
Close about dialog,대화상자 닫기
Close cashier switcher,계산원 전환기 닫기
Close closing shift dialog,교대 근무 종료 대화 상자 닫기
Close column selector,열 선택기 닫기
Close Dialog,닫기 대화상자
Close drafts dialog,초안 대화상자 닫기
Close invoice details dialog,송장 세부정보 대화상자 닫기
Close invoice management,인보이스 관리 닫기
Close offline invoices dialog,오프라인 송장 대화상자 닫기
Close packing list dialog,짐 목록 대화상자 닫기
Close returns dialog,반품 대화상자 닫기
Close sales orders dialog,판매 주문 대화 상자 닫기
Close Scanner,스캐너 닫기
Close scanner dialog,스캐너 대화상자 닫기
Close Settings,설정 닫기
Closing Amount,마감 금액
Closing POS Shift,POS 교대 마감
Closing Snapshot Available,마감 스냅샷 사용 가능
Code,코드
Code scanned successfully,코드가 성공적으로 스캔되었습니다
COGS,톱니바퀴
Collapse item details,항목 세부정보 접기
Collected,수집됨
Cols,콜스
Columns,열
commits,커밋하다
Completed and active sales in this range,이 범위에서 완료되고 활성화된 판매
Completed returns will appear here.,완료된 반품이 여기에 표시됩니다.
Confirm,확인
Confirm Close,닫기 확인
Confirm Mobile Number,휴대폰 번호 확인
Confirm PIN,PIN 확인
Connect,연결하다
Connect printer and manage certificate,프린터 연결 및 인증서 관리
Connecting to QZ Tray...,QZ 트레이에 연결하는 중...
Connection problem while submitting invoice,송장 제출 중 연결 문제
Connections:,연결:
Connectivity and cached prerequisite status were rechecked.,연결성 및 캐시된 필수 구성 요소 상태를 다시 확인했습니다.
Continue Editing,계속 편집
Could not fetch latest balance from server,서버에서 최신 잔액을 가져올 수 없습니다.
Count,개수
Country,국가
Coupon,쿠폰
Coupons,쿠폰
Cover,표지
CPU Cores:,CPU 코어:
Create,만들기
Create and load a new prepaid card,새 선불카드 생성 및 로드
Create and preload a new gift card,새 기프트 카드를 만들고 미리 로드하세요.
Create Bill,청구서 작성
Create Customer,고객 생성
Create New Item,새 항목 만들기
Create or change your PIN,PIN 생성 또는 변경
Create PIN,PIN 생성
Create POS Opening Shift,POS 오프닝 교대근무 생성
Create Purchase Order,구매 주문 생성
Create Return,반품 생성
Create return from invoice,송장에서 반품 생성
Create Supplier,공급업체 생성
Credit and Output,신용 및 산출물
Credit Note,신용 메모
Credit Outstanding,신용 미지급
Credit sales remaining to be collected,회수 예정인 크레딧 판매 잔액
Critical,심각
Currency,통화
Current,현재
Current Event Loop Lag:,현재 이벤트 루프 지연:
Current Month,이번 달
Current PIN,현재 PIN
Current Profile,현재 프로필
Current redeemable value on the gift card,기프트 카드의 현재 사용 가능한 금액
Current User,현재 사용자
Custom,맞춤
Custom Due Days,맞춤 마감일
Custom items per page,페이지당 사용자 정의 항목
Customer,고객
Customer already selected,고객이 이미 선택되었습니다.
Customer Balance,고객 잔액
Customer balance unavailable offline,고객 잔액을 오프라인에서 사용할 수 없음
Customer created successfully.,고객이 성공적으로 생성되었습니다.
Customer creation failed.,고객 생성에 실패했습니다.
Customer Details,고객 세부정보
Customer display channel is missing,고객 디스플레이 채널이 누락되었습니다.
Customer display was blocked. Please allow pop-ups for this site.,고객 디스플레이가 차단되었습니다. 이 사이트에 대한 팝업을 허용해 주세요.
Customer group is required,고객 그룹은 필수 항목입니다.
Customer is required to add payment,고객이 결제 수단을 추가해야 합니다.
Customer Name is required,고객 이름이 필요합니다
Customer not selected,고객이 선택되지 않았습니다.
Customer Report,고객 보고서
Customer saved offline,고객이 오프라인으로 저장했습니다.
Customer Screen,고객 화면
Customer territory is required,고객 지역은 필수 항목입니다.
Customer updated successfully.,고객이 업데이트되었습니다.
Customer-facing tools and printer setup.,고객용 도구 및 프린터 설정.
Customers,고객
Customers not found,고객을 찾을 수 없습니다
Daily cashier actions without scrolling.,스크롤 없이 일일 계산원 작업.
Daily Sales,일일 매출
Daily Sales Summary,일일 매출 요약
Data loaded in form. Review and submit.,양식에 데이터가 로드되었습니다. 검토하고 제출하세요.
Database Health,데이터베이스 상태
Database health affects overall system speed and reliability.,데이터베이스 상태는 전반적인 시스템 속도와 안정성에 영향을 미칩니다.
Database Info,데이터베이스 정보
Date,날짜
Day ?,하루?
days,일
Day-wise (MTD),일별(MTD)
Day-wise Movement,주간 운동
Dead Stock,재고
Dead Stock Items,재고 품목
Decrease quantity,수량 감소
Default,기본값
Default:,기본값:
Delete,삭제
Delete cancelled cash movement {0}?,취소된 현금 이동 {0}을(를) 삭제하시겠습니까?
Delete Draft,초안 삭제
Delete draft invoice,초안 송장 삭제
Delete draft invoice {0}?,초안 송장 {0}을(를) 삭제하시겠습니까?
Delete Invoice,송장 삭제
Delete offline invoice,오프라인 송장 삭제
Delivered,배달됨
Delivery Charges,배송비
Delivery Information,배송정보
Delivery Note {0} created,배송 메모 {0}이(가) 생성되었습니다.
Delivery note created,배달 메모가 생성되었습니다.
Deployed Bundle:,배포된 번들:
Deposit,예금
Description,설명
Detailed Supplier Breakdown,상세한 공급업체 분석
Detecting formats:,형식 감지:
Device Memory:,장치 메모리:
Difference,차이
Difference (In Company Currency),차액(회사 통화 기준)
Disable offline mode first to recheck live connectivity.,실시간 연결을 다시 확인하려면 먼저 오프라인 모드를 비활성화하세요.
Disconnect,연결 끊기
discount,할인
Discount %,할인%
Discount / Void / Return Report,할인/무효/반품 보고서
Discount Amount,할인금액
Discount limited by POS Profile,POS 프로필에 따라 할인이 제한됨
Discounted Invoices,할인된 송장
Discounts,할인
Dismiss,닫기
Download Certificate,인증서 다운로드
Draft,초안
Draft invoice deleted,송장 초안이 삭제되었습니다.
Draft source,초안 소스
Drafts,초안
Due {0},마감일: {0}
Due Date,만기일
Duplicate,중복
Edit customer,고객 수정
Edit discount amount,할인 금액 수정
Edit discount percentage,할인율 수정
Edit Gift Application,선물 신청 수정
Edit item name,항목 이름 수정
Edit quantity,수량 수정
Edit rate,요금 수정
Edit unit of measure,측정 단위 편집
Edited,편집됨
Employee,직원
Enable background sync,백그라운드 동기화 활성화
Enable Customer Display in POS Profile first.,먼저 POS 프로필에서 고객 디스플레이를 활성화하세요.
Enter a PIN.,PIN을 입력하세요.
Enter a valid grams value,유효한 그램 값을 입력하세요.
Enter new price list rate,새 가격표 요율 입력
Enter Quantity,수량 입력
Enter the cashier PIN to continue.,계속하려면 계산원 PIN을 입력하세요.
Enter the current PIN first.,현재 PIN을 먼저 입력하세요.
"Enter the current PIN, then choose a new one.",현재 PIN을 입력한 후 새 PIN을 선택하세요.
Enter valid grams for scale barcode,체중계 바코드에 유효한 그램을 입력하세요.
Entries,항목
Error accessing camera:,카메라 액세스 오류:
Error calculating prices,가격 계산 오류
Error fetching customer balance,고객 잔액을 가져오는 중에 오류가 발생했습니다.
Error in change calculations!,변경 계산에 오류가 발생했습니다.
Error Loading Data,데이터 로드 중 오류가 발생했습니다.
Error loading invoice details,송장 세부정보를 로드하는 중에 오류가 발생했습니다.
Error processing invoice,인보이스 처리 중 오류가 발생했습니다.
Error processing payment,결제 처리 중 오류가 발생했습니다.
Error searching invoices,인보이스 검색 중 오류가 발생했습니다.
Error submitting invoice:,송장 제출 오류:
Error submitting invoice: {0},인보이스 제출 오류: {0}
Error submitting invoice: No response from server,송장 제출 오류: 서버에서 응답이 없습니다.
Error updating currency,통화 업데이트 중 오류 발생
Error updating item details,항목 세부정보를 업데이트하는 중에 오류가 발생했습니다.
Est. Purchase,예상 구매
Est. Value,예상 가치
Event-loop lag measures how busy your browser is. Lower is better.,이벤트 루프 지연은 브라우저가 얼마나 바쁜지를 측정합니다. 낮을수록 좋습니다.
Every,매
Exchange Rate,환율
Expand item details,항목 세부정보 펼치기
Expected Amount (In Company Currency),예상 금액(회사 통화 기준)
Expected Cash,예상현금
Expected cash on hand grouped by currency,통화별로 그룹화된 예상 보유 현금
Expected vs Actual,예상 대 실제
Expense,비용
Expense Account (Optional Override),비용 계정(선택적 대체)
Expense account is required.,비용 계정이 필요합니다.
Expenses and deposits posted during this shift,이 근무 시간 동안 게시된 비용 및 보증금
Expired,만료됨
Failed to auto reconcile payments.,결제 자동 조정에 실패했습니다.
Failed to cancel cash movement,현금 이동을 취소하지 못했습니다.
Failed to clear cache,캐시를 지우지 못했습니다.
Failed to create item,항목을 생성하지 못했습니다.
Failed to create supplier,공급업체를 생성하지 못했습니다.
Failed to delete cash movement,현금 이동을 삭제하지 못했습니다.
Failed to generate scale barcode. Using item barcode only.,체중계 바코드 생성에 실패했습니다. 품목 바코드만 사용합니다.
Failed to load cash movement context.,현금 이동 컨텍스트를 로드하지 못했습니다.
Failed to load dashboard data.,대시보드 데이터를 로드하지 못했습니다.
Failed to reload invoice from server,서버에서 송장을 다시 로드하지 못했습니다.
Failed to submit cash movement,현금 이동을 제출하지 못했습니다.
Failed to sync offline cash movements,오프라인 현금 이동을 동기화하지 못했습니다.
Fast cashier actions for active shifts.,활동적인 교대 근무를 위한 빠른 출납원 작업.
Fast Moving Items,빠르게 움직이는 아이템
Fees,수수료
Fetch the latest offline prerequisite updates,최신 오프라인 필수 구성 요소 업데이트 가져오기
Find a sales order quickly and load it into the current sale.,판매 주문을 빠르게 찾아 현재 판매에 로드하세요.
Fixing payment amounts for return invoice...,반품 송장의 결제 금액을 수정하는 중...
Flash Off,플래시 끄기
Flash On,플래시 켜기
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","'제품 번들' 품목의 경우 창고, 일련 번호 및 배치 번호는 '포장 목록' 표에서 고려됩니다. '제품 번들' 항목의 모든 포장 항목에 대해 창고 및 배치 번호가 동일한 경우 해당 값을 기본 항목 테이블에 입력할 수 있습니다. 값은 'Packing List' 테이블에 복사됩니다."
Free,무료
Free Qty,무료 수량
Frequency,빈도
from,에서
From Date,날짜부터
Fulfillment Details,이행 세부정보
Full Name,성명
Gain,게인
Generate a fresh prepaid card and start it with an opening balance.,새로운 선불 카드를 생성하고 기초 잔액으로 시작하세요.
Generate and install the certificate to allow fully silent printing without trust prompts.,신뢰 프롬프트 없이 완전 자동 인쇄를 허용하려면 인증서를 생성하고 설치하십시오.
Generate Certificate,인증서 생성
Generated scale barcode: {0},생성된 체중계 바코드: {0}
Get Payments,지불 받기
Gift Card,기프트 카드
Gift card amount must be greater than zero.,기프트 카드 금액은 0보다 커야 합니다.
Gift Card Code,기프트 카드 코드
Gift card code is required for redemption,교환하려면 기프트 카드 코드가 필요합니다.
Gift card code is required.,기프트 카드 코드가 필요합니다.
Gift card issued successfully.,기프트 카드가 성공적으로 발급되었습니다.
Gift card loaded successfully.,기프트카드가 성공적으로 로드되었습니다.
Gift Card Management,기프트 카드 관리
Gift card payment,기프트 카드 결제
Gift card redemption requires an online connection,기프트 카드를 사용하려면 온라인 연결이 필요합니다.
Gift card topped up successfully.,기프트 카드가 충전되었습니다.
Gift Cards,기프트 카드
Go to Frappe Desk,프라페데스크 바로가기
Grand Total,총계
Gross Margin,총이익
Gross Profit,총 이익
Gross Sales,총매출
Group not found,그룹을 찾을 수 없습니다
"Grouped controls for terminal, UI, and session settings.","터미널, UI, 세션 설정에 대한 그룹화된 제어입니다."
Grouped totals for each payment method and currency,각 결제 방법 및 통화에 대한 그룹화된 합계
Hide,숨기기
Hide Gift Card,기프트 카드 숨기기
Hide Non Essential Fields,필수가 아닌 필드 숨기기
Hide quantity decimals,수량 소수점 숨기기
Hide search tools,검색 도구 숨기기
Hide zero rated items,등급이 0인 항목 숨기기
High,높음
History,역사
Hourly (Today),시간별(오늘)
How this section works,이 섹션의 작동 방식
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.",오래된 데이터가 남아 있으면 설정 > 오프라인 및 동기화를 열고 온라인 상태에서 오프라인 데이터 재구성을 다시 실행하세요.
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.",경고가 지속되면 설정 > 오프라인 및 동기화를 연 다음 오프라인 데이터 새로 고침 또는 오프라인 데이터 재구성을 실행하세요.
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,인증서를 QZ 트레이로 가져오고 각 POS 시스템에서 QZ 트레이를 다시 시작하세요.
In,에서
In stock: {0},재고 있음: {0}
Include Batch / Serial,배치/일련번호 포함
Include Price,가격 포함
Increase quantity,수량 늘리기
IndexedDB,IndexedDB
Initial Amount,초기 금액
Initialize your shift with opening balances,기초 잔액으로 교대근무를 초기화하세요
Initializing application...,애플리케이션 초기화 중...
"Inspect cache, sync, and prerequisite status","캐시, 동기화, 필수 구성 요소 상태 검사"
Installed Applications,설치된 애플리케이션
Insufficient stock:\n{0},재고 부족:\n{0}
Invalid rate,잘못된 요율
Inventory Status Report,재고 현황 보고서
Invoice,송장
Invoice {0} is Submitted,송장 {0}이(가) 제출되었습니다
Invoice {0} processed successfully,송장 {0}이(가) 성공적으로 처리되었습니다.
Invoice {0} submission failed,송장 {0} 제출 실패
Invoice {0} was already submitted,송장 {0}이(가) 이미 제출되었습니다.
Invoice Adjustments,송장 조정
Invoice Change,송장 변경
Invoice Details,송장 세부정보
Invoice is still in draft after background submission.,송장은 백그라운드 제출 후에도 여전히 초안 상태입니다.
Invoice Items,송장 항목
Invoice Management,송장 관리
Invoice Mgmt,송장 관리
Invoice saved offline,인보이스가 오프라인으로 저장됨
Invoice submission failed,송장 제출 실패
Invoice Submitted,송장 제출됨
"Invoice value settled by loyalty points, not cash collection",현금 징수가 아닌 로열티 포인트로 정산되는 송장 가치
Invoices,송장
Invoices already past due date,청구서의 기한이 이미 지났습니다.
Invoices saved as POS Invoices,POS 송장으로 저장된 송장
Invoices still carrying balances,송장에는 아직 잔액이 남아 있습니다.
Issue Mode,이슈 모드
Issue New Card,신규 카드 발급
Issue Workflow,이슈 워크플로
"Issue, top up, and check","발급, 충전, 확인"
Item,품목
Item / Product Sales Report,품목/제품 판매 보고서
Item {0} added to invoice,송장에 항목 {0}이(가) 추가되었습니다
Item '{0}' has no barcode,항목 '{0}'에 바코드가 없습니다.
Item Code,품목 코드
Item created successfully,항목이 성공적으로 생성되었습니다.
Item is out of stock,상품이 품절되었습니다.
Item Name,품목 이름
Item not found,항목을 찾을 수 없습니다
Item order updated,상품 주문이 업데이트되었습니다.
Item Selector Settings,항목 선택기 설정
Items,품목
Items added in POS will appear here automatically.,POS에 추가된 항목은 여기에 자동으로 표시됩니다.
Items added to invoice,송장에 추가된 항목
Items per page,페이지당 항목
Items Sold,판매된 품목
Items/Invoice,품목/송장
Item-wise Profitability,품목별 수익성
Journal Entry,분개장
json,JSON
Just now,지금 막
Keep offline prerequisites healthy and recover stale data safely.,오프라인 필수 구성 요소를 정상으로 유지하고 오래된 데이터를 안전하게 복구하세요.
Labels,라벨
"Language, theme, terminal tools, and session controls.","언어, 테마, 터미널 도구 및 세션 제어."
Last,마지막
Last 14 Days (Paid vs Pending),지난 14일(결제 완료 및 보류 중)
Last 14 Days Activity,지난 14일 활동
Last 14 Days Gross Profit,지난 14일 총 이익
Last 14 Days Purchases,지난 14일 구매
Last 14 Days Tax/Charges,지난 14일간의 세금/요금
Last sync:,마지막 동기화:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},마지막 동기화: {0} | 알았어: {1} | 실패: {2} | 건너뛰었습니다: {3}
Latest entries for current shift,현재 근무조에 대한 최신 항목
Lead Time,리드타임
Limited,제한적
lines,라인
List,목록
Live Snapshot,라이브 스냅샷
Load a POS profile and cashier first.,POS 프로필과 계산원을 먼저 로드하세요.
Load More Invoices,더 많은 송장 로드
Load previously saved invoices,이전에 저장한 청구서 로드
Load Sale,로드 세일
Load Sales Invoice,판매 송장 로드
Loading app data...,앱 데이터 로드 중...
Loading customer database...,고객 데이터베이스 로드 중...
Loading customers...,고객 로드 중...
Loading database stats...,데이터베이스 통계 로드 중...
Loading details...,세부정보 로드 중...
Loading invoice history...,인보이스 내역 로드 중...
Loading items...,항목 로드 중...
Loading product catalog...,제품 카탈로그 로드 중...
Loading return invoices...,반품 송장 로드 중...
Loading server CPU/memory usage...,서버 CPU/메모리 사용량 로드 중...
Loading suppliers...,공급업체 로드 중...
Loading unpaid invoices...,미지급 송장 로드 중...
Loading view...,보기 로드 중...
Loading...,로드 중...
Local storage is unavailable. Switching to online-only mode.,로컬 저장소를 사용할 수 없습니다. 온라인 전용 모드로 전환합니다.
localStorage,로컬스토리지
Location Performance,위치 실적
Locations,위치
Lock Screen,잠금 화면
Lookup Workflow,조회 워크플로
Loss,손실
Low,낮음
