POS Awesome,POSnya Luar Biasa
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","Untuk item 'Paket Produk', Gudang, Nomor Seri, dan Nomor Batch akan dipertimbangkan dari tabel 'Daftar Pengepakan'. Jika No Gudang dan Nomor Batch sama untuk semua item pengepakan untuk item 'Paket Produk', nilai tersebut dapat dimasukkan dalam tabel Item utama; nilai akan disalin ke tabel 'Daftar Pengepakan'."
Free,Gratis
Free Qty,Kuantitas Gratis
Frequency,Frekuensi
from,dari
From Date,Dari Tanggal
Fulfillment Details,Detail Pemenuhan
Full Name,Nama Lengkap
Gain,Keuntungan
Generate a fresh prepaid card and start it with an opening balance.,Hasilkan kartu prabayar baru dan mulai dengan saldo awal.
Generate and install the certificate to allow fully silent printing without trust prompts.,Hasilkan dan instal sertifikat untuk memungkinkan pencetakan senyap sepenuhnya tanpa perintah kepercayaan.
Generate Certificate,Hasilkan Sertifikat
Generated scale barcode: {0},Kode batang skala yang dihasilkan: {0}
Get Payments,Dapatkan Pembayaran
Gift Card,Kartu Hadiah
Gift card amount must be greater than zero.,Jumlah kartu hadiah harus lebih besar dari nol.
Gift Card Code,Kode Kartu Hadiah
Gift card code is required for redemption,Kode kartu hadiah diperlukan untuk penukaran
Gift card code is required.,Kode kartu hadiah diperlukan.
Gift card issued successfully.,Kartu hadiah berhasil dikeluarkan.
Gift card loaded successfully.,Kartu hadiah berhasil dimuat.
Gift Card Management,Manajemen Kartu Hadiah
Gift card payment,Pembayaran kartu hadiah
Gift card redemption requires an online connection,Penukaran kartu hadiah memerlukan koneksi online
Gift card topped up successfully.,Kartu hadiah berhasil diisi ulang.
Gift Cards,Kartu Hadiah
Go to Frappe Desk,Pergi ke Meja Frappe
Grand Total,Jumlah Keseluruhan
Gross Margin,Margin Kotor
Gross Profit,Laba Kotor
Gross Sales,Penjualan Kotor
Group not found,Grup tidak ditemukan
"Grouped controls for terminal, UI, and session settings.","Kontrol yang dikelompokkan untuk pengaturan terminal, UI, dan sesi."
Grouped totals for each payment method and currency,Total yang dikelompokkan untuk setiap metode pembayaran dan mata uang
Hide,Sembunyikan
Hide Gift Card,Sembunyikan Kartu Hadiah
Hide Non Essential Fields,Sembunyikan Bidang yang Tidak Penting
Hide quantity decimals,Sembunyikan desimal kuantitas
Hide search tools,Sembunyikan alat pencarian
Hide zero rated items,Sembunyikan item dengan nilai nol
High,Tinggi
History,Sejarah
Hourly (Today),Setiap Jam (Hari ini)
How this section works,Cara kerja bagian ini
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","Jika data basi masih ada, buka Pengaturan > Offline & Sinkronisasi dan jalankan kembali Pembuatan Data Offline saat online."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","Jika peringatan terus berlanjut, buka Pengaturan > Offline & Sinkronisasi, lalu jalankan Refresh Data Offline atau Rebuild Offline Data."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,Impor sertifikat ke QZ Tray dan restart QZ Tray di setiap mesin POS.
In,Di
In stock: {0},Tersedia: {0}
Include Batch / Serial,Sertakan Batch/Serial
Include Price,Sertakan Harga
Increase quantity,Tingkatkan kuantitas
IndexedDB,DB yang diindeks
Initial Amount,Jumlah Awal
Initialize your shift with opening balances,Inisialisasi shift Anda dengan saldo awal
Initializing application...,Menginisialisasi aplikasi...
"Inspect cache, sync, and prerequisite status","Periksa cache, sinkronisasi, dan status prasyarat"
Installed Applications,Aplikasi yang Terinstal
Insufficient stock:\n{0},Stok tidak mencukupi:\n{0}
Invalid rate,Tarif tidak valid
Inventory Status Report,Laporan Status Inventaris
Invoice,Faktur
Invoice {0} is Submitted,Faktur {0} Telah Dikirim
Invoice {0} processed successfully,Faktur {0} berhasil diproses
Invoice {0} submission failed,Pengiriman faktur {0} gagal
Invoice {0} was already submitted,Faktur {0} telah dikirimkan
Invoice Adjustments,Penyesuaian Faktur
Invoice Change,Perubahan Faktur
Invoice Details,Detail Faktur
Invoice is still in draft after background submission.,Faktur masih dalam konsep setelah penyerahan latar belakang.
Invoice Items,Item Faktur
Invoice Management,Manajemen Faktur
Invoice Mgmt,Manajemen Faktur
Invoice saved offline,Faktur disimpan offline
Invoice submission failed,Pengiriman faktur gagal
Invoice Submitted,Faktur Dikirim
"Invoice value settled by loyalty points, not cash collection","Nilai faktur diselesaikan berdasarkan poin loyalitas, bukan pengumpulan uang tunai"
Invoices,Faktur
Invoices already past due date,Faktur sudah melewati tanggal jatuh tempo
Invoices saved as POS Invoices,Faktur disimpan sebagai Faktur POS
Invoices still carrying balances,Faktur masih membawa saldo
Issue Mode,Modus Masalah
Issue New Card,Penerbitan Kartu Baru
Issue Workflow,Masalah Alur Kerja
"Issue, top up, and check","Keluarkan, isi ulang, dan periksa"
Item,Barang
Item / Product Sales Report,Laporan Penjualan Barang/Produk
Item {0} added to invoice,Item {0} ditambahkan ke faktur
Item '{0}' has no barcode,Item '{0}' tidak memiliki kode batang
Item Code,Kode Barang
Item created successfully,Item berhasil dibuat
Item is out of stock,Stok barang habis
Item Name,Nama Barang
Item not found,Barang tidak ditemukan
Item order updated,Pesanan barang diperbarui
Item Selector Settings,Pengaturan Pemilih Item
Items,Barang
Items added in POS will appear here automatically.,Item yang ditambahkan di POS akan muncul di sini secara otomatis.
Items added to invoice,Item ditambahkan ke faktur
Items per page,Item per halaman
Items Sold,Barang Terjual
Items/Invoice,Barang/Faktur
Item-wise Profitability,Profitabilitas berdasarkan item
Journal Entry,Entri Jurnal
json,json
Just now,Baru saja
Keep offline prerequisites healthy and recover stale data safely.,Jaga agar prasyarat offline tetap sehat dan pulihkan data lama dengan aman.
Labels,Label
