POS Awesome,POS Lieliski
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,Kamera ir aizņemta vai to bloķē cita lietotne/cilne. Aizveriet citas kameras lietotnes un mēģiniet vēlreiz.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,"Kameras atļauja liegta. Lūdzu, pārlūkprogrammas iestatījumos atļaujiet piekļuvi kamerai un atsvaidziniet lapu."
Camera scanner is locked until the current error is acknowledged,"Kameras skeneris ir bloķēts, līdz tiek apstiprināta pašreizējā kļūda"
Camera started but the video stream did not load in time. Please try again.,"Kamera startēja, bet video straume netika ielādēta laikā. Lūdzu, mēģiniet vēlreiz."
Cancel cash movement {0}?,Vai atcelt skaidras naudas kustību {0}?
Cancel Payment,Atcelt maksājumu
Cancel Sale,Atcelt izpārdošanu
Cancel Sale ?,Vai atcelt izpārdošanu?
Cancelled,Atcelts
Cannot add an item with zero or negative quantity.,Nevar pievienot preci ar nulli vai negatīvu daudzumu.
Cannot clear cache while offline,Bezsaistē nevar notīrīt kešatmiņu
Cannot redeem customer credit more than invoice total,Klienta kredītu nevar izpirkt vairāk par rēķina kopsummu
Cannot redeem gift cards more than invoice total,Dāvanu kartes nevar izpirkt vairāk par kopējo rēķinu
Cannot Save Offline Invoice:,Nevar saglabāt bezsaistes rēķinu:
Cannot Save Offline Payment:,Nevar saglabāt bezsaistes maksājumu:
Card,Kart
Card / Online,Karte / tiešsaistē
Card health after the last live lookup,Kartes stāvoklis pēc pēdējās tiešraides
Cards,Kartes
Cart,Ratiņi
Cash,Skaidra nauda
Cash back to customers,Naudas atgriešana klientiem
Cash Collections,Skaidras naudas kolekcijas
Cash Deposit is disabled for this POS Profile.,Skaidras naudas iemaksa šim POS profilam ir atspējota.
Cash Drawer Snapshot,Kases atvilktnes momentuzņēmums
Cash In Hand,Nauda rokā
Cash Movement,Skaidras naudas kustība
Cash movement cancelled,Skaidras naudas kustība atcelta
Cash movement deduction applied,Piemērots naudas kustības atskaitījums
Cash movement deleted,Skaidras naudas kustība dzēsta
Cash movement is disabled for this POS Profile.,Skaidras naudas kustība šim POS profilam ir atspējota.
Cash Movement is disabled in current POS Profile.,Pašreizējā POS profilā skaidras naudas kustība ir atspējota.
Cash movement saved offline,Skaidras naudas kustība saglabāta bezsaistē
Cash movement submitted,Skaidras naudas kustība iesniegta
Cash Movements,Skaidras naudas kustības
Cash payment cannot be less than invoice total when partial payment is not allowed,"Skaidras naudas maksājums nevar būt mazāks par rēķina kopsummu, ja daļēja apmaksa nav atļauta"
Cash returned after payment,Skaidra nauda atgriezta pēc apmaksas
Cashier,Kasieris
Cashier Access,Kases piekļuve
Cashier identity and appearance preferences.,Kasiera identitāte un izskata preferences.
Cashier PIN,Kases PIN
Cashier PIN saved successfully.,Kases PIN ir veiksmīgi saglabāts.
Cashiers,Kasieri
Cashier-wise,Kasieres ziņā
Categories,Kategorijas
Category,Kategorija
Category / Brand / Variant Report,Pārskats par kategoriju/zīmoliem/variantiem
Category-wise,Kategorijas ziņā
Category-wise Margin,Kategorijas robeža
Certificate,Sertifikāts
Certificate is missing or not trusted. QZ may show confirmation dialogs.,Trūkst sertifikāta vai tas nav uzticams. QZ var parādīt apstiprinājuma dialoglodziņus.
Certificate is trusted. Silent QZ printing is active.,Sertifikāts ir uzticams. Klusā QZ drukāšana ir aktīva.
Change,Mainīt
Change allocation repaired,Izmaiņu piešķīrums labots
Change Price,Mainīt cenu
Change Return,Mainīt atgriešanos
Change Returned,Izmaiņas atgrieztas
Change terminal cashier,Mainiet termināļa kasieri
Charge Heads,Uzlādes galviņas
Charges,Maksas
Charges not found,Maksa nav atrasta
Check Balance,Pārbaudiet atlikumu
Check balance for any card. Supervisors can issue and top up cards here.,Pārbaudiet jebkuras kartes atlikumu. Šeit uzraugi var izsniegt un papildināt kartes.
Check balance only,Pārbaudiet tikai bilanci
Check for new commits,Pārbaudiet jaunas saistības
Check for Updates,Pārbaudiet atjauninājumus
Check live balance before applying redemption,Pirms izpirkšanas piemērošanas pārbaudiet reāllaika bilanci
Check live balance before redemption,Pirms izpirkšanas pārbaudiet reāllaika bilanci
Checking...,Notiek pārbaude...
Cheque/Reference Date,Čeks/atsauces datums
Cheque/Reference No,Čeka/uzziņas Nr
Choose the cashier currently operating this terminal.,"Izvēlieties kasieri, kas pašlaik pārvalda šo termināli."
City,Pilsēta
Clear,Skaidrs
Clear All,Notīrīt visu
Clear all barcode items,Notīrīt visus svītrkoda vienumus
Clear all purchase order items,Notīriet visas pirkuma pasūtījuma preces
Clear Search,Notīrīt meklēšanu
Clearing local cache...,Notiek vietējās kešatmiņas dzēšana...
Click to refresh,"Noklikšķiniet, lai atsvaidzinātu"
Client CPU Lag:,Klienta CPU kavēšanās:
Client Memory Usage:,Klienta atmiņas lietojums:
Client Metrics,Klientu metrika
Close about dialog,Aizvērt par dialoglodziņu
Close cashier switcher,Aizveriet kases pārslēdzēju
Close closing shift dialog,Aizvērt maiņas dialoglodziņu
Close column selector,Aizvērt kolonnu atlasītāju
Close Dialog,Aizvērt dialoglodziņu
Close drafts dialog,Aizvērt melnrakstu dialoglodziņu
Close invoice details dialog,Aizvērt rēķina informācijas dialoglodziņu
Close invoice management,Aizvērt rēķinu pārvaldību
Close offline invoices dialog,Aizvērt bezsaistes rēķinu dialoglodziņu
Close packing list dialog,Aizvērt iepakošanas saraksta dialoglodziņu
Close returns dialog,Aizvērt atgriešanas dialoglodziņu
Close sales orders dialog,Aizvērt pārdošanas pasūtījumu dialoglodziņu
Close Scanner,Aizveriet skeneri
Close scanner dialog,Aizvērt skenera dialoglodziņu
Close Settings,Aizveriet iestatījumus
Closing Amount,Noslēguma summa
Closing POS Shift,POS Shift aizvēršana
Closing Snapshot Available,Ir pieejams noslēguma momentuzņēmums
Code,Kods
Code scanned successfully,Kods ir veiksmīgi skenēts
COGS,COGS
Collapse item details,Sakļaut vienuma informāciju
Collected,Savākts
Cols,Cols
Columns,Kolonnas
commits,apņemas
Completed and active sales in this range,Pabeigta un aktīva pārdošana šajā diapazonā
Completed returns will appear here.,Šeit tiks parādītas pabeigtās atgriešanas.
Confirm,Apstiprināt
Confirm Close,Apstipriniet Aizvērt
Confirm Mobile Number,Apstipriniet mobilā tālruņa numuru
Confirm PIN,Apstipriniet PIN
Connect,Savienot
Connect printer and manage certificate,Pievienojiet printeri un pārvaldiet sertifikātu
Connecting to QZ Tray...,Notiek savienojuma izveide ar QZ Tray...
Connection problem while submitting invoice,"Savienojuma problēma, iesniedzot rēķinu"
Connections:,Savienojumi:
Connectivity and cached prerequisite status were rechecked.,Savienojamība un kešatmiņā saglabātā priekšnoteikuma statuss tika atkārtoti pārbaudīts.
Continue Editing,Turpināt rediģēšanu
Could not fetch latest balance from server,Nevarēja iegūt jaunāko bilanci no servera
Count,Skaitīt
Country,Valsts
Coupon,Kupons
Coupons,Kuponi
Cover,Vāks
CPU Cores:,CPU kodoli:
Create,Izveidot
Create and load a new prepaid card,Izveidojiet un ielādējiet jaunu priekšapmaksas karti
Create and preload a new gift card,Izveidojiet un iepriekš ielādējiet jaunu dāvanu karti
Create Bill,Izveidot rēķinu
Create Customer,Izveidot klientu
Create New Item,Izveidot jaunu vienumu
Create or change your PIN,Izveidojiet vai mainiet savu PIN
Create PIN,Izveidot PIN
Create POS Opening Shift,Izveidojiet POS atvēršanas maiņu
Create Purchase Order,Izveidojiet pirkuma pasūtījumu
Create Return,Izveidot atgriešanos
Create return from invoice,Izveidot atgriešanos no rēķina
Create Supplier,Izveidot piegādātāju
Credit and Output,Kredīts un izlaide
Credit Note,Kredīta piezīme
Credit Outstanding,Nenomaksāts kredīts
Credit sales remaining to be collected,Atlicis iekasēt kredīta pārdošanu
Critical,Kritiski
Currency,Valūta
Current,Pašreizējais
Current Event Loop Lag:,Pašreizējā notikumu cikla aizkave:
Current Month,Pašreizējais mēnesis
Current PIN,Pašreizējais PIN
Current Profile,Pašreizējais profils
Current redeemable value on the gift card,Pašreizējā dāvanu kartes izpērkamā vērtība
Current User,Pašreizējais lietotājs
Custom,Pielāgots
Custom Due Days,Pielāgotas izpildes dienas
Custom items per page,Pielāgoti vienumi vienā lapā
Customer,Klients
Customer already selected,Klients jau ir izvēlēts
Customer Balance,Klientu bilance
Customer balance unavailable offline,Klienta atlikums bezsaistē nav pieejams
Customer created successfully.,Klients ir veiksmīgi izveidots.
Customer creation failed.,Klienta izveide neizdevās.
Customer Details,Klienta informācija
Customer display channel is missing,Trūkst klienta displeja kanāla
Customer display was blocked. Please allow pop-ups for this site.,"Klienta displejs tika bloķēts. Lūdzu, atļaujiet šai vietnei uznirstošos logus."
Customer group is required,Nepieciešama klientu grupa
Customer is required to add payment,Klientam ir jāpievieno maksājums
Customer Name is required,Nepieciešams klienta vārds
Customer not selected,Klients nav izvēlēts
Customer Report,Klienta ziņojums
Customer saved offline,Klients saglabāts bezsaistē
Customer Screen,Klientu ekrāns
Customer territory is required,Nepieciešama klienta teritorija
Customer updated successfully.,Klients ir veiksmīgi atjaunināts.
Customer-facing tools and printer setup.,Klientam paredzēti rīki un printera iestatīšana.
Customers,Klienti
Customers not found,Klienti nav atrasti
Daily cashier actions without scrolling.,Ikdienas kases darbības bez ritināšanas.
Daily Sales,Ikdienas izpārdošana
Daily Sales Summary,Ikdienas pārdošanas kopsavilkums
Data loaded in form. Review and submit.,Dati ielādēti formā. Pārskatiet un iesniedziet.
Database Health,Datu bāzes veselība
Database health affects overall system speed and reliability.,Datu bāzes stāvoklis ietekmē kopējo sistēmas ātrumu un uzticamību.
Database Info,Informācija par datu bāzi
Date,Datums
Day ?,Diena?
days,dienas
Day-wise (MTD),Dienas ziņā (MTD)
Day-wise Movement,Dienas gudra kustība
Dead Stock,Dead Stock
Dead Stock Items,Dead Stock preces
Decrease quantity,Samaziniet daudzumu
Default,Noklusējums
Default:,Noklusējums:
Delete,Dzēst
Delete cancelled cash movement {0}?,Vai dzēst atcelto skaidras naudas kustību {0}?
Delete Draft,Dzēst melnrakstu
Delete draft invoice,Dzēst rēķina melnrakstu
Delete draft invoice {0}?,Vai dzēst rēķina melnrakstu {0}?
Delete Invoice,Dzēst rēķinu
Delete offline invoice,Dzēst bezsaistes rēķinu
Delivered,Piegādāts
Delivery Charges,Piegādes maksas
Delivery Information,Informācija par piegādi
Delivery Note {0} created,Piegādes pavadzīme {0} izveidota
Delivery note created,Piegādes pavadzīme izveidota
Deployed Bundle:,Izvietotais komplekts:
Deposit,Depozīts
Description,Apraksts
Detailed Supplier Breakdown,Detalizēts piegādātāju sadalījums
Detecting formats:,Formātu noteikšana:
Device Memory:,Ierīces atmiņa:
Difference,Atšķirība
Difference (In Company Currency),Starpība (uzņēmuma valūtā)
Disable offline mode first to recheck live connectivity.,"Vispirms atspējojiet bezsaistes režīmu, lai atkārtoti pārbaudītu tiešraides savienojumu."
Disconnect,Atvienot
discount,atlaide
Discount %,Atlaide %
Discount / Void / Return Report,Atlaide / Nederīgs / Atgriešanas ziņojums
Discount Amount,Atlaides summa
Discount limited by POS Profile,Atlaidi ierobežo POS profils
Discounted Invoices,Atlaides rēķini
Discounts,Atlaides
Dismiss,Atlaist
Download Certificate,Lejupielādēt sertifikātu
Draft,Melnraksts
Draft invoice deleted,Rēķina projekts ir izdzēsts
Draft source,Melnraksta avots
Drafts,Melnraksti
Due {0},Termiņš: {0}
Due Date,Izpildes datums
Duplicate,Dublikāts
Edit customer,Rediģēt klientu
Edit discount amount,Rediģēt atlaides summu
Edit discount percentage,Rediģēt atlaides procentus
Edit Gift Application,Rediģēt dāvanu pieteikumu
Edit item name,Rediģēt vienuma nosaukumu
Edit quantity,Rediģēt daudzumu
Edit rate,Rediģēt likmi
Edit unit of measure,Rediģēt mērvienību
Edited,Rediģēts
Employee,Darbinieks
Enable background sync,Iespējot fona sinhronizāciju
Enable Customer Display in POS Profile first.,Vispirms iespējojiet klienta attēlojumu POS profilā.
Enter a PIN.,Ievadiet PIN.
Enter a valid grams value,Ievadiet derīgu gramu vērtību
Enter new price list rate,Ievadiet jauno cenrāža likmi
Enter Quantity,Ievadiet daudzumu
Enter the cashier PIN to continue.,"Lai turpinātu, ievadiet kases PIN."
Enter the current PIN first.,Vispirms ievadiet pašreizējo PIN.
"Enter the current PIN, then choose a new one.","Ievadiet pašreizējo PIN, pēc tam izvēlieties jaunu."
Enter valid grams for scale barcode,Ievadiet derīgus gramus skalas svītrkodam
Entries,Ieraksti
Error accessing camera:,"Piekļūstot kamerai, radās kļūda:"
Error calculating prices,"Kļūda, aprēķinot cenas"
Error fetching customer balance,"Iegūstot klienta bilanci, radās kļūda"
Error in change calculations!,Kļūda izmaiņu aprēķinos!
Error Loading Data,"Ielādējot datus, radās kļūda"
Error loading invoice details,"Ielādējot rēķina informāciju, radās kļūda"
Error processing invoice,"Kļūda, apstrādājot rēķinu"
Error processing payment,"Kļūda, apstrādājot maksājumu"
Error searching invoices,"Kļūda, meklējot rēķinus"
Error submitting invoice:,"Kļūda, iesniedzot rēķinu:"
Error submitting invoice: {0},"Kļūda, iesniedzot rēķinu: {0}"
Error submitting invoice: No response from server,"Kļūda, iesniedzot rēķinu: no servera nav atbildes"
Error updating currency,"Atjauninot valūtu, radās kļūda"
Error updating item details,"Atjauninot preces informāciju, radās kļūda"
Est. Purchase,Apt. Pirkums
Est. Value,Apt. Vērtība
Event-loop lag measures how busy your browser is. Lower is better.,Notikumu cilpas aizkave mēra jūsu pārlūkprogrammas noslogotību. Zemāks ir labāks.
Every,Katru
Exchange Rate,Valūtas kurss
Expand item details,Izvērsiet preces informāciju
Expected Amount (In Company Currency),Paredzamā summa (uzņēmuma valūtā)
Expected Cash,Paredzamā nauda
Expected cash on hand grouped by currency,"Paredzamā skaidrā nauda kasē, sagrupēta pēc valūtas"
Expected vs Actual,Paredzētais pret faktisko
Expense,Izdevumi
Expense Account (Optional Override),Izdevumu konts (neobligāta ignorēšana)
Expense account is required.,Nepieciešams izdevumu konts.
Expenses and deposits posted during this shift,Šīs maiņas laikā iegrāmatotie izdevumi un noguldījumi
Expired,Beidzies derīguma termiņš
Failed to auto reconcile payments.,Neizdevās automātiski saskaņot maksājumus.
Failed to cancel cash movement,Neizdevās atcelt skaidras naudas kustību
Failed to clear cache,Neizdevās notīrīt kešatmiņu
Failed to create item,Neizdevās izveidot vienumu
Failed to create supplier,Neizdevās izveidot piegādātāju
Failed to delete cash movement,Neizdevās izdzēst skaidras naudas kustību
Failed to generate scale barcode. Using item barcode only.,Neizdevās ģenerēt mēroga svītrkodu. Izmantojot tikai preces svītrkodu.
Failed to load cash movement context.,Neizdevās ielādēt skaidras naudas kustības kontekstu.
Failed to load dashboard data.,Neizdevās ielādēt informācijas paneļa datus.
Failed to reload invoice from server,Neizdevās atkārtoti ielādēt rēķinu no servera
Failed to submit cash movement,Neizdevās iesniegt skaidras naudas kustību
Failed to sync offline cash movements,Neizdevās sinhronizēt bezsaistes skaidras naudas kustības
Fast cashier actions for active shifts.,Ātras kasiera darbības aktīvām maiņām.
Fast Moving Items,Ātri pārvietojami priekšmeti
Fees,Maksas
Fetch the latest offline prerequisite updates,Iegūstiet jaunākos bezsaistes priekšnoteikumu atjauninājumus
Find a sales order quickly and load it into the current sale.,Ātri atrodiet pārdošanas pasūtījumu un ievietojiet to pašreizējā izpārdošanā.
Fixing payment amounts for return invoice...,Notiek atgriešanas rēķina maksājumu summas labošana...
Flash Off,Zibspuldze izslēgta
Flash On,Zibspuldze ieslēgta
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","Preču komplekta vienībām tabulā Iepakojuma saraksts tiks ņemts vērā noliktavas numurs, sērijas numurs un partijas numurs. Ja noliktavas un partijas numurs ir vienādi visām iepakojuma vienībām jebkurai ""Produktu komplekta"" vienībai, šīs vērtības var ievadīt galvenajā Preču tabulā; vērtības tiks kopētas tabulā Iepakojuma saraksts."
Free,Bezmaksas
Free Qty,Bezmaksas daudzums
Frequency,Biežums
from,no
From Date,No datuma
Fulfillment Details,Izpildes detaļas
Full Name,Pilns vārds
Gain,Ieguvums
Generate a fresh prepaid card and start it with an opening balance.,Izveidojiet jaunu priekšapmaksas karti un sāciet to ar sākuma atlikumu.
Generate and install the certificate to allow fully silent printing without trust prompts.,"Ģenerējiet un instalējiet sertifikātu, lai nodrošinātu pilnīgi klusu drukāšanu bez uzticamības uzvednēm."
Generate Certificate,Izveidojiet sertifikātu
Generated scale barcode: {0},Ģenerēts mēroga svītrkods: {0}
Get Payments,Saņemiet maksājumus
Gift Card,Dāvanu karte
Gift card amount must be greater than zero.,Dāvanu kartes summai jābūt lielākai par nulli.
Gift Card Code,Dāvanu kartes kods
Gift card code is required for redemption,"Lai to izmantotu, ir nepieciešams dāvanu kartes kods"
Gift card code is required.,Nepieciešams dāvanu kartes kods.
Gift card issued successfully.,Dāvanu karte veiksmīgi izsniegta.
Gift card loaded successfully.,Dāvanu karte veiksmīgi ielādēta.
Gift Card Management,Dāvanu karšu pārvaldība
Gift card payment,Dāvanu kartes apmaksa
Gift card redemption requires an online connection,Dāvanu kartes izpirkšanai nepieciešams tiešsaistes savienojums
Gift card topped up successfully.,Dāvanu karte veiksmīgi papildināta.
Gift Cards,Dāvanu kartes
Go to Frappe Desk,Dodieties uz Frappe Desk
Grand Total,Grand Total
Gross Margin,Bruto peļņa
Gross Profit,Bruto peļņa
Gross Sales,Bruto pārdošana
Group not found,Grupa nav atrasta
"Grouped controls for terminal, UI, and session settings.","Grupētas vadīklas termināļa, lietotāja interfeisa un sesijas iestatījumiem."
Grouped totals for each payment method and currency,Grupētas kopsummas katram maksājuma veidam un valūtai
Hide,Slēpt
Hide Gift Card,Paslēpt dāvanu karti
Hide Non Essential Fields,Slēpt nebūtiskus laukus
Hide quantity decimals,Slēpt daudzuma decimāldaļas
Hide search tools,Slēpt meklēšanas rīkus
Hide zero rated items,Slēpt vienumus ar nulles vērtējumu
High,Augsts
History,Vēsture
Hourly (Today),Reizi stundā (šodien)
How this section works,Kā darbojas šī sadaļa
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","Ja joprojām ir novecojuši dati, atveriet Iestatījumi > Bezsaistes un sinhronizēšana un tiešsaistē palaidiet Rebuild Offline Data vēlreiz."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","Ja brīdinājums saglabājas, atveriet Iestatījumi > Bezsaistes un sinhronizēšana, pēc tam palaidiet Refresh Offline Data vai Rebuild Offline Data."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,Importējiet sertifikātu QZ Tray un restartējiet QZ Tray katrā POS iekārtā.
In,In
In stock: {0},Noliktavā: {0}
Include Batch / Serial,Iekļaut partiju / sēriju
Include Price,Iekļaut cenu
Increase quantity,Palielināt daudzumu
IndexedDB,IndexedDB
Initial Amount,Sākotnējā summa
Initialize your shift with opening balances,Inicializējiet savu maiņu ar sākuma atlikumiem
Initializing application...,Notiek pieteikuma inicializācija...
"Inspect cache, sync, and prerequisite status","Pārbaudiet kešatmiņu, sinhronizāciju un priekšnoteikumu statusu"
Installed Applications,Instalētās lietojumprogrammas
Insufficient stock:\n{0},Nepietiekams krājums:\n{0}
Invalid rate,Nederīga likme
Inventory Status Report,Inventāra statusa pārskats
Invoice,Rēķins
Invoice {0} is Submitted,Rēķins {0} ir iesniegts
Invoice {0} processed successfully,Rēķins {0} veiksmīgi apstrādāts
Invoice {0} submission failed,Neizdevās iesniegt rēķinu {0}
Invoice {0} was already submitted,Rēķins {0} jau ir iesniegts
Invoice Adjustments,Rēķinu korekcijas
Invoice Change,Rēķina maiņa
Invoice Details,Rēķina informācija
Invoice is still in draft after background submission.,Pēc fona iesniegšanas rēķins joprojām ir melnraksts.
Invoice Items,Rēķina preces
