POS Awesome,POS æðislegt
Additional Discount %,Auka afsláttur %
Address Line 1,Heimilisfangslína 1
Address not found,Heimilisfang fannst ekki
Adjust the quantity or enable negative stock to continue.,Stilltu magnið eða gerðu neikvæða birgðir til að halda áfram.
Adjustment,Aðlögun
After returns,Eftir skil
Against,Á móti
Against Name,Á móti nafni
Age Bracket,Aldursflokkur
All,Allt
All Caught Up!,Allt týnt!
All invoices are synchronized,Allir reikningar eru samstilltir
All pending invoices are up to date,Allir óafgreiddir reikningar eru uppfærðir
All Profiles,Öll snið
All Synchronized,Allt samstillt
All visible invoices are fully settled.,Allir sýnilegir reikningar eru að fullu uppgerðir.
All Warehouses,Öll vöruhús
Allowed UOM is {0},Leyfilegt UOM er {0}
Always fetch items from server (ignore local cache),Sæktu alltaf hluti af þjóninum (hundsa staðbundið skyndiminni)
Amount,Upphæð
Amount already received,Upphæð þegar móttekin
Amount exceeds profile cash movement max amount.,Upphæð fer yfir hámarksupphæð peningahreyfingar prófíls.
Amount must be greater than zero.,Upphæð verður að vera hærri en núll.
Amount received from customer,Upphæð móttekin frá viðskiptavini
Appearance and user-level preferences for the current session.,Útlit og kjörstillingar á notendastigi fyrir núverandi lotu.
Applied,Beitt
Apply,Sækja um
Apply Gift Card,Sækja um gjafakort
Apply Offer,Sækja tilboð
Apply On,Sækja um á
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Notaðu aðeins upphæðina sem þú vilt innleysa á þessum reikningi. Eftirstöðvarnar verða áfram á kortinu.
Apply Redemption,Sækja um innlausn
Applying,Að sækja um
Apps,Forrit
Are you sure you want to close? All entered data will be lost.,Ertu viss um að þú viljir loka? Öll innslögð gögn glatast.
Attributes (Size/Color),Eiginleikar (stærð/litur)
Auto Allocate Payment Amount,Úthluta sjálfkrafa greiðsluupphæð
Auto Reconcile,Sjálfvirk afstemming
Auto reconciliation completed after payment submit.,Sjálfvirk afstemming lokið eftir að greiðslu hefur verið skilað.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Sjálfvirk afstemmingu lokið. Úthlutað: {0}{1}. Eftirstöðvar: {0}{2}.
Available Actions,Tiltækar aðgerðir
Available QTY,Fáanlegt magn
Available:,Í boði:
Average Basket,Meðalkarfa
Average Bill,Meðalreikningur
Average Ticket,Meðalmiði
Avg Bill,Meðalreikningur
Avg Invoice,Meðalreikningur
Avg Invoice Profit,Meðalhagnaður reiknings
Avg Invoice Value,Meðalverðmæti reiknings
Avg Purchase Frequency,Meðalkaupatíðni
Awesome,Æðislegt
Awesome Dashboard,Æðislegt mælaborð
Awesome Dashboard is disabled for the selected POS Profile.,Óvirkt mælaborð er óvirkt fyrir valinn POS prófíl.
Awesome Dashboard is unavailable for the selected scope.,Frábært mælaborð er ekki tiltækt fyrir valið umfang.
Awesome Dashboard is visible only to POS supervisors.,Æðislegt mælaborð er aðeins sýnilegt fyrir umsjónarmenn POS.
Back,Til baka
Back Office Cash Account,Back Office reiðufé reikningur
Back Office Cash Account (Optional Override),Back Office reiðufé reikningur (valfrjáls hnekking)
Back office cash account is required.,Bankareikningur er nauðsynlegur.
Back to {0},Til baka í {0}
Background processing did not finish in time.,Bakgrunnsvinnslu lauk ekki í tæka tíð.
Background processing failed for Invoice {0}: {1},Bakgrunnsvinnsla mistókst fyrir reikning {0}: {1}
Background Submission Failed,Bakgrunnssending mistókst
Background sync interval (seconds),Samstillingarbil í bakgrunni (sekúndur)
Balance,Jafnvægi
Balance will be updated when connection is restored,Staðan verður uppfærð þegar tenging er endurheimt
Balances still pending,Eftirstöðvar enn í bið
Barcode,Strikamerki
Barcode / QR Ready,Strikamerki / QR tilbúið
Barcode Label Printing,Strikamerkisprentun
Base Paid:,Grunngreitt:
Base Recv:,Base Recv:
Base:,Grunnur:
Basic Information,Grunnupplýsingar
Batch,Hópur
Batch Information,Lotuupplýsingar
Before any return workflow,Áður en verkflæði til baka kemur
Before returns,Áður en skilar
Best Day,Besti dagur
Best Seller,Best Seljandi
Book expense or deposit from active shift.,Bókaðu kostnað eða innborgun frá virkri vakt.
Branch / Location-wise Report,Skýrsla greinar / staðsetningar
Brand-wise,Vörumerkislega séð
Breakdown,Sundurliðun
Browse,Skoðaðu
Build Time:,Byggingartími:
Built with Frappe,Byggt með Frappe
Bundle,Knippi
Buying Price,Kaupverð
Cache cleared successfully,Skyndiminni var hreinsað
Cache Usage,Skyndiminni notkun
cache used,skyndiminni notað
Calculating...,Er að reikna...
Camera Access Required,Aðgangur að myndavél áskilinn
Camera access was aborted. Please try again.,Aðgangi að myndavél var hætt. Vinsamlegast reyndu aftur.
Camera constraints not supported by your device. Trying fallback settings...,Myndavélartakmarkanir eru ekki studdar af tækinu þínu. Reynir varastillingar...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,Myndavélin er upptekin eða læst af öðru forriti/flipa. Lokaðu öðrum myndavélarforritum og reyndu aftur.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,Myndavélarleyfi hafnað. Vinsamlegast leyfðu myndavélaraðgang í stillingum vafrans og endurnýjaðu síðuna.
Camera scanner is locked until the current error is acknowledged,Myndavélarskanni er læstur þar til núverandi villa er staðfest
Camera started but the video stream did not load in time. Please try again.,Myndavélin fór í gang en myndstraumurinn hleðst ekki í tíma. Vinsamlegast reyndu aftur.
Cancel cash movement {0}?,Hætta við hreyfingu á reiðufé {0}?
Cancel Payment,Hætta við greiðslu
Cancel Sale,Hætta við sölu
Cancel Sale ?,Hætta við sölu?
Cancelled,Hætt við
Cannot add an item with zero or negative quantity.,Ekki er hægt að bæta við hlut með núlli eða neikvæðu magni.
Cannot clear cache while offline,Ekki er hægt að hreinsa skyndiminni án nettengingar
Cannot redeem customer credit more than invoice total,Ekki er hægt að innleysa inneign viðskiptavina meira en heildarupphæð reiknings
Cannot redeem gift cards more than invoice total,Ekki er hægt að innleysa gjafakort meira en heildarreikning
Cannot Save Offline Invoice:,Get ekki vistað reikning án nettengingar:
Cannot Save Offline Payment:,Ekki er hægt að vista greiðslu án nettengingar:
Card,Kort
Card / Online,Kort / á netinu
Card health after the last live lookup,Heilsa korta eftir síðustu leit í beinni
Cards,Spil
Cart,Karfa
Cash,Reiðufé
Cash back to customers,Reiðufé til viðskiptavina
Cash Collections,Peningaöflun
Cash Deposit is disabled for this POS Profile.,Innborgun reiðufjár er óvirk fyrir þennan POS prófíl.
Cash Drawer Snapshot,Skyndimynd af peningaskúffu
Cash In Hand,Handbært fé
Cash Movement,Cash Hreyfing
Cash movement cancelled,Handbært fé hætt
Cash movement deduction applied,Fjárflutningsfrádráttur beitt
Cash movement deleted,Handbært fé eytt
Cash movement is disabled for this POS Profile.,Hreyfing reiðufjár er óvirk fyrir þennan POS prófíl.
Cash Movement is disabled in current POS Profile.,Hreyfing reiðufjár er óvirk í núverandi POS prófíl.
Cash movement saved offline,Hreyfing reiðufjár vistuð án nettengingar
Cash movement submitted,Handbært fé lögð fram
Cash Movements,Peningahreyfingar
Cash payment cannot be less than invoice total when partial payment is not allowed,Greiðsla í reiðufé getur ekki verið lægri en heildarreikningur þegar hlutagreiðsla er óheimil
Cash returned after payment,Reiðufé skilað eftir greiðslu
Cashier,Gjaldkeri
Cashier Access,Aðgangur gjaldkera
Cashier identity and appearance preferences.,Gjaldkeri sjálfsmynd og útlitsvalkostir.
Cashier PIN,PIN gjaldkera
Cashier PIN saved successfully.,PIN-númer gjaldkera var vistað.
Cashiers,Gjaldkerar
Cashier-wise,Gjaldkeri miðað við
Categories,Flokkar
Category,Flokkur
Category / Brand / Variant Report,Skýrsla um flokk / vörumerki / afbrigði
Category-wise,Flokkslega séð
Category-wise Margin,Framlegð í flokki
Certificate,Vottorð
Certificate is missing or not trusted. QZ may show confirmation dialogs.,Vottorð vantar eða ekki treyst. QZ gæti sýnt staðfestingarglugga.
Certificate is trusted. Silent QZ printing is active.,Vottorð er treyst. Hljóðlaus QZ prentun er virk.
Change,Breyta
Change allocation repaired,Breyta úthlutun lagfærð
Change Price,Breyta verð
Change Return,Breyta aftur
Change Returned,Breyting skilað
Change terminal cashier,Skiptu um gjaldkera í flugstöðinni
Charge Heads,Hleðsluhausar
Charges,Gjöld
Charges not found,Gjöld fundust ekki
Check Balance,Athugaðu jafnvægi
Check balance for any card. Supervisors can issue and top up cards here.,Athugaðu stöðuna fyrir hvaða kort sem er. Umsjónarmenn geta gefið út og fyllt á kort hér.
Check balance only,Athugaðu aðeins jafnvægi
Check for new commits,Athugaðu fyrir nýjar skuldbindingar
Check for Updates,Leitaðu að uppfærslum
Check live balance before applying redemption,Athugaðu lifandi stöðu áður en þú sækir um innlausn
Check live balance before redemption,Athugaðu lifandi stöðu fyrir innlausn
Checking...,Athugar...
Cheque/Reference Date,Ávísun/viðmiðunardagur
Cheque/Reference No,Ávísun/tilvísunarnr
Choose the cashier currently operating this terminal.,Veldu gjaldkerann sem starfrækir þessa flugstöð.
City,Borg
Clear,Hreinsa
Clear All,Hreinsa allt
Clear all barcode items,Hreinsaðu öll strikamerki
Clear all purchase order items,Hreinsaðu allar innkaupapöntunarvörur
Clear Search,Hreinsa leit
Clearing local cache...,Hreinsar staðbundið skyndiminni...
Click to refresh,Smelltu til að endurnýja
Client CPU Lag:,CPU bið viðskiptavinar:
Client Memory Usage:,Minnisnotkun viðskiptavinar:
Client Metrics,Viðskiptavinamælingar
Close about dialog,Lokaðu um glugga
Close cashier switcher,Lokaðu gjaldkeraskiptanum
Close closing shift dialog,Lokaðu lokunarvaktglugganum
Close column selector,Lokaðu dálkavali
Close Dialog,Loka glugga
Close drafts dialog,Lokaðu drögglugganum
Close invoice details dialog,Lokaðu reikningsupplýsingaglugganum
Close invoice management,Lokaðu reikningsstjórnun
Close offline invoices dialog,Lokaðu valmynd fyrir ónettengda reikninga
Close packing list dialog,Lokaðu pökkunarlistaglugganum
Close returns dialog,Loka skilaglugga
Close sales orders dialog,Lokaðu sölupantanaglugganum
Close Scanner,Lokaðu skanni
Close scanner dialog,Lokaðu skannaglugga
Close Settings,Lokaðu stillingum
Closing Amount,Lokaupphæð
Closing POS Shift,Lokar POS Shift
Closing Snapshot Available,Lokamynd í boði
Code,Kóði
Code scanned successfully,Kóði skannaður
COGS,COGS
Collapse item details,Draga saman upplýsingar um atriði
Collected,Safnað
Cols,Cols
Columns,Dálkar
commits,skuldbindur sig
Completed and active sales in this range,Lokið og virk sala á þessu sviði
Completed returns will appear here.,Lokið skil mun birtast hér.
Confirm,Staðfesta
Confirm Close,Staðfestu Loka
Confirm Mobile Number,Staðfestu farsímanúmer
Confirm PIN,Staðfestu PIN
Connect,Tengdu
Connect printer and manage certificate,Tengdu prentara og stjórnaðu vottorðinu
Connecting to QZ Tray...,Tengist QZ bakka...
Connection problem while submitting invoice,Tengingarvandamál við að senda inn reikning
Connections:,Tengingar:
Connectivity and cached prerequisite status were rechecked.,Tengingar og forsendustaða í skyndiminni voru endurskoðuð.
Continue Editing,Halda áfram að breyta
Could not fetch latest balance from server,Gat ekki sótt nýjustu stöðuna frá þjóninum
Count,Telja
Country,Land
Coupon,Afsláttarmiði
Coupons,Afsláttarmiðar
Cover,Kápa
CPU Cores:,CPU kjarna:
Create,Búa til
Create and load a new prepaid card,Búðu til og hlaðið inn nýju fyrirframgreiddu korti
Create and preload a new gift card,Búðu til og forhleðdu nýtt gjafakort
Create Bill,Búðu til Bill
Create Customer,Búðu til viðskiptavin
Create New Item,Búðu til nýjan hlut
Create or change your PIN,Búðu til eða breyttu PIN-númerinu þínu
Create PIN,Búðu til PIN
Create POS Opening Shift,Búðu til POS opnunarvakt
Create Purchase Order,Búðu til innkaupapöntun
Create Return,Búðu til aftur
Create return from invoice,Búðu til skil frá reikningi
Create Supplier,Búðu til birgja
Credit and Output,Inneign og framleiðsla
Credit Note,Inneignarnóta
Credit Outstanding,Inneign útistandandi
Credit sales remaining to be collected,Inneignarsala á eftir að innheimta
Critical,Gagnrýnið
Currency,Gjaldmiðill
Current,Núverandi
Current Event Loop Lag:,Núverandi atburðarhleypni:
Current Month,Núverandi mánuður
Current PIN,Núverandi PIN-númer
Current Profile,Núverandi prófíll
Current redeemable value on the gift card,Núverandi innleysanlegt verð á gjafakortinu
Current User,Núverandi notandi
Custom,Sérsniðin
Custom Due Days,Sérsniðnir gjalddagar
Custom items per page,Sérsniðin atriði á síðu
Customer,Viðskiptavinur
Customer already selected,Viðskiptavinur þegar valinn
Customer Balance,Viðskiptavinajöfnuður
Customer balance unavailable offline,Inneign viðskiptavinar ekki tiltæk án nettengingar
Customer created successfully.,Viðskiptavinur búinn til.
Customer creation failed.,Ekki tókst að búa til viðskiptavina.
Customer Details,Upplýsingar viðskiptavina
Customer display channel is missing,Sýningarrás viðskiptavinar vantar
Customer display was blocked. Please allow pop-ups for this site.,Lokað var á skjá viðskiptavinar. Vinsamlegast leyfðu sprettiglugga fyrir þessa síðu.
Customer group is required,Viðskiptavinahópur er nauðsynlegur
Customer is required to add payment,Viðskiptavinur þarf að bæta við greiðslu
Customer Name is required,Nafn viðskiptavinar er áskilið
Customer not selected,Viðskiptavinur ekki valinn
Customer Report,Skýrsla viðskiptavinar
Customer saved offline,Viðskiptavinur vistaður án nettengingar
Customer Screen,Viðskiptavinaskjár
Customer territory is required,Landsvæði viðskiptavinar er krafist
Customer updated successfully.,Viðskiptavinur uppfærður.
Customer-facing tools and printer setup.,Verkfæri sem snúa að viðskiptavinum og uppsetning prentara.
Customers,Viðskiptavinir
Customers not found,Viðskiptavinir fundust ekki
Daily cashier actions without scrolling.,Daglegar gjaldkeraaðgerðir án þess að fletta.
Daily Sales,Dagleg sala
Daily Sales Summary,Daglegt söluyfirlit
Data loaded in form. Review and submit.,Gögn hlaðin á formi. Skoðaðu og sendu inn.
Database Health,Gagnagrunnur Heilsa
Database health affects overall system speed and reliability.,Heilsu gagnagrunns hefur áhrif á heildarhraða og áreiðanleika kerfisins.
Database Info,Upplýsingar um gagnagrunn
Date,Dagsetning
Day ?,Dagur?
days,daga
Day-wise (MTD),Daglega (MTD)
Day-wise Movement,Hreyfing dagsins
Dead Stock,Dauður birgðir
Dead Stock Items,Dauðir lagervörur
Decrease quantity,Minnka magn
Default,Sjálfgefið
Default:,Sjálfgefið:
Delete,Eyða
Delete cancelled cash movement {0}?,Eyða hætt við peningahreyfingu {0}?
Delete Draft,Eyða drögum
Delete draft invoice,Eyða reikningsdrögum
Delete draft invoice {0}?,Eyða reikningsdrögum {0}?
Delete Invoice,Eyða reikningi
Delete offline invoice,Eyða reikningi án nettengingar
Delivered,Afhent
Delivery Charges,Sendingargjöld
Delivery Information,Upplýsingar um afhendingu
Delivery Note {0} created,Afhendingarseðill {0} búin til
Delivery note created,Afhendingarseðill búinn til
Deployed Bundle:,Dreifður pakki:
Deposit,Innborgun
Description,Lýsing
Detailed Supplier Breakdown,Ítarleg sundurliðun birgja
Detecting formats:,Greina snið:
Device Memory:,Minni tækis:
Difference,Mismunur
Difference (In Company Currency),Mismunur (í gjaldmiðli fyrirtækisins)
Disable offline mode first to recheck live connectivity.,Slökktu fyrst á ótengdu stillingu til að athuga aftur tengingu í beinni.
Disconnect,Aftengjast
discount,afsláttur
Discount %,% afsláttur
Discount / Void / Return Report,Afsláttur / ógildur / skilaskýrsla
Discount Amount,Afsláttarupphæð
Discount limited by POS Profile,Afsláttur takmarkaður af POS prófíl
Discounted Invoices,Afslættir reikningar
Discounts,Afslættir
Dismiss,Segja frá
Download Certificate,Sækja skírteini
Draft,Drög
Draft invoice deleted,Drög að reikningi eytt
Draft source,Drög að heimild
Drafts,Drög
Due {0},Gjalddagi {0}
Due Date,Gjalddagi
Duplicate,Afrit
Edit customer,Breyta viðskiptavini
Edit discount amount,Breyta afsláttarupphæð
Edit discount percentage,Breyta afsláttarprósentu
Edit Gift Application,Breyta gjafaumsókn
Edit item name,Breyta heiti hlutar
Edit quantity,Breyta magni
Edit rate,Breyta hlutfalli
Edit unit of measure,Breyta mælieiningu
Edited,Breytt
Employee,Starfsmaður
Enable background sync,Virkjaðu samstillingu í bakgrunni
Enable Customer Display in POS Profile first.,Virkjaðu skjá viðskiptavinar í POS prófíl fyrst.
Enter a PIN.,Sláðu inn PIN-númer.
Enter a valid grams value,Sláðu inn gilt grammgildi
Enter new price list rate,Sláðu inn nýtt verðskrárgjald
Enter Quantity,Sláðu inn Magn
Enter the cashier PIN to continue.,Sláðu inn PIN-númer gjaldkera til að halda áfram.
Enter the current PIN first.,Sláðu inn núverandi PIN-númer fyrst.
"Enter the current PIN, then choose a new one.",Sláðu inn núverandi PIN-númer og veldu síðan nýtt.
Enter valid grams for scale barcode,Sláðu inn gild grömm fyrir mælikvarða strikamerki
Entries,Færslur
Error accessing camera:,Villa við að opna myndavél:
Error calculating prices,Villa við að reikna verð
Error fetching customer balance,Villa við að sækja stöðu viðskiptavina
Error in change calculations!,Villa í breytingaútreikningum!
Error Loading Data,Villa við að hlaða gögnum
Error loading invoice details,Villa við að hlaða reikningsupplýsingar
Error processing invoice,Villa við að vinna reikning
Error processing payment,Villa við að vinna úr greiðslu
Error searching invoices,Villa við leit á reikningum
Error submitting invoice:,Villa við að senda inn reikning:
Error submitting invoice: {0},Villa við að senda inn reikning: {0}
Error submitting invoice: No response from server,Villa við að senda inn reikning: Ekkert svar frá þjóni
Error updating currency,Villa við að uppfæra gjaldmiðil
Error updating item details,Villa við að uppfæra upplýsingar um atriði
Est. Purchase,Áætlað Kaup
Est. Value,Áætlað Gildi
Event-loop lag measures how busy your browser is. Lower is better.,Atburðalykkjatöf mælir hversu upptekinn vafrinn þinn er. Lægra er betra.
Every,Hvert
Exchange Rate,Gengi
Expand item details,Stækka upplýsingar um atriði
Expected Amount (In Company Currency),Áætluð upphæð (í gjaldmiðli fyrirtækisins)
Expected Cash,Væntanlegt reiðufé
Expected cash on hand grouped by currency,Væntanlegt reiðufé á hendi flokkað eftir gjaldmiðli
Expected vs Actual,Væntanlegt vs raunverulegt
Expense,Kostnaður
Expense Account (Optional Override),Kostnaðarreikningur (valfrjáls hnekking)
Expense account is required.,Áskilið er kostnaðarreikning.
Expenses and deposits posted during this shift,Gjöld og innistæður færðar á þessari vakt
Expired,Útrunnið
Failed to auto reconcile payments.,Mistókst að samræma greiðslur sjálfkrafa.
Failed to cancel cash movement,Mistókst að hætta við hreyfingu á reiðufé
Failed to clear cache,Mistókst að hreinsa skyndiminni
Failed to create item,Mistókst að búa til atriði
Failed to create supplier,Mistókst að búa til birgi
Failed to delete cash movement,Mistókst að eyða peningahreyfingu
Failed to generate scale barcode. Using item barcode only.,Mistókst að búa til mælikvarða strikamerki. Notar eingöngu strikamerki vöru.
Failed to load cash movement context.,Mistókst að hlaða samhengi reiðufjárhreyfingar.
Failed to load dashboard data.,Mistókst að hlaða stjórnborðsgögnum.
Failed to reload invoice from server,Mistókst að endurhlaða reikning frá þjóni
Failed to submit cash movement,Mistókst að senda inn peningahreyfingu
Failed to sync offline cash movements,Mistókst að samstilla peningahreyfingar án nettengingar
Fast cashier actions for active shifts.,Hraðar gjaldkeraaðgerðir fyrir virkar vaktir.
Fast Moving Items,Hlutir sem hreyfast hratt
Fees,Gjöld
Fetch the latest offline prerequisite updates,Sæktu nýjustu forkröfuuppfærslur án nettengingar
Find a sales order quickly and load it into the current sale.,Finndu sölupöntun fljótt og hlaðið henni inn í núverandi sölu.
Fixing payment amounts for return invoice...,Lagar greiðsluupphæðir fyrir skilareikning...
Flash Off,Slökkt á blikka
Flash On,Flash On
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","Fyrir 'Vörubúnt' vörur verða vöruhús, raðnúmer og lotunúmer tekin til greina frá 'Pökkunarlista' töflunni. Ef Vöruhús og Lotunúmer eru þau sömu fyrir allar pökkunarvörur fyrir hvaða 'vörubúnt' sem er, er hægt að færa þau gildi inn í aðalvörutöfluna; gildi verða afrituð í töfluna 'Pökkunarlista'."
Free,Ókeypis
Free Qty,Ókeypis Magn
Frequency,Tíðni
from,frá
From Date,Frá Dagsetningu
Fulfillment Details,Uppfyllingarupplýsingar
Full Name,Fullt nafn
Gain,Hagnaður
Generate a fresh prepaid card and start it with an opening balance.,Búðu til nýtt fyrirframgreitt kort og byrjaðu það með upphafsstöðu.
Generate and install the certificate to allow fully silent printing without trust prompts.,Búðu til og settu upp vottorðið til að leyfa fullkomlega hljóðlausa prentun án traustkvaðninga.
Generate Certificate,Búðu til skírteini
Generated scale barcode: {0},Búið til mælikvarða strikamerki: {0}
Get Payments,Fáðu greiðslur
Gift Card,Gjafakort
Gift card amount must be greater than zero.,Upphæð gjafakorts verður að vera hærri en núll.
Gift Card Code,Gjafakortskóði
Gift card code is required for redemption,Gjafakortskóði er nauðsynlegur til að innleysa
Gift card code is required.,Gjafakortskóði er nauðsynlegur.
Gift card issued successfully.,Gjafakort gefið út.
Gift card loaded successfully.,Gjafakort var hlaðið.
Gift Card Management,Gjafakortastjórnun
Gift card payment,Gjafakortsgreiðsla
Gift card redemption requires an online connection,Innlausn gjafakorta krefst nettengingar
Gift card topped up successfully.,Gjafakort fyllt á með góðum árangri.
Gift Cards,Gjafakort
Go to Frappe Desk,Farðu í Frappe Desk
Grand Total,Grand Total
Gross Margin,Heildarframlegð
Gross Profit,Heildarhagnaður
Gross Sales,Brúttó sala
Group not found,Hópur fannst ekki
"Grouped controls for terminal, UI, and session settings.","Hópaðar stýringar fyrir flugstöð, notendaviðmót og lotustillingar."
Grouped totals for each payment method and currency,Flokkaðar heildartölur fyrir hvern greiðslumáta og gjaldmiðil
Hide,Fela
Hide Gift Card,Fela gjafakort
Hide Non Essential Fields,Fela ónauðsynleg svið
Hide quantity decimals,Fela magn aukastafa
Hide search tools,Fela leitartæki
Hide zero rated items,Fela hluti með núll einkunn
High,Hátt
History,Saga
Hourly (Today),Á klukkutíma fresti (í dag)
How this section works,Hvernig þessi hluti virkar
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.",Ef gömul gögn eru eftir skaltu opna Stillingar > Ótengdur og samstilla og keyra Rebuild Offline Data aftur á meðan þú ert nettengdur.
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","Ef viðvörunin er viðvarandi skaltu opna Stillingar > Ótengdur og samstilla, keyra síðan Refresh Offline Data eða Rebuild Offline Data."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,Flyttu inn vottorðið í QZ Bakki og endurræstu QZ Bakka á hverri POS vél.
In,Í
In stock: {0},Á lager: {0}
Include Batch / Serial,Hafa lotu / raðnúmer
Include Price,Innifalið verð
Increase quantity,Auka magn
IndexedDB,VerðtryggðDB
Initial Amount,Upphafsupphæð
Initialize your shift with opening balances,Frumstilltu vaktina þína með upphafsstöðu
Initializing application...,Frumstillir forrit...
"Inspect cache, sync, and prerequisite status","Skoðaðu skyndiminni, samstillingu og forsenda stöðu"
Installed Applications,Uppsett forrit
Insufficient stock:\n{0},Ófullnægjandi birgðir:\n{0}
Invalid rate,Ógilt gjald
Inventory Status Report,Stöðuskýrsla birgða
Invoice,Reikningur
Invoice {0} is Submitted,Reikningur {0} er lagður fram
Invoice {0} processed successfully,Reikningur {0} tókst að vinna
Invoice {0} submission failed,Ekki tókst að senda inn reikning {0}
Invoice {0} was already submitted,Reikningur {0} var þegar lagður fram
Invoice Adjustments,Leiðréttingar reikninga
Invoice Change,Breyting á reikningi
Invoice Details,Upplýsingar um reikning
Invoice is still in draft after background submission.,Reikningurinn er enn í drögum eftir bakgrunnsskil.
Invoice Items,Reikningsvörur
Invoice Management,Reikningarstjórnun
Invoice Mgmt,Reikningsstj
Invoice saved offline,Reikningur vistaður án nettengingar
Invoice submission failed,Ekki tókst að skila reikningi
Invoice Submitted,Reikningur lagður fram
"Invoice value settled by loyalty points, not cash collection","Reikningsverðmæti jafnað með vildarpunktum, ekki innheimtu reiðufé"
Invoices,Reikningar
Invoices already past due date,Reikningar þegar fram yfir gjalddaga
Invoices saved as POS Invoices,Reikningar vistaðir sem POS reikningar
Invoices still carrying balances,Reikningar eru enn með inneign
Issue Mode,Útgáfuhamur
Issue New Card,Gefðu út nýtt kort
Issue Workflow,Útgáfuverkflæði
"Issue, top up, and check","Gefðu út, fylltu á og athugaðu"
Item,Atriði
Item / Product Sales Report,Vöru- / vörusöluskýrsla
Item {0} added to invoice,Atriði {0} bætt við reikning
Item '{0}' has no barcode,Atriði '{0}' hefur ekkert strikamerki
Item Code,Atriðakóði
Item created successfully,Atriði búið til
Item is out of stock,Varan er ekki til á lager
Item Name,Nafn vöru
Item not found,Atriði fannst ekki
Item order updated,Vörupöntun uppfærð
Item Selector Settings,Atriðavalsstillingar
Items,Atriði
