POS Awesome,POS Чудово
Browse,переглядати
Build Time:,Час створення:
Built with Frappe,Створено з фраппе
Bundle,пучок
Buying Price,Купівельна ціна
Cache cleared successfully,Кеш успішно очищено
Cache Usage,Використання кешу
cache used,використаний кеш
Calculating...,Розрахунок...
Camera Access Required,Потрібен доступ до камери
Camera access was aborted. Please try again.,Доступ до камери перервано. Спробуйте ще раз.
Camera constraints not supported by your device. Trying fallback settings...,Обмеження камери не підтримуються вашим пристроєм. Спроба резервних налаштувань...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,Камера зайнята або заблокована іншою програмою/вкладкою. Закрийте інші програми камери та повторіть спробу.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,Відмовлено в дозволі на камеру. Дозвольте доступ до камери в налаштуваннях браузера та оновіть сторінку.
Camera scanner is locked until the current error is acknowledged,"Сканер камери заблоковано, доки не буде підтверджено поточну помилку"
Camera started but the video stream did not load in time. Please try again.,"Камера запустилася, але відеопотік не завантажився вчасно. Спробуйте ще раз."
Cancel cash movement {0}?,Скасувати переміщення готівки {0}?
Cancel Payment,Скасувати платіж
Cancel Sale,Скасувати продаж
Cancel Sale ?,Скасувати продаж?
Cancelled,Скасовано
Cannot add an item with zero or negative quantity.,Неможливо додати товар із нульовою чи від’ємною кількістю.
Cannot clear cache while offline,Неможливо очистити кеш у режимі офлайн
Cannot redeem customer credit more than invoice total,"Неможливо погасити кредит клієнта, що перевищує загальну суму рахунку-фактури"
Cannot redeem gift cards more than invoice total,"Неможливо активувати подарункові картки, що перевищує загальну суму рахунку-фактури"
Cannot Save Offline Invoice:,Неможливо зберегти офлайн-фактуру:
Cannot Save Offline Payment:,Неможливо зберегти офлайн-платіж:
Card,картка
Card / Online,Картка / Онлайн
Card health after the last live lookup,Справність картки після останнього пошуку в реальному часі
Cards,картки
Cart,кошик
Cash,Готівка
Cash back to customers,Повернення грошей клієнтам
Cash Collections,Грошові збори
Cash Deposit is disabled for this POS Profile.,Депозит готівкою вимкнено для цього профілю POS.
Cash Drawer Snapshot,Знімок грошової шухляди
Cash In Hand,Готівка в касі
Cash Movement,Рух готівки
Cash movement cancelled,Переміщення готівки скасовано
Cash movement deduction applied,Застосовується вирахування руху готівки
Cash movement deleted,Переміщення готівки видалено
Cash movement is disabled for this POS Profile.,Переміщення готівки вимкнено для цього профілю POS.
Cash Movement is disabled in current POS Profile.,Переміщення готівки вимкнено в поточному профілі POS.
Cash movement saved offline,Переміщення готівки збережено офлайн
Cash movement submitted,Переміщення готівки подано
Cash Movements,Рух готівки
Cash payment cannot be less than invoice total when partial payment is not allowed,"Оплата готівкою не може бути меншою за загальну суму рахунку-фактури, якщо часткова оплата не допускається"
Cash returned after payment,Готівка повертається після оплати
Cashier,Касир
Cashier Access,Доступ до каси
Cashier identity and appearance preferences.,Ідентичність касира та переваги зовнішнього вигляду.
Cashier PIN,PIN-код касира
Cashier PIN saved successfully.,PIN-код касира успішно збережено.
Cashiers,Касири
Cashier-wise,З точки зору касира
Categories,Категорії
Category,Категорія
Category / Brand / Variant Report,Звіт про категорію/бренд/варіант
Category-wise,Категоріально
Category-wise Margin,Маржа за категорією
Certificate,Сертифікат
Certificate is missing or not trusted. QZ may show confirmation dialogs.,Сертифікат відсутній або ненадійний. QZ може показувати діалогове вікно підтвердження.
Certificate is trusted. Silent QZ printing is active.,Сертифікат довірений. Безшумний друк QZ активний.
Change,Зміна
Change allocation repaired,Зміна розподілу виправлена
Change Price,Змінити ціну
Change Return,Зміна Повернення
Change Returned,Зміну повернуто
Change terminal cashier,Зміна касира терміналу
Charge Heads,Зарядні головки
Charges,Звинувачення
Charges not found,Заряди не знайдено
Check Balance,Перевірте баланс
Check balance for any card. Supervisors can issue and top up cards here.,Перевірте баланс будь-якої картки. Тут супервайзери можуть оформити та поповнити картки.
Check balance only,Тільки перевіряти баланс
Check for new commits,Перевірте наявність нових комітів
Check for Updates,Перевірте наявність оновлень
Check live balance before applying redemption,"Перевірте живий баланс, перш ніж застосувати викуп"
Check live balance before redemption,Перевірте поточний баланс перед погашенням
Checking...,Перевірка...
Cheque/Reference Date,Дата чека/довідки
Cheque/Reference No,Чек/довідковий номер
Choose the cashier currently operating this terminal.,"Виберіть касира, який зараз обслуговує цей термінал."
City,Місто
Clear,ясно
Clear All,Очистити все
Clear all barcode items,Очистити всі штрих-коди
Clear all purchase order items,Очистіть усі позиції замовлення
Clear Search,Очистити пошук
Clearing local cache...,Очищення локального кешу...
Click to refresh,"Натисніть, щоб оновити"
Client CPU Lag:,Затримка ЦП клієнта:
Client Memory Usage:,Використання пам'яті клієнта:
Client Metrics,Метрики клієнта
Close about dialog,Закрити діалогове вікно
Close cashier switcher,Закрити перемикач касирів
Close closing shift dialog,Закрити діалогове вікно зміни
Close column selector,Закрити селектор стовпців
Close Dialog,Закрити діалогове вікно
Close drafts dialog,Закрити діалогове вікно чернеток
Close invoice details dialog,Закрити діалогове вікно інформації про рахунок-фактуру
Close invoice management,Закрити керування рахунками-фактурами
Close offline invoices dialog,Закрити діалогове вікно офлайн-рахунків-фактур
Close packing list dialog,Закрити діалогове вікно пакувального списку
Close returns dialog,Закрити діалогове вікно повернення
Close sales orders dialog,Закрити діалогове вікно замовлень на продаж
Close Scanner,Закрити сканер
Close scanner dialog,Закрити діалогове вікно сканера
Close Settings,Закрийте налаштування
Closing Amount,Сума закриття
Closing POS Shift,Закриття POS Shift
Closing Snapshot Available,Доступний знімок закриття
Code,Код
Code scanned successfully,Код успішно проскановано
COGS,COGS
Collapse item details,Згорнути деталі елемента
Collected,Зібрано
Cols,Cols
Columns,Стовпці
commits,зобов'язується
Completed and active sales in this range,Завершені та активні продажі в цьому асортименті
Completed returns will appear here.,Завершені повернення з’являться тут.
Confirm,Підтвердити
Confirm Close,Підтвердити Закрити
Confirm Mobile Number,Підтвердьте номер мобільного телефону
Confirm PIN,Підтвердьте PIN-код
Connect,Підключитися
Connect printer and manage certificate,Підключіть принтер і керуйте сертифікатом
Connecting to QZ Tray...,Підключення до QZ Tray...
Connection problem while submitting invoice,Проблема з підключенням під час подання рахунку
Connections:,Підключення:
Connectivity and cached prerequisite status were rechecked.,Перевірено з’єднання та кешований статус передумов.
Continue Editing,Продовжити редагування
Could not fetch latest balance from server,Не вдалося отримати останній баланс із сервера
Count,Граф
Country,Країна
Coupon,Купон
Coupons,Купони
Cover,Обкладинка
CPU Cores:,Ядра ЦП:
Create,Створити
Create and load a new prepaid card,Створіть і завантажте нову передплачену картку
Create and preload a new gift card,Створіть і попередньо завантажте нову подарункову картку
Create Bill,Створити законопроект
Create Customer,Створити клієнта
Create New Item,Створити новий елемент
Create or change your PIN,Створіть або змініть свій PIN-код
Create PIN,Створіть PIN-код
Create POS Opening Shift,Створіть зміну відкриття POS
Create Purchase Order,Створення замовлення на купівлю
Create Return,Створити повернення
Create return from invoice,Створення повернення з рахунку-фактури
Create Supplier,Створити постачальника
Credit and Output,Кредит і вихід
Credit Note,Кредит-нота
Credit Outstanding,Кредит непогашений
Credit sales remaining to be collected,"Продажі в кредит, що залишилися підлягають стягненню"
Critical,Критичний
Currency,Валюта
Current,поточний
Current Event Loop Lag:,Затримка поточного циклу подій:
Current Month,Поточний місяць
Current PIN,Поточний PIN-код
Current Profile,Поточний профіль
Current redeemable value on the gift card,Поточна вартість погашення на подарунковій картці
Current User,Поточний користувач
Custom,Custom
Custom Due Days,Спеціальні дні виконання
Custom items per page,Спеціальні елементи на сторінку
Customer,Замовник
Customer already selected,Клієнт уже обраний
Customer Balance,Баланс клієнта
Customer balance unavailable offline,Баланс клієнта недоступний офлайн
Customer created successfully.,Клієнт створено успішно.
Customer creation failed.,Помилка створення клієнта.
Customer Details,Відомості про клієнта
Customer display channel is missing,Відсутній канал відображення клієнта
Customer display was blocked. Please allow pop-ups for this site.,"Відображення клієнта заблоковано. Будь ласка, дозвольте спливаючі вікна для цього сайту."
Customer group is required,Група клієнтів обов’язкова
Customer is required to add payment,Клієнт повинен додати оплату
Customer Name is required,Потрібно вказати ім’я клієнта
Customer not selected,Клієнт не вибрано
Customer Report,Звіт клієнта
Customer saved offline,Клієнт збережено офлайн
Customer Screen,Екран клієнта
Customer territory is required,Потрібна територія клієнта
Customer updated successfully.,Клієнт успішно оновлений.
Customer-facing tools and printer setup.,Інструменти для клієнта та налаштування принтера.
Customers,Клієнти
Customers not found,Клієнтів не знайдено
Daily cashier actions without scrolling.,Щоденні дії касира без прокручування.
Daily Sales,Щоденні продажі
Daily Sales Summary,Щоденний підсумок продажів
Data loaded in form. Review and submit.,Дані завантажуються у форму. Перегляньте та надішліть.
Database Health,Справність бази даних
Database health affects overall system speed and reliability.,Справність бази даних впливає на загальну швидкість і надійність системи.
Database Info,Інформація про базу даних
Date,Дата
Day ?,день ?
days,днів
Day-wise (MTD),По днях (MTD)
Day-wise Movement,Денний рух
Dead Stock,Мертвий запас
Dead Stock Items,Мертві запаси
Decrease quantity,Зменшити кількість
Default,За замовчуванням
Default:,За замовчуванням:
Delete,Видалити
Delete cancelled cash movement {0}?,Видалити скасований рух готівки {0}?
Delete Draft,Видалити чернетку
Delete draft invoice,Видалити проект рахунку-фактури
Delete draft invoice {0}?,Видалити чернетку рахунка-фактури {0}?
Delete Invoice,Видалити рахунок-фактуру
Delete offline invoice,Видалити офлайн-фактуру
Delivered,Доставлено
Delivery Charges,Плата за доставку
Delivery Information,Інформація про доставку
Delivery Note {0} created,Створено накладну {0}
Delivery note created,Створена накладна
Deployed Bundle:,Розгорнутий пакет:
Deposit,депозит
Description,опис
Detailed Supplier Breakdown,Детальна розбивка постачальників
Detecting formats:,Виявлення форматів:
Device Memory:,Пам'ять пристрою:
Difference,Різниця
Difference (In Company Currency),Різниця (у валюті компанії)
Disable offline mode first to recheck live connectivity.,"Спочатку вимкніть офлайн-режим, щоб повторно перевірити підключення в режимі реального часу."
Disconnect,Відключити
discount,знижка
Discount %,Знижка %
Discount / Void / Return Report,Знижка / анулювання / звіт про повернення
Discount Amount,Розмір знижки
Discount limited by POS Profile,Знижка обмежена профілем POS
Discounted Invoices,Рахунки-фактури зі знижкою
Discounts,Знижки
Dismiss,Відхилити
Download Certificate,Завантажити сертифікат
Draft,Чернетка
Draft invoice deleted,Чернетку рахунка видалено
Draft source,Джерело чернетки
Drafts,Чернетки
Due {0},Термін: {0}
Due Date,Термін виконання
Duplicate,дублікат
Edit customer,Редагувати клієнта
Edit discount amount,Редагувати розмір знижки
Edit discount percentage,Редагувати відсоток знижки
Edit Gift Application,Редагувати заявку на подарунок
Edit item name,Редагувати назву елемента
Edit quantity,Редагувати кількість
Edit rate,Змінити ставку
Edit unit of measure,Редагувати одиницю вимірювання
Edited,Відредаговано
Employee,Співробітник
Enable background sync,Увімкнути фонову синхронізацію
Enable Customer Display in POS Profile first.,Спочатку ввімкніть відображення клієнтів у профілі POS.
Enter a PIN.,Введіть PIN-код.
Enter a valid grams value,Введіть дійсне значення в грамах
Enter new price list rate,Введіть нову ставку прайс-листа
Enter Quantity,Введіть кількість
Enter the cashier PIN to continue.,"Щоб продовжити, введіть PIN-код касира."
Enter the current PIN first.,Спочатку введіть поточний PIN-код.
"Enter the current PIN, then choose a new one.","Введіть поточний PIN-код, а потім виберіть новий."
Enter valid grams for scale barcode,Введіть дійсні грами для штрих-коду ваги
Entries,Записи
Error accessing camera:,Помилка доступу до камери:
Error calculating prices,Помилка розрахунку цін
Error fetching customer balance,Помилка отримання балансу клієнта
Error in change calculations!,Помилка в розрахунках змін!
Error Loading Data,Помилка завантаження даних
Error loading invoice details,Помилка завантаження даних рахунку-фактури
Error processing invoice,Помилка обробки рахунку-фактури
Error processing payment,Помилка обробки платежу
Error searching invoices,Помилка пошуку рахунків-фактур
Error submitting invoice:,Помилка подання рахунку:
Error submitting invoice: {0},Помилка подання рахунка: {0}
Error submitting invoice: No response from server,Помилка надсилання рахунка: немає відповіді від сервера
Error updating currency,Помилка оновлення валюти
Error updating item details,Помилка оновлення деталей товару
Est. Purchase,Приблизно Купівля
Est. Value,Приблизно Значення
Event-loop lag measures how busy your browser is. Lower is better.,"Затримка циклу подій вимірює, наскільки зайнятий ваш браузер. Нижче – краще."
Every,кожен
Exchange Rate,Обмінний курс
Expand item details,Розгорнути відомості про товар
Expected Amount (In Company Currency),Очікувана сума (у валюті компанії)
Expected Cash,Очікувана готівка
Expected cash on hand grouped by currency,"Очікувана готівка в касі, згрупована за валютою"
Expected vs Actual,Очікуване проти фактичного
Expense,Витрати
Expense Account (Optional Override),Рахунок витрат (необов'язкове перевизначення)
Expense account is required.,Обліковий запис витрат обов’язковий.
Expenses and deposits posted during this shift,"Витрати та депозити, проведені протягом цієї зміни"
Expired,Термін дії минув
Failed to auto reconcile payments.,Не вдалося автоматично звірити платежі.
Failed to cancel cash movement,Не вдалося скасувати рух готівки
Failed to clear cache,Не вдалося очистити кеш
Failed to create item,Не вдалося створити елемент
Failed to create supplier,Не вдалося створити постачальника
Failed to delete cash movement,Не вдалося видалити рух готівки
Failed to generate scale barcode. Using item barcode only.,Не вдалося створити штрих-код ваги. Використовуючи лише штрих-код товару.
Failed to load cash movement context.,Не вдалося завантажити контекст руху готівки.
Failed to load dashboard data.,Не вдалося завантажити дані інформаційної панелі.
Failed to reload invoice from server,Не вдалося перезавантажити рахунок із сервера
Failed to submit cash movement,Не вдалося подати рух готівки
Failed to sync offline cash movements,Не вдалося синхронізувати рух готівки в автономному режимі
Fast cashier actions for active shifts.,Швидкі дії касира для активних змін.
Fast Moving Items,"Предмети, що швидко рухаються"
Fees,Комісії
Fetch the latest offline prerequisite updates,Отримайте найновіші необхідні оновлення в автономному режимі
Find a sales order quickly and load it into the current sale.,Швидко знайдіть замовлення на продаж і завантажте його в поточний продаж.
Fixing payment amounts for return invoice...,Встановлення сум оплати для повернення рахунка...
Flash Off,Спалах вимкнено
Flash On,Спалах увімкнено
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","Для позицій «Пакет продуктів» склад, серійний номер і номер партії враховуватимуться з таблиці «Пакувальний лист». Якщо склад і номер партії однакові для всіх елементів упаковки для будь-якого елемента «Набору продуктів», ці значення можна ввести в головну таблицю «Елемент»; значення буде скопійовано в таблицю «Пакувальний лист»."
Free,безкоштовно
Free Qty,Безкоштовна кількість
Frequency,Частота
from,від
From Date,З дати
Fulfillment Details,Деталі виконання
Full Name,ПІБ
Gain,посилення
Generate a fresh prepaid card and start it with an opening balance.,Створіть нову передплачену картку та почніть її з початкового балансу.
Generate and install the certificate to allow fully silent printing without trust prompts.,"Створіть і встановіть сертифікат, щоб забезпечити безшумний друк без підказок довіри."
Generate Certificate,Створити сертифікат
Generated scale barcode: {0},Згенерований штрих-код ваги: {0}
Get Payments,Отримати платежі
Gift Card,Подарункова карта
Gift card amount must be greater than zero.,Сума подарункової картки має бути більше нуля.
Gift Card Code,Код подарункової картки
Gift card code is required for redemption,Код подарункової картки потрібен для використання
Gift card code is required.,Потрібно ввести код подарункової картки.
Gift card issued successfully.,Подарункову картку видано успішно.
Gift card loaded successfully.,Подарункову картку успішно завантажено.
Gift Card Management,Управління подарунковими картками
Gift card payment,Оплата подарунковою карткою
Gift card redemption requires an online connection,Для використання подарункової картки потрібне онлайн-з’єднання
Gift card topped up successfully.,Подарункову картку успішно поповнено.
Gift Cards,Подарункові карти
Go to Frappe Desk,Перейдіть до столу Frappe
Grand Total,Загальна сума
Gross Margin,Валовий прибуток
Gross Profit,Валовий прибуток
Gross Sales,Валовий обсяг продажів
Group not found,Групу не знайдено
"Grouped controls for terminal, UI, and session settings.","Згруповані елементи керування для налаштувань терміналу, інтерфейсу користувача та сеансу."
Grouped totals for each payment method and currency,Згруповані суми для кожного способу оплати та валюти
Hide,Сховати
Hide Gift Card,Сховати подарункову картку
Hide Non Essential Fields,Приховати несуттєві поля
Hide quantity decimals,Приховати десяткові знаки кількості
Hide search tools,Приховати інструменти пошуку
Hide zero rated items,Приховати товари з нульовим рейтингом
High,Високий
History,історія
Hourly (Today),Щогодини (сьогодні)
How this section works,Як працює цей розділ
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","Якщо застарілі дані залишаються, відкрийте «Параметри» > «Офлайн і синхронізація» та знову запустіть Rebuild Offline Data у режимі онлайн."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","Якщо попередження не зникає, відкрийте «Параметри» > «Офлайн і синхронізація», а потім запустіть «Оновити офлайн-дані» або «Перебудувати офлайн-дані»."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,Імпортуйте сертифікат у QZ Tray і перезапустіть QZ Tray на кожній POS-машині.
In,в
In stock: {0},На складі: {0}
Include Batch / Serial,Включати партію / серійний номер
Include Price,Включити ціну
Increase quantity,Збільшити кількість
IndexedDB,Індексована БД
Initial Amount,Початкова сума
Initialize your shift with opening balances,Ініціалізуйте свою зміну початковими залишками
Initializing application...,Ініціалізація програми...
"Inspect cache, sync, and prerequisite status","Перевірте стан кешу, синхронізації та передумов"
Installed Applications,Встановлені програми
Insufficient stock:\n{0},Недостатній запас:\n{0}
Invalid rate,Недійсний курс
Inventory Status Report,Звіт про стан запасів
Invoice,рахунок-фактура
Invoice {0} is Submitted,Рахунок-фактуру {0} подано
Invoice {0} processed successfully,Рахунок-фактуру {0} успішно оброблено
Invoice {0} submission failed,Не вдалося надіслати рахунок-фактуру {0}
Invoice {0} was already submitted,Рахунок-фактуру {0} уже подано
Invoice Adjustments,Коригування рахунків-фактур
Invoice Change,Зміна рахунку-фактури
Invoice Details,Відомості про рахунок-фактуру
Invoice is still in draft after background submission.,Рахунок-фактура все ще залишається чернеткою після подання довідки.
Invoice Items,Пункти рахунку-фактури
Invoice Management,Управління рахунками-фактурами
Invoice Mgmt,Керування рахунком-фактурою
Invoice saved offline,Рахунок-фактура збережено офлайн
Invoice submission failed,Помилка подання рахунку
Invoice Submitted,Рахунок надіслано
"Invoice value settled by loyalty points, not cash collection","Вартість рахунку-фактури розраховується балами лояльності, а не готівкою"
Invoices,Рахунки-фактури
Invoices already past due date,Рахунки вже прострочені
Invoices saved as POS Invoices,"Рахунки-фактури, збережені як рахунки-фактури POS"
Invoices still carrying balances,Рахунки-фактури все ще містять залишки
Issue Mode,Режим випуску
Issue New Card,Випуск нової картки
Issue Workflow,Випуск робочого процесу
"Issue, top up, and check","Випуск, поповнення та перевірка"
Item,Пункт
Item / Product Sales Report,Звіт про продаж товару/товару
Item {0} added to invoice,Товар {0} додано до рахунку-фактури
Item '{0}' has no barcode,"Елемент ""{0}"" не має штрих-коду"
Item Code,Код товару
Item created successfully,Елемент створено успішно
Item is out of stock,Товару немає в наявності
Item Name,Назва предмета
Item not found,Товар не знайдено
Item order updated,Порядок товарів оновлено
Item Selector Settings,Параметри вибору елементів
Items,Предмети
Items added in POS will appear here automatically.,"Товари, додані в POS, з’являться тут автоматично."
Items added to invoice,Товари додано до рахунку-фактури
Items per page,Елементів на сторінці
Items Sold,Продані товари
Items/Invoice,Товари/рахунок-фактура
Item-wise Profitability,Позиційна рентабельність
Journal Entry,Запис у журналі
json,json
Just now,Просто зараз
Keep offline prerequisites healthy and recover stale data safely.,Підтримуйте передумови офлайн і безпечно відновлюйте застарілі дані.
Labels,етикетки
"Language, theme, terminal tools, and session controls.","Мова, тема, інструменти терміналу та елементи керування сеансом."
Last,Останній
Last 14 Days (Paid vs Pending),Останні 14 днів (оплачено чи очікує на розгляд)
Last 14 Days Activity,Активність за останні 14 днів
Last 14 Days Gross Profit,Валовий прибуток за останні 14 днів
Last 14 Days Purchases,Покупки за останні 14 днів
Last 14 Days Tax/Charges,Податки/збори за останні 14 днів
Last sync:,Остання синхронізація:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},Остання синхронізація: {0} | нормально: {1} | не вдалося: {2} | пропущено: {3}
Latest entries for current shift,Останні записи поточної зміни
Lead Time,Час виконання
Limited,Обмежений
lines,лінії
List,Список
Live Snapshot,Живий знімок
Load a POS profile and cashier first.,Спочатку завантажте профіль POS і касира.
Load More Invoices,Завантажити більше рахунків-фактур
Load previously saved invoices,Завантажити раніше збережені рахунки-фактури
Load Sale,Розпродаж навантаження
Load Sales Invoice,Завантажити рахунок-фактуру
Loading app data...,Завантаження даних програми...
Loading customer database...,Завантаження бази даних клієнтів...
Loading customers...,Завантаження клієнтів...
Loading database stats...,Завантаження статистики бази даних...
Loading details...,Завантаження деталей...
Loading invoice history...,Завантаження історії рахунків-фактур...
Loading items...,Завантаження елементів...
Loading product catalog...,Завантаження каталогу товарів...
Loading return invoices...,Завантаження рахунків-фактур для повернення...
Loading server CPU/memory usage...,Завантаження ЦП/пам'яті сервера...
Loading suppliers...,Завантаження постачальників...
Loading unpaid invoices...,Завантаження неоплачених рахунків...
Loading view...,Завантаження перегляду...
Loading...,Завантаження...
Local storage is unavailable. Switching to online-only mode.,Локальне сховище недоступне. Перехід у режим лише онлайн.
localStorage,localStorage
Location Performance,Ефективність розташування
Locations,Розташування
Lock Screen,Екран блокування
Lookup Workflow,Робочий процес пошуку
Loss,Втрата
Low,Низький
Low Stock,Низький запас
