POS Awesome,POS Igitangaje
Check for new commits,Reba ibyo wiyemeje
Check for Updates,Reba Ibishya
Check live balance before applying redemption,Reba impirimbanyi nzima mbere yo gusaba gucungurwa
Check live balance before redemption,Reba impirimbanyi nzima mbere yo gucungurwa
Checking...,Kugenzura ...
Cheque/Reference Date,Kugenzura / Itariki Itariki
Cheque/Reference No,Reba / Reba Oya
Choose the cashier currently operating this terminal.,Hitamo kashi ikora ubu terminal.
City,Umujyi
Clear,Biragaragara
Clear All,Kuraho Byose
Clear all barcode items,Kuraho ibintu byose bya barcode
Clear all purchase order items,Kuraho ibintu byose byaguzwe
Clear Search,Gushakisha neza
Clearing local cache...,Kuraho cache yaho ...
Click to refresh,Kanda kugirango ugarure
Client CPU Lag:,Umukiriya CPU Lag:
Client Memory Usage:,Ikoreshwa ry'Urwibutso rw'abakiriya:
Client Metrics,Ibipimo by'abakiriya
Close about dialog,Funga hafi y'ibiganiro
Close cashier switcher,Funga kashi
Close closing shift dialog,Gufunga gufunga ibiganiro
Close column selector,Funga inkingi
Close Dialog,Funga Ikiganiro
Close drafts dialog,Funga inyandiko
Close invoice details dialog,Funga inyemezabuguzi ibisobanuro
Close invoice management,Gufunga inyemezabuguzi
Close offline invoices dialog,Funga inyemezabuguzi za interineti
Close packing list dialog,Funga urutonde rwibiganiro
Close returns dialog,Gufunga kugaruka
Close sales orders dialog,Funga ibicuruzwa byo kugurisha
Close Scanner,Funga Scaneri
Close scanner dialog,Funga scaneri ikiganiro
Close Settings,Funga Igenamiterere
Closing Amount,Amafaranga yo gufunga
Closing POS Shift,Gufunga POS Shift
Closing Snapshot Available,Gufunga Snapshot Iraboneka
Code,Kode
Code scanned successfully,Kode yasikanye neza
COGS,COGS
Collapse item details,Gusenya ibintu birambuye
Collected,Byegeranijwe
Cols,Abakol
Columns,Inkingi
commits,yiyemeje
Completed and active sales in this range,Igurisha ryuzuye kandi rikora muriki cyiciro
Completed returns will appear here.,Inyungu zuzuye zizagaragara hano.
Confirm,Emeza
Confirm Close,Emeza hafi
Confirm Mobile Number,Emeza nimero ya mobile
Confirm PIN,Emeza PIN
Connect,Ihuze
Connect printer and manage certificate,Huza printer kandi ucunge icyemezo
Connecting to QZ Tray...,Kwihuza na QZ Tray ...
Connection problem while submitting invoice,Ikibazo cyo guhuza mugihe utanga inyemezabuguzi
Connections:,Ihuza:
Connectivity and cached prerequisite status were rechecked.,Kwihuza hamwe na cashe byateganijwe byasubiwemo.
Continue Editing,Komeza Guhindura
Could not fetch latest balance from server,Ntushobora kuzana impirimbanyi zanyuma kuva seriveri
Count,Kubara
Country,Igihugu
Coupon,Coupon
Coupons,Coupons
Cover,Igipfukisho
CPU Cores:,Ibikorwa bya CPU:
Create,Kurema
Create and load a new prepaid card,Kurema no kwikorera ikarita nshya yishyuwe mbere
Create and preload a new gift card,Kurema no kubanziriza ikarita nshya yimpano
Create Bill,Kora umushinga w'itegeko
Create Customer,Kurema Umukiriya
Create New Item,Kurema Ikintu gishya
Create or change your PIN,Kurema cyangwa guhindura PIN yawe
Create PIN,Kora PIN
Create POS Opening Shift,Kora POS Ifungura Shift
Create Purchase Order,Shiraho gahunda yo kugura
Create Return,Kora Garuka
Create return from invoice,Kora garuka kuri fagitire
Create Supplier,Kurema Utanga isoko
Credit and Output,Inguzanyo n'ibisohoka
Credit Note,Icyitonderwa cy'inguzanyo
Credit Outstanding,Inguzanyo zidasanzwe
Credit sales remaining to be collected,Igurisha ry'inguzanyo risigaye gukusanywa
Critical,Birakomeye
Currency,Ifaranga
Current,Ibiriho
Current Event Loop Lag:,Ibihe Byibihe Byakera:
Current Month,Ukwezi kurubu
Current PIN,PIN y'ubu
Current Profile,Umwirondoro wubu
Current redeemable value on the gift card,Agaciro gacungurwa kurikarita yimpano
Current User,Umukoresha wa none
Custom,Custom
Custom Due Days,Iminsi Yateganijwe
Custom items per page,Ibintu byihariye kurupapuro
Customer,Umukiriya
Customer already selected,Umukiriya yamaze guhitamo
Customer Balance,Impirimbanyi zabakiriya
Customer balance unavailable offline,Impirimbanyi zabakiriya zitaboneka kumurongo
Customer created successfully.,Umukiriya yaremye neza.
Customer creation failed.,Kurema abakiriya byarananiranye.
Customer Details,Ibisobanuro by'abakiriya
Customer display channel is missing,Umuyoboro werekana abakiriya wabuze
Customer display was blocked. Please allow pop-ups for this site.,Kugaragaza abakiriya byarahagaritswe. Nyamuneka wemerere pop-up kururu rubuga.
Customer group is required,Itsinda ryabakiriya rirasabwa
Customer is required to add payment,Umukiriya asabwa kongera ubwishyu
Customer Name is required,Izina ryabakiriya rirakenewe
Customer not selected,Umukiriya ntabwo yatoranijwe
Customer Report,Raporo y'abakiriya
Customer saved offline,Umukiriya yazigamye kumurongo
Customer Screen,Mugaragaza
Customer territory is required,Ifasi yabakiriya irakenewe
Customer updated successfully.,Umukiriya yavuguruwe neza.
Customer-facing tools and printer setup.,Ibikoresho-byabakiriya nibikoresho bya printer.
Customers,Abakiriya
Customers not found,Abakiriya ntibabonetse
Daily cashier actions without scrolling.,Ibikorwa bya kashi ya buri munsi nta kuzunguruka.
Daily Sales,Igurishwa rya buri munsi
Daily Sales Summary,Incamake yo kugurisha buri munsi
Data loaded in form. Review and submit.,Amakuru yuzuye muburyo. Subiramo kandi utange.
Database Health,Ubuzima bwububiko
Database health affects overall system speed and reliability.,Ubuzima bwububiko bugira ingaruka kuri sisitemu muri rusange no kwizerwa.
Database Info,Ububikoshingiro
Date,Itariki
Day ?,Umunsi?
days,iminsi
Day-wise (MTD),Umunsi (MTD)
Day-wise Movement,Umunsi-Umunsi
Dead Stock,Ikigega cyapfuye
Dead Stock Items,Ibintu byapfuye
Decrease quantity,Kugabanya ingano
Default,Mburabuzi
Default:,Ibisanzwe:
Delete,Siba
Delete cancelled cash movement {0}?,Gusiba amafaranga yahagaritswe {0}?
Delete Draft,Gusiba Inyandiko
Delete draft invoice,Kuraho inyemezabuguzi
Delete draft invoice {0}?,Gusiba inyemezabuguzi {0}?
Delete Invoice,Siba Inyemezabuguzi
Delete offline invoice,Kuraho inyemezabuguzi ya interineti
Delivered,Yatanzwe
Delivery Charges,Amafaranga yo gutanga
Delivery Information,Amakuru yo Gutanga
Delivery Note {0} created,Icyitonderwa cyo gutanga {0} cyaremewe
Delivery note created,Inyandiko yo gutanga
Deployed Bundle:,Bundle yoherejwe:
Deposit,Kubitsa
Description,Ibisobanuro
Detailed Supplier Breakdown,Kumeneka kubatanga isoko
Detecting formats:,Kumenya imiterere:
Device Memory:,Ububiko bwibikoresho:
Difference,Itandukaniro
Difference (In Company Currency),Itandukaniro (Mu Ifaranga rya Sosiyete)
Disable offline mode first to recheck live connectivity.,Hagarika uburyo bwa interineti mbere yo gusuzuma umurongo wa Live.
Disconnect,Guhagarika
discount,kugabanyirizwa
Discount %,Kugabanuka%
Discount / Void / Return Report,Kugabanuka / Ubusa / Raporo Yagarutse
Discount Amount,Amafaranga yagabanutse
Discount limited by POS Profile,Kugabanuka kugarukira kumwirondoro wa POS
Discounted Invoices,Inyemezabuguzi zagabanijwe
Discounts,Kugabanuka
Dismiss,Kwirukana
Download Certificate,Kuramo Icyemezo
Draft,Inyandiko
Draft invoice deleted,Umushinga w'inyemezabuguzi wasibwe
Draft source,Umushinga w'inkomoko
Drafts,Inyandiko
Due {0},Kubera {0}
Due Date,Itariki Yateganijwe
Duplicate,Kwigana
Edit customer,Hindura umukiriya
Edit discount amount,Hindura amafaranga yagabanijwe
Edit discount percentage,Hindura ijanisha
Edit Gift Application,Hindura Impano Porogaramu
Edit item name,Hindura izina ryikintu
Edit quantity,Hindura ingano
Edit rate,Guhindura igipimo
Edit unit of measure,Hindura igipimo
Edited,Byahinduwe
Employee,Umukozi
Enable background sync,Gushoboza guhuza ibice
Enable Customer Display in POS Profile first.,Gushoboza kwerekana abakiriya mubisobanuro bya POS mbere.
Enter a PIN.,Injira PIN.
Enter a valid grams value,Injiza garama yemewe
Enter new price list rate,Injiza igiciro gishya cyurutonde
Enter Quantity,Injira Umubare
Enter the cashier PIN to continue.,Injira kashi PIN kugirango ukomeze.
Enter the current PIN first.,Injira PIN iriho ubu.
"Enter the current PIN, then choose a new one.","Injira PIN iriho, hanyuma uhitemo indi nshya."
Enter valid grams for scale barcode,Injira garama zemewe kubipimo bya barcode
Entries,Ibyinjira
Error accessing camera:,Ikosa ryo kubona kamera:
Error calculating prices,Ikosa ryo kubara ibiciro
Error fetching customer balance,Ikosa ryo kuzana abakiriya
Error in change calculations!,Ikosa mu kubara impinduka!
Error Loading Data,Ikosa ryo gupakira amakuru
Error loading invoice details,Ikosa ryo gupakira inyemezabuguzi
Error processing invoice,Inyemezabuguzi yo gutunganya
Error processing payment,Kwishura amakosa
Error searching invoices,Ikosa ryo gushakisha inyemezabuguzi
Error submitting invoice:,Ikosa ryo gutanga inyemezabuguzi:
Error submitting invoice: {0},Ikosa ryo gutanga inyemezabuguzi: {0}
Error submitting invoice: No response from server,Ikosa ryo gutanga inyemezabuguzi: Nta gisubizo kiva kuri seriveri
Error updating currency,Ikosa ryo kuvugurura amafaranga
Error updating item details,Ikosa ryo kuvugurura ibintu birambuye
Est. Purchase,Est. Kugura
Est. Value,Est. Agaciro
Event-loop lag measures how busy your browser is. Lower is better.,Ibirori-bizenguruka bipima uburyo mushakisha yawe ihuze. Hasi ni byiza.
Every,Buri
Exchange Rate,Igipimo cy'ivunjisha
Expand item details,Kwagura ibisobanuro birambuye
Expected Amount (In Company Currency),Amafaranga ateganijwe (Mu Ifaranga rya Sosiyete)
Expected Cash,Amafaranga ateganijwe
Expected cash on hand grouped by currency,Amafaranga ateganijwe kumaboko ashyizwe hamwe nifaranga
Expected vs Actual,Biteganijwe vs Mubyukuri
Expense,Amafaranga
Expense Account (Optional Override),Konti Yikoreshwa (Kurenga kubishaka)
Expense account is required.,Konti ikoreshwa irakenewe.
Expenses and deposits posted during this shift,Amafaranga yakoreshejwe hamwe no kubitsa byashyizwe mugihe cyo kwimuka
Expired,Byarangiye
Failed to auto reconcile payments.,Kunanirwa kwiyunga ubwishyu.
Failed to cancel cash movement,Kunanirwa guhagarika amafaranga yimuka
Failed to clear cache,Kunanirwa gukuraho cache
Failed to create item,Kunanirwa gukora ikintu
Failed to create supplier,Kunanirwa kurema isoko
Failed to delete cash movement,Kunanirwa gusiba amafaranga yimuka
Failed to generate scale barcode. Using item barcode only.,Kunanirwa kubyara igipimo kode. Gukoresha ikintu kode gusa.
Failed to load cash movement context.,Kunanirwa gupakira amafaranga yimikorere.
Failed to load dashboard data.,Kunanirwa kwipakurura amakuru.
Failed to reload invoice from server,Kunanirwa kwishura fagitire kuva seriveri
Failed to submit cash movement,Kunanirwa gutanga amafaranga yimuka
Failed to sync offline cash movements,Kunanirwa guhuza ibikorwa byamafaranga kumurongo
Fast cashier actions for active shifts.,Ibikorwa byihuse byihuse kubikorwa byimikorere.
Fast Moving Items,Ibintu Byihuta
Fees,Amafaranga
Fetch the latest offline prerequisite updates,Shakisha ibyagezweho kuri interineti ibisabwa mbere
Find a sales order quickly and load it into the current sale.,Shakisha ibicuruzwa byihuse hanyuma ubishyire mubicuruzwa bigezweho.
Fixing payment amounts for return invoice...,Kugena amafaranga yo kwishyura kuri fagitire yo kugaruka ...
Flash Off,Funga
Flash On,Flash On
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","Kubintu 'Bundle yibicuruzwa', ububiko, Serial Oya na Batch Oya bizasuzumwa kuva kumeza 'Gupakira'. Niba ububiko na Batch Oya ari bimwe kubintu byose bipakira kubintu byose 'Ibicuruzwa Bundle', izo ndangagaciro zishobora kwinjizwa mumeza yibintu byingenzi; indangagaciro zizakopororwa kumeza 'Gupakira Urutonde'."
Free,Ubuntu
Free Qty,Ubuntu Qty
Frequency,Inshuro
from,Kuva
From Date,Kuva Itariki
Fulfillment Details,Ibisobanuro birambuye
Full Name,Izina ryuzuye
Gain,Inyungu
Generate a fresh prepaid card and start it with an opening balance.,Kora ikarita nshya yishyuwe mbere hanyuma uyitangire hamwe.
Generate and install the certificate to allow fully silent printing without trust prompts.,Kora kandi ushyireho icyemezo kugirango wemererwe gucapa bucece nta kwizerana.
Generate Certificate,Tanga Icyemezo
Generated scale barcode: {0},Ibipimo byakozwe na barcode: {0}
Get Payments,Shaka Kwishura
Gift Card,Ikarita y'Impano
Gift card amount must be greater than zero.,Amafaranga yikarita yimpano agomba kuba arenze zeru.
Gift Card Code,Ikarita y'Impano
Gift card code is required for redemption,Ikarita yimpano irakenewe kugirango ucungurwe
Gift card code is required.,Ikarita yimpano irakenewe.
Gift card issued successfully.,Ikarita y'impano yatanzwe neza.
Gift card loaded successfully.,Ikarita yimpano yapakiwe neza.
Gift Card Management,Gucunga Ikarita
Gift card payment,Kwishura ikarita
Gift card redemption requires an online connection,Gucungura ikarita yimpano bisaba guhuza kumurongo
Gift card topped up successfully.,Ikarita yimpano yazamutse neza.
Gift Cards,Ikarita y'impano
Go to Frappe Desk,Jya kuri Frappe
Grand Total,Igiteranyo Cyuzuye
Gross Margin,Amafaranga menshi
Gross Profit,Inyungu rusange
Gross Sales,Igurishwa rusange
Group not found,Itsinda ntabwo ryabonetse
"Grouped controls for terminal, UI, and session settings.","Igenzura rishyizwe hamwe kuri terminal, UI, hamwe nigenamiterere."
Grouped totals for each payment method and currency,Bishyizwe hamwe kuri buri buryo bwo kwishyura n'ifaranga
Hide,Hisha
Hide Gift Card,Hisha Ikarita Yimpano
Hide Non Essential Fields,Hisha Imirima Yingenzi
Hide quantity decimals,Hisha umubare wimibare
Hide search tools,Hisha ibikoresho by'ishakisha
Hide zero rated items,Hisha ibintu bya zeru
High,Hejuru
History,Amateka
Hourly (Today),Isaha (Uyu munsi)
How this section works,Uburyo iki gice gikora
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","Niba amakuru ashaje asigaye, fungura Igenamiterere> Offline & Sync hanyuma ukore Rebuild Offline Data wongeyeho mugihe uri kumurongo."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","Niba umuburo ukomeje, fungura Igenamiterere> Offline & Sync, hanyuma ukore Refresh Offline Data cyangwa Wubake Data Offline Data."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,Kuzana icyemezo muri QZ Tray hanyuma utangire QZ Tray kuri buri mashini ya POS.
In,Muri
In stock: {0},Mububiko: {0}
Include Batch / Serial,Shyiramo Batch / Serial
Include Price,Shyiramo Igiciro
Increase quantity,Ongera ubwinshi
IndexedDB,YerekanweDB
Initial Amount,Umubare wambere
Initialize your shift with opening balances,Tangiza umwanya wawe hamwe no gufungura impirimbanyi
Initializing application...,Gutangiza porogaramu ...
"Inspect cache, sync, and prerequisite status","Kugenzura cache, guhuza, hamwe nibisabwa"
Installed Applications,Kwinjiza Porogaramu
Insufficient stock:\n{0},Ububiko budahagije: \ n {0}
Invalid rate,Igipimo kitemewe
Inventory Status Report,Raporo y'ibarurishamibare
Invoice,Inyemezabuguzi
Invoice {0} is Submitted,Inyemezabuguzi {0} Yatanzwe
Invoice {0} processed successfully,Inyemezabuguzi {0} yatunganijwe neza
Invoice {0} submission failed,Inyemezabuguzi {0} gutanga byananiranye
Invoice {0} was already submitted,Inyemezabuguzi {0} yari imaze gutangwa
Invoice Adjustments,Inyemezabuguzi
Invoice Change,Inyemezabuguzi
Invoice Details,Inyemezabuguzi
Invoice is still in draft after background submission.,Inyemezabuguzi iracyari mu mushinga nyuma yo gutanga inyuma.
Invoice Items,Inyemezabuguzi
Invoice Management,Gucunga inyemezabuguzi
Invoice Mgmt,Inyemezabuguzi Mgmt
Invoice saved offline,Inyemezabuguzi yazigamye kuri interineti
Invoice submission failed,Gutanga inyemezabuguzi byarananiranye
Invoice Submitted,Inyemezabuguzi yatanzwe
"Invoice value settled by loyalty points, not cash collection","Inyemezabuguzi yagenwe ningingo zubudahemuka, ntabwo gukusanya amafaranga"
Invoices,Inyemezabuguzi
