POS Awesome,POS Świetne
Address Line 1,Linia adresu 1
Address not found,Nie znaleziono adresu
Adjust the quantity or enable negative stock to continue.,"Dostosuj ilość lub włącz ujemne zapasy, aby kontynuować."
Adjustment,Regulacja
After returns,Po powrotach
Against,Przeciw
Against Name,Przeciw imieniu
Age Bracket,Przedział wiekowy
All,Wszystko
All Caught Up!,Wszystko złapane!
All invoices are synchronized,Wszystkie faktury są zsynchronizowane
All pending invoices are up to date,Wszystkie oczekujące faktury są aktualne
All Profiles,Wszystkie profile
All Synchronized,Wszystko zsynchronizowane
All visible invoices are fully settled.,Wszystkie widoczne faktury są w pełni rozliczone.
All Warehouses,Wszystkie magazyny
Allowed UOM is {0},Dozwolona jednostka miary to {0}
Always fetch items from server (ignore local cache),Zawsze pobieraj elementy z serwera (ignoruj lokalną pamięć podręczną)
Amount,Kwota
Amount already received,Kwota już otrzymana
Amount exceeds profile cash movement max amount.,Kwota przekracza maksymalną kwotę przepływu gotówki w profilu.
Amount must be greater than zero.,Kwota musi być większa od zera.
Amount received from customer,Kwota otrzymana od klienta
Appearance and user-level preferences for the current session.,Wygląd i preferencje na poziomie użytkownika dla bieżącej sesji.
Applied,Zastosowano
Apply,Zastosuj
Apply Gift Card,Zastosuj kartę podarunkową
Apply Offer,Zastosuj ofertę
Apply On,Zastosuj
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,"Zastosuj tylko kwotę, którą chcesz wykorzystać na tej fakturze. Pozostała część pozostaje na karcie."
Apply Redemption,Zastosuj odkupienie
Applying,Stosowanie
Apps,Aplikacje
Are you sure you want to close? All entered data will be lost.,Czy na pewno chcesz zamknąć? Wszystkie wprowadzone dane zostaną utracone.
Attributes (Size/Color),Atrybuty (rozmiar/kolor)
Auto Allocate Payment Amount,Automatyczne przydzielanie kwoty płatności
Auto Reconcile,Automatyczne uzgadnianie
Auto reconciliation completed after payment submit.,Automatyczne rozliczenie zakończone po przesłaniu płatności.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Automatyczne uzgadnianie zakończone. Przydzielono: {0}{1}. Pozostało zaległe: {0}{2}.
Available Actions,Dostępne akcje
Available QTY,Dostępna ILOŚĆ
Available:,Dostępne:
Average Basket,Przeciętny koszyk
Average Bill,Przeciętny rachunek
Average Ticket,Przeciętny bilet
Avg Bill,Średni rachunek
Avg Invoice,Średnia faktura
Avg Invoice Profit,Średni zysk z faktury
Avg Invoice Value,Średnia wartość faktury
Avg Purchase Frequency,Średnia częstotliwość zakupów
Awesome,Niesamowite
Awesome Dashboard,Niesamowity pulpit nawigacyjny
Awesome Dashboard is disabled for the selected POS Profile.,Awesome Dashboard jest wyłączony dla wybranego profilu POS.
Awesome Dashboard is unavailable for the selected scope.,Awesome Dashboard jest niedostępny dla wybranego zakresu.
Awesome Dashboard is visible only to POS supervisors.,Awesome Dashboard jest widoczny tylko dla osób nadzorujących POS.
Back,Powrót
Back Office Cash Account,Konto gotówkowe w biurze back-office
Back Office Cash Account (Optional Override),Konto gotówkowe Back Office (opcjonalne zastąpienie)
Back office cash account is required.,Wymagane jest konto gotówkowe na zapleczu.
Back to {0},Powrót do {0}
Background processing did not finish in time.,Przetwarzanie w tle nie zostało zakończone na czas.
Background processing failed for Invoice {0}: {1},Przetwarzanie w tle nie powiodło się dla faktury {0}: {1}
Background Submission Failed,Przesyłanie w tle nie powiodło się
Background sync interval (seconds),Interwał synchronizacji w tle (sekundy)
Balance,Równowaga
Balance will be updated when connection is restored,Saldo zostanie zaktualizowane po przywróceniu połączenia
Balances still pending,Salda nadal oczekujące
Barcode,Kod kreskowy
Barcode / QR Ready,Gotowy na kod kreskowy / QR
Barcode Label Printing,Drukowanie etykiet z kodami kreskowymi
Base Paid:,Płatność podstawowa:
Base Recv:,Odbiór podstawowy:
Base:,Baza:
Basic Information,Podstawowe informacje
Batch,Partia
Batch Information,Informacje o partii
Before any return workflow,Przed jakimkolwiek procesem zwrotu
Before returns,Przed powrotami
Best Day,Najlepszy dzień
Best Seller,Najlepszy sprzedawca
Book expense or deposit from active shift.,Zaksięguj wydatek lub depozyt z aktywnej zmiany.
Branch / Location-wise Report,Raport branżowy/lokalizacyjny
Brand-wise,Pod względem marki
Breakdown,Podział
Browse,Przeglądaj
Build Time:,Czas budowy:
Built with Frappe,Zbudowany z Frappe
Bundle,Pakiet
Buying Price,Cena zakupu
Cache cleared successfully,Pamięć podręczna została pomyślnie wyczyszczona
Cache Usage,Użycie pamięci podręcznej
cache used,używana pamięć podręczna
Calculating...,Obliczanie...
Camera Access Required,Wymagany dostęp do kamery
Camera access was aborted. Please try again.,Dostęp do kamery został przerwany. Spróbuj ponownie.
Camera constraints not supported by your device. Trying fallback settings...,Ograniczenia aparatu nie są obsługiwane przez Twoje urządzenie. Próbuję ustawień awaryjnych...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,Kamera jest zajęta lub zablokowana przez inną aplikację/kartę. Zamknij inne aplikacje aparatu i spróbuj ponownie.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,Odmowa dostępu do aparatu. Zezwól na dostęp do kamery w ustawieniach przeglądarki i odśwież stronę.
Camera scanner is locked until the current error is acknowledged,Skaner aparatu jest zablokowany do czasu potwierdzenia bieżącego błędu
Camera started but the video stream did not load in time. Please try again.,"Kamera uruchomiła się, ale strumień wideo nie został załadowany na czas. Spróbuj ponownie."
Cancel cash movement {0}?,Anulować przepływ gotówki {0}?
Cancel Payment,Anuluj płatność
Cancel Sale,Anuluj sprzedaż
Cancel Sale ?,Anulować sprzedaż?
Cancelled,Anulowano
Cannot add an item with zero or negative quantity.,Nie można dodać pozycji z ilością zerową lub ujemną.
Cannot clear cache while offline,Nie można wyczyścić pamięci podręcznej w trybie offline
Cannot redeem customer credit more than invoice total,Nie można wykorzystać kredytu klienta przekraczającego sumę faktury
Cannot redeem gift cards more than invoice total,Nie można wykorzystać kart podarunkowych na kwotę większą niż suma na fakturze
Cannot Save Offline Invoice:,Nie można zapisać faktury offline:
Cannot Save Offline Payment:,Nie można zapisać płatności offline:
Card,Karta
Card / Online,Karta / Online
Card health after the last live lookup,Kondycja karty po ostatnim sprawdzeniu na żywo
Cards,Karty
Cart,Koszyk
Cash,Gotówka
Cash back to customers,Zwrot pieniędzy klientom
Cash Collections,Zbiórki gotówkowe
Cash Deposit is disabled for this POS Profile.,Wpłata gotówkowa jest wyłączona dla tego profilu punktu sprzedaży.
Cash Drawer Snapshot,Migawka szuflady kasowej
Cash In Hand,Gotówka w ręku
Cash Movement,Ruch gotówkowy
Cash movement cancelled,Przepływ gotówki anulowany
Cash movement deduction applied,Zastosowano odliczenie przepływu środków pieniężnych
Cash movement deleted,Usunięto przepływ gotówki
Cash movement is disabled for this POS Profile.,Przepływ gotówki jest wyłączony dla tego profilu punktu sprzedaży.
Cash Movement is disabled in current POS Profile.,Przepływ gotówki jest wyłączony w bieżącym profilu punktu sprzedaży.
Cash movement saved offline,Przepływ gotówki zapisany w trybie offline
Cash movement submitted,Przesłano przepływ środków pieniężnych
Cash Movements,Ruchy pieniężne
Cash payment cannot be less than invoice total when partial payment is not allowed,"Płatność gotówką nie może być mniejsza niż suma faktury, gdy niedopuszczalna jest płatność częściowa"
Cash returned after payment,Gotówka zwrócona po dokonaniu płatności
Cashier,Kasjer
Cashier Access,Dostęp kasjera
Cashier identity and appearance preferences.,Tożsamość i preferencje dotyczące wyglądu kasjera.
Cashier PIN,PIN kasjera
Cashier PIN saved successfully.,Kod PIN kasjera został pomyślnie zapisany.
Cashiers,Kasjerzy
Cashier-wise,Pod względem kasjerskim
Categories,Kategorie
Category,Kategoria
Category / Brand / Variant Report,Raport kategorii/marki/wariantu
Category-wise,Kategorycznie
Category-wise Margin,Margines według kategorii
Certificate,Certyfikat
Certificate is missing or not trusted. QZ may show confirmation dialogs.,Brak certyfikatu lub certyfikat nie jest zaufany. QZ może wyświetlać okna dialogowe z potwierdzeniem.
Certificate is trusted. Silent QZ printing is active.,Certyfikat jest zaufany. Ciche drukowanie QZ jest aktywne.
Change,Zmień
Change allocation repaired,Naprawiono przydział zmian
Change Price,Zmień cenę
Change Return,Zmień powrót
Change Returned,Zmiana zwrócona
Change terminal cashier,Zmień kasjera terminala
Charge Heads,Głowice ładujące
Charges,Opłaty
Charges not found,Nie znaleziono opłat
Check Balance,Sprawdź saldo
Check balance for any card. Supervisors can issue and top up cards here.,Sprawdź saldo dowolnej karty. Tutaj przełożeni mogą wydawać i doładowywać karty.
Check balance only,Sprawdź tylko saldo
Check for new commits,"Sprawdź, czy są nowe zatwierdzenia"
Check for Updates,Sprawdź aktualizacje
Check live balance before applying redemption,Sprawdź saldo na żywo przed zastosowaniem wykupu
Check live balance before redemption,Sprawdź saldo na żywo przed wykupem
Checking...,Sprawdzam...
Cheque/Reference Date,Data czeku/referencji
Cheque/Reference No,Czek/nr referencyjny
Choose the cashier currently operating this terminal.,Wybierz kasjera obsługującego aktualnie ten terminal.
City,Miasto
Clear,Jasne
Clear All,Wyczyść wszystko
Clear all barcode items,Wyczyść wszystkie elementy z kodem kreskowym
Clear all purchase order items,Wyczyść wszystkie pozycje zamówienia zakupu
Clear Search,Wyczyść wyszukiwanie
Clearing local cache...,Czyszczenie lokalnej pamięci podręcznej...
Click to refresh,"Kliknij, aby odświeżyć"
Client CPU Lag:,Opóźnienie procesora klienta:
Client Memory Usage:,Użycie pamięci klienta:
Client Metrics,Metryki klienta
Close about dialog,Zamknij okno dialogowe
Close cashier switcher,Zamknij przełącznik kasjera
Close closing shift dialog,Zamknij okno dialogowe zmiany zamykającej
Close column selector,Zamknij selektor kolumny
Close Dialog,Zamknij okno dialogowe
Close drafts dialog,Zamknij okno wersji roboczych
Close invoice details dialog,Zamknij okno dialogowe szczegółów faktury
Close invoice management,Zamknij zarządzanie fakturami
Close offline invoices dialog,Zamknij okno faktur offline
Close packing list dialog,Zamknij okno dialogowe listy pakowania
Close returns dialog,Zamknij okno zwrotów
Close sales orders dialog,Zamknij okno dialogowe zamówień sprzedaży
Close Scanner,Zamknij skaner
Close scanner dialog,Zamknij okno skanera
Close Settings,Zamknij Ustawienia
Closing Amount,Kwota zamknięcia
Closing POS Shift,Zamykanie zmiany POS
Closing Snapshot Available,Dostępna migawka zamykająca
Code,Kod
Code scanned successfully,Kod został pomyślnie przeskanowany
COGS,KOGI
Collapse item details,Zwiń szczegóły elementu
Collected,Zebrane
Cols,Kol
Columns,Kolumny
commits,popełnia
Completed and active sales in this range,Zakończona i aktywna sprzedaż w tym zakresie
Completed returns will appear here.,Tutaj pojawią się zakończone zwroty.
Confirm,Potwierdź
Confirm Close,Potwierdź Zamknij
Confirm Mobile Number,Potwierdź numer telefonu komórkowego
Confirm PIN,Potwierdź PIN
Connect,Połącz
Connect printer and manage certificate,Podłącz drukarkę i zarządzaj certyfikatem
Connecting to QZ Tray...,Łączenie z QZ Tray...
Connection problem while submitting invoice,Problem z połączeniem podczas przesyłania faktury
Connections:,Połączenia:
Connectivity and cached prerequisite status were rechecked.,Ponownie sprawdzono stan łączności i wymagań wstępnych pamięci podręcznej.
Continue Editing,Kontynuuj edycję
Could not fetch latest balance from server,Nie można pobrać najnowszego salda z serwera
Count,Policz
Country,Kraj
Coupon,Kupon
Coupons,Kupony
Cover,Okładka
CPU Cores:,Rdzenie procesora:
Create,Utwórz
Create and load a new prepaid card,Utwórz i załaduj nową kartę przedpłaconą
Create and preload a new gift card,Utwórz i wstępnie załaduj nową kartę podarunkową
Create Bill,Utwórz rachunek
Create Customer,Utwórz Klienta
Create New Item,Utwórz nowy element
Create or change your PIN,Utwórz lub zmień swój PIN
Create PIN,Utwórz PIN
Create POS Opening Shift,Utwórz zmianę otwarcia punktu sprzedaży
Create Purchase Order,Utwórz zamówienie zakupu
Create Return,Utwórz zwrot
Create return from invoice,Utwórz zwrot z faktury
Create Supplier,Utwórz dostawcę
Credit and Output,Kredyt i wynik
Credit Note,Nota kredytowa
Credit Outstanding,Znakomity kredyt
Credit sales remaining to be collected,Pozostała sprzedaż kredytów do zebrania
Critical,Krytyczny
Currency,Waluta
Current,Aktualny
Current Event Loop Lag:,Bieżące opóźnienie pętli zdarzeń:
Current Month,Bieżący miesiąc
Current PIN,Aktualny PIN
Current Profile,Aktualny profil
Current redeemable value on the gift card,Aktualna wartość podlegająca wymianie na karcie upominkowej
Current User,Bieżący użytkownik
Custom,Niestandardowe
Custom Due Days,Niestandardowe dni płatności
Custom items per page,Niestandardowe elementy na stronę
Customer,Klient
Customer already selected,Klient został już wybrany
Customer Balance,Saldo Klienta
Customer balance unavailable offline,Saldo klienta niedostępne w trybie offline
Customer created successfully.,Klient został utworzony pomyślnie.
Customer creation failed.,Tworzenie klienta nie powiodło się.
Customer Details,Dane klienta
Customer display channel is missing,Brak kanału wyświetlania klienta
Customer display was blocked. Please allow pop-ups for this site.,Wyświetlacz klienta został zablokowany. Zezwól na wyświetlanie wyskakujących okienek w tej witrynie.
Customer group is required,Grupa klientów jest wymagana
Customer is required to add payment,Klient ma obowiązek dodać płatność
Customer Name is required,Nazwa klienta jest wymagana
Customer not selected,Nie wybrano klienta
Customer Report,Raport klienta
Customer saved offline,Klient zapisany w trybie offline
Customer Screen,Ekran klienta
Customer territory is required,Terytorium klienta jest wymagane
Customer updated successfully.,Klient zaktualizował się pomyślnie.
Customer-facing tools and printer setup.,Narzędzia dostępne dla klientów i konfiguracja drukarki.
Customers,Klienci
Customers not found,Nie znaleziono klientów
Daily cashier actions without scrolling.,Codzienne czynności kasjera bez przewijania.
Daily Sales,Codzienna sprzedaż
Daily Sales Summary,Codzienne podsumowanie sprzedaży
Data loaded in form. Review and submit.,Dane załadowane do formularza. Przejrzyj i prześlij.
Database Health,Kondycja bazy danych
Database health affects overall system speed and reliability.,Kondycja bazy danych wpływa na ogólną szybkość i niezawodność systemu.
Database Info,Informacje o bazie danych
Date,Data
Day ?,Dzień?
days,dni
Day-wise (MTD),Dzienne (MTD)
Day-wise Movement,Ruch dzienny
Dead Stock,Martwy zapas
Dead Stock Items,Martwe zapasy
Decrease quantity,Zmniejsz ilość
Default,Domyślne
Default:,Domyślnie:
Delete,Usuń
Delete cancelled cash movement {0}?,Usunąć anulowany przepływ gotówki {0}?
Delete Draft,Usuń wersję roboczą
Delete draft invoice,Usuń wersję roboczą faktury
Delete draft invoice {0}?,Usunąć wersję roboczą faktury {0}?
Delete Invoice,Usuń fakturę
Delete offline invoice,Usuń fakturę offline
Delivered,Dostarczono
Delivery Charges,Opłaty za dostawę
Delivery Information,Informacje o dostawie
Delivery Note {0} created,Utworzono dowód dostawy {0}
Delivery note created,Utworzono dowód dostawy
Deployed Bundle:,Wdrożony pakiet:
Deposit,Depozyt
Description,Opis
Detailed Supplier Breakdown,Szczegółowy podział dostawców
Detecting formats:,Wykrywanie formatów:
Device Memory:,Pamięć urządzenia:
Difference,Różnica
Difference (In Company Currency),Różnica (w walucie firmy)
Disable offline mode first to recheck live connectivity.,"Najpierw wyłącz tryb offline, aby ponownie sprawdzić łączność na żywo."
Disconnect,Rozłącz
discount,rabat
Discount %,Rabat%
Discount / Void / Return Report,Raport dotyczący rabatów/unieważnień/zwrotów
Discount Amount,Kwota rabatu
Discount limited by POS Profile,Rabat ograniczony profilem POS
Discounted Invoices,Faktury z rabatem
Discounts,Zniżki
Dismiss,Odrzuć
Download Certificate,Pobierz certyfikat
Draft,Wersja robocza
Draft invoice deleted,Wersja robocza faktury została usunięta
Draft source,Źródło projektu
Drafts,Szkice
Due {0},Termin {0}
Due Date,Termin
Duplicate,Duplikat
Edit customer,Edytuj klienta
Edit discount amount,Edytuj kwotę rabatu
Edit discount percentage,Edytuj procent rabatu
Edit Gift Application,Edytuj wniosek o prezent
Edit item name,Edytuj nazwę elementu
Edit quantity,Edytuj ilość
Edit rate,Edytuj stawkę
Edit unit of measure,Edytuj jednostkę miary
Edited,Edytowane
Employee,Pracownik
Enable background sync,Włącz synchronizację w tle
Enable Customer Display in POS Profile first.,Najpierw włącz wyświetlanie klienta w profilu POS.
Enter a PIN.,Wprowadź kod PIN.
Enter a valid grams value,Wprowadź prawidłową wartość w gramach
Enter new price list rate,Wprowadź nową stawkę cennika
Enter Quantity,Wprowadź ilość
Enter the cashier PIN to continue.,"Wprowadź PIN kasjera, aby kontynuować."
Enter the current PIN first.,Najpierw wprowadź aktualny PIN.
"Enter the current PIN, then choose a new one.","Wprowadź aktualny PIN, a następnie wybierz nowy."
Enter valid grams for scale barcode,Wprowadź prawidłowe gramy dla kodu kreskowego skali
Entries,Wpisy
Error accessing camera:,Błąd dostępu do kamery:
Error calculating prices,Błąd w obliczaniu cen
Error fetching customer balance,Błąd podczas pobierania salda klienta
Error in change calculations!,Błąd w obliczeniach zmian!
Error Loading Data,Błąd ładowania danych
Error loading invoice details,Błąd podczas ładowania szczegółów faktury
Error processing invoice,Błąd podczas przetwarzania faktury
Error processing payment,Błąd przetwarzania płatności
Error searching invoices,Błąd wyszukiwania faktur
Error submitting invoice:,Błąd podczas przesyłania faktury:
Error submitting invoice: {0},Błąd podczas przesyłania faktury: {0}
Error submitting invoice: No response from server,Błąd podczas przesyłania faktury: Brak odpowiedzi z serwera
Error updating currency,Błąd aktualizacji waluty
Error updating item details,Błąd podczas aktualizowania szczegółów przedmiotu
Est. Purchase,Szac. Zakup
Est. Value,Szac. Wartość
Event-loop lag measures how busy your browser is. Lower is better.,Opóźnienie pętli zdarzeń mierzy stopień zajętości Twojej przeglądarki. Niżej jest lepiej.
Every,Każdy
Exchange Rate,Kurs wymiany
Expand item details,Rozwiń szczegóły przedmiotu
Expected Amount (In Company Currency),Oczekiwana kwota (w walucie firmy)
Expected Cash,Oczekiwana gotówka
Expected cash on hand grouped by currency,Oczekiwana gotówka w kasie pogrupowana według waluty
Expected vs Actual,Oczekiwane vs rzeczywiste
Expense,Wydatek
Expense Account (Optional Override),Konto wydatków (opcjonalne zastąpienie)
Expense account is required.,Wymagane jest konto wydatków.
Expenses and deposits posted during this shift,Wydatki i depozyty zaksięgowane podczas tej zmiany
Expired,Wygasło
Failed to auto reconcile payments.,Nie udało się automatycznie uzgodnić płatności.
Failed to cancel cash movement,Nie udało się anulować przepływu gotówki
Failed to clear cache,Nie udało się wyczyścić pamięci podręcznej
Failed to create item,Nie udało się utworzyć elementu
Failed to create supplier,Nie udało się utworzyć dostawcy
Failed to delete cash movement,Nie udało się usunąć przepływu gotówki
Failed to generate scale barcode. Using item barcode only.,Nie udało się wygenerować kodu kreskowego wagi. Używanie wyłącznie kodu kreskowego przedmiotu.
Failed to load cash movement context.,Nie udało się załadować kontekstu przepływu gotówki.
Failed to load dashboard data.,Nie udało się załadować danych panelu.
Failed to reload invoice from server,Nie udało się ponownie załadować faktury z serwera
Failed to submit cash movement,Nie udało się przesłać ruchu gotówkowego
Failed to sync offline cash movements,Nie udało się zsynchronizować przepływów pieniężnych w trybie offline
Fast cashier actions for active shifts.,Szybkie działania kasjera dla aktywnych zmian.
Fast Moving Items,Szybko poruszające się przedmioty
Fees,Opłaty
Fetch the latest offline prerequisite updates,Pobierz najnowsze wymagane aktualizacje offline
Find a sales order quickly and load it into the current sale.,Szybko znajdź zamówienie sprzedaży i załaduj je do bieżącej sprzedaży.
Fixing payment amounts for return invoice...,Ustalanie kwot płatności dla faktury zwrotnej...
Flash Off,Błysk wyłączony
Flash On,Włącz lampę błyskową
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","W przypadku pozycji z „Pakietu produktów” z tabeli „Lista pakowania” będą brane pod uwagę numer magazynu, numer seryjny i numer partii. Jeżeli numer magazynu i nr partii są takie same dla wszystkich pozycji opakowania dla dowolnej pozycji z „Pakietu produktów”, wartości te można wprowadzić w głównej tabeli pozycji; wartości zostaną skopiowane do tabeli „Lista pakowania”."
Free,Bezpłatny
Free Qty,Bezpłatna ilość
Frequency,Częstotliwość
from,od
From Date,Od daty
Fulfillment Details,Szczegóły realizacji
Full Name,Pełne imię i nazwisko
Gain,Zysk
Generate a fresh prepaid card and start it with an opening balance.,Wygeneruj nową kartę przedpłaconą i rozpocznij ją z saldem początkowym.
Generate and install the certificate to allow fully silent printing without trust prompts.,"Wygeneruj i zainstaluj certyfikat, aby umożliwić w pełni ciche drukowanie bez monitów o zaufanie."
Generate Certificate,Wygeneruj certyfikat
Generated scale barcode: {0},Wygenerowany kod kreskowy skali: {0}
Get Payments,Otrzymuj płatności
Gift Card,Karta podarunkowa
Gift card amount must be greater than zero.,Kwota karty podarunkowej musi być większa od zera.
Gift Card Code,Kod karty podarunkowej
Gift card code is required for redemption,Do realizacji wymagany jest kod karty podarunkowej
Gift card code is required.,Wymagany jest kod karty upominkowej.
Gift card issued successfully.,Karta podarunkowa została pomyślnie wydana.
Gift card loaded successfully.,Karta podarunkowa została pomyślnie załadowana.
Gift Card Management,Zarządzanie kartami podarunkowymi
Gift card payment,Płatność kartą podarunkową
Gift card redemption requires an online connection,Realizacja karty podarunkowej wymaga połączenia internetowego
Gift card topped up successfully.,Karta podarunkowa została pomyślnie doładowana.
Gift Cards,Karty podarunkowe
Go to Frappe Desk,Idź do biura Frappe
Grand Total,Wielka suma
Gross Margin,Marża brutto
Gross Profit,Zysk brutto
Gross Sales,Sprzedaż brutto
Group not found,Nie znaleziono grupy
"Grouped controls for terminal, UI, and session settings.","Zgrupowane elementy sterujące terminalem, interfejsem użytkownika i ustawieniami sesji."
Grouped totals for each payment method and currency,Zgrupowane sumy dla każdej metody płatności i waluty
Hide,Ukryj
Hide Gift Card,Ukryj kartę podarunkową
Hide Non Essential Fields,Ukryj niepotrzebne pola
Hide quantity decimals,Ukryj miejsca po przecinku ilości
Hide search tools,Ukryj narzędzia wyszukiwania
Hide zero rated items,Ukryj elementy z oceną zerową
High,Wysoka
History,Historia
Hourly (Today),Co godzinę (dzisiaj)
How this section works,Jak działa ta sekcja
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","Jeśli nadal pozostają nieaktualne dane, otwórz Ustawienia > Offline i synchronizacja i ponownie uruchom Odbuduj dane offline w trybie online."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","Jeśli ostrzeżenie będzie się powtarzać, otwórz Ustawienia > Offline i synchronizacja, a następnie uruchom Odśwież dane offline lub Odbuduj dane offline."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,Zaimportuj certyfikat do QZ Tray i uruchom ponownie QZ Tray na każdym komputerze POS.
In,w
In stock: {0},W magazynie: {0}
Include Batch / Serial,Uwzględnij partię/serię
Include Price,Uwzględnij cenę
Increase quantity,Zwiększ ilość
IndexedDB,Indeksowana baza danych
Initial Amount,Kwota początkowa
Initialize your shift with opening balances,Zainicjuj swoją zmianę za pomocą sald początkowych
Initializing application...,Inicjowanie aplikacji...
"Inspect cache, sync, and prerequisite status","Sprawdź pamięć podręczną, synchronizację i stan wymagań wstępnych"
Installed Applications,Zainstalowane aplikacje
Insufficient stock:\n{0},Niewystarczający zapas:\n{0}
Invalid rate,Nieprawidłowa stawka
Inventory Status Report,Raport o stanie zapasów
Invoice,Faktura
Invoice {0} is Submitted,Faktura {0} została przesłana
Invoice {0} processed successfully,Faktura {0} została pomyślnie przetworzona
Invoice {0} submission failed,Nie udało się przesłać faktury {0}
Invoice {0} was already submitted,Faktura {0} została już przesłana
Invoice Adjustments,Korekty faktur
Invoice Change,Zmiana faktury
Invoice Details,Szczegóły faktury
Invoice is still in draft after background submission.,Faktura jest nadal w wersji roboczej po przesłaniu tła.
Invoice Items,Pozycje faktury
Invoice Management,Zarządzanie fakturami
Invoice Mgmt,Zarządzanie fakturami
Invoice saved offline,Faktura zapisana offline
Invoice submission failed,Nie udało się przesłać faktury
Invoice Submitted,Faktura przesłana
"Invoice value settled by loyalty points, not cash collection","Wartość faktury rozliczana punktami lojalnościowymi, a nie pobraniem gotówki"
Invoices,Faktury
Invoices already past due date,Faktury już przeterminowane
Invoices saved as POS Invoices,Faktury zapisywane jako faktury POS
Invoices still carrying balances,Faktury wciąż niosą ze sobą salda
Issue Mode,Tryb wydania
Issue New Card,Wydaj nową kartę
Issue Workflow,Przepływ pracy wydania
"Issue, top up, and check","Wydaj, doładuj i sprawdź"
Item,Przedmiot
Item / Product Sales Report,Raport sprzedaży przedmiotu/produktu
Item {0} added to invoice,Pozycja {0} dodana do faktury
Item '{0}' has no barcode,Pozycja „{0}” nie ma kodu kreskowego
Item Code,Kod przedmiotu
Item created successfully,Element został utworzony pomyślnie
Item is out of stock,Artykuł jest niedostępny
Item Name,Nazwa przedmiotu
Item not found,Nie znaleziono elementu
Item order updated,Zaktualizowano kolejność przedmiotów
Item Selector Settings,Ustawienia selektora pozycji
Items,Przedmioty
