POS Awesome,POS Hebat
Additional Discount,Diskaun Tambahan
Additional Discount %,Diskaun Tambahan %
Address Line 1,Talian Alamat 1
Address not found,Alamat tidak ditemui
Adjust the quantity or enable negative stock to continue.,Laraskan kuantiti atau dayakan stok negatif untuk diteruskan.
Adjustment,Pelarasan
After returns,Selepas pulangan
Against,Terhadap
Against Name,Terhadap Nama
Age Bracket,Kurungan Umur
All,Semua
All Caught Up!,Semua Terperangkap!
All invoices are synchronized,Semua invois disegerakkan
All pending invoices are up to date,Semua invois yang belum selesai adalah terkini
All Profiles,Semua Profil
All Synchronized,Semua Disegerakkan
All visible invoices are fully settled.,Semua invois yang kelihatan telah diselesaikan sepenuhnya.
All Warehouses,Semua Gudang
Allowed UOM is {0},UOM yang dibenarkan ialah {0}
Always fetch items from server (ignore local cache),Sentiasa ambil item daripada pelayan (abaikan cache setempat)
Amount,Jumlah
Amount already received,Jumlah yang telah diterima
Amount exceeds profile cash movement max amount.,Amaun melebihi amaun maks pergerakan tunai profil.
Amount must be greater than zero.,Jumlah mestilah lebih besar daripada sifar.
Amount received from customer,Jumlah yang diterima daripada pelanggan
Appearance and user-level preferences for the current session.,Penampilan dan pilihan peringkat pengguna untuk sesi semasa.
Applied,Digunakan
Apply,Mohon
Apply Gift Card,Gunakan Kad Hadiah
Apply Offer,Gunakan Tawaran
Apply On,Mohon Pada
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Gunakan hanya amaun yang anda mahu tebus pada invois ini. Baki yang tinggal kekal pada kad.
Apply Redemption,Mohon Penebusan
Applying,Memohon
Apps,Apl
Are you sure you want to close? All entered data will be lost.,Adakah anda pasti mahu tutup? Semua data yang dimasukkan akan hilang.
Attributes (Size/Color),Atribut (Saiz/Warna)
Auto Allocate Payment Amount,Auto Peruntukan Amaun Pembayaran
Auto Reconcile,Auto Rekonsiliasi
Auto reconciliation completed after payment submit.,Penyesuaian automatik selesai selepas pembayaran diserahkan.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Penyesuaian automatik selesai. Diperuntukkan: {0}{1}. Baki cemerlang: {0}{2}.
Available Actions,Tindakan yang Tersedia
Available QTY,QTY tersedia
Available:,Tersedia:
Average Basket,Bakul Purata
Average Bill,Bil Purata
Average Ticket,Tiket Purata
Avg Bill,Purata Bil
Avg Invoice,Purata Invois
Avg Invoice Profit,Purata Keuntungan Invois
Avg Invoice Value,Purata Nilai Invois
Avg Purchase Frequency,Purata Kekerapan Pembelian
Awesome,Hebat
Awesome Dashboard,Papan Pemuka Hebat
Awesome Dashboard is disabled for the selected POS Profile.,Papan Pemuka Hebat dilumpuhkan untuk Profil POS yang dipilih.
Awesome Dashboard is unavailable for the selected scope.,Papan Pemuka Hebat tidak tersedia untuk skop yang dipilih.
Awesome Dashboard is visible only to POS supervisors.,Papan Pemuka Hebat hanya kelihatan kepada penyelia POS.
Back,belakang
Back Office Cash Account,Akaun Tunai Back Office
Back Office Cash Account (Optional Override),Akaun Tunai Back Office (Timpa Pilihan)
Back office cash account is required.,Akaun tunai belakang pejabat diperlukan.
Back to {0},Kembali ke {0}
Background processing did not finish in time.,Pemprosesan latar belakang tidak selesai dalam masa.
Background processing failed for Invoice {0}: {1},Pemprosesan latar belakang gagal untuk Invois {0}: {1}
Background Submission Failed,Penyerahan Latar Belakang Gagal
Background sync interval (seconds),Selang penyegerakan latar belakang (saat)
Balance,Baki
Balance will be updated when connection is restored,Baki akan dikemas kini apabila sambungan dipulihkan
Balances still pending,Baki masih belum selesai
Barcode,Kod bar
Barcode / QR Ready,Kod Bar / QR Sedia
Barcode Label Printing,Percetakan Label Kod Bar
Base Paid:,Asas Dibayar:
Base Recv:,Pemulihan Pangkalan:
Base:,Pangkalan:
Basic Information,Maklumat Asas
Batch,Kumpulan
Batch Information,Maklumat Kelompok
Before any return workflow,Sebelum sebarang aliran kerja kembali
Before returns,Sebelum kembali
Best Day,Hari Terbaik
Best Seller,Best Seller
Book expense or deposit from active shift.,Perbelanjaan buku atau deposit daripada syif aktif.
Branch / Location-wise Report,Cawangan / Laporan mengikut lokasi
Brand-wise,Dari segi jenama
Breakdown,Pecahan
Browse,Semak imbas
Build Time:,Masa Binaan:
Built with Frappe,Dibina dengan Frappe
Bundle,himpunan
Buying Price,Harga Belian
Cache cleared successfully,Cache berjaya dibersihkan
Cache Usage,Penggunaan Cache
cache used,cache digunakan
Calculating...,Mengira...
Camera Access Required,Akses Kamera Diperlukan
Camera access was aborted. Please try again.,Akses kamera telah dihentikan. Sila cuba lagi.
Camera constraints not supported by your device. Trying fallback settings...,Kekangan kamera tidak disokong oleh peranti anda. Mencuba tetapan sandaran...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,Kamera sibuk atau disekat oleh apl/tab lain. Tutup apl kamera lain dan cuba lagi.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,Kebenaran kamera ditolak. Sila benarkan akses kamera dalam tetapan penyemak imbas anda dan muat semula halaman.
Camera scanner is locked until the current error is acknowledged,Pengimbas kamera dikunci sehingga ralat semasa diakui
Camera started but the video stream did not load in time. Please try again.,Kamera bermula tetapi strim video tidak dimuatkan dalam masa. Sila cuba lagi.
Cancel cash movement {0}?,Batalkan pergerakan tunai {0}?
Cancel Payment,Batalkan Pembayaran
Cancel Sale,Batalkan Jualan
Cancel Sale ?,Batalkan Jualan ?
Cancelled,Dibatalkan
Cannot add an item with zero or negative quantity.,Tidak boleh menambah item dengan kuantiti sifar atau negatif.
Cannot clear cache while offline,Tidak dapat mengosongkan cache semasa di luar talian
Cannot redeem customer credit more than invoice total,Tidak boleh menebus kredit pelanggan melebihi jumlah invois
Cannot redeem gift cards more than invoice total,Tidak boleh menebus kad hadiah melebihi jumlah invois
Cannot Save Offline Invoice:,Tidak Dapat Menyimpan Invois Luar Talian:
Cannot Save Offline Payment:,Tidak Dapat Simpan Bayaran Luar Talian:
Card,Kad
Card / Online,Kad / Dalam Talian
Card health after the last live lookup,Kesihatan kad selepas carian langsung terakhir
Cards,Kad
Cart,Troli
Cash,Tunai
Cash back to customers,Pulangan tunai kepada pelanggan
Cash Collections,Kutipan Tunai
Cash Deposit is disabled for this POS Profile.,Deposit Tunai dilumpuhkan untuk Profil POS ini.
Cash Drawer Snapshot,Gambar Laci Tunai
Cash In Hand,Wang Tunai Dalam Tangan
Cash Movement,Pergerakan Tunai
Cash movement cancelled,Pergerakan tunai dibatalkan
Cash movement deduction applied,Potongan pergerakan tunai dikenakan
Cash movement deleted,Pergerakan tunai dipadamkan
Cash movement is disabled for this POS Profile.,Pergerakan tunai dilumpuhkan untuk Profil POS ini.
Cash Movement is disabled in current POS Profile.,Pergerakan Tunai dilumpuhkan dalam Profil POS semasa.
Cash movement saved offline,Pergerakan tunai disimpan di luar talian
Cash movement submitted,Pergerakan tunai diserahkan
Cash Movements,Pergerakan Tunai
Cash payment cannot be less than invoice total when partial payment is not allowed,Bayaran tunai tidak boleh kurang daripada jumlah invois apabila pembayaran separa tidak dibenarkan
Cash returned after payment,Wang tunai dipulangkan selepas pembayaran
Cashier,Juruwang
Cashier Access,Akses Juruwang
Cashier identity and appearance preferences.,Identiti juruwang dan pilihan penampilan.
Cashier PIN,PIN juruwang
Cashier PIN saved successfully.,PIN juruwang berjaya disimpan.
Cashiers,Juruwang
Cashier-wise,Bijak juruwang
Categories,Kategori
Category,kategori
Category / Brand / Variant Report,Laporan Kategori / Jenama / Varian
Category-wise,Dari segi kategori
Category-wise Margin,Margin mengikut kategori
Certificate,Sijil
Certificate is missing or not trusted. QZ may show confirmation dialogs.,Sijil tiada atau tidak dipercayai. QZ mungkin menunjukkan dialog pengesahan.
Certificate is trusted. Silent QZ printing is active.,Sijil dipercayai. Pencetakan QZ senyap aktif.
Change,Berubah
Change allocation repaired,Perubahan peruntukan dibaiki
Change Price,Tukar Harga
Change Return,Tukar Pulangan
Change Returned,Perubahan Dikembalikan
Change terminal cashier,Tukar juruwang terminal
Charge Heads,Ketua Caj
Charges,Caj
Charges not found,Caj tidak ditemui
Check Balance,Semak Baki
Check balance for any card. Supervisors can issue and top up cards here.,Semak baki untuk sebarang kad. Penyelia boleh mengeluarkan dan menambah nilai kad di sini.
Check balance only,Semak baki sahaja
Check for new commits,Semak komitmen baharu
Check for Updates,Semak Kemas Kini
Check live balance before applying redemption,Semak baki hidup sebelum memohon penebusan
Check live balance before redemption,Semak baki hidup sebelum penebusan
Checking...,Menyemak...
Cheque/Reference Date,Tarikh Cek/Rujukan
Cheque/Reference No,Cek/No Rujukan
Choose the cashier currently operating this terminal.,Pilih juruwang yang sedang mengendalikan terminal ini.
City,Bandar
Clear,Jelas
Clear All,Kosongkan Semua
Clear all barcode items,Kosongkan semua item kod bar
Clear all purchase order items,Kosongkan semua item pesanan pembelian
Clear Search,Kosongkan Carian
Clearing local cache...,Mengosongkan cache setempat...
Click to refresh,Klik untuk memuat semula
Client CPU Lag:,Kelewatan CPU Pelanggan:
Client Memory Usage:,Penggunaan Memori Pelanggan:
Client Metrics,Metrik Pelanggan
Close about dialog,Tutup tentang dialog
Close cashier switcher,Tutup penukar juruwang
Close closing shift dialog,Tutup dialog syif penutupan
Close column selector,Tutup pemilih lajur
Close Dialog,Tutup Dialog
Close drafts dialog,Tutup dialog draf
Close invoice details dialog,Tutup dialog butiran invois
Close invoice management,Tutup pengurusan invois
Close offline invoices dialog,Tutup dialog invois luar talian
Close packing list dialog,Tutup dialog senarai pembungkusan
Close returns dialog,Tutup dialog pengembalian
Close sales orders dialog,Tutup dialog pesanan jualan
Close Scanner,Tutup Pengimbas
Close scanner dialog,Tutup dialog pengimbas
Close Settings,Tutup Tetapan
Closing Amount,Jumlah Penutupan
Closing POS Shift,Menutup Shift POS
Closing Snapshot Available,Gambar Penutup Tersedia
Code,Kod
Code scanned successfully,Kod berjaya diimbas
COGS,COGS
Collapse item details,Runtuhkan butiran item
Collected,Dikumpul
Cols,Kol
Columns,Lajur
commits,melakukan
Completed and active sales in this range,Jualan yang lengkap dan aktif dalam julat ini
Completed returns will appear here.,Pemulangan yang lengkap akan dipaparkan di sini.
Confirm,sahkan
Confirm Close,Sahkan Tutup
Confirm Mobile Number,Sahkan Nombor Mudah Alih
Confirm PIN,Sahkan PIN
Connect,Sambung
Connect printer and manage certificate,Sambungkan pencetak dan urus sijil
Connecting to QZ Tray...,Menyambung ke QZ Tray...
Connection problem while submitting invoice,Masalah sambungan semasa menyerahkan invois
Connections:,Sambungan:
Connectivity and cached prerequisite status were rechecked.,Kesambungan dan status prasyarat cache telah disemak semula.
Continue Editing,Teruskan Mengedit
Could not fetch latest balance from server,Tidak dapat mengambil baki terkini daripada pelayan
Count,Kira
Country,Negara
Coupon,kupon
Coupons,kupon
Cover,Penutup
CPU Cores:,Teras CPU:
Create,Buat
Create and load a new prepaid card,Buat dan muatkan kad prabayar baharu
Create and preload a new gift card,Buat dan pramuat kad hadiah baharu
Create Bill,Cipta Bil
Create Customer,Buat Pelanggan
Create New Item,Buat Item Baharu
Create or change your PIN,Buat atau tukar PIN anda
Create PIN,Buat PIN
Create POS Opening Shift,Buat Shift Pembukaan POS
Create Purchase Order,Buat Pesanan Belian
Create Return,Buat Pemulangan
Create return from invoice,Buat pulangan daripada invois
Create Supplier,Buat Pembekal
Credit and Output,Kredit dan Output
Credit Note,Nota Kredit
Credit Outstanding,Kredit Cemerlang
Credit sales remaining to be collected,Jualan kredit tinggal untuk dikutip
Critical,kritikal
Currency,mata wang
Current,semasa
Current Event Loop Lag:,Lag Gelung Peristiwa Semasa:
Current Month,Bulan Semasa
Current PIN,PIN semasa
Current Profile,Profil Semasa
Current redeemable value on the gift card,Nilai boleh tebus semasa pada kad hadiah
Current User,Pengguna Semasa
Custom,Adat
Custom Due Days,Hari Tersuai Tertunggak
Custom items per page,Item tersuai setiap halaman
Customer,Pelanggan
Customer already selected,Pelanggan sudah memilih
Customer Balance,Baki Pelanggan
Customer balance unavailable offline,Baki pelanggan tidak tersedia di luar talian
Customer created successfully.,Pelanggan berjaya dibuat.
Customer creation failed.,Penciptaan pelanggan gagal.
Customer Details,Butiran Pelanggan
Customer display channel is missing,Saluran paparan pelanggan tiada
Customer display was blocked. Please allow pop-ups for this site.,Paparan pelanggan telah disekat. Sila benarkan pop timbul untuk tapak ini.
Customer group is required,Kumpulan pelanggan diperlukan
Customer is required to add payment,Pelanggan dikehendaki menambah bayaran
Customer Name is required,Nama Pelanggan diperlukan
Customer not selected,Pelanggan tidak dipilih
Customer Report,Laporan Pelanggan
Customer saved offline,Pelanggan disimpan di luar talian
Customer Screen,Skrin Pelanggan
Customer territory is required,Wilayah pelanggan diperlukan
Customer updated successfully.,Pelanggan berjaya dikemas kini.
Customer-facing tools and printer setup.,Alatan yang dihadapi pelanggan dan persediaan pencetak.
Customers,Pelanggan
Customers not found,Pelanggan tidak ditemui
Daily cashier actions without scrolling.,Tindakan juruwang harian tanpa menatal.
Daily Sales,Jualan Harian
Daily Sales Summary,Ringkasan Jualan Harian
Data loaded in form. Review and submit.,Data dimuatkan dalam bentuk. Semak dan serahkan.
Database Health,Kesihatan Pangkalan Data
Database health affects overall system speed and reliability.,Kesihatan pangkalan data mempengaruhi kelajuan dan kebolehpercayaan sistem secara keseluruhan.
Database Info,Maklumat Pangkalan Data
Date,tarikh
Day ?,Hari ?
days,hari
Day-wise (MTD),Dari segi hari (MTD)
Day-wise Movement,Pergerakan Harian
Dead Stock,Stok Mati
Dead Stock Items,Barang Stok Mati
Decrease quantity,Kurangkan kuantiti
Default,Lalai
Default:,Lalai:
Delete,Padam
Delete cancelled cash movement {0}?,Padamkan pergerakan tunai yang dibatalkan {0}?
Delete Draft,Padamkan Draf
Delete draft invoice,Padamkan draf invois
Delete draft invoice {0}?,Padamkan draf invois {0}?
Delete Invoice,Padamkan Invois
Delete offline invoice,Padamkan invois luar talian
Delivered,Dihantar
Delivery Charges,Caj Penghantaran
Delivery Information,Maklumat Penghantaran
Delivery Note {0} created,Nota Penghantaran {0} dibuat
Delivery note created,Nota penghantaran dibuat
Deployed Bundle:,Himpunan Digunakan:
Deposit,Deposit
Description,Penerangan
Detailed Supplier Breakdown,Pecahan Pembekal Terperinci
Detecting formats:,Mengesan format:
Device Memory:,Memori Peranti:
Difference,Perbezaan
Difference (In Company Currency),Perbezaan (Dalam Mata Wang Syarikat)
Disable offline mode first to recheck live connectivity.,Lumpuhkan mod luar talian dahulu untuk menyemak semula kesambungan langsung.
Disconnect,Putuskan sambungan
discount,diskaun
Discount %,% diskaun
Discount / Void / Return Report,Laporan Diskaun / Tidak Sah / Pemulangan
Discount Amount,Jumlah Diskaun
Discount limited by POS Profile,Diskaun terhad oleh Profil POS
Discounted Invoices,Invois Diskaun
Discounts,Diskaun
Dismiss,Tolak
Download Certificate,Muat turun Sijil
Draft,Draf
Draft invoice deleted,Invois draf dipadamkan
Draft source,Sumber draf
Drafts,Draf
Due {0},Tarikh {0}
Due Date,Tarikh Akhir
Duplicate,Pendua
Edit customer,Edit pelanggan
Edit discount amount,Edit jumlah diskaun
Edit discount percentage,Edit peratusan diskaun
Edit Gift Application,Edit Aplikasi Hadiah
Edit item name,Edit nama item
Edit quantity,Edit kuantiti
Edit rate,Kadar edit
Edit unit of measure,Edit unit ukuran
Edited,disunting
Employee,Pekerja
Enable background sync,Dayakan penyegerakan latar belakang
Enable Customer Display in POS Profile first.,Dayakan Paparan Pelanggan dalam Profil POS dahulu.
Enter a PIN.,Masukkan PIN.
Enter a valid grams value,Masukkan nilai gram yang sah
Enter new price list rate,Masukkan kadar senarai harga baharu
Enter Quantity,Masukkan Kuantiti
Enter the cashier PIN to continue.,Masukkan PIN juruwang untuk meneruskan.
Enter the current PIN first.,Masukkan PIN semasa dahulu.
"Enter the current PIN, then choose a new one.","Masukkan PIN semasa, kemudian pilih yang baharu."
Enter valid grams for scale barcode,Masukkan gram yang sah untuk kod bar skala
Entries,entri
Error accessing camera:,Ralat mengakses kamera:
Error calculating prices,Ralat mengira harga
Error fetching customer balance,Ralat semasa mengambil baki pelanggan
Error in change calculations!,Ralat dalam pengiraan perubahan!
Error Loading Data,Ralat Memuatkan Data
Error loading invoice details,Ralat memuatkan butiran invois
Error processing invoice,Ralat memproses invois
Error processing payment,Ralat memproses pembayaran
Error searching invoices,Ralat mencari invois
Error submitting invoice:,Ralat menghantar invois:
Error submitting invoice: {0},Ralat menyerahkan invois: {0}
Error submitting invoice: No response from server,Ralat menghantar invois: Tiada respons daripada pelayan
Error updating currency,Ralat semasa mengemas kini mata wang
Error updating item details,Ralat semasa mengemas kini butiran item
Est. Purchase,Anggaran Belian
Est. Value,Anggaran Nilai
Event-loop lag measures how busy your browser is. Lower is better.,Jeda gelung acara mengukur betapa sibuknya penyemak imbas anda. Lebih rendah adalah lebih baik.
Every,Setiap
Exchange Rate,Kadar Pertukaran
Expand item details,Kembangkan butiran item
Expected Amount (In Company Currency),Amaun Jangkaan (Dalam Mata Wang Syarikat)
Expected Cash,Tunai yang Dijangka
Expected cash on hand grouped by currency,Jangkaan tunai di tangan dikumpulkan mengikut mata wang
Expected vs Actual,Dijangka vs Sebenar
Expense,Perbelanjaan
Expense Account (Optional Override),Akaun Perbelanjaan (Timpa Pilihan)
Expense account is required.,Akaun perbelanjaan diperlukan.
Expenses and deposits posted during this shift,Perbelanjaan dan deposit dicatatkan semasa syif ini
Expired,Tamat tempoh
Failed to auto reconcile payments.,Gagal menyelaraskan pembayaran secara automatik.
Failed to cancel cash movement,Gagal membatalkan pergerakan tunai
Failed to clear cache,Gagal mengosongkan cache
Failed to create item,Gagal membuat item
Failed to create supplier,Gagal mencipta pembekal
Failed to delete cash movement,Gagal memadamkan pergerakan tunai
Failed to generate scale barcode. Using item barcode only.,Gagal menjana kod bar skala. Menggunakan kod bar item sahaja.
Failed to load cash movement context.,Gagal memuatkan konteks pergerakan tunai.
Failed to load dashboard data.,Gagal memuatkan data papan pemuka.
Failed to reload invoice from server,Gagal memuatkan semula invois daripada pelayan
Failed to submit cash movement,Gagal menyerahkan pergerakan tunai
Failed to sync offline cash movements,Gagal menyegerakkan pergerakan tunai luar talian
Fast cashier actions for active shifts.,Tindakan juruwang pantas untuk syif aktif.
Fast Moving Items,Item Bergerak Cepat
Fees,Yuran
Fetch the latest offline prerequisite updates,Dapatkan kemas kini prasyarat luar talian terkini
Find a sales order quickly and load it into the current sale.,Cari pesanan jualan dengan cepat dan muatkannya ke dalam jualan semasa.
Fixing payment amounts for return invoice...,Menetapkan jumlah pembayaran untuk invois pemulangan...
Flash Off,Denyar Mati
Flash On,Denyar Hidup
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","Untuk item 'Product Bundle', Gudang, No Siri dan No Batch akan dipertimbangkan dari jadual 'Senarai Pembungkusan'. Jika Gudang dan No Batch adalah sama untuk semua item pembungkusan untuk mana-mana item 'Product Bundle', nilai tersebut boleh dimasukkan dalam jadual Item utama; nilai akan disalin ke jadual 'Senarai Pembungkusan'."
Free,Percuma
Free Qty,Kuantiti Percuma
Frequency,Kekerapan
from,daripada
From Date,Dari Tarikh
Fulfillment Details,Butiran Pemenuhan
Full Name,Nama Penuh
Gain,Keuntungan
Generate a fresh prepaid card and start it with an opening balance.,Hasilkan kad prabayar baharu dan mulakannya dengan baki pembukaan.
Generate and install the certificate to allow fully silent printing without trust prompts.,Jana dan pasang sijil untuk membenarkan pencetakan senyap sepenuhnya tanpa gesaan amanah.
Generate Certificate,Jana Sijil
Generated scale barcode: {0},Kod bar skala yang dijana: {0}
Get Payments,Dapatkan Pembayaran
Gift Card,Kad Hadiah
Gift card amount must be greater than zero.,Jumlah kad hadiah mestilah lebih besar daripada sifar.
Gift Card Code,Kod Kad Hadiah
Gift card code is required for redemption,Kod kad hadiah diperlukan untuk penebusan
Gift card code is required.,Kod kad hadiah diperlukan.
Gift card issued successfully.,Kad hadiah berjaya dikeluarkan.
Gift card loaded successfully.,Kad hadiah berjaya dimuatkan.
Gift Card Management,Pengurusan Kad Hadiah
Gift card payment,Pembayaran kad hadiah
Gift card redemption requires an online connection,Penebusan kad hadiah memerlukan sambungan dalam talian
Gift card topped up successfully.,Kad hadiah berjaya ditambah nilai.
Gift Cards,Kad Hadiah
Go to Frappe Desk,Pergi ke Frappe Desk
Grand Total,Jumlah Besar
Gross Margin,Margin Kasar
Gross Profit,Keuntungan Kasar
Gross Sales,Jualan Kasar
Group not found,Kumpulan tidak ditemui
"Grouped controls for terminal, UI, and session settings.","Kawalan berkumpulan untuk tetapan terminal, UI dan sesi."
Grouped totals for each payment method and currency,Jumlah terkumpul untuk setiap kaedah pembayaran dan mata wang
Hide,Sembunyi
Hide Gift Card,Sembunyikan Kad Hadiah
Hide Non Essential Fields,Sembunyikan Medan Bukan Penting
Hide quantity decimals,Sembunyikan perpuluhan kuantiti
Hide search tools,Sembunyikan alat carian
Hide zero rated items,Sembunyikan item berkadar sifar
High,tinggi
History,Sejarah
Hourly (Today),Setiap Jam (Hari ini)
How this section works,Bagaimana bahagian ini berfungsi
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","Jika data basi kekal, buka Tetapan > Luar Talian & Segerakan dan jalankan Bina Semula Data Luar Talian sekali lagi semasa dalam talian."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","Jika amaran berterusan, buka Tetapan > Luar Talian & Segerakan, kemudian jalankan Segar Semula Data Luar Talian atau Bina Semula Data Luar Talian."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,Import sijil ke dalam QZ Tray dan mulakan semula QZ Tray pada setiap mesin POS.
In,Dalam
In stock: {0},Dalam stok: {0}
Include Batch / Serial,Sertakan Kelompok / Bersiri
Include Price,Sertakan Harga
Increase quantity,Tingkatkan kuantiti
IndexedDB,IndexedDB
Initial Amount,Jumlah Permulaan
Initialize your shift with opening balances,Mulakan peralihan anda dengan baki pembukaan
Initializing application...,Memulakan permohonan...
"Inspect cache, sync, and prerequisite status","Periksa cache, penyegerakan dan status prasyarat"
Installed Applications,Aplikasi yang Dipasang
Insufficient stock:\n{0},Stok tidak mencukupi:\n{0}
Invalid rate,Kadar tidak sah
Inventory Status Report,Laporan Status Inventori
Invoice,Invois
Invoice {0} is Submitted,Invois {0} telah diserahkan
Invoice {0} processed successfully,Invois {0} berjaya diproses
Invoice {0} submission failed,Penyerahan invois {0} gagal
Invoice {0} was already submitted,Invois {0} telah pun diserahkan
Invoice Adjustments,Pelarasan Invois
Invoice Change,Perubahan Invois
Invoice Details,Butiran Invois
Invoice is still in draft after background submission.,Invois masih dalam draf selepas penyerahan latar belakang.
Invoice Items,Item Invois
Invoice Management,Pengurusan Invois
Invoice Mgmt,Invois Mgmt
Invoice saved offline,Invois disimpan di luar talian
Invoice submission failed,Penyerahan invois gagal
Invoice Submitted,Invois Dihantar
"Invoice value settled by loyalty points, not cash collection","Nilai invois diselesaikan dengan mata kesetiaan, bukan kutipan tunai"
Invoices,Invois
Invoices already past due date,Invois sudah melepasi tarikh akhir
Invoices saved as POS Invoices,Invois disimpan sebagai Invois POS
Invoices still carrying balances,Invois masih membawa baki
Issue Mode,Mod Isu
Issue New Card,Keluarkan Kad Baharu
Issue Workflow,Aliran Kerja Isu
"Issue, top up, and check","Isu, tambah nilai dan semak"
Item,item
Item / Product Sales Report,Laporan Jualan Item / Produk
Item {0} added to invoice,Item {0} ditambahkan pada invois
Item '{0}' has no barcode,Item '{0}' tidak mempunyai kod bar
Item Code,Kod Barang
Item created successfully,Item berjaya dibuat
Item is out of stock,Barang sudah kehabisan stok
Item Name,Nama Item
Item not found,Item tidak ditemui
Item order updated,Pesanan item dikemas kini
Item Selector Settings,Tetapan Pemilih Item
Items,barang
Items added in POS will appear here automatically.,Item yang ditambahkan dalam POS akan muncul di sini secara automatik.
Items added to invoice,Item ditambahkan pada invois
Items per page,Item setiap halaman
Items Sold,Barangan Dijual
Items/Invoice,Item/Invois
Item-wise Profitability,Keuntungan dari segi item
Journal Entry,Catatan Jurnal
json,json
Just now,tadi
Keep offline prerequisites healthy and recover stale data safely.,Pastikan prasyarat luar talian sihat dan pulihkan data basi dengan selamat.
Labels,Label
"Language, theme, terminal tools, and session controls.","Bahasa, tema, alat terminal dan kawalan sesi."
Last,Terakhir
Last 14 Days (Paid vs Pending),14 Hari Terakhir (Dibayar lwn Belum Selesai)
Last 14 Days Activity,Aktiviti 14 Hari Terakhir
Last 14 Days Gross Profit,Keuntungan Kasar 14 Hari Terakhir
Last 14 Days Purchases,Pembelian 14 Hari Terakhir
Last 14 Days Tax/Charges,Cukai/Caj 14 Hari Terakhir
Last sync:,Penyegerakan terakhir:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},Penyegerakan terakhir: {0} | ok: {1} | gagal: {2} | dilangkau: {3}
