POS Awesome,POS Гайхалтай
All visible invoices are fully settled.,Бүх харагдахуйц нэхэмжлэхийг бүрэн барагдуулсан.
All Warehouses,Бүх агуулахууд
Allowed UOM is {0},Зөвшөөрөгдсөн UOM нь {0}
Always fetch items from server (ignore local cache),Үргэлж серверээс зүйлсийг татаж авах (локал кэшийг үл тоомсорлох)
Amount,Дүн
Amount already received,Аль хэдийн хүлээн авсан дүн
Amount exceeds profile cash movement max amount.,Дүн нь профайлын бэлэн мөнгөний хөдөлгөөний дээд хэмжээнээс хэтэрсэн байна.
Amount must be greater than zero.,Дүн нь тэгээс их байх ёстой.
Amount received from customer,Үйлчлүүлэгчээс хүлээн авсан дүн
Appearance and user-level preferences for the current session.,Одоогийн сессийн харагдах байдал болон хэрэглэгчийн түвшний тохиргоо.
Applied,Хэрэглэсэн
Apply,Өргөдөл гаргах
Apply Gift Card,Бэлгийн карт ашиглах
Apply Offer,Санал ашиглах
Apply On,Өргөдөл гаргах
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Энэ нэхэмжлэх дээр зөвхөн авахыг хүссэн дүнгээ оруулна уу. Үлдсэн үлдэгдэл картанд үлдэнэ.
Apply Redemption,Эргүүлэх хүсэлт гаргах
Applying,Өргөдөл гаргаж байна
Apps,Програмууд
Are you sure you want to close? All entered data will be lost.,Та хаахдаа итгэлтэй байна уу? Оруулсан бүх өгөгдөл устах болно.
Attributes (Size/Color),Шинж чанарууд (Хэмжээ/Өнгө)
Auto Allocate Payment Amount,Төлбөрийн хэмжээг автоматаар хуваарилах
Auto Reconcile,Автомат эвлэрүүлэх
Auto reconciliation completed after payment submit.,Төлбөрийг оруулсны дараа автомат тохирол дууссан.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Автомат тохируулга дууссан. Хуваарилагдсан: {0}{1}. Үлдсэн: {0}{2}.
Available Actions,Боломжтой үйлдлүүд
Available QTY,Боломжтой QTY
Available:,Боломжтой:
Average Basket,Дундаж сагс
Average Bill,Дундаж Билл
Average Ticket,Дундаж тасалбар
Avg Bill,Дундаж Билл
Avg Invoice,Дундаж нэхэмжлэх
Avg Invoice Profit,Нэхэмжлэлийн дундаж ашиг
Avg Invoice Value,Нэхэмжлэхийн дундаж үнэ
Avg Purchase Frequency,Худалдан авалтын дундаж давтамж
Awesome,Гайхалтай
Awesome Dashboard,Гайхалтай хяналтын самбар
Awesome Dashboard is disabled for the selected POS Profile.,Сонгогдсон ПОС профайлын хувьд Гайхалтай хяналтын самбарыг идэвхгүй болгосон.
Awesome Dashboard is unavailable for the selected scope.,Гайхалтай хяналтын самбар нь сонгосон хүрээний хувьд боломжгүй байна.
Awesome Dashboard is visible only to POS supervisors.,Гайхалтай хяналтын самбар нь зөвхөн ПОС-ын удирдагчдад харагдана.
Back,Буцах
Back Office Cash Account,Back Office бэлэн мөнгөний данс
Back Office Cash Account (Optional Override),Back Office Cash Account (Заавал биш дарах)
Back office cash account is required.,Арын оффисын бэлэн мөнгөний данс шаардлагатай.
Back to {0},{0} руу буцах
Background processing did not finish in time.,Суурь боловсруулалт хугацаандаа дуусаагүй.
Background processing failed for Invoice {0}: {1},{0} нэхэмжлэхийн арын боловсруулалт амжилтгүй боллоо: {1}
Background Submission Failed,Суурь мэдээлэл илгээж чадсангүй
Background sync interval (seconds),Арын синхрончлолын интервал (секунд)
Balance,Тэнцвэр
Balance will be updated when connection is restored,Холболт сэргээгдэх үед үлдэгдэл шинэчлэгдэх болно
Balances still pending,Үлдэгдэл хүлээгдэж байна
Barcode,Бар код
Barcode / QR Ready,Бар код / QR бэлэн
Barcode Label Printing,Бар код шошго хэвлэх
Base Paid:,Үндсэн төлбөр:
Base Recv:,Үндсэн Recv:
Base:,Үндсэн:
Basic Information,Үндсэн мэдээлэл
Batch,Багц
Batch Information,Багцын мэдээлэл
Before any return workflow,Аливаа буцах ажлын урсгалын өмнө
Before returns,Буцахаас өмнө
Best Day,Шилдэг өдөр
Best Seller,Шилдэг борлуулагч
Book expense or deposit from active shift.,Идэвхтэй ээлжийн төлбөр эсвэл хадгаламжийн төлбөр.
Branch / Location-wise Report,Салбар / Байршлын талаархи тайлан
Brand-wise,Брэндийн хувьд
Breakdown,Эвдрэл
Browse,Үзэх
Build Time:,Бүтээх хугацаа:
Built with Frappe,Frappe-ээр бүтээгдсэн
Bundle,Багц
Buying Price,Худалдан авах үнэ
Cache cleared successfully,Кэшийг амжилттай арилгалаа
Cache Usage,Кэшийн хэрэглээ
cache used,кэш ашигласан
Calculating...,Тооцож байна...
Camera Access Required,Камерт хандах шаардлагатай
Camera access was aborted. Please try again.,Камерын хандалтыг зогсоосон. Дахин оролдоно уу.
Camera constraints not supported by your device. Trying fallback settings...,Камерын хязгаарлалтыг таны төхөөрөмж дэмждэггүй. Буцах тохиргоог оролдож байна...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,Камер завгүй эсвэл өөр апп/таб блоклосон байна. Бусад камерын програмуудыг хаагаад дахин оролдоно уу.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,Камерын зөвшөөрлийг үгүйсгэв. Хөтөчийнхөө тохиргоонд камерын хандалтыг зөвшөөрч хуудсыг дахин сэргээнэ үү.
Camera scanner is locked until the current error is acknowledged,Одоогийн алдааг хүлээн зөвшөөрөх хүртэл камерын сканнер түгжигдсэн байна
Camera started but the video stream did not load in time. Please try again.,Камер эхэлсэн боловч видеоны урсгал цаг хугацаандаа ачаалагдаагүй. Дахин оролдоно уу.
Cancel cash movement {0}?,Бэлэн мөнгөний шилжүүлгийг {0} цуцлах уу?
Cancel Payment,Төлбөрийг цуцлах
Cancel Sale,Борлуулалтыг цуцлах
Cancel Sale ?,Хямдралыг цуцлах уу?
Cancelled,Цуцлагдсан
Cannot add an item with zero or negative quantity.,Тэг эсвэл сөрөг тоо хэмжээ бүхий зүйлийг нэмэх боломжгүй.
Cannot clear cache while offline,Офлайн үед кэшийг цэвэрлэх боломжгүй
Cannot redeem customer credit more than invoice total,Нэхэмжлэлийн нийт дүнгээс илүү харилцагчийн зээлийг эргүүлэн авах боломжгүй
Cannot redeem gift cards more than invoice total,Нэхэмжлэлийн нийт хэмжээнээс илүү бэлгийн картыг зарцуулах боломжгүй
Cannot Save Offline Invoice:,Офлайн нэхэмжлэхийг хадгалах боломжгүй:
Cannot Save Offline Payment:,Офлайн төлбөрийг хадгалах боломжгүй:
Card,Карт
Card / Online,Карт / Онлайн
Card health after the last live lookup,Сүүлчийн шууд хайлтын дараа картын эрүүл мэнд
Cards,Картууд
Cart,Сагс
Cash,Бэлэн мөнгө
Cash back to customers,Үйлчлүүлэгчдэд бэлэн мөнгө буцааж өгөх
Cash Collections,Бэлэн мөнгөний цуглуулга
Cash Deposit is disabled for this POS Profile.,Энэ ПОС профайлд бэлэн мөнгөний хадгаламж идэвхгүй байна.
Cash Drawer Snapshot,Бэлэн мөнгөний шүүгээний агшин зураг
Cash In Hand,Бэлэн мөнгө
Cash Movement,Бэлэн мөнгөний хөдөлгөөн
Cash movement cancelled,Бэлэн мөнгөний хөдөлгөөнийг цуцалсан
Cash movement deduction applied,Бэлэн мөнгөний шилжүүлгийн суутгал ашигласан
Cash movement deleted,Бэлэн мөнгөний хөдөлгөөнийг устгасан
Cash movement is disabled for this POS Profile.,Энэ ПОС профайлд бэлэн мөнгөний хөдөлгөөнийг идэвхгүй болгосон.
Cash Movement is disabled in current POS Profile.,Одоогийн ПОС профайл дээр бэлэн мөнгөний хөдөлгөөнийг идэвхгүй болгосон.
Cash movement saved offline,Бэлэн мөнгөний хөдөлгөөнийг офлайнаар хадгалсан
Cash movement submitted,Бэлэн мөнгөний хөдөлгөөнийг илгээсэн
Cash Movements,Бэлэн мөнгөний хөдөлгөөн
Cash payment cannot be less than invoice total when partial payment is not allowed,Хэсэгчилсэн төлбөрийг зөвшөөрөхгүй тохиолдолд бэлэн мөнгөний төлбөр нэхэмжлэхийн нийт дүнгээс бага байж болохгүй
Cash returned after payment,Төлбөрийн дараа бэлэн мөнгө буцааж өгсөн
Cashier,Кассчин
Cashier Access,Кассчин нэвтрэх
Cashier identity and appearance preferences.,"Кассын хувийн байдал, гадаад төрх байдлын сонголт."
Cashier PIN,Кассчин ПИН
Cashier PIN saved successfully.,Кассын ПИН-г амжилттай хадгаллаа.
Cashiers,Кассчид
Cashier-wise,Кассын хувьд
Categories,Ангилал
Category,Ангилал
Category / Brand / Variant Report,Ангилал / Брэнд / Хувилбарын тайлан
Category-wise,Ангилалаар
Category-wise Margin,Ангилалаар нь маржин
Certificate,Сертификат
Certificate is missing or not trusted. QZ may show confirmation dialogs.,Сертификат байхгүй эсвэл итгэлгүй байна. QZ нь баталгаажуулах харилцах цонхыг харуулж болно.
Certificate is trusted. Silent QZ printing is active.,Сертификат итгэмжлэгдсэн. Чимээгүй QZ хэвлэлт идэвхтэй байна.
Change,Өөрчлөх
Change allocation repaired,Хуваарилалтын өөрчлөлтийг зассан
Change Price,Үнэ өөрчлөх
Change Return,Буцах хугацааг өөрчлөх
Change Returned,Өөрчлөлт буцаагдсан
Change terminal cashier,Терминал кассыг солих
Charge Heads,Цэнэглэх толгой
Charges,Төлбөр
Charges not found,Төлбөр олдсонгүй
Check Balance,Үлдэгдэл шалгах
Check balance for any card. Supervisors can issue and top up cards here.,"Аливаа картын үлдэгдлийг шалгана уу. Хянагч нар энд карт гаргаж, цэнэглэх боломжтой."
Check balance only,Зөвхөн үлдэгдлийг шалгана уу
Check for new commits,Шинэ амлалтуудыг шалгана уу
Check for Updates,Шинэчлэлтүүдийг шалгана уу
Check live balance before applying redemption,Эргүүлэхээс өмнө амьд үлдэгдлийг шалгана уу
Check live balance before redemption,Эргүүлэхээсээ өмнө амьд үлдэгдлийг шалгана уу
Checking...,Шалгаж байна...
Cheque/Reference Date,Чек/лавлагааны огноо
Cheque/Reference No,Чек/лавлагааны дугаар
Choose the cashier currently operating this terminal.,Энэ терминалыг ажиллуулж байгаа кассчинаа сонгоно уу.
City,Хот
Clear,Тодорхой
Clear All,Бүгдийг арилгах
Clear all barcode items,Баркодын бүх зүйлийг арилгана уу
Clear all purchase order items,Худалдан авах захиалгын бүх зүйлийг арилгана уу
Clear Search,Хайлтыг арилгах
Clearing local cache...,Орон нутгийн кэшийг цэвэрлэж байна...
Click to refresh,Сэргээх бол товшино уу
Client CPU Lag:,Үйлчлүүлэгчийн CPU-ийн хоцрогдол:
Client Memory Usage:,Үйлчлүүлэгчийн санах ойн хэрэглээ:
Client Metrics,Үйлчлүүлэгчийн хэмжүүр
Close about dialog,Харилцах цонхыг хаах
Close cashier switcher,Касс солигчийг хаа
Close closing shift dialog,Хаах ээлжийн харилцах цонхыг хаах
Close column selector,Багана сонгогчийг хаах
Close Dialog,Харилцах цонхыг хаах
Close drafts dialog,Ноорог харилцах цонхыг хаах
Close invoice details dialog,Нэхэмжлэлийн дэлгэрэнгүй харилцах цонхыг хаах
Close invoice management,Нэхэмжлэлийн менежментийг хаах
Close offline invoices dialog,Офлайн нэхэмжлэх харилцах цонхыг хаах
Close packing list dialog,Сав баглаа боодлын жагсаалтын харилцах цонхыг хаах
Close returns dialog,Буцах харилцах цонхыг хаах
Close sales orders dialog,Борлуулалтын захиалгын харилцах цонхыг хаах
Close Scanner,Сканнерыг хаах
Close scanner dialog,Сканнерын харилцах цонхыг хаах
Close Settings,Тохиргоог хаах
Closing Amount,Хаалтын дүн
Closing POS Shift,POS Shift-ийг хааж байна
Closing Snapshot Available,Хаалтын агшин зураг боломжтой
Code,Код
Code scanned successfully,Кодыг амжилттай скан хийв
COGS,COGS
Collapse item details,Зүйлийн дэлгэрэнгүйг хумих
Collected,Цуглуулсан
Cols,Колс
Columns,Багана
commits,үйлддэг
Completed and active sales in this range,"Энэ хүрээнд дууссан, идэвхтэй борлуулалт"
Completed returns will appear here.,Дууссан өгөгдлүүд энд харагдах болно.
Confirm,Баталгаажуулах
Confirm Close,Хаахыг баталгаажуулна уу
Confirm Mobile Number,Гар утасны дугаараа баталгаажуулна уу
Confirm PIN,ПИН кодоо баталгаажуулна уу
Connect,Холбох
Connect printer and manage certificate,"Принтерийг холбож, гэрчилгээг удирдах"
Connecting to QZ Tray...,QZ тавиуртай холбогдож байна...
Connection problem while submitting invoice,Нэхэмжлэх илгээх явцад холболтын асуудал гарлаа
Connections:,Холболтууд:
Connectivity and cached prerequisite status were rechecked.,Холболт болон кэшийн урьдчилсан нөхцөл байдлыг дахин шалгасан.
Continue Editing,Үргэлжлүүлэн засварлах
Could not fetch latest balance from server,Серверээс хамгийн сүүлийн үлдэгдлийг авч чадсангүй
Count,Тоол
Country,Улс
Coupon,Купон
Coupons,Купон
Cover,Хавтас
CPU Cores:,CPU-ийн цөм:
Create,Үүсгэх
Create and load a new prepaid card,"Урьдчилсан төлбөрт шинэ карт үүсгэж, ачаална уу"
Create and preload a new gift card,"Шинэ бэлгийн карт үүсгэж, урьдчилан ачаална уу"
Create Bill,Билл үүсгэх
Create Customer,Хэрэглэгч үүсгэх
Create New Item,Шинэ зүйл үүсгэх
Create or change your PIN,ПИН кодоо үүсгэх эсвэл өөрчлөх
Create PIN,ПИН код үүсгэх
Create POS Opening Shift,POS Opening Shift үүсгэх
Create Purchase Order,Худалдан авах захиалга үүсгэх
Create Return,Буцааж үүсгэх
Create return from invoice,Нэхэмжлэхээс буцаалт үүсгэх
Create Supplier,Нийлүүлэгч үүсгэх
Credit and Output,Зээл ба гарц
Credit Note,Зээлийн тэмдэглэл
Credit Outstanding,Зээлийн үлдэгдэл
Credit sales remaining to be collected,Зээлийн борлуулалтыг цуглуулах шаардлагатай
Critical,Шүүмжтэй
Currency,Валют
Current,Одоогийн
Current Event Loop Lag:,Одоогийн үйл явдлын давталтын хоцрогдол:
Current Month,Одоогийн сар
Current PIN,Одоогийн ПИН
Current Profile,Одоогийн профайл
Current redeemable value on the gift card,Бэлгийн карт дээрх одоогийн эргүүлэн авах үнэ
Current User,Одоогийн хэрэглэгч
Custom,Захиалгат
Custom Due Days,Захиалгат төлөх өдрүүд
Custom items per page,Хуудас бүрт захиалгат зүйлс
Customer,Хэрэглэгч
Customer already selected,Хэрэглэгч аль хэдийн сонгогдсон
Customer Balance,Хэрэглэгчийн үлдэгдэл
Customer balance unavailable offline,Хэрэглэгчийн үлдэгдлийг офлайнаар ашиглах боломжгүй
Customer created successfully.,Үйлчлүүлэгчийг амжилттай үүсгэсэн.
Customer creation failed.,Хэрэглэгчийг үүсгэж чадсангүй.
Customer Details,Хэрэглэгчийн мэдээлэл
Customer display channel is missing,Хэрэглэгчийн харуулах суваг байхгүй байна
Customer display was blocked. Please allow pop-ups for this site.,Хэрэглэгчийн дэлгэцийг хаасан. Энэ сайтын попап цонхыг зөвшөөрнө үү.
Customer group is required,Хэрэглэгчийн бүлэг шаардлагатай
Customer is required to add payment,Хэрэглэгч төлбөр нэмэх шаардлагатай
Customer Name is required,Хэрэглэгчийн нэр шаардлагатай
Customer not selected,Хэрэглэгч сонгогдоогүй байна
Customer Report,Хэрэглэгчийн тайлан
Customer saved offline,Харилцагчийг офлайнаар хадгалсан
Customer Screen,Хэрэглэгчийн дэлгэц
Customer territory is required,Үйлчлүүлэгчийн нутаг дэвсгэр шаардлагатай
Customer updated successfully.,Харилцагчийг амжилттай шинэчилсэн.
Customer-facing tools and printer setup.,Хэрэглэгчдэд зориулсан хэрэгслүүд болон принтерийн тохиргоо.
Customers,Үйлчлүүлэгчид
Customers not found,Үйлчлүүлэгч олдсонгүй
Daily cashier actions without scrolling.,Гүйлгэхгүйгээр кассын өдөр тутмын үйлдэл.
Daily Sales,Өдөр тутмын борлуулалт
Daily Sales Summary,Өдөр тутмын борлуулалтын хураангуй
Data loaded in form. Review and submit.,"Өгөгдөл хэлбэрээр ачаалагдсан. Шалгаж, илгээнэ үү."
Database Health,Өгөгдлийн сангийн эрүүл мэнд
Database health affects overall system speed and reliability.,"Өгөгдлийн сангийн эрүүл мэнд нь системийн ерөнхий хурд, найдвартай байдалд нөлөөлдөг."
Database Info,Өгөгдлийн сангийн мэдээлэл
Date,Огноо
Day ?,Өдөр?
days,өдрүүд
Day-wise (MTD),Өдрийн байдлаар (MTD)
Day-wise Movement,Өдрийн хөдөлгөөн
Dead Stock,Үхсэн хувьцаа
Dead Stock Items,Үхсэн хувьцааны эд зүйлс
Decrease quantity,Тоо хэмжээг багасгах
Default,Өгөгдмөл
Default:,Өгөгдмөл:
Delete,Устгах
Delete cancelled cash movement {0}?,Цуцлагдсан бэлэн мөнгөний гүйлгээг {0} устгах уу?
Delete Draft,Ноорог устгах
Delete draft invoice,Нэхэмжлэлийн төслийг устгах
Delete draft invoice {0}?,{0} нэхэмжлэхийн ноорог устгах уу?
Delete Invoice,Нэхэмжлэхийг устгах
Delete offline invoice,Офлайн нэхэмжлэхийг устгах
Delivered,Хүргэсэн
Delivery Charges,Хүргэлтийн хураамж
Delivery Information,Хүргэлтийн мэдээлэл
Delivery Note {0} created,Хүргэлтийн тэмдэглэл {0} үүсгэсэн
Delivery note created,Хүргэлтийн тэмдэглэл үүсгэсэн
Deployed Bundle:,Байршуулсан багц:
Deposit,Хадгаламж
Description,Тодорхойлолт
Detailed Supplier Breakdown,Нийлүүлэгчийн нарийвчилсан задаргаа
Detecting formats:,Форматуудыг илрүүлэх:
Device Memory:,Төхөөрөмжийн санах ой:
Difference,Ялгаа
Difference (In Company Currency),Ялгаа (Компанийн мөнгөн тэмдэгтээр)
Disable offline mode first to recheck live connectivity.,Шууд холболтыг дахин шалгахын тулд эхлээд офлайн горимыг идэвхгүй болго.
Disconnect,Салга
discount,хөнгөлөлт
Discount %,Хямдрал %
Discount / Void / Return Report,Хөнгөлөлт / хүчингүй болсон / Буцаах тайлан
Discount Amount,Хөнгөлөлтийн хэмжээ
Discount limited by POS Profile,Хөнгөлөлтийг ПОС профайлаар хязгаарласан
Discounted Invoices,Хөнгөлөлттэй нэхэмжлэх
Discounts,Хөнгөлөлт
Dismiss,Өгүүлэх
Download Certificate,Сертификат татаж авах
Draft,Ноорог
Draft invoice deleted,Нэхэмжлэлийн төслийг устгасан
Draft source,Ноорог эх сурвалж
Drafts,Ноорог
Due {0},Дуусах хугацаа {0}
Due Date,Эцсийн хугацаа
Duplicate,Давхардсан
Edit customer,Үйлчлүүлэгчийг засах
Edit discount amount,Хөнгөлөлтийн хэмжээг засах
Edit discount percentage,Хөнгөлөлтийн хувийг засах
Edit Gift Application,Бэлэг дурсгалын програмыг засах
Edit item name,Зүйлийн нэрийг засах
Edit quantity,Тоо хэмжээг засах
Edit rate,Үнэлгээ засах
Edit unit of measure,Хэмжих нэгжийг засах
Edited,Зассан
Employee,Ажилтан
Enable background sync,Арын синхрончлолыг идэвхжүүлэх
Enable Customer Display in POS Profile first.,Эхлээд POS профайлд хэрэглэгчийн дэлгэцийг идэвхжүүлнэ үү.
Enter a PIN.,ПИН код оруулна уу.
Enter a valid grams value,Хүчинтэй грамм утгыг оруулна уу
Enter new price list rate,Үнийн жагсаалтын шинэ үнийг оруулна уу
Enter Quantity,Тоо хэмжээг оруулна уу
Enter the cashier PIN to continue.,Үргэлжлүүлэхийн тулд кассын ПИН кодоо оруулна уу.
Enter the current PIN first.,Эхлээд одоогийн PIN кодоо оруулна уу.
"Enter the current PIN, then choose a new one.",Одоогийн ПИН кодоо оруулаад шинийг сонгоно уу.
Enter valid grams for scale barcode,Хуваарийн бар кодын хүчинтэй граммыг оруулна уу
Entries,Бичлэгүүд
Error accessing camera:,Камерт хандахад алдаа гарлаа:
Error calculating prices,Үнэ тооцоход алдаа гарлаа
Error fetching customer balance,Харилцагчийн үлдэгдлийг татахад алдаа гарлаа
Error in change calculations!,Өөрчлөлтийн тооцоонд алдаа гарлаа!
Error Loading Data,Өгөгдлийг ачаалахад алдаа гарлаа
Error loading invoice details,Нэхэмжлэхийн дэлгэрэнгүйг ачаалахад алдаа гарлаа
Error processing invoice,Нэхэмжлэхийг боловсруулахад алдаа гарлаа
Error processing payment,Төлбөрийг боловсруулахад алдаа гарлаа
Error searching invoices,Нэхэмжлэх хайхад алдаа гарлаа
Error submitting invoice:,Нэхэмжлэхийг илгээхэд алдаа гарлаа:
Error submitting invoice: {0},Нэхэмжлэхийг илгээхэд алдаа гарлаа: {0}
Error submitting invoice: No response from server,Нэхэмжлэхийг илгээхэд алдаа гарлаа: Серверээс хариу ирээгүй
Error updating currency,Валютыг шинэчлэхэд алдаа гарлаа
Error updating item details,Зүйлийн дэлгэрэнгүй мэдээллийг шинэчлэхэд алдаа гарлаа
Est. Purchase,Тооцоолол. Худалдан авалт
Est. Value,Тооцоолол. Үнэ цэнэ
Event-loop lag measures how busy your browser is. Lower is better.,Үйл явдлын давталтын хоцрогдол нь таны хөтөч хэр завгүй байгааг хэмждэг. Доод байх нь дээр.
Every,Бүр
Exchange Rate,Валютын ханш
Expand item details,Зүйлийн дэлгэрэнгүй мэдээллийг өргөжүүлэх
Expected Amount (In Company Currency),Хүлээгдэж буй дүн (Компанийн валютаар)
Expected Cash,Хүлээгдэж буй бэлэн мөнгө
Expected cash on hand grouped by currency,Валютын нэгжээр бүлэглэсэн гар дээрх хүлээгдэж буй бэлэн мөнгө
Expected vs Actual,Хүлээгдэж буй болон бодит
Expense,Зардал
Expense Account (Optional Override),Зардлын данс (заавал биш дарах)
Expense account is required.,Зардлын данс шаардлагатай.
Expenses and deposits posted during this shift,"Энэ ээлжинд байршуулсан зардал, хадгаламж"
Expired,Хугацаа дууссан
Failed to auto reconcile payments.,Төлбөрийг автоматаар нэгтгэж чадсангүй.
Failed to cancel cash movement,Бэлэн мөнгөний хөдөлгөөнийг цуцалж чадсангүй
Failed to clear cache,Кэшийг цэвэрлэж чадсангүй
Failed to create item,Зүйлийг үүсгэж чадсангүй
Failed to create supplier,Нийлүүлэгчийг үүсгэж чадсангүй
Failed to delete cash movement,Бэлэн мөнгөний хөдөлгөөнийг устгаж чадсангүй
Failed to generate scale barcode. Using item barcode only.,Хэмжээний бар кодыг үүсгэж чадсангүй. Зөвхөн баркод ашиглах.
Failed to load cash movement context.,Бэлэн мөнгөний хөдөлгөөний контекстийг ачаалж чадсангүй.
Failed to load dashboard data.,Хяналтын самбарын өгөгдлийг ачаалж чадсангүй.
Failed to reload invoice from server,Серверээс нэхэмжлэхийг дахин ачаалж чадсангүй
Failed to submit cash movement,Бэлэн мөнгөний хөдөлгөөнийг илгээж чадсангүй
Failed to sync offline cash movements,Офлайн бэлэн мөнгөний хөдөлгөөнийг синк хийж чадсангүй
Fast cashier actions for active shifts.,Идэвхтэй ээлжийн кассын шуурхай үйлдлүүд.
Fast Moving Items,Хурдан хөдөлж буй эд зүйлс
Fees,Төлбөр
Fetch the latest offline prerequisite updates,Хамгийн сүүлийн үеийн офлайн урьдчилсан шинэчлэлтүүдийг татаж авах
Find a sales order quickly and load it into the current sale.,Борлуулалтын захиалгыг хурдан хайж олоод одоогийн худалдаанд ачаална уу.
Fixing payment amounts for return invoice...,Буцаах нэхэмжлэхийн төлбөрийн хэмжээг тогтоож байна...
Flash Off,Флэш унтраалттай
Flash On,Флэш асаалттай
