POS Awesome,POS အရမ်းကောင်းတယ်။
Are you sure you want to close? All entered data will be lost.,ပိတ်လိုသည်မှာ သေချာပါသလား။ ထည့်သွင်းထားသောဒေတာအားလုံး ဆုံးရှုံးသွားပါမည်။
Attributes (Size/Color),ရည်ညွှန်းချက်များ (အရွယ်အစား/အရောင်)
Auto Allocate Payment Amount,ငွေပေးချေမှုပမာဏကို အလိုအလျောက် ခွဲဝေသတ်မှတ်ပါ။
Auto Reconcile,အလိုအလျောက် ပြန်လည်သင့်မြတ်ရေး
Auto reconciliation completed after payment submit.,ငွေပေးချေပြီးနောက် အလိုအလျောက် ပြန်လည်ညှိနှိုင်းမှု ပြီးမြောက်သည်။
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,အလိုအလျောက် ပြန်လည်သင့်မြတ်ရေး ပြီးသွားပါပြီ။ ခွဲဝေထားသည်- {0}{1}။ ကျန်ရှိနေသော ထူးခြားချက်- {0}{2}။
Available Actions,ရနိုင်သောလုပ်ဆောင်ချက်များ
Available QTY,ရနိုင်သော QTY
Available:,ရနိုင်သည်-
Average Basket,ပျမ်းမျှခြင်းတောင်း
Average Bill,ပျမ်းမျှ ဘေလ်
Average Ticket,ပျမ်းမျှလက်မှတ်
Avg Bill,ပျမ်းမျှ ဘေလ်
Avg Invoice,ပျမ်းမျှ ပြေစာ
Avg Invoice Profit,Avg Invoice အမြတ်
Avg Invoice Value,ပျမ်းမျှ ငွေတောင်းခံလွှာတန်ဖိုး
Avg Purchase Frequency,ပျမ်းမျှဝယ်ယူမှုအကြိမ်ရေ
Awesome,အရမ်းကောင်းတယ်။
Awesome Dashboard,အမိုက်စား ဒက်ရှ်ဘုတ်
Awesome Dashboard is disabled for the selected POS Profile.,ရွေးချယ်ထားသော POS Profile အတွက် Awesome Dashboard ကို ပိတ်ထားသည်။
Awesome Dashboard is unavailable for the selected scope.,ရွေးချယ်ထားသော နယ်ပယ်အတွက် Awesome Dashboard ကို မရနိုင်ပါ။
Awesome Dashboard is visible only to POS supervisors.,Awesome Dashboard ကို POS ကြီးကြပ်သူများသာ မြင်နိုင်သည်။
Back,ကျော
Back Office Cash Account,Back Office Cash အကောင့်
Back Office Cash Account (Optional Override),Back Office Cash အကောင့် (ချန်လှပ်ထားနိုင်သည်)
Back office cash account is required.,Back office ငွေသားအကောင့် လိုအပ်ပါသည်။
Back to {0},{0} သို့ ပြန်သွားရန်
Background processing did not finish in time.,နောက်ခံလုပ်ဆောင်မှုကို အချိန်မီ မပြီးမြောက်ခဲ့ပါ။
Background processing failed for Invoice {0}: {1},ငွေတောင်းခံလွှာ {0} အတွက် နောက်ခံလုပ်ဆောင်ခြင်း မအောင်မြင်ပါ- {1}
Background Submission Failed,နောက်ခံတင်ပြမှု မအောင်မြင်ပါ။
Background sync interval (seconds),နောက်ခံ စင့်ခ်လုပ်ချိန် (စက္ကန့်)
Balance,လက်ကျန်
Balance will be updated when connection is restored,ချိတ်ဆက်မှုကို ပြန်လည်ရယူသည့်အခါ လက်ကျန်ငွေကို အပ်ဒိတ်လုပ်ပါမည်။
Balances still pending,လက်ကျန်များကို ဆိုင်းငံ့ထားဆဲဖြစ်သည်။
Barcode,ဘားကုဒ်
Barcode / QR Ready,ဘားကုဒ် / QR အဆင်သင့်
Barcode Label Printing,ဘားကုဒ်တံဆိပ်ရိုက်နှိပ်ခြင်း။
Base Paid:,အခြေခံပေးချေသည်-
Base Recv:,အခြေခံ Recv-
Base:,အခြေခံ-
Basic Information,အခြေခံအချက်အလက်
Batch,သုတ်
Batch Information,Batch အချက်အလက်
Before any return workflow,အလုပ်အသွားအလာ ပြန်မလာခင်
Before returns,ပြန်မလာခင်
Best Day,အကောင်းဆုံးနေ့
Best Seller,အရောင်းရဆုံး
Book expense or deposit from active shift.,တက်ကြွသောအပြောင်းအရွှေ့မှ စာအုပ်ကုန်ကျစရိတ် သို့မဟုတ် အပ်ငွေ။
Branch / Location-wise Report,ဘဏ်ခွဲ/တည်နေရာအလိုက် အစီရင်ခံပါ။
Brand-wise,Brand-wise
Breakdown,ပြိုကွဲခြင်း။
Browse,လိုက်ကြည့်သည်။
Build Time:,တည်ဆောက်ချိန်-
Built with Frappe,Frappe ဖြင့်တည်ဆောက်ထားသည်။
Bundle,အတွဲ
Buying Price,ဝယ်ဈေး
Cache cleared successfully,Cache ကို အောင်မြင်စွာ ရှင်းလင်းပြီးပါပြီ။
Cache Usage,ကက်ရှ်အသုံးပြုမှု
cache used,cache ကိုသုံးတယ်။
Calculating...,တွက်ချက်နေသည်...
Camera Access Required,ကင်မရာအသုံးပြုခွင့် လိုအပ်ပါသည်။
Camera access was aborted. Please try again.,ကင်မရာအသုံးပြုခွင့်ကို ဖျက်သိမ်းထားသည်။ ထပ်စမ်းကြည့်ပါ။
Camera constraints not supported by your device. Trying fallback settings...,သင့်စက်ပစ္စည်းမှ ကင်မရာကန့်သတ်ချက်များကို မပံ့ပိုးပါ။ ပြန်ပြောင်းဆက်တင်များကို ကြိုးစားနေသည်...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,ကင်မရာသည် အလုပ်များနေပါသည် သို့မဟုတ် အခြားအက်ပ်/တဘ်က ပိတ်ဆို့ထားသည်။ အခြားကင်မရာအက်ပ်များကို ပိတ်ပြီး ထပ်စမ်းကြည့်ပါ။
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,ကင်မရာခွင့်ပြုချက်ကို ငြင်းဆိုထားသည်။ သင့်ဘရောက်ဆာဆက်တင်များတွင် ကင်မရာဝင်ရောက်ခွင့်ကို ခွင့်ပြုပြီး စာမျက်နှာကို ပြန်လည်စတင်ပါ။
Camera scanner is locked until the current error is acknowledged,လက်ရှိအမှားကို အသိအမှတ်မပြုမချင်း ကင်မရာစကင်နာကို လော့ခ်ချထားသည်။
Camera started but the video stream did not load in time. Please try again.,ကင်မရာ စတင်ခဲ့သော်လည်း ဗီဒီယိုစီးကြောင်း အချိန်မီ မတင်နိုင်ခဲ့ပါ။ ထပ်စမ်းကြည့်ပါ။
Cancel cash movement {0}?,ငွေသားလှုပ်ရှားမှု {0} ကို ပယ်ဖျက်လိုပါသလား။
Cancel Payment,ငွေပေးချေမှုကို ပယ်ဖျက်ပါ။
Cancel Sale,ရောင်းချခြင်းကို ပယ်ဖျက်ပါ။
Cancel Sale ?,ရောင်းချမှုကို ပယ်ဖျက်မလား။
Cancelled,ဖျက်သိမ်းလိုက်သည်။
Cannot add an item with zero or negative quantity.,သုည သို့မဟုတ် အနှုတ်ပမာဏရှိသော အရာတစ်ခုကို ထည့်၍မရပါ။
Cannot clear cache while offline,အော့ဖ်လိုင်းဖြစ်နေစဉ် ကက်ရှ်ကို ရှင်းလင်း၍မရပါ။
Cannot redeem customer credit more than invoice total,ပြေစာစုစုပေါင်းထက် ဝယ်ယူသူခရက်ဒစ်ကို ထုတ်ယူ၍မရပါ။
Cannot redeem gift cards more than invoice total,ငွေတောင်းခံလွှာစုစုပေါင်းထက် လက်ဆောင်ကတ်များကို ထုတ်ယူ၍မရပါ။
Cannot Save Offline Invoice:,အော့ဖ်လိုင်းပြေစာ သိမ်းဆည်း၍မရပါ
Cannot Save Offline Payment:,အော့ဖ်လိုင်းငွေပေးချေမှုကို မသိမ်းဆည်းနိုင်ပါ-
Card,ကတ်
Card / Online,ကတ်/အွန်လိုင်း
Card health after the last live lookup,နောက်ဆုံး တိုက်ရိုက်ကြည့်ရှုမှုပြီးနောက် ကတ်ကျန်းမာရေး
Cards,ကတ်များ
Cart,လှည်း
Cash,ငွေသား
Cash back to customers,ဖောက်သည်များကို ငွေပြန်အမ်းပေးသည်။
Cash Collections,ငွေသားစုဆောင်းမှုများ
Cash Deposit is disabled for this POS Profile.,ဤ POS ပရိုဖိုင်အတွက် ငွေသားအပ်ငွေကို ပိတ်ထားသည်။
Cash Drawer Snapshot,Cash Drawer လျှပ်တစ်ပြက်
Cash In Hand,လက်ထဲတွင် ငွေသား
Cash Movement,ငွေသားလှုပ်ရှားမှု
Cash movement cancelled,ငွေသားလှုပ်ရှားမှုကို ဖျက်သိမ်းလိုက်သည်။
Cash movement deduction applied,ငွေသားလှုပ်ရှားမှု ဖြတ်တောက်ခြင်းကို ထည့်သွင်းထားသည်။
Cash movement deleted,ငွေသားလှုပ်ရှားမှုကို ဖျက်လိုက်ပါပြီ။
Cash movement is disabled for this POS Profile.,ဤ POS ပရိုဖိုင်အတွက် ငွေသားလှုပ်ရှားမှုကို ပိတ်ထားသည်။
Cash Movement is disabled in current POS Profile.,လက်ရှိ POS ပရိုဖိုင်တွင် Cash Movement ကို ပိတ်ထားသည်။
Cash movement saved offline,ငွေသားလှုပ်ရှားမှုကို အော့ဖ်လိုင်းတွင် သိမ်းဆည်းထားသည်။
Cash movement submitted,ငွေသားလှုပ်ရှားမှုကို တင်ပြခဲ့သည်။
Cash Movements,ငွေသားလှုပ်ရှားမှုများ
Cash payment cannot be less than invoice total when partial payment is not allowed,တစ်စိတ်တစ်ပိုင်းပေးချေမှုကို ခွင့်မပြုပါက ငွေပေးချေမှုမှာ ပြေစာစုစုပေါင်းထက် မနည်းနိုင်ပါ။
Cash returned after payment,ငွေပေးချေပြီးနောက် ငွေပြန်အမ်းသည်။
Cashier,ငွေကိုင်
Cashier Access,ငွေကိုင်သုံးခွင့်
Cashier identity and appearance preferences.,ငွေကိုင် အထောက်အထား နှင့် အသွင်အပြင် ဦးစားပေး။
Cashier PIN,ငွေကိုင် PIN
Cashier PIN saved successfully.,ငွေကိုင် PIN ကို အောင်မြင်စွာ သိမ်းဆည်းပြီးပါပြီ။
Cashiers,ငွေကိုင်
Cashier-wise,ငွေကိုင်ပညာရှိ
Categories,အမျိုးအစားများ
Category,အမျိုးအစား
Category / Brand / Variant Report,အမျိုးအစား/အမှတ်တံဆိပ်/မူကွဲ အစီရင်ခံစာ
Category-wise,အမျိုးအစားအလိုက်
Category-wise Margin,အမျိုးအစားအလိုက် အနားသတ်
Certificate,လက်မှတ်
Certificate is missing or not trusted. QZ may show confirmation dialogs.,လက်မှတ်ပျောက်ဆုံးနေသည် သို့မဟုတ် မယုံကြည်ပါ။ QZ သည် အတည်ပြုချက် ဒိုင်ယာလော့ခ်များကို ပြသနိုင်သည်။
Certificate is trusted. Silent QZ printing is active.,Certificate ကို ယုံကြည်ပါသည်။ အသံတိတ် QZ ပရင့်ထုတ်ခြင်း လုပ်ဆောင်နေပါသည်။
Change,ပြောင်းလဲပါ။
Change allocation repaired,ခွဲဝေ ပြုပြင် ပြောင်းလဲခြင်း။
Change Price,ဈေးနှုန်းပြောင်းပါ။
Change Return,Return ပြောင်းပါ။
Change Returned,အပြောင်းအလဲ ပြန်လာခဲ့သည်။
Change terminal cashier,Terminal ငွေကိုင်ကို ပြောင်းပါ။
Charge Heads,တာဝန်ခံခေါင်းများ
Charges,ဘယ်နိုင်ငံကလဲ။
Charges not found,စွဲချက်မတွေ့ရှိရပါ။
Check Balance,လက်ကျန်ကို စစ်ဆေးပါ။
Check balance for any card. Supervisors can issue and top up cards here.,မည်သည့်ကတ်အတွက် လက်ကျန်ငွေကို စစ်ဆေးပါ။ ကြီးကြပ်သူများသည် ဤနေရာတွင် ကတ်များထုတ်ပေးပြီး ငွေဖြည့်နိုင်သည်။
Check balance only,လက်ကျန်ငွေကိုသာ စစ်ဆေးပါ။
Check for new commits,ကွန်မန့်အသစ်များ စစ်ဆေးပါ။
Check for Updates,အပ်ဒိတ်များအတွက် စစ်ဆေးပါ။
Check live balance before applying redemption,ရွေးနှုတ်မှုမလျှောက်ထားမီ တိုက်ရိုက်လက်ကျန်ကို စစ်ဆေးပါ။
Check live balance before redemption,ရွေးနှုတ်ခြင်းမပြုမီ တိုက်ရိုက်လက်ကျန်ကို စစ်ဆေးပါ။
Checking...,စစ်ဆေးနေသည်...
Cheque/Reference Date,ချက်လက်မှတ်/အကိုးအကား ရက်စွဲ
Cheque/Reference No,ချက်/အကိုးအကား အမှတ်
Choose the cashier currently operating this terminal.,ဤ terminal ကို လက်ရှိ လုပ်ဆောင်နေသော ငွေကိုင်သူကို ရွေးပါ။
City,မြို
Clear,ရှင်းပါတယ်။
Clear All,အားလုံးကို ရှင်းလင်းပါ။
Clear all barcode items,ဘားကုဒ်အရာအားလုံးကို ရှင်းလင်းပါ။
Clear all purchase order items,မှာယူမှု ပစ္စည်းများအားလုံးကို ရှင်းလင်းပါ။
Clear Search,ရှာဖွေမှုကို ရှင်းလင်းပါ။
Clearing local cache...,စက်တွင်းကက်ရှ်များကို ရှင်းလင်းနေသည်...
Click to refresh,ပြန်လည်စတင်ရန် နှိပ်ပါ။
Client CPU Lag:,သုံးစွဲသူ CPU နောက်ကျနေသည်-
Client Memory Usage:,Client Memory အသုံးပြုမှု-
Client Metrics,သုံးစွဲသူ မက်ထရစ်များ
Close about dialog,ဒိုင်ယာလော့ခ်အကြောင်း ပိတ်ပါ။
Close cashier switcher,ငွေကိုင်လွှဲကိရိယာကို ပိတ်ပါ။
Close closing shift dialog,အပိတ်အဆိုင်းဒိုင်ယာလော့ခ်ကို ပိတ်ပါ။
Close column selector,ကော်လံရွေးချယ်မှုအား ပိတ်ပါ။
Close Dialog,Dialog ကိုပိတ်ပါ။
Close drafts dialog,မူကြမ်းဒိုင်ယာလော့ခ်ကို ပိတ်ပါ။
Close invoice details dialog,ပြေစာအသေးစိတ် ဒိုင်ယာလော့ခ်ကို ပိတ်ပါ။
Close invoice management,ငွေတောင်းခံလွှာစီမံခန့်ခွဲမှုကို ပိတ်ပါ။
Close offline invoices dialog,အော့ဖ်လိုင်း ငွေတောင်းခံလွှာများ ဒိုင်ယာလော့ခ်ကို ပိတ်ပါ။
Close packing list dialog,ထုပ်ပိုးမှုစာရင်း ဒိုင်ယာလော့ခ်ကို ပိတ်ပါ။
Close returns dialog,ပြန်လာသော ဒိုင်ယာလော့ခ်ကို ပိတ်ပါ။
Close sales orders dialog,အရောင်းအော်ဒါဒိုင်ယာလော့ခ်ကို ပိတ်ပါ။
Close Scanner,စကင်နာကို ပိတ်ပါ။
Close scanner dialog,စကင်နာ ဒိုင်ယာလော့ခ်ကို ပိတ်ပါ။
Close Settings,ဆက်တင်များကို ပိတ်ပါ။
Closing Amount,ပိတ်သည့်ပမာဏ
Closing POS Shift,POS Shift ပိတ်ခြင်း။
Closing Snapshot Available,ပိတ်ခြင်း လျှပ်တစ်ပြက်ကို ရနိုင်သည်။
Code,ကုတ်
Code scanned successfully,ကုဒ်ကို အောင်မြင်စွာ စကင်န်ဖတ်ပြီးပါပြီ။
COGS,COGS
Collapse item details,အကြောင်းအရာအသေးစိတ်ကို ခေါက်သိမ်းပါ။
Collected,စုဆောင်းထားသည်။
Cols,Cols
Columns,ကော်လံများ
commits,ကျူးလွန်သည်။
Completed and active sales in this range,ဤအကွာအဝေးတွင် ပြီးမြောက်ပြီး အသက်ဝင်သော အရောင်းများ
Completed returns will appear here.,ပြီးပြည့်စုံသော ပြန်လာမှုများကို ဤနေရာတွင် ပေါ်လာပါမည်။
Confirm,အတည်ပြုပါ။
Confirm Close,ပိတ်ရန် အတည်ပြုပါ။
Confirm Mobile Number,မိုဘိုင်းနံပါတ်ကို အတည်ပြုပါ။
Confirm PIN,ပင်နံပါတ်ကို အတည်ပြုပါ။
Connect,ချိတ်ဆက်ပါ။
Connect printer and manage certificate,ပရင်တာကို ချိတ်ဆက်ပြီး လက်မှတ်ကို စီမံပါ။
Connecting to QZ Tray...,QZ Tray သို့ ချိတ်ဆက်နေသည်...
Connection problem while submitting invoice,ပြေစာပေးပို့နေစဉ် ချိတ်ဆက်မှုပြဿနာ
Connections:,ချိတ်ဆက်မှုများ-
Connectivity and cached prerequisite status were rechecked.,ချိတ်ဆက်မှု နှင့် ကက်ရှ်လုပ်ထားသော ကြိုတင်လိုအပ်ချက် အခြေအနေကို ပြန်လည်စစ်ဆေးခဲ့သည်။
Continue Editing,ဆက်လက်တည်းဖြတ်ပါ။
Could not fetch latest balance from server,ဆာဗာမှ နောက်ဆုံးလက်ကျန်ငွေကို မရယူနိုင်ပါ။
Count,ရေတွက်ပါ။
Country,တိုင်းပြည်
Coupon,ကူပွန်
Coupons,ကူပွန်များ
Cover,ကာဗာ
CPU Cores:,CPU Core များ-
Create,ဖန်တီးပါ။
Create and load a new prepaid card,ကြိုတင်ငွေပေးကတ်အသစ်တစ်ခုကို ဖန်တီးပြီး တင်ပါ။
Create and preload a new gift card,လက်ဆောင်ကတ်အသစ်တစ်ခုကို ဖန်တီးပြီး ကြိုတင်တင်ပါ။
Create Bill,Bill ကိုဖန်တီးပါ။
Create Customer,ဖောက်သည်ဖန်တီးပါ။
Create New Item,ပစ္စည်းအသစ်ဖန်တီးပါ။
Create or change your PIN,သင့်ပင်နံပါတ်ကို ဖန်တီးပါ သို့မဟုတ် ပြောင်းလဲပါ။
Create PIN,ပင်နံပါတ် ဖန်တီးပါ။
Create POS Opening Shift,POS Opening Shift ဖန်တီးပါ။
Create Purchase Order,ဝယ်ယူမှုအမှာစာဖန်တီးပါ။
Create Return,Return ကိုဖန်တီးပါ။
Create return from invoice,ပြေစာမှ ပြန်လာခြင်းကို ဖန်တီးပါ။
Create Supplier,ပေးသွင်းသူ ဖန်တီးပါ။
Credit and Output,Credit နှင့် Output
Credit Note,ခရက်ဒစ်မှတ်ချက်
Credit Outstanding,Credit ထူးချွန်
Credit sales remaining to be collected,ကောက်ခံရန်ကျန်ရှိသော အကြွေးများရောင်းချခြင်း။
Critical,ဝေဖန်ပိုင်းခြားပါ။
Currency,ငွေကြေး
Current,လက်ရှိ
Current Event Loop Lag:,လက်ရှိ Event Loop Lag-
Current Month,လက်ရှိလ
Current PIN,လက်ရှိ PIN
Current Profile,လက်ရှိ Profile
Current redeemable value on the gift card,လက်ဆောင်ကတ်တွင် လက်ရှိ ထုတ်ယူနိုင်သော တန်ဖိုး
Current User,လက်ရှိအသုံးပြုသူ
Custom,စိတ်ကြိုက်
Custom Due Days,စိတ်ကြိုက်သတ်မှတ်ရက်များ
Custom items per page,စာမျက်နှာအလိုက် စိတ်ကြိုက်ပစ္စည်းများ
Customer,ဖောက်သည်
Customer already selected,ဖောက်သည် ရွေးထားပြီးသား
Customer Balance,ဖောက်သည်လက်ကျန်
Customer balance unavailable offline,ဝယ်ယူသူလက်ကျန်ကို အော့ဖ်လိုင်းတွင် မရနိုင်ပါ။
Customer created successfully.,ဝယ်ယူသူ အောင်မြင်စွာ ဖန်တီးခဲ့သည်။
Customer creation failed.,ဝယ်ယူသူဖန်တီးမှု မအောင်မြင်ပါ။
Customer Details,ဖောက်သည်အသေးစိတ်
Customer display channel is missing,ဝယ်ယူသူပြသသည့်ချန်နယ် ပျောက်ဆုံးနေပါသည်။
Customer display was blocked. Please allow pop-ups for this site.,ဝယ်ယူသူပြသမှုကို ပိတ်ဆို့ထားသည်။ ဤဆိုက်အတွက် ပေါ့ပ်အပ်များကို ခွင့်ပြုပါ။
Customer group is required,ဖောက်သည်အဖွဲ့ လိုအပ်သည်။
Customer is required to add payment,ငွေပေးချေမှုကို ထည့်သွင်းရန် ဝယ်ယူသူ လိုအပ်ပါသည်။
Customer Name is required,ဝယ်ယူသူအမည် လိုအပ်ပါသည်။
Customer not selected,ဖောက်သည်မရွေးပါ။
Customer Report,ဖောက်သည်အစီရင်ခံစာ
Customer saved offline,ဝယ်ယူသူသည် အော့ဖ်လိုင်းတွင် သိမ်းဆည်းထားသည်။
Customer Screen,ဖောက်သည် မျက်နှာပြင်
Customer territory is required,ဖောက်သည် နယ်မြေ လိုအပ်သည်။
Customer updated successfully.,ဝယ်ယူသူအား အောင်မြင်စွာ အပ်ဒိတ်လုပ်ပါ။
Customer-facing tools and printer setup.,သုံးစွဲသူမျက်နှာစာ ကိရိယာများနှင့် ပရင်တာ စနစ်ထည့်သွင်းမှု။
Customers,ဖောက်သည်များ
Customers not found,ဖောက်သည်များကို ရှာမတွေ့ပါ။
