POS Awesome,POS Fantastiskt
Adjust the quantity or enable negative stock to continue.,Justera kvantiteten eller aktivera negativt lager för att fortsätta.
Adjustment,Justering
After returns,Efter returer
Against,Mot
Against Name,Mot Namn
Age Bracket,Åldersgräns
All,Alla
All Caught Up!,Alla ikapp!
All invoices are synchronized,Alla fakturor är synkroniserade
All pending invoices are up to date,Alla utestående fakturor är uppdaterade
All Profiles,Alla profiler
All Synchronized,Allt synkroniserat
All visible invoices are fully settled.,Alla synliga fakturor är helt reglerade.
All Warehouses,Alla lager
Allowed UOM is {0},Tillåtet UOM är {0}
Always fetch items from server (ignore local cache),Hämta alltid objekt från servern (ignorera lokal cache)
Amount,Belopp
Amount already received,Redan mottaget belopp
Amount exceeds profile cash movement max amount.,Beloppet överstiger profilens maxbelopp för kontantrörelse.
Amount must be greater than zero.,Beloppet måste vara större än noll.
Amount received from customer,Mottaget belopp från kund
Appearance and user-level preferences for the current session.,Utseende och inställningar på användarnivå för den aktuella sessionen.
Applied,Tillämpas
Apply,Ansök
Apply Gift Card,Ansök presentkort
Apply Offer,Ansök erbjudande
Apply On,Applicera på
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Använd endast det belopp du vill lösa in på denna faktura. Det återstående saldot stannar på kortet.
Apply Redemption,Använd inlösen
Applying,Ansöker
Apps,Appar
Are you sure you want to close? All entered data will be lost.,Är du säker på att du vill stänga? Alla inmatade data kommer att gå förlorade.
Attributes (Size/Color),Attribut (storlek/färg)
Auto Allocate Payment Amount,Autotilldela betalningsbelopp
Auto Reconcile,Automatisk avstämning
Auto reconciliation completed after payment submit.,Automatisk avstämning slutförd efter betalning.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Automatisk avstämning slutförd. Tilldelad: {0}{1}. Återstående utestående: {0}{2}.
Available Actions,Tillgängliga åtgärder
Available QTY,Tillgängligt antal
Available:,Tillgängligt:
Average Basket,Genomsnittlig korg
Average Bill,Genomsnittlig räkning
Average Ticket,Genomsnittlig biljett
Avg Bill,Genomsnittlig räkning
Avg Invoice,Genomsnittlig faktura
Avg Invoice Profit,Genomsnittlig fakturavinst
Avg Invoice Value,Genomsnittligt fakturavärde
Avg Purchase Frequency,Genomsnittlig köpfrekvens
Awesome,Fantastiskt
Awesome Dashboard,Fantastisk instrumentpanel
Awesome Dashboard is disabled for the selected POS Profile.,Awesome Dashboard är inaktiverat för den valda POS-profilen.
Awesome Dashboard is unavailable for the selected scope.,Awesome Dashboard är inte tillgänglig för det valda omfånget.
Awesome Dashboard is visible only to POS supervisors.,Awesome Dashboard är endast synlig för POS-handledare.
Back,Tillbaka
Back Office Cash Account,Back Office Kontantkonto
Back Office Cash Account (Optional Override),Back Office Kontantkonto (valfri åsidosättning)
Back office cash account is required.,Kontantkonto på backoffice krävs.
Back to {0},Tillbaka till {0}
Background processing did not finish in time.,Bakgrundsbearbetningen avslutades inte i tid.
Background processing failed for Invoice {0}: {1},Bakgrundsbearbetningen misslyckades för faktura {0}: {1}
Background Submission Failed,Bakgrundsinlämning misslyckades
Background sync interval (seconds),Bakgrundssynkroniseringsintervall (sekunder)
Balance,Balans
Balance will be updated when connection is restored,Saldot kommer att uppdateras när anslutningen återställs
Balances still pending,Tillgodohavanden fortfarande
Barcode,Streckkod
Barcode / QR Ready,Streckkod / QR redo
Barcode Label Printing,Utskrift av streckkodsetiketter
Base Paid:,Basbetalt:
Base Recv:,Bas Recv:
Base:,Bas:
Basic Information,Grundläggande information
Batch,Batch
Batch Information,Batchinformation
Before any return workflow,Innan ett arbetsflöde för retur
Before returns,Innan returer
Best Day,Bästa dagen
Best Seller,Bästsäljare
Book expense or deposit from active shift.,Boka kostnad eller insättning från aktivt skift.
Branch / Location-wise Report,Filial / Platsmässig rapport
Brand-wise,Märkesmässigt
Breakdown,Fördelning
Browse,Bläddra
Build Time:,Byggtid:
Built with Frappe,Byggd med Frappe
Bundle,Bunt
Buying Price,Köppris
Cache cleared successfully,Cache rensades framgångsrikt
Cache Usage,Cacheanvändning
cache used,cache används
Calculating...,Beräknar...
Camera Access Required,Kameraåtkomst krävs
Camera access was aborted. Please try again.,Kameraåtkomst avbröts. Försök igen.
Camera constraints not supported by your device. Trying fallback settings...,Kamerabegränsningar stöds inte av din enhet. Försöker reservinställningar...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,Kameran är upptagen eller blockerad av en annan app/flik. Stäng andra kameraappar och försök igen.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,Kameratillstånd nekad. Tillåt kameraåtkomst i webbläsarinställningarna och uppdatera sidan.
Camera scanner is locked until the current error is acknowledged,Kameraskannern är låst tills det aktuella felet bekräftas
Camera started but the video stream did not load in time. Please try again.,Kameran startade men videoströmmen laddades inte i tid. Försök igen.
Cancel cash movement {0}?,Vill du avbryta kontantförflyttning {0}?
Cancel Payment,Avbryt betalning
Cancel Sale,Avbryt försäljning
Cancel Sale ?,Avbryt försäljning?
Cancelled,Avbruten
Cannot add an item with zero or negative quantity.,Det går inte att lägga till en artikel med noll eller negativ kvantitet.
Cannot clear cache while offline,Det går inte att rensa cacheminnet när du är offline
Cannot redeem customer credit more than invoice total,Kan inte lösa in kundkredit mer än fakturasumman
Cannot redeem gift cards more than invoice total,Kan inte lösa in presentkort mer än fakturasumman
Cannot Save Offline Invoice:,Kan inte spara offlinefaktura:
Cannot Save Offline Payment:,Kan inte spara offlinebetalning:
Card,Kort
Card / Online,Kort / Online
Card health after the last live lookup,Korthälsa efter den senaste liveuppslagningen
Cards,Kort
Cart,Vagn
Cash,Kontanter
Cash back to customers,Pengar tillbaka till kunderna
Cash Collections,Kontantinsamlingar
Cash Deposit is disabled for this POS Profile.,Kontantinsättning är inaktiverad för denna POS-profil.
Cash Drawer Snapshot,Ögonblicksbild av kassalådan
Cash In Hand,Kontanter I Hand
Cash Movement,Kontantrörelse
Cash movement cancelled,Kontantrörelse avbruten
Cash movement deduction applied,Kassarörelseavdrag tillämpas
Cash movement deleted,Kontantrörelse raderad
Cash movement is disabled for this POS Profile.,Kontantrörelse är inaktiverad för denna POS-profil.
Cash Movement is disabled in current POS Profile.,Cash Movement är inaktiverat i nuvarande POS-profil.
Cash movement saved offline,Kontantrörelse sparad offline
Cash movement submitted,Kontantrörelse inlämnad
Cash Movements,Kontantrörelser
Cash payment cannot be less than invoice total when partial payment is not allowed,Kontantbetalning kan inte vara mindre än fakturans totala summa när delbetalning inte är tillåten
Cash returned after payment,Kontanter återlämnas efter betalning
Cashier,Kassörska
Cashier Access,Tillgång till kassan
Cashier identity and appearance preferences.,Kassörens identitet och utseende preferenser.
Cashier PIN,Kassörens PIN-kod
Cashier PIN saved successfully.,Kassörens PIN-kod har sparats.
Cashiers,Kassörer
Cashier-wise,Kassamässigt
Categories,Kategorier
Category,Kategori
Category / Brand / Variant Report,Kategori / Varumärke / Variantrapport
Category-wise,Kategorimässigt
Category-wise Margin,Kategorimässig marginal
Certificate,Certifikat
Certificate is missing or not trusted. QZ may show confirmation dialogs.,Certifikatet saknas eller är inte pålitligt. QZ kan visa bekräftelsedialoger.
Certificate is trusted. Silent QZ printing is active.,Certifikatet är pålitligt. Tyst QZ-utskrift är aktiv.
Change,Ändra
Change allocation repaired,Ändringstilldelning reparerad
Change Price,Ändra pris
Change Return,Ändra retur
Change Returned,Ändring returneras
Change terminal cashier,Byt terminalkassa
Charge Heads,Laddningshuvuden
Charges,Avgifter
Charges not found,Avgifter hittades inte
Check Balance,Kontrollera saldo
Check balance for any card. Supervisors can issue and top up cards here.,Kontrollera saldot för vilket kort som helst. Handledare kan utfärda och fylla på kort här.
Check balance only,Kontrollera endast saldot
Check for new commits,Kontrollera om det finns nya commits
Check for Updates,Sök efter uppdateringar
Check live balance before applying redemption,Kontrollera livesaldo innan du tillämpar inlösen
Check live balance before redemption,Kontrollera livesaldo innan inlösen
Checking...,Kontrollerar...
Cheque/Reference Date,Check/referensdatum
Cheque/Reference No,Check/referensnr
Choose the cashier currently operating this terminal.,Välj den kassörska som för närvarande använder denna terminal.
City,Stad
Clear,Rensa
Clear All,Rensa alla
Clear all barcode items,Rensa alla streckkodsobjekt
Clear all purchase order items,Rensa alla inköpsorderartiklar
Clear Search,Rensa sökning
Clearing local cache...,Rensar lokal cache...
Click to refresh,Klicka för att uppdatera
Client CPU Lag:,Klient CPU-fördröjning:
Client Memory Usage:,Klientminnesanvändning:
Client Metrics,Klientstatistik
Close about dialog,Stäng om dialog
Close cashier switcher,Stäng kassaväxeln
Close closing shift dialog,Stäng stängande skiftdialog
Close column selector,Stäng kolumnväljaren
Close Dialog,Stäng dialog
Close drafts dialog,Stäng dialogrutan för utkast
Close invoice details dialog,Stäng dialogrutan för fakturainformation
Close invoice management,Stäng fakturahantering
Close offline invoices dialog,Stäng dialogrutan för offlinefakturor
Close packing list dialog,Stäng packlistans dialogruta
Close returns dialog,Stäng returdialogen
Close sales orders dialog,Stäng försäljningsorderdialogen
Close Scanner,Stäng skannern
Close scanner dialog,Stäng skannerdialogrutan
Close Settings,Stäng Inställningar
Closing Amount,Slutbelopp
Closing POS Shift,Stänger POS Shift
Closing Snapshot Available,Avslutande ögonblicksbild tillgänglig
Code,Kod
Code scanned successfully,Koden har skannats
COGS,COGS
Collapse item details,Komprimera objektinformation
Collected,Samlade
Cols,Cols
Columns,Kolumner
commits,begår
Completed and active sales in this range,Genomförd och aktiv försäljning i detta sortiment
Completed returns will appear here.,Ifyllda returer kommer att visas här.
Confirm,Bekräfta
Confirm Close,Bekräfta Stäng
Confirm Mobile Number,Bekräfta mobilnummer
Confirm PIN,Bekräfta PIN-koden
Connect,Anslut
Connect printer and manage certificate,Anslut skrivare och hantera certifikat
Connecting to QZ Tray...,Ansluter till QZ Tray...
Connection problem while submitting invoice,Anslutningsproblem vid inlämning av faktura
Connections:,Anslutningar:
Connectivity and cached prerequisite status were rechecked.,Anslutning och cachad förutsättningsstatus kontrollerades igen.
Continue Editing,Fortsätt redigera
Could not fetch latest balance from server,Det gick inte att hämta senaste saldot från servern
Count,Räkna
Country,Land
Coupon,Kupong
Coupons,Kuponger
Cover,Omslag
CPU Cores:,CPU-kärnor:
Create,Skapa
Create and load a new prepaid card,Skapa och ladda ett nytt kontantkort
Create and preload a new gift card,Skapa och förladda ett nytt presentkort
Create Bill,Skapa Bill
Create Customer,Skapa kund
Create New Item,Skapa nytt objekt
Create or change your PIN,Skapa eller ändra din PIN-kod
Create PIN,Skapa PIN-kod
Create POS Opening Shift,Skapa POS-öppningsskift
Create Purchase Order,Skapa inköpsorder
Create Return,Skapa retur
Create return from invoice,Skapa retur från faktura
Create Supplier,Skapa leverantör
Credit and Output,Kredit och produktion
Credit Note,Kreditnota
Credit Outstanding,Kredit utestående
Credit sales remaining to be collected,Kreditförsäljning återstår att samla in
Critical,Kritisk
Currency,Valuta
Current,Aktuell
Current Event Loop Lag:,Aktuell händelsefördröjning:
Current Month,Aktuell månad
Current PIN,Aktuell PIN-kod
Current Profile,Aktuell profil
Current redeemable value on the gift card,Aktuellt inlösenvärde på presentkortet
Current User,Nuvarande användare
Custom,Anpassad
Custom Due Days,Anpassade förfallodagar
Custom items per page,Anpassade artiklar per sida
Customer,Kund
Customer already selected,Kunden är redan vald
Customer Balance,Kundsaldo
Customer balance unavailable offline,Kundsaldot är inte tillgängligt offline
Customer created successfully.,Kunden skapades framgångsrikt.
Customer creation failed.,Kundskapandet misslyckades.
Customer Details,Kundinformation
Customer display channel is missing,Kundvisningskanal saknas
Customer display was blocked. Please allow pop-ups for this site.,Kundvisning blockerades. Tillåt popup-fönster för denna webbplats.
Customer group is required,Kundgrupp krävs
Customer is required to add payment,Kunden måste lägga till betalning
Customer Name is required,Kundnamn krävs
Customer not selected,Kunden inte vald
Customer Report,Kundrapport
Customer saved offline,Kunden har sparats offline
Customer Screen,Kundskärm
Customer territory is required,Kundområde krävs
Customer updated successfully.,Kunden har uppdaterats.
Customer-facing tools and printer setup.,Kundinriktade verktyg och skrivarinställningar.
Customers,Kunder
Customers not found,Kunder hittades inte
Daily cashier actions without scrolling.,Dagliga kassaåtgärder utan att rulla.
Daily Sales,Daglig försäljning
Daily Sales Summary,Daglig försäljningsöversikt
Data loaded in form. Review and submit.,Data laddas i form. Granska och skicka in.
Database Health,Databashälsa
Database health affects overall system speed and reliability.,Databasens hälsa påverkar systemets övergripande hastighet och tillförlitlighet.
Database Info,Databas info
Date,Datum
Day ?,dag?
days,dagar
Day-wise (MTD),Dagsmässigt (MTD)
Day-wise Movement,Daglig rörelse
Dead Stock,Dött lager
Dead Stock Items,Döda lagervaror
Decrease quantity,Minska mängden
Default,Standard
Default:,Standard:
Delete,Ta bort
Delete cancelled cash movement {0}?,Ta bort avbruten kontantrörelse {0}?
Delete Draft,Ta bort utkast
Delete draft invoice,Ta bort fakturautkast
Delete draft invoice {0}?,Vill du ta bort utkast till faktura {0}?
Delete Invoice,Ta bort faktura
Delete offline invoice,Ta bort offlinefaktura
Delivered,Levereras
Delivery Charges,Leveransavgifter
Delivery Information,Leveransinformation
Delivery Note {0} created,Leveransnotis {0} har skapats
Delivery note created,Följesedel skapad
Deployed Bundle:,Utplacerat paket:
Deposit,Deposition
Description,Beskrivning
Detailed Supplier Breakdown,Detaljerad leverantörsuppdelning
Detecting formats:,Upptäcker format:
Device Memory:,Enhetsminne:
Difference,Skillnad
Difference (In Company Currency),Skillnad (i företagets valuta)
Disable offline mode first to recheck live connectivity.,Inaktivera offlineläget först för att kontrollera live-anslutning igen.
Disconnect,Koppla från
discount,rabatt
Discount %,rabatt %
Discount / Void / Return Report,Rabatt / ogiltig / returrapport
Discount Amount,Rabattbelopp
Discount limited by POS Profile,Rabatten begränsas av POS-profilen
Discounted Invoices,Rabatterade fakturor
Discounts,Rabatter
Dismiss,Avvisa
Download Certificate,Ladda ner certifikat
Draft,Utkast
Draft invoice deleted,Utkast till faktura raderat
Draft source,Utkast till källa
Drafts,Utkast
Due {0},Förfaller {0}
Due Date,Förfallodatum
Duplicate,Duplicera
Edit customer,Redigera kund
Edit discount amount,Redigera rabattbelopp
Edit discount percentage,Redigera rabattprocent
Edit Gift Application,Redigera presentansökan
Edit item name,Redigera objektets namn
Edit quantity,Redigera kvantitet
Edit rate,Redigera hastighet
Edit unit of measure,Redigera måttenhet
Edited,Redigerat
Employee,Anställd
Enable background sync,Aktivera bakgrundssynkronisering
Enable Customer Display in POS Profile first.,Aktivera kundvisning i POS-profil först.
Enter a PIN.,Ange en PIN-kod.
Enter a valid grams value,Ange ett giltigt gramvärde
Enter new price list rate,Ange ny prislista
Enter Quantity,Ange kvantitet
Enter the cashier PIN to continue.,Ange kassans PIN-kod för att fortsätta.
Enter the current PIN first.,Ange den aktuella PIN-koden först.
"Enter the current PIN, then choose a new one.",Ange den nuvarande PIN-koden och välj sedan en ny.
Enter valid grams for scale barcode,Ange giltiga gram för skalans streckkod
Entries,Inlägg
Error accessing camera:,Fel vid åtkomst till kameran:
Error calculating prices,Fel vid beräkning av priser
Error fetching customer balance,Det gick inte att hämta kundsaldo
Error in change calculations!,Fel i ändringsberäkningar!
Error Loading Data,Fel vid inläsning av data
Error loading invoice details,Det gick inte att läsa in fakturainformation
Error processing invoice,Fel vid behandling av faktura
Error processing payment,Det gick inte att behandla betalningen
Error searching invoices,Fel vid sökning av fakturor
Error submitting invoice:,Fel när faktura skickades:
Error submitting invoice: {0},Fel när faktura skickades: {0}
Error submitting invoice: No response from server,Fel vid inlämning av faktura: Inget svar från servern
Error updating currency,Fel vid uppdatering av valuta
Error updating item details,Fel vid uppdatering av artikelinformation
Est. Purchase,Uppskattad Köp
Est. Value,Uppskattad Värde
Event-loop lag measures how busy your browser is. Lower is better.,Event-loop lag mäter hur upptagen din webbläsare är. Lägre är bättre.
Every,Varje
Exchange Rate,Växelkurs
Expand item details,Expandera artikelinformation
Expected Amount (In Company Currency),Förväntat belopp (i företagets valuta)
Expected Cash,Förväntade kontanter
Expected cash on hand grouped by currency,Förväntade kontanter till hands grupperade efter valuta
Expected vs Actual,Förväntad vs faktisk
Expense,Kostnad
Expense Account (Optional Override),Utgiftskonto (valfritt åsidosättande)
Expense account is required.,Utgiftskonto krävs.
Expenses and deposits posted during this shift,Kostnader och insättningar bokförts under detta skift
Expired,Utgått
Failed to auto reconcile payments.,Det gick inte att automatiskt stämma av betalningar.
Failed to cancel cash movement,Det gick inte att avbryta kontantrörelsen
Failed to clear cache,Det gick inte att rensa cacheminnet
Failed to create item,Det gick inte att skapa objektet
Failed to create supplier,Det gick inte att skapa leverantör
Failed to delete cash movement,Det gick inte att ta bort kontantrörelsen
Failed to generate scale barcode. Using item barcode only.,Det gick inte att generera skalstreckkod. Använder endast artikelstreckkod.
Failed to load cash movement context.,Det gick inte att läsa in kontext för kontantrörelse.
Failed to load dashboard data.,Det gick inte att läsa in instrumentpanelsdata.
Failed to reload invoice from server,Det gick inte att ladda om fakturan från servern
Failed to submit cash movement,Det gick inte att skicka in kontantrörelse
Failed to sync offline cash movements,Det gick inte att synkronisera kontantrörelser offline
Fast cashier actions for active shifts.,Snabba kassaåtgärder för aktiva skift.
Fast Moving Items,Snabbrörliga föremål
Fees,Avgifter
Fetch the latest offline prerequisite updates,Hämta de senaste offline-förutsättningsuppdateringarna
Find a sales order quickly and load it into the current sale.,Hitta en försäljningsorder snabbt och ladda den i den aktuella försäljningen.
Fixing payment amounts for return invoice...,Fastställande av betalningsbelopp för returfaktura...
Flash Off,Blixt av
Flash On,Blixt på
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","För 'Produktpaket'-artiklar kommer lager, serienummer och batchnummer att beaktas från tabellen 'Packlista'. Om Warehouse och Batch No är samma för alla förpackningsartiklar för någon 'Produktpaket'-artikel, kan dessa värden anges i huvudartikeltabellen; värden kommer att kopieras till tabellen 'Packlista'."
Free,Gratis
Free Qty,Gratis antal
Frequency,Frekvens
from,från
From Date,Från datum
Fulfillment Details,Uppfyllelse detaljer
Full Name,Fullständigt namn
Gain,Vinst
Generate a fresh prepaid card and start it with an opening balance.,Skapa ett nytt kontantkort och starta det med ett ingående saldo.
Generate and install the certificate to allow fully silent printing without trust prompts.,Generera och installera certifikatet för att tillåta helt tyst utskrift utan förtroendeuppmaningar.
Generate Certificate,Skapa certifikat
Generated scale barcode: {0},Genererad skalstreckkod: {0}
Get Payments,Få betalningar
Gift Card,Presentkort
Gift card amount must be greater than zero.,Presentkortsbeloppet måste vara större än noll.
Gift Card Code,Presentkortskod
Gift card code is required for redemption,Presentkortskod krävs för att lösa in
Gift card code is required.,Presentkortskod krävs.
Gift card issued successfully.,Presentkort har utfärdats.
Gift card loaded successfully.,Presentkortet har laddats.
Gift Card Management,Presentkortshantering
Gift card payment,Presentkortsbetalning
Gift card redemption requires an online connection,Inlösen av presentkort kräver en onlineanslutning
Gift card topped up successfully.,Presentkortet fylldes på.
Gift Cards,Presentkort
Go to Frappe Desk,Gå till Frappe Desk
Grand Total,Totalsumma
Gross Margin,Bruttomarginal
Gross Profit,Bruttovinst
Gross Sales,Bruttoförsäljning
Group not found,Gruppen hittades inte
"Grouped controls for terminal, UI, and session settings.","Grupperade kontroller för terminal, UI och sessionsinställningar."
Grouped totals for each payment method and currency,Grupperade summor för varje betalningsmetod och valuta
Hide,Göm
Hide Gift Card,Göm presentkort
Hide Non Essential Fields,Dölj icke väsentliga fält
Hide quantity decimals,Dölj antal decimaler
Hide search tools,Dölj sökverktyg
Hide zero rated items,Dölj objekt med noll betyg
High,Hög
History,Historia
Hourly (Today),Varje timme (idag)
How this section works,Hur det här avsnittet fungerar
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","Om inaktuella data finns kvar, öppna Inställningar > Offline och synkronisera och kör Rebuild Offline Data igen medan du är online."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","Om varningen kvarstår, öppna Inställningar > Offline & synkronisering och kör sedan Uppdatera offlinedata eller Bygg om offlinedata."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,Importera certifikatet till QZ Tray och starta om QZ Tray på varje POS-maskin.
In,In
In stock: {0},I lager: {0}
Include Batch / Serial,Inkludera batch / seriell
Include Price,Inkludera pris
Increase quantity,Öka kvantiteten
IndexedDB,IndexeradDB
Initial Amount,Ursprungligt belopp
Initialize your shift with opening balances,Initiera ditt skifte med ingående saldon
Initializing application...,Initierar applikation...
"Inspect cache, sync, and prerequisite status","Inspektera cache, synkronisering och förutsättningsstatus"
Installed Applications,Installerade applikationer
Insufficient stock:\n{0},Otillräckligt lager:\n{0}
Invalid rate,Ogiltig kurs
Inventory Status Report,Lagerstatusrapport
Invoice,Faktura
Invoice {0} is Submitted,Faktura {0} har skickats
Invoice {0} processed successfully,Fakturan {0} behandlades framgångsrikt
Invoice {0} submission failed,Inlämning av faktura {0} misslyckades
Invoice {0} was already submitted,Faktura {0} har redan skickats
Invoice Adjustments,Fakturajusteringar
Invoice Change,Fakturaändring
Invoice Details,Fakturainformation
Invoice is still in draft after background submission.,Fakturan är fortfarande i utkast efter bakgrundsinlämning.
Invoice Items,Fakturaartiklar
Invoice Management,Fakturahantering
Invoice Mgmt,Fakturaadministration
Invoice saved offline,Faktura sparad offline
Invoice submission failed,Det gick inte att skicka faktura
Invoice Submitted,Faktura inlämnad
"Invoice value settled by loyalty points, not cash collection","Fakturavärde avräknas med lojalitetspoäng, inte kontantinsamling"
Invoices,Fakturor
Invoices already past due date,Fakturor redan förfallna
Invoices saved as POS Invoices,Fakturor sparade som POS-fakturor
Invoices still carrying balances,Fakturorna har fortfarande saldon
Issue Mode,Problemläge
Issue New Card,Ge ut nytt kort
Issue Workflow,Problem Workflow
"Issue, top up, and check","Ge ut, fyll på och kontrollera"
Item,Objekt
Item / Product Sales Report,Artikel-/produktförsäljningsrapport
Item {0} added to invoice,Objekt {0} har lagts till på fakturan
Item '{0}' has no barcode,Objektet '{0}' har ingen streckkod
Item Code,Artikelkod
Item created successfully,Objektet har skapats
Item is out of stock,Varan är slut i lager
Item Name,Objektets namn
Item not found,Objektet hittades inte
Item order updated,Artikelorder uppdaterad
Item Selector Settings,Objektväljarinställningar
Items,Föremål
Items added in POS will appear here automatically.,Objekt som läggs till i POS visas här automatiskt.
Items added to invoice,Artiklar läggs till på fakturan
Items per page,Objekt per sida
Items Sold,Sålda föremål
Items/Invoice,Artiklar/Faktura
Item-wise Profitability,Artikelvis lönsamhet
Journal Entry,Journalanteckning
json,json
Just now,Just nu
Keep offline prerequisites healthy and recover stale data safely.,Håll offlineförutsättningarna sunda och återställ inaktuella data på ett säkert sätt.
Labels,Etiketter
"Language, theme, terminal tools, and session controls.","Språk, tema, terminalverktyg och sessionskontroller."
Last,Sist
Last 14 Days (Paid vs Pending),Senaste 14 dagarna (betald vs väntande)
Last 14 Days Activity,Senaste 14 dagars aktivitet
Last 14 Days Gross Profit,De senaste 14 dagarnas bruttovinst
Last 14 Days Purchases,Senaste 14 dagars köp
Last 14 Days Tax/Charges,Senaste 14 dagars skatt/avgifter
Last sync:,Senaste synkronisering:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},Senaste synkronisering: {0} | ok: {1} | misslyckades: {2} | hoppade över: {3}
Latest entries for current shift,Senaste inlägg för aktuellt skift
Lead Time,Ledtid
Limited,Begränsad
lines,linjer
List,Lista
Live Snapshot,Live Snapshot
Load a POS profile and cashier first.,Ladda en POS-profil och kassörska först.
Load More Invoices,Ladda fler fakturor
Load previously saved invoices,Ladda tidigare sparade fakturor
Load Sale,Ladda Rea
Load Sales Invoice,Ladda försäljningsfaktura
Loading app data...,Laddar appdata...
Loading customer database...,Laddar kunddatabas...
Loading customers...,Laddar kunder...
Loading database stats...,Laddar databasstatistik...
Loading details...,Läser in detaljer...
Loading invoice history...,Läser in fakturahistorik...
Loading items...,Laddar objekt...
Loading product catalog...,Laddar produktkatalog...
Loading return invoices...,Laddar returfakturor...
Loading server CPU/memory usage...,Laddar serverns CPU/minnesanvändning...
Loading suppliers...,Laddar leverantörer...
Loading unpaid invoices...,Laddar obetalda fakturor...
Loading view...,Laddar vy...
Loading...,Laddar...
Local storage is unavailable. Switching to online-only mode.,Lokal lagring är inte tillgänglig. Byter till endast online-läge.
localStorage,localStorage
Location Performance,Platsprestanda
Locations,Platser
Lock Screen,Låsskärm
Lookup Workflow,Sök arbetsflöde
Loss,Förlust
Low,Låg
Low Stock,Lågt lager
Low Stock Alerts,Låg lagervarning
Low Stock Items,Lågt lager
Low Stock Threshold,Lågt lagertröskel
Low Stock Total,Lågt lager totalt
Lowest Margin,Lägsta marginal
Low-frequency maintenance and system details.,Lågfrekvent underhåll och systemdetaljer.
Loyalty Redeemed,Lojalitet inlöst
Loyalty Redemption,Lojalitet Redemption
Make New Payment,Gör ny betalning
Manage all,Hantera alla
Manage and synchronize your offline transactions,Hantera och synkronisera dina offlinetransaktioner
