POS Awesome,POS Geweldig
Cash In Hand,Contant geld in de hand
Cash Movement,Geldbeweging
Cash movement cancelled,Geldbeweging geannuleerd
Cash movement deduction applied,Contante bewegingsaftrek toegepast
Cash movement deleted,Geldbeweging verwijderd
Cash movement is disabled for this POS Profile.,Het verplaatsen van contant geld is uitgeschakeld voor dit POS-profiel.
Cash Movement is disabled in current POS Profile.,Contantbeweging is uitgeschakeld in het huidige POS-profiel.
Cash movement saved offline,Geldbewegingen offline opgeslagen
Cash movement submitted,Geldbeweging ingediend
Cash Movements,Geldbewegingen
Cash payment cannot be less than invoice total when partial payment is not allowed,Contante betaling kan niet lager zijn dan het factuurtotaal wanneer gedeeltelijke betaling niet is toegestaan
Cash returned after payment,Contant geld terug na betaling
Cashier,Kassier
Cashier Access,Toegang tot kassa
Cashier identity and appearance preferences.,Kassieridentiteit en uiterlijkvoorkeuren.
Cashier PIN,Kassier-pincode
Cashier PIN saved successfully.,Kassierpincode succesvol opgeslagen.
Cashiers,Kassiers
Cashier-wise,Kassier-gewijs
Categories,Categorieën
Category,Categorie
Category / Brand / Variant Report,Categorie / Merk / Variantrapport
Category-wise,Categoriegewijs
Category-wise Margin,Categoriegewijs marge
Certificate,Certificaat
Certificate is missing or not trusted. QZ may show confirmation dialogs.,Certificaat ontbreekt of wordt niet vertrouwd. QZ kan bevestigingsdialoogvensters weergeven.
Certificate is trusted. Silent QZ printing is active.,Certificaat is vertrouwd. Stil QZ-printen is actief.
Change,Verandering
Change allocation repaired,Wijzigingstoewijzing gerepareerd
Change Price,Wijzig prijs
Change Return,Wijzig retour
Change Returned,Wijziging geretourneerd
Change terminal cashier,Wissel terminalkassier
Charge Heads,Laadhoofden
Charges,Kosten
Charges not found,Kosten niet gevonden
Check Balance,Controleer het saldo
Check balance for any card. Supervisors can issue and top up cards here.,Controleer het saldo voor elke kaart. Toezichthouders kunnen hier kaarten uitgeven en opwaarderen.
Check balance only,Controleer alleen het saldo
Check for new commits,Controleer op nieuwe commits
Check for Updates,Controleer op updates
Check live balance before applying redemption,Controleer het live saldo voordat u de inwisseling toepast
Check live balance before redemption,Controleer het live saldo voordat u het inwisselt
Checking...,Controleren...
Cheque/Reference Date,Cheque/referentiedatum
Cheque/Reference No,Cheque/referentienr
Choose the cashier currently operating this terminal.,Kies de kassier die momenteel deze terminal bedient.
City,Stad
Clear,Duidelijk
Clear All,Alles wissen
Clear all barcode items,Wis alle streepjescode-items
Clear all purchase order items,Wis alle inkooporderitems
Clear Search,Zoekopdracht wissen
Clearing local cache...,Lokale cache wissen...
Click to refresh,Klik om te vernieuwen
Client CPU Lag:,CPU-vertraging van client:
Client Memory Usage:,Clientgeheugengebruik:
Client Metrics,Klantstatistieken
Close about dialog,Sluiten over dialoog
Close cashier switcher,Sluit de kassierwisselaar
Close closing shift dialog,Sluit het sluitende ploegdialoogvenster
Close column selector,Sluit de kolomkiezer
Close Dialog,Dialoogvenster sluiten
Close drafts dialog,Sluit het conceptdialoogvenster
Close invoice details dialog,Dialoogvenster met factuurdetails sluiten
Close invoice management,Factuurbeheer afsluiten
Close offline invoices dialog,Sluit het dialoogvenster Offline facturen
Close packing list dialog,Sluit het paklijstdialoogvenster
Close returns dialog,Sluit het retourdialoogvenster
Close sales orders dialog,Dialoogvenster verkooporders sluiten
Close Scanner,Sluit Scanner
Close scanner dialog,Sluit het scannerdialoogvenster
Close Settings,Sluit Instellingen
Closing Amount,Slotbedrag
Closing POS Shift,POS-shift sluiten
Closing Snapshot Available,Sluitingsmomentopname beschikbaar
Code,Codeer
Code scanned successfully,Code succesvol gescand
COGS,COGS
Collapse item details,Artikeldetails samenvouwen
Collected,Verzameld
Cols,Col
Columns,Kolommen
commits,pleegt
Completed and active sales in this range,Voltooide en actieve verkopen in dit assortiment
Completed returns will appear here.,Hier verschijnen voltooide retourzendingen.
Confirm,Bevestig
Confirm Close,Bevestig Sluiten
Confirm Mobile Number,Bevestig mobiel nummer
Confirm PIN,Bevestig pincode
Connect,Verbinden
Connect printer and manage certificate,Sluit de printer aan en beheer het certificaat
Connecting to QZ Tray...,Verbinding maken met QZ-lade...
Connection problem while submitting invoice,Verbindingsprobleem tijdens het indienen van de factuur
Connections:,Aansluitingen:
Connectivity and cached prerequisite status were rechecked.,De connectiviteit en de vereiste status in de cache zijn opnieuw gecontroleerd.
Continue Editing,Ga door met bewerken
Could not fetch latest balance from server,Kan het laatste saldo niet ophalen van de server
Count,Tel
Country,Land
Coupon,Coupon
Coupons,Coupons
Cover,Deksel
CPU Cores:,CPU-kernen:
Create,Creëer
Create and load a new prepaid card,Maak en laad een nieuwe prepaidkaart
Create and preload a new gift card,Maak een nieuwe cadeaubon aan en laad deze vooraf
Create Bill,Maak een factuur
Create Customer,Klant aanmaken
Create New Item,Nieuw artikel maken
Create or change your PIN,Maak of wijzig uw pincode
Create PIN,Maak pincode aan
Create POS Opening Shift,Maak een POS-openingsploeg
Create Purchase Order,Inkooporder maken
Create Return,Retour maken
Create return from invoice,Retour van factuur maken
Create Supplier,Leverancier aanmaken
Credit and Output,Krediet en output
Credit Note,Creditnota
Credit Outstanding,Uitstaand krediet
Credit sales remaining to be collected,Kredietverkopen die nog moeten worden geïnd
Critical,Kritisch
Currency,Valuta
Current,Huidig
Current Event Loop Lag:,Huidige gebeurtenislusvertraging:
Current Month,Huidige maand
Current PIN,Huidige pincode
Current Profile,Huidig profiel
Current redeemable value on the gift card,Huidige inwisselbare waarde op de cadeaukaart
Current User,Huidige gebruiker
Custom,Aangepast
Custom Due Days,Aangepaste vervaldagen
Custom items per page,Aangepaste items per pagina
Customer,Klant
Customer already selected,Klant al geselecteerd
Customer Balance,Klantsaldo
Customer balance unavailable offline,Klantsaldo offline niet beschikbaar
Customer created successfully.,Klant is succesvol aangemaakt.
Customer creation failed.,Het maken van klanten is mislukt.
Customer Details,Klantgegevens
Customer display channel is missing,Klantweergavekanaal ontbreekt
Customer display was blocked. Please allow pop-ups for this site.,Klantendisplay was geblokkeerd. Sta pop-ups toe voor deze site.
Customer group is required,Klantgroep is vereist
Customer is required to add payment,Klant is verplicht om de betaling toe te voegen
Customer Name is required,Klantnaam is vereist
Customer not selected,Klant niet geselecteerd
Customer Report,Klantrapport
Customer saved offline,Klant offline opgeslagen
Customer Screen,Klantscherm
Customer territory is required,Klantterritorium is vereist
Customer updated successfully.,Klant is succesvol bijgewerkt.
Customer-facing tools and printer setup.,Klantgerichte tools en printerinstallatie.
Customers,Klanten
Customers not found,Klanten niet gevonden
Daily cashier actions without scrolling.,Dagelijkse kassaacties zonder te scrollen.
Daily Sales,Dagelijkse verkoop
Daily Sales Summary,Dagelijks verkoopoverzicht
Data loaded in form. Review and submit.,Gegevens geladen in formulier. Beoordelen en indienen.
Database Health,Databasestatus
Database health affects overall system speed and reliability.,De databasestatus heeft invloed op de algehele systeemsnelheid en betrouwbaarheid.
Database Info,Database-informatie
Date,Datum
Day ?,Dag?
days,dagen
Day-wise (MTD),Daggewijs (MTD)
Day-wise Movement,Dagwijze beweging
Dead Stock,Dode voorraad
Dead Stock Items,Dode voorraadartikelen
Decrease quantity,Hoeveelheid verlagen
Default,Standaard
Default:,Standaard:
Delete,Verwijderen
Delete cancelled cash movement {0}?,Geannuleerde geldbeweging {0} verwijderen?
Delete Draft,Concept verwijderen
Delete draft invoice,Conceptfactuur verwijderen
Delete draft invoice {0}?,Conceptfactuur {0} verwijderen?
Delete Invoice,Factuur verwijderen
Delete offline invoice,Offline factuur verwijderen
Delivered,Geleverd
Delivery Charges,Bezorgkosten
Delivery Information,Leveringsinformatie
Delivery Note {0} created,Leveringsbon {0} aangemaakt
Delivery note created,Leveringsbon aangemaakt
Deployed Bundle:,Geïmplementeerde bundel:
Deposit,Borg
Description,Beschrijving
Detailed Supplier Breakdown,Gedetailleerde leveranciersspecificatie
Detecting formats:,Formaten detecteren:
Device Memory:,Apparaatgeheugen:
Difference,Verschil
Difference (In Company Currency),Verschil (in bedrijfsvaluta)
Disable offline mode first to recheck live connectivity.,Schakel eerst de offline modus uit om de live connectiviteit opnieuw te controleren.
Disconnect,Verbreek de verbinding
discount,korting
Discount %,Korting %
Discount / Void / Return Report,Kortings- / ongeldig- / retourrapport
Discount Amount,Kortingsbedrag
Discount limited by POS Profile,Korting beperkt door POS-profiel
Discounted Invoices,Korting op facturen
Discounts,Kortingen
Dismiss,Negeren
Download Certificate,Certificaat downloaden
Draft,Diepgang
Draft invoice deleted,Conceptfactuur verwijderd
Draft source,Conceptbron
Drafts,Concepten
Due {0},Vervaldatum {0}
Due Date,Vervaldatum
Duplicate,Duplicaat
Edit customer,Klant bewerken
Edit discount amount,Kortingsbedrag bewerken
Edit discount percentage,Kortingspercentage bewerken
Edit Gift Application,Cadeauaanvraag bewerken
Edit item name,Artikelnaam bewerken
Edit quantity,Hoeveelheid bewerken
Edit rate,Tarief bewerken
Edit unit of measure,Maateenheid bewerken
Edited,Bewerkt
Employee,Medewerker
Enable background sync,Schakel achtergrondsynchronisatie in
Enable Customer Display in POS Profile first.,Schakel eerst Klantweergave in POS-profiel in.
Enter a PIN.,Voer een pincode in.
Enter a valid grams value,Voer een geldige gramwaarde in
Enter new price list rate,Voer een nieuw prijslijsttarief in
Enter Quantity,Voer hoeveelheid in
Enter the cashier PIN to continue.,Voer de pincode van de kassier in om door te gaan.
Enter the current PIN first.,Voer eerst de huidige pincode in.
"Enter the current PIN, then choose a new one.",Voer de huidige pincode in en kies vervolgens een nieuwe.
Enter valid grams for scale barcode,Voer geldige grammen in voor de streepjescode van de weegschaal
Entries,Inzendingen
Error accessing camera:,Fout bij toegang tot camera:
Error calculating prices,Fout bij het berekenen van prijzen
Error fetching customer balance,Fout bij ophalen van klantensaldo
Error in change calculations!,Fout bij wijzigingsberekeningen!
Error Loading Data,Fout bij het laden van gegevens
Error loading invoice details,Fout bij het laden van factuurgegevens
Error processing invoice,Fout bij verwerken factuur
Error processing payment,Fout bij het verwerken van de betaling
Error searching invoices,Fout bij zoeken naar facturen
Error submitting invoice:,Fout bij het indienen van de factuur:
Error submitting invoice: {0},Fout bij indienen factuur: {0}
Error submitting invoice: No response from server,Fout bij het indienen van de factuur: geen reactie van de server
Error updating currency,Fout bij updaten van valuta
Error updating item details,Fout bij updaten van itemdetails
Est. Purchase,Geschat. Aankoop
Est. Value,Geschat. Waarde
Event-loop lag measures how busy your browser is. Lower is better.,Event-loop lag meet hoe druk uw browser is. Lager is beter.
Every,Elke
Exchange Rate,Wisselkoers
Expand item details,Vouw artikeldetails uit
Expected Amount (In Company Currency),Verwacht bedrag (in bedrijfsvaluta)
Expected Cash,Verwacht contant geld
Expected cash on hand grouped by currency,Verwacht contant geld gegroepeerd per valuta
Expected vs Actual,Verwacht versus feitelijk
Expense,Kosten
Expense Account (Optional Override),Onkostenrekening (optioneel overschrijven)
Expense account is required.,Onkostenrekening is vereist.
Expenses and deposits posted during this shift,Tijdens deze dienst geboekte uitgaven en deposito's
Expired,Verlopen
Failed to auto reconcile payments.,Kan betalingen niet automatisch afstemmen.
Failed to cancel cash movement,Kan contante verplaatsing niet annuleren
Failed to clear cache,Kan de cache niet wissen
Failed to create item,Kan item niet maken
Failed to create supplier,Kan leverancier niet aanmaken
Failed to delete cash movement,Kan contant geldbeweging niet verwijderen
Failed to generate scale barcode. Using item barcode only.,Kan de streepjescode voor de weegschaal niet genereren. Alleen gebruik van de artikelbarcode.
Failed to load cash movement context.,Kan context voor contante verplaatsing niet laden.
Failed to load dashboard data.,Kan dashboardgegevens niet laden.
Failed to reload invoice from server,Kan de factuur niet opnieuw laden van de server
Failed to submit cash movement,Het is niet gelukt om de contante verplaatsing in te dienen
Failed to sync offline cash movements,Kan offline geldbewegingen niet synchroniseren
Fast cashier actions for active shifts.,Snelle kassaacties voor actieve diensten.
Fast Moving Items,Snel bewegende items
Fees,Kosten
Fetch the latest offline prerequisite updates,Haal de nieuwste offline vereiste updates op
Find a sales order quickly and load it into the current sale.,Vind snel een verkooporder en laad deze in de huidige verkoop.
Fixing payment amounts for return invoice...,Betalingsbedragen voor retourfactuur fixeren...
Flash Off,Flitser uit
Flash On,Flitser aan
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","Voor 'Productbundel'-artikelen worden magazijn-, serienummer en batchnummer in aanmerking genomen uit de tabel 'Paklijst'. Als Magazijn en Batchnummer hetzelfde zijn voor alle verpakkingsartikelen voor een 'Productbundel'-artikel, kunnen deze waarden worden ingevoerd in de hoofdartikeltabel; waarden worden gekopieerd naar de tabel 'Paklijst'."
Free,Gratis
Free Qty,Gratis aantal
Frequency,Frequentie
from,van
From Date,Vanaf Datum
Fulfillment Details,Uitvoeringsdetails
Full Name,Volledige naam
Gain,Winst
Generate a fresh prepaid card and start it with an opening balance.,Genereer een nieuwe prepaidkaart en start deze met een openingssaldo.
Generate and install the certificate to allow fully silent printing without trust prompts.,Genereer en installeer het certificaat om volledig stil afdrukken zonder vertrouwensprompts mogelijk te maken.
Generate Certificate,Certificaat genereren
Generated scale barcode: {0},Gegenereerde weegschaalbarcode: {0}
Get Payments,Betalingen ontvangen
Gift Card,Cadeaukaart
Gift card amount must be greater than zero.,Het bedrag op de cadeaubon moet groter zijn dan nul.
Gift Card Code,Cadeaukaartcode
Gift card code is required for redemption,Voor het inwisselen is een cadeaukaartcode vereist
Gift card code is required.,Cadeaukaartcode is vereist.
Gift card issued successfully.,Cadeaukaart succesvol uitgegeven.
Gift card loaded successfully.,Cadeaukaart succesvol geladen.
Gift Card Management,Beheer van cadeaukaarten
Gift card payment,Betaling met cadeaukaart
Gift card redemption requires an online connection,Voor het inwisselen van een cadeaukaart is een online verbinding vereist
Gift card topped up successfully.,Cadeaukaart succesvol opgewaardeerd.
Gift Cards,Cadeaubonnen
Go to Frappe Desk,Ga naar Frappe Desk
Grand Total,Algemeen totaal
Gross Margin,Bruto marge
Gross Profit,Bruto winst
Gross Sales,Bruto omzet
Group not found,Groep niet gevonden
"Grouped controls for terminal, UI, and session settings.","Gegroepeerde bedieningselementen voor terminal-, UI- en sessie-instellingen."
Grouped totals for each payment method and currency,Gegroepeerde totalen voor elke betaalmethode en valuta
Hide,Verbergen
Hide Gift Card,Cadeaubon verbergen
Hide Non Essential Fields,Verberg niet-essentiële velden
Hide quantity decimals,Aantal decimalen verbergen
Hide search tools,Zoekhulpmiddelen verbergen
Hide zero rated items,Verberg items met een nulwaardering
High,Hoog
History,Geschiedenis
Hourly (Today),Per uur (vandaag)
How this section works,Hoe deze sectie werkt
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","Als er verouderde gegevens achterblijven, opent u Instellingen > Offline en synchronisatie en voert u Offline gegevens opnieuw opbouwen opnieuw uit terwijl u online bent."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","Als de waarschuwing blijft bestaan, open dan Instellingen > Offline en synchronisatie en voer vervolgens Offline gegevens vernieuwen of Offline gegevens opnieuw opbouwen uit."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,Importeer het certificaat in QZ Tray en start QZ Tray opnieuw op elke POS-machine.
In,In
In stock: {0},Op voorraad: {0}
Include Batch / Serial,Inclusief batch/serieel
Include Price,Inclusief prijs
Increase quantity,Verhoog de hoeveelheid
IndexedDB,GeïndexeerdeDB
Initial Amount,Initieel bedrag
Initialize your shift with opening balances,Initialiseer uw dienst met openingsbalansen
Initializing application...,Applicatie initialiseren...
"Inspect cache, sync, and prerequisite status","Inspecteer de cache-, synchronisatie- en vereistestatus"
Installed Applications,Geïnstalleerde applicaties
Insufficient stock:\n{0},Onvoldoende voorraad:\n{0}
Invalid rate,Ongeldig tarief
Inventory Status Report,Voorraadstatusrapport
Invoice,Factuur
Invoice {0} is Submitted,Factuur {0} is verzonden
Invoice {0} processed successfully,Factuur {0} is succesvol verwerkt
Invoice {0} submission failed,Het indienen van factuur {0} is mislukt
Invoice {0} was already submitted,Factuur {0} is al ingediend
Invoice Adjustments,Factuuraanpassingen
Invoice Change,Factuurwijziging
Invoice Details,Factuurgegevens
Invoice is still in draft after background submission.,Factuur is nog steeds in concept na indiening op de achtergrond.
Invoice Items,Factuurartikelen
Invoice Management,Factuurbeheer
Invoice Mgmt,Factuurbeheer
Invoice saved offline,Factuur offline opgeslagen
Invoice submission failed,Het indienen van de factuur is mislukt
Invoice Submitted,Factuur ingediend
"Invoice value settled by loyalty points, not cash collection","Factuurwaarde wordt verrekend door spaarpunten, niet door contante incasso"
Invoices,Facturen
Invoices already past due date,Facturen zijn al over de vervaldatum
Invoices saved as POS Invoices,Facturen opgeslagen als POS-facturen
Invoices still carrying balances,Facturen met nog steeds saldi
Issue Mode,Uitgiftemodus
Issue New Card,Nieuwe kaart uitgeven
Issue Workflow,Probleem workflow
"Issue, top up, and check","Uitgeven, bijvullen en controleren"
Item,Artikel
Item / Product Sales Report,Artikel-/productverkooprapport
Item {0} added to invoice,Artikel {0} toegevoegd aan factuur
Item '{0}' has no barcode,Artikel '{0}' heeft geen streepjescode
Item Code,Artikelcode
Item created successfully,Artikel succesvol aangemaakt
Item is out of stock,Artikel is niet op voorraad
Item Name,Artikelnaam
Item not found,Artikel niet gevonden
Item order updated,Artikelvolgorde bijgewerkt
Item Selector Settings,Instellingen itemkiezer
Items,Artikelen
Items added in POS will appear here automatically.,"Artikelen die in POS zijn toegevoegd, verschijnen hier automatisch."
Items added to invoice,Artikelen toegevoegd aan factuur
Items per page,Artikelen per pagina
Items Sold,Artikelen verkocht
Items/Invoice,Artikelen/Factuur
Item-wise Profitability,Artikelgewijs winstgevendheid
Journal Entry,Journaalboeking
json,json
Just now,Zojuist
Keep offline prerequisites healthy and recover stale data safely.,Houd de offline vereisten gezond en herstel verouderde gegevens veilig.
Labels,Etiketten
"Language, theme, terminal tools, and session controls.","Taal, thema, terminaltools en sessiebediening."
Last,Laatste
Last 14 Days (Paid vs Pending),Afgelopen 14 dagen (betaald versus in behandeling)
Last 14 Days Activity,Laatste 14 dagen activiteit
Last 14 Days Gross Profit,Brutowinst van de afgelopen 14 dagen
Last 14 Days Purchases,Aankopen van de afgelopen 14 dagen
Last 14 Days Tax/Charges,Belastingen/kosten van de laatste 14 dagen
Last sync:,Laatste synchronisatie:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},Laatste synchronisatie: {0} | oké: {1} | mislukt: {2} | overgeslagen: {3}
Latest entries for current shift,Laatste invoer voor huidige dienst
Lead Time,Doorlooptijd
Limited,Beperkt
lines,lijnen
List,Lijst
Live Snapshot,Live-momentopname
Load a POS profile and cashier first.,Laad eerst een POS-profiel en kassier.
Load More Invoices,Laad meer facturen
Load previously saved invoices,Laad eerder opgeslagen facturen
Load Sale,Verkoop laden
Load Sales Invoice,Verkoopfactuur laden
Loading app data...,App-gegevens laden...
