POS Awesome,POS Skvělé
Acknowledge the error to resume scanning,Potvrďte chybu a pokračujte ve skenování
Acknowledge the error to resume scanning.,Potvrďte chybu a pokračujte ve skenování.
Across,Napříč
Action,Akce
Active sale,Aktivní prodej
add,přidat
Add items from the selector to start building this sale.,Přidejte položky ze selektoru a začněte vytvářet tento výprodej.
Add more value to an existing gift card,Přidejte další hodnotu ke stávající dárkové kartě
Add New Address,Přidat novou adresu
Add new customer,Přidat nového zákazníka
Add on New Line,Přidat na nový řádek
Add Payment,Přidat platbu
Add payment to invoice,Přidejte platbu na fakturu
Add/Edit Coupon Conditions,Přidat/upravit podmínky kupónu
Additional Discount,Dodatečná sleva
Additional Discount %,Dodatečná sleva %
Address Line 1,Řádek adresy 1
Address not found,Adresa nenalezena
Adjust the quantity or enable negative stock to continue.,"Upravte množství nebo povolte negativní zásoby, abyste mohli pokračovat."
Adjustment,Úprava
After returns,Po návratech
Against,Proti
Against Name,Proti Jménu
Age Bracket,Věková závorka
All,všechny
All Caught Up!,Vše zachyceno!
All invoices are synchronized,Všechny faktury jsou synchronizovány
All pending invoices are up to date,Všechny nevyřízené faktury jsou aktuální
All Profiles,Všechny profily
All Synchronized,Vše synchronizováno
All visible invoices are fully settled.,Všechny viditelné faktury jsou plně uhrazeny.
All Warehouses,Všechny sklady
Allowed UOM is {0},Povolená UOM je {0}
Always fetch items from server (ignore local cache),Vždy načítat položky ze serveru (ignorovat místní mezipaměť)
Amount,Částka
Amount already received,Částka již přijata
Amount exceeds profile cash movement max amount.,Částka přesahuje maximální částku pohybu hotovosti profilu.
Amount must be greater than zero.,Částka musí být větší než nula.
Amount received from customer,Částka přijatá od zákazníka
Appearance and user-level preferences for the current session.,Předvolby vzhledu a uživatelské úrovně pro aktuální relaci.
Applied,Aplikováno
Apply,Použít
Apply Gift Card,Použít dárkovou kartu
Apply Offer,Použít nabídku
Apply On,Použít na
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,"Na této faktuře použijte pouze částku, kterou chcete proplatit. Zbývající zůstatek zůstává na kartě."
Apply Redemption,Použít vyplacení
Applying,Uplatňuje se
Apps,Aplikace
Are you sure you want to close? All entered data will be lost.,Opravdu chcete zavřít? Všechna zadaná data budou ztracena.
Attributes (Size/Color),Atributy (velikost/barva)
Auto Allocate Payment Amount,Automaticky přidělit částku platby
Auto Reconcile,Automatické sladění
Auto reconciliation completed after payment submit.,Automatické odsouhlasení bylo dokončeno po odeslání platby.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Automatické odsouhlasení dokončeno. Přiděleno: {0}{1}. Zbývající nevyřízené: {0}{2}.
Available Actions,Dostupné akce
Available QTY,Dostupné množství
Available:,K dispozici:
Average Basket,Průměrný košík
Average Bill,Průměrný účet
Average Ticket,Průměrná vstupenka
Avg Bill,Prům. účet
Avg Invoice,Prům. faktura
Avg Invoice Profit,Průměrný zisk z faktury
Avg Invoice Value,Prům. hodnota faktury
Avg Purchase Frequency,Prům. frekvence nákupů
Awesome,Úžasné
Awesome Dashboard,Úžasný řídicí panel
Awesome Dashboard is disabled for the selected POS Profile.,Awesome Dashboard je pro vybraný profil POS deaktivován.
Awesome Dashboard is unavailable for the selected scope.,Awesome Dashboard není pro vybraný rozsah k dispozici.
Awesome Dashboard is visible only to POS supervisors.,Awesome Dashboard je viditelný pouze pro vedoucí POS.
Back,Zpět
Back Office Cash Account,Hotovostní účet Back Office
Back Office Cash Account (Optional Override),Hotovostní účet Back Office (volitelné přepsání)
Back office cash account is required.,Je vyžadován hotovostní účet v back office.
Back to {0},Zpět na {0}
Background processing did not finish in time.,Zpracování na pozadí nebylo dokončeno včas.
Background processing failed for Invoice {0}: {1},Zpracování na pozadí pro fakturu {0} se nezdařilo: {1}
Background Submission Failed,Odeslání na pozadí se nezdařilo
Background sync interval (seconds),Interval synchronizace na pozadí (sekundy)
Balance,Rovnováha
Balance will be updated when connection is restored,Zůstatek bude aktualizován po obnovení připojení
Balances still pending,Zůstatky stále nevyřízené
Barcode,Čárový kód
Barcode / QR Ready,Čárový kód / QR Ready
Barcode Label Printing,Tisk štítků s čárovým kódem
Base Paid:,Základní zaplaceno:
Base Recv:,Základní příjem:
Base:,základ:
Basic Information,Základní informace
Batch,Dávka
Batch Information,Informace o šarži
Before any return workflow,Před jakýmkoli návratovým pracovním postupem
Before returns,Před návraty
Best Day,Nejlepší den
Best Seller,Nejprodávanější
Book expense or deposit from active shift.,Zaúčtovat útratu nebo zálohu z aktivní směny.
Branch / Location-wise Report,Zpráva o pobočkách / lokalitě
Brand-wise,Značkově
Breakdown,Členění
Browse,Procházet
Build Time:,Doba sestavení:
Built with Frappe,Postaveno pomocí Frappe
Bundle,Svazek
Buying Price,Kupní cena
Cache cleared successfully,Mezipaměť byla úspěšně vymazána
Cache Usage,Využití mezipaměti
cache used,použitá mezipaměť
Calculating...,Počítání...
Camera Access Required,Je vyžadován přístup k fotoaparátu
Camera access was aborted. Please try again.,Přístup ke kameře byl přerušen. Zkuste to prosím znovu.
Camera constraints not supported by your device. Trying fallback settings...,Omezení fotoaparátu nejsou vaším zařízením podporována. Zkouším záložní nastavení...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,Fotoaparát je zaneprázdněn nebo blokován jinou aplikací/kartou. Zavřete ostatní aplikace fotoaparátu a zkuste to znovu.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,Povolení fotoaparátu odepřeno. V nastavení prohlížeče povolte přístup k fotoaparátu a obnovte stránku.
Camera scanner is locked until the current error is acknowledged,"Skener fotoaparátu je uzamčen, dokud není aktuální chyba potvrzena"
Camera started but the video stream did not load in time. Please try again.,"Kamera se spustila, ale video se nenačetlo včas. Zkuste to prosím znovu."
Cancel cash movement {0}?,Zrušit pohyb hotovosti {0}?
Cancel Payment,Zrušit platbu
Cancel Sale,Zrušit prodej
Cancel Sale ?,Zrušit prodej?
Cancelled,Zrušeno
Cannot add an item with zero or negative quantity.,Nelze přidat položku s nulovým nebo záporným množstvím.
Cannot clear cache while offline,V režimu offline nelze vymazat mezipaměť
Cannot redeem customer credit more than invoice total,"Zákaznický kredit nelze uplatnit více, než je celková částka faktury"
Cannot redeem gift cards more than invoice total,"Nelze uplatnit více dárkových karet, než je celková fakturovaná částka"
Cannot Save Offline Invoice:,Nelze uložit offline fakturu:
Cannot Save Offline Payment:,Nelze uložit platbu offline:
Card,Card
Card / Online,Karta / Online
Card health after the last live lookup,Stav karty po posledním živém vyhledávání
Cards,Karty
Cart,Košík
Cash,Hotovost
Cash back to customers,Hotovost zpět zákazníkům
Cash Collections,Sbírky hotovosti
Cash Deposit is disabled for this POS Profile.,Vklad hotovosti je pro tento profil POS zakázán.
Cash Drawer Snapshot,Snímek peněžní zásuvky
Cash In Hand,Hotovost V Ruce
Cash Movement,Pohyb hotovosti
Cash movement cancelled,Pohyb hotovosti byl zrušen
Cash movement deduction applied,Uplatněna srážka z pohybu hotovosti
Cash movement deleted,Hotovostní pohyb smazán
Cash movement is disabled for this POS Profile.,Pohyb hotovosti je pro tento profil POS zakázán.
Cash Movement is disabled in current POS Profile.,Pohyb hotovosti je v aktuálním profilu POS zakázán.
Cash movement saved offline,Hotovostní pohyb uložen offline
Cash movement submitted,Hotovostní pohyb předložen
Cash Movements,Peněžní pohyby
Cash payment cannot be less than invoice total when partial payment is not allowed,"Hotovostní platba nesmí být nižší než celková fakturovaná částka, pokud není povolena částečná platba"
Cash returned after payment,Hotovost vrácena po zaplacení
Cashier,Pokladník
Cashier Access,Přístup k pokladně
Cashier identity and appearance preferences.,Identita pokladníka a preference vzhledu.
Cashier PIN,PIN pokladny
Cashier PIN saved successfully.,PIN pokladny byl úspěšně uložen.
Cashiers,Pokladní
Cashier-wise,Pokladní
Categories,Kategorie
Category,Kategorie
Category / Brand / Variant Report,Přehled kategorie / značky / varianty
Category-wise,Podle kategorií
Category-wise Margin,Marže podle kategorií
Certificate,Certifikát
Certificate is missing or not trusted. QZ may show confirmation dialogs.,Certifikát chybí nebo není důvěryhodný. QZ může zobrazit potvrzovací dialogy.
Certificate is trusted. Silent QZ printing is active.,Certifikát je důvěryhodný. Je aktivní tichý tisk QZ.
Change,Změna
Change allocation repaired,Změna přidělení opravena
Change Price,Změnit cenu
Change Return,Změnit návrat
Change Returned,Změna vrácena
Change terminal cashier,Změňte pokladního terminálu
Charge Heads,Nabíjecí hlavy
Charges,Poplatky
Charges not found,Poplatky nebyly nalezeny
Check Balance,Zkontrolujte zůstatek
Check balance for any card. Supervisors can issue and top up cards here.,Zkontrolujte zůstatek na jakékoli kartě. Nadřízení zde mohou vydávat a dobíjet karty.
Check balance only,Zkontrolujte pouze zůstatek
Check for new commits,Zkontrolujte nové odevzdání
Check for Updates,Zkontrolujte aktualizace
Check live balance before applying redemption,Před uplatněním vyplacení zkontrolujte aktuální zůstatek
Check live balance before redemption,Před uplatněním zkontrolujte aktuální zůstatek
Checking...,Kontrola...
Cheque/Reference Date,Šek/referenční datum
Cheque/Reference No,Šek/Referenční č
Choose the cashier currently operating this terminal.,"Vyberte pokladníka, který aktuálně obsluhuje tento terminál."
City,město
Clear,Jasný
Clear All,Vymazat vše
Clear all barcode items,Vymažte všechny položky čárového kódu
Clear all purchase order items,Vymažte všechny položky nákupní objednávky
Clear Search,Vymazat vyhledávání
Clearing local cache...,Mazání místní mezipaměti...
Click to refresh,Kliknutím obnovíte
Client CPU Lag:,Zpoždění CPU klienta:
Client Memory Usage:,Využití paměti klienta:
Client Metrics,Klientské metriky
Close about dialog,Zavřít dialogové okno Informace
Close cashier switcher,Zavřete přepínač pokladny
Close closing shift dialog,Zavřít dialogové okno zavření posunu
Close column selector,Zavřít výběr sloupců
Close Dialog,Zavřít dialog
Close drafts dialog,Zavřít dialog konceptů
Close invoice details dialog,Zavřít dialogové okno podrobností faktury
Close invoice management,Zavřete správu faktur
Close offline invoices dialog,Zavřít dialogové okno faktur offline
Close packing list dialog,Zavřít dialogové okno seznamu balení
Close returns dialog,Zavřít dialogové okno vrácení
Close sales orders dialog,Zavřete dialog prodejních objednávek
Close Scanner,Zavřete skener
Close scanner dialog,Zavřete dialogové okno skeneru
Close Settings,Zavřete Nastavení
Closing Amount,Závěrečná částka
Closing POS Shift,Zavírání POS Shift
Closing Snapshot Available,K dispozici je závěrečný snímek
Code,kód
Code scanned successfully,Kód byl úspěšně naskenován
COGS,COGS
Collapse item details,Sbalit podrobnosti položky
Collected,Sebráno
Cols,plk
Columns,Sloupce
commits,zavazuje
Completed and active sales in this range,Dokončený a aktivní prodej v tomto sortimentu
Completed returns will appear here.,Zde se zobrazí dokončené výnosy.
Confirm,Potvrďte
Confirm Close,Potvrďte Zavřít
Confirm Mobile Number,Potvrďte mobilní číslo
Confirm PIN,Potvrďte PIN
Connect,Připojte se
Connect printer and manage certificate,Připojte tiskárnu a spravujte certifikát
Connecting to QZ Tray...,Připojování k zásobníku QZ...
Connection problem while submitting invoice,Problém s připojením při odesílání faktury
Connections:,Spojení:
Connectivity and cached prerequisite status were rechecked.,Konektivita a stav předpokladů v mezipaměti byly znovu zkontrolovány.
Continue Editing,Pokračovat v úpravách
Could not fetch latest balance from server,Nelze načíst nejnovější zůstatek ze serveru
Count,Počítejte
Country,země
Coupon,kupon
Coupons,kupony
Cover,Kryt
CPU Cores:,Jádra CPU:
Create,Vytvořit
Create and load a new prepaid card,Vytvořte a načtěte novou předplacenou kartu
Create and preload a new gift card,Vytvořte a předem načtěte novou dárkovou kartu
Create Bill,Vytvořit Billa
Create Customer,Vytvořit zákazníka
Create New Item,Vytvořit novou položku
Create or change your PIN,Vytvořte nebo změňte svůj PIN
Create PIN,Vytvořte PIN
Create POS Opening Shift,Vytvořte otevírací směnu POS
Create Purchase Order,Vytvořit objednávku
Create Return,Vytvořit návrat
Create return from invoice,Vytvořte návratku z faktury
Create Supplier,Vytvořit dodavatele
Credit and Output,Kredit a výstup
Credit Note,Kreditní poznámka
Credit Outstanding,Nesplacený úvěr
Credit sales remaining to be collected,Zbývá vyzvednout prodej kreditů
Critical,Kritické
Currency,Měna
Current,Aktuální
Current Event Loop Lag:,Prodleva smyčky aktuální události:
Current Month,Aktuální měsíc
Current PIN,Aktuální PIN
Current Profile,Aktuální profil
Current redeemable value on the gift card,Aktuální hodnota na dárkové kartě
Current User,Aktuální uživatel
Custom,Vlastní
Custom Due Days,Vlastní termíny splatnosti
Custom items per page,Vlastní položky na stránku
Customer,Zákazník
Customer already selected,Zákazník je již vybrán
Customer Balance,Zůstatek zákazníků
Customer balance unavailable offline,Zákaznický zůstatek není k dispozici offline
Customer created successfully.,Zákazník byl úspěšně vytvořen.
Customer creation failed.,Vytvoření zákazníka se nezdařilo.
Customer Details,Podrobnosti o zákazníkovi
Customer display channel is missing,Chybí kanál zákaznické reklamy
Customer display was blocked. Please allow pop-ups for this site.,Zákaznický displej byl zablokován. Povolte prosím vyskakovací okna pro tento web.
Customer group is required,Skupina zákazníků je povinná
Customer is required to add payment,Zákazník je povinen přidat platbu
Customer Name is required,Jméno zákazníka je povinné
Customer not selected,Zákazník není vybrán
Customer Report,Zákaznická zpráva
Customer saved offline,Zákazník uložen offline
Customer Screen,Zákaznická obrazovka
Customer territory is required,Území zákazníka je povinné
Customer updated successfully.,Zákazník byl úspěšně aktualizován.
Customer-facing tools and printer setup.,Nástroje pro zákazníky a nastavení tiskárny.
Customers,Zákazníci
Customers not found,Zákazníci nenalezeni
Daily cashier actions without scrolling.,Denní pokladní akce bez rolování.
Daily Sales,Denní prodej
Daily Sales Summary,Denní přehled prodeje
Data loaded in form. Review and submit.,Data načtena ve formě. Zkontrolujte a odešlete.
Database Health,Stav databáze
Database health affects overall system speed and reliability.,Stav databáze ovlivňuje celkovou rychlost a spolehlivost systému.
Database Info,Informace o databázi
Date,Datum
Day ?,den?
days,dní
Day-wise (MTD),Denně (MTD)
Day-wise Movement,Denní pohyb
Dead Stock,Dead Stock
Dead Stock Items,Mrtvé skladové položky
Decrease quantity,Snížit množství
Default,Výchozí
Default:,Výchozí:
Delete,Smazat
Delete cancelled cash movement {0}?,Smazat zrušený peněžní pohyb {0}?
Delete Draft,Smazat koncept
Delete draft invoice,Smazat návrh faktury
Delete draft invoice {0}?,Smazat koncept faktury {0}?
Delete Invoice,Smazat fakturu
Delete offline invoice,Smazat offline fakturu
Delivered,Doručeno
Delivery Charges,Poplatky za doručení
Delivery Information,Informace o doručení
Delivery Note {0} created,Dodací list {0} byl vytvořen
Delivery note created,Dodací list vytvořen
Deployed Bundle:,Nasazený balíček:
Deposit,Záloha
Description,Popis
Detailed Supplier Breakdown,Podrobný rozpis dodavatelů
Detecting formats:,Detekce formátů:
Device Memory:,Paměť zařízení:
Difference,Rozdíl
Difference (In Company Currency),Rozdíl (ve firemní měně)
Disable offline mode first to recheck live connectivity.,Nejprve vypněte režim offline a znovu zkontrolujte živé připojení.
Disconnect,Odpojit
discount,sleva
Discount %,sleva %
Discount / Void / Return Report,Sleva / Neplatné / Zpráva o vrácení
Discount Amount,Částka slevy
Discount limited by POS Profile,Sleva omezena profilem POS
Discounted Invoices,Zlevněné faktury
Discounts,slevy
Dismiss,Odmítnout
Download Certificate,Stáhnout certifikát
Draft,Koncept
Draft invoice deleted,Návrh faktury byl smazán
Draft source,Zdroj návrhu
Drafts,Koncepty
Due {0},Termín: {0}
Due Date,Datum splatnosti
Duplicate,Duplicitní
Edit customer,Upravit zákazníka
Edit discount amount,Upravit výši slevy
Edit discount percentage,Upravit procento slevy
Edit Gift Application,Upravit žádost o dárek
Edit item name,Upravit název položky
Edit quantity,Upravit množství
Edit rate,Upravit sazbu
Edit unit of measure,Upravit měrnou jednotku
Edited,Upraveno
Employee,Zaměstnanec
Enable background sync,Povolit synchronizaci na pozadí
Enable Customer Display in POS Profile first.,Nejprve povolte zobrazení zákazníka v profilu POS.
Enter a PIN.,Zadejte PIN.
Enter a valid grams value,Zadejte platnou hodnotu v gramech
Enter new price list rate,Zadejte novou ceníkovou sazbu
Enter Quantity,Zadejte Množství
Enter the cashier PIN to continue.,"Chcete-li pokračovat, zadejte PIN pokladníka."
Enter the current PIN first.,Nejprve zadejte aktuální PIN.
"Enter the current PIN, then choose a new one.",Zadejte aktuální PIN a poté vyberte nový.
Enter valid grams for scale barcode,Zadejte platné gramy pro čárový kód váhy
Entries,Příspěvky
Error accessing camera:,Chyba při přístupu k fotoaparátu:
Error calculating prices,Chyba při výpočtu cen
Error fetching customer balance,Chyba při načítání zůstatku zákazníka
Error in change calculations!,Chyba ve výpočtech změn!
Error Loading Data,Chyba při načítání dat
Error loading invoice details,Chyba při načítání podrobností faktury
Error processing invoice,Chyba při zpracování faktury
Error processing payment,Chyba při zpracování platby
Error searching invoices,Chyba při vyhledávání faktur
Error submitting invoice:,Chyba při odesílání faktury:
Error submitting invoice: {0},Chyba při odesílání faktury: {0}
Error submitting invoice: No response from server,Chyba při odesílání faktury: Žádná odpověď ze serveru
Error updating currency,Při aktualizaci měny došlo k chybě
Error updating item details,Při aktualizaci podrobností položky došlo k chybě
Est. Purchase,Odhad. Nákup
Est. Value,Odhad. Hodnota
Event-loop lag measures how busy your browser is. Lower is better.,"Prodleva smyčky událostí měří, jak je váš prohlížeč zaneprázdněn. Nižší je lepší."
Every,Každý
Exchange Rate,Směnný kurz
Expand item details,Rozbalte podrobnosti položky
Expected Amount (In Company Currency),Očekávaná částka (v měně společnosti)
Expected Cash,Očekávaná hotovost
Expected cash on hand grouped by currency,Očekávaná hotovost na pokladně seskupená podle měny
Expected vs Actual,Očekávané versus skutečné
Expense,Výdaj
Expense Account (Optional Override),Výdajový účet (volitelné přepsání)
Expense account is required.,Je vyžadován výdajový účet.
Expenses and deposits posted during this shift,Výdaje a zálohy zaúčtované během této směny
Expired,Platnost vypršela
Failed to auto reconcile payments.,Automatické odsouhlasení plateb se nezdařilo.
Failed to cancel cash movement,Nepodařilo se zrušit pohyb hotovosti
Failed to clear cache,Vymazání mezipaměti se nezdařilo
Failed to create item,Položku se nepodařilo vytvořit
Failed to create supplier,Nepodařilo se vytvořit dodavatele
Failed to delete cash movement,Nepodařilo se odstranit pohyb hotovosti
Failed to generate scale barcode. Using item barcode only.,Vygenerování čárového kódu váhy se nezdařilo. Pouze pomocí čárového kódu položky.
Failed to load cash movement context.,Nepodařilo se načíst kontext pohybu hotovosti.
Failed to load dashboard data.,Nepodařilo se načíst data řídicího panelu.
Failed to reload invoice from server,Znovu načtení faktury ze serveru se nezdařilo
Failed to submit cash movement,Nepodařilo se odeslat pohyb hotovosti
Failed to sync offline cash movements,Synchronizace offline peněžních pohybů se nezdařila
Fast cashier actions for active shifts.,Rychlé pokladní akce pro aktivní směny.
Fast Moving Items,Rychle se pohybující položky
Fees,Poplatky
Fetch the latest offline prerequisite updates,Stáhněte si nejnovější aktualizace předpokladů offline
Find a sales order quickly and load it into the current sale.,Rychle najděte prodejní objednávku a načtěte ji do aktuálního prodeje.
Fixing payment amounts for return invoice...,Oprava částek platby pro vrácenou fakturu...
Flash Off,Flash Off
Flash On,Blesk zapnutý
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","U položek 'Produktový balíček' budou v tabulce 'Seznam balení' zohledněny sklad, sériové číslo a číslo šarže. Pokud jsou číslo skladu a šarže stejné pro všechny položky balení pro libovolnou položku „Svazek produktů“, lze tyto hodnoty zadat do hlavní tabulky položek; hodnoty budou zkopírovány do tabulky 'Packing List'."
Free,Zdarma
Free Qty,Volné množství
Frequency,Frekvence
from,od
From Date,Od data
Fulfillment Details,Podrobnosti o plnění
Full Name,Celé jméno
Gain,zisk
Generate a fresh prepaid card and start it with an opening balance.,Vygenerujte novou předplacenou kartu a spusťte ji s počátečním zůstatkem.
Generate and install the certificate to allow fully silent printing without trust prompts.,"Vygenerujte a nainstalujte certifikát, abyste umožnili zcela tichý tisk bez dotazů na důvěru."
Generate Certificate,Vygenerovat certifikát
Generated scale barcode: {0},Vygenerovaný čárový kód váhy: {0}
Get Payments,Získejte platby
Gift Card,Dárkový poukaz
Gift card amount must be greater than zero.,Částka dárkové karty musí být větší než nula.
Gift Card Code,Kód dárkové karty
Gift card code is required for redemption,Pro uplatnění je vyžadován kód dárkové karty
Gift card code is required.,Je vyžadován kód dárkové karty.
Gift card issued successfully.,Dárkový poukaz byl úspěšně vydán.
Gift card loaded successfully.,Dárková karta byla úspěšně načtena.
Gift Card Management,Správa dárkových karet
Gift card payment,Platba dárkovou kartou
Gift card redemption requires an online connection,Uplatnění dárkové karty vyžaduje online připojení
Gift card topped up successfully.,Dárkový poukaz byl úspěšně dobit.
Gift Cards,Dárkové poukázky
Go to Frappe Desk,Přejděte na Frappe Desk
Grand Total,Celkový součet
Gross Margin,Hrubá marže
Gross Profit,Hrubý zisk
Gross Sales,Hrubý prodej
Group not found,Skupina nenalezena
"Grouped controls for terminal, UI, and session settings.","Seskupené ovládací prvky pro nastavení terminálu, uživatelského rozhraní a relace."
Grouped totals for each payment method and currency,Seskupené součty pro každou platební metodu a měnu
Hide,Skrýt
Hide Gift Card,Skrýt dárkový poukaz
Hide Non Essential Fields,Skrýt nepodstatná pole
Hide quantity decimals,Skrýt počet desetinných míst
Hide search tools,Skrýt vyhledávací nástroje
Hide zero rated items,Skrýt položky s nulovým hodnocením
High,Vysoká
History,Historie
Hourly (Today),Každou hodinu (dnes)
How this section works,Jak tato sekce funguje
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","Pokud zastaralá data zůstanou, otevřete Nastavení > Offline a synchronizace a znovu spusťte Obnovit offline data, když jste online."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","Pokud varování přetrvává, otevřete Nastavení > Offline a synchronizace a poté spusťte Obnovit data offline nebo Znovu vytvořit data offline."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,Importujte certifikát do QZ Tray a restartujte QZ Tray na každém POS stroji.
In,In
In stock: {0},Skladem: {0}
Include Batch / Serial,Zahrnout dávkové / sériové
Include Price,Zahrnout cenu
Increase quantity,Zvyšte množství
IndexedDB,IndexovanáDB
Initial Amount,Počáteční částka
Initialize your shift with opening balances,Inicializujte směnu počátečními zůstatky
Initializing application...,Inicializace aplikace...
"Inspect cache, sync, and prerequisite status","Zkontrolujte mezipaměť, synchronizaci a stav předpokladů"
Installed Applications,Nainstalované aplikace
Insufficient stock:\n{0},Nedostatek zásob:\n{0}
Invalid rate,Neplatná sazba
Inventory Status Report,Zpráva o stavu zásob
Invoice,Faktura
Invoice {0} is Submitted,Faktura {0} je odeslána
Invoice {0} processed successfully,Faktura {0} byla úspěšně zpracována
Invoice {0} submission failed,Odeslání faktury {0} se nezdařilo
Invoice {0} was already submitted,Faktura {0} již byla odeslána
Invoice Adjustments,Úpravy faktur
Invoice Change,Změna faktury
Invoice Details,Podrobnosti faktury
Invoice is still in draft after background submission.,Po odeslání na pozadí je faktura stále v konceptu.
Invoice Items,Fakturační položky
Invoice Management,Správa faktur
Invoice Mgmt,Faktura Mgmt
Invoice saved offline,Faktura uložena offline
Invoice submission failed,Odeslání faktury se nezdařilo
Invoice Submitted,Faktura odeslána
"Invoice value settled by loyalty points, not cash collection","Hodnota faktury se hradí věrnostními body, nikoli inkasem hotovosti"
Invoices,Faktury
Invoices already past due date,Faktury již po splatnosti
Invoices saved as POS Invoices,Faktury uloženy jako POS faktury
Invoices still carrying balances,Faktury stále obsahují zůstatky
Issue Mode,Režim vydání
Issue New Card,Vydejte novou kartu
Issue Workflow,Vydat pracovní postup
"Issue, top up, and check","Vystavte, doplňte a zkontrolujte"
Item,Položka
Item / Product Sales Report,Zpráva o prodeji položky / produktu
Item {0} added to invoice,Položka {0} přidána na fakturu
Item '{0}' has no barcode,Položka '{0}' nemá žádný čárový kód
Item Code,Kód položky
Item created successfully,Položka byla úspěšně vytvořena
Item is out of stock,Položka není skladem
Item Name,Název položky
Item not found,Položka nenalezena
Item order updated,Objednávka položek aktualizována
Item Selector Settings,Nastavení voliče položek
Items,Položky
Items added in POS will appear here automatically.,Položky přidané na POS se zde objeví automaticky.
Items added to invoice,Položky přidané na fakturu
Items per page,Položky na stránku
Items Sold,Prodané položky
Items/Invoice,Položky/Faktura
Item-wise Profitability,Ziskovost po jednotlivých položkách
Journal Entry,Záznam do deníku
json,json
Just now,Právě teď
Keep offline prerequisites healthy and recover stale data safely.,Udržujte v pořádku předpoklady offline a bezpečně obnovujte zastaralá data.
Labels,Štítky
"Language, theme, terminal tools, and session controls.","Jazyk, téma, terminálové nástroje a ovládací prvky relace."
Last,Poslední
Last 14 Days (Paid vs Pending),Posledních 14 dní (zaplaceno vs. nevyřízené)
Last 14 Days Activity,Aktivita za posledních 14 dní
Last 14 Days Gross Profit,Hrubý zisk za posledních 14 dní
Last 14 Days Purchases,Nákupy za posledních 14 dní
Last 14 Days Tax/Charges,Daň/poplatky za posledních 14 dní
Last sync:,Poslední synchronizace:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},Poslední synchronizace: {0} | dobře: {1} | neúspěšné: {2} | přeskočeno: {3}
Latest entries for current shift,Nejnovější záznamy pro aktuální směnu
Lead Time,Dodací lhůta
Limited,Omezené
lines,linky
List,Seznam
Live Snapshot,Živý snímek
Load a POS profile and cashier first.,Nejprve načtěte POS profil a pokladnu.
Load More Invoices,Načíst další faktury
Load previously saved invoices,Načíst dříve uložené faktury
Load Sale,Prodej nákladu
Load Sales Invoice,Načíst prodejní fakturu
Loading app data...,Načítání dat aplikace...
Loading customer database...,Načítání databáze zákazníků...
Loading customers...,Načítání zákazníků...
