POS Awesome,POS-терминал
Appearance and user-level preferences for the current session.,Внешний вид и настройки уровня пользователя для текущего сеанса.
Applied,Прикладной
Apply,Применить
Apply Gift Card,Применить подарочную карту
Apply Offer,Применить предложение
Apply On,Подать заявку на
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,"Укажите в этом счете только ту сумму, которую хотите погасить. Остаток остается на карте."
Apply Redemption,Применить погашение
Applying,Применение
Apps,Приложения
Are you sure you want to close? All entered data will be lost.,"Вы уверены, что хотите закрыть? Все введенные данные будут потеряны."
Attributes (Size/Color),Атрибуты (размер/цвет)
Auto Allocate Payment Amount,Автоматическое распределение суммы платежа
Auto Reconcile,Автоматическое согласование
Auto reconciliation completed after payment submit.,Автоматическая сверка завершена после отправки платежа.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Автоматическое согласование завершено. Выделено: {0}{1}. Осталось невыполненным: {0}{2}.
Available Actions,Доступные действия
Available QTY,Доступное количество
Available:,Доступно:
Average Basket,Средняя корзина
Average Bill,Средний чек
Average Ticket,Средний билет
Avg Bill,Средний счет
Avg Invoice,Средний счет
Avg Invoice Profit,Средняя прибыль по счету
Avg Invoice Value,Средняя стоимость счета
Avg Purchase Frequency,Средняя частота покупок
Awesome,Потрясающе
Awesome Dashboard,Потрясающая панель мониторинга
Awesome Dashboard is disabled for the selected POS Profile.,Awesome Dashboard отключен для выбранного профиля POS.
Awesome Dashboard is unavailable for the selected scope.,Awesome Dashboard недоступна для выбранной области.
Awesome Dashboard is visible only to POS supervisors.,Awesome Dashboard видна только супервайзерам POS.
Back,Назад
Back Office Cash Account,Денежный счет бэк-офиса
Back Office Cash Account (Optional Override),Денежный счет бэк-офиса (необязательное переопределение)
Back office cash account is required.,Требуется наличие кассового счета в бэк-офисе.
Back to {0},Вернуться к {0}
Background processing did not finish in time.,Фоновая обработка не завершилась вовремя.
Background processing failed for Invoice {0}: {1},Не удалось выполнить фоновую обработку счета {0}: {1}.
Background Submission Failed,Фоновая отправка не удалась
Background sync interval (seconds),Интервал фоновой синхронизации (секунды)
Balance,Баланс
Balance will be updated when connection is restored,Баланс будет обновлен при восстановлении связи
Balances still pending,Остатки все еще ожидаются
Barcode,Штрих-код
Barcode / QR Ready,Штрих-код / QR готов
Barcode Label Printing,Печать этикеток со штрих-кодом
Base Paid:,Базовая оплата:
Base Recv:,Базовый прием:
Base:,База:
Basic Information,Основная информация
Batch,Пакетный
Batch Information,Информация о партии
Before any return workflow,Перед возвратом рабочего процесса
Before returns,До возвращения
Best Day,Лучший день
Best Seller,Бестселлер
Book expense or deposit from active shift.,Запишите расходы или депозит за активную смену.
Branch / Location-wise Report,Отчет о филиалах/локациях
Brand-wise,С точки зрения бренда
Breakdown,Разбивка
Browse,Обзор
Build Time:,Время сборки:
Built with Frappe,Построено с использованием фраппе
Bundle,Пакет
Buying Price,Цена покупки
Cache cleared successfully,Кэш успешно очищен
Cache Usage,Использование кэша
cache used,использован кеш
Calculating...,Расчет...
Camera Access Required,Требуется доступ к камере
Camera access was aborted. Please try again.,"Доступ к камере прерван. Пожалуйста, попробуйте еще раз."
Camera constraints not supported by your device. Trying fallback settings...,Ограничения камеры не поддерживаются вашим устройством. Пробуем резервные настройки...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,Камера занята или заблокирована другим приложением/вкладкой. Закройте другие приложения камеры и повторите попытку.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,"Разрешение на использование камеры отклонено. Пожалуйста, разрешите доступ к камере в настройках браузера и обновите страницу."
Camera scanner is locked until the current error is acknowledged,"Сканер камеры заблокирован до тех пор, пока текущая ошибка не будет подтверждена."
Camera started but the video stream did not load in time. Please try again.,"Камера запустилась, но видеопоток не загрузился вовремя. Пожалуйста, попробуйте еще раз."
Cancel cash movement {0}?,Отменить движение денежных средств {0}?
Cancel Payment,Отменить платеж
Cancel Sale,Отменить продажу
Cancel Sale ?,Отменить продажу?
Cancelled,Отменено
Cannot add an item with zero or negative quantity.,Невозможно добавить товар с нулевым или отрицательным количеством.
Cannot clear cache while offline,Невозможно очистить кеш в автономном режиме
Cannot redeem customer credit more than invoice total,"Невозможно погасить кредит клиента на сумму, превышающую общую сумму счета"
Cannot redeem gift cards more than invoice total,"Невозможно активировать подарочные карты на сумму, превышающую сумму счета."
Cannot Save Offline Invoice:,Невозможно сохранить автономный счет:
Cannot Save Offline Payment:,Невозможно сохранить офлайн-платеж:
Card,Карта
Card / Online,Карта / Онлайн
Card health after the last live lookup,Состояние карты после последнего оперативного поиска
Cards,Карты
Cart,Корзина
Cash,Наличные
Cash back to customers,Возврат денег клиентам
Cash Collections,Денежные инкассации
Cash Deposit is disabled for this POS Profile.,Внесение наличных отключено для этого профиля POS.
Cash Drawer Snapshot,Снимок денежного ящика
Cash In Hand,Наличные в руке
Cash Movement,Движение денежных средств
Cash movement cancelled,Движение денежных средств отменено
Cash movement deduction applied,Применен вычет за движение денежных средств
Cash movement deleted,Движение денежных средств удалено
Cash movement is disabled for this POS Profile.,Движение наличных денег отключено для этого профиля POS.
Cash Movement is disabled in current POS Profile.,Движение денежных средств отключено в текущем профиле POS.
Cash movement saved offline,Движение денежных средств сохранено офлайн.
Cash movement submitted,Движение денежных средств отправлено
Cash Movements,Денежные движения
Cash payment cannot be less than invoice total when partial payment is not allowed,"Оплата наличными не может быть меньше суммы счета, если частичная оплата не допускается."
Cash returned after payment,Деньги возвращаются после оплаты
Cashier,Кассир
Cashier Access,Доступ к кассе
Cashier identity and appearance preferences.,Личность кассира и предпочтения во внешности.
Cashier PIN,ПИН-код кассира
Cashier PIN saved successfully.,PIN-код кассира успешно сохранен.
Cashiers,Кассиры
Cashier-wise,С точки зрения кассира
Categories,Категории
Category,Категория
Category / Brand / Variant Report,Отчет по категории/бренду/варианту
Category-wise,По категориям
Category-wise Margin,По категориям маржа
Certificate,Сертификат
Certificate is missing or not trusted. QZ may show confirmation dialogs.,Сертификат отсутствует или не доверен. QZ может отображать диалоговые окна подтверждения.
Certificate is trusted. Silent QZ printing is active.,Сертификату доверяют. Бесшумная печать QZ активна.
Change,Изменить
Change allocation repaired,Распределение изменений исправлено.
Change Price,Изменить цену
Change Return,Изменить возврат
Change Returned,Изменение возвращено
Change terminal cashier,Сменить кассу терминала
Charge Heads,Зарядные головки
Charges,Сборы
Charges not found,Платежи не найдены
Check Balance,Проверить баланс
Check balance for any card. Supervisors can issue and top up cards here.,Проверить баланс любой карты. Здесь супервайзеры могут выдавать и пополнять карты.
Check balance only,Только проверка баланса
Check for new commits,Проверьте наличие новых коммитов
Check for Updates,Проверьте наличие обновлений
Check live balance before applying redemption,Проверьте реальный баланс перед применением погашения
Check live balance before redemption,Проверьте реальный баланс перед погашением
Checking...,Проверка...
Cheque/Reference Date,Дата чека/отчета
Cheque/Reference No,Номер чека/справки
Choose the cashier currently operating this terminal.,"Выберите кассира, который в данный момент работает с этим терминалом."
City,Город
Clear,Очистить
Clear All,Очистить все
Clear all barcode items,Очистить все элементы штрих-кода
Clear all purchase order items,Очистить все позиции заказа на покупку
Clear Search,Очистить поиск
Clearing local cache...,Очистка локального кэша...
Click to refresh,"Нажмите, чтобы обновить"
Client CPU Lag:,Задержка ЦП клиента:
Client Memory Usage:,Использование клиентской памяти:
Client Metrics,Клиентские метрики
Close about dialog,Закрыть диалоговое окно «О программе»
Close cashier switcher,Закрыть переключатель кассира
Close closing shift dialog,Закрыть диалоговое окно закрытия смены
Close column selector,Закрыть выбор столбцов
Close Dialog,Закрыть диалог
Close drafts dialog,Диалоговое окно закрытия черновиков
Close invoice details dialog,Закрыть диалоговое окно сведений о счете
Close invoice management,Закрыть управление счетами
Close offline invoices dialog,Закрыть диалоговое окно автономных счетов
Close packing list dialog,Закрыть диалоговое окно упаковочного листа
Close returns dialog,Закрыть диалоговое окно возврата
Close sales orders dialog,Диалоговое окно закрытия заказов на продажу
Close Scanner,Закрыть сканер
Close scanner dialog,Закрыть диалоговое окно сканера
Close Settings,Закрыть настройки
Closing Amount,Заключительная сумма
Closing POS Shift,Закрытие кассовой смены
Closing Snapshot Available,Доступен заключительный снимок
Code,Код
Code scanned successfully,Код успешно отсканирован
COGS,COGS
Collapse item details,Свернуть сведения об элементе
Collected,Собрано
Cols,Колс
Columns,Столбцы
commits,совершает
Completed and active sales in this range,Завершенные и активные продажи в этом ассортименте
Completed returns will appear here.,Заполненные отчеты появятся здесь.
Confirm,Подтвердить
Confirm Close,Подтвердить Закрыть
Confirm Mobile Number,Подтвердить номер мобильного телефона
Confirm PIN,Подтвердить PIN-код
Connect,Подключиться
Connect printer and manage certificate,Подключите принтер и управляйте сертификатом
Connecting to QZ Tray...,Подключение к лотку QZ...
Connection problem while submitting invoice,Проблема с подключением при отправке счета
Connections:,Соединения:
Connectivity and cached prerequisite status were rechecked.,Были перепроверены подключение и статус необходимых условий для кэширования.
Continue Editing,Продолжить редактирование
Could not fetch latest balance from server,Не удалось получить последний баланс с сервера.
Count,Граф
Country,Страна
Coupon,Купон
Coupons,Купоны
Cover,Обложка
CPU Cores:,Ядра процессора:
Create,Создать
Create and load a new prepaid card,Создайте и загрузите новую карту предоплаты
Create and preload a new gift card,Создайте и предварительно загрузите новую подарочную карту
Create Bill,Создать счет
Create Customer,Создать клиента
Create New Item,Создать новый элемент
Create or change your PIN,Создайте или измените свой PIN-код
Create PIN,Создать ПИН-код
Create POS Opening Shift,Создать смену открытия POS
Create Purchase Order,Создать заказ на поставку
Create Return,Создать возврат
Create return from invoice,Создать возврат из счета-фактуры
Create Supplier,Создать поставщика
Credit and Output,Кредит и выпуск
Credit Note,Кредитная нота
Credit Outstanding,Непогашенный кредит
Credit sales remaining to be collected,"Продажи в кредит, которые еще предстоит собрать"
Critical,Критический
Currency,Валюта
Current,Текущий
Current Event Loop Lag:,Задержка цикла текущего события:
Current Month,Текущий месяц
Current PIN,Текущий PIN-код
Current Profile,Текущий профиль
Current redeemable value on the gift card,Текущая сумма погашения подарочной карты
Current User,Текущий пользователь
Custom,Пользовательский
Custom Due Days,Пользовательские дни выполнения
Custom items per page,Пользовательские элементы на странице
Customer,Клиент
Customer already selected,Клиент уже выбран
Customer Balance,Баланс клиента
Customer balance unavailable offline,Баланс клиента недоступен в офлайн-режиме
Customer created successfully.,Клиент успешно создан.
Customer creation failed.,Не удалось создать клиента.
Customer Details,Сведения о клиенте
Customer display channel is missing,Отсутствует канал отображения клиентов
Customer display was blocked. Please allow pop-ups for this site.,"Показ покупателя был заблокирован. Пожалуйста, разрешите всплывающие окна для этого сайта."
Customer group is required,Требуется группа клиентов.
Customer is required to add payment,Клиенту необходимо добавить платеж
Customer Name is required,Требуется имя клиента
Customer not selected,Клиент не выбран
Customer Report,Отчет клиента
Customer saved offline,Клиент сохранен офлайн
Customer Screen,Экран клиента
Customer territory is required,Требуется территория клиента
Customer updated successfully.,Клиент обновлен успешно.
Customer-facing tools and printer setup.,Инструменты для работы с клиентами и настройка принтера.
Customers,Клиенты
Customers not found,Клиенты не найдены
Daily cashier actions without scrolling.,Ежедневные действия кассира без прокрутки.
Daily Sales,Ежедневные продажи
Daily Sales Summary,Ежедневная сводка продаж
Data loaded in form. Review and submit.,Данные загружены в форму. Рассмотрите и отправьте.
Database Health,Состояние базы данных
Database health affects overall system speed and reliability.,Состояние базы данных влияет на общую скорость и надежность системы.
Database Info,Информация о базе данных
Date,Дата
Day ?,День?
days,дни
Day-wise (MTD),Дневной (MTD)
Day-wise Movement,Дневное движение
Dead Stock,Мертвый запас
Dead Stock Items,Мертвые товары на складе
Decrease quantity,Уменьшить количество
Default,По умолчанию
Default:,По умолчанию:
Delete,Удалить
Delete cancelled cash movement {0}?,Удалить отмененное движение денежных средств {0}?
Delete Draft,Удалить черновик
Delete draft invoice,Удалить черновик счета
Delete draft invoice {0}?,Удалить черновик счета {0}?
Delete Invoice,Удалить счет
Delete offline invoice,Удалить офлайн-счет
Delivered,Доставлено
Delivery Charges,Стоимость доставки
Delivery Information,Информация о доставке
Delivery Note {0} created,Накладная {0} создана.
Delivery note created,Накладная создана.
Deployed Bundle:,Развернутый пакет:
Deposit,Депозит
Description,Описание
Detailed Supplier Breakdown,Подробная разбивка поставщиков
Detecting formats:,Обнаружение форматов:
Device Memory:,Память устройства:
Difference,Разница
Difference (In Company Currency),Разница (в валюте компании)
Disable offline mode first to recheck live connectivity.,"Сначала отключите автономный режим, чтобы еще раз проверить подключение в реальном времени."
Disconnect,Отключить
discount,скидка
Discount %,Скидка %
Discount / Void / Return Report,Отчет о скидках/аннулировании/возврате
Discount Amount,Сумма скидки
Discount limited by POS Profile,Скидка ограничена профилем POS
Discounted Invoices,Счета со скидкой
Discounts,Скидки
Dismiss,Уволить
Download Certificate,Скачать сертификат
Draft,Черновик
Draft invoice deleted,Черновик счета удален.
Draft source,Источник черновика
Drafts,Черновики
Due {0},Срок погашения {0}
Due Date,Срок сдачи
Duplicate,Дублировать
Edit customer,Изменить клиента
Edit discount amount,Изменить сумму скидки
Edit discount percentage,Изменить процент скидки
Edit Gift Application,Редактировать заявку на получение подарка
Edit item name,Изменить название элемента
Edit quantity,Изменить количество
Edit rate,Изменить цену
Edit unit of measure,Изменить единицу измерения
Edited,Отредактировано
Employee,Сотрудник
Enable background sync,Включить фоновую синхронизацию
Enable Customer Display in POS Profile first.,Сначала включите отображение покупателя в профиле POS.
Enter a PIN.,Введите ПИН-код.
Enter a valid grams value,Введите допустимое значение в граммах
Enter new price list rate,Введите новую цену прайс-листа
Enter Quantity,Введите количество
Enter the cashier PIN to continue.,"Введите PIN-код кассира, чтобы продолжить."
Enter the current PIN first.,Сначала введите текущий PIN-код.
"Enter the current PIN, then choose a new one.","Введите текущий PIN-код, затем выберите новый."
Enter valid grams for scale barcode,Введите действительные граммы для штрих-кода весов
Entries,Записи
Error accessing camera:,Ошибка доступа к камере:
Error calculating prices,Ошибка расчета цен
Error fetching customer balance,Ошибка получения баланса клиента.
Error in change calculations!,Ошибка в расчете сдачи!
Error Loading Data,Ошибка загрузки данных
Error loading invoice details,Ошибка при загрузке сведений о счете.
Error processing invoice,Ошибка обработки счета
Error processing payment,Ошибка обработки платежа
Error searching invoices,Ошибка поиска счетов.
Error submitting invoice:,Ошибка при отправке счета:
Error submitting invoice: {0},Ошибка отправки счета: {0}
Error submitting invoice: No response from server,Ошибка отправки счета: нет ответа от сервера.
Error updating currency,Ошибка обновления валюты.
Error updating item details,Ошибка обновления сведений об элементе.
Est. Purchase,Оценка. Покупка
Est. Value,Оценка. Значение
Event-loop lag measures how busy your browser is. Lower is better.,"Задержка цикла событий измеряет, насколько загружен ваш браузер. Ниже лучше."
Every,Каждый
Exchange Rate,Обменный курс
Expand item details,Развернуть сведения об элементе
Expected Amount (In Company Currency),Ожидаемая сумма (в валюте компании)
Expected Cash,Ожидаемые денежные средства
Expected cash on hand grouped by currency,"Ожидаемые денежные средства в кассе, сгруппированные по валютам"
Expected vs Actual,Ожидаемое и фактическое
Expense,Расход
Expense Account (Optional Override),Счет расходов (необязательное переопределение)
Expense account is required.,Счет расходов обязателен.
Expenses and deposits posted during this shift,"Расходы и депозиты, учтенные в течение этой смены"
Expired,Срок действия истек
Failed to auto reconcile payments.,Не удалось автоматически сверить платежи.
Failed to cancel cash movement,Не удалось отменить движение денежных средств
Failed to clear cache,Не удалось очистить кэш
Failed to create item,Не удалось создать элемент
Failed to create supplier,Не удалось создать поставщика.
Failed to delete cash movement,Не удалось удалить движение денежных средств.
Failed to generate scale barcode. Using item barcode only.,Не удалось создать масштабный штрих-код. Использование только штрих-кода товара.
Failed to load cash movement context.,Не удалось загрузить контекст движения денежных средств.
Failed to load dashboard data.,Не удалось загрузить данные информационной панели.
Failed to reload invoice from server,Не удалось перезагрузить счет с сервера.
Failed to submit cash movement,Не удалось отправить движение денежных средств
Failed to sync offline cash movements,Не удалось синхронизировать движения денежных средств в автономном режиме.
Fast cashier actions for active shifts.,Быстрые действия кассира для активных смен.
Fast Moving Items,Быстродвижущиеся предметы
Fees,Сборы
Fetch the latest offline prerequisite updates,Получите последние обновления необходимых автономных компонентов
Find a sales order quickly and load it into the current sale.,Быстро найдите заказ на продажу и загрузите его в текущую продажу.
Fixing payment amounts for return invoice...,Фиксация суммы платежа для счета-фактуры на возврат...
Flash Off,Вспышка выключена
Flash On,Вспышка включена
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","Для позиций «Пакет продукции» будут учитываться склад, серийный номер и номер партии из таблицы «Упаковочный лист». Если номер склада и партии одинаковы для всех упаковочных позиций для любой позиции «Пакет продуктов», эти значения можно ввести в основную таблицу позиций; значения будут скопированы в таблицу «Упаковочный лист»."
Free,Бесплатно
Free Qty,Бесплатное количество
Frequency,Частота
from,из
From Date,С даты
Fulfillment Details,Детали выполнения
Full Name,Полное имя
Gain,Выигрыш
Generate a fresh prepaid card and start it with an opening balance.,Создайте новую предоплаченную карту и запустите ее с начальным балансом.
Generate and install the certificate to allow fully silent printing without trust prompts.,"Создайте и установите сертификат, чтобы разрешить полностью автоматическую печать без запросов доверия."
Generate Certificate,Создать сертификат
Generated scale barcode: {0},Сгенерированный штрих-код масштаба: {0}
Get Payments,Получайте платежи
Gift Card,Подарочная карта
Gift card amount must be greater than zero.,Сумма подарочной карты должна быть больше нуля.
Gift Card Code,Код подарочной карты
Gift card code is required for redemption,Для активации требуется код подарочной карты.
Gift card code is required.,Требуется код подарочной карты.
Gift card issued successfully.,Подарочная карта успешно оформлена.
Gift card loaded successfully.,Подарочная карта успешно загружена.
Gift Card Management,Управление подарочными картами
Gift card payment,Оплата подарочной картой
Gift card redemption requires an online connection,Для погашения подарочной карты требуется подключение к Интернету.
Gift card topped up successfully.,Подарочная карта успешно пополнена.
Gift Cards,Подарочные карты
Go to Frappe Desk,Подойдите к стойке фраппе
Grand Total,Общий итог
Gross Margin,Валовая прибыль
Gross Profit,Валовая прибыль
Gross Sales,Валовой объем продаж
Group not found,Группа не найдена
"Grouped controls for terminal, UI, and session settings.","Сгруппированные элементы управления для терминала, пользовательского интерфейса и настроек сеанса."
Grouped totals for each payment method and currency,Сгруппированные итоги для каждого способа оплаты и валюты
Hide,Скрыть
Hide Gift Card,Скрыть подарочную карту
Hide Non Essential Fields,Скрыть необязательные поля
Hide quantity decimals,Скрыть десятичные дроби
Hide search tools,Скрыть инструменты поиска
Hide zero rated items,Скрыть товары с нулевым рейтингом
High,Высокий
History,История
Hourly (Today),Ежечасно (сегодня)
How this section works,Как работает этот раздел
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","Если устаревшие данные остались, откройте «Настройки» > «Офлайн и синхронизация» и снова запустите «Восстановить автономные данные», находясь в сети."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","Если предупреждение не исчезнет, ​​откройте «Настройки» > «Офлайн и синхронизация», затем запустите «Обновить автономные данные» или «Восстановить автономные данные»."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,Импортируйте сертификат в QZ Tray и перезапустите QZ Tray на каждом POS-терминале.
In,В
In stock: {0},В наличии: {0}
Include Batch / Serial,Включить пакет/серийный номер
Include Price,Включить цену
Increase quantity,Увеличить количество
IndexedDB,ИндекседБД
Initial Amount,Начальная сумма
Initialize your shift with opening balances,Инициализируйте свою смену с начальными остатками
Initializing application...,Инициализация приложения...
"Inspect cache, sync, and prerequisite status","Проверка кэша, синхронизации и состояния необходимых компонентов"
Installed Applications,Установленные приложения
Insufficient stock:\n{0},Недостаточно товара:\n{0}
Invalid rate,Неверный тариф
Inventory Status Report,Отчет о состоянии инвентаря
Invoice,Счет
Invoice {0} is Submitted,Счет {0} отправлен
Invoice {0} processed successfully,Счет {0} успешно обработан
Invoice {0} submission failed,Не удалось отправить счет {0}.
Invoice {0} was already submitted,Счет {0} уже отправлен
Invoice Adjustments,Корректировки счетов
Invoice Change,Изменение счета
Invoice Details,Детали счета
Invoice is still in draft after background submission.,Счет-фактура все еще находится в черновике после отправки предварительных данных.
Invoice Items,Позиции счета-фактуры
Invoice Management,Управление счетами
Invoice Mgmt,Управление счетами
Invoice saved offline,Счет сохранен офлайн.
Invoice submission failed,Отправка счета не удалась
Invoice Submitted,Счет отправлен
"Invoice value settled by loyalty points, not cash collection","Стоимость счета рассчитывается с помощью баллов лояльности, а не получения наличных."
Invoices,Счета-фактуры
Invoices already past due date,Срок оплаты счетов уже просрочен
Invoices saved as POS Invoices,Счета-фактуры сохранены как счета-фактуры POS.
Invoices still carrying balances,Счета-фактуры все еще содержат остатки
Issue Mode,Режим выпуска
Issue New Card,Выпустить новую карту
Issue Workflow,Рабочий процесс проблемы
"Issue, top up, and check","Выпуск, пополнение и проверка"
Item,Товар
Item / Product Sales Report,Отчет о продажах товара/продукта
Item {0} added to invoice,Товар {0} добавлен в счет
Item '{0}' has no barcode,Товар '{0}' не имеет штрих-кода
Item Code,Код товара
Item created successfully,Объект успешно создан
Item is out of stock,Товара нет в наличии
Item Name,Название предмета
Item not found,Товар не найден
Item order updated,Порядок элементов обновлен.
Item Selector Settings,Настройки выбора элемента
Items,Предметы
Items added in POS will appear here automatically.,"Товары, добавленные в POS, появятся здесь автоматически."
Items added to invoice,Товары добавлены в счет
Items per page,Элементов на странице
Items Sold,Проданные товары
Items/Invoice,Товары/Счет
Item-wise Profitability,Постатейная рентабельность
Journal Entry,Запись в журнале
json,JSON
Just now,только что
Keep offline prerequisites healthy and recover stale data safely.,Поддерживайте работоспособность автономных компонентов и безопасно восстанавливайте устаревшие данные.
Labels,Этикетки
"Language, theme, terminal tools, and session controls.","Язык, тема, инструменты терминала и элементы управления сеансом."
Last,Последний
Last 14 Days (Paid vs Pending),Последние 14 дней (оплачено или ожидается)
Last 14 Days Activity,Активность за последние 14 дней
Last 14 Days Gross Profit,Валовая прибыль за последние 14 дней
Last 14 Days Purchases,Покупки за последние 14 дней
Last 14 Days Tax/Charges,Налоги/сборы за последние 14 дней
Last sync:,Последняя синхронизация:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},Последняя синхронизация: {0} | ок: {1} | не удалось: {2} | пропущено: {3}
Latest entries for current shift,Последние записи для текущей смены
Lead Time,Время выполнения
Limited,Ограниченный
lines,линии
List,Список
Live Snapshot,Живой снимок
Load a POS profile and cashier first.,Сначала загрузите профиль POS и кассу.
Load More Invoices,Загрузить больше счетов
Load previously saved invoices,Загрузить ранее сохраненные счета
Load Sale,Загрузить распродажу
Load Sales Invoice,Загрузить счет продажи
Loading app data...,Загрузка данных приложения...
Loading customer database...,Загрузка базы данных клиентов...
Loading customers...,Загрузка клиентов...
Loading database stats...,Загрузка статистики базы данных...
Loading details...,Загрузка деталей...
Loading invoice history...,Загрузка истории счетов...
Loading items...,Загрузка элементов...
Loading product catalog...,Загрузка каталога продукции...
Loading return invoices...,Загрузка счетов-фактур...
Loading server CPU/memory usage...,Загрузка использования процессора/памяти сервера...
Loading suppliers...,Загрузка поставщиков...
Loading unpaid invoices...,Загрузка неоплаченных счетов...
Loading view...,Загрузка просмотра...
Loading...,Загрузка...
Local storage is unavailable. Switching to online-only mode.,Локальное хранилище недоступно. Переключение в онлайн-режим.
localStorage,локальное хранилище
Location Performance,Производительность местоположения
Locations,Локации
Lock Screen,Экран блокировки
Lookup Workflow,Рабочий процесс поиска
Loss,Потеря
Low,Низкий
Low Stock,Низкий запас
Low Stock Alerts,Оповещения о низком уровне запасов
Low Stock Items,Товары с низким запасом
Low Stock Threshold,Низкий порог запаса
Low Stock Total,Низкий общий запас
Lowest Margin,Самая низкая маржа
Low-frequency maintenance and system details.,Низкочастотное обслуживание и детали системы.
Loyalty Redeemed,Лояльность погашена
Loyalty Redemption,Погашение лояльности
Make New Payment,Сделать новый платеж
Manage all,Управлять всем
Manage and synchronize your offline transactions,Управляйте и синхронизируйте свои офлайн-транзакции
Manage Cashier PIN,Управление PIN-кодом кассира
"Manage offline tools, terminal controls, and maintenance from one workspace.","Управляйте автономными инструментами, элементами управления терминалом и обслуживанием из одного рабочего пространства."
manual,руководство
