POS Awesome,POS Nuostabus
Basic Information,Pagrindinė informacija
Batch,Partija
Batch Information,Partijos informacija
Before any return workflow,Prieš bet kokią grąžinimo darbo eigą
Before returns,Prieš grįžtant
Best Day,Geriausia diena
Best Seller,Geriausias pardavėjas
Book expense or deposit from active shift.,Užsisakykite išlaidas arba užstatą iš aktyvios pamainos.
Branch / Location-wise Report,Filialo / Vietovės ataskaita
Brand-wise,Prekės ženklo požiūriu
Breakdown,Suskirstymas
Browse,Naršyti
Build Time:,Sukūrimo laikas:
Built with Frappe,Pastatyta su Frappe
Bundle,Bundle
Buying Price,Pirkimo Kaina
Cache cleared successfully,Talpykla sėkmingai išvalyta
Cache Usage,Talpyklos naudojimas
cache used,naudota talpykla
Calculating...,Skaičiuojama...
Camera Access Required,Būtina prieiga prie fotoaparato
Camera access was aborted. Please try again.,Prieiga prie fotoaparato buvo nutraukta. Bandykite dar kartą.
Camera constraints not supported by your device. Trying fallback settings...,Jūsų įrenginys nepalaiko fotoaparato apribojimų. Bandomi atsarginiai nustatymai...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,Kamera užimta arba užblokuota kitos programos / skirtuko. Uždarykite kitas fotoaparato programas ir bandykite dar kartą.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,Fotoaparato leidimas atmestas. Leiskite pasiekti fotoaparatą naršyklės nustatymuose ir atnaujinkite puslapį.
Camera scanner is locked until the current error is acknowledged,"Kameros skaitytuvas užrakinamas, kol nepatvirtinama esama klaida"
Camera started but the video stream did not load in time. Please try again.,"Fotoaparatas paleistas, bet vaizdo srautas nebuvo įkeltas laiku. Bandykite dar kartą."
Cancel cash movement {0}?,Atšaukti grynųjų pinigų judėjimą {0}?
Cancel Payment,Atšaukti mokėjimą
Cancel Sale,Atšaukti išpardavimą
Cancel Sale ?,Atšaukti išpardavimą?
Cancelled,Atšaukta
Cannot add an item with zero or negative quantity.,Negalima pridėti prekės su nuliu arba neigiamu kiekiu.
Cannot clear cache while offline,Neįmanoma išvalyti talpyklos neprisijungus
Cannot redeem customer credit more than invoice total,Kliento kredito negalima išpirkti daugiau nei bendra sąskaita faktūra
Cannot redeem gift cards more than invoice total,Negalima išpirkti dovanų kortelių daugiau nei bendra sąskaita faktūra
Cannot Save Offline Invoice:,Neįmanoma išsaugoti sąskaitos faktūros neprisijungus:
Cannot Save Offline Payment:,Neįmanoma išsaugoti mokėjimo neprisijungus:
Card,Kort
Card / Online,Kortelė / Internete
Card health after the last live lookup,Kortelės būklė po paskutinės tiesioginės peržiūros
Cards,Kortelės
Cart,Krepšelis
Cash,Grynieji pinigai
Cash back to customers,Grąžinti pinigus klientams
Cash Collections,Grynųjų pinigų kolekcijos
Cash Deposit is disabled for this POS Profile.,Grynųjų pinigų įnašas išjungtas šiame POS profilyje.
Cash Drawer Snapshot,Pinigų stalčiaus momentinė nuotrauka
Cash In Hand,Pinigai į rankas
Cash Movement,Pinigų judėjimas
Cash movement cancelled,Grynųjų pinigų judėjimas atšauktas
Cash movement deduction applied,Taikomas grynųjų pinigų judėjimo atskaitymas
Cash movement deleted,Pinigų judėjimas ištrintas
Cash movement is disabled for this POS Profile.,Grynųjų pinigų judėjimas išjungtas šiame POS profilyje.
Cash Movement is disabled in current POS Profile.,Grynųjų pinigų judėjimas išjungtas dabartiniame POS profilyje.
Cash movement saved offline,Grynųjų pinigų judėjimas išsaugotas neprisijungus
Cash movement submitted,Pateiktas grynųjų pinigų judėjimas
Cash Movements,Pinigų judėjimas
Cash payment cannot be less than invoice total when partial payment is not allowed,"Apmokėjimas grynaisiais negali būti mažesnis už bendrą sąskaitos faktūros sumą, kai dalinis apmokėjimas neleidžiamas"
Cash returned after payment,Grynieji pinigai grąžinti po apmokėjimo
Cashier,Kasininkė
Cashier Access,Prieiga prie kasos
Cashier identity and appearance preferences.,Kasininko tapatybės ir išvaizdos pageidavimai.
Cashier PIN,Kasos PIN kodas
Cashier PIN saved successfully.,Kasos PIN sėkmingai išsaugotas.
Cashiers,Kasininkai
Cashier-wise,Kasos požiūriu
Categories,Kategorijos
Category,Kategorija
Category / Brand / Variant Report,Kategorijos / prekės ženklo / varianto ataskaita
Category-wise,Pagal kategoriją
Category-wise Margin,Kategorijos marža
Certificate,Sertifikatas
Certificate is missing or not trusted. QZ may show confirmation dialogs.,Trūksta sertifikato arba juo nepasitiki. QZ gali rodyti patvirtinimo dialogo langus.
Certificate is trusted. Silent QZ printing is active.,Sertifikatas patikimas. Įjungtas tylus QZ spausdinimas.
Change,Keisti
Change allocation repaired,Pakeitimo paskirstymas suremontuotas
Change Price,Keisti Kainą
Change Return,Keisti grąžinimą
Change Returned,Pakeitimas grąžintas
Change terminal cashier,Pakeiskite terminalo kasininką
Charge Heads,Įkrovimo galvutės
Charges,Mokesčiai
Charges not found,Mokesčiai nerasta
Check Balance,Patikrinkite balansą
Check balance for any card. Supervisors can issue and top up cards here.,Patikrinkite bet kurios kortelės likutį. Prižiūrėtojai čia gali išduoti ir papildyti korteles.
Check balance only,Patikrinkite tik balansą
Check for new commits,"Patikrinkite, ar nėra naujų įsipareigojimų"
Check for Updates,"Patikrinkite, ar nėra atnaujinimų"
Check live balance before applying redemption,Prieš taikydami išpirkimą patikrinkite tiesioginį balansą
Check live balance before redemption,Prieš išpirkdami patikrinkite tiesioginį balansą
Checking...,Tikrinama...
Cheque/Reference Date,Čekis / nuorodos data
Cheque/Reference No,Čekis/nuorodos Nr
Choose the cashier currently operating this terminal.,"Pasirinkite kasininkę, kuri šiuo metu valdo šį terminalą."
City,Miestas
Clear,Aišku
Clear All,Išvalyti viską
Clear all barcode items,Išvalykite visus brūkšninio kodo elementus
Clear all purchase order items,Išvalykite visas pirkimo užsakymo prekes
Clear Search,Išvalyti paiešką
Clearing local cache...,Išvaloma vietinė talpykla...
Click to refresh,Spustelėkite norėdami atnaujinti
Client CPU Lag:,Kliento procesoriaus delsa:
Client Memory Usage:,Kliento atminties naudojimas:
Client Metrics,Kliento metrika
Close about dialog,Uždaryti apie dialogą
Close cashier switcher,Uždarykite kasininko keitiklį
Close closing shift dialog,Uždaryti perjungimo dialogo langą
Close column selector,Uždaryti stulpelio parinkiklį
Close Dialog,Uždaryti dialogo langą
Close drafts dialog,Uždaryti juodraščių dialogo langą
Close invoice details dialog,Uždaryti išsamios sąskaitos faktūros dialogo langą
Close invoice management,Uždaryti sąskaitų faktūrų tvarkymą
Close offline invoices dialog,Uždaryti sąskaitų faktūrų neprisijungus dialogo langą
Close packing list dialog,Uždaryti pakavimo sąrašo dialogą
Close returns dialog,Uždaryti grąžinimo dialogo langą
Close sales orders dialog,Uždaryti pardavimo užsakymų dialogo langą
Close Scanner,Uždarykite skaitytuvą
Close scanner dialog,Uždaryti skaitytuvo dialogo langą
Close Settings,Uždaryti Nustatymai
Closing Amount,Uždarymo suma
Closing POS Shift,POS Shift uždarymas
Closing Snapshot Available,Galima uždarymo momentinė nuotrauka
Code,Kodas
Code scanned successfully,Kodas sėkmingai nuskaitytas
COGS,COGS
Collapse item details,Sutraukti išsamią elemento informaciją
Collected,Surinkta
Cols,plk
Columns,Stulpeliai
commits,įsipareigoja
Completed and active sales in this range,Užbaigti ir aktyvūs pardavimai šiame diapazone
Completed returns will appear here.,Užbaigti grąžinimai bus rodomi čia.
Confirm,Patvirtinti
Confirm Close,Patvirtinkite Uždaryti
Confirm Mobile Number,Patvirtinkite mobiliojo telefono numerį
Confirm PIN,Patvirtinkite PIN kodą
Connect,Prisijunkite
Connect printer and manage certificate,Prijunkite spausdintuvą ir tvarkykite sertifikatą
Connecting to QZ Tray...,Jungiamasi prie QZ dėklo...
Connection problem while submitting invoice,Ryšio problema pateikiant sąskaitą faktūrą
Connections:,Jungtys:
Connectivity and cached prerequisite status were rechecked.,Ryšys ir talpyklos būtinos sąlygos būsena buvo dar kartą patikrintos.
Continue Editing,Tęsti redagavimą
Could not fetch latest balance from server,Nepavyko gauti naujausio balanso iš serverio
Count,Suskaičiuoti
Country,Šalis
Coupon,Kuponas
Coupons,Kuponai
Cover,Viršelis
CPU Cores:,CPU branduoliai:
Create,Sukurti
Create and load a new prepaid card,Sukurkite ir įkelkite naują išankstinio mokėjimo kortelę
Create and preload a new gift card,Sukurkite ir iš anksto įkelkite naują dovanų kortelę
Create Bill,Sukurti sąskaitą
Create Customer,Sukurti Klientą
Create New Item,Sukurti naują elementą
Create or change your PIN,Sukurkite arba pakeiskite PIN kodą
Create PIN,Sukurti PIN kodą
Create POS Opening Shift,Sukurkite POS atidarymo pamainą
Create Purchase Order,Sukurti pirkimo užsakymą
Create Return,Sukurti grąžinimą
Create return from invoice,Sukurti grąžinimą iš sąskaitos faktūros
Create Supplier,Sukurti tiekėją
Credit and Output,Kreditas ir produkcija
Credit Note,Kredito pažyma
Credit Outstanding,Kreditas neapmokėtas
Credit sales remaining to be collected,Liko surinkti kredito pardavimus
Critical,Kritinis
Currency,Valiuta
Current,Dabartinė
Current Event Loop Lag:,Dabartinio įvykio ciklo delsa:
Current Month,Dabartinis mėnuo
Current PIN,Dabartinis PIN kodas
Current Profile,Dabartinis profilis
Current redeemable value on the gift card,Dabartinė dovanų kortelės išperkama vertė
Current User,Dabartinis vartotojas
Custom,Pasirinktinis
Custom Due Days,Individualizuotos mokėjimo dienos
Custom items per page,Individualūs elementai puslapyje
Customer,Klientas
Customer already selected,Klientas jau pasirinktas
Customer Balance,Kliento balansas
Customer balance unavailable offline,Kliento balansas nepasiekiamas neprisijungus
Customer created successfully.,Klientas sėkmingai sukūrė.
Customer creation failed.,Nepavyko sukurti kliento.
Customer Details,Kliento informacija
Customer display channel is missing,Trūksta klientų rodymo kanalo
Customer display was blocked. Please allow pop-ups for this site.,Kliento ekranas buvo užblokuotas. Leiskite šios svetainės iššokančiuosius langus.
Customer group is required,Būtina klientų grupė
Customer is required to add payment,Klientas privalo pridėti mokėjimą
Customer Name is required,Būtinas kliento vardas
Customer not selected,Klientas nepasirinktas
Customer Report,Kliento ataskaita
Customer saved offline,Klientas išsaugotas neprisijungus
Customer Screen,Kliento ekranas
Customer territory is required,Būtina kliento teritorija
Customer updated successfully.,Klientas sėkmingai atnaujintas.
Customer-facing tools and printer setup.,Klientui skirti įrankiai ir spausdintuvo sąranka.
Customers,Klientai
Customers not found,Klientai nerasta
Daily cashier actions without scrolling.,Kasdieniai kasos veiksmai be slinkimo.
Daily Sales,Kasdieniai pardavimai
Daily Sales Summary,Dienos pardavimų suvestinė
Data loaded in form. Review and submit.,Duomenys įkelti į formą. Peržiūrėkite ir pateikite.
Database Health,Duomenų bazės sveikata
Database health affects overall system speed and reliability.,Duomenų bazės būklė turi įtakos bendram sistemos greičiui ir patikimumui.
Database Info,Duomenų bazės informacija
Date,Data
Day ?,Diena?
days,dienų
Day-wise (MTD),Dienos požiūriu (MTD)
Day-wise Movement,Dienos išmintingas judėjimas
Dead Stock,Dead Stock
Dead Stock Items,Negyvos atsargos
Decrease quantity,Sumažinti kiekį
Default,Numatytoji
Default:,Numatytasis:
Delete,Ištrinti
Delete cancelled cash movement {0}?,Ištrinti atšauktą grynųjų pinigų judėjimą {0}?
Delete Draft,Ištrinti juodraštį
Delete draft invoice,Ištrinti sąskaitos faktūros projektą
Delete draft invoice {0}?,Ištrinti sąskaitos faktūros juodraštį {0}?
Delete Invoice,Ištrinti sąskaitą faktūrą
Delete offline invoice,Ištrinti sąskaitą faktūrą neprisijungus
Delivered,Pristatyta
Delivery Charges,Pristatymo mokesčiai
Delivery Information,Pristatymo informacija
Delivery Note {0} created,Sukurtas pristatymo lapelis {0}
Delivery note created,Sukurtas važtaraštis
Deployed Bundle:,Įdiegtas paketas:
Deposit,Užstatas
Description,Aprašymas
Detailed Supplier Breakdown,Išsamus tiekėjų suskirstymas
Detecting formats:,Aptikti formatus:
Device Memory:,Įrenginio atmintis:
Difference,Skirtumas
Difference (In Company Currency),Skirtumas (įmonės valiuta)
Disable offline mode first to recheck live connectivity.,"Pirmiausia išjunkite režimą neprisijungus, kad dar kartą patikrintumėte tiesioginį ryšį."
Disconnect,Atsijungti
discount,nuolaida
Discount %,nuolaida %
Discount / Void / Return Report,Nuolaida / negalioja / grąžinimo ataskaita
Discount Amount,Nuolaidos suma
Discount limited by POS Profile,Nuolaidą riboja POS profilis
Discounted Invoices,Sąskaitos faktūros su nuolaida
Discounts,Nuolaidos
Dismiss,Atsisakyti
Download Certificate,Atsisiųskite sertifikatą
Draft,Juodraštis
Draft invoice deleted,Sąskaitos faktūros projektas ištrintas
Draft source,Juodraščio šaltinis
Drafts,Juodraščiai
Due {0},Terminas {0}
Due Date,Terminas
Duplicate,Pasikartoti
Edit customer,Redaguoti klientą
Edit discount amount,Redaguoti nuolaidos sumą
Edit discount percentage,Redaguoti nuolaidos procentą
Edit Gift Application,Redaguoti dovanų programą
Edit item name,Redaguoti elemento pavadinimą
Edit quantity,Redaguoti kiekį
Edit rate,Redaguoti įkainį
Edit unit of measure,Redaguoti matavimo vienetą
Edited,Redaguota
Employee,Darbuotojas
Enable background sync,Įgalinti foninį sinchronizavimą
Enable Customer Display in POS Profile first.,Pirmiausia įgalinkite klientų rodymą POS profilyje.
Enter a PIN.,Įveskite PIN kodą.
Enter a valid grams value,Įveskite galiojančią reikšmę gramais
Enter new price list rate,Įveskite naują kainoraštį
Enter Quantity,Įveskite kiekį
Enter the cashier PIN to continue.,"Norėdami tęsti, įveskite kasininko PIN kodą."
Enter the current PIN first.,Pirmiausia įveskite dabartinį PIN kodą.
"Enter the current PIN, then choose a new one.","Įveskite dabartinį PIN kodą, tada pasirinkite naują."
Enter valid grams for scale barcode,Įveskite galiojančius svarstyklių brūkšninio kodo gramus
Entries,Įrašai
Error accessing camera:,Klaida pasiekiant fotoaparatą:
Error calculating prices,Klaida skaičiuojant kainas
Error fetching customer balance,Gaunant kliento balansą įvyko klaida
Error in change calculations!,Klaida pakeitimų skaičiavimuose!
Error Loading Data,Įkeliant duomenis įvyko klaida
Error loading invoice details,Klaida įkeliant išsamią sąskaitos faktūros informaciją
Error processing invoice,Apdorojant sąskaitą faktūrą įvyko klaida
Error processing payment,Klaida apdorojant mokėjimą
Error searching invoices,Klaida ieškant sąskaitų faktūrų
Error submitting invoice:,Klaida pateikiant sąskaitą faktūrą:
Error submitting invoice: {0},Klaida pateikiant sąskaitą faktūrą: {0}
Error submitting invoice: No response from server,Klaida pateikiant sąskaitą: nėra atsakymo iš serverio
Error updating currency,Klaida atnaujinant valiutą
Error updating item details,Klaida atnaujinant išsamią elemento informaciją
Est. Purchase,Įvert. Pirkimas
Est. Value,Įvert. Vertė
Event-loop lag measures how busy your browser is. Lower is better.,Įvykių ciklo delsa įvertina jūsų naršyklės užimtumą. Žemiau yra geriau.
Every,kas
Exchange Rate,Valiutos kursas
Expand item details,Išskleisti detalią elemento informaciją
Expected Amount (In Company Currency),Numatoma suma (įmonės valiuta)
Expected Cash,Tikėtini grynieji pinigai
Expected cash on hand grouped by currency,Tikėtini grynieji pinigai kasoje sugrupuoti pagal valiutą
Expected vs Actual,Tikėtina vs faktinė
Expense,Išlaidos
Expense Account (Optional Override),Išlaidų sąskaita (pasirenkamas nepaisymas)
Expense account is required.,Reikalinga išlaidų sąskaita.
Expenses and deposits posted during this shift,Šios pamainos metu paskelbtos išlaidos ir indėliai
Expired,Baigėsi galiojimo laikas
Failed to auto reconcile payments.,Nepavyko automatiškai suderinti mokėjimų.
Failed to cancel cash movement,Nepavyko atšaukti grynųjų pinigų judėjimo
Failed to clear cache,Nepavyko išvalyti talpyklos
Failed to create item,Nepavyko sukurti elemento
Failed to create supplier,Nepavyko sukurti tiekėjo
Failed to delete cash movement,Nepavyko ištrinti grynųjų pinigų judėjimo
Failed to generate scale barcode. Using item barcode only.,Nepavyko sugeneruoti mastelio brūkšninio kodo. Naudojant tik prekės brūkšninį kodą.
Failed to load cash movement context.,Nepavyko įkelti grynųjų pinigų judėjimo konteksto.
Failed to load dashboard data.,Nepavyko įkelti prietaisų skydelio duomenų.
Failed to reload invoice from server,Nepavyko iš naujo įkelti sąskaitos faktūros iš serverio
Failed to submit cash movement,Nepavyko pateikti grynųjų pinigų judėjimo
Failed to sync offline cash movements,Nepavyko sinchronizuoti grynųjų pinigų judėjimo neprisijungus
Fast cashier actions for active shifts.,Greiti kasos veiksmai aktyvioms pamainoms.
Fast Moving Items,Greitai judantys daiktai
Fees,Mokesčiai
Fetch the latest offline prerequisite updates,Gaukite naujausius neprisijungus reikalingus naujinimus
Find a sales order quickly and load it into the current sale.,Greitai raskite pardavimo užsakymą ir įkelkite jį į dabartinį išpardavimą.
Fixing payment amounts for return invoice...,Tvirtinamos grąžinimo sąskaitos faktūros mokėjimo sumos...
Flash Off,Blykstė išjungta
Flash On,Blykstė įjungta
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","„Produktų rinkinio“ prekėms „Pakavimo sąrašo“ lentelėje bus atsižvelgiama į sandėlį, serijos numerį ir partijos numerį. Jei Sandėlio ir Partijos Nr. yra vienodi visoms bet kurios „Produktų rinkinio“ prekės pakuotės prekėms, šias reikšmes galima įvesti į pagrindinę prekių lentelę; reikšmės bus nukopijuotos į lentelę „Pakavimo sąrašas“."
Free,Nemokama
Free Qty,Nemokamas kiekis
Frequency,Dažnis
from,iš
From Date,Nuo datos
Fulfillment Details,Išsami vykdymo informacija
Full Name,Pilnas vardas
Gain,Pelnas
Generate a fresh prepaid card and start it with an opening balance.,Sugeneruokite naują išankstinio mokėjimo kortelę ir pradėkite ją su pradiniu balansu.
Generate and install the certificate to allow fully silent printing without trust prompts.,"Sugeneruokite ir įdiekite sertifikatą, kad būtų galima visiškai tyliai spausdinti be pasitikėjimo raginimų."
Generate Certificate,Sukurti sertifikatą
Generated scale barcode: {0},Sugeneruotas mastelio brūkšninis kodas: {0}
Get Payments,Gaukite mokėjimus
Gift Card,Dovanų kortelė
Gift card amount must be greater than zero.,Dovanų kortelės suma turi būti didesnė už nulį.
Gift Card Code,Dovanų kortelės kodas
Gift card code is required for redemption,Dovanų kortelės kodas reikalingas išpirkimui
Gift card code is required.,Reikalingas dovanų kortelės kodas.
Gift card issued successfully.,Dovanų kuponas sėkmingai išduotas.
Gift card loaded successfully.,Dovanų kortelė sėkmingai įkelta.
Gift Card Management,Dovanų kortelių valdymas
Gift card payment,Apmokėjimas dovanų kortele
Gift card redemption requires an online connection,"Norint išpirkti dovanų kortelę, reikalingas internetinis ryšys"
Gift card topped up successfully.,Dovanų kortelė sėkmingai papildyta.
Gift Cards,Dovanų kortelės
Go to Frappe Desk,Eikite į „Frappe“ stalą
Grand Total,Didžioji suma
Gross Margin,Bendroji marža
Gross Profit,Bendrasis pelnas
Gross Sales,Bendrieji pardavimai
Group not found,Grupė nerasta
"Grouped controls for terminal, UI, and session settings.","Sugrupuoti terminalo, vartotojo sąsajos ir seanso nustatymų valdikliai."
Grouped totals for each payment method and currency,Sugrupuotos kiekvieno mokėjimo metodo ir valiutos sumos
Hide,Slėpti
Hide Gift Card,Slėpti dovanų kortelę
Hide Non Essential Fields,Slėpti neesminius laukus
Hide quantity decimals,Slėpti skaičių po kablelio
Hide search tools,Slėpti paieškos įrankius
Hide zero rated items,Slėpti nuliui įvertintus elementus
High,Aukštas
History,Istorija
Hourly (Today),Kas valandą (šiandien)
How this section works,Kaip veikia šis skyrius
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","Jei lieka pasenusių duomenų, atidarykite Nustatymai > Neprisijungus ir sinchronizavimas ir dar kartą paleiskite Rebuild Offline Data, kai esate prisijungę."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","Jei įspėjimas išlieka, atidarykite „Nustatymai“ > „Neprisijungus ir sinchronizavimas“, tada paleiskite „Refresh Offline Data“ arba „Rebuild Offline Data“."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,Importuokite sertifikatą į QZ dėklą ir iš naujo paleiskite QZ dėklą kiekviename POS aparate.
In,Į
In stock: {0},Sandėlyje: {0}
Include Batch / Serial,Įtraukti partiją / seriją
Include Price,Įtraukti kainą
Increase quantity,Padidinti kiekį
IndexedDB,IndexedDB
Initial Amount,Pradinė suma
Initialize your shift with opening balances,Pradėkite savo pamainą pradiniais likučiais
Initializing application...,Inicijuojama programa...
"Inspect cache, sync, and prerequisite status","Patikrinkite talpyklą, sinchronizavimą ir būtinų sąlygų būseną"
Installed Applications,Įdiegtos programos
Insufficient stock:\n{0},Nepakankamai atsargų:\n{0}
Invalid rate,Neteisingas tarifas
Inventory Status Report,Inventoriaus būklės ataskaita
Invoice,Sąskaita faktūra
