POS Awesome,POS tuyệt vời
Base Paid:,Cơ sở được trả:
Base Recv:,Recv cơ sở:
Base:,Cơ sở:
Basic Information,Thông tin cơ bản
Batch,Lô
Batch Information,Thông tin lô
Before any return workflow,Trước bất kỳ quy trình làm việc trả lại nào
Before returns,Trước khi trở về
Best Day,Ngày tuyệt vời nhất
Best Seller,Bán chạy nhất
Book expense or deposit from active shift.,Ghi sổ chi phí hoặc đặt cọc từ ca làm việc hiện tại.
Branch / Location-wise Report,Báo cáo chi nhánh/địa điểm
Brand-wise,Thương hiệu khôn ngoan
Breakdown,Sự cố
Browse,Duyệt qua
Build Time:,Thời gian xây dựng:
Built with Frappe,Được xây dựng bằng Frappe
Bundle,Gói
Buying Price,Giá mua
Cache cleared successfully,Đã xóa bộ nhớ đệm thành công
Cache Usage,Sử dụng bộ đệm
cache used,bộ đệm được sử dụng
Calculating...,Đang tính...
Camera Access Required,Yêu cầu truy cập máy ảnh
Camera access was aborted. Please try again.,Quyền truy cập máy ảnh đã bị hủy bỏ. Vui lòng thử lại.
Camera constraints not supported by your device. Trying fallback settings...,Các ràng buộc về máy ảnh không được thiết bị của bạn hỗ trợ. Đang thử cài đặt dự phòng...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,Máy ảnh đang bận hoặc bị chặn bởi ứng dụng/tab khác. Đóng các ứng dụng máy ảnh khác và thử lại.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,Quyền sử dụng máy ảnh bị từ chối. Vui lòng cho phép truy cập máy ảnh trong cài đặt trình duyệt của bạn và làm mới trang.
Camera scanner is locked until the current error is acknowledged,Máy quét camera bị khóa cho đến khi lỗi hiện tại được xác nhận
Camera started but the video stream did not load in time. Please try again.,Camera đã khởi động nhưng luồng video không tải kịp thời. Vui lòng thử lại.
Cancel cash movement {0}?,Hủy chuyển tiền mặt {0}?
Cancel Payment,Hủy thanh toán
Cancel Sale,Hủy giảm giá
Cancel Sale ?,Hủy bán hàng?
Cancelled,Đã hủy
Cannot add an item with zero or negative quantity.,Không thể thêm một mặt hàng có số lượng bằng 0 hoặc âm.
Cannot clear cache while offline,Không thể xóa bộ nhớ đệm khi ngoại tuyến
Cannot redeem customer credit more than invoice total,Không thể đổi tín dụng của khách hàng nhiều hơn tổng hóa đơn
Cannot redeem gift cards more than invoice total,Không thể đổi thẻ quà tặng nhiều hơn tổng hóa đơn
Cannot Save Offline Invoice:,Không thể lưu hóa đơn ngoại tuyến:
Cannot Save Offline Payment:,Không thể lưu thanh toán ngoại tuyến:
Card,Thẻ
Card / Online,Thẻ / Trực tuyến
Card health after the last live lookup,Tình trạng thẻ sau lần tra cứu trực tiếp cuối cùng
Cards,Thẻ
Cart,Giỏ hàng
Cash,Tiền mặt
Cash back to customers,Hoàn tiền cho khách hàng
Cash Collections,Bộ sưu tập tiền mặt
Cash Deposit is disabled for this POS Profile.,Việc gửi tiền mặt bị vô hiệu hóa đối với Hồ sơ POS này.
Cash Drawer Snapshot,Ảnh chụp ngăn kéo tiền mặt
Cash In Hand,Tiền mặt trong tay
Cash Movement,Phong trào tiền mặt
Cash movement cancelled,Phong trào tiền mặt bị hủy bỏ
Cash movement deduction applied,Áp dụng khấu trừ chuyển động tiền mặt
Cash movement deleted,Chuyển động tiền mặt đã bị xóa
Cash movement is disabled for this POS Profile.,Chuyển động tiền mặt bị vô hiệu hóa đối với Hồ sơ POS này.
Cash Movement is disabled in current POS Profile.,Chuyển tiền mặt bị vô hiệu hóa trong Hồ sơ POS hiện tại.
Cash movement saved offline,Chuyển tiền được lưu ngoại tuyến
Cash movement submitted,Đã gửi chuyển động tiền mặt
Cash Movements,Chuyển động tiền mặt
Cash payment cannot be less than invoice total when partial payment is not allowed,Thanh toán bằng tiền mặt không thể ít hơn tổng hóa đơn khi không được phép thanh toán một phần
Cash returned after payment,Tiền mặt được trả lại sau khi thanh toán
Cashier,thu ngân
Cashier Access,Truy cập thu ngân
Cashier identity and appearance preferences.,Nhận dạng nhân viên thu ngân và sở thích ngoại hình.
Cashier PIN,PIN thu ngân
Cashier PIN saved successfully.,Đã lưu thành công mã PIN thu ngân.
Cashiers,Nhân viên thu ngân
Cashier-wise,Thu ngân khôn ngoan
Categories,Danh mục
Category,Danh mục
Category / Brand / Variant Report,Báo cáo Danh mục / Thương hiệu / Biến thể
Category-wise,Thể loại khôn ngoan
Category-wise Margin,Ký quỹ theo danh mục
Certificate,Giấy chứng nhận
Certificate is missing or not trusted. QZ may show confirmation dialogs.,Chứng chỉ bị thiếu hoặc không đáng tin cậy. QZ có thể hiển thị hộp thoại xác nhận.
Certificate is trusted. Silent QZ printing is active.,Chứng chỉ được tin cậy. Tính năng in QZ im lặng đang hoạt động.
Change,Thay đổi
Change allocation repaired,Đã sửa chữa thay đổi phân bổ
Change Price,Thay đổi giá
Change Return,Thay đổi Trả lại
Change Returned,Thay đổi được trả lại
Change terminal cashier,Thay đổi nhân viên thu ngân thiết bị đầu cuối
Charge Heads,Đầu sạc
Charges,Phí
Charges not found,Không tìm thấy khoản phí
Check Balance,Kiểm tra số dư
Check balance for any card. Supervisors can issue and top up cards here.,Kiểm tra số dư cho bất kỳ thẻ nào. Giám sát viên có thể phát hành và nạp thẻ tại đây.
Check balance only,Chỉ kiểm tra số dư
Check for new commits,Kiểm tra các cam kết mới
Check for Updates,Kiểm tra cập nhật
Check live balance before applying redemption,Kiểm tra số dư trực tiếp trước khi áp dụng quy đổi
Check live balance before redemption,Kiểm tra số dư trực tiếp trước khi đổi quà
Checking...,Đang kiểm tra...
Cheque/Reference Date,Séc/Ngày tham chiếu
Cheque/Reference No,Séc/Số tham chiếu
Choose the cashier currently operating this terminal.,Chọn nhân viên thu ngân hiện đang vận hành thiết bị đầu cuối này.
City,Thành phố
Clear,Xóa
Clear All,Xóa tất cả
Clear all barcode items,Xóa tất cả các mục mã vạch
Clear all purchase order items,Xóa tất cả các mặt hàng trong đơn đặt hàng
Clear Search,Xóa tìm kiếm
Clearing local cache...,Đang xóa bộ nhớ đệm cục bộ...
Click to refresh,Bấm để làm mới
Client CPU Lag:,Độ trễ CPU của máy khách:
Client Memory Usage:,Sử dụng bộ nhớ máy khách:
Client Metrics,Số liệu khách hàng
Close about dialog,Đóng hộp thoại
Close cashier switcher,Đóng bộ chuyển đổi thu ngân
Close closing shift dialog,Đóng hộp thoại chuyển đổi đang đóng
Close column selector,Đóng bộ chọn cột
Close Dialog,Đóng hộp thoại
Close drafts dialog,Đóng hộp thoại bản nháp
Close invoice details dialog,Đóng hộp thoại chi tiết hóa đơn
Close invoice management,Đóng quản lý hóa đơn
Close offline invoices dialog,Đóng hộp thoại hóa đơn ngoại tuyến
Close packing list dialog,Đóng hộp thoại danh sách đóng gói
Close returns dialog,Đóng hộp thoại trả hàng
Close sales orders dialog,Đóng hộp thoại đặt hàng bán hàng
Close Scanner,Đóng máy quét
Close scanner dialog,Đóng hộp thoại máy quét
Close Settings,Đóng cài đặt
Closing Amount,Số tiền đóng
Closing POS Shift,Đóng ca POS
Closing Snapshot Available,Có sẵn ảnh chụp nhanh
Code,Mã
Code scanned successfully,Quét mã thành công
COGS,giá vốn
Collapse item details,Thu gọn chi tiết mục
Collected,Đã sưu tầm
Cols,Cols
Columns,Cột
commits,cam kết
Completed and active sales in this range,Doanh số bán hàng đã hoàn thành và đang hoạt động trong phạm vi này
Completed returns will appear here.,Các tờ khai đã hoàn thành sẽ xuất hiện ở đây.
Confirm,Xác nhận
Confirm Close,Xác nhận Đóng
Confirm Mobile Number,Xác nhận số điện thoại di động
Confirm PIN,Xác nhận mã PIN
Connect,Kết nối
Connect printer and manage certificate,Kết nối máy in và quản lý chứng chỉ
Connecting to QZ Tray...,Đang kết nối với khay QZ...
Connection problem while submitting invoice,Sự cố kết nối khi gửi hóa đơn
Connections:,Kết nối:
Connectivity and cached prerequisite status were rechecked.,Kết nối và trạng thái điều kiện tiên quyết được lưu trong bộ nhớ đệm đã được kiểm tra lại.
Continue Editing,Tiếp tục chỉnh sửa
Could not fetch latest balance from server,Không thể lấy số dư mới nhất từ máy chủ
Count,Đếm
Country,Quốc gia
Coupon,Phiếu giảm giá
Coupons,Phiếu giảm giá
Cover,Bìa
CPU Cores:,Lõi CPU:
Create,Tạo
Create and load a new prepaid card,Tạo và nạp thẻ trả trước mới
Create and preload a new gift card,Tạo và tải trước thẻ quà tặng mới
Create Bill,Tạo hóa đơn
Create Customer,Tạo khách hàng
Create New Item,Tạo mục mới
Create or change your PIN,Tạo hoặc thay đổi mã PIN của bạn
Create PIN,Tạo mã PIN
Create POS Opening Shift,Tạo ca mở POS
Create Purchase Order,Tạo đơn đặt hàng
Create Return,Tạo Trả lại
Create return from invoice,Tạo lợi nhuận từ hóa đơn
Create Supplier,Tạo nhà cung cấp
Credit and Output,Tín dụng và đầu ra
Credit Note,Ghi chú tín dụng
Credit Outstanding,Dư nợ tín dụng
Credit sales remaining to be collected,Doanh số tín dụng còn lại sẽ được thu
Critical,Quan trọng
Currency,Tiền tệ
Current,hiện tại
Current Event Loop Lag:,Độ trễ của vòng lặp sự kiện hiện tại:
Current Month,Tháng hiện tại
Current PIN,Mã PIN hiện tại
Current Profile,Hồ sơ hiện tại
Current redeemable value on the gift card,Giá trị có thể quy đổi hiện tại trên thẻ quà tặng
Current User,Người dùng hiện tại
Custom,tùy chỉnh
Custom Due Days,Ngày đến hạn tùy chỉnh
Custom items per page,Các mục tùy chỉnh trên mỗi trang
Customer,Khách hàng
Customer already selected,Khách hàng đã được chọn
Customer Balance,Số dư của khách hàng
Customer balance unavailable offline,Số dư khách hàng không khả dụng ngoại tuyến
Customer created successfully.,Khách hàng đã tạo thành công.
Customer creation failed.,Tạo khách hàng không thành công.
Customer Details,Chi tiết khách hàng
Customer display channel is missing,Kênh hiển thị khách hàng bị thiếu
Customer display was blocked. Please allow pop-ups for this site.,Hiển thị của khách hàng đã bị chặn. Vui lòng cho phép cửa sổ bật lên cho trang web này.
Customer group is required,Nhóm khách hàng là bắt buộc
Customer is required to add payment,Khách hàng được yêu cầu thêm thanh toán
Customer Name is required,Tên khách hàng là bắt buộc
Customer not selected,Khách hàng không được chọn
Customer Report,Báo cáo khách hàng
Customer saved offline,Khách hàng đã lưu ngoại tuyến
Customer Screen,Màn hình khách hàng
Customer territory is required,Lãnh thổ của khách hàng là bắt buộc
Customer updated successfully.,Khách hàng đã cập nhật thành công.
Customer-facing tools and printer setup.,Các công cụ hướng tới khách hàng và thiết lập máy in.
Customers,Khách hàng
Customers not found,Không tìm thấy khách hàng
Daily cashier actions without scrolling.,Hành động thu ngân hàng ngày mà không cần cuộn.
Daily Sales,Bán hàng hàng ngày
Daily Sales Summary,Tóm tắt doanh số hàng ngày
Data loaded in form. Review and submit.,Dữ liệu được tải trong biểu mẫu. Xem xét và gửi.
Database Health,Tình trạng cơ sở dữ liệu
Database health affects overall system speed and reliability.,Tình trạng cơ sở dữ liệu ảnh hưởng đến tốc độ và độ tin cậy tổng thể của hệ thống.
Database Info,Thông tin cơ sở dữ liệu
Date,Ngày
Day ?,Ngày?
days,ngày
Day-wise (MTD),Hàng ngày (MTD)
Day-wise Movement,Phong trào hàng ngày
Dead Stock,Hàng chết
Dead Stock Items,Hàng tồn kho đã chết
Decrease quantity,Giảm số lượng
Default,Mặc định
Default:,Mặc định:
Delete,Xóa
Delete cancelled cash movement {0}?,Xóa chuyển tiền mặt bị hủy {0}?
Delete Draft,Xóa bản nháp
Delete draft invoice,Xóa hóa đơn dự thảo
Delete draft invoice {0}?,Xóa hóa đơn nháp {0}?
Delete Invoice,Xóa hóa đơn
Delete offline invoice,Xóa hóa đơn ngoại tuyến
Delivered,Đã giao
Delivery Charges,Phí giao hàng
Delivery Information,Thông tin giao hàng
Delivery Note {0} created,Đã tạo Phiếu giao hàng {0}
Delivery note created,Đã tạo phiếu giao hàng
Deployed Bundle:,Gói đã triển khai:
Deposit,Gửi tiền
Description,Mô tả
Detailed Supplier Breakdown,Phân tích chi tiết về nhà cung cấp
Detecting formats:,Phát hiện các định dạng:
Device Memory:,Bộ nhớ thiết bị:
Difference,Sự khác biệt
Difference (In Company Currency),Chênh lệch (Tính theo đơn vị tiền tệ của công ty)
Disable offline mode first to recheck live connectivity.,Trước tiên hãy tắt chế độ ngoại tuyến để kiểm tra lại kết nối trực tiếp.
Disconnect,Ngắt kết nối
discount,giảm giá
Discount %,% chiết khấu
Discount / Void / Return Report,Báo cáo giảm giá / vô hiệu / trả lại
Discount Amount,Số tiền chiết khấu
Discount limited by POS Profile,Giảm giá bị giới hạn bởi hồ sơ POS
Discounted Invoices,Hóa đơn chiết khấu
Discounts,Giảm giá
Dismiss,Loại bỏ
Download Certificate,Tải xuống chứng chỉ
Draft,bản nháp
Draft invoice deleted,Đã xóa hóa đơn dự thảo
Draft source,Nguồn dự thảo
Drafts,Bản nháp
Due {0},Đến hạn {0}
Due Date,Ngày đáo hạn
Duplicate,trùng lặp
Edit customer,Chỉnh sửa khách hàng
Edit discount amount,Chỉnh sửa số tiền chiết khấu
Edit discount percentage,Chỉnh sửa tỷ lệ chiết khấu
Edit Gift Application,Chỉnh sửa ứng dụng quà tặng
Edit item name,Chỉnh sửa tên mục
Edit quantity,Chỉnh sửa số lượng
Edit rate,Chỉnh sửa tỷ lệ
Edit unit of measure,Chỉnh sửa đơn vị đo
Edited,Đã chỉnh sửa
Employee,nhân viên
Enable background sync,Bật đồng bộ hóa nền
Enable Customer Display in POS Profile first.,Trước tiên hãy bật Hiển thị khách hàng trong Hồ sơ POS.
Enter a PIN.,Nhập mã PIN.
Enter a valid grams value,Nhập giá trị gam hợp lệ
Enter new price list rate,Nhập tỷ lệ bảng giá mới
Enter Quantity,Nhập số lượng
Enter the cashier PIN to continue.,Nhập mã PIN thu ngân để tiếp tục.
Enter the current PIN first.,Nhập mã PIN hiện tại trước.
"Enter the current PIN, then choose a new one.","Nhập mã PIN hiện tại, sau đó chọn mã PIN mới."
Enter valid grams for scale barcode,Nhập gam hợp lệ cho mã vạch cân
Entries,Bài dự thi
Error accessing camera:,Lỗi truy cập vào camera:
Error calculating prices,Lỗi tính giá
Error fetching customer balance,Lỗi khi lấy số dư của khách hàng
Error in change calculations!,Lỗi trong tính toán thay đổi!
Error Loading Data,Lỗi tải dữ liệu
Error loading invoice details,Lỗi tải chi tiết hóa đơn
Error processing invoice,Lỗi xử lý hóa đơn
Error processing payment,Lỗi xử lý thanh toán
Error searching invoices,Lỗi tra cứu hóa đơn
Error submitting invoice:,Lỗi gửi hóa đơn:
Error submitting invoice: {0},Lỗi gửi hóa đơn: {0}
Error submitting invoice: No response from server,Lỗi gửi hóa đơn: Không có phản hồi từ máy chủ
Error updating currency,Lỗi cập nhật tiền tệ
Error updating item details,Lỗi cập nhật chi tiết mặt hàng
Est. Purchase,Ước tính. Mua hàng
Est. Value,Ước tính. Giá trị
Event-loop lag measures how busy your browser is. Lower is better.,Độ trễ của vòng lặp sự kiện đo lường mức độ bận rộn của trình duyệt của bạn. Thấp hơn là tốt hơn.
Every,Mỗi
Exchange Rate,Tỷ giá hối đoái
Expand item details,Mở rộng chi tiết mục
Expected Amount (In Company Currency),Số tiền dự kiến (bằng tiền tệ của công ty)
Expected Cash,Tiền mặt dự kiến
Expected cash on hand grouped by currency,Tiền mặt dự kiến được nhóm theo loại tiền tệ
Expected vs Actual,Dự kiến so với thực tế
Expense,chi phí
Expense Account (Optional Override),Tài khoản chi phí (Ghi đè tùy chọn)
Expense account is required.,Tài khoản chi phí là bắt buộc.
Expenses and deposits posted during this shift,"Các chi phí, tiền đặt cọc phát sinh trong ca này"
Expired,Đã hết hạn
Failed to auto reconcile payments.,Không thể tự động điều chỉnh các khoản thanh toán.
Failed to cancel cash movement,Không thể hủy chuyển tiền mặt
Failed to clear cache,Không xóa được bộ nhớ đệm
Failed to create item,Không tạo được mục
Failed to create supplier,Không tạo được nhà cung cấp
Failed to delete cash movement,Không thể xóa chuyển động tiền mặt
Failed to generate scale barcode. Using item barcode only.,Không thể tạo mã vạch cân. Chỉ sử dụng mã vạch mặt hàng.
Failed to load cash movement context.,Không thể tải bối cảnh chuyển tiền mặt.
Failed to load dashboard data.,Không tải được dữ liệu trang tổng quan.
Failed to reload invoice from server,Không thể tải lại hóa đơn từ máy chủ
Failed to submit cash movement,Không thể gửi chuyển động tiền mặt
Failed to sync offline cash movements,Không thể đồng bộ hóa các chuyển động tiền mặt ngoại tuyến
Fast cashier actions for active shifts.,Hành động thu ngân nhanh chóng cho ca hoạt động.
Fast Moving Items,Vật phẩm di chuyển nhanh
Fees,Phí
Fetch the latest offline prerequisite updates,Tìm nạp các bản cập nhật điều kiện tiên quyết ngoại tuyến mới nhất
Find a sales order quickly and load it into the current sale.,Tìm một đơn đặt hàng một cách nhanh chóng và tải nó vào việc bán hàng hiện tại.
Fixing payment amounts for return invoice...,Ấn định số tiền thanh toán cho hóa đơn trả lại...
Flash Off,Tắt đèn flash
Flash On,Bật đèn flash
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","Đối với các mặt hàng 'Gói sản phẩm', Kho, Số sê-ri và Số lô sẽ được xem xét từ bảng 'Danh sách đóng gói'. Nếu Kho và Số lô giống nhau cho tất cả các mặt hàng đóng gói cho bất kỳ mặt hàng 'Gói sản phẩm' nào, thì những giá trị đó có thể được nhập vào bảng Mặt hàng chính; các giá trị sẽ được sao chép vào bảng 'Danh sách đóng gói'."
Free,miễn phí
Free Qty,Số lượng miễn phí
Frequency,Tần số
from,từ
From Date,Từ ngày
Fulfillment Details,Chi tiết thực hiện
Full Name,Tên đầy đủ
Gain,Đạt được
Generate a fresh prepaid card and start it with an opening balance.,Tạo một thẻ trả trước mới và bắt đầu với số dư đầu kỳ.
Generate and install the certificate to allow fully silent printing without trust prompts.,Tạo và cài đặt chứng chỉ để cho phép in hoàn toàn im lặng mà không cần lời nhắc tin cậy.
Generate Certificate,Tạo chứng chỉ
Generated scale barcode: {0},Mã vạch tỷ lệ đã tạo: {0}
Get Payments,Nhận thanh toán
Gift Card,Thẻ quà tặng
Gift card amount must be greater than zero.,Số tiền thẻ quà tặng phải lớn hơn 0.
Gift Card Code,Mã thẻ quà tặng
Gift card code is required for redemption,Cần có mã thẻ quà tặng để đổi quà
Gift card code is required.,Mã thẻ quà tặng là bắt buộc.
Gift card issued successfully.,Thẻ quà tặng được phát hành thành công.
Gift card loaded successfully.,Đã nạp thẻ quà tặng thành công.
Gift Card Management,Quản lý thẻ quà tặng
Gift card payment,Thanh toán bằng thẻ quà tặng
Gift card redemption requires an online connection,Đổi thẻ quà tặng yêu cầu kết nối trực tuyến
Gift card topped up successfully.,Nạp thẻ quà tặng thành công.
Gift Cards,Thẻ quà tặng
Go to Frappe Desk,Đi đến bàn Frappe
Grand Total,Tổng cộng
Gross Margin,Tỷ suất lợi nhuận gộp
Gross Profit,Lợi nhuận gộp
Gross Sales,Tổng doanh thu
Group not found,Không tìm thấy nhóm
"Grouped controls for terminal, UI, and session settings.","Các điều khiển được nhóm cho cài đặt thiết bị đầu cuối, giao diện người dùng và phiên."
Grouped totals for each payment method and currency,Tổng số được nhóm cho từng phương thức thanh toán và loại tiền tệ
Hide,Ẩn
Hide Gift Card,Ẩn thẻ quà tặng
Hide Non Essential Fields,Ẩn các trường không cần thiết
Hide quantity decimals,Ẩn số thập phân
Hide search tools,Ẩn công cụ tìm kiếm
Hide zero rated items,Ẩn các mục được xếp hạng 0
High,Cao
History,Lịch sử
Hourly (Today),Hàng giờ (Hôm nay)
How this section works,Phần này hoạt động như thế nào
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","Nếu dữ liệu cũ vẫn còn, hãy mở Cài đặt > Ngoại tuyến & Đồng bộ hóa và chạy lại Xây dựng lại dữ liệu ngoại tuyến khi trực tuyến."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","Nếu cảnh báo vẫn tiếp diễn, hãy mở Cài đặt > Ngoại tuyến & Đồng bộ hóa, sau đó chạy Làm mới dữ liệu ngoại tuyến hoặc Xây dựng lại dữ liệu ngoại tuyến."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,Nhập chứng chỉ vào QZ Tray và khởi động lại QZ Tray trên mỗi máy POS.
In,trong
In stock: {0},Còn hàng: {0}
Include Batch / Serial,Bao gồm Lô/Sê-ri
Include Price,Bao gồm giá
Increase quantity,Tăng số lượng
