POS Awesome,POS Genial
Base Recv:,Rec. base:
Base:,Base:
Basic Information,Informació bàsica
Batch,Lot
Batch Information,Informació del lot
Before any return workflow,Abans de qualsevol flux de treball de retorn
Before returns,Abans de les tornades
Best Day,El millor dia
Best Seller,El més venut
Book expense or deposit from active shift.,Reserva de despeses o ingrés des del torn actiu.
Branch / Location-wise Report,Informe d'oficina / ubicació
Brand-wise,En termes de marca
Breakdown,Avaria
Browse,Navega
Build Time:,Temps de construcció:
Built with Frappe,Construït amb Frappe
Bundle,Paquet
Buying Price,Preu de compra
Cache cleared successfully,La memòria cau s'ha esborrat correctament
Cache Usage,Ús de la memòria cau
cache used,memòria cau utilitzada
Calculating...,Calculant...
Camera Access Required,Accés a la càmera requerit
Camera access was aborted. Please try again.,"S'ha cancel·lat l'accés a la càmera. Si us plau, torna-ho a provar."
Camera constraints not supported by your device. Trying fallback settings...,El vostre dispositiu no admet les restriccions de la càmera. S'està provant la configuració alternativa...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,La càmera està ocupada o bloquejada per una altra aplicació o pestanya. Tanca altres aplicacions de càmera i torna-ho a provar.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,S'ha denegat el permís de la càmera. Permet l'accés a la càmera a la configuració del navegador i actualitza la pàgina.
Camera scanner is locked until the current error is acknowledged,L'escàner de la càmera està bloquejat fins que es reconeix l'error actual
Camera started but the video stream did not load in time. Please try again.,"La càmera va començar, però el flux de vídeo no es va carregar a temps. Si us plau, torna-ho a provar."
Cancel cash movement {0}?,Cancel·lar el moviment d'efectiu {0}?
Cancel Payment,Cancel·la el pagament
Cancel Sale,Cancel·la la venda
Cancel Sale ?,Cancel·lar la venda?
Cancelled,Cancel·lat
Cannot add an item with zero or negative quantity.,No es pot afegir un article amb una quantitat zero o negativa.
Cannot clear cache while offline,No es pot esborrar la memòria cau sense connexió
Cannot redeem customer credit more than invoice total,No es pot bescanviar el crèdit del client més del total de la factura
Cannot redeem gift cards more than invoice total,No es poden bescanviar targetes regal més del total de la factura
Cannot Save Offline Invoice:,No es pot desar la factura fora de línia:
Cannot Save Offline Payment:,No es pot desar el pagament fora de línia:
Card,Targeta
Card / Online,Targeta / En línia
Card health after the last live lookup,Estat de la targeta després de l'última cerca en directe
Cards,Targetes
Cart,Carro
Cash,Efectiu
Cash back to customers,Devolució de diners en efectiu als clients
Cash Collections,Recaptacions en efectiu
Cash Deposit is disabled for this POS Profile.,El dipòsit en efectiu està desactivat per a aquest perfil de TPV.
Cash Drawer Snapshot,Instantània del calaix d'efectiu
Cash In Hand,Diners en mà
Cash Movement,Moviment d'Efectiu
Cash movement cancelled,S'ha cancel·lat el moviment d'efectiu
Cash movement deduction applied,S'ha aplicat la deducció de moviment d'efectiu
Cash movement deleted,S'ha suprimit el moviment d'efectiu
Cash movement is disabled for this POS Profile.,El moviment d'efectiu està desactivat per a aquest perfil de TPV.
Cash Movement is disabled in current POS Profile.,El moviment d'efectiu està desactivat al perfil de TPV actual.
Cash movement saved offline,Moviment d'efectiu desat fora de línia
Cash movement submitted,Moviment d'efectiu enviat
Cash Movements,Moviments d'Efectiu
Cash payment cannot be less than invoice total when partial payment is not allowed,El pagament en efectiu no pot ser inferior al total de la factura quan no es permet el pagament parcial
Cash returned after payment,Es retorna l'efectiu després del pagament
Cashier,Caixer
Cashier Access,Accés al caixer
Cashier identity and appearance preferences.,Preferències d'identitat i aspecte del caixer.
Cashier PIN,PIN del caixer
Cashier PIN saved successfully.,El PIN del caixer s'ha desat correctament.
Cashiers,Caixers
Cashier-wise,A nivell de caixer
Categories,Categories
Category,Categoria
Category / Brand / Variant Report,Categoria / Marca / Informe de variants
Category-wise,Per categories
Category-wise Margin,Marge per categoria
Certificate,Certificat
Certificate is missing or not trusted. QZ may show confirmation dialogs.,Falta el certificat o no és de confiança. QZ pot mostrar diàlegs de confirmació.
Certificate is trusted. Silent QZ printing is active.,El certificat és de confiança. La impressió QZ silenciosa està activa.
Change,Canviar
Change allocation repaired,S'ha reparat el canvi d'assignació
Change Price,Canvia el preu
Change Return,Canvia Retorn
Change Returned,S'ha tornat el canvi
Change terminal cashier,Canvi de caixer terminal
Charge Heads,Caps de càrrega
Charges,Càrrecs
Charges not found,No s'han trobat càrrecs
Check Balance,Comproveu el saldo
Check balance for any card. Supervisors can issue and top up cards here.,Comproveu el saldo de qualsevol targeta. Els supervisors poden emetre i recarregar targetes aquí.
Check balance only,Consulta només el saldo
Check for new commits,Comproveu si hi ha noves commits
Check for Updates,Comproveu si hi ha actualitzacions
Check live balance before applying redemption,Comproveu el saldo real abans d'aplicar el bescanvi
Check live balance before redemption,Comproveu el saldo real abans del bescanvi
Checking...,S'està comprovant...
Cheque/Reference Date,Data del xec/referència
Cheque/Reference No,Xec/núm. de referència
Choose the cashier currently operating this terminal.,Trieu el caixer que opera actualment aquest terminal.
City,Ciutat
Clear,Clar
Clear All,Esborra-ho tot
Clear all barcode items,Esborra tots els elements del codi de barres
Clear all purchase order items,Esborra tots els articles de la comanda de compra
Clear Search,Esborra la cerca
Clearing local cache...,S'està esborrant la memòria cau local...
Click to refresh,Feu clic per actualitzar
Client CPU Lag:,Retard de la CPU del client:
Client Memory Usage:,Ús de memòria del client:
Client Metrics,Mètriques de client
Close about dialog,Tanca sobre el diàleg
Close cashier switcher,Tanqueu el commutador de caixa
Close closing shift dialog,Tanca el diàleg de tancament del torn
Close column selector,Tanca el selector de columnes
Close Dialog,Tanca el diàleg
Close drafts dialog,Tanca el diàleg d'esborranys
Close invoice details dialog,Tanca el diàleg de detalls de la factura
Close invoice management,Tanca la gestió de les factures
Close offline invoices dialog,Tanca el quadre de diàleg de les factures fora de línia
Close packing list dialog,Tanca el diàleg de la llista d'embalatge
Close returns dialog,Tanca el diàleg de retorn
Close sales orders dialog,Tanca el diàleg de comandes de venda
Close Scanner,Tanca l'escàner
Close scanner dialog,Tanca el diàleg de l'escàner
Close Settings,Tanca Configuració
Closing Amount,Import de tancament
Closing POS Shift,Tancant torn de POS
Closing Snapshot Available,Instantània de tancament disponible
Code,Codi
Code scanned successfully,El codi s'ha escanejat correctament
COGS,COGS
Collapse item details,Replega els detalls de l'element
Collected,Recollida
Cols,Cols
Columns,Columnes
commits,es compromet
Completed and active sales in this range,Vendes acabades i actives en aquesta gamma
Completed returns will appear here.,Les devolucions completades apareixeran aquí.
Confirm,Confirmeu
Confirm Close,Confirmeu Tancar
Confirm Mobile Number,Confirmeu el número de mòbil
Confirm PIN,Confirmeu el PIN
Connect,Connecta't
Connect printer and manage certificate,Connecteu la impressora i gestioneu el certificat
Connecting to QZ Tray...,S'està connectant a la safata QZ...
Connection problem while submitting invoice,Problema de connexió durant l'enviament de la factura
Connections:,Connexions:
Connectivity and cached prerequisite status were rechecked.,La connectivitat i l'estat dels requisits previs de la memòria cau es van tornar a comprovar.
Continue Editing,Continuar editant
Could not fetch latest balance from server,No s'ha pogut obtenir l'últim saldo del servidor
Count,Compte
Country,País
Coupon,Cupó
Coupons,Cupons
Cover,Portada
CPU Cores:,Nuclis de CPU:
Create,Crear
Create and load a new prepaid card,Creeu i carregueu una targeta de prepagament nova
Create and preload a new gift card,Creeu i precarregueu una targeta regal nova
Create Bill,Crea Bill
Create Customer,Crear client
Create New Item,Crea un element nou
Create or change your PIN,Creeu o canvieu el vostre PIN
Create PIN,Crea el PIN
Create POS Opening Shift,Crea un torn d'obertura de TPV
Create Purchase Order,Crear comanda de compra
Create Return,Crea retorn
Create return from invoice,Crear devolució a partir de la factura
Create Supplier,Crea un proveïdor
Credit and Output,Crèdit i sortida
Credit Note,Nota de crèdit
Credit Outstanding,Crèdit pendent
Credit sales remaining to be collected,Les vendes de crèdit queden per cobrar
Critical,Crític
Currency,Moneda
Current,Actual
Current Event Loop Lag:,Retard del bucle de l'esdeveniment actual:
Current Month,Mes actual
Current PIN,PIN actual
Current Profile,Perfil actual
Current redeemable value on the gift card,Valor bescanviable actual de la targeta regal
Current User,Usuari actual
Custom,Personalitzat
Custom Due Days,Dies de venciment personalitzats
Custom items per page,Elements personalitzats per pàgina
Customer,Client
Customer already selected,Client ja seleccionat
Customer Balance,Balanç del client
Customer balance unavailable offline,El saldo del client no està disponible fora de línia
Customer created successfully.,Client creat correctament.
Customer creation failed.,La creació del client ha fallat.
Customer Details,Dades del client
Customer display channel is missing,Falta el canal de visualització del client
Customer display was blocked. Please allow pop-ups for this site.,S'ha bloquejat la visualització del client. Permet les finestres emergents per a aquest lloc.
Customer group is required,Es requereix un grup de clients
Customer is required to add payment,El client ha d'afegir el pagament
Customer Name is required,El nom del client és obligatori
Customer not selected,Client no seleccionat
Customer Report,Informe del client
Customer saved offline,El client s'ha desat fora de línia
Customer Screen,Pantalla del client
Customer territory is required,Es requereix el territori del client
Customer updated successfully.,El client s'ha actualitzat correctament.
Customer-facing tools and printer setup.,Eines per al client i configuració de la impressora.
Customers,Clients
Customers not found,No s'han trobat clients
Daily cashier actions without scrolling.,Accions diàries del caixer sense desplaçar-se.
Daily Sales,Vendes diàries
Daily Sales Summary,Resum de vendes diàries
Data loaded in form. Review and submit.,Dades carregades en formulari. Revisa i envia.
Database Health,Salut de la base de dades
Database health affects overall system speed and reliability.,La salut de la base de dades afecta la velocitat i la fiabilitat generals del sistema.
Database Info,Informació de la base de dades
Date,Data
Day ?,dia?
days,dies
Day-wise (MTD),Per dia (MTD)
Day-wise Movement,Moviment diürn
Dead Stock,Stock mort
Dead Stock Items,Articles d'estoc mort
Decrease quantity,Disminuir la quantitat
Default,Per defecte
Default:,Per defecte:
Delete,Suprimeix
Delete cancelled cash movement {0}?,Vols suprimir el moviment d'efectiu cancel·lat {0}?
Delete Draft,Suprimeix l'esborrany
Delete draft invoice,Esborra l'esborrany de la factura
Delete draft invoice {0}?,Vols suprimir l'esborrany de factura {0}?
Delete Invoice,Elimina la factura
Delete offline invoice,Suprimeix la factura fora de línia
Delivered,Lliurat
Delivery Charges,Despeses d'enviament
Delivery Information,Informació de lliurament
Delivery Note {0} created,S'ha creat la nota de lliurament {0}
Delivery note created,S'ha creat l'albarà
Deployed Bundle:,Paquet desplegat:
Deposit,Dipòsit
Description,Descripció
Detailed Supplier Breakdown,Desglossament detallat dels proveïdors
Detecting formats:,Detecció de formats:
Device Memory:,Memòria del dispositiu:
Difference,Diferència
Difference (In Company Currency),Diferència (en moneda de l'empresa)
Disable offline mode first to recheck live connectivity.,Desactiveu primer el mode fora de línia per tornar a comprovar la connectivitat en directe.
Disconnect,Desconnecta
discount,descompte
Discount %,% de descompte
Discount / Void / Return Report,Informe de descompte / anul·lació / devolució
Discount Amount,Import del descompte
Discount limited by POS Profile,Descompte limitat pel perfil POS
Discounted Invoices,Factures amb descompte
Discounts,Descomptes
Dismiss,Descartar
Download Certificate,Descarregar certificat
Draft,Esborrany
Draft invoice deleted,S'ha suprimit l'esborrany de la factura
Draft source,Font de l'esborrany
Drafts,Esborranys
Due {0},Venciment {0}
Due Date,Data de venciment
Duplicate,Duplicat
Edit customer,Edita client
Edit discount amount,Edita l'import del descompte
Edit discount percentage,Edita el percentatge de descompte
Edit Gift Application,Edita l'aplicació de regal
Edit item name,Edita el nom de l'element
Edit quantity,Edita la quantitat
Edit rate,Edita la tarifa
Edit unit of measure,Edita la unitat de mesura
Edited,Editat
Employee,Empleat
Enable background sync,Activa la sincronització en segon pla
Enable Customer Display in POS Profile first.,Activeu primer la visualització del client al perfil de TPV.
Enter a PIN.,Introduïu un PIN.
Enter a valid grams value,Introduïu un valor de grams vàlid
Enter new price list rate,Introduïu una nova tarifa de llista de preus
Enter Quantity,Introduïu la quantitat
Enter the cashier PIN to continue.,Introduïu el PIN del caixer per continuar.
Enter the current PIN first.,Introduïu primer el PIN actual.
"Enter the current PIN, then choose a new one.","Introduïu el PIN actual i, a continuació, trieu-ne un de nou."
Enter valid grams for scale barcode,Introduïu grams vàlids per al codi de barres de l'escala
Entries,Entrades
Error accessing camera:,Error en accedir a la càmera:
Error calculating prices,Error en calcular els preus
Error fetching customer balance,S'ha produït un error en obtenir el saldo del client
Error in change calculations!,Error en els càlculs de canvis!
Error Loading Data,Error en carregar les dades
Error loading invoice details,S'ha produït un error en carregar els detalls de la factura
Error processing invoice,Error en processar la factura
Error processing payment,S'ha produït un error en processar el pagament
Error searching invoices,S'ha produït un error en cercar les factures
Error submitting invoice:,Error en enviar la factura:
Error submitting invoice: {0},Error en enviar la factura: {0}
Error submitting invoice: No response from server,Error en enviar la factura: no hi ha resposta del servidor
Error updating currency,S'ha produït un error en actualitzar la moneda
Error updating item details,S'ha produït un error en actualitzar els detalls de l'element
Est. Purchase,Est. Compra
Est. Value,Est. Valor
Event-loop lag measures how busy your browser is. Lower is better.,El retard del bucle d'esdeveniment mesura l'ocupació del vostre navegador. Més baix és millor.
Every,Cadascú
Exchange Rate,Taxa de canvi
Expand item details,Amplieu els detalls de l'element
Expected Amount (In Company Currency),Import previst (en moneda de l'empresa)
Expected Cash,Efectiu esperat
Expected cash on hand grouped by currency,Efectiu en caixa esperat agrupat per moneda
Expected vs Actual,Esperat vs Real
Expense,Despesa
Expense Account (Optional Override),Compte de despeses (anul·lació opcional)
Expense account is required.,Es requereix un compte de despeses.
Expenses and deposits posted during this shift,Despeses i dipòsits registrats durant aquest torn
Expired,Caducat
Failed to auto reconcile payments.,No s'han pogut conciliar els pagaments automàticament.
Failed to cancel cash movement,No s'ha pogut cancel·lar el moviment d'efectiu
Failed to clear cache,No s'ha pogut esborrar la memòria cau
Failed to create item,No s'ha pogut crear l'element
Failed to create supplier,No s'ha pogut crear el proveïdor
Failed to delete cash movement,No s'ha pogut suprimir el moviment d'efectiu
Failed to generate scale barcode. Using item barcode only.,No s'ha pogut generar el codi de barres de l'escala. Utilitza només el codi de barres de l'article.
Failed to load cash movement context.,No s'ha pogut carregar el context de moviment d'efectiu.
Failed to load dashboard data.,No s'han pogut carregar les dades del tauler.
Failed to reload invoice from server,No s'ha pogut tornar a carregar la factura des del servidor
Failed to submit cash movement,No s'ha pogut enviar el moviment d'efectiu
Failed to sync offline cash movements,No s'han pogut sincronitzar els moviments d'efectiu fora de línia
Fast cashier actions for active shifts.,Accions ràpides de caixer per a torns actius.
Fast Moving Items,Elements en moviment ràpid
Fees,Tarifes
Fetch the latest offline prerequisite updates,Obteniu les darreres actualitzacions de requisits previs fora de línia
Find a sales order quickly and load it into the current sale.,Trobeu una comanda de venda ràpidament i carregueu-la a la venda actual.
Fixing payment amounts for return invoice...,S'estan fixant els imports de pagament per a la factura de devolució...
Flash Off,Flash apagat
Flash On,Flash activat
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","Per als articles del ""Paquet de productes"", el número de magatzem, el número de sèrie i el número de lot es tindran en compte a la taula ""Llista d'embalatge"". Si el magatzem i el número de lot són iguals per a tots els articles d'embalatge per a qualsevol article del ""Paquet de productes"", aquests valors es poden introduir a la taula d'articles principal; els valors es copiaran a la taula ""Llista d'embalatge""."
Free,Gratuït
Free Qty,Quantitat gratuïta
Frequency,Freqüència
from,des de
From Date,Des de la data
Fulfillment Details,Detalls de compliment
Full Name,Nom complet
Gain,Guanyar
Generate a fresh prepaid card and start it with an opening balance.,Genereu una nova targeta de prepagament i comenceu-la amb un saldo d'obertura.
Generate and install the certificate to allow fully silent printing without trust prompts.,Genereu i instal·leu el certificat per permetre una impressió totalment silenciosa sense indicacions de confiança.
Generate Certificate,Generar certificat
Generated scale barcode: {0},Codi de barres d'escala generat: {0}
Get Payments,Obteniu pagaments
Gift Card,Targeta Regal
Gift card amount must be greater than zero.,L'import de la targeta regal ha de ser superior a zero.
Gift Card Code,Codi de la targeta regal
Gift card code is required for redemption,El codi de la targeta regal és necessari per bescanviar-lo
Gift card code is required.,El codi de la targeta regal és obligatori.
Gift card issued successfully.,Targeta regal emesa correctament.
Gift card loaded successfully.,La targeta regal s'ha carregat correctament.
Gift Card Management,Gestió de targetes regal
Gift card payment,Pagament amb targeta regal
Gift card redemption requires an online connection,El bescanvi de la targeta regal requereix una connexió en línia
Gift card topped up successfully.,La targeta regal s'ha recarregat correctament.
Gift Cards,Targetes Regal
Go to Frappe Desk,Aneu a Frappe Desk
Grand Total,Gran Total
Gross Margin,Marge brut
Gross Profit,Benefici brut
Gross Sales,Vendes brutes
Group not found,No s'ha trobat el grup
"Grouped controls for terminal, UI, and session settings.","Controls agrupats per a la configuració del terminal, la interfície d'usuari i la sessió."
Grouped totals for each payment method and currency,Totals agrupats per a cada mètode de pagament i moneda
Hide,Amaga
Hide Gift Card,Amaga la targeta regal
Hide Non Essential Fields,Amaga els camps no essencials
Hide quantity decimals,Amaga nombres decimals de quantitat
Hide search tools,Amaga les eines de cerca
Hide zero rated items,Amaga els elements amb puntuació zero
High,Alt
History,Història
Hourly (Today),Cada hora (avui)
How this section works,Com funciona aquesta secció
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","Si queden dades obsoletes, obriu Configuració > Fora de línia i sincronització i torneu a executar Reconstrueix dades fora de línia mentre esteu en línia."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","Si l'avís continua, obriu Configuració > Fora de línia i sincronització i, a continuació, executeu Actualitza dades fora de línia o Reconstrueix dades fora de línia."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,Importeu el certificat a la safata QZ i reinicieu la safata QZ a cada màquina TPV.
In,En
In stock: {0},En estoc: {0}
Include Batch / Serial,Inclou lot / sèrie
Include Price,Inclou el preu
Increase quantity,Augmentar la quantitat
IndexedDB,Base de dades indexada
Initial Amount,Import Inicial
Initialize your shift with opening balances,Inicieu el vostre torn amb els saldos d'obertura
Initializing application...,S'està inicialitzant l'aplicació...
"Inspect cache, sync, and prerequisite status","Inspeccioneu la memòria cau, la sincronització i l'estat dels requisits previs"
Installed Applications,Aplicacions instal·lades
Insufficient stock:\n{0},Stock insuficient:\n{0}
Invalid rate,Tarifa no vàlida
Inventory Status Report,Informe d'estat de l'inventari
Invoice,Factura
Invoice {0} is Submitted,S'ha enviat la factura {0}
Invoice {0} processed successfully,La factura {0} s'ha processat correctament
Invoice {0} submission failed,No s'ha pogut enviar la factura {0}
Invoice {0} was already submitted,La factura {0} ja s'ha enviat
Invoice Adjustments,Ajustos de factures
Invoice Change,Canvi de factura
Invoice Details,Detalls de la factura
Invoice is still in draft after background submission.,La factura encara està en esborrany després de l'enviament en antecedents.
Invoice Items,Elements de la factura
Invoice Management,Gestió de factures
Invoice Mgmt,Gestió de factures
Invoice saved offline,La factura s'ha desat fora de línia
Invoice submission failed,No s'ha pogut enviar la factura
Invoice Submitted,Factura presentada
"Invoice value settled by loyalty points, not cash collection","Valor de la factura liquidat per punts de fidelitat, no per cobrament en efectiu"
Invoices,Factures
Invoices already past due date,Factures ja vençudes
Invoices saved as POS Invoices,Factures desades com a factures de TPV
Invoices still carrying balances,Les factures encara tenen saldos
Issue Mode,Mode d'emissió
Issue New Card,Emet una nova targeta
Issue Workflow,Flux de treball de problemes
"Issue, top up, and check","Emetre, recarregar i comprovar"
Item,Item
Item / Product Sales Report,Informe de vendes d'articles/productes
Item {0} added to invoice,Element {0} afegit a la factura
Item '{0}' has no barcode,"L'element ""{0}"" no té codi de barres"
Item Code,Codi d'article
Item created successfully,Element creat correctament
Item is out of stock,L'article està esgotat
Item Name,Nom de l'element
Item not found,Element no trobat
Item order updated,Comanda d'articles actualitzada
Item Selector Settings,Configuració del selector d'elements
Items,Elements
Items added in POS will appear here automatically.,Els articles afegits al TPV apareixeran aquí automàticament.
Items added to invoice,Elements afegits a la factura
Items per page,Elements per pàgina
Items Sold,Articles venuts
Items/Invoice,Articles/Factura
Item-wise Profitability,Rendibilitat per articles
Journal Entry,Entrada de diari
json,json
Just now,Just ara
Keep offline prerequisites healthy and recover stale data safely.,Manteniu els requisits previs fora de línia i recupereu les dades obsoletes de manera segura.
Labels,Etiquetes
"Language, theme, terminal tools, and session controls.","Idioma, tema, eines de terminal i controls de sessió."
Last,Darrer
Last 14 Days (Paid vs Pending),Últims 14 dies (pagats o pendents)
Last 14 Days Activity,Activitat dels últims 14 dies
Last 14 Days Gross Profit,Benefici brut dels últims 14 dies
Last 14 Days Purchases,Compres dels últims 14 dies
Last 14 Days Tax/Charges,Últims 14 dies Impostos/Càrrecs
Last sync:,Última sincronització:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},Última sincronització: {0} | d'acord: {1} | fallat: {2} | omès: {3}
Latest entries for current shift,Últimes entrades per al torn actual
Lead Time,Temps d'execució
Limited,Limitat
lines,línies
List,Llista
Live Snapshot,Instantània en directe
Load a POS profile and cashier first.,Carregueu primer un perfil de TPV i un caixer.
Load More Invoices,Carregueu més factures
Load previously saved invoices,Carregueu les factures desades anteriorment
Load Sale,Venda de càrrega
Load Sales Invoice,Carregueu la factura de venda
Loading app data...,S'estan carregant les dades de l'aplicació...
Loading customer database...,S'està carregant la base de dades de clients...
Loading customers...,S'estan carregant clients...
Loading database stats...,S'estan carregant les estadístiques de la base de dades...
Loading details...,S'estan carregant els detalls...
Loading invoice history...,S'està carregant l'historial de factures...
Loading items...,S'estan carregant elements...
Loading product catalog...,S'està carregant el catàleg de productes...
Loading return invoices...,S'estan carregant les factures de devolució...
Loading server CPU/memory usage...,S'està carregant l'ús de la CPU/memoria del servidor...
Loading suppliers...,Carregant proveïdors...
Loading unpaid invoices...,S'estan carregant factures sense pagar...
Loading view...,S'està carregant la vista...
Loading...,Carregant...
