POS Awesome,POS Sjajno
Active sale,Aktivna prodaja
add,dodati
Add items from the selector to start building this sale.,Dodajte artikle iz izbornika da biste započeli s izradom ove rasprodaje.
Add more value to an existing gift card,Dodajte veću vrijednost postojećoj darovnoj kartici
Add New Address,Dodaj novu adresu
Add new customer,Dodajte novog kupca
Add on New Line,Dodaj u novi redak
Add Payment,Dodaj plaćanje
Add payment to invoice,Dodaj uplatu na fakturu
Add/Edit Coupon Conditions,Dodavanje/uređivanje uvjeta kupona
Additional Discount,Dodatni popust
Additional Discount %,% dodatnog popusta
Address Line 1,1. redak adrese
Address not found,Adresa nije pronađena
Adjust the quantity or enable negative stock to continue.,Prilagodite količinu ili omogućite negativnu zalihu za nastavak.
Adjustment,Prilagodba
After returns,Nakon povratka
Against,Protiv
Against Name,Protiv imena
Age Bracket,Dobna granica
All,sve
All Caught Up!,Sve uhvaćeno!
All invoices are synchronized,Svi računi su sinkronizirani
All pending invoices are up to date,Sve fakture na čekanju su ažurne
All Profiles,Svi profili
All Synchronized,Sve Sinkronizirano
All visible invoices are fully settled.,Sve vidljive fakture su u potpunosti podmirene.
All Warehouses,Sva Skladišta
Allowed UOM is {0},Dopušteni UOM je {0}
Always fetch items from server (ignore local cache),Uvijek dohvati stavke s poslužitelja (ignoriraj lokalnu predmemoriju)
Amount,Iznos
Amount already received,Iznos je već primljen
Amount exceeds profile cash movement max amount.,Iznos premašuje maksimalni iznos kretanja gotovine profila.
Amount must be greater than zero.,Iznos mora biti veći od nule.
Amount received from customer,Iznos primljen od kupca
Appearance and user-level preferences for the current session.,Izgled i postavke na razini korisnika za trenutnu sesiju.
Applied,Primijenjeno
Apply,primijeniti
Apply Gift Card,Primijeni darovnu karticu
Apply Offer,Primijeni ponudu
Apply On,Primijeni na
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Na ovu fakturu nanesite samo iznos koji želite otkupiti. Preostali iznos ostaje na kartici.
Apply Redemption,Primijeni Redemption
Applying,Primjena
Apps,aplikacije
Are you sure you want to close? All entered data will be lost.,Jeste li sigurni da želite zatvoriti? Svi uneseni podaci bit će izgubljeni.
Attributes (Size/Color),Atributi (veličina/boja)
Auto Allocate Payment Amount,Automatski dodijeli iznos plaćanja
Auto Reconcile,Automatsko usklađivanje
Auto reconciliation completed after payment submit.,Automatsko usklađivanje dovršeno nakon podnošenja plaćanja.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Automatsko usklađivanje dovršeno. Dodijeljeno: {0}{1}. Preostalo: {0}{2}.
Available Actions,Dostupne radnje
Available QTY,Dostupno KOL
Available:,Dostupno:
Average Basket,Prosječna košarica
Average Bill,Prosječni račun
Average Ticket,Prosječna ulaznica
Avg Bill,Prosj. račun
Avg Invoice,Prosj. faktura
Avg Invoice Profit,Prosj. fakturirani profit
Avg Invoice Value,Prosječna vrijednost fakture
Avg Purchase Frequency,Prosječna učestalost kupnje
Awesome,super
Awesome Dashboard,Sjajna nadzorna ploča
Awesome Dashboard is disabled for the selected POS Profile.,Awesome Dashboard je onemogućen za odabrani POS profil.
Awesome Dashboard is unavailable for the selected scope.,Awesome nadzorna ploča nije dostupna za odabrani opseg.
Awesome Dashboard is visible only to POS supervisors.,Awesome Dashboard vidljiv je samo nadzornicima POS-a.
Back,natrag
Back Office Cash Account,Račun gotovine u pozadinskom uredu
Back Office Cash Account (Optional Override),Račun gotovine u pozadinskom uredu (izborno nadjačavanje)
Back office cash account is required.,Potreban je gotovinski račun u uredu.
Back to {0},Natrag na {0}
Background processing did not finish in time.,Pozadinska obrada nije završila na vrijeme.
Background processing failed for Invoice {0}: {1},Obrada u pozadini nije uspjela za fakturu {0}: {1}
Background Submission Failed,Podnošenje pozadine nije uspjelo
Background sync interval (seconds),Interval sinkronizacije u pozadini (sekunde)
Balance,Ravnoteža
Balance will be updated when connection is restored,Stanje će se ažurirati kada se veza uspostavi
Balances still pending,Stanja još uvijek na čekanju
Barcode,Crtični kod
Barcode / QR Ready,Barkod / QR spreman
Barcode Label Printing,Ispis naljepnica s crtičnim kodom
Base Paid:,Osnovno plaćeno:
Base Recv:,Osnovni prijem:
Base:,Baza:
Basic Information,Osnovne informacije
Batch,Serija
Batch Information,Podaci o seriji
Before any return workflow,Prije bilo kakvog tijeka povratka
Before returns,Prije povratka
Best Day,Najbolji dan
Best Seller,Najbolji prodavač
Book expense or deposit from active shift.,Knjižite trošak ili depozit iz aktivne smjene.
Branch / Location-wise Report,Izvješće o poslovnici/lokaciji
Brand-wise,Markirano
Breakdown,Kvar
Browse,Browse
Build Time:,Vrijeme izrade:
Built with Frappe,Izgrađen s Frappeom
Bundle,Svežanj
Buying Price,Kupovna cijena
Cache cleared successfully,Predmemorija je uspješno izbrisana
Cache Usage,Upotreba predmemorije
cache used,korištena predmemorija
Calculating...,Izračunavanje...
Camera Access Required,Potreban pristup kameri
Camera access was aborted. Please try again.,Pristup kameri je prekinut. Molimo pokušajte ponovo.
Camera constraints not supported by your device. Trying fallback settings...,Vaš uređaj ne podržava ograničenja kamere. Pokušaj rezervnih postavki...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,Kamera je zauzeta ili ju je blokirala druga aplikacija/kartica. Zatvorite ostale aplikacije kamere i pokušajte ponovno.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,Dopuštenje kamere odbijeno. Omogućite pristup kameri u postavkama preglednika i osvježite stranicu.
Camera scanner is locked until the current error is acknowledged,Skener kamere je zaključan dok se trenutna pogreška ne potvrdi
Camera started but the video stream did not load in time. Please try again.,"Kamera je pokrenuta, ali videostream se nije učitao na vrijeme. Molimo pokušajte ponovo."
Cancel cash movement {0}?,Otkazati prijenos gotovine {0}?
Cancel Payment,Otkaži plaćanje
Cancel Sale,Otkaži prodaju
Cancel Sale ?,Otkazati prodaju?
Cancelled,Otkazano
Cannot add an item with zero or negative quantity.,Nije moguće dodati artikl s nultom ili negativnom količinom.
Cannot clear cache while offline,Nije moguće očistiti predmemoriju dok ste izvan mreže
Cannot redeem customer credit more than invoice total,Nije moguće iskoristiti kredit klijenta veći od ukupnog iznosa fakture
Cannot redeem gift cards more than invoice total,Darovne kartice ne mogu se iskoristiti više od ukupnog iznosa fakture
Cannot Save Offline Invoice:,Nije moguće spremiti izvanmrežnu fakturu:
Cannot Save Offline Payment:,Nije moguće spremiti izvanmrežno plaćanje:
Card,kartica
Card / Online,Kartica / Online
Card health after the last live lookup,Stanje kartice nakon zadnjeg pretraživanja uživo
Cards,karte
Cart,Košarica
Cash,Gotovina
Cash back to customers,Povrat novca kupcima
Cash Collections,Naplate gotovine
Cash Deposit is disabled for this POS Profile.,Gotovinski depozit je onemogućen za ovaj POS profil.
Cash Drawer Snapshot,Snimak ladice s novcem
Cash In Hand,Gotovina u ruci
Cash Movement,Kretanje gotovine
Cash movement cancelled,Prijenos gotovine je otkazan
Cash movement deduction applied,Primijenjen je odbitak kretanja gotovine
Cash movement deleted,Kretanje gotovine izbrisano
Cash movement is disabled for this POS Profile.,Kretanje gotovine je onemogućeno za ovaj POS profil.
Cash Movement is disabled in current POS Profile.,Kretanje gotovine je onemogućeno u trenutnom POS profilu.
Cash movement saved offline,Kretanje gotovine spremljeno izvan mreže
Cash movement submitted,Podneseno kretanje gotovine
Cash Movements,Kretanja gotovine
Cash payment cannot be less than invoice total when partial payment is not allowed,Gotovinsko plaćanje ne može biti manje od ukupnog iznosa računa kada djelomično plaćanje nije dopušteno
Cash returned after payment,Gotovina vraćena nakon uplate
Cashier,blagajnik
Cashier Access,Pristup blagajni
Cashier identity and appearance preferences.,Identitet blagajnika i preferencije izgleda.
Cashier PIN,PIN blagajnika
Cashier PIN saved successfully.,PIN blagajnika uspješno je spremljen.
Cashiers,Blagajnice
Cashier-wise,Blagajnički
Categories,kategorije
Category,Kategorija
Category / Brand / Variant Report,Izvješće o kategoriji / marki / varijanti
Category-wise,Kategorijalno
Category-wise Margin,Margina prema kategoriji
Certificate,Potvrda
Certificate is missing or not trusted. QZ may show confirmation dialogs.,Certifikat nedostaje ili mu se ne vjeruje. QZ može prikazati dijaloške okvire za potvrdu.
Certificate is trusted. Silent QZ printing is active.,Certifikat je pouzdan. Tihi QZ ispis je aktivan.
Change,Promjena
Change allocation repaired,Promjena dodjele popravljena
Change Price,Promjena cijene
Change Return,Promjena Povratak
Change Returned,Promjena vraćena
Change terminal cashier,Promjena blagajne terminala
Charge Heads,Glave punjenja
Charges,Optužbe
Charges not found,Naknade nisu pronađene
Check Balance,Provjerite stanje
Check balance for any card. Supervisors can issue and top up cards here.,Provjerite stanje za bilo koju karticu. Supervizori ovdje mogu izdavati i nadopunjavati kartice.
Check balance only,Provjeri samo stanje
Check for new commits,Provjerite nove obveze
Check for Updates,Provjerite ima li ažuriranja
Check live balance before applying redemption,Provjerite stanje uživo prije primjene otkupa
Check live balance before redemption,Provjerite stanje uživo prije otkupa
Checking...,Provjera...
Cheque/Reference Date,Ček/referentni datum
Cheque/Reference No,Ček/referentni br
Choose the cashier currently operating this terminal.,Odaberite blagajnika koji trenutno upravlja ovim terminalom.
City,Grad
Clear,čisto
Clear All,Obriši sve
Clear all barcode items,Obrišite sve stavke crtičnog koda
Clear all purchase order items,Obrišite sve stavke narudžbenice
Clear Search,Očisti pretragu
Clearing local cache...,Brisanje lokalne predmemorije...
Click to refresh,Kliknite za osvježavanje
Client CPU Lag:,CPU zaostatak klijenta:
Client Memory Usage:,Upotreba memorije klijenta:
Client Metrics,Mjerne vrijednosti klijenta
Close about dialog,Zatvori o dijalogu
Close cashier switcher,Zatvorite izmjenjivač blagajne
Close closing shift dialog,Zatvori dijaloški okvir zatvaranja smjene
Close column selector,Zatvori birač stupaca
Close Dialog,Zatvori dijaloški okvir
Close drafts dialog,Zatvori dijaloški okvir nacrta
Close invoice details dialog,Zatvori dijaloški okvir s detaljima fakture
Close invoice management,Zatvori upravljanje fakturama
Close offline invoices dialog,Zatvori dijaloški okvir izvanmrežnih faktura
Close packing list dialog,Zatvori dijaloški okvir liste pakiranja
Close returns dialog,Zatvori dijalog povrata
Close sales orders dialog,Zatvorite dijaloški okvir prodajnih naloga
Close Scanner,Zatvori skener
Close scanner dialog,Zatvori dijaloški okvir skenera
Close Settings,Zatvori postavke
Closing Amount,Završni iznos
Closing POS Shift,Zatvaranje POS smjene
Closing Snapshot Available,Dostupna snimka zatvaranja
Code,Šifra
Code scanned successfully,Kod je uspješno skeniran
COGS,COGS
Collapse item details,Sažmi detalje stavke
Collected,Prikupljeno
Cols,Cols
Columns,Stupci
commits,obvezuje se
Completed and active sales in this range,Završena i aktivna prodaja u ovom asortimanu
Completed returns will appear here.,Ovdje će se pojaviti dovršeni povrati.
Confirm,Potvrdi
Confirm Close,Potvrdite Zatvori
Confirm Mobile Number,Potvrdite broj mobitela
Confirm PIN,Potvrdite PIN
Connect,Poveži se
Connect printer and manage certificate,Povežite pisač i upravljajte certifikatom
Connecting to QZ Tray...,Spajanje na QZ tray...
Connection problem while submitting invoice,Problem s vezom tijekom slanja računa
Connections:,Veze:
Connectivity and cached prerequisite status were rechecked.,Povezivost i predmemorirani status preduvjeta ponovno su provjereni.
Continue Editing,Nastavi s uređivanjem
Could not fetch latest balance from server,Nije moguće dohvatiti najnoviji saldo s poslužitelja
Count,brojati
Country,Država
Coupon,Kupon
Coupons,Kuponi
Cover,Poklopac
CPU Cores:,CPU jezgre:
Create,Stvorite
Create and load a new prepaid card,Izradite i učitajte novu pretplatnu karticu
Create and preload a new gift card,Izradite i unaprijed učitajte novu darovnu karticu
Create Bill,Stvori Bill
Create Customer,Stvorite kupca
Create New Item,Stvori novu stavku
Create or change your PIN,Izradite ili promijenite svoj PIN
Create PIN,Stvorite PIN
Create POS Opening Shift,Stvorite pomak otvaranja POS-a
Create Purchase Order,Kreirajte narudžbenicu
Create Return,Kreiraj povrat
Create return from invoice,Kreirajte povrat iz fakture
Create Supplier,Stvorite dobavljača
Credit and Output,Zasluge i izlaz
Credit Note,Kreditna nota
Credit Outstanding,Nepodmireni kredit
Credit sales remaining to be collected,Preostale kreditne prodaje za naplatu
Critical,Kritično
Currency,valuta
Current,Trenutni
Current Event Loop Lag:,Kašnjenje trenutne petlje događaja:
Current Month,Trenutni mjesec
Current PIN,Trenutačni PIN
Current Profile,Trenutačni profil
Current redeemable value on the gift card,Trenutna otkupna vrijednost na darovnoj kartici
Current User,Trenutni korisnik
Custom,Custom
Custom Due Days,Prilagođeni dani roka
Custom items per page,Prilagođene stavke po stranici
Customer,Kupac
Customer already selected,Kupac je već odabran
Customer Balance,Stanje kupaca
Customer balance unavailable offline,Saldo korisnika nije dostupan izvan mreže
Customer created successfully.,Korisnik je uspješno kreiran.
Customer creation failed.,Stvaranje klijenta nije uspjelo.
Customer Details,Podaci o kupcu
Customer display channel is missing,Nedostaje kanal za prikaz kupaca
Customer display was blocked. Please allow pop-ups for this site.,Prikaz korisnika je blokiran. Dopustite skočne prozore za ovu stranicu.
Customer group is required,Potrebna je grupa kupaca
Customer is required to add payment,Kupac je dužan dodati plaćanje
Customer Name is required,Potrebno je ime kupca
Customer not selected,Kupac nije odabran
Customer Report,Izvješće kupca
Customer saved offline,Klijent spremljen izvan mreže
Customer Screen,Zaslon kupca
Customer territory is required,Potreban je korisnički teritorij
Customer updated successfully.,Korisnik je uspješno ažuriran.
Customer-facing tools and printer setup.,Alati okrenuti klijentima i postavljanje pisača.
Customers,Kupci
Customers not found,Kupci nisu pronađeni
Daily cashier actions without scrolling.,Dnevne radnje blagajnika bez listanja.
Daily Sales,Dnevna prodaja
Daily Sales Summary,Sažetak dnevne prodaje
Data loaded in form. Review and submit.,Podaci učitani u obrazac. Pregledajte i pošaljite.
Database Health,Zdravlje baze podataka
Database health affects overall system speed and reliability.,Zdravlje baze podataka utječe na ukupnu brzinu i pouzdanost sustava.
Database Info,Informacije o bazi podataka
Date,Datum
Day ?,dan ?
days,dana
Day-wise (MTD),Gledano po danu (MTD)
Day-wise Movement,Kretanje po danu
Dead Stock,Mrtva zaliha
Dead Stock Items,Mrtve zalihe
Decrease quantity,Smanjite količinu
Default,Zadano
Default:,Zadano:
Delete,Izbriši
Delete cancelled cash movement {0}?,Izbrisati otkazano kretanje gotovine {0}?
Delete Draft,Izbriši skicu
Delete draft invoice,Izbriši nacrt fakture
Delete draft invoice {0}?,Izbrisati nacrt fakture {0}?
Delete Invoice,Izbriši fakturu
Delete offline invoice,Izbriši izvanmrežnu fakturu
Delivered,Isporučeno
Delivery Charges,Troškovi dostave
Delivery Information,Informacije o isporuci
Delivery Note {0} created,Dostavnica {0} stvorena
Delivery note created,Izrađena dostavnica
Deployed Bundle:,Raspoređeni paket:
Deposit,Polog
Description,Opis
Detailed Supplier Breakdown,Detaljna analiza dobavljača
Detecting formats:,Prepoznavanje formata:
Device Memory:,Memorija uređaja:
Difference,razlika
Difference (In Company Currency),Razlika (u valuti tvrtke)
Disable offline mode first to recheck live connectivity.,Najprije onemogućite izvanmrežni način rada da ponovno provjerite povezanost uživo.
Disconnect,Prekini vezu
discount,popust
Discount %,% popusta
Discount / Void / Return Report,Izvješće o popustu / poništenju / povratu
Discount Amount,Iznos popusta
Discount limited by POS Profile,Popust ograničen POS profilom
Discounted Invoices,Fakture s popustom
Discounts,Popusti
Dismiss,Odbaciti
Download Certificate,Preuzmi certifikat
Draft,Nacrt
Draft invoice deleted,Nacrt fakture izbrisan
Draft source,Izvor nacrta
Drafts,Nacrti
Due {0},Rok {0}
Due Date,Datum dospijeća
Duplicate,Duplikat
Edit customer,Uredi kupca
Edit discount amount,Uredi iznos popusta
Edit discount percentage,Uredi postotak popusta
Edit Gift Application,Uredi aplikaciju za dar
Edit item name,Uredi naziv artikla
Edit quantity,Uredi količinu
Edit rate,Uredi stopu
Edit unit of measure,Uredi mjernu jedinicu
Edited,Uređeno
Employee,Zaposlenik
Enable background sync,Omogući sinkronizaciju u pozadini
Enable Customer Display in POS Profile first.,Prvo omogućite prikaz kupaca u POS profilu.
Enter a PIN.,Unesite PIN.
Enter a valid grams value,Unesite valjanu vrijednost u gramima
Enter new price list rate,Unesite novu cijenu cjenika
Enter Quantity,Unesite količinu
Enter the cashier PIN to continue.,Unesite PIN blagajnika za nastavak.
Enter the current PIN first.,Prvo unesite trenutni PIN.
"Enter the current PIN, then choose a new one.","Unesite trenutni PIN, a zatim odaberite novi."
Enter valid grams for scale barcode,Unesite važeće grame za crtični kod vage
Entries,Upisi
Error accessing camera:,Pogreška pri pristupu kameri:
Error calculating prices,Pogreška u izračunu cijena
Error fetching customer balance,Pogreška pri dohvaćanju stanja klijenta
Error in change calculations!,Greška u izračunima promjena!
Error Loading Data,Greška prilikom učitavanja podataka
Error loading invoice details,Pogreška pri učitavanju pojedinosti fakture
Error processing invoice,Pogreška u obradi fakture
Error processing payment,Pogreška pri obradi plaćanja
Error searching invoices,Pogreška pri pretraživanju faktura
Error submitting invoice:,Greška pri slanju fakture:
Error submitting invoice: {0},Pogreška pri slanju fakture: {0}
Error submitting invoice: No response from server,Pogreška pri podnošenju računa: nema odgovora s poslužitelja
Error updating currency,Pogreška pri ažuriranju valute
Error updating item details,Pogreška prilikom ažuriranja pojedinosti artikla
Est. Purchase,procjena Kupnja
Est. Value,procjena Vrijednost
Event-loop lag measures how busy your browser is. Lower is better.,Odgoda petlje događaja mjeri koliko je vaš preglednik zauzet. Niže je bolje.
Every,Svaki
Exchange Rate,Tečaj
Expand item details,Proširi pojedinosti stavke
Expected Amount (In Company Currency),Očekivani iznos (u valuti tvrtke)
Expected Cash,Očekivana gotovina
Expected cash on hand grouped by currency,Očekivana gotovina u blagajni grupirana po valuti
Expected vs Actual,Očekivano u odnosu na stvarno
Expense,Trošak
Expense Account (Optional Override),Račun troškova (izborno nadjačavanje)
Expense account is required.,Potreban je račun troškova.
Expenses and deposits posted during this shift,Troškovi i polozi knjiženi tijekom ove smjene
Expired,isteklo
Failed to auto reconcile payments.,Automatsko usklađivanje plaćanja nije uspjelo.
Failed to cancel cash movement,Otkazivanje kretanja gotovine nije uspjelo
Failed to clear cache,Brisanje predmemorije nije uspjelo
Failed to create item,Izrada stavke nije uspjela
Failed to create supplier,Stvaranje dobavljača nije uspjelo
Failed to delete cash movement,Brisanje kretanja gotovine nije uspjelo
Failed to generate scale barcode. Using item barcode only.,Generiranje crtičnog koda vage nije uspjelo. Korištenje samo crtičnog koda artikla.
Failed to load cash movement context.,Učitavanje konteksta kretanja gotovine nije uspjelo.
Failed to load dashboard data.,Učitavanje podataka nadzorne ploče nije uspjelo.
Failed to reload invoice from server,Ponovno učitavanje fakture s poslužitelja nije uspjelo
Failed to submit cash movement,Slanje kretanja gotovine nije uspjelo
Failed to sync offline cash movements,Sinkronizacija izvanmrežnog kretanja gotovine nije uspjela
Fast cashier actions for active shifts.,Brze radnje blagajnika za aktivne smjene.
Fast Moving Items,Brzo pokretni predmeti
Fees,naknade
Fetch the latest offline prerequisite updates,Dohvatite najnovija izvanmrežna preduvjetna ažuriranja
Find a sales order quickly and load it into the current sale.,Brzo pronađite prodajni nalog i učitajte ga u trenutnu prodaju.
Fixing payment amounts for return invoice...,Određivanje iznosa plaćanja za povratnu fakturu...
Flash Off,Bljeskalica isključena
Flash On,Bljeskalica uključena
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","Za stavke 'Paket proizvoda', Skladište, serijski broj i broj serije će se uzeti u obzir iz tablice 'Lista pakiranja'. Ako su skladište i broj serije isti za sve stavke pakiranja za bilo koju stavku 'paketa proizvoda', te se vrijednosti mogu unijeti u glavnu tablicu stavki; vrijednosti će se kopirati u tablicu 'Packing List'."
Free,besplatno
Free Qty,Besplatna količina
Frequency,Učestalost
from,od
From Date,Od datuma
Fulfillment Details,Pojedinosti o ispunjenju
Full Name,Puno ime
Gain,dobitak
Generate a fresh prepaid card and start it with an opening balance.,Generirajte novu prepaid karticu i pokrenite je s početnim stanjem.
Generate and install the certificate to allow fully silent printing without trust prompts.,Generirajte i instalirajte certifikat kako biste omogućili potpuno tihi ispis bez upita o povjerenju.
Generate Certificate,Generiraj certifikat
Generated scale barcode: {0},Generirani bar kod vage: {0}
Get Payments,Primite uplate
Gift Card,Poklon kartica
Gift card amount must be greater than zero.,Iznos darovne kartice mora biti veći od nule.
Gift Card Code,Kod poklon kartice
Gift card code is required for redemption,Kod darovne kartice potreban je za iskorištavanje
Gift card code is required.,Potreban je kod darovne kartice.
Gift card issued successfully.,Poklon kartica je uspješno izdana.
Gift card loaded successfully.,Poklon kartica je uspješno učitana.
Gift Card Management,Upravljanje poklon karticama
Gift card payment,Plaćanje poklon karticom
Gift card redemption requires an online connection,Iskorištavanje darovne kartice zahtijeva internetsku vezu
Gift card topped up successfully.,Poklon kartica je uspješno nadopunjena.
Gift Cards,Poklon kartice
Go to Frappe Desk,Idite na Frappe Desk
Grand Total,Ukupni zbroj
Gross Margin,Bruto marža
Gross Profit,Bruto dobit
Gross Sales,Bruto prodaja
Group not found,Grupa nije pronađena
"Grouped controls for terminal, UI, and session settings.","Grupirane kontrole za postavke terminala, korisničkog sučelja i sesije."
Grouped totals for each payment method and currency,Grupirani ukupni iznosi za svaki način plaćanja i valutu
Hide,Sakrij se
Hide Gift Card,Sakrij darovnu karticu
Hide Non Essential Fields,Sakrij nebitna polja
Hide quantity decimals,Sakrij decimale količine
Hide search tools,Sakrij alate za pretraživanje
Hide zero rated items,Sakrij stavke s nultom ocjenom
High,visoko
History,Povijest
Hourly (Today),Svaki sat (danas)
How this section works,Kako ovaj odjeljak funkcionira
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","Ako zastarjeli podaci ostanu, otvorite Settings > Offline & Sync i ponovno pokrenite Rebuild Offline Data dok ste na mreži."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","Ako se upozorenje nastavi pojavljivati, otvorite Settings > Offline & Sync, zatim pokrenite Refresh Offline Data ili Rebuild Offline Data."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,Uvezite certifikat u QZ Tray i ponovno pokrenite QZ Tray na svakom POS uređaju.
In,u
In stock: {0},Na zalihama: {0}
Include Batch / Serial,Uključi seriju / seriju
Include Price,Uključi cijenu
Increase quantity,Povećajte količinu
IndexedDB,IndexedDB
Initial Amount,Početni iznos
Initialize your shift with opening balances,Inicijalizirajte svoju smjenu početnim stanjem
Initializing application...,Pokretanje aplikacije...
"Inspect cache, sync, and prerequisite status","Pregledajte predmemoriju, sinkronizaciju i status preduvjeta"
Installed Applications,Instalirane aplikacije
Insufficient stock:\n{0},Nedovoljne zalihe:\n{0}
Invalid rate,Nevažeći tečaj
Inventory Status Report,Izvješće o stanju inventara
Invoice,Faktura
Invoice {0} is Submitted,Faktura {0} je poslana
Invoice {0} processed successfully,Faktura {0} uspješno obrađena
Invoice {0} submission failed,Predaja fakture {0} nije uspjela
Invoice {0} was already submitted,Faktura {0} je već poslana
Invoice Adjustments,Korekcije računa
Invoice Change,Promjena fakture
Invoice Details,Podaci o fakturi
Invoice is still in draft after background submission.,Faktura je još uvijek u skici nakon slanja pozadine.
Invoice Items,Stavke fakture
Invoice Management,Upravljanje fakturama
Invoice Mgmt,Upravljanje fakturama
Invoice saved offline,Faktura spremljena izvan mreže
Invoice submission failed,Predaja fakture nije uspjela
Invoice Submitted,Faktura poslana
"Invoice value settled by loyalty points, not cash collection","Vrijednost fakture podmirena bodovima vjernosti, a ne naplatom gotovine"
Invoices,Fakture
Invoices already past due date,Fakture su već istekle
Invoices saved as POS Invoices,Fakture spremljene kao POS fakture
Invoices still carrying balances,Fakture još uvijek sadrže stanje
Issue Mode,Način izdavanja
Issue New Card,Izdajte novu karticu
Issue Workflow,Tijek rada problema
"Issue, top up, and check","Izdaj, dopuni i provjeri"
Item,Stavka
Item / Product Sales Report,Izvješće o prodaji predmeta / proizvoda
Item {0} added to invoice,Stavka {0} dodana na fakturu
Item '{0}' has no barcode,Stavka '{0}' nema crtični kod
Item Code,Šifra artikla
Item created successfully,Stavka je uspješno kreirana
Item is out of stock,Artikala nema na skladištu
Item Name,Naziv artikla
Item not found,Stavka nije pronađena
Item order updated,Redoslijed artikla ažuriran
Item Selector Settings,Postavke birača stavki
Items,Predmeti
Items added in POS will appear here automatically.,Stavke dodane u POS-u automatski će se pojaviti ovdje.
Items added to invoice,Stavke dodane na fakturu
Items per page,Stavki po stranici
Items Sold,Predmeti prodani
Items/Invoice,Stavke/račun
Item-wise Profitability,Profitabilnost po stavkama
Journal Entry,Unos u dnevnik
json,json
Just now,Upravo sada
Keep offline prerequisites healthy and recover stale data safely.,Održavajte izvanmrežne preduvjete zdravim i sigurno oporavite zastarjele podatke.
Labels,Etikete
"Language, theme, terminal tools, and session controls.","Jezik, tema, terminalski alati i kontrole sesije."
Last,Zadnje
Last 14 Days (Paid vs Pending),Posljednjih 14 dana (Plaćeno naspram čekanja)
Last 14 Days Activity,Aktivnost zadnjih 14 dana
Last 14 Days Gross Profit,Zadnjih 14 dana bruto dobiti
Last 14 Days Purchases,Zadnjih 14 dana kupovine
Last 14 Days Tax/Charges,Zadnjih 14 dana porez/troškovi
Last sync:,Zadnja sinkronizacija:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},Zadnja sinkronizacija: {0} | u redu: {1} | neuspješno: {2} | preskočeno: {3}
