POS Awesome,POS すごい
Apps,アプリ
Are you sure you want to close? All entered data will be lost.,閉じてもよろしいですか?入力したデータはすべて失われます。
Attributes (Size/Color),属性(サイズ/色)
Auto Allocate Payment Amount,支払い金額の自動割り当て
Auto Reconcile,自動調整
Auto reconciliation completed after payment submit.,支払い送信後に自動調整が完了しました。
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,自動調整が完了しました。割り当て済み: {0}{1}。残りの未払い: {0}{2}。
Available Actions,利用可能なアクション
Available QTY,利用可能な数量
Available:,利用可能:
Average Basket,平均的なバスケット
Average Bill,平均請求額
Average Ticket,平均的なチケット
Avg Bill,平均請求額
Avg Invoice,平均請求書
Avg Invoice Profit,平均請求書利益
Avg Invoice Value,平均請求額
Avg Purchase Frequency,平均購入頻度
Awesome,すごい
Awesome Dashboard,素晴らしいダッシュボード
Awesome Dashboard is disabled for the selected POS Profile.,選択した POS プロファイルでは、Awesome Dashboard が無効になっています。
Awesome Dashboard is unavailable for the selected scope.,Awesome Dashboard は、選択したスコープでは使用できません。
Awesome Dashboard is visible only to POS supervisors.,Awesome Dashboard は POS スーパーバイザーのみに表示されます。
Back,戻る
Back Office Cash Account,バックオフィス現金口座
Back Office Cash Account (Optional Override),バックオフィス現金口座 (オプションの上書き)
Back office cash account is required.,バックオフィスの現金口座が必要です。
Back to {0},{0} に戻る
Background processing did not finish in time.,バックグラウンド処理が時間内に終了しませんでした。
Background processing failed for Invoice {0}: {1},請求書 {0} のバックグラウンド処理が失敗しました: {1}
Background Submission Failed,バックグラウンド送信に失敗しました
Background sync interval (seconds),バックグラウンド同期間隔 (秒)
Balance,バランス
Balance will be updated when connection is restored,接続が回復すると残高が更新されます
Balances still pending,残高はまだ保留中です
Barcode,バーコード
Barcode / QR Ready,バーコード/QR対応
Barcode Label Printing,バーコードラベル印刷
Base Paid:,基本支払い:
Base Recv:,基本受信:
Base:,ベース:
Basic Information,基本情報
Batch,バッチ
Batch Information,バッチ情報
Before any return workflow,返品ワークフローの前に
Before returns,返品前に
Best Day,最高の一日
Best Seller,ベストセラー
Book expense or deposit from active shift.,アクティブなシフトから経費または保証金を予約します。
Branch / Location-wise Report,支店・所在地別レポート
Brand-wise,ブランド的に
Breakdown,内訳
Browse,閲覧する
Build Time:,ビルド時間:
Built with Frappe,フラッペで作りました
Bundle,バンドル
Buying Price,購入価格
Cache cleared successfully,キャッシュが正常にクリアされました
Cache Usage,キャッシュの使用量
cache used,使用されたキャッシュ
Calculating...,計算中...
Camera Access Required,カメラへのアクセスが必要です
Camera access was aborted. Please try again.,カメラへのアクセスが中止されました。もう一度試してください。
Camera constraints not supported by your device. Trying fallback settings...,カメラの制約がデバイスでサポートされていません。フォールバック設定を試行しています...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,カメラがビジー状態であるか、別のアプリ/タブによってブロックされています。他のカメラ アプリを閉じて、もう一度試してください。
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,カメラの許可が拒否されました。ブラウザの設定でカメラへのアクセスを許可し、ページを更新してください。
Camera scanner is locked until the current error is acknowledged,現在のエラーが確認されるまで、カメラ スキャナはロックされます
Camera started but the video stream did not load in time. Please try again.,カメラは起動しましたが、ビデオ ストリームが時間内に読み込まれませんでした。もう一度試してください。
Cancel cash movement {0}?,現金の移動 {0} をキャンセルしますか?
Cancel Payment,支払いのキャンセル
Cancel Sale,セールのキャンセル
Cancel Sale ?,販売をキャンセルしますか?
Cancelled,キャンセルされました
Cannot add an item with zero or negative quantity.,数量がゼロまたはマイナスの品目を追加することはできません。
Cannot clear cache while offline,オフラインではキャッシュをクリアできません
Cannot redeem customer credit more than invoice total,請求額合計を超える顧客クレジットを引き換えることはできません
Cannot redeem gift cards more than invoice total,請求額の合計を超えるギフト カードを引き換えることはできません
Cannot Save Offline Invoice:,オフライン請求書を保存できません:
Cannot Save Offline Payment:,オフライン支払いを保存できません:
Card,カード
Card / Online,カード / オンライン
Card health after the last live lookup,最後のライブルックアップ後のカードの状態
Cards,カード
Cart,カート
Cash,現金
Cash back to customers,顧客へのキャッシュバック
Cash Collections,現金回収
Cash Deposit is disabled for this POS Profile.,この POS プロファイルでは現金デポジットが無効になっています。
Cash Drawer Snapshot,キャッシュ ドロワーのスナップショット
Cash In Hand,手持ちの現金
Cash Movement,現金の動き
Cash movement cancelled,現金の移動がキャンセルされました
Cash movement deduction applied,現金移動控除の適用
Cash movement deleted,現金の移動が削除されました
Cash movement is disabled for this POS Profile.,この POS プロファイルでは現金の移動が無効になっています。
Cash Movement is disabled in current POS Profile.,現在の POS プロファイルでは現金移動が無効になっています。
Cash movement saved offline,現金の移動をオフラインで保存
Cash movement submitted,現金の移動が送信されました
Cash Movements,現金の動き
Cash payment cannot be less than invoice total when partial payment is not allowed,部分的な支払いが許可されていない場合、現金での支払いは請求書の合計額を下回ることはできません
Cash returned after payment,支払い後に現金が戻ってくる
Cashier,レジ係
Cashier Access,レジへのアクセス
Cashier identity and appearance preferences.,レジ係のアイデンティティと外観の好み。
Cashier PIN,レジ暗証番号
Cashier PIN saved successfully.,キャッシャー PIN が正常に保存されました。
Cashiers,レジ係
Cashier-wise,レジ係について
Categories,カテゴリー
Category,カテゴリ
Category / Brand / Variant Report,カテゴリー/ブランド/バリエーションレポート
Category-wise,カテゴリ別
Category-wise Margin,カテゴリ別マージン
Certificate,証明書
Certificate is missing or not trusted. QZ may show confirmation dialogs.,証明書が見つからないか、信頼されていません。 QZ では確認ダイアログが表示される場合があります。
Certificate is trusted. Silent QZ printing is active.,証明書は信頼されています。サイレント QZ 印刷がアクティブです。
Change,変更
Change allocation repaired,変更割り当てが修復されました
Change Price,価格の変更
Change Return,変更 返品
Change Returned,返却された釣銭
Change terminal cashier,端末レジの変更
Charge Heads,チャージヘッド
Charges,料金
Charges not found,料金が見つかりません
Check Balance,残高を確認する
Check balance for any card. Supervisors can issue and top up cards here.,カードの残高を確認します。スーパーバイザーはここでカードを発行したり補充したりできます。
Check balance only,残高確認のみ
Check for new commits,新しいコミットを確認する
Check for Updates,アップデートをチェックする
Check live balance before applying redemption,引き換えを適用する前にライブ残高を確認してください
Check live balance before redemption,引き換え前にライブ残高を確認する
Checking...,確認中...
Cheque/Reference Date,小切手/参照日
Cheque/Reference No,小切手/参照番号
Choose the cashier currently operating this terminal.,現在この端末を操作しているレジ担当者を選択してください。
City,都市
Clear,クリア
Clear All,すべてクリア
Clear all barcode items,すべてのバーコード項目をクリアします
Clear all purchase order items,すべての発注書アイテムをクリアします
Clear Search,検索をクリア
Clearing local cache...,ローカルキャッシュをクリアしています...
Click to refresh,クリックして更新
Client CPU Lag:,クライアントの CPU ラグ:
Client Memory Usage:,クライアントのメモリ使用量:
Client Metrics,クライアントメトリクス
Close about dialog,「バージョン情報」ダイアログを閉じる
Close cashier switcher,レジスイッチャーを閉じる
Close closing shift dialog,シフトダイアログを閉じる
Close column selector,列セレクターを閉じる
Close Dialog,ダイアログを閉じる
Close drafts dialog,下書きダイアログを閉じる
Close invoice details dialog,請求書の詳細ダイアログを閉じる
Close invoice management,請求書管理を閉じる
Close offline invoices dialog,オフライン請求書ダイアログを閉じる
Close packing list dialog,パッキングリストダイアログを閉じる
Close returns dialog,返品ダイアログを閉じる
Close sales orders dialog,販売注文ダイアログを閉じる
Close Scanner,スキャナーを閉じる
Close scanner dialog,スキャナダイアログを閉じる
Close Settings,設定を閉じる
Closing Amount,クロージング金額
Closing POS Shift,POSシフト終了
Closing Snapshot Available,終了スナップショットが利用可能です
Code,コード
Code scanned successfully,コードは正常にスキャンされました
COGS,歯車
Collapse item details,アイテムの詳細を折りたたむ
Collected,集めた
Cols,コル
Columns,コラム
commits,コミットする
Completed and active sales in this range,この範囲での販売が完了し、現在進行中である
Completed returns will appear here.,完了した返品がここに表示されます。
Confirm,確認する
Confirm Close,閉じるの確認
Confirm Mobile Number,携帯電話番号の確認
Confirm PIN,PINの確認
Connect,接続する
Connect printer and manage certificate,プリンターの接続と証明書の管理
Connecting to QZ Tray...,QZトレイに接続しています...
Connection problem while submitting invoice,請求書の送信中に接続の問題が発生しました
Connections:,接続:
Connectivity and cached prerequisite status were rechecked.,接続とキャッシュされた前提条件ステータスが再チェックされました。
Continue Editing,編集を続ける
Could not fetch latest balance from server,サーバーから最新の残高を取得できませんでした
Count,数を数える
Country,国
Coupon,クーポン
Coupons,クーポン
Cover,カバー
CPU Cores:,CPUコア:
Create,作成
Create and load a new prepaid card,新しいプリペイド カードを作成してロードする
Create and preload a new gift card,新しいギフトカードを作成してプリロードする
Create Bill,請求書の作成
Create Customer,顧客の作成
Create New Item,新しいアイテムの作成
Create or change your PIN,PIN を作成または変更する
Create PIN,PINの作成
Create POS Opening Shift,POS 開始シフトの作成
Create Purchase Order,注文書の作成
Create Return,返品の作成
Create return from invoice,請求書から返品を作成する
Create Supplier,サプライヤーの作成
Credit and Output,クレジットと成果
Credit Note,クレジットノート
Credit Outstanding,信用残高
Credit sales remaining to be collected,クレジット売上の回収が残っている
Critical,クリティカル
Currency,通貨
Current,現在
Current Event Loop Lag:,現在のイベントのループ ラグ:
Current Month,当月
Current PIN,現在のPIN
Current Profile,現在のプロフィール
Current redeemable value on the gift card,ギフトカードの現在の引き換え可能額
Current User,現在のユーザー
Custom,カスタム
Custom Due Days,カスタム期限日
Custom items per page,ページごとのカスタム項目
Customer,お客様
Customer already selected,お客様はすでに選択されています
Customer Balance,顧客残高
Customer balance unavailable offline,顧客残高はオフラインでは利用できません
Customer created successfully.,お客様が正常に作成されました。
Customer creation failed.,顧客の作成に失敗しました。
Customer Details,顧客の詳細
Customer display channel is missing,顧客表示チャネルがありません
Customer display was blocked. Please allow pop-ups for this site.,カスタマーディスプレイがブロックされました。このサイトのポップアップを許可してください。
Customer group is required,顧客グループは必須です
Customer is required to add payment,お客様は支払いを追加する必要があります
Customer Name is required,顧客名は必須です
Customer not selected,顧客が選択されていません
Customer Report,顧客レポート
Customer saved offline,顧客はオフラインで保存されました
Customer Screen,顧客画面
Customer territory is required,顧客の地域は必須です
Customer updated successfully.,お客様は正常に更新しました。
Customer-facing tools and printer setup.,顧客対応ツールとプリンターのセットアップ。
Customers,お客様
Customers not found,顧客が見つかりません
Daily cashier actions without scrolling.,スクロールせずに毎日のレジ操作を実行できます。
Daily Sales,日販
Daily Sales Summary,毎日の売上概要
Data loaded in form. Review and submit.,フォームにロードされたデータ。確認して送信します。
Database Health,データベースの健全性
Database health affects overall system speed and reliability.,データベースの健全性は、システム全体の速度と信頼性に影響します。
Database Info,データベース情報
Date,日付
Day ?,日?
days,日
Day-wise (MTD),日単位 (MTD)
Day-wise Movement,一日の動き
Dead Stock,デッドストック
Dead Stock Items,デッドストック品
Decrease quantity,数量を減らす
Default,デフォルト
Default:,デフォルト:
Delete,削除
Delete cancelled cash movement {0}?,キャンセルされた現金移動 {0} を削除しますか?
Delete Draft,下書きの削除
Delete draft invoice,請求書草案を削除する
Delete draft invoice {0}?,下書き請求書 {0} を削除しますか?
Delete Invoice,請求書の削除
Delete offline invoice,オフライン請求書を削除する
Delivered,納品済み
Delivery Charges,配送料
Delivery Information,配送情報
Delivery Note {0} created,納品書 {0} が作成されました
Delivery note created,納品書を作成しました
Deployed Bundle:,導入されたバンドル:
Deposit,デポジット
Description,説明
Detailed Supplier Breakdown,サプライヤーの詳細な内訳
Detecting formats:,フォーマットの検出:
Device Memory:,デバイスメモリ:
Difference,違い
Difference (In Company Currency),差額（会社通貨）
Disable offline mode first to recheck live connectivity.,まずオフライン モードを無効にして、ライブ接続を再確認します。
Disconnect,切断する
discount,割引
Discount %,割引率
Discount / Void / Return Report,割引/無効/返品レポート
Discount Amount,割引額
Discount limited by POS Profile,POS プロファイルによって割引が制限される
Discounted Invoices,割引された請求書
Discounts,割引
Dismiss,解雇する
Download Certificate,証明書のダウンロード
Draft,草案
Draft invoice deleted,請求書草案が削除されました
Draft source,草案のソース
Drafts,下書き
Due {0},期限: {0}
Due Date,期限
Duplicate,重複
Edit customer,顧客の編集
Edit discount amount,割引額を編集する
Edit discount percentage,割引率を編集する
Edit Gift Application,ギフト申請の編集
Edit item name,項目名を編集する
Edit quantity,数量を編集する
Edit rate,編集速度
Edit unit of measure,測定単位の編集
Edited,編集済み
Employee,従業員
Enable background sync,バックグラウンド同期を有効にする
Enable Customer Display in POS Profile first.,最初に POS プロファイルでカスタマー ディスプレイを有効にします。
Enter a PIN.,PIN を入力します。
Enter a valid grams value,有効なグラム値を入力してください
Enter new price list rate,新しい価格表レートを入力してください
Enter Quantity,数量を入力してください
Enter the cashier PIN to continue.,続行するには、レジの暗証番号を入力してください。
Enter the current PIN first.,最初に現在の PIN を入力します。
"Enter the current PIN, then choose a new one.",現在の PIN を入力し、新しい PIN を選択します。
Enter valid grams for scale barcode,スケールバーコードに有効なグラムを入力してください
Entries,エントリー
Error accessing camera:,カメラへのアクセス中にエラーが発生しました:
Error calculating prices,価格計算エラー
Error fetching customer balance,顧客残高の取得エラー
Error in change calculations!,お釣りの計算に誤りがあります!
Error Loading Data,データのロード中にエラーが発生しました
Error loading invoice details,請求書の詳細のロード中にエラーが発生しました
Error processing invoice,請求書の処理中にエラーが発生しました
Error processing payment,支払い処理中にエラーが発生しました
Error searching invoices,請求書の検索エラー
Error submitting invoice:,請求書の送信エラー:
Error submitting invoice: {0},請求書の送信エラー: {0}
Error submitting invoice: No response from server,請求書の送信エラー: サーバーからの応答がありません
Error updating currency,通貨の更新エラー
Error updating item details,アイテム詳細の更新中にエラーが発生しました
Est. Purchase,推定購入する
Est. Value,推定値
Event-loop lag measures how busy your browser is. Lower is better.,イベント ループ ラグは、ブラウザーのビジー度を測定します。低いほど良いです。
Every,毎
Exchange Rate,為替レート
Expand item details,アイテムの詳細を展開する
Expected Amount (In Company Currency),予想金額（当社通貨）
Expected Cash,期待される現金
Expected cash on hand grouped by currency,通貨ごとにグループ化された予想手元資金
Expected vs Actual,予想と実際
Expense,経費
Expense Account (Optional Override),経費勘定 (オプションの上書き)
Expense account is required.,経費勘定は必須です。
Expenses and deposits posted during this shift,このシフト中に転記された経費と保証金
Expired,期限切れ
Failed to auto reconcile payments.,支払いの自動調整に失敗しました。
Failed to cancel cash movement,現金移動のキャンセルに失敗しました
Failed to clear cache,キャッシュのクリアに失敗しました
Failed to create item,アイテムの作成に失敗しました
Failed to create supplier,サプライヤーの作成に失敗しました
Failed to delete cash movement,現金移動の削除に失敗しました
Failed to generate scale barcode. Using item barcode only.,スケールバーコードの生成に失敗しました。商品バーコードのみを使用します。
Failed to load cash movement context.,現金移動コンテキストのロードに失敗しました。
Failed to load dashboard data.,ダッシュボードデータの読み込みに失敗しました。
Failed to reload invoice from server,サーバーから請求書をリロードできませんでした
Failed to submit cash movement,現金移動の送信に失敗しました
Failed to sync offline cash movements,オフラインの現金移動の同期に失敗しました
Fast cashier actions for active shifts.,アクティブなシフトのための素早いレジ操作。
Fast Moving Items,動きの速いアイテム
Fees,料金
Fetch the latest offline prerequisite updates,最新のオフライン前提条件更新を取得する
Find a sales order quickly and load it into the current sale.,販売注文をすばやく見つけて、現在の販売にロードします。
Fixing payment amounts for return invoice...,返品請求書の支払い金額を修正しています...
Flash Off,フラッシュオフ
Flash On,フラッシュオン
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.",「製品バンドル」アイテムの場合、倉庫、シリアル番号、バッチ番号は「梱包リスト」テーブルから考慮されます。 「製品バンドル」品目のすべての梱包品目で倉庫番号とバッチ番号が同じ場合、それらの値をメインの品目テーブルに入力できます。値は「梱包リスト」テーブルにコピーされます。
Free,無料
Free Qty,無料数量
Frequency,周波数
from,から
From Date,開始日
Fulfillment Details,フルフィルメントの詳細
Full Name,フルネーム
Gain,ゲイン
Generate a fresh prepaid card and start it with an opening balance.,新しいプリペイド カードを生成し、開始残高で開始します。
Generate and install the certificate to allow fully silent printing without trust prompts.,証明書を生成してインストールすると、信頼プロンプトなしで完全にサイレント印刷が可能になります。
Generate Certificate,証明書の生成
Generated scale barcode: {0},生成されたスケール バーコード: {0}
Get Payments,支払いを受ける
Gift Card,ギフトカード
Gift card amount must be greater than zero.,ギフトカードの金額はゼロより大きくなければなりません。
Gift Card Code,ギフトカードコード
Gift card code is required for redemption,引き換えにはギフトカード コードが必要です
Gift card code is required.,ギフトカードコードが必要です。
Gift card issued successfully.,ギフトカードが正常に発行されました。
Gift card loaded successfully.,ギフトカードが正常にロードされました。
Gift Card Management,ギフトカード管理
Gift card payment,ギフトカードでのお支払い
Gift card redemption requires an online connection,ギフトカードの引き換えにはオンライン接続が必要です
Gift card topped up successfully.,ギフトカードに正常にチャージされました。
Gift Cards,ギフトカード
Go to Frappe Desk,フラッペデスクへ行く
Grand Total,総計
Gross Margin,粗利
Gross Profit,売上総利益
Gross Sales,総売上高
Group not found,グループが見つかりません
"Grouped controls for terminal, UI, and session settings.",ターミナル、UI、セッション設定のグループ化されたコントロール。
Grouped totals for each payment method and currency,支払い方法および通貨ごとにグループ化された合計
Hide,隠す
Hide Gift Card,ギフトカードを隠す
Hide Non Essential Fields,必須でないフィールドを非表示にする
Hide quantity decimals,数量の小数点を非表示にする
Hide search tools,検索ツールを非表示にする
Hide zero rated items,評価ゼロのアイテムを非表示にする
High,高
History,歴史
Hourly (Today),毎時（今日）
How this section works,このセクションの仕組み
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.",古いデータが残っている場合は、[設定] > [オフラインと同期] を開き、オンライン中に [オフライン データの再構築] を再度実行します。
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.",警告が続く場合は、[設定] > [オフラインと同期] を開き、[オフライン データの更新] または [オフライン データの再構築] を実行します。
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,証明書を QZ トレイにインポートし、各 POS マシンで QZ トレイを再起動します。
In,で
In stock: {0},在庫: {0}
Include Batch / Serial,バッチ/シリアルを含む
Include Price,価格を含む
Increase quantity,数量を増やす
IndexedDB,インデックス付きDB
Initial Amount,初期金額
Initialize your shift with opening balances,期首残高を使用してシフトを初期化します
Initializing application...,アプリケーションを初期化しています...
"Inspect cache, sync, and prerequisite status",キャッシュ、同期、前提条件のステータスを検査する
Installed Applications,インストールされているアプリケーション
Insufficient stock:\n{0},在庫が不足しています:\n{0}
Invalid rate,無効なレート
Inventory Status Report,在庫状況レポート
Invoice,請求書
Invoice {0} is Submitted,請求書 {0} が送信されました
Invoice {0} processed successfully,請求書 {0} は正常に処理されました
Invoice {0} submission failed,請求書 {0} の送信に失敗しました
Invoice {0} was already submitted,請求書 {0} はすでに送信されています
Invoice Adjustments,請求書の調整
Invoice Change,請求書の変更
Invoice Details,請求書の詳細
Invoice is still in draft after background submission.,バックグラウンドで送信された後も、請求書はまだ下書きのままです。
Invoice Items,請求書項目
Invoice Management,請求書管理
Invoice Mgmt,請求書管理
Invoice saved offline,請求書はオフラインで保存されました
Invoice submission failed,請求書の提出に失敗しました
Invoice Submitted,請求書が提出されました
"Invoice value settled by loyalty points, not cash collection",請求額は現金徴収ではなくロイヤルティ ポイントによって決済されます
Invoices,請求書
Invoices already past due date,すでに期限を過ぎた請求書
Invoices saved as POS Invoices,POS 請求書として保存された請求書
Invoices still carrying balances,請求書に残高が残っている
Issue Mode,発行モード
Issue New Card,新しいカードを発行する
Issue Workflow,発行ワークフロー
"Issue, top up, and check",発行・チャージ・チェック
Item,アイテム
Item / Product Sales Report,アイテム・商品販売レポート
Item {0} added to invoice,アイテム {0} が請求書に追加されました
Item '{0}' has no barcode,アイテム「{0}」にはバーコードがありません
Item Code,アイテムコード
Item created successfully,アイテムが正常に作成されました
Item is out of stock,商品が在庫切れです
Item Name,項目名
Item not found,アイテムが見つかりません
Item order updated,アイテムの注文が更新されました
Item Selector Settings,項目セレクターの設定
Items,アイテム
Items added in POS will appear here automatically.,POS に追加されたアイテムはここに自動的に表示されます。
Items added to invoice,請求書に項目が追加されました
Items per page,ページごとの項目
Items Sold,販売アイテム
Items/Invoice,商品・請求書
Item-wise Profitability,品目別収益性
Journal Entry,仕訳帳
json,json
Just now,たった今
Keep offline prerequisites healthy and recover stale data safely.,オフラインの前提条件を健全な状態に保ち、古いデータを安全に復元します。
Labels,ラベル
"Language, theme, terminal tools, and session controls.",言語、テーマ、ターミナル ツール、およびセッション コントロール。
Last,最後
Last 14 Days (Paid vs Pending),過去 14 日間 (支払い済み vs 保留中)
Last 14 Days Activity,過去 14 日間のアクティビティ
Last 14 Days Gross Profit,過去 14 日間の総利益
Last 14 Days Purchases,過去 14 日間の購入
Last 14 Days Tax/Charges,過去 14 日間の税金/料金
Last sync:,最終同期:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},最終同期: {0} |わかりました: {1} |失敗しました: {2} |スキップされました: {3}
Latest entries for current shift,現在のシフトの最新エントリ
Lead Time,リードタイム
Limited,限定
lines,行
List,リスト
Live Snapshot,ライブスナップショット
Load a POS profile and cashier first.,最初に POS プロファイルとレジ係をロードします。
Load More Invoices,さらに請求書をロードする
Load previously saved invoices,以前に保存した請求書をロードする
Load Sale,ロードセール
Load Sales Invoice,売上請求書のロード
Loading app data...,アプリデータを読み込んでいます...
Loading customer database...,顧客データベースをロードしています...
Loading customers...,顧客を読み込んでいます...
Loading database stats...,データベース統計をロードしています...
Loading details...,詳細を読み込んでいます...
Loading invoice history...,請求書履歴を読み込んでいます...
Loading items...,アイテムを読み込んでいます...
Loading product catalog...,製品カタログを読み込んでいます...
Loading return invoices...,返品請求書を読み込んでいます...
Loading server CPU/memory usage...,サーバーの CPU/メモリ使用量を読み込んでいます...
Loading suppliers...,サプライヤーを読み込み中...
Loading unpaid invoices...,未払いの請求書を読み込んでいます...
Loading view...,ビューを読み込み中...
Loading...,読み込み中...
Local storage is unavailable. Switching to online-only mode.,ローカル ストレージが使用できません。オンライン専用モードに切り替えます。
localStorage,ローカルストレージ
Location Performance,ロケーションパフォーマンス
Locations,所在地
Lock Screen,ロック画面
Lookup Workflow,ルックアップのワークフロー
Loss,損失
Low,低い
Low Stock,在庫僅少
Low Stock Alerts,在庫不足アラート
Low Stock Items,在庫が少ない商品
Low Stock Threshold,低在庫閾値
Low Stock Total,在庫合計が少ない
Lowest Margin,最低マージン
Low-frequency maintenance and system details.,低頻度のメンテナンスとシステムの詳細。
Loyalty Redeemed,ロイヤルティが償還されました
Loyalty Redemption,ロイヤリティの償還
Make New Payment,新たな支払いを行う
Manage all,すべてを管理する
Manage and synchronize your offline transactions,オフライントランザクションの管理と同期
Manage Cashier PIN,レジ暗証番号の管理
"Manage offline tools, terminal controls, and maintenance from one workspace.",オフライン ツール、端末制御、メンテナンスを 1 つのワークスペースから管理します。
manual,マニュアル
"Manual codes, barcode scans, and QR scans work in the same field",手動コード、バーコード スキャン、QR スキャンが同じフィールドで機能します
Manual offline mode is enabled,手動オフラインモードが有効になっています
Margin,マージン
Maximum available quantity is {0}. Quantity adjusted to match stock.,最大利用可能数量は {0} です。在庫に合わせて数量を調整します。
Maximum discount amount for this offer item is {0}.,この特典アイテムの最大割引額は {0} です。
Maximum discount percentage for this offer item is {0}%.,この特典アイテムの最大割引率は {0}% です。
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,オファーの最大数量は {0} です。数量が許容限度に調整されました。
Medium,中
Method-wise Collections,メソッドごとのコレクション
Minimum allowed rate for this offer item is {0}.,このオファー項目の最小許容レートは {0} です。
Minimum Qty,最小数量
Mobile No,携帯番号
Mode,モード
Mode of Payment,支払い方法
Month,月
Month ?,月？
Monthly Profit,月次利益
Monthly Sales,月次売上高
Monthly Sales Summary,月次売上概要
Month-wise,月ごと
Most Active Cashiers,最もアクティブなレジ係
Movement Type,移動タイプ
Movements,動き
Multi Currency,多通貨
N/A,該当なし
Name,名前
