POS Awesome,POS ಅದ್ಭುತವಾಗಿದೆ
Choose your preferred language for the POS interface,POS ಇಂಟರ್ಫೇಸ್‌ಗಾಗಿ ನಿಮ್ಮ ಆದ್ಯತೆಯ ಭಾಷೆಯನ್ನು ಆರಿಸಿ
Language will be changed to,ಗೆ ಭಾಷೆಯನ್ನು ಬದಲಾಯಿಸಲಾಗುವುದು
Cancel,ರದ್ದುಮಾಡಿ
Change Language,ಭಾಷೆಯನ್ನು ಬದಲಾಯಿಸಿ
Close,ಮುಚ್ಚಿ
Cannot change language - same language selected,ಭಾಷೆಯನ್ನು ಬದಲಾಯಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ - ಅದೇ ಭಾಷೆಯನ್ನು ಆಯ್ಕೆಮಾಡಲಾಗಿದೆ
Language changed successfully! Reloading...,ಭಾಷೆಯನ್ನು ಯಶಸ್ವಿಯಾಗಿ ಬದಲಾಯಿಸಲಾಗಿದೆ! ಮರುಲೋಡ್ ಮಾಡಲಾಗುತ್ತಿದೆ...
Failed to change language,ಭಾಷೆಯನ್ನು ಬದಲಾಯಿಸಲು ವಿಫಲವಾಗಿದೆ
Unknown error,ಅಜ್ಞಾತ ದೋಷ
- Total Unallocated,- ಒಟ್ಟು ಹಂಚಿಕೆ ಮಾಡಲಾಗಿಲ್ಲ
* Required,* ಅಗತ್ಯವಿದೆ
{0} (Qty: {1}),{0} (ಪ್ರಮಾಣ: {1})
{0} actions,{0} ಕ್ರಿಯೆಗಳು
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} ಕೇವಲ {1} ಸ್ಟಾಕ್‌ನಲ್ಲಿದೆ. ನೀವು {2} ಅನ್ನು ವಿನಂತಿಸಿದ್ದೀರಿ. ಪ್ರಮಾಣವನ್ನು ಸರಿಹೊಂದಿಸಿ ಅಥವಾ ಮರುಸ್ಥಾಪಿಸಿ.
{0} offline invoice{1} pending,{0} ಆಫ್‌ಲೈನ್ ಇನ್‌ವಾಯ್ಸ್{1} ಬಾಕಿ ಉಳಿದಿದೆ
{0} offline invoice{1} saved as draft,{0} ಆಫ್‌ಲೈನ್ ಇನ್‌ವಾಯ್ಸ್{1} ಡ್ರಾಫ್ಟ್ ಆಗಿ ಉಳಿಸಲಾಗಿದೆ
{0} offline invoice{1} synced,{0} ಆಫ್‌ಲೈನ್ ಇನ್‌ವಾಯ್ಸ್{1} ಸಿಂಕ್ ಮಾಡಲಾಗಿದೆ
{0}: {1} {2},{0}: {1} {2}
{0}d ago,{0}ದಿ ಹಿಂದೆ
{0}h ago,{0}ಗಂ ಹಿಂದೆ
{0}m ago,{0}ನಿ ಹಿಂದೆ
A POS supervisor is required for this action.,ಈ ಕ್ರಿಯೆಗೆ POS ಮೇಲ್ವಿಚಾರಕರ ಅಗತ್ಯವಿದೆ.
Access,ಪ್ರವೇಶ
Account,ಖಾತೆ
Account is overdrawn,ಖಾತೆಯನ್ನು ಓವರ್‌ಡ್ರಾ ಮಾಡಲಾಗಿದೆ
Acknowledge the error to resume scanning,ಸ್ಕ್ಯಾನಿಂಗ್ ಅನ್ನು ಪುನರಾರಂಭಿಸಲು ದೋಷವನ್ನು ಒಪ್ಪಿಕೊಳ್ಳಿ
Acknowledge the error to resume scanning.,ಸ್ಕ್ಯಾನಿಂಗ್ ಅನ್ನು ಪುನರಾರಂಭಿಸಲು ದೋಷವನ್ನು ಒಪ್ಪಿಕೊಳ್ಳಿ.
Across,ಅಡ್ಡಲಾಗಿ
Action,ಕ್ರಿಯೆ
Active sale,ಸಕ್ರಿಯ ಮಾರಾಟ
add,ಸೇರಿಸಿ
Add items from the selector to start building this sale.,ಈ ಮಾರಾಟವನ್ನು ನಿರ್ಮಿಸಲು ಪ್ರಾರಂಭಿಸಲು ಆಯ್ಕೆಯಿಂದ ಐಟಂಗಳನ್ನು ಸೇರಿಸಿ.
Add more value to an existing gift card,ಅಸ್ತಿತ್ವದಲ್ಲಿರುವ ಉಡುಗೊರೆ ಕಾರ್ಡ್‌ಗೆ ಹೆಚ್ಚಿನ ಮೌಲ್ಯವನ್ನು ಸೇರಿಸಿ
Add New Address,ಹೊಸ ವಿಳಾಸವನ್ನು ಸೇರಿಸಿ
Add new customer,ಹೊಸ ಗ್ರಾಹಕರನ್ನು ಸೇರಿಸಿ
Add on New Line,ಹೊಸ ಸಾಲಿನಲ್ಲಿ ಸೇರಿಸಿ
Add Payment,ಪಾವತಿಯನ್ನು ಸೇರಿಸಿ
Add payment to invoice,ಇನ್ವಾಯ್ಸ್ಗೆ ಪಾವತಿಯನ್ನು ಸೇರಿಸಿ
Add/Edit Coupon Conditions,ಕೂಪನ್ ಷರತ್ತುಗಳನ್ನು ಸೇರಿಸಿ/ಸಂಪಾದಿಸಿ
Additional Discount,ಹೆಚ್ಚುವರಿ ರಿಯಾಯಿತಿ
Additional Discount %,ಹೆಚ್ಚುವರಿ ರಿಯಾಯಿತಿ %
Address Line 1,ವಿಳಾಸ ಸಾಲು 1
Address not found,ವಿಳಾಸ ಕಂಡುಬಂದಿಲ್ಲ
Adjust the quantity or enable negative stock to continue.,ಪ್ರಮಾಣವನ್ನು ಸರಿಹೊಂದಿಸಿ ಅಥವಾ ಮುಂದುವರೆಯಲು ಋಣಾತ್ಮಕ ಸ್ಟಾಕ್ ಅನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ.
Adjustment,ಹೊಂದಾಣಿಕೆ
After returns,ಹಿಂದಿರುಗಿದ ನಂತರ
Against,ವಿರುದ್ಧ
Against Name,ಹೆಸರಿನ ವಿರುದ್ಧ
Age Bracket,ವಯಸ್ಸಿನ ಬ್ರಾಕೆಟ್
All,ಎಲ್ಲಾ
All Caught Up!,ಎಲ್ಲಾ ಸಿಕ್ಕಿಬಿದ್ದ!
All invoices are synchronized,ಎಲ್ಲಾ ಇನ್‌ವಾಯ್ಸ್‌ಗಳನ್ನು ಸಿಂಕ್ರೊನೈಸ್ ಮಾಡಲಾಗಿದೆ
All pending invoices are up to date,ಎಲ್ಲಾ ಬಾಕಿ ಇರುವ ಇನ್‌ವಾಯ್ಸ್‌ಗಳು ನವೀಕೃತವಾಗಿವೆ
All Profiles,ಎಲ್ಲಾ ಪ್ರೊಫೈಲ್‌ಗಳು
All Synchronized,ಎಲ್ಲಾ ಸಿಂಕ್ರೊನೈಸ್ ಮಾಡಲಾಗಿದೆ
All visible invoices are fully settled.,ಎಲ್ಲಾ ಗೋಚರ ಇನ್‌ವಾಯ್ಸ್‌ಗಳು ಸಂಪೂರ್ಣವಾಗಿ ಇತ್ಯರ್ಥವಾಗಿವೆ.
All Warehouses,ಎಲ್ಲಾ ಗೋದಾಮುಗಳು
Allowed UOM is {0},ಅನುಮತಿಸಲಾದ UOM {0}
Always fetch items from server (ignore local cache),ಸರ್ವರ್‌ನಿಂದ ಯಾವಾಗಲೂ ಐಟಂಗಳನ್ನು ಪಡೆದುಕೊಳ್ಳಿ (ಸ್ಥಳೀಯ ಸಂಗ್ರಹವನ್ನು ನಿರ್ಲಕ್ಷಿಸಿ)
Amount,ಮೊತ್ತ
Amount already received,ಮೊತ್ತವನ್ನು ಈಗಾಗಲೇ ಸ್ವೀಕರಿಸಲಾಗಿದೆ
Amount exceeds profile cash movement max amount.,ಮೊತ್ತವು ಪ್ರೊಫೈಲ್ ನಗದು ಚಲನೆಯ ಗರಿಷ್ಠ ಮೊತ್ತವನ್ನು ಮೀರಿದೆ.
Amount must be greater than zero.,ಮೊತ್ತವು ಶೂನ್ಯಕ್ಕಿಂತ ಹೆಚ್ಚಾಗಿರಬೇಕು.
Amount received from customer,ಗ್ರಾಹಕರಿಂದ ಪಡೆದ ಮೊತ್ತ
Appearance and user-level preferences for the current session.,ಪ್ರಸ್ತುತ ಸೆಶನ್‌ಗಾಗಿ ಗೋಚರತೆ ಮತ್ತು ಬಳಕೆದಾರ ಮಟ್ಟದ ಆದ್ಯತೆಗಳು.
Applied,ಅನ್ವಯಿಸಲಾಗಿದೆ
Apply,ಅನ್ವಯಿಸು
Apply Gift Card,ಉಡುಗೊರೆ ಕಾರ್ಡ್ ಅನ್ನು ಅನ್ವಯಿಸಿ
Apply Offer,ಆಫರ್ ಅನ್ನು ಅನ್ವಯಿಸಿ
Apply On,ರಂದು ಅನ್ವಯಿಸಿ
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,ಈ ಇನ್‌ವಾಯ್ಸ್‌ನಲ್ಲಿ ನೀವು ರಿಡೀಮ್ ಮಾಡಲು ಬಯಸುವ ಮೊತ್ತವನ್ನು ಮಾತ್ರ ಅನ್ವಯಿಸಿ. ಉಳಿದ ಬ್ಯಾಲೆನ್ಸ್ ಕಾರ್ಡ್‌ನಲ್ಲಿ ಉಳಿಯುತ್ತದೆ.
Apply Redemption,ರಿಡೆಂಪ್ಶನ್ ಅನ್ನು ಅನ್ವಯಿಸಿ
Applying,ಅರ್ಜಿ ಸಲ್ಲಿಸಲಾಗುತ್ತಿದೆ
Apps,ಅಪ್ಲಿಕೇಶನ್ಗಳು
Are you sure you want to close? All entered data will be lost.,ನೀವು ಖಚಿತವಾಗಿ ಮುಚ್ಚಲು ಬಯಸುವಿರಾ? ನಮೂದಿಸಿದ ಎಲ್ಲಾ ಡೇಟಾ ಕಳೆದುಹೋಗುತ್ತದೆ.
Attributes (Size/Color),ಗುಣಲಕ್ಷಣಗಳು (ಗಾತ್ರ/ಬಣ್ಣ)
Auto Allocate Payment Amount,ಸ್ವಯಂ ಹಂಚಿಕೆ ಪಾವತಿ ಮೊತ್ತ
Auto Reconcile,ಸ್ವಯಂ ಹೊಂದಾಣಿಕೆ
Auto reconciliation completed after payment submit.,ಪಾವತಿ ಸಲ್ಲಿಸಿದ ನಂತರ ಸ್ವಯಂ ಹೊಂದಾಣಿಕೆ ಪೂರ್ಣಗೊಂಡಿದೆ.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,ಸ್ವಯಂ ಹೊಂದಾಣಿಕೆ ಪೂರ್ಣಗೊಂಡಿದೆ. ನಿಯೋಜಿಸಲಾಗಿದೆ: {0}{1}. ಬಾಕಿ ಉಳಿದಿರುವುದು: {0}{2}.
Available Actions,ಲಭ್ಯವಿರುವ ಕ್ರಿಯೆಗಳು
Available QTY,QTY ಲಭ್ಯವಿದೆ
Available:,ಲಭ್ಯವಿದೆ:
Average Basket,ಸರಾಸರಿ ಬಾಸ್ಕೆಟ್
Average Bill,ಸರಾಸರಿ ಬಿಲ್
Average Ticket,ಸರಾಸರಿ ಟಿಕೆಟ್
Avg Bill,ಸರಾಸರಿ ಬಿಲ್
Avg Invoice,ಸರಾಸರಿ ಸರಕುಪಟ್ಟಿ
Avg Invoice Profit,ಸರಾಸರಿ ಸರಕುಪಟ್ಟಿ ಲಾಭ
Avg Invoice Value,ಸರಾಸರಿ ಸರಕುಪಟ್ಟಿ ಮೌಲ್ಯ
Avg Purchase Frequency,ಸರಾಸರಿ ಖರೀದಿ ಆವರ್ತನ
Awesome,ಅದ್ಭುತ
Awesome Dashboard,ಅದ್ಭುತ ಡ್ಯಾಶ್‌ಬೋರ್ಡ್
Awesome Dashboard is disabled for the selected POS Profile.,ಆಯ್ದ POS ಪ್ರೊಫೈಲ್‌ಗಾಗಿ ಅದ್ಭುತ ಡ್ಯಾಶ್‌ಬೋರ್ಡ್ ಅನ್ನು ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಲಾಗಿದೆ.
Awesome Dashboard is unavailable for the selected scope.,ಆಯ್ದ ಸ್ಕೋಪ್‌ಗೆ ಅದ್ಭುತ ಡ್ಯಾಶ್‌ಬೋರ್ಡ್ ಲಭ್ಯವಿಲ್ಲ.
Awesome Dashboard is visible only to POS supervisors.,ಅದ್ಭುತ ಡ್ಯಾಶ್‌ಬೋರ್ಡ್ POS ಮೇಲ್ವಿಚಾರಕರಿಗೆ ಮಾತ್ರ ಗೋಚರಿಸುತ್ತದೆ.
Back,ಹಿಂದೆ
Back Office Cash Account,ಬ್ಯಾಕ್ ಆಫೀಸ್ ನಗದು ಖಾತೆ
Back Office Cash Account (Optional Override),ಬ್ಯಾಕ್ ಆಫೀಸ್ ನಗದು ಖಾತೆ (ಐಚ್ಛಿಕ ಅತಿಕ್ರಮಣ)
Back office cash account is required.,ಬ್ಯಾಕ್ ಆಫೀಸ್ ನಗದು ಖಾತೆಯ ಅಗತ್ಯವಿದೆ.
Back to {0},{0} ಗೆ ಹಿಂತಿರುಗಿ
Background processing did not finish in time.,ಹಿನ್ನೆಲೆ ಪ್ರಕ್ರಿಯೆಯು ಸಮಯಕ್ಕೆ ಮುಗಿಯಲಿಲ್ಲ.
Background processing failed for Invoice {0}: {1},ಇನ್‌ವಾಯ್ಸ್‌ಗೆ ಹಿನ್ನೆಲೆ ಪ್ರಕ್ರಿಯೆ ವಿಫಲವಾಗಿದೆ {0}: {1}
Background Submission Failed,ಹಿನ್ನೆಲೆ ಸಲ್ಲಿಕೆ ವಿಫಲವಾಗಿದೆ
Background sync interval (seconds),ಹಿನ್ನೆಲೆ ಸಿಂಕ್ ಮಧ್ಯಂತರ (ಸೆಕೆಂಡ್‌ಗಳು)
Balance,ಸಮತೋಲನ
Balance will be updated when connection is restored,ಸಂಪರ್ಕವನ್ನು ಮರುಸ್ಥಾಪಿಸಿದಾಗ ಬ್ಯಾಲೆನ್ಸ್ ಅನ್ನು ನವೀಕರಿಸಲಾಗುತ್ತದೆ
Balances still pending,ಬಾಕಿ ಉಳಿದಿದೆ
Barcode,ಬಾರ್ಕೋಡ್
Barcode / QR Ready,ಬಾರ್ಕೋಡ್ / QR ಸಿದ್ಧವಾಗಿದೆ
Barcode Label Printing,ಬಾರ್ಕೋಡ್ ಲೇಬಲ್ ಮುದ್ರಣ
Base Paid:,ಮೂಲ ಪಾವತಿ:
Base Recv:,ಮೂಲ Recv:
Base:,ಆಧಾರ:
Basic Information,ಮೂಲ ಮಾಹಿತಿ
Batch,ಬ್ಯಾಚ್
Batch Information,ಬ್ಯಾಚ್ ಮಾಹಿತಿ
Before any return workflow,ಯಾವುದೇ ರಿಟರ್ನ್ ವರ್ಕ್‌ಫ್ಲೋ ಮೊದಲು
Before returns,ಹಿಂತಿರುಗುವ ಮೊದಲು
Best Day,ಅತ್ಯುತ್ತಮ ದಿನ
Best Seller,ಬೆಸ್ಟ್ ಸೆಲ್ಲರ್
Book expense or deposit from active shift.,ಸಕ್ರಿಯ ಶಿಫ್ಟ್‌ನಿಂದ ಪುಸ್ತಕ ವೆಚ್ಚ ಅಥವಾ ಠೇವಣಿ.
Branch / Location-wise Report,ಶಾಖೆ / ಸ್ಥಳವಾರು ವರದಿ
Brand-wise,ಬ್ರಾಂಡ್-ವೈಸ್
Breakdown,ಸ್ಥಗಿತ
Browse,ಬ್ರೌಸ್ ಮಾಡಿ
Build Time:,ನಿರ್ಮಾಣ ಸಮಯ:
Built with Frappe,ಫ್ರಾಪ್ಪೆಯೊಂದಿಗೆ ನಿರ್ಮಿಸಲಾಗಿದೆ
Bundle,ಬಂಡಲ್
Buying Price,ಖರೀದಿ ಬೆಲೆ
Cache cleared successfully,ಸಂಗ್ರಹವನ್ನು ಯಶಸ್ವಿಯಾಗಿ ತೆರವುಗೊಳಿಸಲಾಗಿದೆ
Cache Usage,ಸಂಗ್ರಹ ಬಳಕೆ
cache used,ಸಂಗ್ರಹವನ್ನು ಬಳಸಲಾಗುತ್ತದೆ
Calculating...,ಲೆಕ್ಕಾಚಾರ ಮಾಡಲಾಗುತ್ತಿದೆ...
Camera Access Required,ಕ್ಯಾಮರಾ ಪ್ರವೇಶದ ಅಗತ್ಯವಿದೆ
Camera access was aborted. Please try again.,ಕ್ಯಾಮರಾ ಪ್ರವೇಶವನ್ನು ಸ್ಥಗಿತಗೊಳಿಸಲಾಗಿದೆ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.
Camera constraints not supported by your device. Trying fallback settings...,ನಿಮ್ಮ ಸಾಧನದಿಂದ ಕ್ಯಾಮರಾ ನಿರ್ಬಂಧಗಳು ಬೆಂಬಲಿಸುವುದಿಲ್ಲ. ಫಾಲ್‌ಬ್ಯಾಕ್ ಸೆಟ್ಟಿಂಗ್‌ಗಳನ್ನು ಪ್ರಯತ್ನಿಸಲಾಗುತ್ತಿದೆ...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,ಕ್ಯಾಮರಾ ಕಾರ್ಯನಿರತವಾಗಿದೆ ಅಥವಾ ಇನ್ನೊಂದು ಅಪ್ಲಿಕೇಶನ್/ಟ್ಯಾಬ್ ಮೂಲಕ ನಿರ್ಬಂಧಿಸಲಾಗಿದೆ. ಇತರ ಕ್ಯಾಮರಾ ಅಪ್ಲಿಕೇಶನ್‌ಗಳನ್ನು ಮುಚ್ಚಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,ಕ್ಯಾಮರಾ ಅನುಮತಿ ನಿರಾಕರಿಸಲಾಗಿದೆ. ದಯವಿಟ್ಟು ನಿಮ್ಮ ಬ್ರೌಸರ್ ಸೆಟ್ಟಿಂಗ್‌ಗಳಲ್ಲಿ ಕ್ಯಾಮರಾ ಪ್ರವೇಶವನ್ನು ಅನುಮತಿಸಿ ಮತ್ತು ಪುಟವನ್ನು ರಿಫ್ರೆಶ್ ಮಾಡಿ.
Camera scanner is locked until the current error is acknowledged,ಪ್ರಸ್ತುತ ದೋಷವನ್ನು ಒಪ್ಪಿಕೊಳ್ಳುವವರೆಗೆ ಕ್ಯಾಮರಾ ಸ್ಕ್ಯಾನರ್ ಅನ್ನು ಲಾಕ್ ಮಾಡಲಾಗಿದೆ
Camera started but the video stream did not load in time. Please try again.,ಕ್ಯಾಮರಾ ಪ್ರಾರಂಭವಾಯಿತು ಆದರೆ ವೀಡಿಯೊ ಸ್ಟ್ರೀಮ್ ಸಮಯಕ್ಕೆ ಲೋಡ್ ಆಗಲಿಲ್ಲ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.
Cancel cash movement {0}?,ನಗದು ಚಲನೆಯನ್ನು ರದ್ದುಗೊಳಿಸುವುದೇ {0}?
Cancel Payment,ಪಾವತಿ ರದ್ದುಮಾಡಿ
Cancel Sale,ಮಾರಾಟವನ್ನು ರದ್ದುಗೊಳಿಸಿ
Cancel Sale ?,ಮಾರಾಟವನ್ನು ರದ್ದುಗೊಳಿಸುವುದೇ?
Cancelled,ರದ್ದುಗೊಳಿಸಲಾಗಿದೆ
Cannot add an item with zero or negative quantity.,ಶೂನ್ಯ ಅಥವಾ ಋಣಾತ್ಮಕ ಪ್ರಮಾಣದಲ್ಲಿ ಐಟಂ ಅನ್ನು ಸೇರಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ.
Cannot clear cache while offline,ಆಫ್‌ಲೈನ್‌ನಲ್ಲಿರುವಾಗ ಸಂಗ್ರಹವನ್ನು ತೆರವುಗೊಳಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ
Cannot redeem customer credit more than invoice total,ಸರಕುಪಟ್ಟಿ ಮೊತ್ತಕ್ಕಿಂತ ಹೆಚ್ಚಿನ ಗ್ರಾಹಕರ ಕ್ರೆಡಿಟ್ ಅನ್ನು ರಿಡೀಮ್ ಮಾಡಲು ಸಾಧ್ಯವಿಲ್ಲ
Cannot redeem gift cards more than invoice total,ಒಟ್ಟು ಸರಕುಪಟ್ಟಿಗಿಂತ ಹೆಚ್ಚಿನ ಉಡುಗೊರೆ ಕಾರ್ಡ್‌ಗಳನ್ನು ರಿಡೀಮ್ ಮಾಡಲು ಸಾಧ್ಯವಿಲ್ಲ
Cannot Save Offline Invoice:,ಆಫ್‌ಲೈನ್ ಸರಕುಪಟ್ಟಿ ಉಳಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ:
Cannot Save Offline Payment:,ಆಫ್‌ಲೈನ್ ಪಾವತಿಯನ್ನು ಉಳಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ:
Card,ಕಾರ್ಡ್
Card / Online,ಕಾರ್ಡ್ / ಆನ್‌ಲೈನ್
Card health after the last live lookup,ಕೊನೆಯ ಲೈವ್ ಲುಕ್ಅಪ್ ನಂತರ ಕಾರ್ಡ್ ಆರೋಗ್ಯ
Cards,ಕಾರ್ಡ್‌ಗಳು
Cart,ಕಾರ್ಟ್
Cash,ನಗದು
Cash back to customers,ಗ್ರಾಹಕರಿಗೆ ಕ್ಯಾಶ್ ಬ್ಯಾಕ್
Cash Collections,ನಗದು ಸಂಗ್ರಹಣೆಗಳು
Cash Deposit is disabled for this POS Profile.,ಈ POS ಪ್ರೊಫೈಲ್‌ಗಾಗಿ ನಗದು ಠೇವಣಿ ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಲಾಗಿದೆ.
Cash Drawer Snapshot,ನಗದು ಡ್ರಾಯರ್ ಸ್ನ್ಯಾಪ್‌ಶಾಟ್
Cash In Hand,ಕೈಯಲ್ಲಿ ನಗದು
Cash Movement,ನಗದು ಚಳುವಳಿ
Cash movement cancelled,ನಗದು ಚಲನೆಯನ್ನು ರದ್ದುಗೊಳಿಸಲಾಗಿದೆ
Cash movement deduction applied,ನಗದು ಚಲನೆಯ ಕಡಿತವನ್ನು ಅನ್ವಯಿಸಲಾಗಿದೆ
Cash movement deleted,ನಗದು ಚಲನೆಯನ್ನು ಅಳಿಸಲಾಗಿದೆ
Cash movement is disabled for this POS Profile.,ಈ POS ಪ್ರೊಫೈಲ್‌ಗಾಗಿ ನಗದು ಚಲನೆಯನ್ನು ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಲಾಗಿದೆ.
Cash Movement is disabled in current POS Profile.,ಪ್ರಸ್ತುತ POS ಪ್ರೊಫೈಲ್‌ನಲ್ಲಿ ನಗದು ಚಲನೆಯನ್ನು ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಲಾಗಿದೆ.
Cash movement saved offline,ನಗದು ಚಲನೆಯನ್ನು ಆಫ್‌ಲೈನ್‌ನಲ್ಲಿ ಉಳಿಸಲಾಗಿದೆ
Cash movement submitted,ನಗದು ಚಲನೆಯನ್ನು ಸಲ್ಲಿಸಲಾಗಿದೆ
Cash Movements,ನಗದು ಚಲನೆಗಳು
Cash payment cannot be less than invoice total when partial payment is not allowed,ಭಾಗಶಃ ಪಾವತಿಯನ್ನು ಅನುಮತಿಸದಿದ್ದಾಗ ನಗದು ಪಾವತಿಯು ಸರಕುಪಟ್ಟಿ ಮೊತ್ತಕ್ಕಿಂತ ಕಡಿಮೆ ಇರುವಂತಿಲ್ಲ
Cash returned after payment,ಪಾವತಿಯ ನಂತರ ನಗದು ಹಿಂತಿರುಗಿಸಲಾಗಿದೆ
Cashier,ಕ್ಯಾಷಿಯರ್
Cashier Access,ಕ್ಯಾಷಿಯರ್ ಪ್ರವೇಶ
Cashier identity and appearance preferences.,ಕ್ಯಾಷಿಯರ್ ಗುರುತು ಮತ್ತು ನೋಟ ಆದ್ಯತೆಗಳು.
Cashier PIN,ಕ್ಯಾಷಿಯರ್ ಪಿನ್
Cashier PIN saved successfully.,ಕ್ಯಾಷಿಯರ್ ಪಿನ್ ಯಶಸ್ವಿಯಾಗಿ ಉಳಿಸಲಾಗಿದೆ.
Cashiers,ಕ್ಯಾಷಿಯರ್ಗಳು
Cashier-wise,ಕ್ಯಾಷಿಯರ್-ಬುದ್ಧಿವಂತ
Categories,ವರ್ಗಗಳು
Category,ವರ್ಗ
Category / Brand / Variant Report,ವರ್ಗ / ಬ್ರ್ಯಾಂಡ್ / ವೇರಿಯಂಟ್ ವರದಿ
Category-wise,ವರ್ಗವಾರು
Category-wise Margin,ವರ್ಗವಾರು ಅಂಚು
Certificate,ಪ್ರಮಾಣಪತ್ರ
Certificate is missing or not trusted. QZ may show confirmation dialogs.,ಪ್ರಮಾಣಪತ್ರವು ಕಾಣೆಯಾಗಿದೆ ಅಥವಾ ವಿಶ್ವಾಸಾರ್ಹವಾಗಿಲ್ಲ. QZ ದೃಢೀಕರಣ ಸಂವಾದಗಳನ್ನು ತೋರಿಸಬಹುದು.
Certificate is trusted. Silent QZ printing is active.,ಪ್ರಮಾಣಪತ್ರವು ವಿಶ್ವಾಸಾರ್ಹವಾಗಿದೆ. ಸೈಲೆಂಟ್ QZ ಮುದ್ರಣವು ಸಕ್ರಿಯವಾಗಿದೆ.
Change,ಬದಲಾವಣೆ
Change allocation repaired,ಬದಲಾವಣೆ ಹಂಚಿಕೆಯನ್ನು ಸರಿಪಡಿಸಲಾಗಿದೆ
Change Price,ಬೆಲೆ ಬದಲಾಯಿಸಿ
Change Return,ರಿಟರ್ನ್ ಬದಲಾಯಿಸಿ
Change Returned,ಬದಲಾವಣೆ ಹಿಂತಿರುಗಿದೆ
Change terminal cashier,ಟರ್ಮಿನಲ್ ಕ್ಯಾಷಿಯರ್ ಅನ್ನು ಬದಲಾಯಿಸಿ
Charge Heads,ಚಾರ್ಜ್ ಹೆಡ್ಸ್
Charges,ಶುಲ್ಕಗಳು
Charges not found,ಶುಲ್ಕಗಳು ಕಂಡುಬಂದಿಲ್ಲ
