POS Awesome,POS Fantastisk
Add/Edit Coupon Conditions,Legg til/rediger kupongbetingelser
Additional Discount,Ekstra rabatt
Additional Discount %,Ekstra rabatt %
Address Line 1,Adresselinje 1
Address not found,Adressen ble ikke funnet
Adjust the quantity or enable negative stock to continue.,Juster antallet eller aktiver negativ beholdning for å fortsette.
Adjustment,Justering
After returns,Etter returer
Against,Mot
Against Name,Mot Navn
Age Bracket,Aldersgruppe
All,Alle
All Caught Up!,Alle fanget opp!
All invoices are synchronized,Alle fakturaer er synkronisert
All pending invoices are up to date,Alle ventende fakturaer er oppdatert
All Profiles,Alle profiler
All Synchronized,Alt synkronisert
All visible invoices are fully settled.,Alle synlige fakturaer er fullt oppgjort.
All Warehouses,Alle varehus
Allowed UOM is {0},Tillatt UOM er {0}
Always fetch items from server (ignore local cache),Hent alltid elementer fra serveren (ignorer lokal cache)
Amount,Beløp
Amount already received,Beløp allerede mottatt
Amount exceeds profile cash movement max amount.,Beløp overstiger profilen kontantbevegelse maks. beløp.
Amount must be greater than zero.,Beløpet må være større enn null.
Amount received from customer,Beløp mottatt fra kunde
Appearance and user-level preferences for the current session.,Utseende og preferanser på brukernivå for gjeldende økt.
Applied,Påført
Apply,Søk
Apply Gift Card,Bruk gavekort
Apply Offer,Bruk tilbudet
Apply On,Søk på
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Bruk kun beløpet du ønsker å løse inn på denne fakturaen. Den resterende saldoen forblir på kortet.
Apply Redemption,Bruk innløsning
Applying,Søker
Apps,Apper
Are you sure you want to close? All entered data will be lost.,Er du sikker på at du vil lukke? Alle inntastede data vil gå tapt.
Attributes (Size/Color),Attributter (størrelse/farge)
Auto Allocate Payment Amount,Automatisk allokering av betalingsbeløp
Auto Reconcile,Automatisk avstemming
Auto reconciliation completed after payment submit.,Automatisk avstemming fullført etter innsending av betaling.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Automatisk avstemming fullført. Tildelt: {0}{1}. Gjenstående utestående: {0}{2}.
Available Actions,Tilgjengelige handlinger
Available QTY,Tilgjengelig QTY
Available:,Tilgjengelig:
Average Basket,Gjennomsnittlig kurv
Average Bill,Gjennomsnittlig regning
Average Ticket,Gjennomsnittlig billett
Avg Bill,Gj.sn. regning
Avg Invoice,Gj.sn. faktura
Avg Invoice Profit,Gj.sn. fakturafortjeneste
Avg Invoice Value,Gj.sn. fakturaverdi
Avg Purchase Frequency,Gjennomsnittlig kjøpsfrekvens
Awesome,Fantastisk
Awesome Dashboard,Fantastisk dashbord
Awesome Dashboard is disabled for the selected POS Profile.,Awesome Dashboard er deaktivert for den valgte POS-profilen.
Awesome Dashboard is unavailable for the selected scope.,Awesome Dashboard er utilgjengelig for det valgte omfanget.
Awesome Dashboard is visible only to POS supervisors.,Awesome Dashboard er bare synlig for POS-veiledere.
Back,Tilbake
Back Office Cash Account,Back Office Kontantkonto
Back Office Cash Account (Optional Override),Back Office Kontantkonto (valgfri overstyring)
Back office cash account is required.,Kontantkonto på bakkontoret er påkrevd.
Back to {0},Tilbake til {0}
Background processing did not finish in time.,Bakgrunnsbehandlingen ble ikke ferdig i tide.
Background processing failed for Invoice {0}: {1},Bakgrunnsbehandling mislyktes for faktura {0}: {1}
Background Submission Failed,Bakgrunnsinnsending mislyktes
Background sync interval (seconds),Bakgrunnssynkroniseringsintervall (sekunder)
Balance,Balanse
Balance will be updated when connection is restored,Saldoen vil bli oppdatert når tilkoblingen er gjenopprettet
Balances still pending,Saldoer venter fortsatt
Barcode,Strekkode
Barcode / QR Ready,Strekkode / QR-klar
Barcode Label Printing,Utskrift av strekkodeetiketter
Base Paid:,Grunnbetalt:
Base Recv:,Base Recv:
Base:,Base:
Basic Information,Grunnleggende informasjon
Batch,Batch
Batch Information,Batchinformasjon
Before any return workflow,Før enhver returarbeidsflyt
Before returns,Før retur
Best Day,Beste dagen
Best Seller,Bestselger
Book expense or deposit from active shift.,Bokføre utgift eller depositum fra aktivt skift.
Branch / Location-wise Report,Bransje / Stedsmessig rapport
Brand-wise,Merkemessig
Breakdown,Sammenbrudd
Browse,Bla gjennom
Build Time:,Byggetid:
Built with Frappe,Bygget med Frappe
Bundle,Bunt
Buying Price,Kjøpspris
Cache cleared successfully,Bufferen ble tømt
Cache Usage,Bufferbruk
cache used,cache brukt
Calculating...,Beregner...
Camera Access Required,Kameratilgang kreves
Camera access was aborted. Please try again.,Kameratilgang ble avbrutt. Vennligst prøv igjen.
Camera constraints not supported by your device. Trying fallback settings...,Kamerabegrensninger støttes ikke av enheten. Prøver reserveinnstillinger ...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,Kameraet er opptatt eller blokkert av en annen app/fane. Lukk andre kameraapper og prøv igjen.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,Kameratillatelse nektet. Tillat kameratilgang i nettleserinnstillingene og oppdater siden.
Camera scanner is locked until the current error is acknowledged,Kameraskanneren er låst til den gjeldende feilen er bekreftet
Camera started but the video stream did not load in time. Please try again.,"Kameraet startet, men videostrømmen lastet ikke inn i tide. Vennligst prøv igjen."
Cancel cash movement {0}?,Vil du avbryte kontantbevegelsen {0}?
Cancel Payment,Avbryt betaling
Cancel Sale,Avbryt salg
Cancel Sale ?,Kansellere salg?
Cancelled,Kansellert
Cannot add an item with zero or negative quantity.,Kan ikke legge til en vare med null eller negativt antall.
Cannot clear cache while offline,Kan ikke tømme bufferen mens du er frakoblet
Cannot redeem customer credit more than invoice total,Kan ikke løse inn kundekreditt mer enn fakturasummen
Cannot redeem gift cards more than invoice total,Kan ikke løse inn gavekort mer enn fakturasummen
Cannot Save Offline Invoice:,Kan ikke lagre frakoblet faktura:
Cannot Save Offline Payment:,Kan ikke lagre betaling uten nett:
Card,Kort
Card / Online,Kort / Online
Card health after the last live lookup,Korthelse etter siste direkteoppslag
Cards,Kort
Cart,Handlevogn
Cash,Kontanter
Cash back to customers,Penger tilbake til kundene
Cash Collections,Kontantinnsamlinger
Cash Deposit is disabled for this POS Profile.,Kontantinnskudd er deaktivert for denne POS-profilen.
Cash Drawer Snapshot,Øyeblikksbilde av kontantskuffen
Cash In Hand,Penger i hånden
Cash Movement,Kontantbevegelse
Cash movement cancelled,Kontantbevegelse kansellert
Cash movement deduction applied,Kontantbevegelsesfradrag benyttet
Cash movement deleted,Kontantbevegelse slettet
Cash movement is disabled for this POS Profile.,Kontantbevegelse er deaktivert for denne POS-profilen.
Cash Movement is disabled in current POS Profile.,Cash Movement er deaktivert i gjeldende POS-profil.
Cash movement saved offline,Kontantbevegelse lagret offline
Cash movement submitted,Kontantbevegelse sendt inn
Cash Movements,Kontantbevegelser
Cash payment cannot be less than invoice total when partial payment is not allowed,Kontantbetaling kan ikke være mindre enn fakturasummen når delbetaling ikke er tillatt
Cash returned after payment,Kontanter returnert etter betaling
Cashier,Kasserer
Cashier Access,Kassetilgang
Cashier identity and appearance preferences.,Kasseidentitet og utseendepreferanser.
Cashier PIN,Kasserer PIN
Cashier PIN saved successfully.,Kassererens PIN-kode er lagret.
Cashiers,Kasserere
Cashier-wise,Kassemessig sett
Categories,Kategorier
Category,Kategori
Category / Brand / Variant Report,Kategori / merkevare / variantrapport
Category-wise,Kategorimessig
Category-wise Margin,Kategorimessig Margin
Certificate,Sertifikat
Certificate is missing or not trusted. QZ may show confirmation dialogs.,Sertifikatet mangler eller er ikke klarert. QZ kan vise bekreftelsesdialoger.
Certificate is trusted. Silent QZ printing is active.,Sertifikatet er klarert. Stille QZ-utskrift er aktiv.
Change,Endre
Change allocation repaired,Endringstildeling reparert
Change Price,Endre pris
Change Return,Endre retur
Change Returned,Endring returnert
Change terminal cashier,Bytt terminalkasse
Charge Heads,Ladehoder
Charges,Avgifter
Charges not found,Finner ikke belastninger
Check Balance,Sjekk saldo
Check balance for any card. Supervisors can issue and top up cards here.,Sjekk saldoen for et hvilket som helst kort. Veiledere kan utstede og fylle på kort her.
Check balance only,Sjekk kun saldoen
Check for new commits,Se etter nye forpliktelser
Check for Updates,Se etter oppdateringer
Check live balance before applying redemption,Sjekk live-saldoen før du bruker innløsning
Check live balance before redemption,Sjekk live-saldoen før innløsning
Checking...,Sjekker...
Cheque/Reference Date,Sjekk/referansedato
Cheque/Reference No,Sjekk/referansenr
Choose the cashier currently operating this terminal.,Velg kassereren som driver denne terminalen.
City,By
Clear,Klart
Clear All,Fjern alle
Clear all barcode items,Fjern alle strekkodeelementer
Clear all purchase order items,Fjern alle innkjøpsordreelementer
Clear Search,Fjern søk
Clearing local cache...,Tømmer lokal buffer ...
Click to refresh,Klikk for å oppdatere
Client CPU Lag:,Klient CPU Lag:
Client Memory Usage:,Klientminnebruk:
Client Metrics,Klientberegninger
Close about dialog,Lukk om dialog
Close cashier switcher,Lukk kassereren
Close closing shift dialog,Lukk lukkende skiftdialog
Close column selector,Lukk kolonnevelgeren
Close Dialog,Lukk dialog
Close drafts dialog,Lukk dialogboksen for utkast
Close invoice details dialog,Lukk dialogboksen for fakturadetaljer
Close invoice management,Lukk fakturahåndtering
Close offline invoices dialog,Lukk dialogboksen for frakoblede fakturaer
Close packing list dialog,Lukk pakkelistedialogen
Close returns dialog,Lukk returdialogen
Close sales orders dialog,Lukk salgsordredialogen
Close Scanner,Lukk skanner
Close scanner dialog,Lukk skannerdialogen
Close Settings,Lukk Innstillinger
Closing Amount,Sluttbeløp
Closing POS Shift,Lukke POS Shift
Closing Snapshot Available,Avsluttende øyeblikksbilde tilgjengelig
Code,Kode
Code scanned successfully,Koden ble skannet
COGS,COGS
Collapse item details,Skjul elementdetaljer
Collected,Samlet
Cols,Cols
Columns,Kolonner
commits,forplikter seg
Completed and active sales in this range,Gjennomført og aktivt salg i dette sortimentet
Completed returns will appear here.,Fullførte returer vil vises her.
Confirm,Bekreft
Confirm Close,Bekreft Lukk
Confirm Mobile Number,Bekreft mobilnummer
Confirm PIN,Bekreft PIN
Connect,Koble til
Connect printer and manage certificate,Koble til skriveren og administrer sertifikatet
Connecting to QZ Tray...,Kobler til QZ Tray...
Connection problem while submitting invoice,Tilkoblingsproblem under innsending av faktura
Connections:,Tilkoblinger:
Connectivity and cached prerequisite status were rechecked.,Tilkobling og bufret forutsetningsstatus ble sjekket på nytt.
Continue Editing,Fortsett redigering
Could not fetch latest balance from server,Kunne ikke hente siste saldo fra serveren
Count,Telle
Country,Land
Coupon,Kupong
Coupons,Kuponger
Cover,Dekke
CPU Cores:,CPU-kjerner:
Create,Opprett
Create and load a new prepaid card,Opprett og last inn et nytt forhåndsbetalt kort
Create and preload a new gift card,Opprett og forhåndslast et nytt gavekort
Create Bill,Opprett regning
Create Customer,Opprett kunde
Create New Item,Opprett nytt element
Create or change your PIN,Opprett eller endre PIN-koden din
Create PIN,Opprett PIN-kode
Create POS Opening Shift,Opprett POS-åpningsskift
Create Purchase Order,Opprett innkjøpsordre
Create Return,Opprett retur
Create return from invoice,Opprett retur fra faktura
Create Supplier,Opprett leverandør
Credit and Output,Kreditt og utgang
Credit Note,Kredittnota
Credit Outstanding,Kreditt utestående
Credit sales remaining to be collected,Kredittsalg gjenstår å samle inn
Critical,Kritisk
Currency,Valuta
Current,Gjeldende
Current Event Loop Lag:,Gjeldende hendelsessløyfelag:
Current Month,Gjeldende måned
Current PIN,Gjeldende PIN-kode
Current Profile,Gjeldende profil
Current redeemable value on the gift card,Gjeldende innløselig verdi på gavekortet
Current User,Nåværende bruker
Custom,Egendefinert
Custom Due Days,Egendefinerte forfallsdager
Custom items per page,Egendefinerte elementer per side
Customer,Kunde
Customer already selected,Kunden er allerede valgt
Customer Balance,Kundesaldo
Customer balance unavailable offline,Kundesaldo er utilgjengelig offline
Customer created successfully.,Kunden ble opprettet.
Customer creation failed.,Kundeoppretting mislyktes.
Customer Details,Kundedetaljer
Customer display channel is missing,Kundevisningskanal mangler
Customer display was blocked. Please allow pop-ups for this site.,Kundevisning ble blokkert. Vennligst tillat popup-vinduer for dette nettstedet.
Customer group is required,Kundegruppe er påkrevd
Customer is required to add payment,Kunden må legge til betaling
Customer Name is required,Kundenavn er påkrevd
Customer not selected,Kunde ikke valgt
Customer Report,Kunderapport
Customer saved offline,Kunde lagret offline
Customer Screen,Kundeskjerm
Customer territory is required,Kundeområde er påkrevd
Customer updated successfully.,Kunden ble oppdatert.
Customer-facing tools and printer setup.,Kundevendt verktøy og skriveroppsett.
Customers,Kunder
Customers not found,Kunder ikke funnet
Daily cashier actions without scrolling.,Daglige kassererhandlinger uten å rulle.
Daily Sales,Daglig salg
Daily Sales Summary,Daglig salgssammendrag
Data loaded in form. Review and submit.,Data lastet i skjema. Se gjennom og send inn.
Database Health,Database helse
Database health affects overall system speed and reliability.,Databasehelse påvirker den generelle systemets hastighet og pålitelighet.
Database Info,Database info
Date,Dato
Day ?,dag?
days,dager
Day-wise (MTD),Dagsvis (MTD)
Day-wise Movement,Daglig bevegelse
Dead Stock,Død aksje
Dead Stock Items,Døde lagervarer
Decrease quantity,Reduser mengde
Default,Standard
Default:,Standard:
Delete,Slett
Delete cancelled cash movement {0}?,Vil du slette avbrutt kontantbevegelse {0}?
Delete Draft,Slett utkast
Delete draft invoice,Slett utkast til faktura
Delete draft invoice {0}?,Vil du slette utkast til faktura {0}?
Delete Invoice,Slett faktura
Delete offline invoice,Slett frakoblet faktura
Delivered,Levert
Delivery Charges,Leveringskostnader
Delivery Information,Leveringsinformasjon
Delivery Note {0} created,Følgeseddel {0} opprettet
Delivery note created,Følgeseddel opprettet
Deployed Bundle:,Utplassert pakke:
Deposit,Innskudd
Description,Beskrivelse
Detailed Supplier Breakdown,Detaljert leverandøroppdeling
Detecting formats:,Finner formater:
Device Memory:,Enhetsminne:
Difference,Forskjell
Difference (In Company Currency),Differanse (i selskapets valuta)
Disable offline mode first to recheck live connectivity.,Deaktiver frakoblet modus først for å sjekke live-tilkoblingen på nytt.
Disconnect,Koble fra
discount,rabatt
Discount %,rabatt %
Discount / Void / Return Report,Rabatt / ugyldig / returrapport
Discount Amount,Rabattbeløp
Discount limited by POS Profile,Rabatt begrenset av POS-profil
Discounted Invoices,Rabatterte fakturaer
Discounts,Rabatter
Dismiss,Avvis
Download Certificate,Last ned sertifikat
Draft,Utkast
Draft invoice deleted,Fakturautkast slettet
Draft source,Utkast til kilde
Drafts,Utkast
Due {0},Frist {0}
Due Date,Forfallsdato
Duplicate,Duplikat
Edit customer,Rediger kunde
Edit discount amount,Rediger rabattbeløp
Edit discount percentage,Rediger rabattprosent
Edit Gift Application,Rediger gavesøknad
Edit item name,Rediger elementnavn
Edit quantity,Rediger antall
Edit rate,Rediger rate
Edit unit of measure,Rediger måleenhet
Edited,Redigert
Employee,Ansatt
Enable background sync,Aktiver bakgrunnssynkronisering
Enable Customer Display in POS Profile first.,Aktiver kundevisning i POS-profil først.
Enter a PIN.,Skriv inn en PIN-kode.
Enter a valid grams value,Angi en gyldig gramverdi
Enter new price list rate,Angi ny prislistetakst
Enter Quantity,Angi mengde
Enter the cashier PIN to continue.,Skriv inn kasse-PIN-en for å fortsette.
Enter the current PIN first.,Skriv inn gjeldende PIN-kode først.
"Enter the current PIN, then choose a new one.","Skriv inn gjeldende PIN-kode, og velg deretter en ny."
Enter valid grams for scale barcode,Skriv inn gyldige gram for skalastrekkode
Entries,Oppføringer
Error accessing camera:,Feil ved tilgang til kamera:
Error calculating prices,Feil ved beregning av priser
Error fetching customer balance,Feil ved henting av kundesaldo
Error in change calculations!,Feil i endringsberegninger!
Error Loading Data,Feil ved lasting av data
Error loading invoice details,Feil ved innlasting av fakturadetaljer
Error processing invoice,Feil ved behandling av faktura
Error processing payment,Feil ved behandling av betaling
Error searching invoices,Feil ved søk etter fakturaer
Error submitting invoice:,Feil ved innsending av faktura:
Error submitting invoice: {0},Feil ved innsending av faktura: {0}
Error submitting invoice: No response from server,Feil ved innsending av faktura: Ingen respons fra server
Error updating currency,Feil under oppdatering av valuta
Error updating item details,Feil under oppdatering av varedetaljer
Est. Purchase,Est. Kjøp
Est. Value,Est. Verdi
Event-loop lag measures how busy your browser is. Lower is better.,Event-loop lag måler hvor opptatt nettleseren din er. Lavere er bedre.
Every,Hver
Exchange Rate,Valutakurs
Expand item details,Utvid varedetaljer
Expected Amount (In Company Currency),Forventet beløp (i selskapets valuta)
Expected Cash,Forventet kontanter
Expected cash on hand grouped by currency,Forventet kontantbeholdning gruppert etter valuta
Expected vs Actual,Forventet vs faktisk
Expense,Utgift
Expense Account (Optional Override),Utgiftskonto (valgfri overstyring)
Expense account is required.,Utgiftskonto kreves.
Expenses and deposits posted during this shift,Utgifter og innskudd bokført under dette skiftet
Expired,Utløpt
Failed to auto reconcile payments.,Kunne ikke automatisk avstemme betalinger.
Failed to cancel cash movement,Kunne ikke avbryte kontantbevegelsen
Failed to clear cache,Kunne ikke tømme bufferen
Failed to create item,Kunne ikke opprette elementet
Failed to create supplier,Kunne ikke opprette leverandør
Failed to delete cash movement,Kunne ikke slette kontantbevegelse
Failed to generate scale barcode. Using item barcode only.,Kunne ikke generere skaleringsstrekkode. Bruker kun varestrekkode.
Failed to load cash movement context.,Kunne ikke laste inn kontantbevegelseskontekst.
Failed to load dashboard data.,Kunne ikke laste dashborddata.
Failed to reload invoice from server,Kunne ikke laste inn faktura på nytt fra serveren
Failed to submit cash movement,Kunne ikke sende inn kontantbevegelse
Failed to sync offline cash movements,Kunne ikke synkronisere kontantbevegelser uten nett
Fast cashier actions for active shifts.,Raske kassererhandlinger for aktive skift.
Fast Moving Items,Varer i rask bevegelse
Fees,Gebyrer
Fetch the latest offline prerequisite updates,Hent de siste frakoblede forutsetningsoppdateringene
Find a sales order quickly and load it into the current sale.,Finn en salgsordre raskt og last den inn i det gjeldende salget.
Fixing payment amounts for return invoice...,Fastsettelse av betalingsbeløp for returfaktura...
Flash Off,Blits av
Flash On,Blits på
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","For 'Produktpakke'-varer vil lager, serienummer og batchnr bli vurdert fra 'pakkeliste'-tabellen. Hvis Warehouse og Batch No er like for alle pakkeelementer for en 'Produktpakke'-vare, kan disse verdiene legges inn i hovedartikkeltabellen; verdiene vil bli kopiert til 'Pakkeliste'-tabellen."
Free,Gratis
Free Qty,Gratis antall
Frequency,Frekvens
from,fra
From Date,Fra dato
Fulfillment Details,Oppfyllelsesdetaljer
Full Name,Fullt navn
Gain,Gevinst
Generate a fresh prepaid card and start it with an opening balance.,Generer et nytt forhåndsbetalt kort og start det med en åpningssaldo.
Generate and install the certificate to allow fully silent printing without trust prompts.,Generer og installer sertifikatet for å tillate fullstendig lydløs utskrift uten pålitelige meldinger.
Generate Certificate,Generer sertifikat
Generated scale barcode: {0},Generert strekkode i skala: {0}
Get Payments,Få betalinger
Gift Card,Gavekort
Gift card amount must be greater than zero.,Gavekortbeløpet må være større enn null.
Gift Card Code,Gavekortkode
Gift card code is required for redemption,Gavekortkode kreves for innløsning
Gift card code is required.,Gavekortkode kreves.
Gift card issued successfully.,Gavekortet er utstedt.
Gift card loaded successfully.,Gavekortet ble lastet inn.
Gift Card Management,Håndtering av gavekort
Gift card payment,Betaling med gavekort
Gift card redemption requires an online connection,Innløsning av gavekort krever en nettforbindelse
Gift card topped up successfully.,Gavekortet ble fullført.
Gift Cards,Gavekort
Go to Frappe Desk,Gå til Frappe Desk
Grand Total,Grand Total
Gross Margin,Bruttomargin
Gross Profit,Bruttofortjeneste
Gross Sales,Bruttosalg
Group not found,Finner ikke gruppen
"Grouped controls for terminal, UI, and session settings.","Grupperte kontroller for terminal-, brukergrensesnitt- og øktinnstillinger."
Grouped totals for each payment method and currency,Grupperte totaler for hver betalingsmåte og valuta
Hide,Skjul
Hide Gift Card,Skjul gavekort
Hide Non Essential Fields,Skjul ikke-essensielle felt
Hide quantity decimals,Skjul antall desimaler
Hide search tools,Skjul søkeverktøy
Hide zero rated items,Skjul elementer med null rangering
High,Høy
History,Historie
Hourly (Today),Hver time (i dag)
How this section works,Hvordan denne delen fungerer
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","Hvis foreldede data gjenstår, åpne Innstillinger > Frakoblet og synkronisering og kjør Rebuild Offline Data igjen mens du er tilkoblet."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","Hvis advarselen vedvarer, åpne Innstillinger > Frakoblet og synkronisering, og kjør deretter Oppdater frakoblede data eller Gjenoppbygg frakoblede data."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,Importer sertifikatet til QZ Tray og start QZ Tray på nytt på hver POS-maskin.
In,I
In stock: {0},På lager: {0}
Include Batch / Serial,Inkluder batch / seriell
Include Price,Inkluder pris
Increase quantity,Øk mengde
IndexedDB,IndeksertDB
Initial Amount,Opprinnelig beløp
Initialize your shift with opening balances,Initialiser skiftet med åpningssaldoer
Initializing application...,Initialiserer applikasjon...
"Inspect cache, sync, and prerequisite status","Inspiser cache, synkronisering og forutsetningsstatus"
Installed Applications,Installerte applikasjoner
Insufficient stock:\n{0},Ikke nok lager:\n{0}
Invalid rate,Ugyldig pris
Inventory Status Report,Rapport om lagerstatus
Invoice,Faktura
Invoice {0} is Submitted,Faktura {0} er sendt
Invoice {0} processed successfully,Faktura {0} ble behandlet
Invoice {0} submission failed,Innsending av faktura {0} mislyktes
Invoice {0} was already submitted,Faktura {0} er allerede sendt
Invoice Adjustments,Fakturajusteringer
Invoice Change,Endring av faktura
Invoice Details,Fakturadetaljer
Invoice is still in draft after background submission.,Faktura er fortsatt i utkast etter bakgrunnsinnlevering.
Invoice Items,Fakturavarer
Invoice Management,Fakturahåndtering
Invoice Mgmt,Faktura Mgmt
Invoice saved offline,Faktura lagret offline
Invoice submission failed,Innsending av faktura mislyktes
Invoice Submitted,Faktura sendt
"Invoice value settled by loyalty points, not cash collection","Fakturaverdi avregnes med lojalitetspoeng, ikke kontantinnkreving"
Invoices,Fakturaer
Invoices already past due date,Fakturaer allerede forfalt
Invoices saved as POS Invoices,Fakturaer lagret som POS-fakturaer
Invoices still carrying balances,Fakturaer har fortsatt saldo
Issue Mode,Problemmodus
Issue New Card,Utsted nytt kort
Issue Workflow,Problem arbeidsflyt
"Issue, top up, and check","Utsted, fyll på og sjekk"
Item,Vare
Item / Product Sales Report,Vare-/produktsalgsrapport
Item {0} added to invoice,Varen {0} er lagt til på fakturaen
Item '{0}' has no barcode,Element '{0}' har ingen strekkode
Item Code,Varekode
Item created successfully,Elementet ble opprettet
Item is out of stock,Varen er utsolgt
Item Name,Varenavn
Item not found,Varen ble ikke funnet
Item order updated,Varebestilling oppdatert
Item Selector Settings,Innstillinger for elementvelger
Items,Varer
Items added in POS will appear here automatically.,Elementer lagt til i POS vil vises her automatisk.
Items added to invoice,Varer lagt til faktura
Items per page,Elementer per side
Items Sold,Gjenstander solgt
Items/Invoice,Varer/Faktura
Item-wise Profitability,Varemessig lønnsomhet
Journal Entry,Journaloppføring
json,json
Just now,Akkurat nå
Keep offline prerequisites healthy and recover stale data safely.,Hold frakoblede forutsetninger sunne og gjenopprett foreldede data trygt.
Labels,Etiketter
"Language, theme, terminal tools, and session controls.","Språk, tema, terminalverktøy og øktkontroller."
Last,Sist
Last 14 Days (Paid vs Pending),Siste 14 dager (betalt vs ventende)
Last 14 Days Activity,Siste 14 dagers aktivitet
Last 14 Days Gross Profit,Siste 14 dagers bruttofortjeneste
Last 14 Days Purchases,Siste 14 dagers kjøp
Last 14 Days Tax/Charges,Siste 14 dager skatt/avgifter
Last sync:,Siste synkronisering:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},Siste synkronisering: {0} | ok: {1} | mislyktes: {2} | hoppet over: {3}
Latest entries for current shift,Siste oppføringer for gjeldende skift
Lead Time,Ledetid
Limited,Begrenset
lines,linjer
List,Liste
Live Snapshot,Live Snapshot
Load a POS profile and cashier first.,Last inn en POS-profil og kasserer først.
Load More Invoices,Last inn flere fakturaer
Load previously saved invoices,Last inn tidligere lagrede fakturaer
Load Sale,Last Salg
Load Sales Invoice,Last inn salgsfaktura
Loading app data...,Laster inn appdata ...
Loading customer database...,Laster kundedatabase...
Loading customers...,Laster inn kunder...
Loading database stats...,Laster inn databasestatistikk...
Loading details...,Laster inn detaljer ...
Loading invoice history...,Laster inn fakturahistorikk...
Loading items...,Laster inn elementer ...
Loading product catalog...,Laster produktkatalog...
Loading return invoices...,Laster inn returfakturaer...
Loading server CPU/memory usage...,Laster server CPU/minnebruk...
Loading suppliers...,Laster leverandører...
Loading unpaid invoices...,Laster inn ubetalte fakturaer...
Loading view...,Laster inn visning...
Loading...,Laster inn...
Local storage is unavailable. Switching to online-only mode.,Lokal lagring er utilgjengelig. Bytter til bare online-modus.
localStorage,lokal lagring
Location Performance,Plasseringsytelse
Locations,Steder
Lock Screen,Låseskjerm
Lookup Workflow,Arbeidsflyt for oppslag
Loss,Tap
Low,Lavt
Low Stock,Lite lager
Low Stock Alerts,Varsler om lavt lager
Low Stock Items,Lite lagervarer
Low Stock Threshold,Lav lagerterskel
Low Stock Total,Lavt lager totalt
Lowest Margin,Laveste margin
