POS Awesome,很棒的POS
Card health after the last live lookup,上次即時查找後的卡片健康狀況
Cards,卡片
Cart,購物車
Cash,現金
Cash back to customers,現金回饋給客戶
Cash Collections,現金託收
Cash Deposit is disabled for this POS Profile.,此 POS 設定檔停用現金存款。
Cash Drawer Snapshot,現金抽屜快照
Cash In Hand,手頭現金
Cash Movement,現金流動
Cash movement cancelled,現金流動取消
Cash movement deduction applied,適用現金流動扣除
Cash movement deleted,現金流動已刪除
Cash movement is disabled for this POS Profile.,此 POS 設定檔停用現金移動。
Cash Movement is disabled in current POS Profile.,目前 POS 設定檔中停用現金移動。
Cash movement saved offline,離線保存現金流動
Cash movement submitted,已提交現金變動
Cash Movements,現金流動
Cash payment cannot be less than invoice total when partial payment is not allowed,不允許部分付款時，現金支付不能少於發票總額
Cash returned after payment,付款後退還現金
Cashier,收銀員
Cashier Access,出納頻道
Cashier identity and appearance preferences.,收銀員的身份和外表偏好。
Cashier PIN,收銀員密碼
Cashier PIN saved successfully.,收銀員密碼已成功保存。
Cashiers,收銀員
Cashier-wise,收銀員明智
Categories,類別
Category,類別
Category / Brand / Variant Report,類別/品牌/變體報告
Category-wise,按類別分類
Category-wise Margin,類別利潤率
Certificate,證書
Certificate is missing or not trusted. QZ may show confirmation dialogs.,證書遺失或不可信。 QZ 可能會顯示確認對話方塊。
Certificate is trusted. Silent QZ printing is active.,證書是可信的。靜默 QZ 列印已啟動。
Change,改變
Change allocation repaired,更改分配已修復
Change Price,更改價格
Change Return,更改退貨
Change Returned,零錢退回
Change terminal cashier,變更航廈收銀員
Charge Heads,充電頭
Charges,收費
Charges not found,未找到費用
Check Balance,檢查餘額
Check balance for any card. Supervisors can issue and top up cards here.,檢查任何卡片的餘額。主管可以在這裡發卡和儲值。
Check balance only,僅檢查餘額
Check for new commits,檢查新的提交
Check for Updates,檢查更新
Check live balance before applying redemption,申請兌換前檢查即時餘額
Check live balance before redemption,兌換前檢查即時餘額
Checking...,正在檢查...
Cheque/Reference Date,支票/參考日期
Cheque/Reference No,支票/參考號
Choose the cashier currently operating this terminal.,選擇目前操作該終端的收銀員。
City,城市
Clear,清除
Clear All,全部清除
Clear all barcode items,清除所有條碼項目
Clear all purchase order items,清除所有採購訂單項目
Clear Search,清除搜尋
Clearing local cache...,正在清除本機快取...
Click to refresh,點擊刷新
Client CPU Lag:,客戶端 CPU 延遲：
Client Memory Usage:,客戶端記憶體使用情況：
Client Metrics,客戶指標
Close about dialog,關閉關於對話框
Close cashier switcher,關閉收銀台開關
Close closing shift dialog,關閉關閉班次對話框
Close column selector,關閉列選擇器
Close Dialog,關閉對話框
Close drafts dialog,關閉草稿對話框
Close invoice details dialog,關閉發票詳細資料對話框
Close invoice management,關閉發票管理
Close offline invoices dialog,關閉離線發票對話框
Close packing list dialog,關閉裝箱單對話框
Close returns dialog,關閉退貨對話框
Close sales orders dialog,關閉銷售訂單對話框
Close Scanner,關閉掃描儀
Close scanner dialog,關閉掃描器對話框
Close Settings,關閉設定
Closing Amount,平倉金額
Closing POS Shift,關閉 POS 班次
Closing Snapshot Available,關閉快照可用
Code,程式碼
Code scanned successfully,掃碼成功
COGS,銷貨成本
Collapse item details,折疊項目詳細信息
Collected,已收集
Cols,科爾斯
Columns,專欄
commits,提交
Completed and active sales in this range,該範圍內已完成且活躍的銷售
Completed returns will appear here.,已完成的退貨將顯示在此。
Confirm,確認
Confirm Close,確認關閉
Confirm Mobile Number,確認手機號碼
Confirm PIN,確認密碼
Connect,連接
Connect printer and manage certificate,連接印表機並管理證書
Connecting to QZ Tray...,正在連接到 QZ 托盤...
Connection problem while submitting invoice,提交發票時出現連線問題
Connections:,連接：
Connectivity and cached prerequisite status were rechecked.,重新檢查連線和快取的先決條件狀態。
Continue Editing,繼續編輯
Could not fetch latest balance from server,無法從伺服器取得最新餘額
Count,計數
Country,國家
Coupon,優惠券
Coupons,優惠券
Cover,封面
CPU Cores:,CPU核心：
Create,創建
Create and load a new prepaid card,建立並載入新的預付卡
Create and preload a new gift card,建立並預先載入新的禮品卡
Create Bill,建立帳單
Create Customer,創建客戶
Create New Item,建立新項目
Create or change your PIN,建立或變更您的 PIN
Create PIN,建立 PIN 碼
Create POS Opening Shift,創建 POS 開放班次
Create Purchase Order,建立採購訂單
Create Return,創造回報
Create return from invoice,從發票建立退貨
Create Supplier,創建供應商
Credit and Output,信用與產出
Credit Note,貸方票據
Credit Outstanding,信用狀況良好
Credit sales remaining to be collected,尚待收取的賒銷
Critical,關鍵
Currency,貨幣
Current,目前
Current Event Loop Lag:,當前事件循環滯後：
Current Month,當月
Current PIN,目前密碼
Current Profile,目前簡介
Current redeemable value on the gift card,禮品卡目前的可兌換價值
Current User,目前用戶
Custom,客製化
Custom Due Days,自訂到期日
Custom items per page,每頁自訂項目
Customer,客戶
Customer already selected,客戶已選擇
Customer Balance,客戶餘額
Customer balance unavailable offline,客戶餘額離線不可用
Customer created successfully.,客戶創建成功。
Customer creation failed.,客戶創建失敗。
Customer Details,客戶詳情
Customer display channel is missing,客戶顯示通道缺失
Customer display was blocked. Please allow pop-ups for this site.,客戶顯示器被屏蔽。請允許該網站彈出視窗。
Customer group is required,客戶群為必填項
Customer is required to add payment,客戶需新增付款
Customer Name is required,客戶姓名為必填項
Customer not selected,未選擇客戶
Customer Report,客戶報告
Customer saved offline,客戶離線保存
Customer Screen,客戶螢幕
Customer territory is required,需要客戶區域
Customer updated successfully.,客戶更新成功。
Customer-facing tools and printer setup.,面向客戶的工具和印表機設定。
Customers,客戶
Customers not found,未找到客戶
Daily cashier actions without scrolling.,日常收銀操作，無需滾動。
Daily Sales,每日銷售額
Daily Sales Summary,每日銷售總結
Data loaded in form. Review and submit.,資料以表單形式載入。審核並提交。
Database Health,資料庫健康狀況
Database health affects overall system speed and reliability.,資料庫的健康狀況會影響整個系統的速度和可靠性。
Database Info,資料庫資訊
Date,日期
Day ?,日？
days,天
Day-wise (MTD),以日計算 (MTD)
Day-wise Movement,每日運動
Dead Stock,滯銷庫存
Dead Stock Items,滯銷商品
Decrease quantity,減少數量
Default,預設
Default:,預設值：
Delete,刪除
Delete cancelled cash movement {0}?,刪除已取消的現金流動 {0}？
Delete Draft,刪除草稿
Delete draft invoice,刪除草稿發票
Delete draft invoice {0}?,刪除草稿發票 {0}？
Delete Invoice,刪除發票
Delete offline invoice,刪除離線發票
Delivered,已交付
Delivery Charges,運費
Delivery Information,配送資訊
Delivery Note {0} created,交貨單 {0} 已創建
Delivery note created,交貨單已創建
Deployed Bundle:,部署的捆綁包：
Deposit,押金
Description,描述
Detailed Supplier Breakdown,詳細的供應商分類
Detecting formats:,檢測格式：
Device Memory:,設備內存：
Difference,差異
Difference (In Company Currency),差異（以公司貨幣計）
Disable offline mode first to recheck live connectivity.,首先停用離線模式以重新檢查即時連線。
Disconnect,斷開連接
discount,折扣
Discount %,折扣%
Discount / Void / Return Report,折扣/作廢/退貨報告
Discount Amount,折扣金額
Discount limited by POS Profile,折扣受 POS 設定檔限制
Discounted Invoices,折扣發票
Discounts,折扣
Dismiss,解僱
Download Certificate,下載證書
Draft,吃水
Draft invoice deleted,草稿發票已刪除
Draft source,草稿來源
Drafts,草稿
Due {0},截止日期：{0}
Due Date,截止日期
Duplicate,重複
Edit customer,編輯客戶
Edit discount amount,編輯折扣金額
Edit discount percentage,編輯折扣百分比
Edit Gift Application,編輯禮物申請
Edit item name,編輯項目名稱
Edit quantity,編輯數量
Edit rate,編輯率
Edit unit of measure,編輯計量單位
Edited,已編輯
Employee,員工
Enable background sync,啟用背景同步
Enable Customer Display in POS Profile first.,首先在 POS 設定檔中啟用客戶顯示。
Enter a PIN.,輸入 PIN 碼。
Enter a valid grams value,輸入有效的克值
Enter new price list rate,輸入新價目表費率
Enter Quantity,輸入數量
Enter the cashier PIN to continue.,輸入收銀員 PIN 碼以繼續。
Enter the current PIN first.,首先輸入目前的 PIN。
"Enter the current PIN, then choose a new one.",輸入目前的 PIN 碼，然後選擇新的 PIN 碼。
Enter valid grams for scale barcode,輸入秤條碼的有效克數
Entries,參賽作品
Error accessing camera:,訪問相機時發生錯誤：
Error calculating prices,計算價格時出錯
Error fetching customer balance,取得客戶餘額時出錯
Error in change calculations!,變化計算錯誤！
Error Loading Data,載入資料時出錯
Error loading invoice details,加載發票詳細資訊時出錯
Error processing invoice,處理發票時發生錯誤
Error processing payment,處理付款時出錯
Error searching invoices,搜尋發票時發生錯誤
Error submitting invoice:,提交發票時發生錯誤：
Error submitting invoice: {0},提交發票時發生錯誤：{0}
Error submitting invoice: No response from server,提交發票時發生錯誤：伺服器沒有回應
Error updating currency,更新貨幣時出錯
Error updating item details,更新商品詳細資訊時出錯
Est. Purchase,預計。購買
Est. Value,預計。價值
Event-loop lag measures how busy your browser is. Lower is better.,事件循環延遲衡量瀏覽器的繁忙程度。越低越好。
Every,每個
Exchange Rate,匯率
Expand item details,展開項目詳細信息
Expected Amount (In Company Currency),預期金額（以公司貨幣計）
Expected Cash,預期現金
Expected cash on hand grouped by currency,按貨幣分組的預期手頭現金
Expected vs Actual,預期與實際
Expense,費用
Expense Account (Optional Override),費用帳戶（可選覆蓋）
Expense account is required.,需要費用帳戶。
Expenses and deposits posted during this shift,本班次期間過帳的費用和押金
Expired,已過期
Failed to auto reconcile payments.,無法自動核對付款。
Failed to cancel cash movement,取消現金流動失敗
Failed to clear cache,清除快取失敗
Failed to create item,建立專案失敗
Failed to create supplier,創建供應商失敗
Failed to delete cash movement,刪除現金流動失敗
Failed to generate scale barcode. Using item barcode only.,產生秤條碼失敗。僅使用商品條碼。
Failed to load cash movement context.,無法載入現金移動上下文。
Failed to load dashboard data.,無法載入儀表板資料。
Failed to reload invoice from server,無法從伺服器重新載入發票
Failed to submit cash movement,無法提交現金變動
Failed to sync offline cash movements,無法同步離線現金變動
Fast cashier actions for active shifts.,快速收銀行動，實現主動輪班。
Fast Moving Items,快速移動的物品
Fees,費用
Fetch the latest offline prerequisite updates,取得最新的離線先決條件更新
Find a sales order quickly and load it into the current sale.,快速尋找銷售訂單並將其加載到當前銷售中。
Fixing payment amounts for return invoice...,修復退貨發票的付款金額...
Flash Off,閃光燈關閉
Flash On,閃光燈開啟
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.",對於「產品捆綁」項目，將從「裝箱單」表中考慮倉庫、序號和批次號。如果任何「產品捆綁」項目的所有包裝項目的倉庫和批次號碼都相同，則可以在主項目表中輸入這些值；值將複製到「裝箱單」表中。
Free,免費
Free Qty,免費數量
Frequency,頻率
from,來自
From Date,開始日期
Fulfillment Details,履行詳情
Full Name,全名
Gain,增益
Generate a fresh prepaid card and start it with an opening balance.,產生一張新的預付卡並以期初餘額開始。
Generate and install the certificate to allow fully silent printing without trust prompts.,產生並安裝憑證以允許完全靜默列印，無需信任提示。
Generate Certificate,產生證書
Generated scale barcode: {0},產生的秤條碼：{0}
Get Payments,獲取付款
Gift Card,禮品卡
Gift card amount must be greater than zero.,禮品卡金額必須大於零。
Gift Card Code,禮品卡代碼
Gift card code is required for redemption,兌換時需要禮品卡代碼
Gift card code is required.,需要禮品卡代碼。
Gift card issued successfully.,禮品卡發放成功。
Gift card loaded successfully.,禮品卡加載成功。
Gift Card Management,禮品卡管理
Gift card payment,禮品卡支付
Gift card redemption requires an online connection,禮品卡兌換需要線上連接
Gift card topped up successfully.,禮品卡儲值成功。
Gift Cards,禮品卡
Go to Frappe Desk,前往冰沙櫃檯
Grand Total,總計
Gross Margin,毛利率
Gross Profit,毛利
Gross Sales,銷售總額
Group not found,找不到組
"Grouped controls for terminal, UI, and session settings.",用於終端機、UI 和會話設定的分組控制項。
Grouped totals for each payment method and currency,每種付款方式和貨幣的分組總計
Hide,隱藏
Hide Gift Card,隱藏禮品卡
Hide Non Essential Fields,隱藏非必需字段
Hide quantity decimals,隱藏數量小數點
Hide search tools,隱藏搜尋工具
Hide zero rated items,隱藏零評級項目
High,高
History,歷史
Hourly (Today),每小時（今天）
How this section works,本部分如何運作
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.",如果仍然存在過時數據，請開啟“設定”>“離線和同步”，然後在線上時再次執行“重建離線資料”。
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.",如果警告仍然存在，請開啟“設定”>“離線和同步”，然後執行“刷新離線資料”或“重建離線資料”。
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,將憑證匯入QZ Tray中，並在每台POS機上重新啟動QZ Tray。
In,在
In stock: {0},庫存：{0}
Include Batch / Serial,包括批量/串行
Include Price,包含價格
Increase quantity,增加數量
IndexedDB,索引資料庫
Initial Amount,初始金額
Initialize your shift with opening balances,使用期初餘額初始化您的班次
Initializing application...,正在初始化應用程式...
"Inspect cache, sync, and prerequisite status",檢查快取、同步和先決條件狀態
Installed Applications,已安裝的應用程式
Insufficient stock:\n{0},庫存不足：\n{0}
Invalid rate,無效率
Inventory Status Report,庫存狀態報告
Invoice,發票
Invoice {0} is Submitted,發票 {0} 已提交
Invoice {0} processed successfully,發票 {0} 已成功處理
Invoice {0} submission failed,發票 {0} 提交失敗
Invoice {0} was already submitted,發票 {0} 已提交
Invoice Adjustments,發票調整
Invoice Change,發票變更
Invoice Details,發票詳情
Invoice is still in draft after background submission.,後台提交後發票仍處於草稿狀態。
Invoice Items,發票項目
Invoice Management,發票管理
Invoice Mgmt,發票管理
Invoice saved offline,發票離線保存
Invoice submission failed,發票提交失敗
Invoice Submitted,發票已提交
"Invoice value settled by loyalty points, not cash collection",發票價值透過忠誠度積分結算，而不是現金收取
Invoices,發票
Invoices already past due date,發票已逾期
Invoices saved as POS Invoices,發票另存為 POS 發票
Invoices still carrying balances,發票仍有餘額
Issue Mode,發行模式
Issue New Card,發行新卡
Issue Workflow,問題工作流程
"Issue, top up, and check",發行、儲值、檢查
Item,專案
Item / Product Sales Report,項目/產品銷售報告
Item {0} added to invoice,項目 {0} 已加入發票中
Item '{0}' has no barcode,商品「{0}」沒有條碼
Item Code,商品代碼
Item created successfully,專案創建成功
Item is out of stock,商品缺貨
Item Name,商品名稱
Item not found,未找到項目
Item order updated,商品訂單已更新
Item Selector Settings,項目選擇器設定
Items,專案
Items added in POS will appear here automatically.,POS 中新增的商品將自動顯示在此。
Items added to invoice,新增到發票的項目
Items per page,每頁項目數
Items Sold,售出物品
Items/Invoice,物品/發票
Item-wise Profitability,逐項獲利能力
Journal Entry,日記條目
json,json
Just now,剛才
Keep offline prerequisites healthy and recover stale data safely.,保持離線先決條件的健康並安全地恢復過時的資料。
Labels,標籤
"Language, theme, terminal tools, and session controls.",語言、主題、終端工具和會話控制。
Last,最後
Last 14 Days (Paid vs Pending),過去 14 天（已付費與待處理）
Last 14 Days Activity,過去 14 天的活動
Last 14 Days Gross Profit,最近 14 天毛利潤
Last 14 Days Purchases,過去 14 天的購買紀錄
Last 14 Days Tax/Charges,過去 14 天稅金/費用
Last sync:,上次同步：
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},上次同步：{0} |好的：{1} |失敗：{2} |跳過：{3}
Latest entries for current shift,目前班次的最新條目
Lead Time,交貨時間
Limited,有限公司
lines,線
List,清單
Live Snapshot,即時快照
Load a POS profile and cashier first.,首先載入 POS 設定檔和收銀員。
Load More Invoices,載入更多發票
Load previously saved invoices,載入先前儲存的發票
Load Sale,載入銷售
Load Sales Invoice,載入銷售發票
Loading app data...,正在載入應用程式資料...
Loading customer database...,正在載入客戶資料庫...
Loading customers...,正在加載客戶...
Loading database stats...,正在載入資料庫統計資料...
Loading details...,正在加載詳細資訊...
Loading invoice history...,正在載入發票記錄...
Loading items...,正在加載項目...
Loading product catalog...,正在載入產品目錄...
Loading return invoices...,正在載入退貨發票...
Loading server CPU/memory usage...,正在載入伺服器 CPU/記憶體使用情況...
Loading suppliers...,正在載入供應商...
Loading unpaid invoices...,正在加載未付發票...
Loading view...,正在載入視圖...
Loading...,正在加載...
Local storage is unavailable. Switching to online-only mode.,本地儲存不可用。切換到僅在線模式。
localStorage,本地儲存
Location Performance,位置表現
Locations,地點
Lock Screen,鎖定畫面
Lookup Workflow,尋找工作流程
Loss,損失
Low,低
Low Stock,庫存不足
Low Stock Alerts,庫存不足警報
Low Stock Items,庫存不足的商品
Low Stock Threshold,庫存門檻低
Low Stock Total,庫存總量低
Lowest Margin,最低保證金
Low-frequency maintenance and system details.,低頻維護和系統細節。
Loyalty Redeemed,忠誠度得到回報
Loyalty Redemption,忠誠度兌換
Make New Payment,進行新付款
Manage all,管理全部
Manage and synchronize your offline transactions,管理和同步您的離線交易
Manage Cashier PIN,管理收銀員 PIN
"Manage offline tools, terminal controls, and maintenance from one workspace.",從一個工作區管理離線工具、終端控制和維護。
manual,手冊
"Manual codes, barcode scans, and QR scans work in the same field",手動編碼、條碼掃描和 QR 掃描在同一領域工作
Manual offline mode is enabled,手動離線模式已啟用
Margin,保證金
Maximum available quantity is {0}. Quantity adjusted to match stock.,最大可用數量為{0}。調整數量以匹配庫存。
Maximum discount amount for this offer item is {0}.,此優惠商品的最大折扣金額為 {0}。
Maximum discount percentage for this offer item is {0}%.,此優惠商品的最大折扣百分比為 {0}%。
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,最大報價數量為 {0}。數量調整至容許限值。
Medium,中等
Method-wise Collections,方法明智的集合
Minimum allowed rate for this offer item is {0}.,此優惠項目允許的最低價格為 {0}。
Minimum Qty,最小數量
Mobile No,手機號碼
Mode,模式
Mode of Payment,付款方式
Month,月
Month ?,月？
Monthly Profit,每月利潤
Monthly Sales,每月銷售額
Monthly Sales Summary,每月銷售總結
Month-wise,按月計算
Most Active Cashiers,最活躍的收銀員
Movement Type,運動類型
Movements,動作
Multi Currency,多幣種
N/A,不適用
Name,名稱
Negative Stock,負庫存
Negative Stock Items,負庫存商品
Negative values not allowed,不允許使用負值
Net,網路
Net Qty,淨數量
Net Sales,淨銷售額
Net Value,淨值
Never,從來沒有
New changes are ready to load,新的更改已準備好加載
New Item,新商品
New Offer Available,新優惠推出
New PIN,新密碼
New rate,新率
Next unit of measure,下一個測量單位
No attribute data found.,未找到屬性資料。
No Barcode,無條碼
No barcode found for UOM '{0}',未找到 UOM“{0}”的條碼
No branch/location data found.,未找到分行/位置資料。
No brand data found.,未找到品牌數據。
No cached gift card balance is available offline.,離線時無法使用快取的禮品卡餘額。
No camera found on this device. Please ensure your device has a working camera.,在此裝置上找不到相機。請確保您的設備有可用的攝影機。
No capability warnings recorded yet.,尚未記錄任何能力警告。
No cash expected for this shift.,這一轉變預計不會有現金。
No cash mode configured,未配置現金模式
No cash movement type is allowed for this POS Profile.,此 POS 設定檔不允許現金移動類型。
No cashier PIN is set yet. Create one now.,尚未設定收銀員密碼。立即建立一個。
No cashier profiles are available for this POS profile yet.,此 POS 設定檔尚無可用的收銀員設定檔。
No cashier-wise discount/void/return activity.,沒有收銀員折扣/作廢/退貨活動。
No category data found.,未找到類別資料。
No category profitability data found.,未找到類別獲利能力數據。
No change returned recorded for this shift.,此班次沒有傳回任何更改記錄。
No change-allocation invoices match the current filters.,沒有與目前過濾器相符的變更分配發票。
No charge head breakdown found.,未發現充電頭故障。
No Company Selected,未選擇公司
No customer sales data found.,未找到客戶銷售資料。
No day-wise discount/void/return trend.,沒有每日折扣/作廢/退貨趨勢。
No day-wise payment data found.,未找到每日付款資料。
No day-wise profitability trend found.,未發現每日獲利趨勢。
No day-wise purchase data found.,未找到每日購買資料。
No day-wise sales trend found.,未發現每日銷售趨勢。
No day-wise tax/charges trend found.,未發現每日稅金/費用趨勢。
No dead stock items.,沒有滯銷商品。
No due date,無截止日期
No exact repair match found for this invoice,找不到與此發票完全匹配的維修
No hourly sales trend found for today.,沒有發現今天每小時的銷售趨勢。
No invoice activity found.,未發現發票活動。
No invoices found,沒有找到發票
No invoices found. Try different search criteria.,沒有找到發票。嘗試不同的搜尋條件。
No invoices recorded for this shift.,此班次沒有記錄任何發票。
No item profitability data found.,未找到商品獲利能力資料。
No item sales data found for this period.,沒有找到該期間的商品銷售數據。
No items found,沒有找到物品
No items in cart,購物車中沒有商品
No items with barcodes to print,沒有條碼的物品可供列印
No location-wise top item data found.,未找到按位置排序的頂級項目資料。
No low stock alerts right now.,目前沒有庫存不足警報。
No low stock items.,沒有庫存不足的商品。
No matching items in cart,購物車中沒有配對的商品
No month-wise sales trend found.,未發現按月計算的銷售趨勢。
No negative stock items.,無負庫存商品。
No notifications yet,還沒有通知
No offline cash movement synced.,沒有同步離線現金流動。
No offline invoices pending synchronization,沒有待同步的離線發票
No offline sync issues recorded yet.,尚未記錄離線同步問題。
No out-of-stock items.,沒有缺貨的商品。
No outstanding credit invoices for this shift.,此班次沒有未清信用發票。
No payment collection data found.,未找到收款資料。
No payment rows available on this invoice.,此發票上沒有可用的付款行。
