POS Awesome,POS מדהים
All Caught Up!,הכל נתפס!
All invoices are synchronized,כל החשבוניות מסונכרנות
All pending invoices are up to date,כל החשבוניות הממתינות מעודכנות
All Profiles,כל הפרופילים
All Synchronized,הכל מסונכרן
All visible invoices are fully settled.,כל החשבוניות הגלויות מסולקות במלואן.
All Warehouses,כל המחסנים
Allowed UOM is {0},UOM מותר הוא {0}
Always fetch items from server (ignore local cache),אחזר תמיד פריטים מהשרת (התעלם מהמטמון המקומי)
Amount,כמות
Amount already received,הסכום כבר התקבל
Amount exceeds profile cash movement max amount.,הסכום חורג מהסכום המקסימלי לתנועת מזומנים בפרופיל.
Amount must be greater than zero.,הסכום חייב להיות גדול מאפס.
Amount received from customer,סכום שהתקבל מהלקוח
Appearance and user-level preferences for the current session.,מראה והעדפות ברמת המשתמש עבור ההפעלה הנוכחית.
Applied,הוחל
Apply,החל
Apply Gift Card,החל כרטיס מתנה
Apply Offer,החל את ההצעה
Apply On,החל ב-
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,החל רק את הסכום שברצונך לפדות על חשבונית זו. היתרה נשארת בכרטיס.
Apply Redemption,החל פדיון
Applying,מגיש בקשה
Apps,אפליקציות
Are you sure you want to close? All entered data will be lost.,האם אתה בטוח שאתה רוצה לסגור? כל הנתונים שהוזנו יאבדו.
Attributes (Size/Color),תכונות (גודל/צבע)
Auto Allocate Payment Amount,הקצאה אוטומטית של סכום תשלום
Auto Reconcile,התאמה אוטומטית
Auto reconciliation completed after payment submit.,התאמה אוטומטית הושלמה לאחר הגשת התשלום.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,התאמה אוטומטית הושלמה. הוקצו: {0}{1}. נותרו ללא תשלום: {0}{2}.
Available Actions,פעולות זמינות
Available QTY,כמות זמינה
Available:,זמין:
Average Basket,סל ממוצע
Average Bill,חשבון ממוצע
Average Ticket,כרטיס ממוצע
Avg Bill,ביל ממוצע
Avg Invoice,חשבונית ממוצעת
Avg Invoice Profit,רווח ממוצע בחשבונית
Avg Invoice Value,ערך חשבונית ממוצע
Avg Purchase Frequency,תדירות רכישה ממוצעת
Awesome,מדהים
Awesome Dashboard,לוח מחוונים מדהים
Awesome Dashboard is disabled for the selected POS Profile.,לוח המחוונים Awesome מושבת עבור פרופיל ה-POS שנבחר.
Awesome Dashboard is unavailable for the selected scope.,מרכז השליטה של ​​Awesome אינו זמין עבור ההיקף שנבחר.
Awesome Dashboard is visible only to POS supervisors.,לוח המחוונים Awesome גלוי רק למפקחי קופה.
Back,חזרה
Back Office Cash Account,חשבון Back Office Cash
Back Office Cash Account (Optional Override),חשבון Back Office Cash (עקיפה אופציונלית)
Back office cash account is required.,יש צורך בחשבון Back Office מזומן.
Back to {0},חזרה אל {0}
Background processing did not finish in time.,עיבוד הרקע לא הסתיים בזמן.
Background processing failed for Invoice {0}: {1},עיבוד הרקע נכשל עבור חשבונית {0}: {1}
Background Submission Failed,הגשת הרקע נכשלה
Background sync interval (seconds),מרווח סנכרון ברקע (שניות)
Balance,איזון
Balance will be updated when connection is restored,היתרה תעודכן כאשר החיבור ישוחזר
Balances still pending,יתרות עדיין ממתינות
Barcode,ברקוד
Barcode / QR Ready,ברקוד / QR מוכן
Barcode Label Printing,הדפסת תווית ברקוד
Base Paid:,בתשלום בסיס:
Base Recv:,Recv בסיס:
Base:,בסיס:
Basic Information,מידע בסיסי
Batch,אצווה
Batch Information,מידע אצווה
Before any return workflow,לפני כל זרימת עבודה חוזרת
Before returns,לפני החזרות
Best Day,היום הכי טוב
Best Seller,רב מכר
Book expense or deposit from active shift.,ספר הוצאה או הפקדה ממשמרת פעילה.
Branch / Location-wise Report,דוח סניף / מיקום
Brand-wise,מבחינה מותגית
Breakdown,התמוטטות
Browse,עיין
Build Time:,זמן בנייה:
Built with Frappe,נבנה עם Frappe
Bundle,צרור
Buying Price,מחיר קנייה
Cache cleared successfully,המטמון נוקה בהצלחה
Cache Usage,שימוש במטמון
cache used,מטמון בשימוש
Calculating...,מחשב...
Camera Access Required,נדרשת גישה למצלמה
Camera access was aborted. Please try again.,הגישה למצלמה בוטלה. אנא נסה שוב.
Camera constraints not supported by your device. Trying fallback settings...,אילוצי מצלמה אינם נתמכים על ידי המכשיר שלך. מנסה הגדרות החלפה...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,המצלמה תפוסה או חסומה על ידי אפליקציה/כרטיסייה אחרת. סגור אפליקציות מצלמה אחרות ונסה שוב.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,הרשאת המצלמה נדחתה. אנא אפשר גישה למצלמה בהגדרות הדפדפן שלך ורענן את הדף.
Camera scanner is locked until the current error is acknowledged,סורק המצלמה נעול עד לאישור השגיאה הנוכחית
Camera started but the video stream did not load in time. Please try again.,המצלמה הופעלה אך זרם הווידאו לא נטען בזמן. אנא נסה שוב.
Cancel cash movement {0}?,לבטל את תנועת המזומנים {0}?
Cancel Payment,בטל תשלום
Cancel Sale,בטל מכירה
Cancel Sale ?,לבטל את המכירה?
Cancelled,בוטלה
Cannot add an item with zero or negative quantity.,לא ניתן להוסיף פריט עם כמות אפס או שלילית.
Cannot clear cache while offline,לא ניתן לנקות את המטמון במצב לא מקוון
Cannot redeem customer credit more than invoice total,לא ניתן לממש אשראי לקוח יותר מסך החשבונית
Cannot redeem gift cards more than invoice total,לא ניתן לממש כרטיסי מתנה יותר מסך החשבונית
Cannot Save Offline Invoice:,לא ניתן לשמור חשבונית לא מקוונת:
Cannot Save Offline Payment:,לא ניתן לשמור תשלום לא מקוון:
Card,כרטיס
Card / Online,כרטיס / אונליין
Card health after the last live lookup,בריאות הכרטיס לאחר חיפוש חי האחרון
Cards,קלפים
Cart,עגלה
Cash,מזומן
Cash back to customers,החזר מזומן ללקוחות
Cash Collections,גביית מזומנים
Cash Deposit is disabled for this POS Profile.,הפקדת מזומן מושבתת עבור פרופיל קופה זה.
Cash Drawer Snapshot,תמונת מצב של מגירת מזומנים
Cash In Hand,מזומן ביד
Cash Movement,תנועת מזומנים
Cash movement cancelled,תנועת מזומנים בוטלה
Cash movement deduction applied,הוחל ניכוי תנועת מזומנים
Cash movement deleted,תנועת מזומנים נמחקה
Cash movement is disabled for this POS Profile.,תנועת מזומנים מושבתת עבור פרופיל קופה זה.
Cash Movement is disabled in current POS Profile.,תנועת מזומנים מושבתת בפרופיל הקופה הנוכחי.
Cash movement saved offline,תנועת מזומנים נשמרה במצב לא מקוון
Cash movement submitted,הוגשה תנועת מזומנים
Cash Movements,תנועות מזומנים
Cash payment cannot be less than invoice total when partial payment is not allowed,תשלום במזומן לא יכול להיות נמוך מסך החשבונית כאשר תשלום חלקי אינו מותר
Cash returned after payment,מזומן הוחזר לאחר התשלום
Cashier,קופאית
Cashier Access,גישה לקופאית
Cashier identity and appearance preferences.,זהות הקופאית והעדפות המראה.
Cashier PIN,PIN של קופאית
Cashier PIN saved successfully.,PIN של הקופאי נשמר בהצלחה.
Cashiers,קופאיות
Cashier-wise,מבחינת הקופאית
Categories,קטגוריות
Category,קטגוריה
Category / Brand / Variant Report,דוח קטגוריה / מותג / וריאציות
Category-wise,מבחינת קטגוריה
Category-wise Margin,שוליים מבחינת קטגוריה
Certificate,תעודה
Certificate is missing or not trusted. QZ may show confirmation dialogs.,אישור חסר או לא מהימן. QZ עשוי להציג תיבות אישור.
Certificate is trusted. Silent QZ printing is active.,תעודה מהימנה. הדפסת QZ שקטה פעילה.
Change,שנה
Change allocation repaired,הקצאת שינוי תוקנה
Change Price,שנה מחיר
Change Return,שנה החזרה
Change Returned,השינוי הוחזר
Change terminal cashier,החלף קופאית מסוף
Charge Heads,ראשי טעינה
Charges,חיובים
Charges not found,חיובים לא נמצאו
Check Balance,בדוק יתרה
Check balance for any card. Supervisors can issue and top up cards here.,בדוק יתרה עבור כל כרטיס. מפקחים יכולים להנפיק ולהטעין כרטיסים כאן.
Check balance only,בדוק יתרה בלבד
Check for new commits,בדוק אם יש התחייבויות חדשות
Check for Updates,בדוק אם קיימים עדכונים
Check live balance before applying redemption,בדוק יתרה חיה לפני החלת מימוש
Check live balance before redemption,בדוק יתרה חיה לפני המימוש
Checking...,בודק...
Cheque/Reference Date,המחאה/תאריך ייחוס
Cheque/Reference No,המחאה/מספר אסמכתא
Choose the cashier currently operating this terminal.,בחר את הקופאית שמפעילה כעת מסוף זה.
City,עיר
Clear,ברור
Clear All,נקה הכל
Clear all barcode items,נקה את כל פריטי הברקוד
Clear all purchase order items,נקה את כל פריטי הזמנת הרכש
Clear Search,נקה חיפוש
Clearing local cache...,מנקה מטמון מקומי...
Click to refresh,לחץ כדי לרענן
Client CPU Lag:,משך מעבד לקוח:
Client Memory Usage:,שימוש בזיכרון הלקוח:
Client Metrics,מדדי לקוח
Close about dialog,סגור על דו-שיח
Close cashier switcher,סגור את מחליף הקופאים
Close closing shift dialog,סגירת תיבת סגירת משמרת
Close column selector,סגור את בורר העמודות
Close Dialog,סגור דיאלוג
Close drafts dialog,סגור תיבת תיבת טיוטות
Close invoice details dialog,סגור את תיבת הדו-שיח של פרטי חשבונית
Close invoice management,ניהול חשבוניות סגור
Close offline invoices dialog,סגור תיבת הדו-שיח של חשבוניות לא מקוונות
Close packing list dialog,סגור דו-שיח של רשימת אריזה
Close returns dialog,סגור דו-שיח החזרות
Close sales orders dialog,סגור תיבת הדו-שיח של הזמנות מכירה
Close Scanner,סגור את הסורק
Close scanner dialog,סגור תיבת הדו-שיח של הסורק
Close Settings,סגור את ההגדרות
Closing Amount,סכום סגירה
Closing POS Shift,סגירת משמרת POS
Closing Snapshot Available,תמונת מצב סגירה זמינה
Code,קוד
Code scanned successfully,הקוד נסרק בהצלחה
COGS,גלגלי שיניים
Collapse item details,כווץ את פרטי הפריט
Collected,נאסף
Cols,קולס
Columns,עמודות
commits,מתחייב
Completed and active sales in this range,מכירות שהושלמו ופעילות בטווח זה
Completed returns will appear here.,החזרות שהושלמו יופיעו כאן.
Confirm,אשר
Confirm Close,אשר סגירה
Confirm Mobile Number,אשר את מספר הנייד
Confirm PIN,אשר את ה-PIN
Connect,התחבר
Connect printer and manage certificate,חבר מדפסת ונהל אישור
Connecting to QZ Tray...,מתחבר למגש QZ...
Connection problem while submitting invoice,בעיית חיבור בעת הגשת חשבונית
Connections:,חיבורים:
Connectivity and cached prerequisite status were rechecked.,קישוריות וסטטוס תנאי מוקדם בקובץ השמור נבדקו מחדש.
Continue Editing,המשך בעריכה
Could not fetch latest balance from server,לא ניתן היה להביא את היתרה האחרונה מהשרת
Count,לספור
Country,מדינה
Coupon,קופון
Coupons,קופונים
Cover,כיסוי
CPU Cores:,ליבות מעבד:
Create,צור
Create and load a new prepaid card,צור וטען כרטיס משולם חדש
Create and preload a new gift card,צור וטען מראש כרטיס מתנה חדש
Create Bill,צור ביל
Create Customer,צור לקוח
Create New Item,צור פריט חדש
Create or change your PIN,צור או שנה את ה-PIN שלך
Create PIN,צור PIN
Create POS Opening Shift,צור משמרת פתיחה לקופה
Create Purchase Order,צור הזמנת רכש
Create Return,צור החזרה
Create return from invoice,צור החזר מחשבונית
Create Supplier,צור ספק
Credit and Output,אשראי ותפוקה
Credit Note,הערת אשראי
Credit Outstanding,אשראי יוצא מן הכלל
Credit sales remaining to be collected,מכירות אשראי נותרו לאיסוף
Critical,קריטי
Currency,מטבע
Current,נוכחי
Current Event Loop Lag:,השהיית לולאת אירוע נוכחית:
Current Month,חודש נוכחי
Current PIN,PIN נוכחי
Current Profile,פרופיל נוכחי
Current redeemable value on the gift card,ערך מימוש נוכחי בכרטיס המתנה
Current User,משתמש נוכחי
Custom,מותאם אישית
Custom Due Days,ימי פירעון מותאמים אישית
Custom items per page,פריטים מותאמים אישית לכל עמוד
Customer,לקוח
Customer already selected,הלקוח כבר נבחר
Customer Balance,יתרת לקוחות
Customer balance unavailable offline,יתרת הלקוח לא זמינה במצב לא מקוון
Customer created successfully.,הלקוח נוצר בהצלחה.
Customer creation failed.,יצירת הלקוח נכשלה.
Customer Details,פרטי לקוח
Customer display channel is missing,ערוץ תצוגת הלקוח חסר
Customer display was blocked. Please allow pop-ups for this site.,תצוגת הלקוח נחסמה. אנא אפשר חלונות קופצים עבור אתר זה.
Customer group is required,נדרשת קבוצת לקוחות
Customer is required to add payment,הלקוח נדרש להוסיף תשלום
Customer Name is required,נדרש שם לקוח
Customer not selected,לקוח לא נבחר
Customer Report,דוח לקוח
Customer saved offline,הלקוח נשמר במצב לא מקוון
Customer Screen,מסך לקוח
Customer territory is required,יש צורך בטריטוריה של לקוחות
Customer updated successfully.,הלקוח עודכן בהצלחה.
Customer-facing tools and printer setup.,כלים מול לקוחות והגדרת מדפסת.
Customers,לקוחות
Customers not found,לקוחות לא נמצאו
Daily cashier actions without scrolling.,פעולות קופאיות יומיות ללא גלילה.
Daily Sales,מכירות יומיות
Daily Sales Summary,סיכום מכירות יומי
Data loaded in form. Review and submit.,נתונים נטענים בטופס. בדוק ושלח.
Database Health,בריאות מסד הנתונים
Database health affects overall system speed and reliability.,תקינות מסד הנתונים משפיעה על מהירות ואמינות המערכת הכוללת.
Database Info,מידע על מסד נתונים
Date,תאריך
Day ?,יום?
days,ימים
Day-wise (MTD),מבחינת יום (MTD)
Day-wise Movement,תנועה חכמת יום
Dead Stock,מלאי מת
Dead Stock Items,פריטי מלאי מתים
Decrease quantity,הקטנת כמות
Default,ברירת מחדל
Default:,ברירת מחדל:
Delete,מחק
Delete cancelled cash movement {0}?,למחוק את תנועת המזומנים שבוטלה {0}?
Delete Draft,מחק טיוטה
Delete draft invoice,מחק טיוטת חשבונית
Delete draft invoice {0}?,למחוק את טיוטת החשבונית {0}?
Delete Invoice,מחק חשבונית
Delete offline invoice,מחק חשבונית לא מקוונת
Delivered,נמסר
Delivery Charges,דמי משלוח
Delivery Information,מידע על משלוח
Delivery Note {0} created,הערת משלוח {0} נוצרה
Delivery note created,נוצרה תעודת משלוח
Deployed Bundle:,חבילה פרוסה:
Deposit,פיקדון
Description,תיאור
Detailed Supplier Breakdown,פירוט מפורט של ספקים
Detecting formats:,זיהוי פורמטים:
Device Memory:,זיכרון המכשיר:
Difference,הבדל
Difference (In Company Currency),הבדל (במטבע החברה)
Disable offline mode first to recheck live connectivity.,השבת תחילה מצב לא מקוון כדי לבדוק מחדש קישוריות חיה.
Disconnect,התנתק
discount,הנחה
Discount %,% הנחה
Discount / Void / Return Report,דוח הנחה / בטל / החזרה
Discount Amount,סכום הנחה
Discount limited by POS Profile,ההנחה מוגבלת על ידי פרופיל POS
Discounted Invoices,חשבוניות מוזלות
Discounts,הנחות
Dismiss,לבטל
Download Certificate,הורד תעודה
Draft,טיוטה
Draft invoice deleted,טיוטת החשבונית נמחקה
Draft source,מקור טיוטת
Drafts,טיוטות
Due {0},תאריך היעד {0}
Due Date,תאריך יעד
Duplicate,שכפול
Edit customer,ערוך לקוח
Edit discount amount,ערוך את סכום ההנחה
Edit discount percentage,ערוך אחוז הנחה
Edit Gift Application,ערוך יישום מתנה
Edit item name,ערוך את שם הפריט
Edit quantity,ערוך כמות
Edit rate,ערוך שיעור
Edit unit of measure,ערוך יחידת מידה
Edited,ערוך
Employee,עובד
Enable background sync,אפשר סנכרון ברקע
Enable Customer Display in POS Profile first.,הפעל תחילה תצוגת לקוחות בפרופיל קופה.
Enter a PIN.,הזן PIN.
Enter a valid grams value,הזן ערך גרם חוקי
Enter new price list rate,הזן תעריף מחירון חדש
Enter Quantity,הזן כמות
Enter the cashier PIN to continue.,הזן את ה-PIN של הקופאי כדי להמשיך.
Enter the current PIN first.,הזן תחילה את ה-PIN הנוכחי.
"Enter the current PIN, then choose a new one.",הזן את ה-PIN הנוכחי ולאחר מכן בחר קוד חדש.
Enter valid grams for scale barcode,הזן גרמים חוקיים לברקוד בקנה מידה
Entries,ערכים
Error accessing camera:,שגיאה בגישה למצלמה:
Error calculating prices,שגיאה בחישוב מחירים
Error fetching customer balance,שגיאה באחזור יתרת הלקוח
Error in change calculations!,טעות בחישובי שינוי!
Error Loading Data,שגיאה בטעינת נתונים
Error loading invoice details,שגיאה בטעינת פרטי החשבונית
Error processing invoice,שגיאה בעיבוד החשבונית
Error processing payment,שגיאה בעיבוד התשלום
Error searching invoices,שגיאה בחיפוש חשבוניות
Error submitting invoice:,שגיאה בהגשת חשבונית:
Error submitting invoice: {0},שגיאה בהגשת חשבונית: {0}
Error submitting invoice: No response from server,שגיאה בהגשת חשבונית: אין תגובה מהשרת
Error updating currency,שגיאה בעדכון המטבע
Error updating item details,שגיאה בעדכון פרטי הפריט
Est. Purchase,הערכה רכישה
Est. Value,הערכה ערך
Event-loop lag measures how busy your browser is. Lower is better.,השהיה של לולאת אירוע מודד עד כמה הדפדפן שלך עמוס. נמוך יותר עדיף.
Every,כל
Exchange Rate,שער חליפין
Expand item details,הרחב את פרטי הפריט
Expected Amount (In Company Currency),סכום צפוי (במטבע החברה)
Expected Cash,מזומן צפוי
Expected cash on hand grouped by currency,מזומנים צפויים ביד מקובצים לפי מטבע
Expected vs Actual,צפוי לעומת בפועל
Expense,הוצאה
Expense Account (Optional Override),חשבון הוצאות (עקיפה אופציונלית)
Expense account is required.,נדרש חשבון הוצאות.
Expenses and deposits posted during this shift,הוצאות והפקדות שנרשמו במהלך משמרת זו
Expired,פג תוקף
Failed to auto reconcile payments.,התאמה אוטומטית של תשלומים נכשלה.
Failed to cancel cash movement,ביטול תנועת המזומנים נכשל
Failed to clear cache,ניקוי המטמון נכשל
Failed to create item,יצירת הפריט נכשלה
Failed to create supplier,יצירת הספק נכשלה
Failed to delete cash movement,מחיקת תנועת המזומנים נכשלה
Failed to generate scale barcode. Using item barcode only.,יצירת ברקוד בקנה מידה נכשל. שימוש בברקוד פריט בלבד.
Failed to load cash movement context.,טעינת ההקשר של תנועת המזומנים נכשלה.
Failed to load dashboard data.,טעינת נתוני לוח המחוונים נכשלה.
Failed to reload invoice from server,הטעינה מחדש של החשבונית מהשרת נכשלה
Failed to submit cash movement,הגשת תנועת המזומנים נכשלה
Failed to sync offline cash movements,הסנכרון של תנועות מזומנים לא מקוונות נכשל
Fast cashier actions for active shifts.,פעולות קופאיות מהירות למשמרות פעילות.
Fast Moving Items,פריטים נעים במהירות
Fees,עמלות
Fetch the latest offline prerequisite updates,אחזר את העדכונים האחרונים של דרישות קדם לא מקוונות
Find a sales order quickly and load it into the current sale.,מצא הזמנת מכירה במהירות וטען אותה למכירה הנוכחית.
Fixing payment amounts for return invoice...,תיקון סכומי תשלום עבור חשבונית החזרה...
Flash Off,פלאש כבוי
Flash On,Flash On
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","עבור פריטי 'חבילת מוצרים', מחסן, מס' סידורי ומספר אצווה ייחשבו מהטבלה 'רשימת האריזה'. אם מחסן ומספר אצווה זהים עבור כל פריטי האריזה עבור כל פריט 'חבילת מוצרים', ניתן להזין ערכים אלו בטבלת הפריטים הראשית; הערכים יועתקו לטבלת 'רשימת אריזה'."
Free,חינם
Free Qty,כמות חינם
Frequency,תדירות
from,מ
From Date,מתאריך
Fulfillment Details,פרטי הגשמה
Full Name,שם מלא
Gain,רווח
Generate a fresh prepaid card and start it with an opening balance.,צור כרטיס משולם חדש והתחל אותו עם יתרת פתיחה.
Generate and install the certificate to allow fully silent printing without trust prompts.,הפק והתקן את האישור כדי לאפשר הדפסה שקטה לחלוטין ללא הנחיות אמון.
Generate Certificate,צור תעודה
Generated scale barcode: {0},ברקוד בקנה מידה שנוצר: {0}
Get Payments,קבל תשלומים
Gift Card,כרטיס מתנה
Gift card amount must be greater than zero.,סכום כרטיס המתנה חייב להיות גדול מאפס.
Gift Card Code,קוד כרטיס מתנה
Gift card code is required for redemption,קוד כרטיס מתנה נדרש למימוש
Gift card code is required.,קוד כרטיס מתנה נדרש.
Gift card issued successfully.,כרטיס מתנה הונפק בהצלחה.
Gift card loaded successfully.,כרטיס המתנה נטען בהצלחה.
Gift Card Management,ניהול כרטיסי מתנה
Gift card payment,תשלום בכרטיס מתנה
Gift card redemption requires an online connection,מימוש כרטיס מתנה דורש חיבור מקוון
Gift card topped up successfully.,כרטיס המתנה הוטען בהצלחה.
Gift Cards,כרטיסי מתנה
Go to Frappe Desk,לך ל-Frappe Desk
Grand Total,סך הכל
Gross Margin,רווח גולמי
Gross Profit,רווח גולמי
Gross Sales,מכירות ברוטו
Group not found,הקבוצה לא נמצאה
"Grouped controls for terminal, UI, and session settings.","פקדים מקובצים עבור הגדרות מסוף, ממשק משתמש והפעלה."
Grouped totals for each payment method and currency,סיכומים מקובצים עבור כל אמצעי תשלום ומטבע
Hide,הסתר
Hide Gift Card,הסתר כרטיס מתנה
Hide Non Essential Fields,הסתר שדות לא חיוניים
Hide quantity decimals,הסתר כמות עשרונית
Hide search tools,הסתר כלי חיפוש
Hide zero rated items,הסתר פריטים בדירוג אפס
High,גבוה
History,היסטוריה
Hourly (Today),מדי שעה (היום)
How this section works,איך הקטע הזה עובד
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","אם נותרו נתונים מיושנים, פתח את 'הגדרות' > 'לא מקוון וסנכרון' והפעל שוב 'בנה מחדש נתונים לא מקוונים' תוך כדי חיבור לאינטרנט."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","אם האזהרה נמשכת, פתח את הגדרות > לא מקוון וסנכרון, ואז הפעל רענן נתונים לא מקוונים או בנה מחדש נתונים לא מקוונים."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,ייבא את האישור למגש QZ והפעל מחדש את מגש QZ בכל מכונת קופה.
In,ב
In stock: {0},במלאי: {0}
Include Batch / Serial,כלול אצווה / סדרתי
Include Price,כולל מחיר
Increase quantity,הגדל כמות
IndexedDB,IndexedDB
Initial Amount,סכום ראשוני
Initialize your shift with opening balances,אתחל את המשמרת שלך עם יתרות פתיחה
Initializing application...,מאתחל את היישום...
"Inspect cache, sync, and prerequisite status","בדוק את המטמון, הסנכרון והסטטוס הדרוש"
Installed Applications,אפליקציות מותקנות
Insufficient stock:\n{0},מלאי לא מספיק:\n{0}
Invalid rate,תעריף לא חוקי
Inventory Status Report,דוח מצב מלאי
Invoice,חשבונית
Invoice {0} is Submitted,החשבונית {0} הוגשה
Invoice {0} processed successfully,חשבונית {0} עובדה בהצלחה
Invoice {0} submission failed,הגשת החשבונית {0} נכשלה
Invoice {0} was already submitted,חשבונית {0} כבר נשלחה
Invoice Adjustments,התאמות חשבוניות
Invoice Change,שינוי חשבונית
Invoice Details,פרטי חשבונית
Invoice is still in draft after background submission.,החשבונית עדיין בטיוטה לאחר הגשת הרקע.
Invoice Items,פריטי חשבונית
Invoice Management,ניהול חשבוניות
Invoice Mgmt,ניהול חשבונית
Invoice saved offline,החשבונית נשמרה במצב לא מקוון
Invoice submission failed,הגשת החשבונית נכשלה
Invoice Submitted,החשבונית הוגשה
"Invoice value settled by loyalty points, not cash collection","ערך החשבונית נקבע לפי נקודות נאמנות, לא גביית מזומן"
Invoices,חשבוניות
Invoices already past due date,חשבוניות שכבר עבר תאריך פירעון
Invoices saved as POS Invoices,חשבוניות נשמרו כחשבוניות קופה
Invoices still carrying balances,חשבוניות עדיין נושאות יתרות
Issue Mode,מצב בעיה
Issue New Card,הנפק כרטיס חדש
Issue Workflow,זרימת עבודה של בעיה
"Issue, top up, and check","הנפק, הטען ובדוק"
Item,פריט
Item / Product Sales Report,דוח מכירת פריט/מוצר
Item {0} added to invoice,פריט {0} נוסף לחשבונית
Item '{0}' has no barcode,לפריט '{0}' אין ברקוד
Item Code,קוד פריט
Item created successfully,הפריט נוצר בהצלחה
Item is out of stock,הפריט אזל מהמלאי
Item Name,שם פריט
Item not found,פריט לא נמצא
Item order updated,הזמנת הפריט עודכנה
Item Selector Settings,הגדרות בורר פריטים
Items,פריטים
Items added in POS will appear here automatically.,פריטים שנוספו בקופה יופיעו כאן באופן אוטומטי.
Items added to invoice,פריטים נוספו לחשבונית
Items per page,פריטים לכל עמוד
Items Sold,פריטים שנמכרו
Items/Invoice,פריטים/חשבונית
Item-wise Profitability,רווחיות מבחינת פריט
Journal Entry,ערך יומן
json,json
Just now,רק עכשיו
Keep offline prerequisites healthy and recover stale data safely.,שמור על תנאים מוקדמים במצב לא מקוון בריאים ושחזור נתונים מיושנים בבטחה.
Labels,תוויות
"Language, theme, terminal tools, and session controls.","שפה, ערכת נושא, כלים מסוף ובקרות הפעלה."
Last,אחרון
