POS Awesome,POS عالی
All invoices are synchronized,تمام فاکتورها هماهنگ هستند
All pending invoices are up to date,تمام فاکتورهای معلق به روز هستند
All Profiles,همه پروفایل ها
All Synchronized,همه همگام شده
All visible invoices are fully settled.,تمام فاکتورهای قابل مشاهده به طور کامل تسویه شده است.
All Warehouses,کلیه انبارها
Allowed UOM is {0},UOM مجاز {0} است
Always fetch items from server (ignore local cache),همیشه موارد را از سرور واکشی کنید (از کش محلی صرف نظر کنید)
Amount,مقدار
Amount already received,مبلغ قبلاً دریافت شده است
Amount exceeds profile cash movement max amount.,مقدار از حداکثر مقدار حرکت نقدی نمایه بیشتر است.
Amount must be greater than zero.,مقدار باید بیشتر از صفر باشد.
Amount received from customer,مبلغ دریافتی از مشتری
Appearance and user-level preferences for the current session.,تنظیمات ظاهری و سطح کاربر برای جلسه فعلی.
Applied,اعمال شد
Apply,درخواست کنید
Apply Gift Card,درخواست کارت هدیه
Apply Offer,درخواست پیشنهاد
Apply On,درخواست روشن
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,فقط مبلغی را که می خواهید بازخرید کنید در این فاکتور اعمال کنید. باقی مانده موجودی روی کارت باقی می ماند.
Apply Redemption,Redemption را اعمال کنید
Applying,اعمال کردن
Apps,برنامه ها
Are you sure you want to close? All entered data will be lost.,آیا مطمئن هستید که می خواهید ببندید؟ تمام داده های وارد شده از بین خواهند رفت.
Attributes (Size/Color),ویژگی ها (اندازه/رنگ)
Auto Allocate Payment Amount,تخصیص خودکار مبلغ پرداخت
Auto Reconcile,آشتی خودکار
Auto reconciliation completed after payment submit.,تطبیق خودکار پس از ارسال پرداخت تکمیل شد.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,تطبیق خودکار تکمیل شد. اختصاص داده شده: {0}{1}. برجسته باقی مانده است: {0}{2}.
Available Actions,اقدامات موجود
Available QTY,QTY موجود است
Available:,موجود:
Average Basket,میانگین سبد
Average Bill,صورت حساب متوسط
Average Ticket,بلیط متوسط
Avg Bill,میانگین بیل
Avg Invoice,میانگین فاکتور
Avg Invoice Profit,میانگین سود فاکتور
Avg Invoice Value,میانگین ارزش فاکتور
Avg Purchase Frequency,میانگین فرکانس خرید
Awesome,عالیه
Awesome Dashboard,داشبورد عالی
Awesome Dashboard is disabled for the selected POS Profile.,داشبورد عالی برای نمایه POS انتخاب شده غیرفعال است.
Awesome Dashboard is unavailable for the selected scope.,داشبورد عالی برای محدوده انتخابی در دسترس نیست.
Awesome Dashboard is visible only to POS supervisors.,داشبورد عالی فقط برای سرپرستان POS قابل مشاهده است.
Back,برگشت
Back Office Cash Account,حساب بک آفیس نقدی
Back Office Cash Account (Optional Override),حساب بک آفیس نقدی (نسخ اختیاری)
Back office cash account is required.,حساب بک آفیس نقدی مورد نیاز است.
Back to {0},بازگشت به {0}
Background processing did not finish in time.,پردازش پس‌زمینه به موقع تمام نشد.
Background processing failed for Invoice {0}: {1},پردازش پس‌زمینه برای فاکتور {0} ناموفق بود: {1}
Background Submission Failed,ارسال پس‌زمینه انجام نشد
Background sync interval (seconds),فاصله همگام سازی پس زمینه (ثانیه)
Balance,تعادل
Balance will be updated when connection is restored,با بازیابی اتصال، موجودی به‌روزرسانی می‌شود
Balances still pending,مانده ها هنوز معلق است
Barcode,بارکد
Barcode / QR Ready,بارکد / QR آماده است
Barcode Label Printing,چاپ لیبل بارکد
Base Paid:,پایه پرداختی:
Base Recv:,رکورد پایه:
Base:,پایه:
Basic Information,اطلاعات پایه
Batch,دسته ای
Batch Information,اطلاعات دسته ای
Before any return workflow,قبل از هر گردش کار بازگشت
Before returns,قبل از بازگشت
Best Day,بهترین روز
Best Seller,پرفروش ترین
Book expense or deposit from active shift.,هزینه کتاب یا واریز از شیفت فعال.
Branch / Location-wise Report,گزارش شعبه / موقعیت مکانی
Brand-wise,برند عاقلانه
Breakdown,خرابی
Browse,مرور کنید
Build Time:,زمان ساخت:
Built with Frappe,ساخته شده با فراپه
Bundle,بسته نرم افزاری
Buying Price,قیمت خرید
Cache cleared successfully,کش با موفقیت پاک شد
Cache Usage,استفاده از کش
cache used,کش استفاده شده است
Calculating...,در حال محاسبه...
Camera Access Required,دسترسی به دوربین مورد نیاز است
Camera access was aborted. Please try again.,دسترسی به دوربین قطع شد. لطفا دوباره امتحان کنید.
Camera constraints not supported by your device. Trying fallback settings...,محدودیت های دوربین توسط دستگاه شما پشتیبانی نمی شود. در حال امتحان تنظیمات بازگشتی...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,دوربین توسط برنامه/برگه دیگری مشغول یا مسدود شده است. سایر برنامه های دوربین را ببندید و دوباره امتحان کنید.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,اجازه دوربین رد شد. لطفاً اجازه دسترسی به دوربین را در تنظیمات مرورگر خود بدهید و صفحه را بازخوانی کنید.
Camera scanner is locked until the current error is acknowledged,اسکنر دوربین تا زمانی که خطای فعلی تایید نشود قفل می شود
Camera started but the video stream did not load in time. Please try again.,دوربین شروع به کار کرد اما پخش جریانی ویدیو به موقع بارگیری نشد. لطفا دوباره امتحان کنید.
Cancel cash movement {0}?,حرکت نقدی {0} لغو شود؟
Cancel Payment,لغو پرداخت
Cancel Sale,لغو فروش
Cancel Sale ?,لغو فروش؟
Cancelled,لغو شد
Cannot add an item with zero or negative quantity.,نمی توان یک مورد با مقدار صفر یا منفی اضافه کرد.
Cannot clear cache while offline,هنگام آفلاین نمی توان حافظه پنهان را پاک کرد
Cannot redeem customer credit more than invoice total,نمی توان اعتبار مشتری را بیش از کل فاکتور بازخرید کرد
Cannot redeem gift cards more than invoice total,نمی‌توان کارت‌های هدیه را بیش از کل فاکتور بازخرید کرد
Cannot Save Offline Invoice:,فاکتور آفلاین ذخیره نمی شود:
Cannot Save Offline Payment:,نمی توان پرداخت آفلاین را ذخیره کرد:
Card,کارت
Card / Online,کارت / آنلاین
Card health after the last live lookup,سلامت کارت پس از آخرین جستجوی زنده
Cards,کارت ها
Cart,سبد خرید
Cash,پول نقد
Cash back to customers,برگشت پول نقد به مشتریان
Cash Collections,مجموعه های نقدی
Cash Deposit is disabled for this POS Profile.,سپرده نقدی برای این نمایه POS غیرفعال است.
Cash Drawer Snapshot,عکس فوری کشو نقدی
Cash In Hand,پول نقد در دست
Cash Movement,جنبش نقدی
Cash movement cancelled,حرکت نقدی لغو شد
Cash movement deduction applied,کسر حرکت نقدی اعمال شد
Cash movement deleted,حرکت نقدی حذف شد
Cash movement is disabled for this POS Profile.,جابجایی پول نقد برای این نمایه POS غیرفعال است.
Cash Movement is disabled in current POS Profile.,حرکت نقدی در نمایه POS فعلی غیرفعال است.
Cash movement saved offline,حرکت پول نقد به صورت آفلاین ذخیره شد
Cash movement submitted,حرکت نقدی ارسال شد
Cash Movements,حرکات نقدی
Cash payment cannot be less than invoice total when partial payment is not allowed,در صورتی که پرداخت جزئی مجاز نباشد، پرداخت نقدی نمی تواند کمتر از کل فاکتور باشد
Cash returned after payment,پول نقد پس از پرداخت برگشت داده می شود
Cashier,صندوقدار
Cashier Access,دسترسی صندوقدار
Cashier identity and appearance preferences.,هویت صندوقدار و ترجیحات ظاهری.
Cashier PIN,پین صندوقدار
Cashier PIN saved successfully.,پین صندوقدار با موفقیت ذخیره شد.
Cashiers,صندوقدارها
Cashier-wise,صندوقدار
Categories,دسته بندی ها
Category,دسته بندی
Category / Brand / Variant Report,گزارش رده / نام تجاری / متغیر
Category-wise,از نظر دسته بندی
Category-wise Margin,حاشیه از نظر دسته بندی
Certificate,گواهی
Certificate is missing or not trusted. QZ may show confirmation dialogs.,گواهی مفقود است یا قابل اعتماد نیست. QZ ممکن است گفتگوهای تأیید را نشان دهد.
Certificate is trusted. Silent QZ printing is active.,گواهی قابل اعتماد است. چاپ QZ خاموش فعال است.
Change,تغییر دهید
Change allocation repaired,تخصیص تغییر تعمیر شد
Change Price,تغییر قیمت
Change Return,تغییر بازگشت
Change Returned,تغییر برگشت
Change terminal cashier,صندوق ترمینال را عوض کنید
Charge Heads,سر شارژ
Charges,اتهامات
Charges not found,اتهامات پیدا نشد
Check Balance,تعادل را بررسی کنید
Check balance for any card. Supervisors can issue and top up cards here.,موجودی هر کارت را بررسی کنید. سرپرستان می‌توانند در اینجا کارت صادر و شارژ کنند.
Check balance only,فقط موجودی را بررسی کنید
Check for new commits,کامیت های جدید را بررسی کنید
Check for Updates,به روز رسانی ها را بررسی کنید
Check live balance before applying redemption,قبل از اعمال بازخرید، تعادل زنده را بررسی کنید
Check live balance before redemption,قبل از بازخرید موجودی زنده را بررسی کنید
Checking...,در حال بررسی...
Cheque/Reference Date,تاریخ چک / مرجع
Cheque/Reference No,شماره چک/مرجع
Choose the cashier currently operating this terminal.,صندوقدار را انتخاب کنید که در حال حاضر این پایانه را اداره می کند.
City,شهر
Clear,پاک کردن
Clear All,پاک کردن همه
Clear all barcode items,تمام موارد بارکد را پاک کنید
Clear all purchase order items,تمام موارد سفارش خرید را پاک کنید
Clear Search,جستجو را پاک کنید
Clearing local cache...,در حال پاک کردن حافظه پنهان محلی...
Click to refresh,برای بازخوانی کلیک کنید
Client CPU Lag:,تاخیر CPU مشتری:
Client Memory Usage:,استفاده از حافظه مشتری:
Client Metrics,معیارهای مشتری
Close about dialog,بستن درباره گفتگو
Close cashier switcher,تعویض صندوقدار را ببندید
Close closing shift dialog,بستن گفتگوی shift
Close column selector,انتخابگر ستون را ببندید
Close Dialog,بستن دیالوگ
Close drafts dialog,بستن گفتگوی پیش نویس ها
Close invoice details dialog,بستن گفتگوی جزئیات فاکتور
Close invoice management,مدیریت فاکتور را ببندید
Close offline invoices dialog,گفتگوی فاکتورهای آفلاین را ببندید
Close packing list dialog,بستن گفتگوی لیست بسته بندی
Close returns dialog,بستن گفتگوی بازگشت
Close sales orders dialog,بستن گفتگوی سفارشات فروش
Close Scanner,بستن اسکنر
Close scanner dialog,بستن گفتگوی اسکنر
Close Settings,تنظیمات را ببندید
Closing Amount,مبلغ بسته شدن
Closing POS Shift,بستن POS Shift
Closing Snapshot Available,بسته شدن عکس فوری موجود است
Code,کد
Code scanned successfully,کد با موفقیت اسکن شد
COGS,COGS
Collapse item details,کوچک کردن جزئیات مورد
Collected,جمع آوری شد
Cols,سرهنگ ها
Columns,ستون ها
commits,متعهد می شود
Completed and active sales in this range,فروش کامل و فعال در این محدوده
Completed returns will appear here.,بازگشت های تکمیل شده در اینجا ظاهر می شود.
Confirm,تایید کنید
Confirm Close,بستن را تایید کنید
Confirm Mobile Number,شماره موبایل را تایید کنید
Confirm PIN,پین را تایید کنید
Connect,اتصال
Connect printer and manage certificate,چاپگر را وصل کنید و گواهی را مدیریت کنید
Connecting to QZ Tray...,در حال اتصال به سینی QZ...
Connection problem while submitting invoice,مشکل اتصال هنگام ارسال فاکتور
Connections:,اتصالات:
Connectivity and cached prerequisite status were rechecked.,اتصال و وضعیت پیش نیاز حافظه پنهان مجدداً بررسی شد.
Continue Editing,ادامه ویرایش
Could not fetch latest balance from server,آخرین موجودی از سرور دریافت نشد
Count,بشمار
Country,کشور
Coupon,کوپن
Coupons,کوپن
Cover,پوشش
CPU Cores:,هسته های CPU:
Create,ایجاد کنید
Create and load a new prepaid card,یک کارت اعتباری جدید ایجاد و بارگیری کنید
Create and preload a new gift card,یک کارت هدیه جدید ایجاد و از قبل بارگیری کنید
Create Bill,بیل ایجاد کنید
Create Customer,مشتری ایجاد کنید
Create New Item,آیتم جدید ایجاد کنید
Create or change your PIN,پین خود را ایجاد یا تغییر دهید
Create PIN,پین ایجاد کنید
Create POS Opening Shift,Pos Opening Shift را ایجاد کنید
Create Purchase Order,ایجاد سفارش خرید
Create Return,ایجاد بازگشت
Create return from invoice,ایجاد بازگشت از فاکتور
Create Supplier,تامین کننده ایجاد کنید
Credit and Output,اعتبار و خروجی
Credit Note,یادداشت اعتباری
Credit Outstanding,اعتبار معوق
Credit sales remaining to be collected,فروش اعتباری باقی مانده است که باید جمع آوری شود
Critical,انتقادی
Currency,ارز
Current,فعلی
Current Event Loop Lag:,تاخیر حلقه رویداد فعلی:
Current Month,ماه جاری
Current PIN,پین فعلی
Current Profile,نمایه فعلی
Current redeemable value on the gift card,ارزش قابل بازخرید فعلی در کارت هدیه
Current User,کاربر فعلی
Custom,سفارشی
Custom Due Days,روزهای سررسید سفارشی
Custom items per page,موارد سفارشی در هر صفحه
Customer,مشتری
Customer already selected,مشتری قبلاً انتخاب شده است
Customer Balance,موجودی مشتری
Customer balance unavailable offline,موجودی مشتری به صورت آفلاین در دسترس نیست
Customer created successfully.,مشتری با موفقیت ایجاد شد.
Customer creation failed.,ایجاد مشتری ناموفق بود.
Customer Details,جزئیات مشتری
Customer display channel is missing,کانال نمایش مشتری وجود ندارد
Customer display was blocked. Please allow pop-ups for this site.,نمایش مشتری مسدود شد. لطفاً پنجره های بازشو را برای این سایت مجاز کنید.
Customer group is required,گروه مشتری الزامی است
Customer is required to add payment,مشتری ملزم به اضافه کردن پرداخت است
Customer Name is required,نام مشتری الزامی است
Customer not selected,مشتری انتخاب نشده است
Customer Report,گزارش مشتری
Customer saved offline,مشتری به صورت آفلاین ذخیره شد
Customer Screen,صفحه نمایش مشتری
Customer territory is required,قلمرو مشتری مورد نیاز است
Customer updated successfully.,مشتری با موفقیت به روز شد.
Customer-facing tools and printer setup.,ابزارهای رو به مشتری و تنظیم چاپگر.
Customers,مشتریان
Customers not found,مشتریان پیدا نشد
Daily cashier actions without scrolling.,اقدامات صندوقدار روزانه بدون پیمایش.
Daily Sales,فروش روزانه
Daily Sales Summary,خلاصه فروش روزانه
Data loaded in form. Review and submit.,داده ها در فرم بارگذاری شده اند. بررسی و ارسال کنید.
Database Health,پایگاه داده سلامت
Database health affects overall system speed and reliability.,سلامت پایگاه داده بر سرعت و قابلیت اطمینان کلی سیستم تأثیر می گذارد.
Database Info,اطلاعات پایگاه داده
Date,تاریخ
Day ?,روز؟
days,روز
Day-wise (MTD),روزانه (MTD)
Day-wise Movement,جنبش روزانه
Dead Stock,سهام مرده
Dead Stock Items,اقلام سهام مرده
Decrease quantity,مقدار را کاهش دهید
Default,پیش فرض
Default:,پیش فرض:
Delete,حذف کنید
Delete cancelled cash movement {0}?,حرکت نقدی لغو شده {0} حذف شود؟
Delete Draft,حذف پیش نویس
Delete draft invoice,حذف پیش نویس فاکتور
Delete draft invoice {0}?,پیش نویس فاکتور {0} حذف شود؟
Delete Invoice,حذف فاکتور
Delete offline invoice,فاکتور آفلاین را حذف کنید
Delivered,تحویل داده شد
Delivery Charges,هزینه های تحویل
Delivery Information,اطلاعات تحویل
Delivery Note {0} created,یادداشت تحویل {0} ایجاد شد
Delivery note created,یادداشت تحویل ایجاد شد
Deployed Bundle:,بسته توسعه یافته:
Deposit,سپرده گذاری
Description,توضیحات
Detailed Supplier Breakdown,تفکیک تامین کننده
Detecting formats:,تشخیص فرمت ها:
Device Memory:,حافظه دستگاه:
Difference,تفاوت
Difference (In Company Currency),تفاوت (در واحد پول شرکت)
Disable offline mode first to recheck live connectivity.,برای بررسی مجدد اتصال زنده ابتدا حالت آفلاین را غیرفعال کنید.
Disconnect,قطع کن
discount,تخفیف
Discount %,درصد تخفیف
Discount / Void / Return Report,گزارش تخفیف / باطل / بازگشت
Discount Amount,مبلغ تخفیف
Discount limited by POS Profile,تخفیف با نمایه POS محدود شده است
Discounted Invoices,فاکتورهای تخفیف دار
Discounts,تخفیف ها
Dismiss,رد کردن
Download Certificate,دانلود گواهی
Draft,پیش نویس
Draft invoice deleted,پیش نویس فاکتور حذف شد
Draft source,منبع پیش نویس
Drafts,پیش نویس ها
Due {0},سررسید {0}
Due Date,سررسید
Duplicate,تکراری
Edit customer,مشتری را ویرایش کنید
Edit discount amount,مبلغ تخفیف را ویرایش کنید
Edit discount percentage,درصد تخفیف را ویرایش کنید
Edit Gift Application,ویرایش برنامه هدیه
Edit item name,نام مورد را ویرایش کنید
Edit quantity,کمیت را ویرایش کنید
Edit rate,نرخ ویرایش
Edit unit of measure,ویرایش واحد اندازه گیری
Edited,ویرایش شد
Employee,کارمند
Enable background sync,همگام سازی پس زمینه را فعال کنید
Enable Customer Display in POS Profile first.,ابتدا نمایش مشتری را در نمایه POS فعال کنید.
Enter a PIN.,یک پین وارد کنید.
Enter a valid grams value,یک مقدار گرم معتبر وارد کنید
Enter new price list rate,نرخ جدید لیست قیمت را وارد کنید
Enter Quantity,مقدار را وارد کنید
Enter the cashier PIN to continue.,برای ادامه، پین صندوقدار را وارد کنید.
Enter the current PIN first.,ابتدا پین فعلی را وارد کنید.
"Enter the current PIN, then choose a new one.",پین فعلی را وارد کنید، سپس یک پین جدید انتخاب کنید.
Enter valid grams for scale barcode,گرم های معتبر را برای بارکد مقیاس وارد کنید
Entries,ورودی ها
Error accessing camera:,خطا در دسترسی به دوربین:
Error calculating prices,خطا در محاسبه قیمت ها
Error fetching customer balance,خطا در واکشی موجودی مشتری
Error in change calculations!,خطا در محاسبات تغییر!
Error Loading Data,خطا در بارگیری داده ها
Error loading invoice details,خطا در بارگیری جزئیات فاکتور
Error processing invoice,خطا در پردازش فاکتور
Error processing payment,خطا در پردازش پرداخت
Error searching invoices,خطا در جستجوی فاکتورها
Error submitting invoice:,خطا در ارسال فاکتور:
Error submitting invoice: {0},خطا در ارسال فاکتور: {0}
Error submitting invoice: No response from server,خطا در ارسال فاکتور: پاسخی از طرف سرور دریافت نشد
Error updating currency,خطا در به‌روزرسانی ارز
Error updating item details,خطا در به‌روزرسانی جزئیات مورد
Est. Purchase,برآورد خرید
Est. Value,برآورد ارزش
Event-loop lag measures how busy your browser is. Lower is better.,تاخیر حلقه رویداد میزان شلوغی مرورگر شما را اندازه گیری می کند. پایین تر بهتر است
Every,هر
Exchange Rate,نرخ ارز
Expand item details,جزئیات مورد را بزرگ کنید
Expected Amount (In Company Currency),مبلغ مورد انتظار (به واحد پول شرکت)
Expected Cash,پول نقد مورد انتظار
Expected cash on hand grouped by currency,وجه نقد مورد انتظار دسته بندی شده بر اساس ارز
Expected vs Actual,مورد انتظار در مقابل واقعی
Expense,هزینه
Expense Account (Optional Override),حساب هزینه (نسخ اختیاری)
Expense account is required.,حساب هزینه مورد نیاز است.
Expenses and deposits posted during this shift,هزینه ها و سپرده های ثبت شده در این شیفت
Expired,منقضی شده است
Failed to auto reconcile payments.,تطبیق خودکار پرداخت ها انجام نشد.
Failed to cancel cash movement,حرکت نقدی لغو نشد
Failed to clear cache,حافظه پنهان پاک نشد
Failed to create item,مورد ایجاد نشد
Failed to create supplier,تامین کننده ایجاد نشد
Failed to delete cash movement,حرکت پول نقد حذف نشد
Failed to generate scale barcode. Using item barcode only.,بارکد مقیاس تولید نشد. فقط با استفاده از بارکد مورد.
Failed to load cash movement context.,زمینه حرکت نقدی بارگیری نشد.
Failed to load dashboard data.,داده های داشبورد بارگیری نشد.
Failed to reload invoice from server,بارگیری مجدد فاکتور از سرور انجام نشد
Failed to submit cash movement,حرکت نقدی ارسال نشد
Failed to sync offline cash movements,همگام سازی حرکات نقدی آفلاین انجام نشد
Fast cashier actions for active shifts.,اقدامات صندوقدار سریع برای شیفت های فعال.
Fast Moving Items,اقلام با حرکت سریع
Fees,هزینه ها
Fetch the latest offline prerequisite updates,آخرین به‌روزرسانی‌های پیش‌نیاز آفلاین را دریافت کنید
Find a sales order quickly and load it into the current sale.,یک سفارش فروش را به سرعت پیدا کنید و آن را در فروش فعلی بارگذاری کنید.
Fixing payment amounts for return invoice...,تثبیت مبالغ پرداخت برای فاکتور برگشتی...
Flash Off,فلاش خاموش
Flash On,فلاش روشن
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","برای اقلام ""دسته محصول""، انبار، شماره سریال و شماره دسته از جدول ""لیست بسته بندی"" در نظر گرفته می شود. اگر انبار و شماره دسته‌ای برای همه اقلام بسته‌بندی برای هر یک از آیتم‌های «بسته محصول» یکسان باشد، این مقادیر می‌توانند در جدول کالای اصلی وارد شوند. مقادیر به جدول ""لیست بسته بندی"" کپی می شود."
Free,رایگان
Free Qty,تعداد رایگان
Frequency,فرکانس
from,از
From Date,از تاریخ
Fulfillment Details,جزئیات تحقق
Full Name,نام کامل
Gain,به دست آوردن
Generate a fresh prepaid card and start it with an opening balance.,یک کارت پیش‌پرداخت تازه ایجاد کنید و آن را با موجودی افتتاحیه شروع کنید.
Generate and install the certificate to allow fully silent printing without trust prompts.,گواهی را ایجاد و نصب کنید تا امکان چاپ کاملا بی صدا و بدون درخواست اعتماد فراهم شود.
Generate Certificate,تولید گواهی
Generated scale barcode: {0},بارکد مقیاس تولید شده: {0}
Get Payments,پرداخت ها را دریافت کنید
Gift Card,کارت هدیه
Gift card amount must be greater than zero.,مبلغ کارت هدیه باید بیشتر از صفر باشد.
Gift Card Code,کد کارت هدیه
Gift card code is required for redemption,کد کارت هدیه برای بازخرید الزامی است
Gift card code is required.,کد کارت هدیه الزامی است.
Gift card issued successfully.,کارت هدیه با موفقیت صادر شد.
Gift card loaded successfully.,کارت هدیه با موفقیت بارگیری شد.
Gift Card Management,مدیریت کارت هدیه
Gift card payment,پرداخت کارت هدیه
Gift card redemption requires an online connection,بازخرید کارت هدیه نیاز به اتصال آنلاین دارد
Gift card topped up successfully.,کارت هدیه با موفقیت تکمیل شد.
Gift Cards,کارت های هدیه
Go to Frappe Desk,به میز فراپه بروید
Grand Total,کل بزرگ
Gross Margin,حاشیه ناخالص
Gross Profit,سود ناخالص
Gross Sales,فروش ناخالص
Group not found,گروه پیدا نشد
"Grouped controls for terminal, UI, and session settings.",کنترل‌های گروه‌بندی شده برای تنظیمات ترمینال، رابط کاربری و تنظیمات جلسه.
Grouped totals for each payment method and currency,مجموع گروه بندی شده برای هر روش پرداخت و ارز
Hide,پنهان کردن
Hide Gift Card,پنهان کردن کارت هدیه
Hide Non Essential Fields,فیلدهای غیر ضروری را مخفی کنید
Hide quantity decimals,مخفی کردن اعشار کمیت
Hide search tools,پنهان کردن ابزارهای جستجو
Hide zero rated items,موارد دارای رتبه صفر را پنهان کنید
High,بالا
History,تاریخچه
Hourly (Today),ساعتی (امروز)
How this section works,نحوه کار این بخش
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.",اگر داده‌های قدیمی باقی می‌مانند، تنظیمات > آفلاین و همگام‌سازی را باز کنید و دوباره در حالت آنلاین، Rebuild Offline Data را اجرا کنید.
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.",اگر هشدار ادامه داشت، تنظیمات > آفلاین و همگام‌سازی را باز کنید، سپس Refresh Offline Data یا Rebuild Offline Data را اجرا کنید.
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,گواهی را به سینی QZ وارد کنید و سینی QZ را در هر دستگاه POS راه اندازی مجدد کنید.
In,در
In stock: {0},موجود در انبار: {0}
Include Batch / Serial,شامل دسته / سریال
Include Price,شامل قیمت
Increase quantity,مقدار را افزایش دهید
IndexedDB,IndexedDB
Initial Amount,مبلغ اولیه
Initialize your shift with opening balances,شیفت خود را با ترازهای اولیه آغاز کنید
Initializing application...,در حال راه اندازی برنامه...
"Inspect cache, sync, and prerequisite status",حافظه پنهان، همگام سازی و وضعیت پیش نیاز را بررسی کنید
Installed Applications,برنامه های کاربردی نصب شده
Insufficient stock:\n{0},موجودی کافی نیست:\n{0}
Invalid rate,نرخ نامعتبر است
Inventory Status Report,گزارش وضعیت موجودی
Invoice,فاکتور
Invoice {0} is Submitted,فاکتور {0} ارسال شد
Invoice {0} processed successfully,فاکتور {0} با موفقیت پردازش شد
Invoice {0} submission failed,فاکتور {0} ارسال نشد
Invoice {0} was already submitted,فاکتور {0} قبلا ارسال شده بود
Invoice Adjustments,تنظیمات فاکتور
Invoice Change,تغییر فاکتور
Invoice Details,جزئیات فاکتور
Invoice is still in draft after background submission.,فاکتور پس از ارسال پیش‌زمینه هنوز در پیش‌نویس است.
Invoice Items,اقلام فاکتور
Invoice Management,مدیریت فاکتور
Invoice Mgmt,فاکتور Mgmt
Invoice saved offline,فاکتور به صورت آفلاین ذخیره شد
Invoice submission failed,فاکتور ارسال نشد
Invoice Submitted,فاکتور ارسال شد
