POS Awesome,பிஓஎஸ் அருமை
Add more value to an existing gift card,ஏற்கனவே உள்ள கிஃப்ட் கார்டுக்கு கூடுதல் மதிப்பைச் சேர்க்கவும்
Add New Address,புதிய முகவரியைச் சேர்க்கவும்
Add new customer,புதிய வாடிக்கையாளரைச் சேர்க்கவும்
Add on New Line,புதிய வரியில் சேர்க்கவும்
Add Payment,கட்டணத்தைச் சேர்க்கவும்
Add payment to invoice,விலைப்பட்டியலில் கட்டணத்தைச் சேர்க்கவும்
Add/Edit Coupon Conditions,கூப்பன் நிபந்தனைகளைச் சேர்/திருத்து
Additional Discount,கூடுதல் தள்ளுபடி
Additional Discount %,கூடுதல் தள்ளுபடி %
Address Line 1,முகவரி வரி 1
Address not found,முகவரி கிடைக்கவில்லை
Adjust the quantity or enable negative stock to continue.,அளவைச் சரிசெய்யவும் அல்லது நெகட்டிவ் ஸ்டாக்கைத் தொடர இயக்கவும்.
Adjustment,சரிசெய்தல்
After returns,திரும்பிய பிறகு
Against,எதிராக
Against Name,பெயருக்கு எதிராக
Age Bracket,வயது வரம்பு
All,அனைத்து
All Caught Up!,எல்லாம் பிடிபட்டது!
All invoices are synchronized,அனைத்து விலைப்பட்டியல்களும் ஒத்திசைக்கப்பட்டுள்ளன
All pending invoices are up to date,நிலுவையில் உள்ள அனைத்து இன்வாய்ஸ்களும் புதுப்பித்த நிலையில் உள்ளன
All Profiles,அனைத்து சுயவிவரங்கள்
All Synchronized,அனைத்தும் ஒத்திசைக்கப்பட்டது
All visible invoices are fully settled.,காணக்கூடிய அனைத்து இன்வாய்ஸ்களும் முழுமையாக செட்டில் செய்யப்பட்டன.
All Warehouses,அனைத்து கிடங்குகள்
Allowed UOM is {0},அனுமதிக்கப்படும் UOM: {0}
Always fetch items from server (ignore local cache),எப்போதும் சேவையகத்திலிருந்து பொருட்களைப் பெறவும் (உள்ளூர் தற்காலிக சேமிப்பை புறக்கணிக்கவும்)
Amount,தொகை
Amount already received,ஏற்கனவே பெறப்பட்ட தொகை
Amount exceeds profile cash movement max amount.,சுயவிவரப் பண இயக்கத்தின் அதிகபட்சத் தொகையைத் தாண்டியது.
Amount must be greater than zero.,தொகை பூஜ்ஜியத்தை விட அதிகமாக இருக்க வேண்டும்.
Amount received from customer,வாடிக்கையாளரிடமிருந்து பெறப்பட்ட தொகை
Appearance and user-level preferences for the current session.,தற்போதைய அமர்விற்கான தோற்றம் மற்றும் பயனர்-நிலை விருப்பத்தேர்வுகள்.
Applied,விண்ணப்பிக்கப்பட்டது
Apply,விண்ணப்பிக்கவும்
Apply Gift Card,பரிசு அட்டையை விண்ணப்பிக்கவும்
Apply Offer,சலுகையைப் பயன்படுத்தவும்
Apply On,விண்ணப்பிக்கவும்
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,இந்த இன்வாய்ஸில் நீங்கள் ரிடீம் செய்ய விரும்பும் தொகையை மட்டும் பயன்படுத்தவும். மீதமுள்ள இருப்பு அட்டையில் இருக்கும்.
Apply Redemption,ரிடெம்ப்ஷனைப் பயன்படுத்தவும்
Applying,விண்ணப்பிக்கும்
Apps,பயன்பாடுகள்
Are you sure you want to close? All entered data will be lost.,நீங்கள் நிச்சயமாக மூட விரும்புகிறீர்களா? உள்ளிட்ட அனைத்து தரவுகளும் இழக்கப்படும்.
Attributes (Size/Color),பண்புக்கூறுகள் (அளவு/நிறம்)
Auto Allocate Payment Amount,தானாக ஒதுக்கீடு செலுத்தும் தொகை
Auto Reconcile,தானாக சமரசம்
Auto reconciliation completed after payment submit.,பணம் சமர்ப்பித்த பிறகு தானியங்கு சமரசம் முடிந்தது.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,தானியங்கு சமரசம் முடிந்தது. ஒதுக்கப்பட்டது: {0}{1}. மீதமுள்ளவை: {0}{2}.
Available Actions,கிடைக்கும் செயல்கள்
Available QTY,QTY கிடைக்கிறது
Available:,கிடைக்கும்:
Average Basket,சராசரி கூடை
Average Bill,சராசரி பில்
Average Ticket,சராசரி டிக்கெட்
Avg Bill,சராசரி பில்
Avg Invoice,சராசரி விலைப்பட்டியல்
Avg Invoice Profit,சராசரி விலைப்பட்டியல் லாபம்
Avg Invoice Value,சராசரி விலைப்பட்டியல் மதிப்பு
Avg Purchase Frequency,சராசரி கொள்முதல் அதிர்வெண்
Awesome,அருமை
Awesome Dashboard,அற்புதமான டாஷ்போர்டு
Awesome Dashboard is disabled for the selected POS Profile.,தேர்ந்தெடுக்கப்பட்ட பிஓஎஸ் சுயவிவரத்திற்கு அற்புதமான டாஷ்போர்டு முடக்கப்பட்டுள்ளது.
Awesome Dashboard is unavailable for the selected scope.,தேர்ந்தெடுக்கப்பட்ட நோக்கத்திற்கு அற்புதமான டாஷ்போர்டு கிடைக்கவில்லை.
Awesome Dashboard is visible only to POS supervisors.,அற்புதமான டாஷ்போர்டு POS மேற்பார்வையாளர்களுக்கு மட்டுமே தெரியும்.
Back,மீண்டும்
Back Office Cash Account,பின் அலுவலக பணக் கணக்கு
Back Office Cash Account (Optional Override),பின் அலுவலக பணக் கணக்கு (விரும்பினால் மேலெழுதுதல்)
Back office cash account is required.,பின் அலுவலக பணக் கணக்கு தேவை.
Back to {0},{0}க்குத் திரும்பு
Background processing did not finish in time.,பின்னணி செயலாக்கம் சரியான நேரத்தில் முடிவடையவில்லை.
Background processing failed for Invoice {0}: {1},விலைப்பட்டியல் {0}: {1}க்கான பின்னணி செயலாக்கம் தோல்வியடைந்தது
Background Submission Failed,பின்னணி சமர்ப்பிப்பு தோல்வியடைந்தது
Background sync interval (seconds),பின்னணி ஒத்திசைவு இடைவெளி (வினாடிகள்)
Balance,இருப்பு
Balance will be updated when connection is restored,இணைப்பு மீட்டமைக்கப்படும் போது இருப்பு புதுப்பிக்கப்படும்
Balances still pending,இன்னும் நிலுவையில் உள்ளது
Barcode,பார்கோடு
Barcode / QR Ready,பார்கோடு / QR தயார்
Barcode Label Printing,பார்கோடு லேபிள் அச்சிடுதல்
Base Paid:,அடிப்படை கட்டணம்:
Base Recv:,அடிப்படை Recv:
Base:,அடிப்படை:
Basic Information,அடிப்படை தகவல்
Batch,தொகுதி
Batch Information,தொகுதி தகவல்
Before any return workflow,திரும்பும் பணிக்கு முன்
Before returns,திரும்புவதற்கு முன்
Best Day,சிறந்த நாள்
Best Seller,சிறந்த விற்பனையாளர்
Book expense or deposit from active shift.,செயலில் உள்ள மாற்றத்திலிருந்து புத்தக செலவு அல்லது வைப்பு.
Branch / Location-wise Report,கிளை / இருப்பிடம் வாரியான அறிக்கை
Brand-wise,பிராண்ட் வாரியாக
Breakdown,முறிவு
Browse,உலாவவும்
Build Time:,உருவாக்க நேரம்:
Built with Frappe,ஃப்ராப்புடன் கட்டப்பட்டது
Bundle,மூட்டை
Buying Price,வாங்கும் விலை
Cache cleared successfully,தற்காலிக சேமிப்பு வெற்றிகரமாக அழிக்கப்பட்டது
Cache Usage,தற்காலிக சேமிப்பு பயன்பாடு
cache used,கேச் பயன்படுத்தப்பட்டது
Calculating...,கணக்கிடுகிறது...
Camera Access Required,கேமரா அணுகல் தேவை
Camera access was aborted. Please try again.,கேமரா அணுகல் நிறுத்தப்பட்டது. மீண்டும் முயற்சிக்கவும்.
Camera constraints not supported by your device. Trying fallback settings...,கேமரா கட்டுப்பாடுகளை உங்கள் சாதனம் ஆதரிக்கவில்லை. ஃபால்பேக் அமைப்புகளை முயற்சிக்கிறேன்...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,கேமரா பிஸியாக உள்ளது அல்லது மற்றொரு ஆப்ஸ்/தாவினால் தடுக்கப்பட்டது. மற்ற கேமரா பயன்பாடுகளை மூடிவிட்டு மீண்டும் முயலவும்.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,கேமரா அனுமதி மறுக்கப்பட்டது. உங்கள் உலாவி அமைப்புகளில் கேமரா அணுகலை அனுமதித்து பக்கத்தைப் புதுப்பிக்கவும்.
Camera scanner is locked until the current error is acknowledged,தற்போதைய பிழை அங்கீகரிக்கப்படும் வரை கேமரா ஸ்கேனர் பூட்டப்பட்டுள்ளது
Camera started but the video stream did not load in time. Please try again.,கேமரா தொடங்கியது ஆனால் வீடியோ ஸ்ட்ரீம் சரியான நேரத்தில் ஏற்றப்படவில்லை. மீண்டும் முயற்சிக்கவும்.
Cancel cash movement {0}?,பணப் பரிமாற்றத்தை ரத்துசெய்யவா {0}?
Cancel Payment,கட்டணத்தை ரத்துசெய்
Cancel Sale,விற்பனையை ரத்து செய்
Cancel Sale ?,விற்பனையை ரத்து செய்யவா?
Cancelled,ரத்து செய்யப்பட்டது
Cannot add an item with zero or negative quantity.,பூஜ்யம் அல்லது எதிர்மறை அளவு கொண்ட உருப்படியைச் சேர்க்க முடியாது.
Cannot clear cache while offline,ஆஃப்லைனில் இருக்கும்போது தற்காலிக சேமிப்பை அழிக்க முடியாது
Cannot redeem customer credit more than invoice total,மொத்த விலைப்பட்டியலை விட வாடிக்கையாளர் கிரெடிட்டைப் பெற முடியாது
Cannot redeem gift cards more than invoice total,மொத்த விலைப்பட்டியலை விட அதிகமாக கிஃப்ட் கார்டுகளை ரிடீம் செய்ய முடியாது
Cannot Save Offline Invoice:,ஆஃப்லைன் விலைப்பட்டியல் சேமிக்க முடியாது:
Cannot Save Offline Payment:,ஆஃப்லைன் கட்டணத்தைச் சேமிக்க முடியாது:
Card,அட்டை
Card / Online,அட்டை / ஆன்லைன்
Card health after the last live lookup,கடைசி நேரலைத் தேடலுக்குப் பிறகு கார்டு ஆரோக்கியம்
Cards,அட்டைகள்
Cart,வண்டி
Cash,பணம்
Cash back to customers,வாடிக்கையாளர்களுக்கு பணத்தை திரும்பப் பெறுங்கள்
Cash Collections,பண சேகரிப்புகள்
Cash Deposit is disabled for this POS Profile.,இந்த POS சுயவிவரத்தில் பண வைப்பு முடக்கப்பட்டுள்ளது.
Cash Drawer Snapshot,பண அலமாரி ஸ்னாப்ஷாட்
Cash In Hand,கையில் காசு
Cash Movement,பண இயக்கம்
Cash movement cancelled,பண பரிமாற்றம் ரத்து செய்யப்பட்டது
Cash movement deduction applied,பண நகர்வு விலக்கு பயன்படுத்தப்பட்டது
Cash movement deleted,பண நடமாட்டம் நீக்கப்பட்டது
Cash movement is disabled for this POS Profile.,இந்த POS சுயவிவரத்தில் பணப் பரிமாற்றம் முடக்கப்பட்டுள்ளது.
Cash Movement is disabled in current POS Profile.,தற்போதைய பிஓஎஸ் சுயவிவரத்தில் பணப் பரிமாற்றம் முடக்கப்பட்டுள்ளது.
Cash movement saved offline,பணப் பரிமாற்றம் ஆஃப்லைனில் சேமிக்கப்பட்டது
Cash movement submitted,பண இயக்கம் சமர்ப்பிக்கப்பட்டது
Cash Movements,பண இயக்கங்கள்
Cash payment cannot be less than invoice total when partial payment is not allowed,பகுதியளவு பணம் செலுத்த அனுமதிக்கப்படாதபோது மொத்த விலைப்பட்டியலை விட ரொக்கப் பணம் குறைவாக இருக்கக்கூடாது
Cash returned after payment,பணம் செலுத்திய பிறகு பணம் திரும்பியது
Cashier,காசாளர்
Cashier Access,காசாளர் அணுகல்
Cashier identity and appearance preferences.,காசாளர் அடையாளம் மற்றும் தோற்ற விருப்பத்தேர்வுகள்.
Cashier PIN,காசாளர் பின்
Cashier PIN saved successfully.,காசாளர் பின் வெற்றிகரமாக சேமிக்கப்பட்டது.
Cashiers,காசாளர்கள்
Cashier-wise,காசாளர் வாரியாக
Categories,வகைகள்
Category,வகை
Category / Brand / Variant Report,வகை / பிராண்ட் / மாறுபாடு அறிக்கை
Category-wise,வகை வாரியாக
Category-wise Margin,வகை வாரியான விளிம்பு
Certificate,சான்றிதழ்
Certificate is missing or not trusted. QZ may show confirmation dialogs.,சான்றிதழ் காணவில்லை அல்லது நம்பவில்லை. QZ உறுதிப்படுத்தல் உரையாடல்களைக் காட்டலாம்.
Certificate is trusted. Silent QZ printing is active.,சான்றிதழ் நம்பகமானது. சைலண்ட் QZ அச்சிடுதல் செயலில் உள்ளது.
Change,மாற்றம்
Change allocation repaired,மாற்று ஒதுக்கீடு சரி செய்யப்பட்டது
Change Price,விலையை மாற்றவும்
Change Return,வருவாயை மாற்றவும்
Change Returned,மாற்றம் திரும்பியது
Change terminal cashier,டெர்மினல் கேஷியரை மாற்றவும்
Charge Heads,சார்ஜ் ஹெட்ஸ்
Charges,கட்டணம்
Charges not found,கட்டணங்கள் காணப்படவில்லை
Check Balance,இருப்பை சரிபார்க்கவும்
Check balance for any card. Supervisors can issue and top up cards here.,எந்த அட்டைக்கும் இருப்பைச் சரிபார்க்கவும். மேற்பார்வையாளர்கள் இங்கே கார்டுகளை வழங்கலாம் மற்றும் நிரப்பலாம்.
Check balance only,இருப்பை மட்டும் சரிபார்க்கவும்
Check for new commits,புதிய ஒப்பந்தங்களைச் சரிபார்க்கவும்
Check for Updates,புதுப்பிப்புகளைச் சரிபார்க்கவும்
Check live balance before applying redemption,மீட்பைப் பயன்படுத்துவதற்கு முன் நேரலை இருப்பைச் சரிபார்க்கவும்
Check live balance before redemption,ரிடீம் செய்வதற்கு முன் லைவ் பேலன்ஸ் சரிபார்க்கவும்
Checking...,சரிபார்க்கிறது...
Cheque/Reference Date,காசோலை/குறிப்பு தேதி
Cheque/Reference No,காசோலை/குறிப்பு எண்
Choose the cashier currently operating this terminal.,தற்போது இந்த முனையத்தில் செயல்படும் காசாளரைத் தேர்வு செய்யவும்.
City,நகரம்
Clear,தெளிவு
Clear All,அனைத்தையும் அழி
Clear all barcode items,அனைத்து பார்கோடு பொருட்களையும் அழிக்கவும்
Clear all purchase order items,அனைத்து கொள்முதல் ஆர்டர் பொருட்களையும் அழிக்கவும்
Clear Search,தேடலை அழிக்கவும்
Clearing local cache...,உள்ளூர் தற்காலிக சேமிப்பை அழிக்கிறது...
Click to refresh,புதுப்பிக்க கிளிக் செய்யவும்
Client CPU Lag:,கிளையன்ட் CPU லேக்:
Client Memory Usage:,கிளையண்ட் மெமரி பயன்பாடு:
Client Metrics,வாடிக்கையாளர் அளவீடுகள்
Close about dialog,உரையாடல் பற்றி மூடு
Close cashier switcher,காசாளர் மாற்றியை மூடு
Close closing shift dialog,ஷிப்ட் டயலாக்கை மூடவும்
Close column selector,நெடுவரிசை தேர்வியை மூடு
Close Dialog,உரையாடலை மூடு
Close drafts dialog,வரைவு உரையாடலை மூடு
Close invoice details dialog,விலைப்பட்டியல் விவரங்கள் உரையாடலை மூடு
Close invoice management,விலைப்பட்டியல் நிர்வாகத்தை மூடவும்
Close offline invoices dialog,ஆஃப்லைன் இன்வாய்ஸ் உரையாடலை மூடு
Close packing list dialog,பேக்கிங் பட்டியல் உரையாடலை மூடு
Close returns dialog,திரும்பும் உரையாடலை மூடு
Close sales orders dialog,விற்பனை ஆர்டர்கள் உரையாடலை மூடு
Close Scanner,ஸ்கேனரை மூடு
Close scanner dialog,ஸ்கேனர் உரையாடலை மூடு
Close Settings,அமைப்புகளை மூடு
Closing Amount,இறுதித் தொகை
Closing POS Shift,பிஓஎஸ் ஷிப்டை மூடுகிறது
Closing Snapshot Available,க்ளோசிங் ஸ்னாப்ஷாட் கிடைக்கிறது
Code,குறியீடு
Code scanned successfully,குறியீடு வெற்றிகரமாக ஸ்கேன் செய்யப்பட்டது
COGS,COGS
Collapse item details,உருப்படி விவரங்களைச் சுருக்கவும்
Collected,சேகரிக்கப்பட்டது
Cols,கோல்ஸ்
Columns,நெடுவரிசைகள்
commits,செய்கிறது
Completed and active sales in this range,இந்த வரம்பில் முடிந்த மற்றும் செயலில் விற்பனை
Completed returns will appear here.,முடிக்கப்பட்ட வருமானம் இங்கே தோன்றும்.
Confirm,உறுதிப்படுத்தவும்
Confirm Close,மூடுவதை உறுதிப்படுத்தவும்
Confirm Mobile Number,மொபைல் எண்ணை உறுதிப்படுத்தவும்
Confirm PIN,பின்னை உறுதிப்படுத்தவும்
Connect,இணைக்கவும்
Connect printer and manage certificate,பிரிண்டரை இணைத்து சான்றிதழை நிர்வகிக்கவும்
Connecting to QZ Tray...,QZ ட்ரேயுடன் இணைக்கிறது...
Connection problem while submitting invoice,விலைப்பட்டியல் சமர்ப்பிக்கும் போது இணைப்பில் சிக்கல்
Connections:,இணைப்புகள்:
Connectivity and cached prerequisite status were rechecked.,இணைப்பு மற்றும் தற்காலிக சேமிப்பு முன்நிபந்தனை நிலை மீண்டும் சரிபார்க்கப்பட்டது.
Continue Editing,எடிட்டிங் தொடரவும்
Could not fetch latest balance from server,சர்வரில் இருந்து சமீபத்திய இருப்பைப் பெற முடியவில்லை
Count,எண்ணு
Country,நாடு
Coupon,கூப்பன்
Coupons,கூப்பன்கள்
Cover,கவர்
CPU Cores:,CPU கோர்கள்:
Create,உருவாக்கு
Create and load a new prepaid card,புதிய ப்ரீபெய்ட் கார்டை உருவாக்கி ஏற்றவும்
Create and preload a new gift card,புதிய கிஃப்ட் கார்டை உருவாக்கி முன் ஏற்றவும்
Create Bill,மசோதாவை உருவாக்கவும்
Create Customer,வாடிக்கையாளரை உருவாக்குங்கள்
Create New Item,புதிய பொருளை உருவாக்கவும்
Create or change your PIN,உங்கள் பின்னை உருவாக்கவும் அல்லது மாற்றவும்
Create PIN,பின்னை உருவாக்கவும்
Create POS Opening Shift,பிஓஎஸ் திறப்பு மாற்றத்தை உருவாக்கவும்
Create Purchase Order,கொள்முதல் ஆர்டரை உருவாக்கவும்
Create Return,திரும்ப உருவாக்கவும்
Create return from invoice,விலைப்பட்டியலில் இருந்து வருமானத்தை உருவாக்கவும்
Create Supplier,சப்ளையரை உருவாக்கவும்
Credit and Output,கடன் மற்றும் வெளியீடு
Credit Note,கடன் குறிப்பு
Credit Outstanding,சிறந்த கடன்
Credit sales remaining to be collected,மீதமுள்ள கடன் விற்பனை வசூலிக்கப்பட உள்ளது
Critical,விமர்சனம்
Currency,நாணயம்
Current,தற்போதைய
Current Event Loop Lag:,நடப்பு நிகழ்வு லூப் லேக்:
Current Month,தற்போதைய மாதம்
Current PIN,தற்போதைய பின்
Current Profile,தற்போதைய சுயவிவரம்
Current redeemable value on the gift card,கிஃப்ட் கார்டில் உள்ள ரிடீம் செய்யக்கூடிய தற்போதைய மதிப்பு
Current User,தற்போதைய பயனர்
Custom,தனிப்பயன்
Custom Due Days,தனிப்பயன் செலுத்த வேண்டிய நாட்கள்
Custom items per page,ஒரு பக்கத்திற்கு தனிப்பயன் உருப்படிகள்
Customer,வாடிக்கையாளர்
Customer already selected,வாடிக்கையாளர் ஏற்கனவே தேர்ந்தெடுக்கப்பட்டுள்ளார்
Customer Balance,வாடிக்கையாளர் இருப்பு
Customer balance unavailable offline,வாடிக்கையாளர் இருப்பு ஆஃப்லைனில் இல்லை
Customer created successfully.,வாடிக்கையாளர் வெற்றிகரமாக உருவாக்கப்பட்டது.
Customer creation failed.,வாடிக்கையாளர் உருவாக்கம் தோல்வியடைந்தது.
Customer Details,வாடிக்கையாளர் விவரங்கள்
Customer display channel is missing,வாடிக்கையாளர் காட்சி சேனல் இல்லை
Customer display was blocked. Please allow pop-ups for this site.,வாடிக்கையாளர் காட்சி தடுக்கப்பட்டது. இந்தத் தளத்திற்கான பாப்-அப்களை அனுமதிக்கவும்.
Customer group is required,வாடிக்கையாளர் குழு தேவை
Customer is required to add payment,வாடிக்கையாளர் கட்டணத்தைச் சேர்க்க வேண்டும்
Customer Name is required,வாடிக்கையாளர் பெயர் தேவை
Customer not selected,வாடிக்கையாளர் தேர்ந்தெடுக்கப்படவில்லை
Customer Report,வாடிக்கையாளர் அறிக்கை
Customer saved offline,வாடிக்கையாளர் ஆஃப்லைனில் சேமிக்கப்பட்டார்
Customer Screen,வாடிக்கையாளர் திரை
Customer territory is required,வாடிக்கையாளர் பிரதேசம் தேவை
Customer updated successfully.,வாடிக்கையாளர் வெற்றிகரமாக புதுப்பிக்கப்பட்டார்.
Customer-facing tools and printer setup.,வாடிக்கையாளர் எதிர்கொள்ளும் கருவிகள் மற்றும் பிரிண்டர் அமைப்பு.
Customers,வாடிக்கையாளர்கள்
Customers not found,வாடிக்கையாளர்கள் கிடைக்கவில்லை
Daily cashier actions without scrolling.,ஸ்க்ரோலிங் இல்லாமல் தினசரி காசாளர் நடவடிக்கைகள்.
Daily Sales,தினசரி விற்பனை
Daily Sales Summary,தினசரி விற்பனை சுருக்கம்
Data loaded in form. Review and submit.,வடிவத்தில் தரவு ஏற்றப்பட்டது. மதிப்பாய்வு செய்து சமர்ப்பிக்கவும்.
Database Health,தரவுத்தள ஆரோக்கியம்
Database health affects overall system speed and reliability.,தரவுத்தள ஆரோக்கியம் ஒட்டுமொத்த கணினி வேகத்தையும் நம்பகத்தன்மையையும் பாதிக்கிறது.
Database Info,தரவுத்தள தகவல்
Date,தேதி
Day ?,நாள் ?
days,நாட்கள்
Day-wise (MTD),நாள் வாரியாக (எம்டிடி)
Day-wise Movement,நாள் வாரியாக இயக்கம்
Dead Stock,டெட் ஸ்டாக்
Dead Stock Items,டெட் ஸ்டாக் பொருட்கள்
Decrease quantity,அளவைக் குறைக்கவும்
Default,இயல்புநிலை
Default:,இயல்புநிலை:
Delete,நீக்கு
Delete cancelled cash movement {0}?,ரத்துசெய்யப்பட்ட பணப் பரிமாற்றத்தை {0} நீக்கவா?
Delete Draft,வரைவை நீக்கு
Delete draft invoice,வரைவு விலைப்பட்டியலை நீக்கு
Delete draft invoice {0}?,வரைவு விலைப்பட்டியல் {0}ஐ நீக்கவா?
Delete Invoice,விலைப்பட்டியலை நீக்கு
Delete offline invoice,ஆஃப்லைன் இன்வாய்ஸை நீக்கு
Delivered,வழங்கப்பட்டது
Delivery Charges,டெலிவரி கட்டணம்
Delivery Information,டெலிவரி தகவல்
Delivery Note {0} created,டெலிவரி குறிப்பு {0} உருவாக்கப்பட்டது
Delivery note created,டெலிவரி குறிப்பு உருவாக்கப்பட்டது
Deployed Bundle:,வரிசைப்படுத்தப்பட்ட தொகுப்பு:
Deposit,வைப்பு
Description,விளக்கம்
Detailed Supplier Breakdown,விரிவான சப்ளையர் முறிவு
Detecting formats:,வடிவங்களைக் கண்டறிதல்:
Device Memory:,சாதன நினைவகம்:
Difference,வேறுபாடு
Difference (In Company Currency),வேறுபாடு (நிறுவனத்தின் நாணயத்தில்)
Disable offline mode first to recheck live connectivity.,நேரடி இணைப்பை மீண்டும் சரிபார்க்க முதலில் ஆஃப்லைன் பயன்முறையை முடக்கவும்.
Disconnect,துண்டிக்கவும்
discount,தள்ளுபடி
Discount %,தள்ளுபடி %
Discount / Void / Return Report,தள்ளுபடி / செல்லாது / திரும்ப அறிக்கை
Discount Amount,தள்ளுபடி தொகை
Discount limited by POS Profile,தள்ளுபடி POS சுயவிவரத்தால் வரையறுக்கப்பட்டுள்ளது
Discounted Invoices,தள்ளுபடி விலைப்பட்டியல்கள்
Discounts,தள்ளுபடிகள்
Dismiss,நிராகரி
Download Certificate,சான்றிதழைப் பதிவிறக்கவும்
Draft,வரைவு
Draft invoice deleted,வரைவு விலைப்பட்டியல் நீக்கப்பட்டது
Draft source,வரைவு ஆதாரம்
Drafts,வரைவுகள்
Due {0},நிலுவை {0}
Due Date,இறுதி தேதி
Duplicate,நகல்
Edit customer,வாடிக்கையாளரைத் திருத்தவும்
Edit discount amount,தள்ளுபடி தொகையை திருத்தவும்
Edit discount percentage,தள்ளுபடி சதவீதத்தைத் திருத்தவும்
Edit Gift Application,பரிசு விண்ணப்பத்தைத் திருத்தவும்
Edit item name,பொருளின் பெயரைத் திருத்தவும்
Edit quantity,அளவை திருத்தவும்
Edit rate,விகிதத்தைத் திருத்தவும்
Edit unit of measure,அளவீட்டு அலகு திருத்தவும்
Edited,திருத்தப்பட்டது
Employee,பணியாளர்
Enable background sync,பின்னணி ஒத்திசைவை இயக்கு
Enable Customer Display in POS Profile first.,முதலில் பிஓஎஸ் சுயவிவரத்தில் வாடிக்கையாளர் காட்சியை இயக்கவும்.
Enter a PIN.,பின்னை உள்ளிடவும்.
Enter a valid grams value,சரியான கிராம் மதிப்பை உள்ளிடவும்
