POS Awesome,पीओएस बहुत बढ़िया
Cash returned after payment,भुगतान के बाद नकद वापस कर दिया गया
Cashier,खजांची
Cashier Access,खजांची प्रवेश
Cashier identity and appearance preferences.,कैशियर की पहचान और उपस्थिति प्राथमिकताएँ।
Cashier PIN,कैशियर पिन
Cashier PIN saved successfully.,कैशियर पिन सफलतापूर्वक सहेजा गया.
Cashiers,खजांची
Cashier-wise,खजांची-वार
Categories,श्रेणियाँ
Category,श्रेणी
Category / Brand / Variant Report,श्रेणी/ब्रांड/संस्करण रिपोर्ट
Category-wise,श्रेणी-वार
Category-wise Margin,श्रेणी-वार मार्जिन
Certificate,प्रमाणपत्र
Certificate is missing or not trusted. QZ may show confirmation dialogs.,प्रमाणपत्र गुम है या विश्वसनीय नहीं है. QZ पुष्टिकरण संवाद दिखा सकता है।
Certificate is trusted. Silent QZ printing is active.,प्रमाणपत्र विश्वसनीय है. साइलेंट QZ प्रिंटिंग सक्रिय है.
Change,परिवर्तन
Change allocation repaired,परिवर्तन आवंटन की मरम्मत की गई
Change Price,कीमत बदलें
Change Return,रिटर्न बदलें
Change Returned,परिवर्तन वापस आ गया
Change terminal cashier,टर्मिनल कैशियर बदलें
Charge Heads,प्रभारी प्रमुख
Charges,शुल्क
Charges not found,आरोप नहीं मिले
Check Balance,शेष राशि जांचें
Check balance for any card. Supervisors can issue and top up cards here.,किसी भी कार्ड का बैलेंस जांचें। पर्यवेक्षक यहां कार्ड जारी और टॉप-अप कर सकते हैं।
Check balance only,केवल शेष राशि की जाँच करें
Check for new commits,नई प्रतिबद्धताओं की जाँच करें
Check for Updates,अद्यतनों के लिए जाँच करें
Check live balance before applying redemption,रिडेम्प्शन लागू करने से पहले लाइव बैलेंस जांचें
Check live balance before redemption,मोचन से पहले लाइव बैलेंस जांचें
Checking...,जाँच हो रही है...
Cheque/Reference Date,चेक/संदर्भ दिनांक
Cheque/Reference No,चेक/संदर्भ संख्या
Choose the cashier currently operating this terminal.,उस कैशियर को चुनें जो वर्तमान में इस टर्मिनल का संचालन कर रहा है।
City,शहर
Clear,स्पष्ट
Clear All,सभी साफ़ करें
Clear all barcode items,सभी बारकोड आइटम साफ़ करें
Clear all purchase order items,सभी क्रय ऑर्डर आइटम साफ़ करें
Clear Search,स्पष्ट खोज
Clearing local cache...,स्थानीय कैश साफ़ किया जा रहा है...
Click to refresh,ताज़ा करने के लिए क्लिक करें
Client CPU Lag:,क्लाइंट सीपीयू लैग:
Client Memory Usage:,क्लाइंट मेमोरी उपयोग:
Client Metrics,ग्राहक मेट्रिक्स
Close about dialog,संवाद के बारे में बंद करें
Close cashier switcher,कैशियर स्विचर बंद करें
Close closing shift dialog,समापन शिफ्ट संवाद बंद करें
Close column selector,स्तंभ चयनकर्ता बंद करें
Close Dialog,संवाद बंद करें
Close drafts dialog,ड्राफ्ट संवाद बंद करें
Close invoice details dialog,चालान विवरण संवाद बंद करें
Close invoice management,चालान प्रबंधन बंद करें
Close offline invoices dialog,ऑफ़लाइन चालान संवाद बंद करें
Close packing list dialog,पैकिंग सूची संवाद बंद करें
Close returns dialog,रिटर्न संवाद बंद करें
Close sales orders dialog,विक्रय आदेश संवाद बंद करें
Close Scanner,स्कैनर बंद करें
Close scanner dialog,स्कैनर संवाद बंद करें
Close Settings,सेटिंग्स बंद करें
Closing Amount,समापन राशि
Closing POS Shift,पीओएस शिफ्ट को बंद करना
Closing Snapshot Available,समापन स्नैपशॉट उपलब्ध है
Code,कोड
Code scanned successfully,कोड सफलतापूर्वक स्कैन किया गया
COGS,COGS
Collapse item details,आइटम विवरण संक्षिप्त करें
Collected,एकत्र किया गया
Cols,कर्नल
Columns,कॉलम
commits,प्रतिबद्ध
Completed and active sales in this range,इस श्रेणी में पूर्ण और सक्रिय बिक्री
Completed returns will appear here.,पूर्ण रिटर्न यहां दिखाई देंगे.
Confirm,पुष्टि करें
Confirm Close,पुष्टि करें बंद करें
Confirm Mobile Number,मोबाइल नंबर की पुष्टि करें
Confirm PIN,पिन की पुष्टि करें
Connect,कनेक्ट करें
Connect printer and manage certificate,प्रिंटर कनेक्ट करें और प्रमाणपत्र प्रबंधित करें
Connecting to QZ Tray...,QZ ट्रे से कनेक्ट हो रहा है...
Connection problem while submitting invoice,चालान जमा करते समय कनेक्शन की समस्या
Connections:,कनेक्शन:
Connectivity and cached prerequisite status were rechecked.,कनेक्टिविटी और कैश्ड पूर्वावश्यक स्थिति की पुनः जाँच की गई।
Continue Editing,संपादन जारी रखें
Could not fetch latest balance from server,सर्वर से नवीनतम शेष राशि प्राप्त नहीं की जा सकी
Count,गिनती
Country,देश
Coupon,कूपन
Coupons,कूपन
Cover,आवरण
CPU Cores:,सीपीयू कोर:
Create,बनाएँ
Create and load a new prepaid card,नया प्रीपेड कार्ड बनाएं और लोड करें
Create and preload a new gift card,एक नया उपहार कार्ड बनाएं और प्रीलोड करें
Create Bill,बिल बनाएं
Create Customer,ग्राहक बनाएं
Create New Item,नया आइटम बनाएं
Create or change your PIN,अपना पिन बनाएं या बदलें
Create PIN,पिन बनाएं
Create POS Opening Shift,पीओएस ओपनिंग शिफ्ट बनाएं
Create Purchase Order,क्रय आदेश बनाएं
Create Return,रिटर्न बनाएं
Create return from invoice,चालान से रिटर्न बनाएं
Create Supplier,आपूर्तिकर्ता बनाएँ
Credit and Output,क्रेडिट और आउटपुट
Credit Note,क्रेडिट नोट
Credit Outstanding,बकाया क्रेडिट
Credit sales remaining to be collected,क्रेडिट बिक्री एकत्र की जानी बाकी है
Critical,गंभीर
Currency,मुद्रा
Current,वर्तमान
Current Event Loop Lag:,वर्तमान घटना लूप लैग:
Current Month,चालू माह
Current PIN,वर्तमान पिन
Current Profile,वर्तमान प्रोफ़ाइल
Current redeemable value on the gift card,उपहार कार्ड पर वर्तमान प्रतिदेय मूल्य
Current User,वर्तमान उपयोगकर्ता
Custom,कस्टम
Custom Due Days,कस्टम देय दिन
Custom items per page,प्रति पृष्ठ कस्टम आइटम
Customer,ग्राहक
Customer already selected,ग्राहक पहले से ही चयनित है
Customer Balance,ग्राहक शेष
Customer balance unavailable offline,ग्राहक शेष ऑफ़लाइन उपलब्ध नहीं है
Customer created successfully.,ग्राहक सफलतापूर्वक बनाया गया.
Customer creation failed.,ग्राहक निर्माण विफल.
Customer Details,ग्राहक विवरण
Customer display channel is missing,ग्राहक प्रदर्शन चैनल गायब है
Customer display was blocked. Please allow pop-ups for this site.,ग्राहक प्रदर्शन अवरुद्ध कर दिया गया था. कृपया इस साइट के लिए पॉप-अप की अनुमति दें।
Customer group is required,ग्राहक समूह आवश्यक है
Customer is required to add payment,ग्राहक को भुगतान जोड़ना आवश्यक है
Customer Name is required,ग्राहक का नाम आवश्यक है
Customer not selected,ग्राहक का चयन नहीं किया गया
Customer Report,ग्राहक रिपोर्ट
Customer saved offline,ग्राहक ऑफ़लाइन सहेजा गया
Customer Screen,ग्राहक स्क्रीन
Customer territory is required,ग्राहक क्षेत्र आवश्यक है
Customer updated successfully.,ग्राहक सफलतापूर्वक अपडेट किया गया.
Customer-facing tools and printer setup.,ग्राहक-सामना करने वाले उपकरण और प्रिंटर सेटअप।
Customers,ग्राहक
Customers not found,ग्राहक नहीं मिले
Daily cashier actions without scrolling.,स्क्रॉल किए बिना दैनिक कैशियर कार्रवाई।
Daily Sales,दैनिक बिक्री
Daily Sales Summary,दैनिक बिक्री सारांश
Data loaded in form. Review and submit.,डेटा प्रपत्र में लोड किया गया. समीक्षा करें और सबमिट करें.
Database Health,डेटाबेस स्वास्थ्य
Database health affects overall system speed and reliability.,डेटाबेस स्वास्थ्य समग्र सिस्टम गति और विश्वसनीयता को प्रभावित करता है।
Database Info,डेटाबेस जानकारी
Date,दिनांक
Day ?,दिन ?
days,दिन
Day-wise (MTD),दिन-वार (एमटीडी)
Day-wise Movement,दिनवार आंदोलन
Dead Stock,डेड स्टॉक
Dead Stock Items,डेड स्टॉक आइटम
Decrease quantity,मात्रा कम करें
Default,डिफ़ॉल्ट
Default:,डिफ़ॉल्ट:
Delete,हटाएँ
Delete cancelled cash movement {0}?,रद्द किया गया नकदी संचलन हटाएं {0}?
Delete Draft,ड्राफ्ट हटाएं
Delete draft invoice,ड्राफ्ट चालान हटाएं
Delete draft invoice {0}?,ड्राफ्ट इनवॉइस {0} हटाएं?
Delete Invoice,चालान हटाएँ
Delete offline invoice,ऑफ़लाइन चालान हटाएँ
Delivered,वितरित
Delivery Charges,डिलीवरी शुल्क
Delivery Information,डिलिवरी सूचना
Delivery Note {0} created,डिलिवरी नोट {0} बनाया गया
Delivery note created,डिलीवरी नोट बनाया गया
Deployed Bundle:,तैनात बंडल:
Deposit,जमा
Description,विवरण
Detailed Supplier Breakdown,विस्तृत आपूर्तिकर्ता विवरण
Detecting formats:,प्रारूपों का पता लगाना:
Device Memory:,डिवाइस मेमोरी:
Difference,अंतर
Difference (In Company Currency),अंतर (कंपनी की मुद्रा में)
Disable offline mode first to recheck live connectivity.,लाइव कनेक्टिविटी दोबारा जांचने के लिए सबसे पहले ऑफ़लाइन मोड अक्षम करें।
Disconnect,डिस्कनेक्ट करें
discount,छूट
Discount %,छूट %
Discount / Void / Return Report,छूट/शून्य/वापसी रिपोर्ट
Discount Amount,छूट राशि
Discount limited by POS Profile,छूट पीओएस प्रोफाइल द्वारा सीमित है
Discounted Invoices,रियायती चालान
Discounts,छूट
Dismiss,ख़ारिज करें
Download Certificate,प्रमाणपत्र डाउनलोड करें
Draft,ड्राफ्ट
Draft invoice deleted,ड्राफ्ट चालान हटा दिया गया
Draft source,ड्राफ्ट स्रोत
Drafts,ड्राफ्ट
Due {0},देय {0}
Due Date,देय तिथि
Duplicate,डुप्लिकेट
Edit customer,ग्राहक संपादित करें
Edit discount amount,छूट राशि संपादित करें
Edit discount percentage,छूट प्रतिशत संपादित करें
Edit Gift Application,उपहार एप्लिकेशन संपादित करें
Edit item name,आइटम का नाम संपादित करें
Edit quantity,मात्रा संपादित करें
Edit rate,दर संपादित करें
Edit unit of measure,माप की इकाई संपादित करें
Edited,संपादित
Employee,कर्मचारी
Enable background sync,पृष्ठभूमि समन्वयन सक्षम करें
Enable Customer Display in POS Profile first.,पहले पीओएस प्रोफाइल में ग्राहक प्रदर्शन सक्षम करें।
Enter a PIN.,एक पिन दर्ज करें.
Enter a valid grams value,मान्य ग्राम मान दर्ज करें
Enter new price list rate,नई मूल्य सूची दर दर्ज करें
Enter Quantity,मात्रा दर्ज करें
Enter the cashier PIN to continue.,जारी रखने के लिए कैशियर पिन दर्ज करें।
Enter the current PIN first.,पहले वर्तमान पिन दर्ज करें.
"Enter the current PIN, then choose a new one.","वर्तमान पिन दर्ज करें, फिर नया चुनें।"
Enter valid grams for scale barcode,स्केल बारकोड के लिए वैध ग्राम दर्ज करें
Entries,प्रविष्टियाँ
Error accessing camera:,कैमरे तक पहुंचने में त्रुटि:
Error calculating prices,कीमतों की गणना में त्रुटि
Error fetching customer balance,ग्राहक शेष राशि प्राप्त करने में त्रुटि
Error in change calculations!,परिवर्तन गणना में त्रुटि!
Error Loading Data,डेटा लोड करने में त्रुटि
Error loading invoice details,चालान विवरण लोड करने में त्रुटि
Error processing invoice,चालान संसाधित करने में त्रुटि
Error processing payment,भुगतान संसाधित करने में त्रुटि
Error searching invoices,चालान खोजने में त्रुटि
Error submitting invoice:,चालान सबमिट करने में त्रुटि:
Error submitting invoice: {0},चालान सबमिट करने में त्रुटि: {0}
Error submitting invoice: No response from server,चालान सबमिट करने में त्रुटि: सर्वर से कोई प्रतिक्रिया नहीं
Error updating currency,मुद्रा अद्यतन करने में त्रुटि
Error updating item details,आइटम विवरण अपडेट करने में त्रुटि
Est. Purchase,स्था. खरीद
Est. Value,स्था. मूल्य
Event-loop lag measures how busy your browser is. Lower is better.,इवेंट-लूप लैग मापता है कि आपका ब्राउज़र कितना व्यस्त है। कम बेहतर है।
Every,हर
Exchange Rate,विनिमय दर
Expand item details,आइटम विवरण विस्तृत करें
Expected Amount (In Company Currency),अपेक्षित राशि (कंपनी की मुद्रा में)
Expected Cash,अपेक्षित नकद
Expected cash on hand grouped by currency,हाथ में अपेक्षित नकदी मुद्रा के आधार पर समूहीकृत
Expected vs Actual,अपेक्षित बनाम वास्तविक
Expense,व्यय
Expense Account (Optional Override),व्यय खाता (वैकल्पिक ओवरराइड)
Expense account is required.,व्यय लेखा आवश्यक है.
Expenses and deposits posted during this shift,इस बदलाव के दौरान खर्च और जमा राशि पोस्ट की गई
Expired,समाप्त हो गया
Failed to auto reconcile payments.,भुगतानों का स्वतः समाधान करने में विफल.
Failed to cancel cash movement,नकदी संचलन रद्द करने में विफल
Failed to clear cache,कैश साफ़ करने में विफल
Failed to create item,आइटम बनाने में विफल
Failed to create supplier,आपूर्तिकर्ता बनाने में विफल
Failed to delete cash movement,नकदी संचलन को हटाने में विफल
Failed to generate scale barcode. Using item barcode only.,स्केल बारकोड जनरेट करने में विफल. केवल आइटम बारकोड का उपयोग करना।
Failed to load cash movement context.,नकदी संचलन संदर्भ लोड करने में विफल.
Failed to load dashboard data.,डैशबोर्ड डेटा लोड करने में विफल.
Failed to reload invoice from server,सर्वर से इनवॉइस पुनः लोड करने में विफल
Failed to submit cash movement,नकद संचलन प्रस्तुत करने में विफल
Failed to sync offline cash movements,ऑफ़लाइन नकदी संचलन समन्वयित करने में विफल
Fast cashier actions for active shifts.,सक्रिय पारियों के लिए त्वरित खजांची कार्रवाई।
Fast Moving Items,तेजी से चलने वाली वस्तुएँ
Fees,फीस
Fetch the latest offline prerequisite updates,नवीनतम ऑफ़लाइन आवश्यक अपडेट प्राप्त करें
Find a sales order quickly and load it into the current sale.,शीघ्रता से विक्रय आदेश ढूंढें और उसे वर्तमान विक्रय में लोड करें।
Fixing payment amounts for return invoice...,रिटर्न इनवॉइस के लिए भुगतान राशि तय करना...
Flash Off,फ़्लैश बंद
Flash On,फ्लैश ऑन
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","'उत्पाद बंडल' आइटम के लिए, गोदाम, सीरियल नंबर और बैच नंबर पर 'पैकिंग सूची' तालिका से विचार किया जाएगा। यदि किसी 'उत्पाद बंडल' आइटम के लिए सभी पैकिंग आइटम के लिए वेयरहाउस और बैच नंबर समान हैं, तो उन मानों को मुख्य आइटम तालिका में दर्ज किया जा सकता है; मानों को 'पैकिंग सूची' तालिका में कॉपी किया जाएगा।"
Free,निःशुल्क
Free Qty,मुफ़्त मात्रा
Frequency,आवृत्ति
from,से
From Date,दिनांक से
Fulfillment Details,पूर्ति विवरण
Full Name,पूरा नाम
Gain,लाभ
Generate a fresh prepaid card and start it with an opening balance.,एक नया प्रीपेड कार्ड बनाएं और इसे शुरुआती शेष राशि के साथ शुरू करें।
Generate and install the certificate to allow fully silent printing without trust prompts.,विश्वास संकेतों के बिना पूरी तरह से मौन मुद्रण की अनुमति देने के लिए प्रमाणपत्र बनाएं और स्थापित करें।
Generate Certificate,प्रमाणपत्र जनरेट करें
Generated scale barcode: {0},जनरेट किया गया स्केल बारकोड: {0}
Get Payments,भुगतान प्राप्त करें
Gift Card,उपहार कार्ड
Gift card amount must be greater than zero.,उपहार कार्ड की राशि शून्य से अधिक होनी चाहिए.
Gift Card Code,उपहार कार्ड कोड
Gift card code is required for redemption,मोचन के लिए उपहार कार्ड कोड आवश्यक है
Gift card code is required.,उपहार कार्ड कोड आवश्यक है.
Gift card issued successfully.,उपहार कार्ड सफलतापूर्वक जारी किया गया.
Gift card loaded successfully.,उपहार कार्ड सफलतापूर्वक लोड हो गया.
Gift Card Management,उपहार कार्ड प्रबंधन
Gift card payment,उपहार कार्ड से भुगतान
Gift card redemption requires an online connection,उपहार कार्ड मोचन के लिए ऑनलाइन कनेक्शन की आवश्यकता होती है
Gift card topped up successfully.,उपहार कार्ड सफलतापूर्वक टॉप अप हो गया।
Gift Cards,उपहार कार्ड
Go to Frappe Desk,फ्रैपे डेस्क पर जाएँ
Grand Total,कुल योग
Gross Margin,सकल मार्जिन
Gross Profit,सकल लाभ
Gross Sales,सकल बिक्री
Group not found,समूह नहीं मिला
