POS Awesome,POS بہت اچھے
Action,ایکشن
Active sale,فعال فروخت
add,شامل کریں
Add items from the selector to start building this sale.,اس سیل کی تعمیر شروع کرنے کے لیے سلیکٹر سے آئٹمز شامل کریں۔
Add more value to an existing gift card,موجودہ گفٹ کارڈ میں مزید قدر شامل کریں۔
Add New Address,نیا پتہ شامل کریں۔
Add new customer,نیا گاہک شامل کریں۔
Add on New Line,نئی لائن پر شامل کریں۔
Add Payment,ادائیگی شامل کریں۔
Add payment to invoice,انوائس میں ادائیگی شامل کریں۔
Add/Edit Coupon Conditions,کوپن کی شرائط شامل/ترمیم کریں۔
Additional Discount,اضافی رعایت
Additional Discount %,اضافی رعایت %
Address Line 1,ایڈریس لائن 1
Address not found,پتہ نہیں ملا
Adjust the quantity or enable negative stock to continue.,مقدار کو ایڈجسٹ کریں یا جاری رکھنے کے لیے منفی اسٹاک کو فعال کریں۔
Adjustment,ایڈجسٹمنٹ
After returns,واپسی کے بعد
Against,کے خلاف
Against Name,نام کے خلاف
Age Bracket,عمر کا خط وحدانی
All,تمام
All Caught Up!,سب پکڑے گئے!
All invoices are synchronized,تمام رسیدیں مطابقت پذیر ہیں۔
All pending invoices are up to date,تمام زیر التواء رسیدیں تازہ ترین ہیں۔
All Profiles,تمام پروفائلز
All Synchronized,تمام مطابقت پذیر
All visible invoices are fully settled.,تمام مرئی رسیدیں مکمل طور پر طے شدہ ہیں۔
All Warehouses,تمام گودام
Allowed UOM is {0},اجازت یافتہ UOM ہے {0}
Always fetch items from server (ignore local cache),ہمیشہ سرور سے آئٹمز لائیں (مقامی کیشے کو نظر انداز کریں)
Amount,رقم
Amount already received,رقم پہلے ہی موصول ہو چکی ہے۔
Amount exceeds profile cash movement max amount.,رقم پروفائل کیش موومنٹ کی زیادہ سے زیادہ رقم سے زیادہ ہے۔
Amount must be greater than zero.,رقم صفر سے زیادہ ہونی چاہیے۔
Amount received from customer,گاہک سے وصول کی گئی رقم
Appearance and user-level preferences for the current session.,موجودہ سیشن کے لیے ظاہری شکل اور صارف کی سطح کی ترجیحات۔
Applied,لاگو
Apply,لگائیں
Apply Gift Card,گفٹ کارڈ لگائیں۔
Apply Offer,آفر اپلائی کریں۔
Apply On,اپلائی آن کریں۔
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,صرف اس رقم کو لاگو کریں جو آپ اس انوائس پر چھڑانا چاہتے ہیں۔ باقی بیلنس کارڈ پر ہی رہتا ہے۔
Apply Redemption,Redemption کا اطلاق کریں۔
Applying,درخواست دے رہا ہے۔
Apps,ایپس
Are you sure you want to close? All entered data will be lost.,کیا آپ واقعی بند کرنا چاہتے ہیں؟ تمام درج کردہ ڈیٹا ضائع ہو جائے گا۔
Attributes (Size/Color),صفات (سائز/رنگ)
Auto Allocate Payment Amount,ادائیگی کی رقم خود بخود مختص کریں۔
Auto Reconcile,آٹو ری کنسائل
Auto reconciliation completed after payment submit.,ادائیگی جمع کرانے کے بعد خودکار مفاہمت مکمل ہو گئی۔
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,خودکار مفاہمت مکمل ہوگئی۔ مختص کردہ: {0}{1}۔ باقی بقایا: {0}{2}۔
Available Actions,دستیاب کارروائیاں
Available QTY,دستیاب مقدار
Available:,دستیاب:
Average Basket,اوسط ٹوکری
Average Bill,اوسط بل
Average Ticket,اوسط ٹکٹ
Avg Bill,اوسط بل
Avg Invoice,اوسط انوائس
Avg Invoice Profit,اوسط انوائس منافع
Avg Invoice Value,انوائس کی اوسط قدر
Avg Purchase Frequency,خریداری کی اوسط تعدد
Awesome,بہت اچھا
Awesome Dashboard,زبردست ڈیش بورڈ
Awesome Dashboard is disabled for the selected POS Profile.,منتخب کردہ POS پروفائل کے لیے زبردست ڈیش بورڈ غیر فعال ہے۔
Awesome Dashboard is unavailable for the selected scope.,منتخب دائرہ کار کے لیے زبردست ڈیش بورڈ دستیاب نہیں ہے۔
Awesome Dashboard is visible only to POS supervisors.,شاندار ڈیش بورڈ صرف POS سپروائزرز کو نظر آتا ہے۔
Back,پیچھے
Back Office Cash Account,بیک آفس کیش اکاؤنٹ
Back Office Cash Account (Optional Override),بیک آفس کیش اکاؤنٹ (اختیاری اوور رائڈ)
Back office cash account is required.,بیک آفس کیش اکاؤنٹ درکار ہے۔
Back to {0},واپس {0} پر
Background processing did not finish in time.,بیک گراؤنڈ پروسیسنگ وقت پر ختم نہیں ہوئی۔
Background processing failed for Invoice {0}: {1},انوائس {0} کے لیے پس منظر کی کارروائی ناکام ہو گئی: {1}
Background Submission Failed,پس منظر جمع کرانے میں ناکام
Background sync interval (seconds),پس منظر کی مطابقت پذیری کا وقفہ (سیکنڈ)
Balance,توازن
Balance will be updated when connection is restored,کنکشن بحال ہونے پر بیلنس اپ ڈیٹ ہو جائے گا۔
Balances still pending,بیلنس ابھی باقی ہے۔
Barcode,بارکوڈ
Barcode / QR Ready,بارکوڈ / کیو آر تیار
Barcode Label Printing,بارکوڈ لیبل پرنٹنگ
Base Paid:,بنیادی ادائیگی:
Base Recv:,بیس Recv:
Base:,بنیاد:
Basic Information,بنیادی معلومات
Batch,بیچ
Batch Information,بیچ کی معلومات
Before any return workflow,کسی بھی واپسی ورک فلو سے پہلے
Before returns,واپسی سے پہلے
Best Day,بہترین دن
Best Seller,بہترین فروخت کنندہ
Book expense or deposit from active shift.,ایکٹو شفٹ سے خرچ یا ڈپازٹ بک کریں۔
Branch / Location-wise Report,برانچ/مقام کے لحاظ سے رپورٹ
Brand-wise,برانڈ کے لحاظ سے
Breakdown,خرابی
Browse,براؤز کریں۔
Build Time:,تعمیر کا وقت:
Built with Frappe,Frappe کے ساتھ بنایا گیا ہے۔
Bundle,بنڈل
Buying Price,قیمت خریدنا
Cache cleared successfully,کیشے کامیابی سے صاف ہو گیا۔
Cache Usage,کیشے کا استعمال
cache used,استعمال شدہ کیشے
Calculating...,حساب کر رہا ہے...
Camera Access Required,کیمرے تک رسائی درکار ہے۔
Camera access was aborted. Please try again.,کیمرے تک رسائی ختم کر دی گئی۔ براہ کرم دوبارہ کوشش کریں۔
Camera constraints not supported by your device. Trying fallback settings...,کیمرے کی پابندیاں آپ کے آلے کے ذریعہ تعاون یافتہ نہیں ہیں۔ فال بیک کی ترتیبات کو آزما رہا ہے...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,کیمرا مصروف ہے یا کسی اور ایپ/ٹیب کے ذریعے مسدود ہے۔ دیگر کیمرہ ایپس بند کریں اور دوبارہ کوشش کریں۔
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,کیمرے کی اجازت مسترد کر دی گئی۔ براہ کرم اپنے براؤزر کی ترتیبات میں کیمرے تک رسائی کی اجازت دیں اور صفحہ کو ریفریش کریں۔
Camera scanner is locked until the current error is acknowledged,کیمرہ اسکینر اس وقت تک مقفل ہے جب تک کہ موجودہ غلطی کو تسلیم نہیں کیا جاتا ہے۔
Camera started but the video stream did not load in time. Please try again.,کیمرہ شروع ہوا لیکن ویڈیو سلسلہ وقت پر لوڈ نہیں ہوا۔ براہ کرم دوبارہ کوشش کریں۔
Cancel cash movement {0}?,کیش موومنٹ منسوخ کریں {0}؟
Cancel Payment,ادائیگی منسوخ کریں۔
Cancel Sale,فروخت منسوخ کریں۔
Cancel Sale ?,فروخت منسوخ کریں؟
Cancelled,منسوخ
Cannot add an item with zero or negative quantity.,صفر یا منفی مقدار کے ساتھ کوئی آئٹم شامل نہیں کیا جا سکتا۔
Cannot clear cache while offline,آف لائن رہتے ہوئے کیشے کو صاف نہیں کیا جا سکتا
Cannot redeem customer credit more than invoice total,انوائس کل سے زیادہ کسٹمر کریڈٹ کو نہیں چھڑا سکتا
Cannot redeem gift cards more than invoice total,انوائس کل سے زیادہ گفٹ کارڈز کو نہیں بھنایا جا سکتا
Cannot Save Offline Invoice:,آف لائن انوائس کو محفوظ نہیں کیا جا سکتا:
Cannot Save Offline Payment:,آف لائن ادائیگی کو محفوظ نہیں کیا جا سکتا:
Card,کارڈ
Card / Online,کارڈ / آن لائن
Card health after the last live lookup,آخری لائیو تلاش کے بعد کارڈ کی صحت
Cards,کارڈز
Cart,ٹوکری
Cash,کیش
Cash back to customers,گاہکوں کو کیش واپس
Cash Collections,کیش کلیکشنز
Cash Deposit is disabled for this POS Profile.,اس POS پروفائل کے لیے کیش ڈپازٹ غیر فعال ہے۔
Cash Drawer Snapshot,کیش دراز سنیپ شاٹ
Cash In Hand,کیش ان ہینڈ
Cash Movement,کیش موومنٹ
Cash movement cancelled,نقدی کی نقل و حرکت منسوخ کر دی گئی۔
Cash movement deduction applied,کیش موومنٹ کٹوتی لاگو کر دی گئی۔
Cash movement deleted,کیش موومنٹ کو حذف کر دیا گیا۔
Cash movement is disabled for this POS Profile.,اس POS پروفائل کے لیے کیش کی نقل و حرکت غیر فعال ہے۔
Cash Movement is disabled in current POS Profile.,موجودہ POS پروفائل میں کیش کی نقل و حرکت غیر فعال ہے۔
Cash movement saved offline,کیش موومنٹ آف لائن محفوظ ہو گئی۔
Cash movement submitted,کیش موومنٹ جمع کرائی
Cash Movements,نقدی کی نقل و حرکت
Cash payment cannot be less than invoice total when partial payment is not allowed,جب جزوی ادائیگی کی اجازت نہ ہو تو نقد ادائیگی انوائس کل سے کم نہیں ہو سکتی
Cash returned after payment,ادائیگی کے بعد کیش واپس آ گیا۔
Cashier,کیشئیر
Cashier Access,کیشئر رسائی
Cashier identity and appearance preferences.,کیشئر کی شناخت اور ظاہری شکل کی ترجیحات۔
Cashier PIN,کیشئر پن
Cashier PIN saved successfully.,کیشئر کا پن کامیابی سے محفوظ ہو گیا۔
Cashiers,کیشیئرز
Cashier-wise,کیشئر وار
Categories,زمرہ جات
Category,زمرہ
Category / Brand / Variant Report,زمرہ / برانڈ / متغیر رپورٹ
Category-wise,زمرہ وار
Category-wise Margin,زمرہ وار مارجن
Certificate,سرٹیفکیٹ
Certificate is missing or not trusted. QZ may show confirmation dialogs.,سرٹیفکیٹ غائب ہے یا قابل اعتبار نہیں ہے۔ QZ تصدیقی ڈائیلاگ دکھا سکتا ہے۔
Certificate is trusted. Silent QZ printing is active.,سرٹیفکیٹ قابل اعتماد ہے۔ خاموش QZ پرنٹنگ فعال ہے۔
Change,تبدیلی
Change allocation repaired,ایلوکیشن کو تبدیل کر دیا گیا۔
Change Price,قیمت تبدیل کریں۔
Change Return,واپسی کو تبدیل کریں۔
Change Returned,تبدیلی واپس آ گئی۔
Change terminal cashier,ٹرمینل کیشئیر کو تبدیل کریں۔
Charge Heads,چارج ہیڈز
Charges,چارجز
Charges not found,چارجز نہیں ملے
Check Balance,بیلنس چیک کریں۔
Check balance for any card. Supervisors can issue and top up cards here.,کسی بھی کارڈ کا بیلنس چیک کریں۔ سپروائزر یہاں کارڈ جاری اور ٹاپ اپ کر سکتے ہیں۔
Check balance only,صرف بیلنس چیک کریں۔
Check for new commits,نئے عہدوں کی جانچ کریں۔
Check for Updates,اپ ڈیٹس کے لیے چیک کریں۔
Check live balance before applying redemption,ریڈیمپشن کا اطلاق کرنے سے پہلے لائیو بیلنس چیک کریں۔
Check live balance before redemption,چھٹکارے سے پہلے لائیو بیلنس چیک کریں۔
Checking...,چیک کر رہا ہے...
Cheque/Reference Date,چیک/حوالہ کی تاریخ
Cheque/Reference No,چیک/حوالہ نمبر
Choose the cashier currently operating this terminal.,اس وقت اس ٹرمینل کو چلانے والے کیشیئر کا انتخاب کریں۔
City,شہر
Clear,صاف
Clear All,تمام صاف کریں۔
Clear all barcode items,تمام بارکوڈ آئٹمز کو صاف کریں۔
Clear all purchase order items,خریداری کے آرڈر کی تمام اشیاء کو صاف کریں۔
Clear Search,تلاش صاف کریں۔
Clearing local cache...,مقامی کیشے کو صاف کیا جا رہا ہے...
Click to refresh,ریفریش کرنے کے لیے کلک کریں۔
Client CPU Lag:,کلائنٹ CPU وقفہ:
Client Memory Usage:,کلائنٹ کی یادداشت کا استعمال:
Client Metrics,کلائنٹ میٹرکس
Close about dialog,ڈائیلاگ کے بارے میں بند کریں۔
Close cashier switcher,کیشئر سوئچر کو بند کریں۔
Close closing shift dialog,بند کرنے والی شفٹ ڈائیلاگ کو بند کریں۔
Close column selector,کالم سلیکٹر بند کریں۔
Close Dialog,ڈائیلاگ بند کریں۔
Close drafts dialog,ڈرافٹ ڈائیلاگ بند کریں۔
Close invoice details dialog,انوائس کی تفصیلات کا ڈائیلاگ بند کریں۔
Close invoice management,انوائس مینجمنٹ بند کریں۔
Close offline invoices dialog,آف لائن انوائسز ڈائیلاگ بند کریں۔
Close packing list dialog,پیکنگ لسٹ ڈائیلاگ بند کریں۔
Close returns dialog,واپسی کا ڈائیلاگ بند کریں۔
Close sales orders dialog,سیلز آرڈرز کا ڈائیلاگ بند کریں۔
Close Scanner,سکینر بند کریں۔
Close scanner dialog,سکینر ڈائیلاگ بند کریں۔
Close Settings,ترتیبات بند کریں۔
Closing Amount,بند ہونے والی رقم
Closing POS Shift,POS شفٹ بند ہو رہا ہے۔
Closing Snapshot Available,کلوزنگ اسنیپ شاٹ دستیاب ہے۔
Code,کوڈ
Code scanned successfully,کوڈ کو کامیابی سے اسکین کیا گیا۔
COGS,COGS
Collapse item details,آئٹم کی تفصیلات کو سکیڑیں۔
Collected,جمع
Cols,کولس
Columns,کالم
commits,عہد کرتا ہے
Completed and active sales in this range,اس رینج میں مکمل اور فعال فروخت
Completed returns will appear here.,مکمل واپسی یہاں ظاہر ہوگی۔
Confirm,تصدیق کریں۔
Confirm Close,بند کی تصدیق کریں۔
Confirm Mobile Number,موبائل نمبر کی تصدیق کریں۔
Confirm PIN,پن کی تصدیق کریں۔
Connect,جڑیں۔
Connect printer and manage certificate,پرنٹر کو جوڑیں اور سرٹیفکیٹ کا نظم کریں۔
Connecting to QZ Tray...,QZ ٹرے سے منسلک ہو رہا ہے...
Connection problem while submitting invoice,انوائس جمع کرواتے وقت کنکشن کا مسئلہ
Connections:,رابطے:
Connectivity and cached prerequisite status were rechecked.,کنیکٹیویٹی اور کیش شدہ شرط کی حیثیت کو دوبارہ چیک کیا گیا۔
Continue Editing,ترمیم جاری رکھیں
Could not fetch latest balance from server,سرور سے تازہ ترین بیلنس حاصل نہیں کیا جا سکا
Count,شمار
Country,ملک
Coupon,کوپن
Coupons,کوپن
Cover,ڈھانپنا
CPU Cores:,CPU کور:
Create,بنائیں
Create and load a new prepaid card,ایک نیا پری پیڈ کارڈ بنائیں اور لوڈ کریں۔
Create and preload a new gift card,نیا گفٹ کارڈ بنائیں اور پہلے سے لوڈ کریں۔
Create Bill,بل بنائیں
Create Customer,گاہک بنائیں
Create New Item,نیا آئٹم بنائیں
Create or change your PIN,اپنا PIN بنائیں یا تبدیل کریں۔
Create PIN,PIN بنائیں
Create POS Opening Shift,POS اوپننگ شفٹ بنائیں
Create Purchase Order,پرچیز آرڈر بنائیں
Create Return,ریٹرن بنائیں
Create return from invoice,انوائس سے واپسی بنائیں
Create Supplier,سپلائر بنائیں
Credit and Output,کریڈٹ اور آؤٹ پٹ
Credit Note,کریڈٹ نوٹ
Credit Outstanding,کریڈٹ بقایا
Credit sales remaining to be collected,کریڈٹ سیلز جمع کرنا باقی ہے۔
Critical,تنقیدی
Currency,کرنسی
Current,کرنٹ
Current Event Loop Lag:,موجودہ ایونٹ لوپ وقفہ:
Current Month,موجودہ مہینہ
Current PIN,موجودہ پن
Current Profile,موجودہ پروفائل
Current redeemable value on the gift card,گفٹ کارڈ پر موجودہ قابل تلافی قیمت
Current User,موجودہ صارف
Custom,حسب ضرورت
Custom Due Days,حسب ضرورت مقررہ دن
Custom items per page,فی صفحہ حسب ضرورت اشیاء
Customer,گاہک
Customer already selected,گاہک پہلے ہی منتخب ہو چکا ہے۔
Customer Balance,کسٹمر بیلنس
Customer balance unavailable offline,کسٹمر بیلنس آف لائن دستیاب نہیں ہے۔
Customer created successfully.,گاہک کامیابی کے ساتھ بنایا گیا۔
Customer creation failed.,گاہک کی تخلیق ناکام ہوگئی۔
Customer Details,کسٹمر کی تفصیلات
Customer display channel is missing,کسٹمر ڈسپلے چینل غائب ہے۔
Customer display was blocked. Please allow pop-ups for this site.,کسٹمر ڈسپلے کو بلاک کر دیا گیا تھا۔ براہ کرم اس سائٹ کے لیے پاپ اپس کی اجازت دیں۔
Customer group is required,کسٹمر گروپ کی ضرورت ہے۔
Customer is required to add payment,کسٹمر کو ادائیگی شامل کرنے کی ضرورت ہے۔
Customer Name is required,گاہک کا نام درکار ہے۔
Customer not selected,گاہک منتخب نہیں ہوا۔
Customer Report,کسٹمر رپورٹ
Customer saved offline,گاہک آف لائن محفوظ ہوا۔
Customer Screen,کسٹمر اسکرین
Customer territory is required,گاہک کا علاقہ درکار ہے۔
Customer updated successfully.,گاہک کامیابی کے ساتھ اپ ڈیٹ ہو گیا۔
Customer-facing tools and printer setup.,کسٹمر کا سامنا کرنے والے ٹولز اور پرنٹر سیٹ اپ۔
Customers,گاہکوں
Customers not found,گاہک نہیں ملے
Daily cashier actions without scrolling.,اسکرولنگ کے بغیر روزانہ کیشیئر کی کارروائیاں۔
Daily Sales,ڈیلی سیلز
Daily Sales Summary,ڈیلی سیلز کا خلاصہ
Data loaded in form. Review and submit.,ڈیٹا فارم میں بھرا ہوا ہے۔ جائزہ لیں اور جمع کرائیں۔
Database Health,ڈیٹا بیس ہیلتھ
Database health affects overall system speed and reliability.,ڈیٹا بیس کی صحت مجموعی نظام کی رفتار اور وشوسنییتا کو متاثر کرتی ہے۔
Database Info,ڈیٹا بیس کی معلومات
Date,تاریخ
Day ?,دن؟
days,دن
Day-wise (MTD),دن کے حساب سے (MTD)
Day-wise Movement,دن وار تحریک
Dead Stock,ڈیڈ اسٹاک
Dead Stock Items,ڈیڈ اسٹاک آئٹمز
Decrease quantity,مقدار کو کم کریں۔
Default,طے شدہ
Default:,ڈیفالٹ:
Delete,حذف کریں۔
Delete cancelled cash movement {0}?,منسوخ شدہ کیش موومنٹ {0} کو حذف کریں؟
Delete Draft,مسودہ حذف کریں۔
Delete draft invoice,ڈرافٹ انوائس کو حذف کریں۔
Delete draft invoice {0}?,ڈرافٹ انوائس {0} کو حذف کریں؟
Delete Invoice,انوائس کو حذف کریں۔
Delete offline invoice,آف لائن انوائس کو حذف کریں۔
Delivered,پہنچایا
Delivery Charges,ڈیلیوری چارجز
Delivery Information,ترسیل کی معلومات
Delivery Note {0} created,ڈیلیوری نوٹ {0} بنایا گیا۔
Delivery note created,ڈیلیوری نوٹ بنایا گیا۔
Deployed Bundle:,تعینات بنڈل:
Deposit,جمع
Description,تفصیل
Detailed Supplier Breakdown,تفصیلی سپلائر بریک ڈاؤن
Detecting formats:,فارمیٹس کا پتہ لگانا:
Device Memory:,ڈیوائس میموری:
Difference,فرق
Difference (In Company Currency),فرق (کمپنی کی کرنسی میں)
Disable offline mode first to recheck live connectivity.,لائیو کنیکٹیویٹی کو دوبارہ چیک کرنے کے لیے پہلے آف لائن وضع کو غیر فعال کریں۔
Disconnect,منقطع کرنا
discount,رعایت
Discount %,رعایت %
Discount / Void / Return Report,رعایت / باطل / واپسی کی رپورٹ
Discount Amount,ڈسکاؤنٹ کی رقم
Discount limited by POS Profile,ڈسکاؤنٹ POS پروفائل کے ذریعے محدود ہے۔
Discounted Invoices,رعایتی رسیدیں
Discounts,چھوٹ
Dismiss,برطرف کرنا
Download Certificate,سرٹیفکیٹ ڈاؤن لوڈ کریں۔
Draft,مسودہ
Draft invoice deleted,انوائس کا مسودہ حذف کر دیا گیا۔
Draft source,مسودہ ماخذ
Drafts,ڈرافٹ
Due {0},واجب الادا {0}
Due Date,مقررہ تاریخ
Duplicate,نقل
Edit customer,کسٹمر میں ترمیم کریں۔
Edit discount amount,رعایت کی رقم میں ترمیم کریں۔
Edit discount percentage,رعایت کے فیصد میں ترمیم کریں۔
Edit Gift Application,گفٹ ایپلیکیشن میں ترمیم کریں۔
Edit item name,آئٹم کے نام میں ترمیم کریں۔
Edit quantity,مقدار میں ترمیم کریں۔
Edit rate,شرح میں ترمیم کریں۔
Edit unit of measure,پیمائش کی اکائی میں ترمیم کریں۔
Edited,ترمیم شدہ
Employee,ملازم
Enable background sync,پس منظر کی مطابقت پذیری کو فعال کریں۔
Enable Customer Display in POS Profile first.,پہلے POS پروفائل میں کسٹمر ڈسپلے کو فعال کریں۔
Enter a PIN.,ایک PIN درج کریں۔
Enter a valid grams value,ایک درست گرام قدر درج کریں۔
Enter new price list rate,نئی قیمت کی فہرست کی شرح درج کریں۔
Enter Quantity,مقدار درج کریں۔
Enter the cashier PIN to continue.,جاری رکھنے کے لیے کیشئر کا پن درج کریں۔
Enter the current PIN first.,پہلے موجودہ PIN درج کریں۔
"Enter the current PIN, then choose a new one.",موجودہ PIN درج کریں، پھر ایک نیا منتخب کریں۔
Enter valid grams for scale barcode,اسکیل بارکوڈ کے لیے درست گرام درج کریں۔
Entries,اندراجات
Error accessing camera:,کیمرے تک رسائی میں خرابی:
Error calculating prices,قیمتوں کا حساب لگانے میں خرابی۔
Error fetching customer balance,کسٹمر بیلنس حاصل کرنے میں خرابی۔
Error in change calculations!,تبدیلی کے حساب کتاب میں غلطی!
Error Loading Data,ڈیٹا لوڈ کرنے میں خرابی۔
Error loading invoice details,انوائس کی تفصیلات لوڈ کرنے میں خرابی۔
Error processing invoice,انوائس پر کارروائی کرنے میں خرابی۔
Error processing payment,ادائیگی پر کارروائی کرنے میں خرابی۔
Error searching invoices,رسیدیں تلاش کرنے میں خرابی۔
Error submitting invoice:,رسید جمع کرانے میں خرابی:
Error submitting invoice: {0},رسید جمع کرانے میں خرابی: {0}
Error submitting invoice: No response from server,انوائس جمع کرانے میں خرابی: سرور سے کوئی جواب نہیں۔
Error updating currency,کرنسی کو اپ ڈیٹ کرنے میں خرابی۔
Error updating item details,آئٹم کی تفصیلات کو اپ ڈیٹ کرنے میں خرابی۔
Est. Purchase,تخمینہ خریداری
Est. Value,تخمینہ قدر
Event-loop lag measures how busy your browser is. Lower is better.,ایونٹ لوپ وقفہ سے اندازہ ہوتا ہے کہ آپ کا براؤزر کتنا مصروف ہے۔ نچلا بہتر ہے۔
Every,ہر
Exchange Rate,شرح تبادلہ
Expand item details,آئٹم کی تفصیلات کو پھیلائیں۔
Expected Amount (In Company Currency),متوقع رقم (کمپنی کی کرنسی میں)
Expected Cash,متوقع نقد
Expected cash on hand grouped by currency,کرنسی کے لحاظ سے گروپ کردہ ہاتھ پر متوقع نقد
Expected vs Actual,متوقع بمقابلہ اصل
Expense,خرچہ
Expense Account (Optional Override),اخراجات کا اکاؤنٹ (اختیاری اوور رائڈ)
Expense account is required.,اخراجات کا اکاؤنٹ درکار ہے۔
Expenses and deposits posted during this shift,اس شفٹ کے دوران پوسٹ کیے گئے اخراجات اور ڈپازٹس
Expired,میعاد ختم
Failed to auto reconcile payments.,ادائیگیوں کو خودکار طور پر ملانے میں ناکام۔
Failed to cancel cash movement,کیش موومنٹ منسوخ کرنے میں ناکام
Failed to clear cache,کیشے صاف کرنے میں ناکام
Failed to create item,آئٹم بنانے میں ناکام
Failed to create supplier,سپلائر بنانے میں ناکام
Failed to delete cash movement,کیش موومنٹ کو حذف کرنے میں ناکام
Failed to generate scale barcode. Using item barcode only.,اسکیل بار کوڈ بنانے میں ناکام۔ صرف آئٹم بارکوڈ استعمال کرنا۔
Failed to load cash movement context.,کیش موومنٹ سیاق و سباق لوڈ کرنے میں ناکام۔
Failed to load dashboard data.,ڈیش بورڈ ڈیٹا لوڈ کرنے میں ناکام۔
Failed to reload invoice from server,سرور سے انوائس کو دوبارہ لوڈ کرنے میں ناکام
Failed to submit cash movement,کیش موومنٹ جمع کرانے میں ناکام
Failed to sync offline cash movements,آف لائن کیش موومنٹ کو سنک کرنے میں ناکام
Fast cashier actions for active shifts.,فعال شفٹوں کے لیے تیزی سے کیشئر کی کارروائیاں۔
Fast Moving Items,فاسٹ موونگ آئٹمز
Fees,فیس
Fetch the latest offline prerequisite updates,تازہ ترین آف لائن پیشگی اپ ڈیٹس حاصل کریں۔
Find a sales order quickly and load it into the current sale.,فوری طور پر سیلز آرڈر تلاش کریں اور اسے موجودہ سیل میں لوڈ کریں۔
Fixing payment amounts for return invoice...,ریٹرن انوائس کے لیے ادائیگی کی رقم طے کرنا...
Flash Off,فلیش آف
Flash On,فلیش آن
