POS Awesome,POS Mahtavaa
Additional Discount,Lisäalennus
Additional Discount %,Lisäalennus %
Address Line 1,Osoiterivi 1
Address not found,Osoitetta ei löydy
Adjust the quantity or enable negative stock to continue.,Säädä määrää tai salli negatiivinen varasto jatkaa.
Adjustment,Säätö
After returns,Palauksien jälkeen
Against,vastaan
Against Name,Nimeä vastaan
Age Bracket,Ikäraja
All,Kaikki
All Caught Up!,Kaikki kiinni!
All invoices are synchronized,Kaikki laskut synkronoidaan
All pending invoices are up to date,Kaikki odottavat laskut ovat ajan tasalla
All Profiles,Kaikki profiilit
All Synchronized,Kaikki synkronoitu
All visible invoices are fully settled.,Kaikki näkyvät laskut ovat täysin maksettuja.
All Warehouses,Kaikki varastot
Allowed UOM is {0},Sallittu UOM on {0}
Always fetch items from server (ignore local cache),Hae aina kohteet palvelimelta (ohita paikallinen välimuisti)
Amount,Summa
Amount already received,Summa jo saatu
Amount exceeds profile cash movement max amount.,Summa ylittää profiilin kassaliikkeen enimmäissumman.
Amount must be greater than zero.,Summan on oltava suurempi kuin nolla.
Amount received from customer,Asiakkaalta saatu summa
Appearance and user-level preferences for the current session.,Nykyisen istunnon ulkoasu ja käyttäjätason asetukset.
Applied,Sovellettu
Apply,Käytä
Apply Gift Card,Käytä lahjakorttia
Apply Offer,Käytä tarjous
Apply On,Käytä päälle
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Käytä tähän laskuun vain lunastettava summa. Jäljellä oleva saldo jää kortille.
Apply Redemption,Käytä Lunastus
Applying,Hakeminen
Apps,Sovellukset
Are you sure you want to close? All entered data will be lost.,Haluatko varmasti sulkea? Kaikki syötetyt tiedot menetetään.
Attributes (Size/Color),Ominaisuudet (koko/väri)
Auto Allocate Payment Amount,Maksusumman automaattinen kohdistaminen
Auto Reconcile,Automaattinen sovitus
Auto reconciliation completed after payment submit.,Automaattinen täsmäytys suoritettu maksun lähettämisen jälkeen.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Automaattinen täsmäytys suoritettu. Jaettu: {0}{1}. Jäljellä: {0}{2}.
Available Actions,Käytettävissä olevat toiminnot
Available QTY,Saatavilla Kpl
Available:,Saatavilla:
Average Basket,Keskimääräinen kori
Average Bill,Keskimääräinen lasku
Average Ticket,Keskimääräinen lippu
Avg Bill,Keskim. lasku
Avg Invoice,Keskimääräinen lasku
Avg Invoice Profit,Keskimääräinen laskun voitto
Avg Invoice Value,Laskun keskiarvo
Avg Purchase Frequency,Keskimääräinen ostotiheys
Awesome,Mahtavaa
Awesome Dashboard,Upea hallintapaneeli
Awesome Dashboard is disabled for the selected POS Profile.,Awesome Dashboard ei ole käytössä valitussa POS-profiilissa.
Awesome Dashboard is unavailable for the selected scope.,Awesome Dashboard ei ole saatavilla valitulle laajuudelle.
Awesome Dashboard is visible only to POS supervisors.,Awesome Dashboard näkyy vain POS-valvojille.
Back,Takaisin
Back Office Cash Account,Back Officen kassatili
Back Office Cash Account (Optional Override),Back Officen kassatili (valinnainen ohitus)
Back office cash account is required.,Back office -kassatili vaaditaan.
Back to {0},Takaisin {0}
Background processing did not finish in time.,Taustakäsittely ei päättynyt ajoissa.
Background processing failed for Invoice {0}: {1},Taustakäsittely epäonnistui laskulle {0}: {1}
Background Submission Failed,Taustalähetys epäonnistui
Background sync interval (seconds),Taustasynkronointiväli (sekuntia)
Balance,Tasapaino
Balance will be updated when connection is restored,"Saldo päivitetään, kun yhteys palautetaan"
Balances still pending,Saldot edelleen odottavat
Barcode,Viivakoodi
Barcode / QR Ready,Viivakoodi / QR-valmius
Barcode Label Printing,Viivakooditarrojen tulostus
Base Paid:,Perus maksettu:
Base Recv:,Perusvastaanotto:
Base:,Perus:
Basic Information,Perustiedot
Batch,Erä
Batch Information,Erätiedot
Before any return workflow,Ennen paluutyönkulkua
Before returns,Ennen paluuta
Best Day,Paras päivä
Best Seller,Paras myyjä
Book expense or deposit from active shift.,Varauskulu tai talletus aktiivisesta vuorosta.
Branch / Location-wise Report,Haara / sijaintikohtainen raportti
Brand-wise,Brändikohtaisesti
Breakdown,Erittely
Browse,Selaa
Build Time:,Rakennusaika:
Built with Frappe,Rakennettu Frappella
Bundle,Paketti
Buying Price,Ostohinta
Cache cleared successfully,Välimuisti tyhjennetty onnistuneesti
Cache Usage,Välimuistin käyttö
cache used,välimuisti käytetty
Calculating...,Lasketaan...
Camera Access Required,Kameran käyttö vaaditaan
Camera access was aborted. Please try again.,Kameran käyttö keskeytettiin. Yritä uudelleen.
Camera constraints not supported by your device. Trying fallback settings...,Laitteesi ei tue kameran rajoituksia. Yritetään varaasetuksia...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,Kamera on varattu tai toinen sovellus/välilehti estää sen. Sulje muut kamerasovellukset ja yritä uudelleen.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,Kameran lupa evätty. Salli kameran käyttö selaimesi asetuksista ja päivitä sivu.
Camera scanner is locked until the current error is acknowledged,"Kameraskanneri on lukittu, kunnes nykyinen virhe kuitataan"
Camera started but the video stream did not load in time. Please try again.,"Kamera käynnistyi, mutta videovirta ei latautunut ajoissa. Yritä uudelleen."
Cancel cash movement {0}?,Perutaanko käteissiirto {0}?
Cancel Payment,Peruuta maksu
Cancel Sale,Peruuta myynti
Cancel Sale ?,Peruuta myynti?
Cancelled,Peruutettu
Cannot add an item with zero or negative quantity.,"Ei voi lisätä tuotetta, jonka määrä on nolla tai negatiivinen."
Cannot clear cache while offline,Välimuistia ei voi tyhjentää offline-tilassa
Cannot redeem customer credit more than invoice total,Asiakasluottoa ei voi lunastaa enempää kuin laskun kokonaissumma
Cannot redeem gift cards more than invoice total,Lahjakortteja ei voi lunastaa enempää kuin laskun kokonaissumma
Cannot Save Offline Invoice:,Offline-laskua ei voi tallentaa:
Cannot Save Offline Payment:,Offline-maksua ei voi tallentaa:
Card,kortti
Card / Online,Kortti / Online
Card health after the last live lookup,Kortin kunto viimeisen reaaliaikaisen haun jälkeen
Cards,Kortit
Cart,Kärry
Cash,käteistä
Cash back to customers,Rahat takaisin asiakkaille
Cash Collections,Käteiskokoelmat
Cash Deposit is disabled for this POS Profile.,Käteistalletus on poistettu käytöstä tässä POS-profiilissa.
Cash Drawer Snapshot,Kassalaatikon tilannekuva
Cash In Hand,Käteistä Kädessä
Cash Movement,Kassaliikenteessä
Cash movement cancelled,Käteissiirto peruttu
Cash movement deduction applied,Kassaliikenteestä tehty vähennys
Cash movement deleted,Kassaliike poistettu
Cash movement is disabled for this POS Profile.,Rahansiirto on estetty tässä POS-profiilissa.
Cash Movement is disabled in current POS Profile.,Cash Movement on poistettu käytöstä nykyisessä POS-profiilissa.
Cash movement saved offline,Kassaliike tallennettu offline-tilaan
Cash movement submitted,Käteissiirto lähetetty
Cash Movements,Kassaliikkeet
Cash payment cannot be less than invoice total when partial payment is not allowed,"Käteismaksu ei voi olla pienempi kuin laskun loppusumma, kun osamaksu ei ole sallittu"
Cash returned after payment,Käteinen palautettu maksun jälkeen
Cashier,Kassa
Cashier Access,Kassapääsy
Cashier identity and appearance preferences.,Kassan identiteetti ja ulkonäköasetukset.
Cashier PIN,Kassan PIN-koodi
Cashier PIN saved successfully.,Kassan PIN-koodi tallennettu onnistuneesti.
Cashiers,Kassat
Cashier-wise,Kassan kannalta
Categories,Luokat
Category,Luokka
Category / Brand / Variant Report,Luokka/Brändi/Varianttiraportti
Category-wise,Luokkakohtaisesti
Category-wise Margin,Kategoriakohtainen marginaali
Certificate,Todistus
Certificate is missing or not trusted. QZ may show confirmation dialogs.,Varmenne puuttuu tai siihen ei luoteta. QZ saattaa näyttää vahvistusikkunat.
Certificate is trusted. Silent QZ printing is active.,Sertifikaatti on luotettava. Hiljainen QZ-tulostus on aktiivinen.
Change,Muuta
Change allocation repaired,Muutoskohde korjattu
Change Price,Muuta hintaa
Change Return,Muuta palautusta
Change Returned,Muutos palautettu
Change terminal cashier,Vaihda terminaalin kassa
Charge Heads,Latauspäät
Charges,Maksut
Charges not found,Maksuja ei löytynyt
Check Balance,Tarkista saldo
Check balance for any card. Supervisors can issue and top up cards here.,Tarkista minkä tahansa kortin saldo. Valvojat voivat myöntää ja täydentää kortteja täällä.
Check balance only,Tarkista vain saldo
Check for new commits,Tarkista uudet sitoumukset
Check for Updates,Tarkista päivitykset
Check live balance before applying redemption,Tarkista live-saldo ennen lunastuksen käyttämistä
Check live balance before redemption,Tarkista live-saldo ennen lunastusta
Checking...,Tarkistetaan...
Cheque/Reference Date,Sekki/viitepäivämäärä
Cheque/Reference No,Sekki/viitenumero
Choose the cashier currently operating this terminal.,"Valitse kassa, joka tällä hetkellä käyttää tätä terminaalia."
City,Kaupunki
Clear,Selkeä
Clear All,Tyhjennä kaikki
Clear all barcode items,Tyhjennä kaikki viivakoodikohteet
Clear all purchase order items,Tyhjennä kaikki ostotilauksen tuotteet
Clear Search,Tyhjennä haku
Clearing local cache...,Tyhjennetään paikallista välimuistia...
Click to refresh,Päivitä napsauttamalla
Client CPU Lag:,Asiakasprosessorin viive:
Client Memory Usage:,Asiakkaan muistin käyttö:
Client Metrics,Asiakasmittarit
Close about dialog,Sulje dialogi
Close cashier switcher,Sulje kassan vaihtaja
Close closing shift dialog,Sulje vaihtoikkunan sulkeminen
Close column selector,Sulje sarakkeen valitsin
Close Dialog,Sulje valintaikkuna
Close drafts dialog,Sulje luonnosten valintaikkuna
Close invoice details dialog,Sulje laskun tietojen valintaikkuna
Close invoice management,Sulje laskujen hallinta
Close offline invoices dialog,Sulje offline-laskujen valintaikkuna
Close packing list dialog,Sulje pakkausluettelon valintaikkuna
Close returns dialog,Sulje palautusikkuna
Close sales orders dialog,Sulje myyntitilausten valintaikkuna
Close Scanner,Sulje skanneri
Close scanner dialog,Sulje skannerin valintaikkuna
Close Settings,Sulje Asetukset
Closing Amount,Sulkemissumma
Closing POS Shift,Suljetaan POS Shift
Closing Snapshot Available,Sulkeva tilannekuva saatavilla
Code,Koodi
Code scanned successfully,Koodi skannattu onnistuneesti
COGS,COGS
Collapse item details,Tiivistä kohteen tiedot
Collected,Kerätty
Cols,Cols
Columns,Sarakkeet
commits,sitoutuu
Completed and active sales in this range,Valmistunut ja aktiivinen myynti tällä alueella
Completed returns will appear here.,Valmiit palautukset näkyvät täällä.
Confirm,Vahvista
Confirm Close,Vahvista Sulje
Confirm Mobile Number,Vahvista matkapuhelinnumero
Confirm PIN,Vahvista PIN
Connect,Yhdistä
Connect printer and manage certificate,Yhdistä tulostin ja hallitse varmennetta
Connecting to QZ Tray...,Yhdistetään QZ-lokeroon...
Connection problem while submitting invoice,Yhteysongelma laskua lähetettäessä
Connections:,Liitännät:
Connectivity and cached prerequisite status were rechecked.,Yhteydet ja välimuistin edellytystila tarkistettiin uudelleen.
Continue Editing,Jatka muokkaamista
Could not fetch latest balance from server,Viimeisintä saldoa ei voitu hakea palvelimelta
Count,Count
Country,Maa
Coupon,Kuponki
Coupons,Kupongit
Cover,Kansi
CPU Cores:,CPU-ytimet:
Create,Luo
Create and load a new prepaid card,Luo ja lataa uusi prepaid-kortti
Create and preload a new gift card,Luo ja esilataa uusi lahjakortti
Create Bill,Luo Bill
Create Customer,Luo asiakas
Create New Item,Luo uusi kohde
Create or change your PIN,Luo tai muuta PIN-koodi
Create PIN,Luo PIN-koodi
Create POS Opening Shift,Luo POS Opening Shift
Create Purchase Order,Luo ostotilaus
Create Return,Luo palautus
Create return from invoice,Luo palautus laskusta
Create Supplier,Luo toimittaja
Credit and Output,Luotto ja tuotanto
Credit Note,Luottoilmoitus
Credit Outstanding,Luotto erinomainen
Credit sales remaining to be collected,Luottomyyntejä on vielä kerättävä
Critical,Kriittinen
Currency,Valuutta
Current,Nykyinen
Current Event Loop Lag:,Nykyisen tapahtumasilmukan viive:
Current Month,Kuluva kuukausi
Current PIN,Nykyinen PIN-koodi
Current Profile,Nykyinen profiili
Current redeemable value on the gift card,Tämänhetkinen lunastusarvo lahjakortilla
Current User,Nykyinen käyttäjä
Custom,Mukautettu
Custom Due Days,Mukautetut eräpäivät
Custom items per page,Mukautetut tuotteet sivulla
Customer,Asiakas
Customer already selected,Asiakas on jo valittu
Customer Balance,Asiakassaldo
Customer balance unavailable offline,Asiakassaldo ei ole käytettävissä offline-tilassa
Customer created successfully.,Asiakas luotiin onnistuneesti.
Customer creation failed.,Asiakkaan luominen epäonnistui.
Customer Details,Asiakkaan tiedot
Customer display channel is missing,Asiakkaan näyttökanava puuttuu
Customer display was blocked. Please allow pop-ups for this site.,Asiakasnäyttö estettiin. Salli ponnahdusikkunat tälle sivustolle.
Customer group is required,Asiakasryhmä vaaditaan
Customer is required to add payment,Asiakkaan on lisättävä maksu
Customer Name is required,Asiakkaan nimi vaaditaan
Customer not selected,Asiakasta ei ole valittu
Customer Report,Asiakasraportti
Customer saved offline,Asiakas tallennettu offline-tilaan
Customer Screen,Asiakasnäyttö
Customer territory is required,Asiakkaan alue vaaditaan
Customer updated successfully.,Asiakas päivitetty onnistuneesti.
Customer-facing tools and printer setup.,Asiakkaalle suunnatut työkalut ja tulostimen asennus.
Customers,Asiakkaat
Customers not found,Asiakkaita ei löytynyt
Daily cashier actions without scrolling.,Päivittäiset kassatoiminnot ilman vierittämistä.
Daily Sales,Päivittäinen myynti
Daily Sales Summary,Päivittäinen myyntiyhteenveto
Data loaded in form. Review and submit.,Tiedot ladattu lomakkeeseen. Tarkista ja lähetä.
Database Health,Tietokannan terveys
Database health affects overall system speed and reliability.,Tietokannan kunto vaikuttaa järjestelmän yleiseen nopeuteen ja luotettavuuteen.
Database Info,Tietokannan tiedot
Date,Päivämäärä
Day ?,päivä?
days,päivää
Day-wise (MTD),Päiväkohtainen (MTD)
Day-wise Movement,Päivän viisas liike
Dead Stock,Kuollut varasto
Dead Stock Items,Kuolleet varastotuotteet
Decrease quantity,Vähennä määrää
Default,Oletus
Default:,Oletus:
Delete,Poista
Delete cancelled cash movement {0}?,Poistetaanko peruutettu käteissiirto {0}?
Delete Draft,Poista luonnos
Delete draft invoice,Poista laskuluonnos
Delete draft invoice {0}?,Poistetaanko laskuluonnos {0}?
Delete Invoice,Poista lasku
Delete offline invoice,Poista offline-lasku
Delivered,Toimitettu
Delivery Charges,Toimituskulut
Delivery Information,Toimitustiedot
Delivery Note {0} created,Lähetysilmoitus {0} luotu
Delivery note created,Toimitustodistus luotu
Deployed Bundle:,Käyttöön otettu paketti:
Deposit,Talletus
Description,Kuvaus
Detailed Supplier Breakdown,Yksityiskohtainen toimittajien erittely
Detecting formats:,Tunnistetaan muotoja:
Device Memory:,Laitteen muisti:
Difference,Ero
Difference (In Company Currency),Ero (yrityksen valuutassa)
Disable offline mode first to recheck live connectivity.,"Poista offline-tila käytöstä ensin, jotta voit tarkistaa live-yhteyden uudelleen."
Disconnect,Katkaise yhteys
discount,alennus
Discount %,Alennus %
Discount / Void / Return Report,Alennus / mitätöinti / palautusraportti
Discount Amount,Alennussumma
Discount limited by POS Profile,Alennus on rajoitettu POS-profiilin mukaan
Discounted Invoices,Alennetut laskut
Discounts,Alennukset
Dismiss,Hylkää
Download Certificate,Lataa sertifikaatti
Draft,Luonnos
Draft invoice deleted,Laskuluonnos poistettu
Draft source,Luonnoslähde
Drafts,Luonnokset
Due {0},Eräpäivä {0}
Due Date,Eräpäivä
Duplicate,Kopioi
Edit customer,Muokkaa asiakasta
Edit discount amount,Muokkaa alennuksen määrää
Edit discount percentage,Muokkaa alennusprosenttia
Edit Gift Application,Muokkaa lahjahakemusta
Edit item name,Muokkaa kohteen nimeä
Edit quantity,Muokkaa määrää
Edit rate,Muokkaa kurssia
Edit unit of measure,Muokkaa mittayksikköä
Edited,Muokattu
Employee,Työntekijä
Enable background sync,Ota taustasynkronointi käyttöön
Enable Customer Display in POS Profile first.,Ota Asiakkaan näyttö käyttöön POS-profiilissa ensin.
Enter a PIN.,Anna PIN-koodi.
Enter a valid grams value,Anna kelvollinen gramma-arvo
Enter new price list rate,Syötä uusi hinnastohinta
Enter Quantity,Syötä määrä
Enter the cashier PIN to continue.,Syötä kassan PIN-koodi jatkaaksesi.
Enter the current PIN first.,Syötä ensin nykyinen PIN-koodi.
"Enter the current PIN, then choose a new one.",Anna nykyinen PIN-koodi ja valitse sitten uusi.
Enter valid grams for scale barcode,Anna vaa'an viivakoodin kelvolliset grammat
Entries,merkinnät
Error accessing camera:,Virhe käytettäessä kameraa:
Error calculating prices,Virhe laskettaessa hintoja
Error fetching customer balance,Virhe haettaessa asiakkaan saldoa
Error in change calculations!,Virhe muutoslaskelmissa!
Error Loading Data,Virhe ladattaessa tietoja
Error loading invoice details,Virhe ladattaessa laskun tietoja
Error processing invoice,Virhe laskun käsittelyssä
Error processing payment,Virhe maksun käsittelyssä
Error searching invoices,Virhe haettaessa laskuja
Error submitting invoice:,Virhe laskun lähettämisessä:
Error submitting invoice: {0},Virhe laskun lähettämisessä: {0}
Error submitting invoice: No response from server,Virhe laskun lähettämisessä: Ei vastausta palvelimelta
Error updating currency,Virhe valuutan päivityksessä
Error updating item details,Virhe päivitettäessä tuotteen tietoja
Est. Purchase,Arvioitu Osta
Est. Value,Arvioitu Arvo
Event-loop lag measures how busy your browser is. Lower is better.,"Tapahtumasilmukan viive mittaa, kuinka kiireinen selaimesi on. Alempi on parempi."
Every,Jokainen
Exchange Rate,Valuuttakurssi
Expand item details,Laajenna tuotteen tiedot
Expected Amount (In Company Currency),Odotettu summa (yrityksen valuutassa)
Expected Cash,Odotettu käteinen
Expected cash on hand grouped by currency,Odotettavissa oleva käteinen ryhmitelty valuutan mukaan
Expected vs Actual,Odotettu vs todellinen
Expense,Kustannukset
Expense Account (Optional Override),Kulutustili (valinnainen ohitus)
Expense account is required.,Kulutustili vaaditaan.
Expenses and deposits posted during this shift,Tämän muutoksen aikana kirjatut kulut ja talletukset
Expired,Vanhentunut
Failed to auto reconcile payments.,Maksujen automaattinen täsmäytys epäonnistui.
Failed to cancel cash movement,Käteissiirron peruuttaminen epäonnistui
Failed to clear cache,Välimuistin tyhjennys epäonnistui
Failed to create item,Kohteen luominen epäonnistui
Failed to create supplier,Toimittajan luominen epäonnistui
Failed to delete cash movement,Käteisliikkeen poistaminen epäonnistui
Failed to generate scale barcode. Using item barcode only.,Mittakaavaviivakoodin luominen epäonnistui. Käytä vain tuotteen viivakoodia.
Failed to load cash movement context.,Käteisliikekontekstin lataaminen epäonnistui.
Failed to load dashboard data.,Kojelaudan tietojen lataaminen epäonnistui.
Failed to reload invoice from server,Laskun lataaminen uudelleen palvelimelta epäonnistui
Failed to submit cash movement,Käteissiirron lähettäminen epäonnistui
Failed to sync offline cash movements,Offline-kassaliikkeiden synkronointi epäonnistui
Fast cashier actions for active shifts.,Nopeat kassatoimet aktiivisiin työvuoroihin.
Fast Moving Items,Nopeasti liikkuvat kohteet
Fees,Maksut
Fetch the latest offline prerequisite updates,Hae uusimmat offline-edellytysten päivitykset
Find a sales order quickly and load it into the current sale.,Etsi myyntitilaus nopeasti ja lataa se nykyiseen myyntiin.
Fixing payment amounts for return invoice...,Korjataan palautuslaskun maksusummia...
Flash Off,Salama pois päältä
Flash On,Salama päällä
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","""Tuotepaketin"" nimikkeille ""Pakkausluettelo""-taulukosta otetaan huomioon varasto, sarjanumero ja eränumero. Jos varasto- ja eränumero ovat samat kaikille tuotenippunimikkeen pakkausnimikkeille, nämä arvot voidaan syöttää päätuotetaulukkoon. arvot kopioidaan Pakkausluettelo-taulukkoon."
Free,Ilmainen
Free Qty,Ilmainen määrä
Frequency,Taajuus
from,alkaen
From Date,Päivämäärästä alkaen
Fulfillment Details,Toteutustiedot
Full Name,Koko nimi
Gain,Voitto
Generate a fresh prepaid card and start it with an opening balance.,Luo uusi prepaid-kortti ja aloita se aloitussaldolla.
Generate and install the certificate to allow fully silent printing without trust prompts.,Luo ja asenna varmenne mahdollistaaksesi täysin äänettömän tulostuksen ilman luottamuskehotteita.
Generate Certificate,Luo sertifikaatti
Generated scale barcode: {0},Luotu mittakaavaviivakoodi: {0}
Get Payments,Hanki maksuja
Gift Card,Lahjakortti
Gift card amount must be greater than zero.,Lahjakortin summan on oltava suurempi kuin nolla.
Gift Card Code,Lahjakortin koodi
Gift card code is required for redemption,Lunastamiseen tarvitaan lahjakortin koodi
Gift card code is required.,Lahjakortin koodi vaaditaan.
Gift card issued successfully.,Lahjakortti myönnetty onnistuneesti.
Gift card loaded successfully.,Lahjakortti ladattu onnistuneesti.
Gift Card Management,Lahjakorttien hallinta
Gift card payment,Lahjakorttimaksu
Gift card redemption requires an online connection,Lahjakortin lunastus vaatii verkkoyhteyden
Gift card topped up successfully.,Lahjakortin täyttö onnistui.
Gift Cards,Lahjakortit
Go to Frappe Desk,Mene Frappe Deskiin
Grand Total,Yhteensä
Gross Margin,Bruttokate
Gross Profit,Bruttovoitto
Gross Sales,Bruttomyynti
Group not found,Ryhmää ei löydy
"Grouped controls for terminal, UI, and session settings.","Ryhmitellyt säätimet päätteen, käyttöliittymän ja istunnon asetuksille."
Grouped totals for each payment method and currency,Ryhmitellyt kokonaissummat kullekin maksutavalle ja valuutalle
Hide,Piilota
Hide Gift Card,Piilota lahjakortti
Hide Non Essential Fields,Piilota ei-välttämättömät kentät
Hide quantity decimals,Piilota määrän desimaalit
Hide search tools,Piilota hakutyökalut
Hide zero rated items,Piilota nollalla arvioituja kohteita
High,Korkea
History,Historia
Hourly (Today),Tunneittain (tänään)
How this section works,Kuinka tämä osio toimii
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","Jos vanhentuneita tietoja on jäljellä, avaa Asetukset > Offline & Sync ja suorita Rebuild Offline Data uudelleen ollessasi online-tilassa."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","Jos varoitus jatkuu, avaa Asetukset > Offline ja synkronointi ja suorita sitten Refresh Offline Data tai Rebuild Offline Data."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,Tuo sertifikaatti QZ-lokeroon ja käynnistä QZ-lokero uudelleen jokaisessa myyntipisteessä.
In,sisään
In stock: {0},Varastossa: {0}
Include Batch / Serial,Sisällytä erä / sarja
Include Price,Sisältää Hinta
Increase quantity,Lisää määrää
IndexedDB,Indeksoitu DB
Initial Amount,Alkumäärä
Initialize your shift with opening balances,Alusta työvuorosi alkusaldoilla
Initializing application...,Alustetaan sovellusta...
"Inspect cache, sync, and prerequisite status","Tarkista välimuistin, synkronoinnin ja edellytysten tila"
Installed Applications,Asennetut sovellukset
Insufficient stock:\n{0},Riittämätön varasto:\n{0}
Invalid rate,Virheellinen hinta
Inventory Status Report,Varaston tilaraportti
Invoice,Lasku
Invoice {0} is Submitted,Lasku {0} on lähetetty
Invoice {0} processed successfully,Lasku {0} käsitelty onnistuneesti
Invoice {0} submission failed,Laskun {0} lähetys epäonnistui
Invoice {0} was already submitted,Lasku {0} on jo lähetetty
Invoice Adjustments,Laskun oikaisut
Invoice Change,Laskun muutos
Invoice Details,Laskun tiedot
Invoice is still in draft after background submission.,Lasku on vielä luonnoksessa taustalähetyksen jälkeen.
Invoice Items,Laskun erät
Invoice Management,Laskujen hallinta
Invoice Mgmt,Lasku Mgmt
Invoice saved offline,Lasku tallennettu offline-tilaan
Invoice submission failed,Laskun lähetys epäonnistui
Invoice Submitted,Lasku lähetetty
"Invoice value settled by loyalty points, not cash collection","Laskun arvo maksetaan kanta-asiakaspisteillä, ei käteisellä"
Invoices,Laskut
Invoices already past due date,Laskut ovat jo erääntyneet
Invoices saved as POS Invoices,Laskut tallennettu POS-laskuina
Invoices still carrying balances,Laskuissa on vielä saldoa
Issue Mode,Ongelmatila
Issue New Card,Myönnä uusi kortti
Issue Workflow,Ongelman työnkulku
"Issue, top up, and check","Ilmoita, täytä ja tarkista"
Item,Tuote
Item / Product Sales Report,Tuote / tuote myyntiraportti
Item {0} added to invoice,Tuote {0} lisätty laskuun
Item '{0}' has no barcode,Kohteessa {0} ei ole viivakoodia
Item Code,Tuotekoodi
Item created successfully,Kohteen luominen onnistui
Item is out of stock,Tuote on loppu
Item Name,Tuotteen nimi
Item not found,Kohdetta ei löydy
Item order updated,Tuotejärjestys päivitetty
Item Selector Settings,Kohteen valitsimen asetukset
Items,Tuotteet
Items added in POS will appear here automatically.,POS:iin lisätyt tuotteet näkyvät täällä automaattisesti.
Items added to invoice,Tuotteet lisätty laskuun
Items per page,Kohteita per sivu
Items Sold,Myydyt tuotteet
Items/Invoice,Tuotteet/lasku
Item-wise Profitability,Kohteiden kannalta kannattavuus
Journal Entry,Päiväkirjamerkintä
json,json
Just now,Juuri nyt
Keep offline prerequisites healthy and recover stale data safely.,Pidä offline-edellytykset kunnossa ja palauta vanhentuneet tiedot turvallisesti.
Labels,Tarrat
