POS Awesome,POS fantastisk
Cash movement is disabled for this POS Profile.,Kontantbevægelse er deaktiveret for denne POS-profil.
Cash Movement is disabled in current POS Profile.,Kontantbevægelse er deaktiveret i den aktuelle POS-profil.
Cash movement saved offline,Kontantbevægelse gemt offline
Cash movement submitted,Kontantbevægelse indsendt
Cash Movements,Kontantbevægelser
Cash payment cannot be less than invoice total when partial payment is not allowed,"Kontant betaling kan ikke være mindre end den samlede faktura, når delbetaling ikke er tilladt"
Cash returned after payment,Kontanter returneres efter betaling
Cashier,Kasserer
Cashier Access,Kasserer adgang
Cashier identity and appearance preferences.,Kassererens identitet og udseende præferencer.
Cashier PIN,Kassererens pinkode
Cashier PIN saved successfully.,Kassererens pinkode blev gemt.
Cashiers,Kasserere
Cashier-wise,Kassemæssigt
Categories,Kategorier
Category,Kategori
Category / Brand / Variant Report,Kategori / Brand / Variant rapport
Category-wise,Kategorimæssigt
Category-wise Margin,Kategorimæssigt margin
Certificate,Certifikat
Certificate is missing or not trusted. QZ may show confirmation dialogs.,Certifikatet mangler eller er ikke tillid til. QZ viser muligvis bekræftelsesdialoger.
Certificate is trusted. Silent QZ printing is active.,Certifikatet er betroet. Lydløs QZ-udskrivning er aktiv.
Change,Skift
Change allocation repaired,Ændringstildeling repareret
Change Price,Skift pris
Change Return,Skift retur
Change Returned,Ændring returneret
Change terminal cashier,Skift terminalkasse
Charge Heads,Opladningshoveder
Charges,Afgifter
Charges not found,Afgifter ikke fundet
Check Balance,Tjek saldo
Check balance for any card. Supervisors can issue and top up cards here.,Tjek saldoen for ethvert kort. Vejledere kan udstede og fylde kort her.
Check balance only,Tjek kun saldoen
Check for new commits,Tjek for nye tilsagn
Check for Updates,Se efter opdateringer
Check live balance before applying redemption,"Tjek live-saldo, før du anvender indløsning"
Check live balance before redemption,Tjek live-saldo før indløsning
Checking...,Tjekker...
Cheque/Reference Date,Check/referencedato
Cheque/Reference No,Check/referencenr
Choose the cashier currently operating this terminal.,"Vælg den kasserer, der i øjeblikket betjener denne terminal."
City,By
Clear,Ryd
Clear All,Ryd alle
Clear all barcode items,Ryd alle stregkodeelementer
Clear all purchase order items,Ryd alle indkøbsordrevarer
Clear Search,Ryd søgning
Clearing local cache...,Rydder lokal cache...
Click to refresh,Klik for at opdatere
Client CPU Lag:,Klient CPU Lag:
Client Memory Usage:,Brug af klienthukommelse:
Client Metrics,Kundemålinger
Close about dialog,Luk om dialog
Close cashier switcher,Luk kassereren
Close closing shift dialog,Luk lukkende skiftdialog
Close column selector,Luk kolonnevælgeren
Close Dialog,Luk dialog
Close drafts dialog,Luk udkastdialogen
Close invoice details dialog,Luk dialogen med fakturaoplysninger
Close invoice management,Luk fakturahåndtering
Close offline invoices dialog,Luk dialogboksen for offlinefakturaer
Close packing list dialog,Luk pakkelistedialogen
Close returns dialog,Luk returdialogen
Close sales orders dialog,Luk salgsordrer dialog
Close Scanner,Luk Scanner
Close scanner dialog,Luk scannerdialogen
Close Settings,Luk Indstillinger
Closing Amount,Slutbeløb
Closing POS Shift,Lukke POS Shift
Closing Snapshot Available,Afslutningssnapshot tilgængeligt
Code,Kode
Code scanned successfully,Koden blev scannet
COGS,COGS
Collapse item details,Skjul elementdetaljer
Collected,Samlet
Cols,Cols
Columns,Kolonner
commits,forpligter sig
Completed and active sales in this range,Gennemført og aktivt salg i dette sortiment
Completed returns will appear here.,Udfyldte returneringer vil fremgå her.
Confirm,Bekræft
Confirm Close,Bekræft Luk
Confirm Mobile Number,Bekræft mobilnummer
Confirm PIN,Bekræft PIN-kode
Connect,Forbind
Connect printer and manage certificate,Tilslut printer og administrer certifikat
Connecting to QZ Tray...,Forbinder til QZ Tray...
Connection problem while submitting invoice,Forbindelsesproblem under indsendelse af faktura
Connections:,Forbindelser:
Connectivity and cached prerequisite status were rechecked.,Forbindelse og cachelagret forudsætningsstatus blev kontrolleret igen.
Continue Editing,Fortsæt redigering
Could not fetch latest balance from server,Den seneste saldo kunne ikke hentes fra serveren
Count,Tæl
Country,Land
Coupon,Kupon
Coupons,Kuponer
Cover,Dæk
CPU Cores:,CPU-kerner:
Create,Opret
Create and load a new prepaid card,Opret og indlæs et nyt forudbetalt kort
Create and preload a new gift card,Opret og forudindlæs et nyt gavekort
Create Bill,Opret regning
Create Customer,Opret kunde
Create New Item,Opret ny vare
Create or change your PIN,Opret eller skift din pinkode
Create PIN,Opret pinkode
Create POS Opening Shift,Opret POS-åbningsskift
Create Purchase Order,Opret indkøbsordre
Create Return,Opret retur
Create return from invoice,Opret retur fra faktura
Create Supplier,Opret leverandør
Credit and Output,Kredit og output
Credit Note,Kreditnota
Credit Outstanding,Kredit udestående
Credit sales remaining to be collected,Kreditsalg mangler at blive indsamlet
Critical,Kritisk
Currency,Valuta
Current,Nuværende
Current Event Loop Lag:,Aktuel hændelsesløkkelag:
Current Month,Nuværende måned
Current PIN,Nuværende pinkode
Current Profile,Nuværende profil
Current redeemable value on the gift card,Aktuel indløselig værdi på gavekortet
Current User,Nuværende bruger
Custom,Brugerdefineret
Custom Due Days,Tilpassede forfaldsdage
Custom items per page,Brugerdefinerede varer pr. side
Customer,Kunde
Customer already selected,Kunden er allerede valgt
Customer Balance,Kundebalance
Customer balance unavailable offline,Kundesaldo er ikke tilgængelig offline
Customer created successfully.,Kunden er oprettet.
Customer creation failed.,Kundeoprettelse mislykkedes.
Customer Details,Kundeoplysninger
Customer display channel is missing,Kundevisningskanal mangler
Customer display was blocked. Please allow pop-ups for this site.,Kundevisning blev blokeret. Tillad venligst pop-ups for dette websted.
Customer group is required,Kundegruppe er påkrævet
Customer is required to add payment,Kunden skal tilføje betaling
Customer Name is required,Kundenavn er påkrævet
Customer not selected,Kunde ikke valgt
Customer Report,Kunderapport
Customer saved offline,Kunden er gemt offline
Customer Screen,Kundeskærm
Customer territory is required,Kundeområde er påkrævet
Customer updated successfully.,Kunden blev opdateret.
Customer-facing tools and printer setup.,Kundevendte værktøjer og printeropsætning.
Customers,Kunder
Customers not found,Kunder ikke fundet
Daily cashier actions without scrolling.,Daglige kassererhandlinger uden at scrolle.
Daily Sales,Dagligt salg
Daily Sales Summary,Daglig salgsoversigt
Data loaded in form. Review and submit.,Data indlæst i form. Gennemgå og indsend.
Database Health,Database sundhed
Database health affects overall system speed and reliability.,Databasesundhed påvirker den overordnede systemhastighed og pålidelighed.
Database Info,Database info
Date,Dato
Day ?,dag?
days,dage
Day-wise (MTD),Dagsmæssigt (MTD)
Day-wise Movement,Daglig Bevægelse
Dead Stock,Død Aktie
Dead Stock Items,Døde lagervarer
Decrease quantity,Reducer mængden
Default,Standard
Default:,Standard:
Delete,Slet
Delete cancelled cash movement {0}?,Vil du slette annulleret kontantbevægelse {0}?
Delete Draft,Slet kladde
Delete draft invoice,Slet udkast til faktura
Delete draft invoice {0}?,Vil du slette udkast til faktura {0}?
Delete Invoice,Slet faktura
Delete offline invoice,Slet offline faktura
Delivered,Leveret
Delivery Charges,Leveringsomkostninger
Delivery Information,Leveringsinformation
Delivery Note {0} created,Følgeseddel {0} oprettet
Delivery note created,Følgeseddel oprettet
Deployed Bundle:,Udrullet pakke:
Deposit,Indskud
Description,Beskrivelse
Detailed Supplier Breakdown,Detaljeret leverandøropdeling
Detecting formats:,Registrering af formater:
Device Memory:,Enhedshukommelse:
Difference,Forskel
Difference (In Company Currency),Forskel (i virksomhedens valuta)
Disable offline mode first to recheck live connectivity.,Deaktiver offlinetilstand først for at kontrollere liveforbindelse igen.
Disconnect,Afbryd forbindelsen
discount,rabat
Discount %,Rabat %
Discount / Void / Return Report,Rabat / ugyldig / retur rapport
Discount Amount,Rabatbeløb
Discount limited by POS Profile,Rabat begrænset af POS-profil
Discounted Invoices,Rabatterede fakturaer
Discounts,Rabatter
Dismiss,Afvis
Download Certificate,Download certifikat
Draft,Udkast
Draft invoice deleted,Udkast til faktura slettet
Draft source,Udkast til kilde
Drafts,Udkast
Due {0},Forfalder {0}
Due Date,Forfaldsdato
Duplicate,Duplikat
Edit customer,Rediger kunde
Edit discount amount,Rediger rabatbeløb
Edit discount percentage,Rediger rabatprocent
Edit Gift Application,Rediger gaveansøgning
Edit item name,Rediger elementnavn
Edit quantity,Rediger mængde
Edit rate,Rediger rate
Edit unit of measure,Rediger måleenhed
Edited,Redigeret
Employee,Medarbejder
Enable background sync,Aktiver baggrundssynkronisering
Enable Customer Display in POS Profile first.,Aktiver Kundevisning i POS-profil først.
Enter a PIN.,Indtast en pinkode.
Enter a valid grams value,Indtast en gyldig gramværdi
Enter new price list rate,Indtast ny prislistetakst
Enter Quantity,Indtast mængde
Enter the cashier PIN to continue.,Indtast kassererens pinkode for at fortsætte.
Enter the current PIN first.,Indtast den aktuelle PIN-kode først.
"Enter the current PIN, then choose a new one.","Indtast den aktuelle pinkode, og vælg derefter en ny."
Enter valid grams for scale barcode,Indtast gyldige gram for skala stregkode
Entries,Indgange
Error accessing camera:,Fejl ved adgang til kamera:
Error calculating prices,Fejl ved beregning af priser
Error fetching customer balance,Fejl ved hentning af kundesaldo
Error in change calculations!,Fejl i ændringsberegninger!
Error Loading Data,Fejl under indlæsning af data
Error loading invoice details,Fejl ved indlæsning af fakturaoplysninger
Error processing invoice,Fejl ved behandling af faktura
Error processing payment,Fejl ved behandling af betaling
Error searching invoices,Fejl ved søgning efter fakturaer
Error submitting invoice:,Fejl ved indsendelse af faktura:
Error submitting invoice: {0},Fejl ved indsendelse af faktura: {0}
Error submitting invoice: No response from server,Fejl ved indsendelse af faktura: Intet svar fra server
Error updating currency,Fejl under opdatering af valuta
Error updating item details,Fejl under opdatering af elementdetaljer
Est. Purchase,Est. Køb
Est. Value,Est. Værdi
Event-loop lag measures how busy your browser is. Lower is better.,"Event-loop lag måler, hvor travlt din browser er. Lavere er bedre."
Every,Hver
Exchange Rate,Valutakurs
Expand item details,Udvid vareoplysninger
Expected Amount (In Company Currency),Forventet beløb (i virksomhedens valuta)
Expected Cash,Forventet kontanter
Expected cash on hand grouped by currency,Forventet kontantbeholdning grupperet efter valuta
Expected vs Actual,Forventet vs. faktisk
Expense,Udgift
Expense Account (Optional Override),Udgiftskonto (valgfri tilsidesættelse)
Expense account is required.,Udgiftskonto er påkrævet.
Expenses and deposits posted during this shift,Udgifter og indskud bogført under denne vagt
Expired,Udløbet
Failed to auto reconcile payments.,Kunne ikke automatisk afstemme betalinger.
Failed to cancel cash movement,Kunne ikke annullere kontantbevægelse
Failed to clear cache,Kunne ikke rydde cachen
Failed to create item,Kunne ikke oprette element
Failed to create supplier,Kunne ikke oprette leverandør
Failed to delete cash movement,Kunne ikke slette kontantbevægelse
Failed to generate scale barcode. Using item barcode only.,Kunne ikke generere skaleringsstregkode. Bruger kun varens stregkode.
Failed to load cash movement context.,Konteksten for kontantbevægelse kunne ikke indlæses.
Failed to load dashboard data.,Kunne ikke indlæse dashboarddata.
Failed to reload invoice from server,Kunne ikke genindlæse faktura fra server
Failed to submit cash movement,Kunne ikke indsende kontantbevægelse
Failed to sync offline cash movements,Kunne ikke synkronisere offline kontantbevægelser
Fast cashier actions for active shifts.,Hurtige kassererhandlinger for aktive vagter.
Fast Moving Items,Varer i hurtig bevægelse
Fees,Gebyrer
Fetch the latest offline prerequisite updates,Hent de seneste offline-forudsætningsopdateringer
Find a sales order quickly and load it into the current sale.,Find hurtigt en salgsordre og indlæs den i det aktuelle salg.
Fixing payment amounts for return invoice...,Fastsættelse af betalingsbeløb for returfaktura...
Flash Off,Blitz slukket
Flash On,Blink til
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","For 'Produktpakke'-varer vil lager, serienummer og batchnummer blive taget i betragtning fra tabellen 'Pakkeliste'. Hvis Warehouse og Batch No er ens for alle pakkeelementer for en 'Produktpakke'-vare, kan disse værdier indtastes i hovedvaretabellen; værdier vil blive kopieret til 'Pakkeliste'-tabellen."
Free,Gratis
Free Qty,Gratis Antal
Frequency,Frekvens
from,fra
From Date,Fra Dato
Fulfillment Details,Opfyldelse detaljer
Full Name,Fuldt navn
Gain,Gevinst
Generate a fresh prepaid card and start it with an opening balance.,"Generer et frisk forudbetalt kort, og start det med en åbningssaldo."
Generate and install the certificate to allow fully silent printing without trust prompts.,Generer og installer certifikatet for at tillade fuldstændig lydløs udskrivning uden tillidsmeddelelser.
Generate Certificate,Generer certifikat
Generated scale barcode: {0},Genereret skalastregkode: {0}
Get Payments,Få betalinger
Gift Card,Gavekort
Gift card amount must be greater than zero.,Gavekortbeløbet skal være større end nul.
Gift Card Code,Gavekort kode
Gift card code is required for redemption,Gavekortkode er påkrævet for at kunne indløse
Gift card code is required.,Gavekortkode er påkrævet.
Gift card issued successfully.,Gavekortet er udstedt.
Gift card loaded successfully.,Gavekortet blev indlæst.
Gift Card Management,Håndtering af gavekort
Gift card payment,Betaling med gavekort
Gift card redemption requires an online connection,Indløsning af gavekort kræver en onlineforbindelse
Gift card topped up successfully.,Gavekortet blev fyldt op.
Gift Cards,Gavekort
Go to Frappe Desk,Gå til Frappe Desk
Grand Total,Grand Total
Gross Margin,Bruttoavance
Gross Profit,Bruttofortjeneste
Gross Sales,Bruttosalg
Group not found,Gruppen blev ikke fundet
"Grouped controls for terminal, UI, and session settings.","Grupperede kontroller til terminal-, UI- og sessionsindstillinger."
Grouped totals for each payment method and currency,Grupperede totaler for hver betalingsmetode og valuta
Hide,Skjul
Hide Gift Card,Skjul gavekort
Hide Non Essential Fields,Skjul ikke-essentielle felter
Hide quantity decimals,Skjul mængdedecimaler
Hide search tools,Skjul søgeværktøjer
Hide zero rated items,Skjul nulklassificerede elementer
High,Høj
History,Historie
Hourly (Today),Hver time (i dag)
How this section works,Sådan fungerer dette afsnit
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","Hvis der er forældede data tilbage, skal du åbne Indstillinger > Offline og synkronisering og køre Genopbyg offlinedata igen, mens du er online."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","Hvis advarslen fortsætter, skal du åbne Indstillinger > Offline og synkronisering og derefter køre Opdater offlinedata eller Genopbyg offlinedata."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,Importer certifikatet til QZ Tray og genstart QZ Tray på hver POS-maskine.
In,I
In stock: {0},På lager: {0}
Include Batch / Serial,Inkluder batch / seriel
Include Price,Inkluder pris
Increase quantity,Forøg mængden
IndexedDB,IndekseretDB
Initial Amount,Oprindeligt beløb
Initialize your shift with opening balances,Initialiser dit skift med åbningssaldi
Initializing application...,Initialiserer applikation...
"Inspect cache, sync, and prerequisite status","Undersøg cache, synkronisering og forudsætningsstatus"
Installed Applications,Installerede applikationer
Insufficient stock:\n{0},Utilstrækkeligt lager:\n{0}
Invalid rate,Ugyldig sats
Inventory Status Report,Rapport om lagerstatus
Invoice,Faktura
Invoice {0} is Submitted,Faktura {0} er indsendt
Invoice {0} processed successfully,Faktura {0} blev behandlet
Invoice {0} submission failed,Indsendelse af faktura {0} mislykkedes
Invoice {0} was already submitted,Faktura {0} er allerede indsendt
Invoice Adjustments,Fakturajusteringer
Invoice Change,Fakturaændring
Invoice Details,Fakturadetaljer
Invoice is still in draft after background submission.,Faktura er stadig i udkast efter baggrundsindsendelse.
Invoice Items,Fakturavarer
Invoice Management,Fakturastyring
Invoice Mgmt,Faktura Mgmt
Invoice saved offline,Faktura gemt offline
Invoice submission failed,Indsendelse af faktura mislykkedes
Invoice Submitted,Faktura indsendt
"Invoice value settled by loyalty points, not cash collection","Fakturaværdi afregnes med loyalitetspoint, ikke kontantopkrævning"
Invoices,Fakturaer
Invoices already past due date,Fakturaer allerede overskredet
Invoices saved as POS Invoices,Fakturaer gemt som POS-fakturaer
Invoices still carrying balances,Fakturaer indeholder stadig saldi
Issue Mode,Udstedelsestilstand
Issue New Card,Udsted nyt kort
Issue Workflow,Problem Workflow
"Issue, top up, and check","Udsted, fyld op og tjek"
Item,Vare
Item / Product Sales Report,Vare-/produktsalgsrapport
Item {0} added to invoice,Varen {0} blev tilføjet til fakturaen
Item '{0}' has no barcode,Elementet '{0}' har ingen stregkode
Item Code,Varekode
Item created successfully,Elementet blev oprettet
Item is out of stock,Varen er udsolgt
Item Name,Varens navn
Item not found,Varen blev ikke fundet
Item order updated,Varebestilling opdateret
Item Selector Settings,Indstillinger for elementvælger
Items,genstande
Items added in POS will appear here automatically.,Elementer tilføjet i POS vises her automatisk.
Items added to invoice,Varer tilføjet til faktura
Items per page,Varer pr. side
Items Sold,Varer solgt
Items/Invoice,Varer/Faktura
Item-wise Profitability,Varemæssig lønsomhed
Journal Entry,Journalindførsel
json,json
Just now,Lige nu
Keep offline prerequisites healthy and recover stale data safely.,"Hold offline-forudsætninger sunde, og gendan forældede data sikkert."
Labels,Etiketter
"Language, theme, terminal tools, and session controls.","Sprog, tema, terminalværktøjer og sessionskontrol."
Last,Sidst
Last 14 Days (Paid vs Pending),Sidste 14 dage (betalt vs afventende)
Last 14 Days Activity,Sidste 14 dages aktivitet
Last 14 Days Gross Profit,Sidste 14 dages bruttofortjeneste
Last 14 Days Purchases,Sidste 14 dages køb
Last 14 Days Tax/Charges,Sidste 14 dages skat/afgifter
Last sync:,Sidste synkronisering:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},Sidste synkronisering: {0} | ok: {1} | mislykkedes: {2} | sprunget over: {3}
Latest entries for current shift,Seneste poster for nuværende skift
Lead Time,Ledetid
Limited,Begrænset
lines,linjer
List,Liste
Live Snapshot,Live Snapshot
Load a POS profile and cashier first.,Indlæs en POS-profil og kasserer først.
Load More Invoices,Indlæs flere fakturaer
Load previously saved invoices,Indlæs tidligere gemte fakturaer
Load Sale,Indlæs salg
Load Sales Invoice,Indlæs salgsfaktura
Loading app data...,Indlæser appdata...
Loading customer database...,Indlæser kundedatabase...
Loading customers...,Indlæser kunder...
Loading database stats...,Indlæser databasestatistik...
Loading details...,Indlæser detaljer...
Loading invoice history...,Indlæser fakturahistorik...
Loading items...,Indlæser elementer...
Loading product catalog...,Indlæser produktkatalog...
Loading return invoices...,Indlæser returfakturaer...
Loading server CPU/memory usage...,Indlæser serverens CPU/hukommelsesbrug...
Loading suppliers...,Indlæser leverandører...
Loading unpaid invoices...,Indlæser ubetalte fakturaer...
Loading view...,Indlæser visning...
Loading...,Indlæser...
Local storage is unavailable. Switching to online-only mode.,Lokal lagerplads er ikke tilgængelig. Skifter til kun online-tilstand.
localStorage,lokalopbevaring
Location Performance,Placeringsydelse
Locations,Steder
Lock Screen,Lås skærm
Lookup Workflow,Opslagsarbejdsgang
Loss,Tab
Low,Lav
Low Stock,Lavt lager
Low Stock Alerts,Lav lagerbeholdning
Low Stock Items,Lavt lager varer
Low Stock Threshold,Lav lagertærskel
Low Stock Total,Lavt lager i alt
Lowest Margin,Laveste margin
Low-frequency maintenance and system details.,Lavfrekvent vedligeholdelse og systemdetaljer.
